item,python_value,workbook_value,delta,status,cell_reference,method
Bear 4Q26 revenue ($M),3014.9938,3014.9938,-0.0,ok,Revenue!$D$36,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear 4Q26 nights (M),130.4214,130.4214,-0.0,ok,Revenue!$D$22,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear 4Q26 ADR ($),168.434,168.434,0.0,ok,Revenue!$D$26,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear 4Q26 adj. EBITDA ($M),798.9734,798.9734,-0.0,ok,Revenue!$D$41,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear 4Q26 adj. EBITDA margin,0.265,0.265,0.0,ok,Revenue!$D$40,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear 1Q27 revenue ($M),2766.3959,2766.3959,0.0,ok,Revenue!$E$36,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear 1Q27 nights (M),164.836,164.836,-0.0,ok,Revenue!$E$22,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear 1Q27 ADR ($),183.6314,183.6314,0.0,ok,Revenue!$E$26,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear 1Q27 adj. EBITDA ($M),368.4408,368.4408,-0.0,ok,Revenue!$E$41,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear 1Q27 adj. EBITDA margin,0.1332,0.1332,0.0,ok,Revenue!$E$40,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear 2Q27 revenue ($M),3719.3299,3719.3299,-0.0,ok,Revenue!$F$36,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear 2Q27 nights (M),156.5047,156.5047,-0.0,ok,Revenue!$F$22,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear 2Q27 ADR ($),180.3529,180.3529,-0.0,ok,Revenue!$F$26,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear 2Q27 adj. EBITDA ($M),1075.5722,1075.5722,-0.0,ok,Revenue!$F$41,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear 2Q27 adj. EBITDA margin,0.2892,0.2892,0.0,ok,Revenue!$F$40,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear 3Q27 revenue ($M),4640.663,4640.663,-0.0,ok,Revenue!$G$36,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear 3Q27 nights (M),152.1526,152.1526,-0.0,ok,Revenue!$G$22,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear 3Q27 ADR ($),173.6412,173.6412,-0.0,ok,Revenue!$G$26,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear 3Q27 adj. EBITDA ($M),1959.2156,1959.2156,-0.0,ok,Revenue!$G$41,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear 3Q27 adj. EBITDA margin,0.4222,0.4222,0.0,ok,Revenue!$G$40,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear 4Q27 revenue ($M),3054.5854,3054.5854,-0.0,ok,Revenue!$H$36,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear 4Q27 nights (M),137.7295,137.7295,-0.0,ok,Revenue!$H$22,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear 4Q27 ADR ($),167.8898,167.8898,-0.0,ok,Revenue!$H$26,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear 4Q27 adj. EBITDA ($M),623.6987,623.6987,0.0,ok,Revenue!$H$41,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear 4Q27 adj. EBITDA margin,0.2042,0.2042,0.0,ok,Revenue!$H$40,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear Football field low,37.7869,37.7869,-0.0,ok,Valuation!$B$43,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear Football field high,110.0867,110.0867,0.0,ok,Valuation!$B$44,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear Football field mean,77.0899,77.0899,0.0,ok,Valuation!$B$45,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
"Bear price: EV / adj. EBITDA, FY27E",110.0867,110.0867,0.0,ok,Valuation!$B$19,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
"Bear price: EV / FCF, FY27E",84.8028,84.8028,-0.0,ok,Valuation!$B$20,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
"Bear price: P / SBC-adjusted FCF, FY27E",37.7869,37.7869,-0.0,ok,Valuation!$B$21,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
"Bear price: P / earnings proxy, FY27E",46.0132,46.0132,-0.0,ok,Valuation!$B$22,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
"Bear price: EV / adj. EBITDA, FY28E",105.155,105.155,0.0,ok,Valuation!$B$23,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bear price: DCF on FCF,78.6946,78.6946,0.0,ok,Valuation!$B$39,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2026 revenue ($M),14232.5318,14232.5318,0.0,ok,Revenue!$I$77,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2026 nights (M),585.6973,585.6973,-0.0,ok,Revenue!$I$63,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2026 GBV ($M),105614.3302,105614.3302,0.0,ok,Revenue!$I$69,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2026 adj. EBITDA ($M),5158.0356,5158.0356,-0.0,ok,Costs!$D$51,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2026 adj. EBITDA margin,0.3624,0.3624,-0.0,ok,Costs!$D$52,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2026 net income ($M),3064.5644,3064.5644,-0.0,ok,Costs!$D$62,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2026 FCF ($M),5128.7343,5128.7343,-0.0,ok,Cash!$D$39,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2026 SBC-adj FCF ($M),3342.2043,3342.2043,-0.0,ok,Cash!$D$43,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2026 diluted shares (M),580.298,580.298,0.0,ok,Cash!$D$48,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2026 FCF per share ($),8.8381,8.8381,-0.0,ok,Cash!$D$49,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2026 net cash ($M),9383.4488,9383.4488,-0.0,ok,Cash!$D$52,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2027 revenue ($M),15842.0359,15842.0359,-0.0,ok,Revenue!$J$77,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2027 nights (M),637.6445,637.6445,-0.0,ok,Revenue!$J$63,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2027 GBV ($M),118081.2605,118081.2605,-0.0,ok,Revenue!$J$69,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2027 adj. EBITDA ($M),5685.7698,5685.7698,0.0,ok,Costs!$E$51,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2027 adj. EBITDA margin,0.3589,0.3589,-0.0,ok,Costs!$E$52,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2027 net income ($M),3258.4068,3258.4068,0.0,ok,Costs!$E$62,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2027 FCF ($M),5420.3521,5420.3521,0.0,ok,Cash!$E$39,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2027 SBC-adj FCF ($M),3455.1691,3455.1691,0.0,ok,Cash!$E$43,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2027 diluted shares (M),566.0462,566.0462,0.0,ok,Cash!$E$48,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2027 FCF per share ($),9.5758,9.5758,0.0,ok,Cash!$E$49,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2027 net cash ($M),10115.9869,10115.9869,-0.0,ok,Cash!$E$52,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2028 revenue ($M),17943.6187,17943.6187,-0.0,ok,Revenue!$K$77,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2028 nights (M),685.0186,685.0186,-0.0,ok,Revenue!$K$63,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2028 GBV ($M),130025.5146,130025.5146,0.0,ok,Revenue!$K$69,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2028 adj. EBITDA ($M),6701.2011,6701.2011,0.0,ok,Costs!$F$51,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2028 adj. EBITDA margin,0.3735,0.3735,-0.0,ok,Costs!$F$52,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2028 net income ($M),3905.8487,3905.8487,-0.0,ok,Costs!$F$62,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2028 FCF ($M),6197.2457,6197.2457,-0.0,ok,Cash!$F$39,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2028 SBC-adj FCF ($M),4074.8481,4074.8481,-0.0,ok,Cash!$F$43,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2028 diluted shares (M),552.9824,552.9824,0.0,ok,Cash!$F$48,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2028 FCF per share ($),11.2069,11.2069,-0.0,ok,Cash!$F$49,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base FY2028 net cash ($M),11570.3934,11570.3934,-0.0,ok,Cash!$F$52,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 3Q26 revenue ($M),4801.0378,4801.0378,0.0,ok,Revenue!$C$77,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 3Q26 nights (M),147.2394,147.2394,0.0,ok,Revenue!$C$63,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 3Q26 ADR ($),177.8401,177.8401,-0.0,ok,Revenue!$C$67,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 3Q26 adj. EBITDA ($M),2352.5085,2352.5085,-0.0,ok,Revenue!$C$82,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 3Q26 adj. EBITDA margin,0.49,0.49,0.0,ok,Revenue!$C$81,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 4Q26 revenue ($M),3145.494,3145.494,0.0,ok,Revenue!$D$77,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 4Q26 nights (M),133.9579,133.9579,0.0,ok,Revenue!$D$63,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 4Q26 ADR ($),171.9142,171.9142,-0.0,ok,Revenue!$D$67,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 4Q26 adj. EBITDA ($M),1022.2855,1022.2855,-0.0,ok,Revenue!$D$82,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 4Q26 adj. EBITDA margin,0.325,0.325,0.0,ok,Revenue!$D$81,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 1Q27 revenue ($M),2991.6448,2991.6448,-0.0,ok,Revenue!$E$77,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 1Q27 nights (M),170.0062,170.0062,-0.0,ok,Revenue!$E$63,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 1Q27 ADR ($),190.7245,190.7245,-0.0,ok,Revenue!$E$67,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 1Q27 adj. EBITDA ($M),572.8858,572.8858,-0.0,ok,Revenue!$E$82,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 1Q27 adj. EBITDA margin,0.1915,0.1915,0.0,ok,Revenue!$E$81,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 2Q27 revenue ($M),4048.7897,4048.7897,-0.0,ok,Revenue!$F$77,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 2Q27 nights (M),161.4139,161.4139,-0.0,ok,Revenue!$F$63,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 2Q27 ADR ($),188.3609,188.3609,-0.0,ok,Revenue!$F$67,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 2Q27 adj. EBITDA ($M),1406.9352,1406.9352,0.0,ok,Revenue!$F$82,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 2Q27 adj. EBITDA margin,0.3475,0.3475,0.0,ok,Revenue!$F$81,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 3Q27 revenue ($M),5257.4178,5257.4178,0.0,ok,Revenue!$G$77,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 3Q27 nights (M),160.2816,160.2816,-0.0,ok,Revenue!$G$63,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 3Q27 ADR ($),183.4892,183.4892,0.0,ok,Revenue!$G$67,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 3Q27 adj. EBITDA ($M),2562.9663,2562.9663,-0.0,ok,Revenue!$G$82,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 3Q27 adj. EBITDA margin,0.4875,0.4875,0.0,ok,Revenue!$G$81,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 4Q27 revenue ($M),3544.1836,3544.1836,-0.0,ok,Revenue!$H$77,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 4Q27 nights (M),145.9428,145.9428,0.0,ok,Revenue!$H$63,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 4Q27 ADR ($),177.0755,177.0755,0.0,ok,Revenue!$H$67,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 4Q27 adj. EBITDA ($M),1142.9824,1142.9824,0.0,ok,Revenue!$H$82,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base 4Q27 adj. EBITDA margin,0.3225,0.3225,0.0,ok,Revenue!$H$81,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base Football field low,112.2504,112.2504,-0.0,ok,Valuation!$C$43,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base Football field high,220.8754,220.8754,0.0,ok,Valuation!$C$44,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base Football field mean,162.6528,162.6528,-0.0,ok,Valuation!$C$45,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
"Base price: EV / adj. EBITDA, FY27E",183.609,183.609,-0.0,ok,Valuation!$C$19,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
"Base price: EV / FCF, FY27E",154.8054,154.8054,0.0,ok,Valuation!$C$20,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
"Base price: P / SBC-adjusted FCF, FY27E",119.0288,119.0288,-0.0,ok,Valuation!$C$21,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
"Base price: P / earnings proxy, FY27E",112.2504,112.2504,-0.0,ok,Valuation!$C$22,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
"Base price: EV / adj. EBITDA, FY28E",220.8754,220.8754,0.0,ok,Valuation!$C$23,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Base price: DCF on FCF,185.3475,185.3475,0.0,ok,Valuation!$C$39,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2026 revenue ($M),14526.5823,14526.5823,-0.0,ok,Revenue!$I$118,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2026 nights (M),591.8111,591.8111,0.0,ok,Revenue!$I$104,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2026 GBV ($M),107425.2731,107425.2731,-0.0,ok,Revenue!$I$110,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2026 adj. EBITDA ($M),5496.1502,5496.1502,0.0,ok,Costs!$D$81,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2026 adj. EBITDA margin,0.3784,0.3784,0.0,ok,Costs!$D$82,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2026 net income ($M),3453.275,3453.275,-0.0,ok,Costs!$D$92,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2026 FCF ($M),5659.8794,5659.8794,0.0,ok,Cash!$D$64,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2026 SBC-adj FCF ($M),3920.7794,3920.7794,0.0,ok,Cash!$D$68,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2026 diluted shares (M),580.1286,580.1286,0.0,ok,Cash!$D$73,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2026 FCF per share ($),9.7562,9.7562,-0.0,ok,Cash!$D$74,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2026 net cash ($M),9931.1944,9931.1944,0.0,ok,Cash!$D$77,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2027 revenue ($M),17420.6325,17420.6325,-0.0,ok,Revenue!$J$118,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2027 nights (M),660.8911,660.8911,0.0,ok,Revenue!$J$104,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2027 GBV ($M),126720.1277,126720.1277,0.0,ok,Revenue!$J$110,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2027 adj. EBITDA ($M),6619.8403,6619.8403,-0.0,ok,Costs!$E$81,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2027 adj. EBITDA margin,0.38,0.38,0.0,ok,Costs!$E$82,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2027 net income ($M),4201.963,4201.963,-0.0,ok,Costs!$E$92,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2027 FCF ($M),6543.2769,6543.2769,0.0,ok,Cash!$E$64,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2027 SBC-adj FCF ($M),4699.8309,4699.8309,0.0,ok,Cash!$E$68,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2027 diluted shares (M),562.8452,562.8452,0.0,ok,Cash!$E$73,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2027 FCF per share ($),11.6254,11.6254,0.0,ok,Cash!$E$74,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2027 net cash ($M),11329.2652,11329.2652,-0.0,ok,Cash!$E$77,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2028 revenue ($M),20874.2315,20874.2315,0.0,ok,Revenue!$K$118,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2028 nights (M),723.6757,723.6757,-0.0,ok,Revenue!$K$104,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2028 GBV ($M),143615.0887,143615.0887,0.0,ok,Revenue!$K$110,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2028 adj. EBITDA ($M),7932.208,7932.208,0.0,ok,Costs!$F$81,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2028 adj. EBITDA margin,0.38,0.38,0.0,ok,Costs!$F$82,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2028 net income ($M),5171.9764,5171.9764,-0.0,ok,Costs!$F$92,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2028 FCF ($M),7592.616,7592.616,0.0,ok,Cash!$F$64,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2028 SBC-adj FCF ($M),5675.4322,5675.4322,0.0,ok,Cash!$F$68,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2028 diluted shares (M),546.6238,546.6238,-0.0,ok,Cash!$F$73,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2028 FCF per share ($),13.89,13.89,-0.0,ok,Cash!$F$74,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull FY2028 net cash ($M),13750.8669,13750.8669,-0.0,ok,Cash!$F$77,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull 3Q26 revenue ($M),4976.7797,4976.7797,0.0,ok,Revenue!$C$118,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull 3Q26 nights (M),150.4336,150.4336,-0.0,ok,Revenue!$C$104,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull 3Q26 ADR ($),179.5667,179.5667,-0.0,ok,Revenue!$C$108,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull 3Q26 adj. EBITDA ($M),2498.3434,2498.3434,0.0,ok,Revenue!$C$123,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull 3Q26 adj. EBITDA margin,0.502,0.502,0.0,ok,Revenue!$C$122,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull 4Q26 revenue ($M),3263.8026,3263.8026,0.0,ok,Revenue!$D$118,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
