feature,horizon,n_raw,r_raw,r_feature_vs_time,r_detrended,perm_p_detrended,n_numctl,r_ctl_numbers,perm_p_ctl_numbers,bh_q_detrended
fwd_qa_per1k,excess_1d_pct,23,0.112,-0.317,0.08,0.7216,17,0.032,0.9135,0.868
n_analyst_turns,excess_1d_pct,23,0.036,-0.73,-0.07,0.7561,17,-0.012,0.9595,0.883
theme_margins_profitability_share_total,excess_1d_pct,23,0.016,0.163,0.035,0.8686,17,0.34,0.1854,0.966
analyst_pos_kw_per_question,excess_1d_pct,23,-0.02,-0.106,-0.033,0.8731,17,0.066,0.7976,0.967
theme_margins_profitability_share_prepared,excess_1d_pct,23,0.018,0.102,0.03,0.8901,17,0.352,0.1799,0.981
lm_neg_prepared_per1k,excess_1d_pct,23,0.039,-0.52,-0.025,0.9155,17,-0.235,0.3808,0.985
d_hedge_prepared_per1k,excess_1d_pct,22,0.018,0.06,0.019,0.9335,17,0.165,0.5397,0.99
d_lm_net_qa,excess_1d_pct,22,0.019,-0.069,0.019,0.935,17,0.141,0.5812,0.99
theme_marketing_share_prepared,excess_1d_pct,23,0.034,-0.16,0.016,0.9415,17,-0.253,0.3138,0.99
ceo_share_qa,excess_1d_pct,23,-0.007,0.129,0.008,0.9685,17,-0.109,0.6817,0.998
theme_competition_share_total,excess_1d_pct,23,-0.063,0.592,0.006,0.982,17,0.131,0.6122,0.999
n_guide_decline_phrases_qa,excess_1d_pct,23,-0.029,0.276,0.002,0.9905,17,0.003,0.989,0.999
d_theme_supply_hosts_share_total,excess_1d_pct,22,-0.001,0.061,-0.0,0.9995,17,0.08,0.7646,1.0
qa_share_of_mgmt_words,excess_20d_pct,22,-0.537,-0.519,-0.612,0.003,16,-0.619,0.013,0.166
qa_mgmt_words,excess_20d_pct,22,-0.607,-0.314,-0.63,0.0035,16,-0.675,0.0055,0.166
d_ceo_share_total,excess_20d_pct,21,-0.588,0.033,-0.59,0.0055,16,-0.567,0.0245,0.217
prepared_words,excess_20d_pct,22,0.468,0.532,0.536,0.007,16,0.552,0.034,0.237
theme_marketing_share_total,excess_20d_pct,22,-0.5,-0.39,-0.531,0.0125,16,-0.625,0.008,0.237
d_lm_net_total,excess_20d_pct,21,0.535,0.01,0.535,0.014,16,0.69,0.0035,0.237
d_lm_net_qa,excess_20d_pct,21,0.475,-0.002,0.476,0.0175,16,0.621,0.013,0.251
theme_pricing_adr_share_total,excess_20d_pct,22,-0.411,0.137,-0.419,0.0585,16,-0.448,0.0895,0.413
d_theme_new_businesses_share_total,excess_20d_pct,21,-0.415,0.003,-0.416,0.061,16,-0.488,0.069,0.413
lm_net_total,excess_20d_pct,22,0.384,-0.29,0.41,0.0675,16,0.403,0.1094,0.421
theme_demand_macro_share_total,excess_20d_pct,22,-0.386,0.193,-0.399,0.0735,16,-0.392,0.1349,0.435
d_theme_supply_hosts_share_total,excess_20d_pct,21,0.397,0.021,0.397,0.079,16,0.305,0.2644,0.45
theme_supply_hosts_share_prepared,excess_20d_pct,22,-0.369,-0.336,-0.382,0.0825,16,-0.476,0.0635,0.45
d_theme_regulation_share_total,excess_20d_pct,21,-0.386,-0.036,-0.385,0.0835,16,-0.352,0.2004,0.45
theme_long_term_targets_share_prepared,excess_20d_pct,22,0.303,0.635,0.37,0.092,16,0.483,0.0605,0.45
theme_ai_share_prepared,excess_20d_pct,22,0.329,0.48,0.361,0.093,16,0.51,0.031,0.45
d_theme_take_rate_fees_share_total,excess_20d_pct,21,0.373,0.132,0.37,0.097,16,0.482,0.054,0.46
theme_demand_macro_share_prepared,excess_20d_pct,22,-0.297,0.385,-0.333,0.1189,16,-0.214,0.4268,0.483
lm_net_prepared,excess_20d_pct,22,0.345,0.059,0.344,0.1194,16,0.393,0.1194,0.483
theme_take_rate_fees_share_total,excess_20d_pct,22,0.334,0.087,0.333,0.1204,16,0.325,0.2259,0.483
numbers_prepared_per1k,excess_20d_pct,22,-0.324,0.298,-0.348,0.1219,16,-0.061,0.8351,0.483
ceo_share_prepared,excess_20d_pct,22,-0.248,-0.732,-0.335,0.1269,16,-0.403,0.1139,0.483
hedge_prepared_per1k,excess_20d_pct,22,0.325,-0.032,0.326,0.1284,16,0.367,0.1699,0.483
theme_new_businesses_share_prepared,excess_20d_pct,22,-0.232,0.641,-0.325,0.1429,16,-0.284,0.2769,0.528
lm_unc_prepared_per1k,excess_20d_pct,22,0.312,0.034,0.311,0.1594,16,0.329,0.2259,0.54
fwd_prepared_per1k,excess_20d_pct,22,0.286,0.347,0.295,0.1809,16,0.472,0.062,0.579
n_numbers_prepared,excess_20d_pct,22,0.185,0.827,0.289,0.1889,16,0.6,0.0185,0.591
lm_neg_prepared_per1k,excess_20d_pct,22,-0.269,-0.491,-0.293,0.1919,16,-0.378,0.1534,0.591
ceo_share_total,excess_20d_pct,22,-0.279,-0.26,-0.282,0.2044,16,-0.214,0.4373,0.6
d_hedge_prepared_per1k,excess_20d_pct,21,0.275,0.122,0.271,0.2274,16,0.214,0.4368,0.6
theme_ai_share_total,excess_20d_pct,22,0.174,0.807,0.258,0.2289,16,0.343,0.1939,0.6
hedge_gap_qa_minus_prepared,excess_20d_pct,22,-0.258,0.034,-0.259,0.2304,16,-0.208,0.4638,0.6
theme_international_share_total,excess_20d_pct,22,-0.26,0.091,-0.264,0.2314,16,-0.38,0.1384,0.6
cfo_share_total,excess_20d_pct,22,0.257,0.272,0.259,0.2379,16,0.181,0.4993,0.6
d_theme_buybacks_sbc_share_total,excess_20d_pct,21,0.256,-0.014,0.257,0.2744,16,0.359,0.1764,0.639
d_theme_long_term_targets_share_total,excess_20d_pct,21,0.242,0.051,0.24,0.2764,16,0.46,0.078,0.639
ceo_share_qa,excess_20d_pct,22,-0.242,0.031,-0.243,0.2779,16,-0.097,0.7226,0.639
d_theme_marketing_share_total,excess_20d_pct,21,-0.243,0.01,-0.244,0.2879,16,-0.26,0.3243,0.654
lm_net_qa,excess_20d_pct,22,0.2,-0.411,0.232,0.3033,16,0.155,0.5807,0.659
theme_new_businesses_share_total,excess_20d_pct,22,-0.128,0.751,-0.224,0.3193,16,-0.005,0.982,0.682
theme_international_share_prepared,excess_20d_pct,22,-0.18,0.361,-0.204,0.3608,16,-0.255,0.3463,0.693
theme_buybacks_sbc_share_prepared,excess_20d_pct,22,0.115,0.892,0.201,0.3663,16,0.38,0.1439,0.693
theme_supply_hosts_share_total,excess_20d_pct,22,0.083,-0.84,0.194,0.3678,16,-0.147,0.5602,0.693
theme_marketing_share_prepared,excess_20d_pct,22,0.193,-0.183,0.201,0.3718,16,-0.195,0.4738,0.693
tone_gap_qa_minus_prepared,excess_20d_pct,22,-0.2,-0.248,-0.2,0.3743,16,-0.277,0.3068,0.693
d_theme_margins_profitability_share_total,excess_20d_pct,21,0.152,-0.025,0.154,0.4938,16,0.108,0.6702,0.787
d_theme_pricing_adr_share_total,excess_20d_pct,21,-0.169,-0.172,-0.163,0.4948,16,-0.302,0.2684,0.787
d_theme_demand_macro_share_total,excess_20d_pct,21,-0.148,-0.044,-0.146,0.5212,16,-0.165,0.5572,0.807
d_numbers_prepared_per1k,excess_20d_pct,21,-0.149,-0.143,-0.143,0.5262,16,-0.02,0.9305,0.808
d_lm_net_prepared,excess_20d_pct,21,0.14,-0.022,0.141,0.5367,16,0.165,0.5402,0.808
lm_unc_qa_per1k,excess_20d_pct,22,0.138,0.07,0.137,0.5472,16,0.257,0.3508,0.808
n_analysts,excess_20d_pct,22,0.109,-0.249,0.119,0.5977,16,0.138,0.5837,0.836
d_theme_competition_share_total,excess_20d_pct,21,-0.114,0.011,-0.115,0.6067,16,-0.014,0.962,0.836
lm_neg_qa_per1k,excess_20d_pct,22,-0.11,0.142,-0.115,0.6157,16,-0.075,0.7936,0.839
n_analyst_questions,excess_20d_pct,22,0.086,-0.461,0.111,0.6257,16,0.088,0.7536,0.845
theme_buybacks_sbc_share_total,excess_20d_pct,22,0.11,0.551,0.114,0.6272,16,0.391,0.1324,0.845
theme_long_term_targets_share_total,excess_20d_pct,22,0.101,0.647,0.109,0.6457,16,0.277,0.3013,0.859
n_guide_decline_phrases_qa,excess_20d_pct,22,-0.085,0.223,-0.094,0.6777,16,-0.028,0.9295,0.859
hedge_qa_per1k,excess_20d_pct,22,0.098,0.013,0.097,0.6807,16,0.178,0.4993,0.859
numbers_qa_per1k,excess_20d_pct,22,0.084,-0.219,0.092,0.6807,16,0.155,0.5462,0.859
analyst_neg_kw_per_question,excess_20d_pct,22,-0.086,0.215,-0.095,0.6917,16,-0.151,0.5772,0.863
theme_competition_share_prepared,excess_20d_pct,22,0.085,0.541,0.084,0.7096,16,0.172,0.5237,0.867
n_analyst_turns,excess_20d_pct,22,-0.074,-0.714,-0.077,0.7121,16,-0.269,0.3133,0.867
theme_pricing_adr_share_prepared,excess_20d_pct,22,-0.064,0.258,-0.073,0.7281,16,-0.144,0.6127,0.872
d_n_analyst_questions,excess_20d_pct,21,0.08,-0.052,0.083,0.7336,16,0.248,0.3353,0.872
theme_take_rate_fees_share_prepared,excess_20d_pct,22,0.077,0.445,0.072,0.7566,16,0.081,0.7826,0.883
theme_regulation_share_total,excess_20d_pct,22,-0.058,0.31,-0.07,0.7686,16,0.268,0.3443,0.889
d_hedge_qa_per1k,excess_20d_pct,21,-0.07,-0.102,-0.065,0.7886,16,-0.219,0.4138,0.903
theme_regulation_share_prepared,excess_20d_pct,22,0.058,0.599,0.052,0.7996,16,0.153,0.5802,0.907
theme_margins_profitability_share_prepared,excess_20d_pct,22,0.054,0.092,0.052,0.8201,16,0.193,0.4783,0.926
d_analyst_lm_net_per1k,excess_20d_pct,21,-0.033,-0.088,-0.029,0.9065,16,0.117,0.6737,0.985
d_theme_international_share_total,excess_20d_pct,21,0.016,-0.177,0.025,0.917,16,-0.01,0.9725,0.985
analyst_pos_kw_per_question,excess_20d_pct,22,-0.021,-0.159,-0.017,0.944,16,0.057,0.8261,0.99
fwd_qa_per1k,excess_20d_pct,22,-0.023,-0.379,-0.014,0.948,16,-0.008,0.9735,0.99
n_declines_hand_verified,excess_20d_pct,22,-0.01,0.038,-0.011,0.966,16,-0.076,0.7896,0.998
analyst_lm_net_per1k,excess_20d_pct,22,-0.0,-0.21,0.005,0.981,16,0.116,0.6567,0.999
theme_margins_profitability_share_total,excess_20d_pct,22,0.009,0.166,0.004,0.9825,16,-0.122,0.6752,0.999
theme_competition_share_total,excess_20d_pct,22,0.017,0.559,0.002,0.99,16,0.399,0.1239,0.999
d_theme_ai_share_total,excess_20d_pct,21,0.015,0.313,-0.001,0.9955,16,0.126,0.6742,1.0
qa_mgmt_words,excess_5d_pct,23,-0.544,-0.376,-0.514,0.0095,17,-0.579,0.0175,0.237
theme_long_term_targets_share_prepared,excess_5d_pct,23,0.507,0.677,0.51,0.01,17,0.599,0.012,0.237
qa_share_of_mgmt_words,excess_5d_pct,23,-0.505,-0.591,-0.485,0.021,17,-0.519,0.0325,0.262
theme_long_term_targets_share_total,excess_5d_pct,23,0.461,0.7,0.453,0.028,17,0.61,0.0095,0.321
theme_ai_share_prepared,excess_5d_pct,23,0.483,0.57,0.454,0.032,17,0.589,0.015,0.321
theme_international_share_total,excess_5d_pct,23,-0.436,0.007,-0.448,0.0325,17,-0.642,0.007,0.321
prepared_words,excess_5d_pct,23,0.459,0.603,0.429,0.0345,17,0.474,0.052,0.325
n_declines_hand_verified,excess_5d_pct,23,0.456,0.17,0.436,0.0365,17,0.442,0.0665,0.325
d_theme_long_term_targets_share_total,excess_5d_pct,22,0.457,0.164,0.435,0.037,17,0.634,0.0045,0.325
theme_marketing_share_total,excess_5d_pct,23,-0.44,-0.476,-0.397,0.06,17,-0.671,0.003,0.413
theme_competition_share_prepared,excess_5d_pct,23,0.451,0.614,0.419,0.06,17,0.534,0.024,0.413
theme_take_rate_fees_share_total,excess_5d_pct,23,0.432,0.229,0.404,0.0645,17,0.599,0.0085,0.42
theme_demand_macro_share_total,excess_5d_pct,23,-0.353,0.125,-0.39,0.0655,17,-0.335,0.1919,0.42
d_theme_buybacks_sbc_share_total,excess_5d_pct,22,0.373,0.06,0.371,0.0895,17,0.466,0.057,0.45
lm_net_total,excess_5d_pct,23,0.272,-0.266,0.347,0.1054,17,0.412,0.1079,0.478
theme_international_share_prepared,excess_5d_pct,23,-0.259,0.324,-0.353,0.1069,17,-0.483,0.069,0.478
ceo_share_prepared,excess_5d_pct,23,-0.373,-0.756,-0.338,0.1189,17,-0.414,0.1079,0.483
d_ceo_share_total,excess_5d_pct,22,-0.298,0.092,-0.336,0.1239,17,-0.428,0.0865,0.483
d_theme_regulation_share_total,excess_5d_pct,22,-0.318,-0.055,-0.315,0.1494,17,-0.365,0.1464,0.536
lm_unc_qa_per1k,excess_5d_pct,23,0.339,0.124,0.323,0.1514,17,0.379,0.1349,0.536
d_theme_supply_hosts_share_total,excess_5d_pct,22,0.316,0.061,0.312,0.1594,17,0.283,0.2819,0.54
d_theme_ai_share_total,excess_5d_pct,22,-0.227,0.214,-0.3,0.1784,17,-0.25,0.3408,0.579
fwd_prepared_per1k,excess_5d_pct,23,0.327,0.33,0.28,0.1899,17,0.376,0.1384,0.591
theme_buybacks_sbc_share_total,excess_5d_pct,23,0.34,0.601,0.275,0.1969,17,0.488,0.0485,0.598
d_theme_new_businesses_share_total,excess_5d_pct,22,-0.259,0.034,-0.278,0.2109,17,-0.25,0.3223,0.6
n_analyst_questions,excess_5d_pct,23,-0.337,-0.549,-0.273,0.2174,17,-0.352,0.1639,0.6
n_numbers_prepared,excess_5d_pct,23,0.308,0.846,0.255,0.2314,17,0.483,0.0435,0.6
theme_new_businesses_share_prepared,excess_5d_pct,23,-0.064,0.642,-0.263,0.2334,17,-0.149,0.5787,0.6
lm_net_prepared,excess_5d_pct,23,0.268,0.116,0.251,0.2349,17,0.332,0.1964,0.6
analyst_lm_net_per1k,excess_5d_pct,23,0.243,-0.074,0.264,0.2364,17,0.599,0.016,0.6
theme_new_businesses_share_total,excess_5d_pct,23,0.0,0.766,-0.252,0.2364,17,-0.05,0.8571,0.6
theme_supply_hosts_share_prepared,excess_5d_pct,23,-0.303,-0.361,-0.25,0.2539,17,-0.401,0.1169,0.623
d_analyst_lm_net_per1k,excess_5d_pct,22,0.271,0.076,0.261,0.2549,17,0.622,0.0085,0.623
hedge_qa_per1k,excess_5d_pct,23,0.242,0.056,0.236,0.2764,17,0.267,0.2974,0.639
d_theme_demand_macro_share_total,excess_5d_pct,22,-0.253,-0.097,-0.237,0.2904,17,-0.24,0.3428,0.654
numbers_prepared_per1k,excess_5d_pct,23,-0.168,0.233,-0.227,0.2924,17,-0.056,0.8171,0.654
theme_demand_macro_share_prepared,excess_5d_pct,23,-0.135,0.351,-0.227,0.2984,17,-0.139,0.5827,0.655
d_n_analyst_questions,excess_5d_pct,22,-0.258,-0.173,-0.223,0.3188,17,-0.275,0.2734,0.682
lm_neg_prepared_per1k,excess_5d_pct,23,-0.28,-0.52,-0.207,0.3423,17,-0.267,0.3003,0.693
d_theme_take_rate_fees_share_total,excess_5d_pct,22,0.235,0.119,0.213,0.3483,17,0.406,0.1079,0.693
d_lm_net_total,excess_5d_pct,22,0.21,0.006,0.216,0.3528,17,0.489,0.055,0.693
d_numbers_prepared_per1k,excess_5d_pct,22,-0.236,-0.175,-0.199,0.3558,17,-0.175,0.5022,0.693
d_hedge_qa_per1k,excess_5d_pct,22,0.187,-0.036,0.204,0.3588,17,0.145,0.5862,0.693
theme_supply_hosts_share_total,excess_5d_pct,23,-0.066,-0.834,0.198,0.3673,17,-0.112,0.6722,0.693
hedge_prepared_per1k,excess_5d_pct,23,0.192,-0.044,0.205,0.3743,17,0.168,0.5297,0.693
theme_pricing_adr_share_total,excess_5d_pct,23,-0.154,0.169,-0.196,0.3743,17,-0.187,0.4768,0.693
lm_unc_prepared_per1k,excess_5d_pct,23,0.2,0.039,0.197,0.3913,17,0.201,0.4223,0.719
theme_take_rate_fees_share_prepared,excess_5d_pct,23,0.262,0.54,0.182,0.3968,17,0.265,0.2959,0.723
theme_buybacks_sbc_share_prepared,excess_5d_pct,23,0.079,0.84,-0.179,0.4143,17,0.046,0.8691,0.739
analyst_neg_kw_per_question,excess_5d_pct,23,-0.15,0.145,-0.186,0.4148,17,-0.276,0.2824,0.739
d_theme_marketing_share_total,excess_5d_pct,22,-0.181,-0.042,-0.176,0.4198,17,-0.537,0.0245,0.742
theme_regulation_share_prepared,excess_5d_pct,23,-0.013,0.605,-0.178,0.4283,17,-0.058,0.8101,0.744
theme_regulation_share_total,excess_5d_pct,23,-0.111,0.274,-0.179,0.4363,17,-0.088,0.7476,0.744
d_theme_pricing_adr_share_total,excess_5d_pct,22,0.132,-0.08,0.159,0.4673,17,0.133,0.6112,0.787
tone_gap_qa_minus_prepared,excess_5d_pct,23,-0.21,-0.314,-0.156,0.4808,17,-0.251,0.3338,0.787
lm_net_qa,excess_5d_pct,23,0.033,-0.455,0.146,0.4883,17,0.086,0.7391,0.787
d_lm_net_prepared,excess_5d_pct,22,0.159,0.044,0.153,0.4913,17,0.303,0.2294,0.787
ceo_share_total,excess_5d_pct,23,-0.189,-0.205,-0.153,0.4998,17,-0.232,0.3493,0.79
theme_margins_profitability_share_prepared,excess_5d_pct,23,0.158,0.102,0.14,0.5162,17,0.413,0.1099,0.805
theme_pricing_adr_share_prepared,excess_5d_pct,23,-0.067,0.287,-0.135,0.5337,17,-0.216,0.3928,0.808
cfo_share_total,excess_5d_pct,23,0.167,0.218,0.128,0.5522,17,0.211,0.4103,0.808
theme_ai_share_total,excess_5d_pct,23,0.237,0.834,0.118,0.5922,17,0.247,0.3483,0.836
theme_margins_profitability_share_total,excess_5d_pct,23,0.147,0.163,0.117,0.5977,17,0.264,0.3113,0.836
d_theme_international_share_total,excess_5d_pct,22,-0.14,-0.165,-0.101,0.6572,17,-0.216,0.4093,0.859
d_theme_margins_profitability_share_total,excess_5d_pct,22,0.101,0.024,0.099,0.6682,17,0.379,0.1494,0.859
hedge_gap_qa_minus_prepared,excess_5d_pct,23,-0.078,0.062,-0.093,0.6777,17,-0.002,0.994,0.859
d_lm_net_qa,excess_5d_pct,22,0.06,-0.069,0.082,0.7131,17,0.261,0.3038,0.867
theme_marketing_share_prepared,excess_5d_pct,23,0.032,-0.16,0.067,0.7381,17,-0.204,0.4248,0.872
fwd_qa_per1k,excess_5d_pct,23,0.003,-0.317,0.074,0.7396,17,0.124,0.6417,0.872
d_hedge_prepared_per1k,excess_5d_pct,22,0.081,0.06,0.068,0.7631,17,-0.012,0.9575,0.887
ceo_share_qa,excess_5d_pct,23,-0.027,0.129,-0.055,0.7881,17,-0.033,0.9055,0.903
theme_competition_share_total,excess_5d_pct,23,0.17,0.592,0.06,0.7931,17,0.251,0.3298,0.904
n_guide_decline_phrases_qa,excess_5d_pct,23,0.094,0.276,0.039,0.8451,17,0.009,0.971,0.949
n_analysts,excess_5d_pct,23,-0.026,-0.3,0.039,0.8651,17,0.084,0.7541,0.966
d_theme_competition_share_total,excess_5d_pct,22,-0.018,0.035,-0.028,0.906,17,-0.066,0.8031,0.985
n_analyst_turns,excess_5d_pct,23,-0.166,-0.73,-0.023,0.918,17,-0.036,0.8931,0.985
analyst_pos_kw_per_question,excess_5d_pct,23,-0.0,-0.106,0.022,0.9185,17,0.234,0.3733,0.985
numbers_qa_per1k,excess_5d_pct,23,-0.086,-0.346,-0.016,0.945,17,-0.073,0.7746,0.99
lm_neg_qa_per1k,excess_5d_pct,23,0.032,0.116,0.008,0.969,17,0.041,0.8816,0.998
