date,actor,category,event,source
2026-06-04,Airbnb,AI,Chesky to found an independent AI lab while remaining CEO,https://techcrunch.com/2026/06/04/airbnbs-brian-chesky-plans-to-launch-a-new-ai-lab/
2026-07-30,Booking.com (expert),AI/loyalty,"Third Bridge T1 (paraphrase): Genius L2/L3 drive high-50s to low-60s % of room nights; US direct high-50s to mid-60s; connected trip low double digits of transactions, ~50% is '10 years best case'; Europe STR supply lead over Airbnb; 'not concerned about losing share'",data/raw/licensed/third-bridge/ (T1)
2026-08-04,Booking.com,share,Q2'26: alt-accom room nights +4% vs total +5%; 37% mix flat; 9.1m listings (+8%); AI tools <1% of room nights; B2C direct mid-60s%; connected-trip transactions +low double digits; Q3 room nights guide +3-5%; Fogel wants US alt-accom share 'a lot higher',https://www.sec.gov/Archives/edgar/data/0001075531/000107553126000036/q2-26bkngearningsrelease.htm; https://www.rentalscaleup.com/booking-com-q2-2026-earnings/; https://www.phocuswire.com/news/finance/booking-holdings-q2-2026-earnings
2026-08-04,Airbnb,hotels,Lark Hotels partnership (75+ boutique hotels),research/notes/2026-09-04_management-timeline.md
2026-08-05,Expedia/Vrbo,share,"Q2'26: room nights +6% (US mid-single, EMEA low-single, RoW low-double); B2C bookings +8%, fastest US growth in 15 quarters; Vrbo supplier-funded promotions >40% of bookings, May sale >$1bn; 'answer engine optimisation' fastest-growing channel; testing ChatGPT and Claude channels; Vrbo agentic voice for partner inquiries",https://www.sec.gov/Archives/edgar/data/1324424/000132442426000051/earningsrelease-q22026.htm; https://www.rentalscaleup.com/vrbo-q2-2026-earnings/; https://www.gurufocus.com/news/9009782/
2026-08-06,Airbnb,hotels/AI,"Q2'26: hotel nights ~3x homes growth, thousands of hotels in 20+ destinations, 15% credit to 31 Dec 2026, price-match; 35% of first-time hotel guests book a home within a year; app 64% of nights; AI assistant resolves ~45% of issues; support cost/booking -16%",data/raw/letters/2Q26_*.htm (shareholder letter); data/raw/regulatory/transcripts/2026-Q2.pdf (IR call transcript)
2026-08-07,Google,AI,Google confirms agentic hotel booking test in Search AI Mode (US),https://skift.com/2026/08/07/google-confirms-hotel-agentic-booking-is-now-in-testing/
2026-08-10,Airbnb,AI,Chesky interview: AI-native search within a year; rental cars/hotels 1-2 years from super-app scope,research/notes/2026-09-04_management-timeline.md
2026-08-14,OTA AI (expert),AI,"Third Bridge T2 (paraphrase): ~3% of accommodation bookings could move to AI-native transactions in 12-24 months, no EBITDA impact; Airbnb's direct traffic is the exposure if users start at ChatGPT/Perplexity; long-tail inventory benefits after 24 months",data/raw/licensed/third-bridge/ (T2)
2026-08-27,Google,AI,"Agentic hotel booking rolls into AI Mode; launch partners Booking.com, Expedia, Hotels.com, Priceline, Trip.com, Marriott, Hilton, IHG, Wyndham, Choice; hotel/OTA stays merchant of record; Airbnb not a partner",https://skift.com/2026/08/27/googles-agentic-hotel-booking-tool-comes-to-ai-mode/
2026-08-29,Airbnb,take rate,Pilot: 6-10% host fee (vs 15.5%) on bookings arriving via the host's own link; response to direct-booking leakage,https://skift.com/2026/08/29/airbnb-is-testing-lower-fees-for-hosts-who-bring-their-own-guests/; https://www.bloomberg.com/news/articles/2026-08-31/airbnb-rolls-out-pilot-program-in-us-to-lower-fees-paid-by-hosts-to-6-or-10
2026-09-01,Airbnb,hotels,"Pepijn Rijvers (13 yrs Booking.com, ran hotels; Viator president) named Chief Business Officer over Homes, Hotels, Global Markets",https://skift.com/2026/09/01/airbnb-names-ex-booking-com-hotel-boss-and-viator-president-as-chief-business-officer/
2026-09-02,Expedia/Vrbo,pricing,Vrbo auto-enrols hosts in 'Members Only Deals' (automatic discounts to One Key members) unless they opt out by 10 Sep 2026; extends the supplier-funded-promotion model that was >40% of Vrbo bookings in Q2'26,"https://www.rentalscaleup.com/ (RSU by PriceLabs, 2 Sep 2026, via Google News)"
2026-09-04,EU Commission,regulatory,Draft Affordable Housing Act leaked: enabling framework letting authorities restrict STRs in housing-stress areas; primary residences exempt; formal presentation 9 Sep 2026,"Reuters 4 Sep 2026 'Proposed EU rules would curb Airbnb, short-term rental homes, draft shows'; https://skift.com/2026/09/04/european-commission-short-term-rental-crackdown/; euractiv.com 4 Sep 2026"
