print_quarter,print_date,reaction_date,cons_revenue_musd,cons_revenue_vendor,actual_revenue_musd,revenue_surprise_pct,cons_eps_usd,actual_eps_usd,eps_basis,eps_comparable,eps_surprise_pct,cons_adj_ebitda_musd,actual_adj_ebitda_musd,ebitda_surprise_pct,cons_nights_m,actual_nights_m,nights_surprise_pct,cons_gbv_busd,actual_gbv_busd,gbv_surprise_pct,cons_adr,next_quarter,next_q_cons_revenue_musd,next_q_cons_vendor,next_q_guide_mid_musd,guide_vs_street_pct,guide_vs_street_sign,excess_1d_pct,excess_5d_pct,excess_20d_pct,confidence,notes
2023Q2,2023-08-03,2023-08-04,2420.0,Refinitiv,2484.0,2.645,0.78,0.98,adjusted,1,25.641,,819.0,,117.6,115.1,-2.126,18.99,19.1,0.579,,2023Q3,3220.0,Refinitiv,3350.0,4.037,1.0,-0.0,-2.1,-7.7,high,
2023Q3,2023-11-01,2023-11-02,3370.0,LSEG,3397.0,0.801,2.1,6.63,GAAP incl. tax valuation allowance release - not comparable,0,,,1834.0,,112.9,113.2,0.266,,18.3,,,2023Q4,2180.0,LSEG,2150.0,-1.376,-1.0,-5.1,-6.0,-3.2,high,"GAAP EPS $6.63 includes the deferred-tax valuation-allowance release; CNBC flags it as not comparable, so the EPS surprise is dropped."
2023Q4,2024-02-13,2024-02-14,2170.0,LSEG,2218.0,2.212,0.62,-0.55,GAAP loss - not comparable,0,,645.0,738.0,14.419,98.0,98.8,0.816,,15.5,,,2024Q1,2030.0,LSEG,2050.0,0.985,1.0,-2.8,-0.4,6.5,high,GAAP loss per share -$0.55 (one-off tax); CNBC flags not comparable. Adj EBITDA surprise is clean.
2024Q1,2024-05-08,2024-05-09,2060.0,LSEG,2142.0,3.981,0.24,0.41,adjusted,1,70.833,326.0,424.0,30.061,132.1,132.6,0.379,,22.9,,,2024Q2,2740.0,LSEG,2710.0,-1.095,-1.0,-7.1,-10.6,-12.2,high,
2024Q2,2024-08-06,2024-08-07,2740.0,LSEG,2748.0,0.292,0.92,0.86,adjusted,1,-6.522,,894.0,,,125.1,,,21.2,,,2024Q3,3840.0,LSEG,3700.0,-3.646,-1.0,-12.3,-15.6,-16.5,medium,NEXT-QUARTER CONSENSUS NOT FOUND. CNBC quotes only the $3.67-3.73bn guide; no other contemporaneous source retrievable. This is the single next-quarter gap in the sample.
2024Q3,2024-11-07,2024-11-08,3720.0,LSEG,3732.0,0.323,2.14,2.13,adjusted,1,-0.467,1860.0,1958.0,5.269,121.4,122.8,1.153,19.9,20.1,1.005,,2024Q4,2420.0,LSEG,2415.0,-0.207,-1.0,-8.8,-7.7,-9.6,high,
2024Q4,2025-02-13,2025-02-14,2420.0,LSEG,2480.0,2.479,0.58,0.73,adjusted,1,25.862,653.5,765.0,17.062,108.7,111.0,2.116,17.2,17.6,2.326,,2025Q1,2300.0,LSEG,2250.0,-2.174,-1.0,14.0,5.4,-2.4,high,"StockStory (S&P Global/Visible Alpha) independently puts the next-quarter consensus at $2,301m - agrees with LSEG to 0.04%."
2025Q1,2025-05-01,2025-05-02,2260.0,LSEG,2272.0,0.531,0.24,0.24,adjusted,1,0.0,,417.0,,143.4,143.1,-0.209,,24.5,,170.55,2025Q2,3040.0,LSEG,3020.0,-0.658,-1.0,-0.5,0.5,-3.7,high,Zacks EPS consensus 0.25 vs LSEG 0.24 - the same print is a small miss on Zacks and a dead-in-line on LSEG.
2025Q2,2025-08-06,2025-08-07,3040.0,LSEG,3096.0,1.842,0.93,1.03,adjusted,1,10.753,,1043.0,,133.35,134.4,0.787,22.66,23.5,3.707,,2025Q3,4050.0,LSEG,4060.0,0.247,1.0,-8.4,-6.9,-5.3,high,
2025Q3,2025-11-06,2025-11-07,4080.0,LSEG,4095.0,0.368,2.34,2.21,adjusted,1,-5.556,,2051.0,,131.75,133.6,1.404,21.9,22.9,4.566,166.67,2025Q4,2670.0,LSEG,2690.0,0.749,1.0,0.6,1.1,0.9,high,Zacks EPS consensus 2.29 vs LSEG 2.34: miss of -3.5% vs -5.6%.
2025Q4,2026-02-12,2026-02-13,2720.0,LSEG,2778.0,2.132,0.66,0.56,adjusted,1,-15.152,,786.0,,117.6,121.9,3.656,19.4,20.4,5.155,165.52,2026Q1,2530.0,LSEG,2610.0,3.162,1.0,4.4,8.9,10.1,high,FY26 growth guide 'at least low double digits' vs 10.2% consensus growth.
2026Q1,2026-05-07,2026-05-08,2620.0,LSEG,2678.0,2.214,0.29,0.26,adjusted,1,-10.345,485.0,519.0,7.01,155.77,156.2,0.276,27.82,29.2,4.96,178.54,2026Q2,3460.0,LSEG,3570.0,3.179,1.0,-1.6,-8.4,-6.4,high,
2026Q2,2026-08-06,2026-08-07,3580.0,LSEG,3608.0,0.782,1.25,1.37,adjusted,1,9.6,1225.6,1261.0,2.888,145.44,148.3,1.966,26.42,27.2,2.952,181.56,2026Q3,4610.0,LSEG,4730.0,2.603,1.0,16.3,19.6,,high,EBITDA consensus derived from TIKR's '+2.89% beat'. Zacks EPS consensus 1.20 vs LSEG 1.25.
