block,target,spec,test,n_04,n_16,r2_04,r2_16,adj_r2_04,adj_r2_16,loo_r2_04,loo_r2_16,loo_rmse_04,loo_rmse_16,naive_rmse_04,naive_rmse_16,perm_p_r2_04,perm_p_r2_16,const_04,const_16,b_guide_vs_street_pct_04,b_guide_vs_street_pct_16,t_guide_vs_street_pct_04,t_guide_vs_street_pct_16,p_guide_vs_street_pct_04,p_guide_vs_street_pct_16,b_beat_vs_guide_mid_pct_04,b_beat_vs_guide_mid_pct_16,t_beat_vs_guide_mid_pct_04,t_beat_vs_guide_mid_pct_16,p_beat_vs_guide_mid_pct_04,p_beat_vs_guide_mid_pct_16,b_nights_surprise_pct_04,b_nights_surprise_pct_16,t_nights_surprise_pct_04,t_nights_surprise_pct_16,p_nights_surprise_pct_04,p_nights_surprise_pct_16,b_nights_accel_04,b_nights_accel_16,t_nights_accel_04,t_nights_accel_16,p_nights_accel_04,p_nights_accel_16,b_revenue_surprise_pct_04,b_revenue_surprise_pct_16,t_revenue_surprise_pct_04,t_revenue_surprise_pct_16,p_revenue_surprise_pct_04,p_revenue_surprise_pct_16,b_eps_surprise_bps_of_px_04,b_eps_surprise_bps_of_px_16,t_eps_surprise_bps_of_px_04,t_eps_surprise_bps_of_px_16,p_eps_surprise_bps_of_px_04,p_eps_surprise_bps_of_px_16,b_pre_runup_20d_pct_04,b_pre_runup_20d_pct_16,t_pre_runup_20d_pct_04,t_pre_runup_20d_pct_16,p_pre_runup_20d_pct_04,p_pre_runup_20d_pct_16,share_negative_04,share_negative_16,mean_04,mean_16,median_04,median_16,binom_p_04,binom_p_16,binom_p_vs_base_rate_04,binom_p_vs_base_rate_16,n_negative_04,n_negative_16,b_gbv_surprise_pct_04,b_gbv_surprise_pct_16,t_gbv_surprise_pct_04,t_gbv_surprise_pct_16,p_gbv_surprise_pct_04,p_gbv_surprise_pct_16
multivariate,excess_20d_pct,guide_vs_street+nights,,,,,,,,,,,,,,0.5007,0.5011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multivariate,excess_20d_pct,guide_vs_street+nights_accel,,17.0,18.0,0.0392,0.0538,-0.0981,-0.0723,-0.0613,-0.0847,7.758,8.107,7.53,7.784,0.7465,0.6719,-5.519,-6.559,0.042,0.2581,0.136,0.757,0.8919,0.4489,,,,,,,,,,,,,-0.1322,-0.1734,-1.751,-2.282,0.08,0.0225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multivariate,excess_20d_pct,rev+eps,,16.0,19.0,0.1636,0.0708,0.0349,-0.0453,-0.0969,-0.3003,7.886,8.943,7.53,7.843,0.3097,0.5605,-4.089,-6.516,,,,,,,,,,,,,,,,,,,,,,,,,-0.68,0.2436,-0.574,0.723,0.566,0.4699,-0.2052,-0.0168,-1.139,-0.338,0.2547,0.7355,,,,,,,,,,,,,,,,,,,,,,,,
multivariate,excess_20d_pct,rev+eps+guide_vs_street,,15.0,16.0,0.3599,0.2207,0.1853,0.0259,0.0032,-0.3642,7.297,8.795,7.309,7.53,0.1592,0.3685,-1.229,-3.308,0.2458,0.4719,0.748,1.13,0.4546,0.2587,,,,,,,,,,,,,,,,,,,-1.7882,-1.7048,-1.488,-1.305,0.1368,0.192,-0.2331,-0.1568,-1.309,-0.794,0.1905,0.427,,,,,,,,,,,,,,,,,,,,,,,,
multivariate,excess_20d_pct,rev+guide_vs_street,,17.0,18.0,0.187,0.1208,0.0709,0.0036,0.0955,-0.0889,7.162,8.122,7.53,7.784,0.2404,0.3885,-0.628,-2.389,0.3523,0.4952,1.407,1.526,0.1594,0.1271,,,,,,,,,,,,,,,,,,,-2.6172,-2.2421,-3.103,-2.44,0.0019,0.0147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multivariate,excess_20d_pct,rev+guide_vs_street+runup,,17.0,18.0,0.2003,0.1241,0.0157,-0.0636,-0.2135,-0.3817,8.296,9.15,7.53,7.784,0.3949,0.5873,0.142,-2.673,0.457,0.4358,0.901,0.797,0.3678,0.4254,,,,,,,,,,,,,,,,,,,-2.9209,-2.1129,-2.342,-1.592,0.0192,0.1114,,,,,,,-0.0855,0.0422,-0.339,0.167,0.7348,0.8671,,,,,,,,,,,,,,,,,,
multivariate,excess_20d_pct,rev+nights,,,,,,,,,,,,,,0.1682,0.1536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multivariate,excess_5d_pct,beat_vs_guide+guide_vs_street,,18.0,19.0,0.1046,0.1116,-0.0148,0.0006,-0.2035,-0.2699,10.515,11.024,9.585,9.782,0.4339,0.3887,3.099,2.452,0.6929,0.9284,1.008,1.247,0.3134,0.2125,-2.7978,-2.9662,-1.414,-1.458,0.1574,0.1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multivariate,excess_5d_pct,guide_vs_street+nights,,15.0,16.0,0.0448,0.0849,-0.1144,-0.0558,-0.479,-0.24,8.883,10.156,7.304,9.12,0.7664,0.5515,-2.457,-1.864,-0.2032,-0.0319,-0.496,-0.07,0.6201,0.9441,,,,,,,0.472,1.4587,0.304,0.979,0.761,0.3274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multivariate,excess_5d_pct,guide_vs_street+nights_accel,,18.0,19.0,0.0092,0.0243,-0.1229,-0.0977,-0.4327,-0.5624,11.473,12.227,9.585,9.782,0.9294,0.8192,-2.959,-4.116,0.0619,0.3095,0.129,0.607,0.8973,0.5437,,,,,,,,,,,,,-0.0884,-0.1349,-0.7,-0.942,0.4839,0.3463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multivariate,excess_5d_pct,rev+eps,,17.0,20.0,0.0576,0.0302,-0.077,-0.0839,-0.1221,-0.0629,10.973,9.841,10.359,9.545,0.6685,0.7588,-0.426,-2.453,,,,,,,,,,,,,,,,,,,,,,,,,-1.7298,-0.2492,-1.217,-0.831,0.2238,0.4061,0.0521,-0.057,0.247,-1.656,0.8049,0.0977,,,,,,,,,,,,,,,,,,,,,,,,
multivariate,excess_5d_pct,rev+eps+guide_vs_street,,16.0,17.0,0.1586,0.1282,-0.0518,-0.073,-0.2406,-0.3896,11.345,12.212,10.186,10.359,0.5365,0.6015,2.488,0.487,0.4873,0.7292,0.79,1.097,0.4295,0.2725,,,,,,,,,,,,,,,,,,,-3.2385,-3.2119,-1.434,-1.407,0.1514,0.1595,0.0387,0.1198,0.169,0.498,0.8656,0.6183,,,,,,,,,,,,,,,,,,,,,,,,
multivariate,excess_5d_pct,rev+guide_vs_street,,18.0,19.0,0.1395,0.1042,0.0248,-0.0078,-0.1379,-0.283,10.225,11.08,9.585,9.782,0.3147,0.4079,2.025,0.259,0.4713,0.6411,0.925,1.084,0.3551,0.2783,,,,,,,,,,,,,,,,,,,-2.8986,-2.5509,-1.823,-1.6,0.0684,0.1097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multivariate,excess_5d_pct,rev+guide_vs_street+runup,,18.0,19.0,0.143,0.11,-0.0406,-0.0679,-0.3461,-0.4744,11.121,11.878,9.585,9.782,0.5229,0.6119,2.492,-0.181,0.5374,0.5437,0.795,0.732,0.4268,0.4642,,,,,,,,,,,,,,,,,,,-3.0829,-2.3478,-1.622,-1.223,0.1047,0.2214,,,,,,,-0.0572,0.072,-0.216,0.282,0.8289,0.7779,,,,,,,,,,,,,,,,,,
multivariate,excess_5d_pct,rev+nights,,18.0,19.0,0.0008,0.0154,-0.1325,-0.1077,-0.2375,-0.1453,8.056,9.326,7.242,8.715,0.9958,0.8882,-2.382,-0.913,,,,,,,,,,,,,-0.042,0.4779,-0.043,0.461,0.9659,0.6447,,,,,,,0.0358,-0.136,0.155,-0.499,0.8771,0.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post2022,excess_1d_pct,rev+guide_vs_street,,13.0,14.0,0.066,0.1464,-0.1208,-0.0087,-0.4419,-0.2772,10.526,10.146,8.766,8.978,0.7077,0.4157,-0.801,-2.113,1.0753,1.4834,0.682,1.084,0.4955,0.2785,,,,,,,,,,,,,,,,,,,-0.451,-0.0497,-0.212,-0.021,0.8318,0.983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post2022,excess_1d_pct,uni_beat_vs_guide_mid_pct,,,,,,,,,,,,,,0.967,0.9642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post2022,excess_1d_pct,uni_eps_surprise_bps_of_px,,,,,,,,,,,,,,0.6677,0.6537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post2022,excess_1d_pct,uni_eps_surprise_pct,,,,,,,,,,,,,,0.3989,0.3979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post2022,excess_1d_pct,uni_guide_vs_street_pct,,13.0,14.0,0.0626,0.1464,-0.0226,0.0753,-0.2076,-0.0335,9.633,9.127,8.766,8.978,0.4157,0.1774,-1.545,-2.19,1.0535,1.4774,0.74,1.353,0.4592,0.1762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post2022,excess_1d_pct,uni_nights_surprise_pct,,11.0,12.0,0.1377,0.1872,0.0418,0.1059,-0.1714,-0.0625,7.439,8.688,6.874,8.429,0.2567,0.1682,-2.7,-2.074,,,,,,,,,,,,,1.6906,2.4693,1.22,1.6,0.2225,0.1096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post2022,excess_1d_pct,uni_revenue_surprise_pct,,,,,,,,,,,,,,0.7686,0.7588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post2022,excess_20d_pct,rev+guide_vs_street,,12.0,13.0,0.126,0.2265,-0.0682,0.0718,-0.2883,-0.1307,8.88,8.797,7.823,8.273,0.5531,0.2735,-2.878,-4.373,1.2973,1.7711,1.037,1.574,0.2998,0.1154,,,,,,,,,,,,,,,,,,,-1.0892,-0.6339,-0.787,-0.452,0.4312,0.651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post2022,excess_20d_pct,uni_beat_vs_guide_mid_pct,,,,,,,,,,,,,,0.5869,0.5889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post2022,excess_20d_pct,uni_eps_surprise_bps_of_px,,,,,,,,,,,,,,0.189,0.1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post2022,excess_20d_pct,uni_eps_surprise_pct,,,,,,,,,,,,,,0.0778,0.0768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post2022,excess_20d_pct,uni_guide_vs_street_pct,,12.0,13.0,0.1013,0.2193,0.0114,0.1483,-0.1756,-0.0103,8.483,8.315,7.823,8.273,0.3025,0.111,-4.74,-5.397,1.1927,1.6669,0.978,1.577,0.3282,0.1148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post2022,excess_20d_pct,uni_nights_surprise_pct,,,,,,,,,,,,,,0.048,0.0478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post2022,excess_20d_pct,uni_revenue_surprise_pct,,,,,,,,,,,,,,0.8136,0.8118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post2022,excess_5d_pct,rev+guide_vs_street,,13.0,14.0,0.1872,0.2592,0.0247,0.1245,-0.1617,-0.0451,10.877,10.614,10.092,10.382,0.3619,0.1918,0.367,-1.142,1.8616,2.3308,1.158,1.648,0.2468,0.0993,,,,,,,,,,,,,,,,,,,-2.1135,-1.652,-1.092,-0.796,0.2748,0.4263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post2022,excess_5d_pct,uni_beat_vs_guide_mid_pct,,,,,,,,,,,,,,0.844,0.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post2022,excess_5d_pct,uni_eps_surprise_bps_of_px,,,,,,,,,,,,,,0.9572,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post2022,excess_5d_pct,uni_eps_surprise_pct,,,,,,,,,,,,,,0.1632,0.1606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post2022,excess_5d_pct,uni_guide_vs_street_pct,,13.0,14.0,0.1317,0.2278,0.0528,0.1634,-0.095,0.0593,10.561,10.069,10.092,10.382,0.2268,0.074,-3.121,-3.687,1.7591,2.131,1.159,1.754,0.2465,0.0794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post2022,excess_5d_pct,uni_nights_surprise_pct,,11.0,12.0,0.2898,0.2841,0.2109,0.2125,-0.155,0.0451,6.928,8.816,6.447,9.022,0.0862,0.0796,-4.163,-3.395,,,,,,,,,,,,,2.3004,3.2562,1.657,2.06,0.0975,0.0394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post2022,excess_5d_pct,uni_revenue_surprise_pct,,,,,,,,,,,,,,0.8458,0.8518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
signtest,excess_1d_pct,,EPS MISS vs consensus,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.429,-3.54,-0.43,-1.6,0.6,0.5,0.7734,0.4593,0.7362,,,,,,,,
signtest,excess_1d_pct,,MannWhitney guide ABOVE vs BELOW Street,19.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.37,5.5,,,0.0759,0.0403,,,,,,,,,,
signtest,excess_1d_pct,,guide midpoint BELOW Street,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.778,-2.08,-3.21,-6.1,-7.1,0.1445,0.0898,0.1178,0.0702,6.0,7.0,,,,,,
signtest,excess_20d_pct,,EPS MISS vs consensus,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.571,-4.3,-3.11,-6.4,-2.8,,,0.8711,0.9065,3.0,4.0,,,,,,
signtest,excess_20d_pct,,guide midpoint BELOW Street,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.95,-8.9,-6.65,-9.6,0.0039,0.002,0.0783,0.0569,8.0,9.0,,,,,,
signtest,excess_5d_pct,,EPS MISS vs consensus,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.571,-4.34,-3.21,-7.7,-2.6,,,0.7682,0.8037,3.0,4.0,,,,,,
signtest,excess_5d_pct,,guide midpoint BELOW Street,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,0.667,-4.4,-5.64,-6.65,-7.3,0.3633,0.2539,0.711,0.6143,5.0,6.0,,,,,,
univariate,excess_1d_pct,uni_beat_vs_guide_mid_pct,,,,,,,,,,,,,,0.3321,0.3259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
univariate,excess_1d_pct,uni_ebitda_surprise_pct,,,,,,,,,,,,,,0.7319,0.7373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
univariate,excess_1d_pct,uni_eps_surprise_bps_of_px,,17.0,20.0,0.0025,0.0938,-0.064,0.0435,-0.1991,-0.0071,10.094,9.001,9.218,8.969,0.8518,0.2064,-0.788,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0404,-0.0659,0.201,-2.739,0.841,0.0062,,,,,,,,,,,,,,,,,,,,,,,,
univariate,excess_1d_pct,uni_eps_surprise_pct,,,,,,,,,,,,,,0.6691,0.6657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
univariate,excess_1d_pct,uni_gbv_surprise_pct,,12.0,13.0,0.0146,0.0233,-0.084,-0.0655,-0.1908,-0.122,7.853,8.491,7.196,8.016,0.6583,0.6123,2.516,3.845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0918,-0.135,-0.573,-0.89,0.5664,0.3736
univariate,excess_1d_pct,uni_guide_vs_street_pct,,18.0,19.0,0.1162,0.1643,0.061,0.1151,-0.1755,-0.1493,9.238,9.373,8.52,8.743,0.1676,0.0868,-1.634,-2.309,0.652,0.7817,1.592,1.82,0.1115,0.0688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
univariate,excess_1d_pct,uni_nights_accel,,,,,,,,,,,,,,0.4505,0.4593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
univariate,excess_1d_pct,uni_nights_surprise_pct,,18.0,19.0,0.0012,0.0019,-0.0612,-0.0568,-0.0841,-0.0708,7.402,8.062,7.109,7.791,0.8938,0.8596,0.999,1.64,,,,,,,,,,,,,-0.1182,0.162,-0.175,0.234,0.8607,0.8152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
univariate,excess_1d_pct,uni_pre_runup_20d_pct,,,,,,,,,,,,,,0.5727,0.5743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
univariate,excess_20d_pct,uni_beat_vs_guide_mid_pct,,,,,,,,,,,,,,0.7109,0.7089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
univariate,excess_20d_pct,uni_ebitda_surprise_pct,,,,,,,,,,,,,,0.842,0.8478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
univariate,excess_20d_pct,uni_eps_surprise_bps_of_px,,16.0,19.0,0.1473,0.053,0.0864,-0.0027,0.0201,-0.2194,7.454,8.661,7.53,7.843,0.1462,0.3555,-5.203,-5.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2438,-0.0422,-1.599,-1.506,0.1098,0.1319,,,,,,,,,,,,,,,,,,,,,,,,
univariate,excess_20d_pct,uni_eps_surprise_pct,,,,,,,,,,,,,,0.1304,0.1322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
univariate,excess_20d_pct,uni_gbv_surprise_pct,,,,,,,,,,,,,,0.1416,0.1512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
univariate,excess_20d_pct,uni_guide_vs_street_pct,,17.0,18.0,0.0055,0.0015,-0.0608,-0.0609,-0.0807,-0.1817,7.829,8.462,7.53,7.784,0.789,0.8794,-5.026,-6.021,-0.1212,0.0641,-0.49,0.201,0.6239,0.841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
univariate,excess_20d_pct,uni_nights_accel,,,,,,,,,,,,,,0.4685,0.4699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
univariate,excess_20d_pct,uni_nights_surprise_pct,,,,,,,,,,,,,,0.0532,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
univariate,excess_20d_pct,uni_pre_runup_20d_pct,,,,,,,,,,,,,,0.7277,0.7445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
univariate,excess_20d_pct,uni_revenue_surprise_pct,,,,,,,,,,,,,,0.3353,0.3407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
univariate,excess_5d_pct,uni_beat_vs_guide_mid_pct,,,,,,,,,,,,,,0.4927,0.4933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
univariate,excess_5d_pct,uni_ebitda_surprise_pct,,,,,,,,,,,,,,0.8518,0.8496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
