quarter,call_date,source,analyst_neg_kw,analyst_pos_kw,prepared_words,qa_mgmt_words,analyst_words,qa_share_of_mgmt_words,n_analysts,n_analyst_turns,n_analyst_questions,n_mgmt_qa_turns,ceo_share_prepared,cfo_share_prepared,ceo_share_qa,cfo_share_qa,ceo_share_total,cfo_share_total,lm_net_prepared,lm_pos_prepared_per1k,lm_neg_prepared_per1k,lm_unc_prepared_per1k,hedge_prepared_per1k,lm_net_qa,lm_pos_qa_per1k,lm_neg_qa_per1k,lm_unc_qa_per1k,hedge_qa_per1k,lm_net_total,tone_gap_qa_minus_prepared,hedge_gap_qa_minus_prepared,analyst_lm_net_per1k,analyst_neg_kw_per_question,analyst_pos_kw_per_question,n_numbers_prepared,n_numbers_qa,numbers_prepared_per1k,numbers_qa_per1k,fwd_prepared_per1k,fwd_qa_per1k,n_guide_decline_phrases_qa,n_declines_hand_verified,n_sentences_prepared,n_sentences_qa,theme_demand_macro_n_prepared,theme_demand_macro_n_qa,theme_demand_macro_share_prepared,theme_demand_macro_share_qa,theme_demand_macro_share_total,theme_pricing_adr_n_prepared,theme_pricing_adr_n_qa,theme_pricing_adr_share_prepared,theme_pricing_adr_share_qa,theme_pricing_adr_share_total,theme_take_rate_fees_n_prepared,theme_take_rate_fees_n_qa,theme_take_rate_fees_share_prepared,theme_take_rate_fees_share_qa,theme_take_rate_fees_share_total,theme_marketing_n_prepared,theme_marketing_n_qa,theme_marketing_share_prepared,theme_marketing_share_qa,theme_marketing_share_total,theme_margins_profitability_n_prepared,theme_margins_profitability_n_qa,theme_margins_profitability_share_prepared,theme_margins_profitability_share_qa,theme_margins_profitability_share_total,theme_supply_hosts_n_prepared,theme_supply_hosts_n_qa,theme_supply_hosts_share_prepared,theme_supply_hosts_share_qa,theme_supply_hosts_share_total,theme_regulation_n_prepared,theme_regulation_n_qa,theme_regulation_share_prepared,theme_regulation_share_qa,theme_regulation_share_total,theme_ai_n_prepared,theme_ai_n_qa,theme_ai_share_prepared,theme_ai_share_qa,theme_ai_share_total,theme_new_businesses_n_prepared,theme_new_businesses_n_qa,theme_new_businesses_share_prepared,theme_new_businesses_share_qa,theme_new_businesses_share_total,theme_international_n_prepared,theme_international_n_qa,theme_international_share_prepared,theme_international_share_qa,theme_international_share_total,theme_buybacks_sbc_n_prepared,theme_buybacks_sbc_n_qa,theme_buybacks_sbc_share_prepared,theme_buybacks_sbc_share_qa,theme_buybacks_sbc_share_total,theme_competition_n_prepared,theme_competition_n_qa,theme_competition_share_prepared,theme_competition_share_qa,theme_competition_share_total,theme_long_term_targets_n_prepared,theme_long_term_targets_n_qa,theme_long_term_targets_share_prepared,theme_long_term_targets_share_qa,theme_long_term_targets_share_total,d_theme_demand_macro_share_total,d_theme_pricing_adr_share_total,d_theme_take_rate_fees_share_total,d_theme_marketing_share_total,d_theme_margins_profitability_share_total,d_theme_supply_hosts_share_total,d_theme_regulation_share_total,d_theme_ai_share_total,d_theme_new_businesses_share_total,d_theme_international_share_total,d_theme_buybacks_sbc_share_total,d_theme_competition_share_total,d_theme_long_term_targets_share_total,d_lm_net_total,d_lm_net_prepared,d_lm_net_qa,d_hedge_prepared_per1k,d_hedge_qa_per1k,d_numbers_prepared_per1k,d_analyst_lm_net_per1k,d_n_analyst_questions,d_ceo_share_total
2023Q2,2023-08-03,ir,1,1,1154,6188,935,0.843,10,21,18,23,1.0,0.0,0.697,0.303,0.745,0.255,16.46,20.8,4.33,2.6,4.33,14.54,19.39,4.85,10.18,17.13,14.85,-1.92,12.8,5.35,0.048,0.048,27,50,23.4,8.08,3.47,12.44,0,1,71,357,0,9,0.0,0.0252,0.021,14,33,0.1972,0.0924,0.1098,0,5,0.0,0.014,0.0117,0,12,0.0,0.0336,0.028,4,21,0.0563,0.0588,0.0584,16,40,0.2254,0.112,0.1308,0,0,0.0,0.0,0.0,0,12,0.0,0.0336,0.028,6,31,0.0845,0.0868,0.0864,2,23,0.0282,0.0644,0.0584,1,0,0.0141,0.0,0.0023,1,8,0.0141,0.0224,0.021,0,2,0.0,0.0056,0.0047,0.0044,-0.0041,0.0076,-0.0175,0.0232,-0.0079,-0.0021,-0.0113,0.0119,-0.0265,0.0002,0.0065,-0.0098,-0.26,5.64,-1.25,1.83,8.37,2.58,-1.39,-18,-0.052
2023Q3,2023-11-01,ir,3,0,769,7205,1472,0.904,14,23,34,28,1.0,0.0,0.766,0.234,0.789,0.211,44.21,45.51,1.3,5.2,10.4,10.69,15.41,4.72,11.24,19.57,13.92,-33.52,9.17,-0.68,0.13,0.0,22,58,28.61,8.05,3.9,7.36,2,1,51,395,0,8,0.0,0.0203,0.0179,5,40,0.098,0.1013,0.1009,0,4,0.0,0.0101,0.009,0,11,0.0,0.0278,0.0247,5,6,0.098,0.0152,0.0247,16,56,0.3137,0.1418,0.1614,0,20,0.0,0.0506,0.0448,0,10,0.0,0.0253,0.0224,2,43,0.0392,0.1089,0.1009,8,19,0.1569,0.0481,0.0605,1,0,0.0196,0.0,0.0022,1,11,0.0196,0.0278,0.0269,0,0,0.0,0.0,0.0,-0.0031,-0.0089,-0.0027,-0.0033,-0.0337,0.0306,0.0448,-0.0056,0.0145,0.0021,-0.0001,0.0059,-0.0047,-0.93,27.75,-3.85,6.07,2.44,5.21,-6.03,16,0.044
2023Q4,2024-02-13,ir,6,1,1384,6116,1507,0.815,16,16,29,29,0.918,0.082,0.544,0.417,0.613,0.355,26.73,30.35,3.61,5.06,8.67,14.55,17.66,3.11,6.38,10.14,16.8,-12.18,1.47,-1.99,0.375,0.062,34,55,24.57,8.99,11.56,12.92,0,0,88,330,0,5,0.0,0.0152,0.012,9,18,0.1023,0.0545,0.0646,0,7,0.0,0.0212,0.0167,0,15,0.0,0.0455,0.0359,2,8,0.0227,0.0242,0.0239,20,48,0.2273,0.1455,0.1627,0,1,0.0,0.003,0.0024,3,13,0.0341,0.0394,0.0383,6,19,0.0682,0.0576,0.0598,3,31,0.0341,0.0939,0.0813,3,4,0.0341,0.0121,0.0167,0,15,0.0,0.0455,0.0359,2,1,0.0227,0.003,0.0072,-0.0059,-0.0363,0.0077,0.0112,-0.0008,0.0013,-0.0424,0.0159,-0.0411,0.0208,0.0145,0.009,0.0072,2.88,-17.48,3.86,-1.73,-9.43,-4.04,-1.31,-5,-0.176
2024Q1,2024-05-08,ir,2,0,1038,6782,1513,0.867,13,31,29,27,1.0,0.0,0.658,0.342,0.704,0.296,23.12,26.97,3.85,1.93,3.85,9.14,16.96,7.81,5.75,9.73,11.0,-13.98,5.88,7.93,0.065,0.0,25,45,24.08,6.64,9.63,7.81,0,2,64,384,0,7,0.0,0.0182,0.0156,1,26,0.0156,0.0677,0.0603,0,1,0.0,0.0026,0.0022,0,15,0.0,0.0391,0.0335,4,13,0.0625,0.0339,0.0379,16,46,0.25,0.1198,0.1384,0,0,0.0,0.0,0.0,0,12,0.0,0.0312,0.0268,14,31,0.2188,0.0807,0.1004,3,21,0.0469,0.0547,0.0536,2,1,0.0312,0.0026,0.0067,0,6,0.0,0.0156,0.0134,0,2,0.0,0.0052,0.0045,0.0036,-0.0043,-0.0145,-0.0024,0.014,-0.0243,-0.0024,-0.0115,0.0406,-0.0277,-0.01,-0.0225,-0.0027,-5.8,-3.61,-5.41,-4.82,-0.41,-0.49,9.92,0,0.091
2024Q2,2024-08-06,ir,12,1,1035,6798,1420,0.868,14,14,23,23,1.0,0.0,0.574,0.426,0.63,0.37,27.05,33.82,6.76,7.73,11.59,6.03,10.59,4.56,6.91,12.21,8.81,-21.02,0.62,-1.41,0.857,0.071,23,33,22.22,4.85,12.56,13.97,1,1,61,331,4,23,0.0656,0.0695,0.0689,1,22,0.0164,0.0665,0.0587,0,1,0.0,0.003,0.0026,1,11,0.0164,0.0332,0.0306,2,12,0.0328,0.0363,0.0357,18,18,0.2951,0.0544,0.0918,0,4,0.0,0.0121,0.0102,0,8,0.0,0.0242,0.0204,5,50,0.082,0.1511,0.1403,5,28,0.082,0.0846,0.0842,2,4,0.0328,0.0121,0.0153,0,5,0.0,0.0151,0.0128,0,4,0.0,0.0121,0.0102,0.0533,-0.0016,0.0004,-0.0029,-0.0022,-0.0466,0.0102,-0.0064,0.0399,0.0306,0.0086,-0.0006,0.0057,-2.19,3.93,-3.11,7.74,2.48,-1.86,-9.34,-6,-0.074
2024Q3,2024-11-07,ir,0,0,1156,6464,1050,0.848,12,15,29,18,1.0,0.0,0.688,0.312,0.736,0.264,23.36,27.68,4.33,6.92,8.65,8.04,15.32,7.27,6.5,10.21,10.37,-15.32,1.56,2.86,0.0,0.0,24,49,20.76,7.58,13.84,17.02,0,1,75,373,5,6,0.0667,0.0161,0.0246,0,26,0.0,0.0697,0.058,0,0,0.0,0.0,0.0,2,13,0.0267,0.0349,0.0335,3,13,0.04,0.0349,0.0357,26,43,0.3467,0.1153,0.154,0,14,0.0,0.0375,0.0312,0,7,0.0,0.0188,0.0156,4,33,0.0533,0.0885,0.0826,7,23,0.0933,0.0617,0.067,2,3,0.0267,0.008,0.0112,0,5,0.0,0.0134,0.0112,0,0,0.0,0.0,0.0,-0.0443,-0.0007,-0.0026,0.0029,0.0,0.0622,0.021,-0.0048,-0.0577,-0.0172,-0.0041,-0.0016,-0.0102,1.56,-3.69,2.01,-2.94,-2.0,-1.46,4.27,6,0.106
2024Q4,2025-02-13,ir,4,0,1085,6824,1683,0.863,16,17,31,25,0.475,0.525,0.586,0.414,0.571,0.429,33.18,35.02,1.84,3.69,6.45,11.28,17.88,6.59,8.94,13.63,14.29,-21.9,7.18,10.7,0.235,0.0,36,57,33.18,8.35,23.04,12.9,0,0,59,356,3,5,0.0508,0.014,0.0193,0,15,0.0,0.0421,0.0361,0,7,0.0,0.0197,0.0169,0,15,0.0,0.0421,0.0361,10,16,0.1695,0.0449,0.0627,7,24,0.1186,0.0674,0.0747,0,6,0.0,0.0169,0.0145,0,7,0.0,0.0197,0.0169,8,43,0.1356,0.1208,0.1229,2,12,0.0339,0.0337,0.0337,3,5,0.0508,0.014,0.0193,1,10,0.0169,0.0281,0.0265,6,2,0.1017,0.0056,0.0193,-0.0053,-0.0219,0.0169,0.0026,0.027,-0.0793,-0.0167,0.0013,0.0403,-0.0333,0.0081,0.0153,0.0193,3.92,9.82,3.24,-2.2,3.42,12.42,7.84,2,-0.165
2025Q1,2025-05-01,ir,13,0,1321,5912,1537,0.817,15,16,31,22,0.395,0.605,0.54,0.46,0.514,0.486,24.22,27.25,3.03,13.63,26.5,5.07,14.88,9.81,6.43,10.49,8.57,-19.15,-16.01,1.3,0.812,0.0,29,18,21.95,3.04,16.65,7.27,0,3,89,311,5,18,0.0562,0.0579,0.0575,7,30,0.0787,0.0965,0.0925,0,3,0.0,0.0096,0.0075,2,8,0.0225,0.0257,0.025,7,17,0.0787,0.0547,0.06,8,27,0.0899,0.0868,0.0875,0,1,0.0,0.0032,0.0025,0,6,0.0,0.0193,0.015,7,23,0.0787,0.074,0.075,7,19,0.0787,0.0611,0.065,3,0,0.0337,0.0,0.0075,1,8,0.0112,0.0257,0.0225,5,2,0.0562,0.0064,0.0175,0.0382,0.0564,-0.0094,-0.0111,-0.0027,0.0128,-0.012,-0.0019,-0.0479,0.0313,-0.0118,-0.004,-0.0018,-5.72,-8.96,-6.21,20.05,-3.14,-11.23,-9.4,0,-0.057
2025Q2,2025-08-06,ir,5,0,1245,7438,1722,0.857,15,21,35,35,0.496,0.504,0.785,0.215,0.743,0.257,20.08,22.49,2.41,7.23,11.24,6.05,12.64,6.59,6.32,11.16,8.06,-14.03,-0.08,-0.58,0.238,0.0,38,34,30.52,4.57,13.65,12.5,2,3,72,471,2,5,0.0278,0.0106,0.0129,1,10,0.0139,0.0212,0.0203,0,2,0.0,0.0042,0.0037,3,12,0.0417,0.0255,0.0276,8,5,0.1111,0.0106,0.0239,5,32,0.0694,0.0679,0.0681,1,4,0.0139,0.0085,0.0092,1,27,0.0139,0.0573,0.0516,11,67,0.1528,0.1423,0.1436,7,21,0.0972,0.0446,0.0516,4,6,0.0556,0.0127,0.0184,0,16,0.0,0.034,0.0295,3,0,0.0417,0.0,0.0055,-0.0446,-0.0722,-0.0038,0.0026,-0.0361,-0.0194,0.0067,0.0366,0.0686,-0.0134,0.0109,0.007,-0.012,-0.51,-4.14,0.98,-15.26,0.67,8.57,-1.88,4,0.229
2025Q3,2025-11-06,ir,1,2,2235,6728,1124,0.751,12,22,22,17,0.7,0.3,0.885,0.115,0.839,0.161,16.11,19.24,3.13,6.71,9.4,7.13,13.08,5.95,8.32,12.93,9.37,-8.98,3.53,10.68,0.045,0.091,40,17,17.9,2.53,17.0,13.38,0,3,137,421,2,4,0.0146,0.0095,0.0108,3,17,0.0219,0.0404,0.0358,0,0,0.0,0.0,0.0,0,6,0.0,0.0143,0.0108,9,7,0.0657,0.0166,0.0287,8,21,0.0584,0.0499,0.052,2,7,0.0146,0.0166,0.0161,18,27,0.1314,0.0641,0.0806,16,76,0.1168,0.1805,0.1649,4,10,0.0292,0.0238,0.0251,6,0,0.0438,0.0,0.0108,1,14,0.0073,0.0333,0.0269,6,2,0.0438,0.0048,0.0143,-0.0021,0.0155,-0.0037,-0.0168,0.0048,-0.0161,0.0069,0.029,0.0213,-0.0265,-0.0076,-0.0026,0.0088,1.31,-3.97,1.08,-1.84,1.77,-12.62,11.26,-13,0.096
2025Q4,2026-02-12,ir,6,1,2717,5355,1218,0.663,12,12,27,17,0.654,0.346,0.624,0.376,0.634,0.366,25.03,30.18,5.15,8.1,11.78,14.19,20.92,6.72,6.54,10.83,17.84,-10.84,-0.95,5.75,0.5,0.083,48,27,17.67,5.04,18.03,14.19,0,1,186,329,8,8,0.043,0.0243,0.0311,13,8,0.0699,0.0243,0.0408,4,6,0.0215,0.0182,0.0194,1,3,0.0054,0.0091,0.0078,14,9,0.0753,0.0274,0.0447,15,34,0.0806,0.1033,0.0951,2,1,0.0108,0.003,0.0058,6,33,0.0323,0.1003,0.0757,10,28,0.0538,0.0851,0.0738,6,13,0.0323,0.0395,0.0369,6,0,0.0323,0.0,0.0117,3,5,0.0161,0.0152,0.0155,7,3,0.0376,0.0091,0.0194,0.0203,0.005,0.0194,-0.003,0.016,0.0431,-0.0103,-0.0049,-0.0911,0.0118,0.0009,-0.0114,0.0051,8.47,8.92,7.06,2.38,-2.1,-0.23,-4.93,5,-0.205
