feature,target,q,actual,pred,naive,ar1,err,err_naive,n_train
px_fx_contribution_fitted,adr_fx_effect,2025Q4,2.9,3.298935173068586,2.7,1.5592408798283264,0.39893517306858595,-0.19999999999999973,11
px_fx_contribution_fitted,adr_fx_effect,2026Q1,5.0,4.820778147994094,2.9,2.0066049871363547,-0.1792218520059059,-2.1,12
px_fx_contribution_fitted,adr_fx_effect,2026Q2,1.3,2.3464890649721966,5.0,4.045499501648394,1.0464890649721965,3.7,13
mx_usd_yoy,adr_yoy,2024Q1,2.642,1.6207962579515598,2.565,2.7036797630839744,-1.02120374204844,-0.07699999999999996,4
mx_usd_yoy,adr_yoy,2024Q2,2.12,0.9568803439755954,2.642,2.707344028329167,-1.1631196560244046,0.5219999999999998,5
mx_usd_yoy,adr_yoy,2024Q3,1.4,1.3919055103080784,2.12,2.4078194263065473,-0.008094489691921503,0.7200000000000002,6
mx_usd_yoy,adr_yoy,2024Q4,0.893,1.0442827254558105,1.4,2.060840656872396,0.15128272545581045,0.5069999999999999,7
mx_usd_yoy,adr_yoy,2025Q1,-0.891,0.2764197318890522,0.893,1.6630397637653156,1.1674197318890522,1.784,8
mx_usd_yoy,adr_yoy,2025Q2,2.92,2.1046938325668134,-0.891,-0.17681303295370493,-0.8153061674331865,-3.811,9
mx_usd_yoy,adr_yoy,2025Q3,4.675,2.962781902572764,2.92,1.9811250336465964,-1.7122180974272356,-1.755,10
mx_usd_yoy,adr_yoy,2025Q4,5.932,4.240803361700858,4.675,3.1652283463166455,-1.6911966382991421,-1.2570000000000006,11
mx_usd_yoy,adr_yoy,2026Q1,9.035,6.1762385455562665,5.932,5.166356245922824,-2.8587614544437336,-3.1029999999999998,12
mx_usd_yoy,adr_yoy,2026Q2,5.301,4.482032185655772,9.035,10.120429238571264,-0.8189678143442283,3.734,13
pr_hotel_revpar_yoy,nights_yoy,2024Q1,9.496,10.870589956813651,12.018,12.930285362191407,1.3745899568136508,2.5220000000000002,4
pr_hotel_revpar_yoy,nights_yoy,2024Q2,8.688,10.670876710479188,9.496,12.105057673261497,1.9828767104791876,0.8079999999999998,5
pr_hotel_revpar_yoy,nights_yoy,2024Q3,8.481,9.587591386400355,8.688,10.516649839214029,1.1065913864003551,0.20700000000000074,6
pr_hotel_revpar_yoy,nights_yoy,2024Q4,12.348,9.966668177400354,8.481,9.73539751311304,-2.3813318225996465,-3.867000000000001,7
pr_hotel_revpar_yoy,nights_yoy,2025Q1,7.919,10.068713624850163,12.348,10.86326531367347,2.149713624850164,4.429000000000001,8
pr_hotel_revpar_yoy,nights_yoy,2025Q2,7.434,8.886365871910094,7.919,10.12170136750682,1.4523658719100938,0.48499999999999943,9
pr_hotel_revpar_yoy,nights_yoy,2025Q3,8.795,8.386913365268338,7.434,9.381883393861356,-0.40808663473166185,-1.3609999999999998,10
pr_hotel_revpar_yoy,nights_yoy,2025Q4,9.82,8.927102755499718,8.795,9.530760762657984,-0.8928972445002827,-1.0250000000000004,11
pr_hotel_revpar_yoy,nights_yoy,2026Q1,9.154,9.874617920108648,9.82,9.77126947842152,0.7206179201086478,0.6660000000000004,12
pr_hotel_revpar_yoy,nights_yoy,2026Q2,10.342,9.7358349107259,9.154,9.57991114887696,-0.6061650892741,-1.1880000000000006,13
mx_bea_hotels_nominal_yoy,nights_yoy,2024Q1,9.496,10.999942668251473,12.018,12.930285362191407,1.5039426682514723,2.5220000000000002,4
mx_bea_hotels_nominal_yoy,nights_yoy,2024Q2,8.688,9.670349884105422,9.496,12.105057673261497,0.982349884105421,0.8079999999999998,5
mx_bea_hotels_nominal_yoy,nights_yoy,2024Q3,8.481,8.486672356179557,8.688,10.516649839214029,0.005672356179557525,0.20700000000000074,6
mx_bea_hotels_nominal_yoy,nights_yoy,2024Q4,12.348,8.427432257691427,8.481,9.73539751311304,-3.920567742308574,-3.867000000000001,7
mx_bea_hotels_nominal_yoy,nights_yoy,2025Q1,7.919,8.388637410154836,12.348,10.86326531367347,0.46963741015483595,4.429000000000001,8
mx_bea_hotels_nominal_yoy,nights_yoy,2025Q2,7.434,9.029732763696776,7.919,10.12170136750682,1.595732763696776,0.48499999999999943,9
mx_bea_hotels_nominal_yoy,nights_yoy,2025Q3,8.795,8.996512647992192,7.434,9.381883393861356,0.20151264799219248,-1.3609999999999998,10
mx_bea_hotels_nominal_yoy,nights_yoy,2025Q4,9.82,9.273846566439447,8.795,9.530760762657984,-0.5461534335605531,-1.0250000000000004,11
mx_bea_hotels_nominal_yoy,nights_yoy,2026Q1,9.154,10.407252796272257,9.82,9.77126947842152,1.2532527962722568,0.6660000000000004,12
mx_bea_hotels_nominal_yoy,nights_yoy,2026Q2,10.342,11.057917741680555,9.154,9.57991114887696,0.7159177416805544,-1.1880000000000006,13
demand_p22_eq,nights_yoy,2024Q4,12.348,9.033169684191016,8.481,9.73539751311304,-3.314830315808985,-3.867000000000001,4
demand_p22_eq,nights_yoy,2025Q1,7.919,10.700355695762603,12.348,10.86326531367347,2.7813556957626036,4.429000000000001,5
demand_p22_eq,nights_yoy,2025Q2,7.434,9.402841596623034,7.919,10.12170136750682,1.968841596623034,0.48499999999999943,6
demand_p22_eq,nights_yoy,2025Q3,8.795,9.330174865544832,7.434,9.381883393861356,0.5351748655448318,-1.3609999999999998,7
demand_p22_eq,nights_yoy,2025Q4,9.82,9.746576088017619,8.795,9.530760762657984,-0.07342391198238118,-1.0250000000000004,8
demand_p22_eq,nights_yoy,2026Q1,9.154,9.706346081658445,9.82,9.77126947842152,0.5523460816584453,0.6660000000000004,9
demand_p22_eq,nights_yoy,2026Q2,10.342,9.586302123785398,9.154,9.57991114887696,-0.7556978762146027,-1.1880000000000006,10
ia_reviews_l30d_matched_yoy,nights_yoy,2024Q4,12.348,9.314925383113685,8.481,9.73539751311304,-3.0330746168863154,-3.867000000000001,4
ia_reviews_l30d_matched_yoy,nights_yoy,2025Q1,7.919,9.876955899487784,12.348,10.86326531367347,1.9579558994877848,4.429000000000001,5
ia_reviews_l30d_matched_yoy,nights_yoy,2025Q2,7.434,9.89984649147424,7.919,10.12170136750682,2.465846491474239,0.48499999999999943,6
ia_reviews_l30d_matched_yoy,nights_yoy,2025Q3,8.795,11.123221413554772,7.434,9.381883393861356,2.328221413554772,-1.3609999999999998,7
ia_reviews_l30d_matched_yoy,nights_yoy,2025Q4,9.82,8.898657714850405,8.795,9.530760762657984,-0.9213422851495956,-1.0250000000000004,8
ia_reviews_l30d_matched_yoy,nights_yoy,2026Q1,9.154,8.31181775291446,9.82,9.77126947842152,-0.8421822470855407,0.6660000000000004,9
ia_reviews_l30d_matched_yoy,nights_yoy,2026Q2,10.342,10.10505083718141,9.154,9.57991114887696,-0.2369491628185898,-1.1880000000000006,10
