quarter,section,role,exec,speaker,firm,words,lm_pos,lm_neg,lm_unc,lm_weak_modal,hedge_extra,n_numbers,n_fwd,text_head
2020Q4,qa,mgmt,ceo,Brian Chesky,,962,11,11,9,8,0,14,15,"Yeah. These are two really good questions. Thank you for them. I'll start with supply, then I'll go to performance marketing. On supply, let's just start framin"
2020Q4,qa,mgmt,cfo,Dave Stephenson,,150,0,0,1,1,0,0,12,Yeah. I think you covered it really well. I'll just round it out by saying that we'll continue to use performance marketing where it makes economic sense to do 
2020Q4,qa,analyst,analyst,Lloyd Walmsley,Deutsche Bank,6,0,0,0,0,0,0,0,All right. Very helpful. Thank you.
2020Q4,qa,operator,operator,Operator,,11,0,1,0,0,0,0,0,Your next question comes from Justin Post with Bank of America.
2020Q4,qa,analyst,analyst,Justin Post,Bank of America,115,0,1,0,0,0,0,3,"Thank you. A couple of questions. Obviously, a lot of cost discipline this year to get to close to breakeven by Q4, which is pretty remarkable. How are you thin"
2020Q4,qa,mgmt,ceo,Brian Chesky,,435,7,7,1,1,0,0,5,"Thank you very much, Justin. Why don't I start? And then I'll let Dave elaborate. Let me just start at a high level about cost discipline. We would have, of cou"
2020Q4,qa,mgmt,cfo,Dave Stephenson,,317,15,0,2,0,0,4,12,Yes. I'll just round it out by saying the overall number of active listing to experiences was relatively stable in Q4 relative to Q3 at about 5.6 million. So we
2020Q4,qa,analyst,analyst,Justin Post,Bank of America,3,1,0,0,0,0,0,0,Great. Thank you.
2020Q4,qa,operator,operator,Operator,,10,0,1,0,0,0,0,0,And your next question comes from Jed Kelly with Oppenheimer.
2020Q4,qa,analyst,analyst,Jed Kelly,Oppenheimer,56,1,1,2,2,0,0,0,"Great. Thanks for taking my question. Two if I may. Just one, can you provide any color on how your bookings for summer travel are trending relative to this tim"
2020Q4,qa,mgmt,ceo,Brian Chesky,,16,0,1,1,1,0,0,0,"Thank you for the question. Dave, maybe you can take summer travel, and I'll take Olympics."
2020Q4,qa,mgmt,cfo,Dave Stephenson,,149,2,1,0,0,0,0,2,"Sure. I don't have a lot of color that I can give you on summer travel bookings. I mean, one thing I can say is that people are booking in shorter windows. So t"
2020Q4,qa,mgmt,ceo,Brian Chesky,,373,8,10,0,0,0,0,15,"And then on the question of the Olympics. You know, we are a sponsor of the Olympics. And if the Olympics has fans, I think it would be a great boon to travel. "
2020Q4,qa,analyst,analyst,Jed Kelly,Oppenheimer,2,0,0,0,0,0,0,0,Thank you.
2020Q4,qa,operator,operator,Operator,,10,0,1,0,0,0,0,0,And your next question comes from Brent Thill with Jefferies.
2020Q4,qa,analyst,analyst,Brent Thill,Jefferies,74,0,0,2,2,0,0,1,"Thanks. Brian, just if you could comment on the experience business and what you're seeing there and how important that is to the overall strategy right now. An"
2020Q4,qa,mgmt,ceo,Brian Chesky,,678,4,3,1,1,0,3,8,"Yeah. Thanks for the question, Brent. So, yeah, I'll talk about experiences and hotels. So with experiences, this is a very important product for us. Experience"
2020Q4,qa,operator,operator,Operator,,10,0,1,0,0,0,0,0,And your next question comes from Colin Sebastian with Baird.
2020Q4,qa,analyst,analyst,Colin Sebastian,Baird,116,4,3,1,1,0,0,0,"Great. Thanks and good afternoon. A couple of questions for me, really follow-ups. But given some of the expense rationalization last year, how confident are yo"
2020Q4,qa,mgmt,ceo,Brian Chesky,,551,16,5,3,1,0,0,7,"Yes. Really good questions. So let me start with being able to handle the rebound in the face of reductions, and then I'll go to new use cases, and Dave will fi"
2020Q4,qa,mgmt,cfo,Dave Stephenson,,151,7,0,0,0,0,0,7,Yes. I think the things I'd round out is that I'm very happy with the underlying progress we've made in our operations support area in terms of improving the ef
2020Q4,qa,analyst,analyst,Colin Sebastian,Baird,3,1,0,0,0,0,0,0,Great. Thank you.
2020Q4,qa,operator,operator,Operator,,16,0,1,0,0,0,0,0,Our next question comes from Michael Graham with Canaccord. Your line is open. Please go ahead.
2020Q4,qa,analyst,analyst,Michael Graham,Canaccord Genuity,104,0,2,0,0,0,0,0,"Sorry, I was on mute. Pardon me. Two quick questions. One on pricing. You mentioned that your average daily rate was up in the shareholder letter because of mix"
2020Q4,qa,mgmt,ceo,Brian Chesky,,418,8,1,0,0,0,1,11,"Thank you, Michael. Why don't I start with simplifying the guest experience? And, Dave, I can hand over to you for pricing. So yes, as we said, to prepare for t"
2020Q4,qa,mgmt,cfo,Dave Stephenson,,90,0,0,1,1,0,1,0,"Yes. In regards to ADR, we did see elevated rates of the average daily rate, and Q4 was up 13% year over year. We're seeing almost all of that as just a form of"
2020Q4,qa,analyst,analyst,Michael Graham,Canaccord Genuity,2,0,0,0,0,0,0,0,Thank you.
2020Q4,qa,operator,operator,Operator,,10,0,1,0,0,0,0,0,And your next question comes from Jason Bazinet with Citi.
2020Q4,qa,analyst,analyst,Jason Bazinet,Citi,79,0,1,4,2,0,0,2,"You know, maybe my numbers are wrong, but when I look back over the last five years, it seems as though you've actually widened the gap between yourself and you"
2020Q4,qa,mgmt,ceo,Brian Chesky,,345,2,2,2,0,0,3,2,"Thank you very much for the question, Jason. Yes, I'll start by saying a couple of things. Number one, travel is one of the largest industries in the world and "
2020Q4,qa,analyst,analyst,Jason Bazinet,Citi,5,0,0,0,0,0,0,0,That's super interesting. Thank you.
2020Q4,qa,operator,operator,Operator,,10,0,1,0,0,0,0,0,And your next question comes from Justin Patterson with KeyBanc.
2020Q4,qa,analyst,analyst,Justin Patterson,KeyBanc,89,4,0,0,0,0,0,0,Great. Thank you very much. We've spoken a lot on discovery and just how travel is changing. I'm curious to hear how you're thinking of helping individual hosts
2020Q4,qa,mgmt,ceo,Brian Chesky,,489,17,1,2,1,0,3,7,"Great. Great questions. So why don't I start with host, and then we'll get to payment. And I'll let Dave elaborate on payments. So one of the things we're doing"
2020Q4,qa,mgmt,cfo,Dave Stephenson,,169,3,1,0,0,0,2,0,"Yes. I mean, we process 100% of the guest payments on Airbnb, and that's super powerful. Individual hosts would not be able to host without us processing those "
2020Q4,qa,analyst,analyst,Justin Patterson,KeyBanc,3,1,0,0,0,0,0,0,Great. Thank you.
2020Q4,qa,operator,operator,Operator,,13,0,1,0,0,0,0,0,[Operator instructions] And your next question comes from Stephen Ju with Credit Suisse.
2020Q4,qa,analyst,analyst,Stephen Ju,Credit Suisse,147,1,3,4,2,0,0,0,"OK. Thank you. So, Brian, what do you think is the gap in awareness of Airbnb between your more well-established markets like the U.S. and some of your emerging"
2020Q4,qa,mgmt,ceo,Brian Chesky,,319,11,4,2,1,0,0,8,"Thank you for the question, Stephen, and I'll answer the first question. I'll let Dave answer the second. With regards to your question about the gap of awarene"
2020Q4,qa,mgmt,cfo,Dave Stephenson,,219,7,0,3,2,0,0,3,"Yes, great. On fees, it's just important that we charge a really fair price for stays in Airbnb, and we continue to have a great value. We believe that we do ha"
2020Q4,qa,analyst,analyst,Stephen Ju,Credit Suisse,2,0,0,0,0,0,0,0,Thank you.
2020Q4,qa,operator,operator,Operator,,10,0,1,0,0,0,0,0,And your next question comes from Mario Lu with Barclays.
2020Q4,qa,analyst,analyst,Mario Lu,Barclays,93,1,1,2,1,0,3,2,"Great. Thanks for taking my questions. In terms of the guest profile in 2020, just curious if the recent trends in travel, such as domestic, nonurban, and whole"
2020Q4,qa,mgmt,ceo,Brian Chesky,,8,0,0,0,0,0,0,0,"Dave, why don't I hand it to you?"
2020Q4,qa,mgmt,cfo,Dave Stephenson,,298,9,5,3,2,0,1,0,"Sure. On the mix of new guests, it has been a great opportunity to introduce Airbnb to new guests. It's easier to go use Airbnb by driving 50 miles down the roa"
2020Q4,qa,analyst,analyst,Mario Lu,Barclays,4,0,0,0,0,0,0,0,That makes sense. Thanks.
2020Q4,qa,operator,operator,Operator,,10,0,1,0,0,0,0,0,And your next question comes from Kevin Kopelman with Cowen.
2020Q4,qa,analyst,analyst,Kevin Kopelman,TD Cowen,77,1,0,1,1,0,0,1,"Great. Thanks so much. So during the pandemic, you've seen kind of this sun, skin, and suburban properties do really well. As we've started to see some pickup h"
2020Q4,qa,mgmt,ceo,Brian Chesky,,10,1,0,0,0,0,0,0,"Yeah. Dave, I think this would be great for you."
2020Q4,qa,mgmt,cfo,Dave Stephenson,,144,1,0,1,1,0,1,6,Sure. Urban is still a really important part of our business. Over 40% of our nights still are urban. And it's just the nonurban and low-density urban is the pl
2020Q4,qa,analyst,analyst,Kevin Kopelman,TD Cowen,3,0,0,0,0,0,0,0,Thanks so much.
2020Q4,qa,operator,operator,Operator,,25,0,2,0,0,0,0,1,OK. And that is all the time we have for questions. I will now turn the call back over to the company for closing remarks.
2020Q4,qa,mgmt,ceo,Brian Chesky,,73,1,0,0,0,0,0,1,"Thank you, everyone, for joining us today for our first earnings call as a public company. Before I end today, I just want to end by thanking all of you, our sh"
2020Q4,qa,operator,operator,Operator,,2,0,0,0,0,0,0,0,[Operator signoff]
2021Q1,prepared,operator,operator,Operator,,60,1,0,0,0,0,0,2,"Good afternoon, and thank you for joining Airbnb's earnings conference call for the first quarter of 2021. As a reminder, this conference call is being recorded"
2021Q1,prepared,ir,ir,Ian Lee,,261,1,0,4,1,0,1,4,"Good afternoon and welcome to Airbnb's first quarter of 2021 earnings call. Thank you for joining us today. On the call today, we have Airbnb's co-founder and C"
2021Q1,prepared,mgmt,ceo,Brian Chesky,,1123,34,9,5,3,0,10,19,"All right. Thank you very much, Ian. And thank you, everyone, for joining us today. I want to start by acknowledging the state of the pandemic. COVID-19 cases c"
2021Q1,qa,operator,operator,Operator,,13,0,1,0,0,0,0,0,[Operator instructions] Your first question comes from Justin Post with Bank of America.
2021Q1,qa,analyst,analyst,Justin Post,Bank of America,122,6,1,4,3,0,0,3,"Great. Thanks so much for taking my question. I guess I really want to focus on behavior change, which could benefit the company, first hosts, and also guests. "
2021Q1,qa,mgmt,ceo,Brian Chesky,,1134,11,6,8,4,0,12,19,"Thank you very much, Justin. So why don't I start? And Dave, feel free to add in after I go. So let's start with hosts, and then we'll go to guests. So Justin, "
2021Q1,qa,analyst,analyst,Justin Post,Bank of America,11,1,0,0,0,0,0,0,"Great. Thanks for that very detailed answer, and I appreciate it."
2021Q1,qa,operator,operator,Operator,,10,0,1,0,0,0,0,0,And your next question comes from Mario Lu with Barclays.
2021Q1,qa,analyst,analyst,Mario Lu,Barclays,71,0,1,0,0,0,1,2,Thanks for taking the questions. The first one's on listings count. So you said you have similar levels to last quarter around 5.6 million. But with this hostin
2021Q1,qa,mgmt,ceo,Brian Chesky,,44,1,2,0,0,0,1,0,"Yes. Dave, why don't I give you this question? And it's a great question, Mario. And I'll also say that in Q1, 28% of our hosts were now prior guests as well. S"
2021Q1,qa,mgmt,cfo,Dave Stephenson,,145,7,0,0,0,0,3,4,"Yeah. To be clear on the stat, it's that of guests, 25%, about 24% were former -- new hosts were former guests. So just to be clear with the percentage. You kno"
2021Q1,qa,analyst,analyst,Mario Lu,Barclays,63,1,0,0,0,0,0,2,"Great, and then just one follow-up on domestic versus international. So I'm not sure if you can see this in your data yet, but just curious to hear if you're se"
2021Q1,qa,mgmt,ceo,Brian Chesky,,11,0,0,0,0,0,0,0,"Yes. Dave, do you want to take this one as well?"
2021Q1,qa,mgmt,cfo,Dave Stephenson,,179,3,1,2,2,0,2,7,"Yeah. I mean just unsure exactly where everything will settle out for domestic versus international. Clearly, right now 80% of our nights in Q1 were domestic. S"
2021Q1,qa,operator,operator,Operator,,10,0,1,0,0,0,0,0,And your next question comes from Colin Sebastian with Baird.
2021Q1,qa,analyst,analyst,Colin Sebastian,Baird,107,1,1,2,2,1,0,1,"Thanks. Good afternoon. I have a couple of questions on investments and spending. I guess first off, what gives you the confidence that you can moderate sales a"
2021Q1,qa,mgmt,ceo,Brian Chesky,,574,6,4,4,4,0,2,3,"Yeah. Thank you very much, Colin. Dave, why don't I take this at a high level, and you can obviously go into more detailed analysis? So Colin, a couple of thing"
2021Q1,qa,mgmt,cfo,Dave Stephenson,,125,4,0,0,0,0,0,6,Yeah. I mean our product development spend will increase at a lower rate than revenue. We're not going to have to add back significant number of fixed resources
2021Q1,qa,analyst,analyst,Colin Sebastian,Baird,2,0,0,0,0,0,0,0,Thank you.
2021Q1,qa,operator,operator,Operator,,11,0,1,0,0,0,0,0,And your next question comes from Naved Khan with Truist Securities.
2021Q1,qa,analyst,analyst,Naved Khan,Truist,44,0,0,2,2,0,0,1,"Brian, maybe give us your thoughts about the reopening of urban travel in terms of timing. How are you thinking about it? Is that something that you think might"
2021Q1,qa,mgmt,ceo,Brian Chesky,,265,1,1,3,0,0,0,1,"Yeah. Thank you very much, Naved, for the question. Well, let me preface my answer with two comments. Number one, I'll be -- I'll try to be careful with predict"
2021Q1,qa,mgmt,cfo,Dave Stephenson,,29,1,0,1,1,0,0,0,"Yeah, our urban travel growth rate has increased every month this year and continues to do so through April and early May. So we're just seeing continued positi"
2021Q1,qa,analyst,analyst,Naved Khan,Truist,37,0,0,6,6,0,0,0,"That's very helpful. And maybe a quick follow-up, if I may. So Brian, you talked about business travel may be becoming a little different where people might jus"
2021Q1,qa,mgmt,ceo,Brian Chesky,,1,0,0,0,0,0,0,0,Yes.
2021Q1,qa,analyst,analyst,Naved Khan,Truist,25,2,0,1,1,0,0,1,Is there a -- do you see a good opportunity to maybe take share in that segment versus previously just targeting business travelers going into cities?
2021Q1,qa,mgmt,ceo,Brian Chesky,,257,3,1,5,4,0,0,6,"Yeah. I mean in New York City, in Los Angeles, a number of these cities, you know, we almost have as many nights booked for stays longer than 28 days as we do s"
2021Q1,qa,analyst,analyst,Naved Khan,Truist,2,0,0,0,0,0,0,0,Thank you.
2021Q1,qa,operator,operator,Operator,,10,0,1,0,0,0,0,0,And your next question comes from James Lee with Mizuho.
2021Q1,qa,analyst,analyst,James Lee,Mizuho,100,1,3,1,1,0,1,0,"Great. Thanks for taking my question. A couple of questions regarding the supply side. And can you guys talk about maybe supply and demand balance, you know, by"
2021Q1,qa,mgmt,ceo,Brian Chesky,,22,0,0,1,0,0,0,0,"Yeah. Dave, do you want to take supply and demand? I can probably take the increase in pro hosts and key friction?"
2021Q1,qa,mgmt,cfo,Dave Stephenson,,182,2,4,3,3,0,0,2,"Sounds good, yes. I mean on supply and demand, really, what we're seeing, because cross-border and urban travel has not yet fully rebounded, the places that we'"
2021Q1,qa,mgmt,ceo,Brian Chesky,,505,9,2,3,1,0,4,6,"Yeah. And James, why don't I jump in and say this. One of the things that Dave just said, I want to put out underline under, highlights. Before the pandemic, mo"
2021Q1,qa,analyst,analyst,James Lee,Mizuho,30,0,1,1,1,0,0,0,"If I can ask a follow-up question also on the host's side, too. Are you seeing increased competition for acquiring hosts and maybe potentially pressure on your "
2021Q1,qa,mgmt,ceo,Brian Chesky,,8,0,0,0,0,0,0,0,"Dave, do you want to take this one?"
2021Q1,qa,mgmt,cfo,Dave Stephenson,,85,0,2,0,0,0,3,0,"Sure. You know, right now what we're seeing is -- remember, it comes back to what our hosts are. We have 4 million hosts around the world. The vast majority of "
2021Q1,qa,analyst,analyst,James Lee,Mizuho,12,0,0,1,1,0,0,0,"Yeah, increased competition for hosts and maybe potentially pressure on take rates?"
2021Q1,qa,mgmt,cfo,Dave Stephenson,,106,3,0,0,0,0,0,0,"Yeah, no, pressure on the take rates. You know, right now, we're not seeing the pressure in take rates. We think that we have a really great value to the take r"
2021Q1,qa,analyst,analyst,James Lee,Mizuho,2,0,0,0,0,0,0,0,Thank you.
2021Q1,qa,operator,operator,Operator,,13,0,1,0,0,0,0,0,[Operator instructions] And your next question comes from Brian Nowak with Morgan Stanley.
2021Q1,qa,analyst,analyst,Brian Nowak,Morgan Stanley,144,1,1,0,0,0,1,0,Thanks for taking my questions. I have two. The first one on the -- is on the 2020 new users that you added. It was a great year to sort of add a lot of new use
2021Q1,qa,mgmt,ceo,Brian Chesky,,39,0,2,0,0,0,0,0,"Yeah. thank you very much, Brian. Dave, why don't I take the second question on monetization and take rates? Why don't you take the question on new users, what "
2021Q1,qa,mgmt,cfo,Dave Stephenson,,159,0,1,0,0,0,1,2,"Yeah. So what we're seeing for new users, you know, it's early, but all of the early data for the new users that we've acquired here during 2020 is that the ret"
2021Q1,qa,mgmt,ceo,Brian Chesky,,219,6,5,1,1,0,1,0,"And then Brian, to your question about monetization and take rate, we absolutely see lots of opportunities to increase our monetization and take rate for both g"
2021Q1,qa,analyst,analyst,Brian Nowak,Morgan Stanley,4,1,0,0,0,0,0,0,"Great. Thank you, both."
2021Q1,qa,operator,operator,Operator,,10,0,1,0,0,0,0,0,And your next question comes from Mark Mahaney with ISI.
2021Q1,qa,analyst,analyst,Mark Mahaney,Evercore ISI,76,0,1,0,0,0,0,1,"OK, I'll stick with one question. Just on the supply side, will you address the issue of whether increasing local restrictions is a factor that's limiting your "
2021Q1,qa,mgmt,ceo,Brian Chesky,,290,1,4,1,1,0,3,0,"Yeah, I can take this at a high level. Dave, again, feel free to jump in as well. Mark, thanks for the question. What we saw with COVID was actually a positive "
2021Q1,qa,mgmt,cfo,Dave Stephenson,,59,3,0,0,0,0,0,0,"I think that's key. We also added this new capability last year of the City Portal, which is another tool to enable cities to understand what goes on with our b"
2021Q1,qa,analyst,analyst,Mark Mahaney,Evercore ISI,5,0,0,0,0,0,0,0,"OK. Thanks, Brian. Thanks, Mark."
2021Q1,qa,operator,operator,Operator,,10,0,1,0,0,0,0,0,And your next question comes from Jed Kelly with Oppenheimer.
2021Q1,qa,analyst,analyst,Jed Kelly,Oppenheimer,113,3,2,0,0,0,0,0,"Great. Thanks for taking my questions. I guess, you know, Brian, going back to business travel, I guess it's kind of like a two-part question. I guess number on"
2021Q1,qa,mgmt,ceo,Brian Chesky,,447,13,1,1,1,0,4,13,"Yeah, these are two really good questions. Let me start with the first one. So as you point out and as I said, one of the kind of -- one of the trends that has "
2021Q1,qa,analyst,analyst,Jed Kelly,Oppenheimer,2,0,0,0,0,0,0,0,Thank you.
2021Q1,qa,operator,operator,Operator,,10,0,1,0,0,0,0,0,And your next question comes from Justin Patterson with KeyBanc.
2021Q1,qa,analyst,analyst,Justin Patterson,KeyBanc,85,4,1,0,0,0,0,0,"Thanks very much. Brian, just expanding on the prior question, it does sound like this platform experience update is really designed around inspiration and disc"
2021Q1,qa,mgmt,ceo,Brian Chesky,,304,5,2,3,2,0,2,6,"Thank you, Justin. It was a little bit hard for me to hear you, but I think the question was what are we doing to drive more inspiration and discovery on Airbnb"
2021Q1,qa,operator,operator,Operator,,11,0,1,0,0,0,0,0,And your next question comes from Lloyd Walmsley with Deutsche Bank.
2021Q1,qa,analyst,analyst,Lloyd Walmsley,Deutsche Bank,153,1,1,2,1,0,0,0,"Thanks. Two questions, if I can. First, can you talk about how you think about occupancy rates or kind of room nights per active listing, you know, over the med"
2021Q1,qa,mgmt,ceo,Brian Chesky,,300,3,2,2,2,0,0,6,"Great, Lloyd. So I'll take the first question on occupancy rate. Dave, you can take the second one. The answer to your question is yes. Occupancy rates, we thin"
2021Q1,qa,mgmt,cfo,Dave Stephenson,,122,1,0,0,0,0,2,1,Yeah. And our ADRs in Q1 were up 35% year over year. That was after being up 13% year over year in Q4. The significant majority driver of the ADR increase is dr
2021Q1,qa,mgmt,ceo,Brian Chesky,,114,0,0,0,0,0,2,2,"And the other thing I want to say, again, is -- yes, another thing I'll just say is as demand increases on Airbnb, that can also correspondingly increase supply"
2021Q1,qa,operator,operator,Operator,,10,0,1,0,0,0,0,0,And your next question comes from Brent Thill with Jefferies.
2021Q1,qa,analyst,analyst,Brent Thill,Jefferies,66,0,1,2,2,0,1,0,"Dave, I don't know any color you can add around the final unlock that comes over the next week of close to 500 million shares. I know not all of those are eligi"
2021Q1,qa,mgmt,ceo,Brian Chesky,,7,0,0,0,0,0,0,0,"Yeah. Dave, you want to take that?"
2021Q1,qa,mgmt,cfo,Dave Stephenson,,73,1,0,0,0,0,0,0,"Yeah. Sure. So, you know, clearly, our unlock comes on Monday. And the key thing that we're doing to try to make sure that we're ready for that unlock is to do "
2021Q1,qa,analyst,analyst,Brent Thill,Jefferies,3,0,0,0,0,0,0,0,OK. Thank you.
2021Q1,qa,operator,operator,Operator,,11,0,1,0,0,0,0,0,And your next question comes from Brian Fitzgerald with Wells Fargo.
2021Q1,qa,analyst,analyst,Brian Fitzgerald,Wells Fargo,34,0,0,1,1,0,0,0,"Thank you, guys. We wanted to ask if you could tell us what you're seeing with respect to experiences, supply dynamics there, online versus offline, linkages to"
2021Q1,qa,mgmt,ceo,Brian Chesky,,179,1,3,0,0,0,1,3,"Yeah. Thank you very much for the question. So here's what I'd say about experiences. You know, when we came back in the beginning of 2020, I really thought exp"
2021Q1,qa,operator,operator,Operator,,13,0,1,0,0,0,0,0,[Operator instructions] And your next question comes from Stephen Ju with Credit Suisse.
2021Q1,qa,analyst,analyst,Stephen Ju,Credit Suisse,153,2,1,4,1,0,0,2,"OK. Thanks. So, Brian, I asked the same question to one of your competitors last week. So I'd be interested in your opinion what is probably more of a macro con"
2021Q1,qa,mgmt,ceo,Brian Chesky,,271,1,6,2,2,0,0,3,"Very good question, Stephen. Let me tell you what we're seeing so far. One of the things is we did travel surveys in the beginning of the year. And we surveyed "
2021Q1,qa,analyst,analyst,Stephen Ju,Credit Suisse,2,0,0,0,0,0,0,0,Thank you.
2021Q1,qa,operator,operator,Operator,,11,0,1,0,0,0,0,0,And your next question comes from Deepak Mathivanan with Wolfe Research.
2021Q1,qa,analyst,analyst,Deepak Mathivanan,Wolfe Research,122,1,2,0,0,0,0,1,"So, guys, thanks for taking the questions. Just a couple of quick ones. So first, can you talk about the implications of booking window trends on second quarter"
2021Q1,qa,mgmt,ceo,Brian Chesky,,9,0,1,0,0,0,0,0,"Yeah. Dave, why don't you take these two questions."
2021Q1,qa,mgmt,cfo,Dave Stephenson,,347,4,0,1,1,0,0,8,"Sure. So regarding the booking window, we're seeing the booking window, obviously, in 2020 shrank dramatically, right? People were hesitant to travel. They only"
2021Q1,qa,operator,operator,Operator,,10,0,1,0,0,0,0,0,And your next question comes from Kevin Kopelman with Cowen.
2021Q1,qa,analyst,analyst,Kevin Kopelman,TD Cowen,38,1,1,1,1,0,0,0,"Great. Thanks. A quick one, could you give us an update on cancellation rate trends this year compared to 2019 with I think the average listing being a little b"
2021Q1,qa,mgmt,ceo,Brian Chesky,,12,0,0,0,0,0,0,0,"You're welcome. Dave, do you want to take this one for Kevin?"
2021Q1,qa,mgmt,cfo,Dave Stephenson,,51,0,1,0,0,1,1,2,Sure. So the cancellation rates obviously were substantially elevated in 2020 versus 2019. They've begun to moderate so that they are sequentially below where t
2021Q1,qa,analyst,analyst,Kevin Kopelman,TD Cowen,2,0,0,0,0,0,0,0,Thank you.
2021Q1,qa,operator,operator,Operator,,12,0,1,0,0,0,0,0,And your next question comes from Tom White with D.A. Davidson.
2021Q1,qa,analyst,analyst,Tom White,D.A. Davidson,86,0,1,1,1,0,0,3,Thanks for taking my question. Just one from me to follow up on ADRs and specifically your expectations for the second half. I know there's some color in the le
2021Q1,qa,mgmt,ceo,Brian Chesky,,8,0,0,0,0,0,0,0,"Thanks, Tom. Dave, I'll give you this one."
2021Q1,qa,mgmt,cfo,Dave Stephenson,,212,6,0,0,0,1,2,12,"Sure. Yeah, you know, I think that the best thing to do is actually kind of look at some of the guidance figures that we gave in the earnings call itself where "
2021Q1,qa,analyst,analyst,Tom White,D.A. Davidson,1,0,0,0,0,0,0,0,OK.
2021Q1,qa,operator,operator,Operator,,15,0,1,0,0,0,0,1,I will now turn the call back over to the management team for closing remarks.
2021Q1,qa,mgmt,ceo,Brian Chesky,,114,2,0,2,1,0,1,4,"All right. Well, thank you, everyone, for joining us today. I just want to recap. We are really proud of our strong Q1 results. We believe they're a testament t"
2021Q1,qa,operator,operator,Operator,,2,0,0,0,0,0,0,0,[Operator signoff]
2021Q2,prepared,operator,operator,Operator,,57,1,0,0,0,0,0,2,"Good afternoon and thank you for joining Airbnb's earnings conference call for the second-quarter of 2021. As a reminder, this conference call is being recorded"
2021Q2,prepared,ir,ir,Ellie Mertz,,262,1,0,4,1,0,0,5,"Good afternoon and welcome to Airbnb's second-quarter of 2021 earnings call. Thank you for joining us today. On the call today, we have Airbnb's co-founder and "
2021Q2,prepared,mgmt,ceo,Brian Chesky,,1327,46,5,13,7,0,14,7,"All right. Thank you, Ellie and hey, everyone, thanks for joining us today. I'm dialing in from an Airbnb listing in Italy and I'm very excited to share our Q2 "
2021Q2,qa,operator,operator,Operator,,15,0,1,0,0,0,0,0,[Operator instructions] Your first question comes from the line of Mark Mahaney with Evercore ISI.
2021Q2,qa,analyst,analyst,Mark Mahaney,Evercore ISI,83,1,2,3,1,1,0,1,"OK, thanks. You just talked about having this record day. I think you said last Saturday and I think you're also maybe appropriately cautioning about third-quar"
2021Q2,qa,mgmt,ceo,Brian Chesky,,93,3,1,0,0,0,1,1,"Yes, Mark, thank you for the question. Before I hand it over to Dave, let me just say that, yes, we had a record night. There was more than 4 million guests sta"
2021Q2,qa,mgmt,cfo,Dave Stephenson,,223,8,0,4,2,0,3,3,A lot of the trends we're seeing in Q2 are consistent with some of the trends we saw in Q1 and Q4. People continue to be flexible. That's why we built all these
