task,target,model,eval_window,n_events,first_event,last_event,min_n_train,rmse,mae,rmse_zero,rmse_last_quarter,rmse_prior_year,rmse_ar1,rmse_expanding_mean,rmse_trailing4_mean,rmse_trailing8_mean,rmse_guide,rmse_guide_plus_cushion,best_baseline,rmse_ratio_vs_best_baseline,rmse_ratio_vs_zero,beats_all_baselines,pred_sd,actual_sd,pred_sd_over_actual_sd,sign_acc_vs_zero,sign_n,supp_loo_r2_in_window,supp_loo_n,entry_convention,primary_spec
A_pre_earnings_forecast,nights_surprise_pct,f_surprise_trail4,2023Q1+,9,2024Q1,2026Q2,8,1.9761,1.6429,1.6962,1.8456,0.9916,1.5813,1.4745,1.2215,1.4577,,,prior_year,1.9929,1.1651,False,0.3862,1.1793,0.3275,0.3333,9,,0,n/a (forecast task),True
A_pre_earnings_forecast,nights_surprise_pct,f_surprise_trail4,2024Q1+,9,2024Q1,2026Q2,8,1.9761,1.6429,1.6962,1.8456,0.9916,1.5813,1.4745,1.2215,1.4577,,,prior_year,1.9929,1.1651,False,0.3862,1.1793,0.3275,0.3333,9,,0,n/a (forecast task),True
A_pre_earnings_forecast,revenue_surprise_pct,f_surprise_trail4,all_evaluated,13,2023Q2,2026Q2,8,1.2528,1.1536,1.9332,1.7716,1.8288,1.7033,3.9287,1.2821,1.3264,2.6515,2.483,trailing4_mean,0.9771,0.648,True,0.237,1.1523,0.2057,1.0,13,,0,n/a (forecast task),True
A_pre_earnings_forecast,revenue_surprise_pct,f_surprise_trail4,2023Q1+,13,2023Q2,2026Q2,8,1.2528,1.1536,1.9332,1.7716,1.8288,1.7033,3.9287,1.2821,1.3264,2.6515,2.483,trailing4_mean,0.9771,0.648,True,0.237,1.1523,0.2057,1.0,13,,0,n/a (forecast task),True
A_pre_earnings_forecast,revenue_surprise_pct,f_surprise_trail4,2024Q1+,10,2024Q1,2026Q2,11,1.2846,1.1705,1.8987,1.8505,1.7338,1.7361,3.6109,1.332,1.2093,2.3666,2.0256,trailing8_mean,1.0623,0.6765,False,0.2258,1.2347,0.1829,1.0,10,,0,n/a (forecast task),True
A_pre_earnings_forecast,revenue_surprise_pct,ia_reviews_ltm_matched_yoy,all_evaluated,3,2025Q4,2026Q2,8,0.8413,0.8354,1.8311,1.3126,1.1657,1.0621,2.5788,0.8963,0.6204,1.6889,3.2544,trailing8_mean,1.356,0.4595,False,0.1653,0.8041,0.2055,1.0,3,-0.067,11,n/a (forecast task),True
A_pre_earnings_forecast,revenue_surprise_pct,ia_reviews_ltm_matched_yoy,2023Q1+,3,2025Q4,2026Q2,8,0.8413,0.8354,1.8311,1.3126,1.1657,1.0621,2.5788,0.8963,0.6204,1.6889,3.2544,trailing8_mean,1.356,0.4595,False,0.1653,0.8041,0.2055,1.0,3,-0.067,11,n/a (forecast task),True
A_pre_earnings_forecast,revenue_surprise_pct,ia_reviews_ltm_matched_yoy,2024Q1+,3,2025Q4,2026Q2,8,0.8413,0.8354,1.8311,1.3126,1.1657,1.0621,2.5788,0.8963,0.6204,1.6889,3.2544,trailing8_mean,1.356,0.4595,False,0.1653,0.8041,0.2055,1.0,3,-0.8273,10,n/a (forecast task),True
A_pre_earnings_forecast,nights_surprise_pct,pr_hotel_revpar_yoy,all_evaluated,11,2023Q3,2026Q2,8,1.6216,1.3605,1.5559,1.8241,1.2783,1.5354,1.3621,1.4171,1.5337,,,prior_year,1.2685,1.0422,False,0.4531,1.1033,0.4106,0.4545,11,-1.1378,19,n/a (forecast task),False
A_pre_earnings_forecast,nights_surprise_pct,pr_hotel_revpar_yoy,2023Q1+,11,2023Q3,2026Q2,8,1.6216,1.3605,1.5559,1.8241,1.2783,1.5354,1.3621,1.4171,1.5337,,,prior_year,1.2685,1.0422,False,0.4531,1.1033,0.4106,0.4545,11,0.3187,12,n/a (forecast task),False
A_pre_earnings_forecast,nights_surprise_pct,pr_hotel_revpar_yoy,2024Q1+,9,2024Q1,2026Q2,10,1.6741,1.3632,1.6962,1.8456,0.9916,1.5813,1.4745,1.2215,1.4577,,,prior_year,1.6884,0.987,False,0.3388,1.1793,0.2873,0.5556,9,-0.1787,9,n/a (forecast task),False
A_pre_earnings_forecast,revenue_surprise_pct,pr_hotel_revpar_yoy,all_evaluated,14,2023Q1,2026Q2,8,4.0895,3.7106,1.9092,1.7172,1.8852,1.7442,4.1261,1.2494,1.866,2.7756,3.0266,trailing4_mean,3.273,2.142,False,1.6092,1.1071,1.4535,1.0,14,-0.1896,22,n/a (forecast task),False
A_pre_earnings_forecast,revenue_surprise_pct,pr_hotel_revpar_yoy,2023Q1+,14,2023Q1,2026Q2,8,4.0895,3.7106,1.9092,1.7172,1.8852,1.7442,4.1261,1.2494,1.866,2.7756,3.0266,trailing4_mean,3.273,2.142,False,1.6092,1.1071,1.4535,1.0,14,-0.3162,14,n/a (forecast task),False
A_pre_earnings_forecast,revenue_surprise_pct,pr_hotel_revpar_yoy,2024Q1+,10,2024Q1,2026Q2,12,3.2238,2.9508,1.8987,1.8505,1.7338,1.7361,3.6109,1.332,1.2093,2.3666,2.0256,trailing8_mean,2.6659,1.6979,False,0.8281,1.2347,0.6707,1.0,10,-0.1664,10,n/a (forecast task),False
A_pre_earnings_forecast,nights_surprise_pct,pr_hotel_revpar_yoy_pit,all_evaluated,9,2024Q1,2026Q2,8,1.6219,1.3231,1.6962,1.8456,0.9916,1.5813,1.4745,1.2215,1.4577,,,prior_year,1.6357,0.9562,False,0.3291,1.1793,0.2791,0.5556,9,-2.1516,17,n/a (forecast task),True
A_pre_earnings_forecast,nights_surprise_pct,pr_hotel_revpar_yoy_pit,2023Q1+,9,2024Q1,2026Q2,8,1.6219,1.3231,1.6962,1.8456,0.9916,1.5813,1.4745,1.2215,1.4577,,,prior_year,1.6357,0.9562,False,0.3291,1.1793,0.2791,0.5556,9,0.3057,12,n/a (forecast task),True
A_pre_earnings_forecast,nights_surprise_pct,pr_hotel_revpar_yoy_pit,2024Q1+,9,2024Q1,2026Q2,8,1.6219,1.3231,1.6962,1.8456,0.9916,1.5813,1.4745,1.2215,1.4577,,,prior_year,1.6357,0.9562,False,0.3291,1.1793,0.2791,0.5556,9,-0.1763,9,n/a (forecast task),True
A_pre_earnings_forecast,revenue_surprise_pct,pr_hotel_revpar_yoy_pit,all_evaluated,12,2023Q3,2026Q2,8,3.6206,3.275,1.8616,1.8174,1.7054,1.769,3.8825,1.3022,1.3377,2.5715,2.552,trailing4_mean,2.7804,1.9449,False,1.1935,1.1566,1.0319,1.0,12,-0.3447,20,n/a (forecast task),True
A_pre_earnings_forecast,revenue_surprise_pct,pr_hotel_revpar_yoy_pit,2023Q1+,12,2023Q3,2026Q2,8,3.6206,3.275,1.8616,1.8174,1.7054,1.769,3.8825,1.3022,1.3377,2.5715,2.552,trailing4_mean,2.7804,1.9449,False,1.1935,1.1566,1.0319,1.0,12,-0.364,14,n/a (forecast task),True
A_pre_earnings_forecast,revenue_surprise_pct,pr_hotel_revpar_yoy_pit,2024Q1+,10,2024Q1,2026Q2,10,3.164,2.8864,1.8987,1.8505,1.7338,1.7361,3.6109,1.332,1.2093,2.3666,2.0256,trailing8_mean,2.6164,1.6664,False,0.822,1.2347,0.6658,1.0,10,-0.211,10,n/a (forecast task),True
B_post_release_drift,legacy_20d_pct,guide_vs_street_pct,all_evaluated,11,2023Q4,2026Q2,8,11.8269,8.932,10.5286,12.616,,,11.0582,10.541,,,,zero,1.1233,1.1233,False,1.109,10.9237,0.1015,0.6364,11,-0.2108,19,legacy: pre-release close entry (NOT executable),False
B_post_release_drift,legacy_20d_pct,guide_vs_street_pct,2023Q1+,11,2023Q4,2026Q2,8,11.8269,8.932,10.5286,12.616,,,11.0582,10.541,,,,zero,1.1233,1.1233,False,1.109,10.9237,0.1015,0.6364,11,0.083,14,legacy: pre-release close entry (NOT executable),False
B_post_release_drift,legacy_20d_pct,guide_vs_street_pct,2024Q1+,10,2024Q1,2026Q2,9,11.4647,8.3278,10.8488,12.872,,,10.9775,10.0889,,,,trailing4_mean,1.1364,1.0568,False,1.0968,11.1651,0.0982,0.7,10,0.2538,10,legacy: pre-release close entry (NOT executable),False
B_post_release_drift,legacy_5d_pct,guide_vs_street_pct,all_evaluated,11,2023Q4,2026Q2,8,10.5737,8.2752,9.681,12.3865,,,10.0425,9.6579,,,,trailing4_mean,1.0948,1.0922,False,1.2736,10.0655,0.1265,0.5455,11,-0.3348,19,legacy: pre-release close entry (NOT executable),False
B_post_release_drift,legacy_5d_pct,guide_vs_street_pct,2023Q1+,11,2023Q4,2026Q2,8,10.5737,8.2752,9.681,12.3865,,,10.0425,9.6579,,,,trailing4_mean,1.0948,1.0922,False,1.2736,10.0655,0.1265,0.5455,11,0.0594,14,legacy: pre-release close entry (NOT executable),False
B_post_release_drift,legacy_5d_pct,guide_vs_street_pct,2024Q1+,10,2024Q1,2026Q2,9,10.9073,8.4692,10.1529,12.8685,,,10.4727,10.0492,,,,trailing4_mean,1.0854,1.0743,False,1.3305,10.6052,0.1255,0.5,10,-0.0239,10,legacy: pre-release close entry (NOT executable),False
B_post_release_drift,open_20d_pct,guide_vs_street_pct,all_evaluated,11,2023Q4,2026Q2,8,8.1602,5.8672,6.6556,10.1878,,,7.6196,8.2507,,,,zero,1.2261,1.2261,False,1.4896,6.9789,0.2134,0.6364,11,0.0243,19,executable: open of the reaction session,True
B_post_release_drift,open_20d_pct,guide_vs_street_pct,2023Q1+,11,2023Q4,2026Q2,8,8.1602,5.8672,6.6556,10.1878,,,7.6196,8.2507,,,,zero,1.2261,1.2261,False,1.4896,6.9789,0.2134,0.6364,11,-0.1524,14,executable: open of the reaction session,True
B_post_release_drift,open_20d_pct,guide_vs_street_pct,2024Q1+,10,2024Q1,2026Q2,9,7.0443,4.9169,6.1158,9.5645,,,6.4409,6.8957,,,,zero,1.1518,1.1518,False,1.4313,6.3752,0.2245,0.7,10,-0.1493,10,executable: open of the reaction session,True
B_post_release_drift,open_5d_pct,guide_vs_street_pct,all_evaluated,11,2023Q4,2026Q2,8,5.5428,4.4094,4.6884,7.8097,,,5.4262,5.6511,,,,zero,1.1822,1.1822,False,0.8701,4.9125,0.1771,0.4545,11,0.0252,19,executable: open of the reaction session,True
B_post_release_drift,open_5d_pct,guide_vs_street_pct,2023Q1+,11,2023Q4,2026Q2,8,5.5428,4.4094,4.6884,7.8097,,,5.4262,5.6511,,,,zero,1.1822,1.1822,False,0.8701,4.9125,0.1771,0.4545,11,-0.1267,14,executable: open of the reaction session,True
B_post_release_drift,open_5d_pct,guide_vs_street_pct,2024Q1+,10,2024Q1,2026Q2,9,5.4119,4.179,4.797,7.4835,,,5.2953,5.5675,,,,zero,1.1282,1.1282,False,0.8091,5.0551,0.1601,0.5,10,-0.3138,10,executable: open of the reaction session,True
B_post_release_drift,postclose_20d_pct,guide_vs_street_pct,all_evaluated,11,2023Q4,2026Q2,8,7.6917,6.2815,6.0308,8.5351,,,7.3497,7.7901,,,,zero,1.2754,1.2754,False,2.1089,6.2863,0.3355,0.3636,11,0.0946,19,executable: close of the reaction session,False
B_post_release_drift,postclose_20d_pct,guide_vs_street_pct,2023Q1+,11,2023Q4,2026Q2,8,7.6917,6.2815,6.0308,8.5351,,,7.3497,7.7901,,,,zero,1.2754,1.2754,False,2.1089,6.2863,0.3355,0.3636,11,-0.1477,14,executable: close of the reaction session,False
B_post_release_drift,postclose_20d_pct,guide_vs_street_pct,2024Q1+,10,2024Q1,2026Q2,9,6.861,5.5679,5.5574,8.6612,,,5.9393,6.5557,,,,zero,1.2346,1.2346,False,2.1842,5.581,0.3914,0.4,10,0.0942,10,executable: close of the reaction session,False
B_post_release_drift,postclose_5d_pct,guide_vs_street_pct,all_evaluated,11,2023Q4,2026Q2,8,4.7944,4.5143,3.7708,6.2231,,,4.9944,4.5625,,,,zero,1.2714,1.2714,False,1.4394,3.9022,0.3689,0.2727,11,0.1372,19,executable: close of the reaction session,False
B_post_release_drift,postclose_5d_pct,guide_vs_street_pct,2023Q1+,11,2023Q4,2026Q2,8,4.7944,4.5143,3.7708,6.2231,,,4.9944,4.5625,,,,zero,1.2714,1.2714,False,1.4394,3.9022,0.3689,0.2727,11,-0.0787,14,executable: close of the reaction session,False
B_post_release_drift,postclose_5d_pct,guide_vs_street_pct,2024Q1+,10,2024Q1,2026Q2,9,4.7753,4.4675,3.8777,6.4479,,,4.6892,4.4426,,,,zero,1.2315,1.2315,False,1.5024,3.9706,0.3784,0.3,10,-0.2196,10,executable: close of the reaction session,False
B_post_release_drift,legacy_20d_pct,nights_surprise_pct,all_evaluated,11,2023Q3,2026Q2,8,8.9358,6.3078,9.3297,12.6248,,,10.5219,10.0893,,,,zero,0.9578,0.9578,True,1.2181,9.7789,0.1246,0.7273,11,0.1556,19,legacy: pre-release close entry (NOT executable),False
B_post_release_drift,legacy_20d_pct,nights_surprise_pct,2023Q1+,11,2023Q3,2026Q2,8,8.9358,6.3078,9.3297,12.6248,,,10.5219,10.0893,,,,zero,0.9578,0.9578,True,1.2181,9.7789,0.1246,0.7273,11,0.224,12,legacy: pre-release close entry (NOT executable),False
B_post_release_drift,legacy_20d_pct,nights_surprise_pct,2024Q1+,9,2024Q1,2026Q2,10,9.4092,6.7021,10.0275,13.4927,,,10.9151,9.807,,,,trailing4_mean,0.9594,0.9383,True,1.3275,10.6041,0.1252,0.7778,9,0.2909,9,legacy: pre-release close entry (NOT executable),False
B_post_release_drift,legacy_5d_pct,nights_surprise_pct,all_evaluated,11,2023Q3,2026Q2,8,9.376,7.5061,8.6449,12.3481,,,9.4487,9.0911,,,,zero,1.0846,1.0846,False,1.0758,9.0574,0.1188,0.5455,11,-0.0883,19,legacy: pre-release close entry (NOT executable),False
B_post_release_drift,legacy_5d_pct,nights_surprise_pct,2023Q1+,11,2023Q3,2026Q2,8,9.376,7.5061,8.6449,12.3481,,,9.4487,9.0911,,,,zero,1.0846,1.0846,False,1.0758,9.0574,0.1188,0.5455,11,0.0452,12,legacy: pre-release close entry (NOT executable),False
B_post_release_drift,legacy_5d_pct,nights_surprise_pct,2024Q1+,9,2024Q1,2026Q2,10,10.2494,8.4488,9.3455,13.4591,,,10.3511,9.9516,,,,zero,1.0967,1.0967,False,1.1639,9.9096,0.1175,0.4444,9,0.2151,9,legacy: pre-release close entry (NOT executable),False
B_post_release_drift,open_20d_pct,nights_surprise_pct,all_evaluated,11,2023Q3,2026Q2,8,7.3034,5.1983,6.7846,10.1351,,,7.5793,8.2732,,,,zero,1.0765,1.0765,False,1.4381,7.1127,0.2022,0.6364,11,-0.0159,19,executable: open of the reaction session,True
B_post_release_drift,open_20d_pct,nights_surprise_pct,2023Q1+,11,2023Q3,2026Q2,8,7.3034,5.1983,6.7846,10.1351,,,7.5793,8.2732,,,,zero,1.0765,1.0765,False,1.4381,7.1127,0.2022,0.6364,11,-0.0596,12,executable: open of the reaction session,True
B_post_release_drift,open_20d_pct,nights_surprise_pct,2024Q1+,9,2024Q1,2026Q2,10,6.6936,4.743,6.4424,9.9813,,,6.7339,7.2647,,,,zero,1.039,1.039,False,1.4265,6.7615,0.211,0.6667,9,-0.1098,9,executable: open of the reaction session,True
B_post_release_drift,open_5d_pct,nights_surprise_pct,all_evaluated,11,2023Q3,2026Q2,8,5.8038,4.7262,5.1544,7.9231,,,5.5004,5.84,,,,zero,1.126,1.126,False,0.7602,5.3831,0.1412,0.5455,11,-0.0597,19,executable: open of the reaction session,True
B_post_release_drift,open_5d_pct,nights_surprise_pct,2023Q1+,11,2023Q3,2026Q2,8,5.8038,4.7262,5.1544,7.9231,,,5.5004,5.84,,,,zero,1.126,1.126,False,0.7602,5.3831,0.1412,0.5455,11,-0.0861,12,executable: open of the reaction session,True
B_post_release_drift,open_5d_pct,nights_surprise_pct,2024Q1+,9,2024Q1,2026Q2,10,5.7787,4.5045,5.0551,7.7879,,,5.4863,5.811,,,,zero,1.1432,1.1432,False,0.7857,5.3587,0.1466,0.5556,9,-0.1876,9,executable: open of the reaction session,True
B_post_release_drift,postclose_20d_pct,nights_surprise_pct,all_evaluated,11,2023Q3,2026Q2,8,7.0861,5.6535,5.9533,9.0608,,,7.8465,8.214,,,,zero,1.1903,1.1903,False,2.0875,6.2432,0.3344,0.5455,11,0.0929,19,executable: close of the reaction session,False
B_post_release_drift,postclose_20d_pct,nights_surprise_pct,2023Q1+,11,2023Q3,2026Q2,8,7.0861,5.6535,5.9533,9.0608,,,7.8465,8.214,,,,zero,1.1903,1.1903,False,2.0875,6.2432,0.3344,0.5455,11,-0.0106,12,executable: close of the reaction session,False
B_post_release_drift,postclose_20d_pct,nights_surprise_pct,2024Q1+,9,2024Q1,2026Q2,10,5.5761,4.3857,5.7045,9.1223,,,6.2547,6.795,,,,zero,0.9775,0.9775,True,1.8955,5.8567,0.3236,0.6667,9,-0.1628,9,executable: close of the reaction session,False
