build,selector,scenario,sheet,active_cell,measure,active_column_value,scenario_column_value,active_matches_scenario_column
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Valuation,Valuation!E12,"Adj. EBITDA, FY2028E ($M)",3812.3198034601,3812.3198034601,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Valuation,Valuation!E13,"Net cash ex float, FY2028E ($M)",7894.65687211551,7894.65687211551,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Valuation,Valuation!E14,"Diluted shares, FY2028E (M)",573.061227337412,573.061227337412,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Valuation,Valuation!E15,"FCF, FY2028E ($M)",3121.62214346284,3121.62214346284,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Valuation,Valuation!E19,"EV / adj. EBITDA, FY2027E",108.464733626792,108.464733626792,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Valuation,Valuation!E20,"EV / FCF, FY2027E",83.5533108700844,83.5533108700844,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Valuation,Valuation!E21,"P / SBC-adjusted FCF, FY2027E",37.2301273730344,37.2301273730344,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Valuation,Valuation!E22,"P / earnings proxy, FY2027E",45.3352720246291,45.3352720246291,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Valuation,Valuation!E23,"EV / adj. EBITDA, FY2028E",103.585745095045,103.585745095045,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Valuation,Valuation!E39,DCF value per share ($),77.5350754793743,77.5350754793743,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Valuation,Valuation!E43,Football field: Low,37.2301273730344,37.2301273730344,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Valuation,Valuation!E44,Football field: High,108.464733626792,108.464733626792,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Valuation,Valuation!E45,Football field: Mean of lenses,75.9507107448267,75.9507107448267,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Valuation,Valuation!E46,Spot price ($),181.94,181.94,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Valuation,Valuation!E6,"Adj. EBITDA, FY2027E ($M)",4026.92727853824,4026.92727853824,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Valuation,Valuation!E7,"FCF, FY2027E ($M)",3531.34493417364,3531.34493417364,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Valuation,Valuation!E8,"SBC-adjusted FCF, FY2027E ($M)",1440.63053417364,1440.63053417364,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Valuation,Valuation!E9,"Earnings proxy per share, FY2027E ($)",3.02235146830861,3.02235146830861,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Card_5Nov,Card_5Nov!E10,ADR growth y/y,0.0382400000000001,0.0382400000000001,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Card_5Nov,Card_5Nov!E11,of which FX,0.008,0.008,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Card_5Nov,Card_5Nov!E12,3Q26 GBV ($M),26185.0757752652,26185.0757752652,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Card_5Nov,Card_5Nov!E13,GBV growth y/y,0.143453090622933,0.143453090622933,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Card_5Nov,Card_5Nov!E14,3Q26 take rate,0.1788,0.1788,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Card_5Nov,Card_5Nov!E15,3Q26 adj. EBITDA margin,0.49,0.49,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Card_5Nov,Card_5Nov!E16,3Q26 adj. EBITDA ($M),2352.50853099969,2352.50853099969,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Card_5Nov,Card_5Nov!E19,"4Q26 revenue ($M), our forecast",3145.49398410244,3145.49398410244,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Card_5Nov,Card_5Nov!E20,4Q26 revenue growth,0.132287251296773,0.132287251296773,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Card_5Nov,Card_5Nov!E21,4Q26 nights growth,0.0989159840159841,0.0989159840159841,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Card_5Nov,Card_5Nov!E22,FY26 revenue ($M),14232.5318024691,14232.5318024691,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Card_5Nov,Card_5Nov!E23,FY26 revenue growth,0.162693554649877,0.162693554649877,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Card_5Nov,Card_5Nov!E24,FY26 adj. EBITDA margin,0.362411669847347,0.362411669847347,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Card_5Nov,Card_5Nov!E5,3Q26 revenue ($M),4801.03781836671,4801.03781836671,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Card_5Nov,Card_5Nov!E6,revenue growth y/y,0.172414607659757,0.172414607659757,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Card_5Nov,Card_5Nov!E7,3Q26 nights (M),147.2394101048,147.2394101048,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Card_5Nov,Card_5Nov!E8,nights growth y/y,0.102091393,0.102091393,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Card_5Nov,Card_5Nov!E9,3Q26 ADR ($),177.8401296,177.8401296,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Valuation,Valuation!E10,"Net cash ex float, FY2027E ($M)",10115.9868759153,10115.9868759153,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Valuation,Valuation!E11,"Diluted shares, FY2027E (M)",574.598178232489,574.598178232489,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Valuation,Valuation!E12,"Adj. EBITDA, FY2028E ($M)",6701.20112542396,6701.20112542396,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Valuation,Valuation!E13,"Net cash ex float, FY2028E ($M)",11570.393419671,11570.393419671,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Valuation,Valuation!E14,"Diluted shares, FY2028E (M)",561.534433492938,561.534433492938,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Valuation,Valuation!E15,"FCF, FY2028E ($M)",6197.2457177557,6197.2457177557,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Valuation,Valuation!E19,"EV / adj. EBITDA, FY2027E",180.876293375339,180.876293375339,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Valuation,Valuation!E20,"EV / FCF, FY2027E",152.501391334762,152.501391334762,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Valuation,Valuation!E21,"P / SBC-adjusted FCF, FY2027E",117.25724103948,117.25724103948,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Valuation,Valuation!E22,"P / earnings proxy, FY2027E",110.57976638925,110.57976638925,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Valuation,Valuation!E23,"EV / adj. EBITDA, FY2028E",217.511526816641,217.511526816641,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Valuation,Valuation!E39,DCF value per share ($),182.588915484255,182.588915484255,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Valuation,Valuation!E43,Football field: Low,110.57976638925,110.57976638925,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Valuation,Valuation!E44,Football field: High,217.511526816641,217.511526816641,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Valuation,Valuation!E45,Football field: Mean of lenses,160.219189073288,160.219189073288,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Valuation,Valuation!E46,Spot price ($),181.94,181.94,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Valuation,Valuation!E6,"Adj. EBITDA, FY2027E ($M)",5685.7698050303,5685.7698050303,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Valuation,Valuation!E7,"FCF, FY2027E ($M)",5420.35208132579,5420.35208132579,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Valuation,Valuation!E8,"SBC-adjusted FCF, FY2027E ($M)",3455.16908132579,3455.16908132579,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Valuation,Valuation!E9,"Earnings proxy per share, FY2027E ($)",5.67075725073075,5.67075725073075,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Card_5Nov,Card_5Nov!E10,ADR growth y/y,0.0483200000000001,0.0483200000000001,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Card_5Nov,Card_5Nov!E11,of which FX,0.008,0.008,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Card_5Nov,Card_5Nov!E12,3Q26 GBV ($M),27012.8700553421,27012.8700553421,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Card_5Nov,Card_5Nov!E13,GBV growth y/y,0.179601312460353,0.179601312460353,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Card_5Nov,Card_5Nov!E14,3Q26 take rate,0.1793,0.1793,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Card_5Nov,Card_5Nov!E15,3Q26 adj. EBITDA margin,0.502,0.502,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Card_5Nov,Card_5Nov!E16,3Q26 adj. EBITDA ($M),2498.34343208943,2498.34343208943,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Card_5Nov,Card_5Nov!E19,"4Q26 revenue ($M), our forecast",3263.80260247347,3263.80260247347,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Card_5Nov,Card_5Nov!E20,4Q26 revenue growth,0.174874946894698,0.174874946894698,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Card_5Nov,Card_5Nov!E21,4Q26 nights growth,0.122867132867133,0.122867132867133,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Card_5Nov,Card_5Nov!E22,FY26 revenue ($M),14526.5823476715,14526.5823476715,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Card_5Nov,Card_5Nov!E23,FY26 revenue growth,0.186715329439714,0.186715329439714,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Card_5Nov,Card_5Nov!E24,FY26 adj. EBITDA margin,0.378351226663,0.378351226663,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Card_5Nov,Card_5Nov!E5,3Q26 revenue ($M),4976.77974519807,4976.77974519807,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Card_5Nov,Card_5Nov!E6,revenue growth y/y,0.215330829108197,0.215330829108197,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Card_5Nov,Card_5Nov!E7,3Q26 nights (M),150.4336,150.4336,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Card_5Nov,Card_5Nov!E8,nights growth y/y,0.126,0.126,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Card_5Nov,Card_5Nov!E9,3Q26 ADR ($),179.5667328,179.5667328,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Valuation,Valuation!E10,"Net cash ex float, FY2027E ($M)",11329.2652077156,11329.2652077156,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Valuation,Valuation!E11,"Diluted shares, FY2027E (M)",571.397227500432,571.397227500432,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Valuation,Valuation!E12,"Adj. EBITDA, FY2028E ($M)",7932.2079674042,7932.2079674042,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Valuation,Valuation!E13,"Net cash ex float, FY2028E ($M)",13750.8668769135,13750.8668769135,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Valuation,Valuation!E14,"Diluted shares, FY2028E (M)",555.175834815843,555.175834815843,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Valuation,Valuation!E15,"FCF, FY2028E ($M)",7592.61601319793,7592.61601319793,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Valuation,Valuation!E19,"EV / adj. EBITDA, FY2027E",234.156389283935,234.156389283935,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Valuation,Valuation!E20,"EV / FCF, FY2027E",217.935877824898,217.935877824898,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Valuation,Valuation!E21,"P / SBC-adjusted FCF, FY2027E",197.403727668536,197.403727668536,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Valuation,Valuation!E22,"P / earnings proxy, FY2027E",176.492127372478,176.492127372478,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Valuation,Valuation!E23,"EV / adj. EBITDA, FY2028E",289.091679084212,289.091679084212,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Valuation,Valuation!E39,DCF value per share ($),281.011376521713,281.011376521713,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Valuation,Valuation!E43,Football field: Low,176.492127372478,176.492127372478,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Valuation,Valuation!E44,Football field: High,289.091679084212,289.091679084212,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Valuation,Valuation!E45,Football field: Mean of lenses,232.681862959295,232.681862959295,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Valuation,Valuation!E46,Spot price ($),181.94,181.94,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Valuation,Valuation!E6,"Adj. EBITDA, FY2027E ($M)",6619.84034760199,6619.84034760199,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Valuation,Valuation!E7,"FCF, FY2027E ($M)",6543.27694533548,6543.27694533548,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Valuation,Valuation!E8,"SBC-adjusted FCF, FY2027E ($M)",4699.83094533549,4699.83094533549,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Valuation,Valuation!E9,"Earnings proxy per share, FY2027E ($)",7.35383864051991,7.35383864051991,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Valuation,Valuation!E19,"vs Python mirror: EV / adj. EBITDA, FY27E",108.464733626792,108.46473362679247,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Valuation,Valuation!E20,"vs Python mirror: EV / FCF, FY27E",83.5533108700844,83.55331087008436,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Valuation,Valuation!E21,"vs Python mirror: P / SBC-adjusted FCF, FY27E",37.2301273730344,37.23012737303444,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Valuation,Valuation!E22,"vs Python mirror: P / earnings proxy, FY27E",45.3352720246291,45.33527202462913,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Valuation,Valuation!E23,"vs Python mirror: EV / adj. EBITDA, FY28E",103.585745095045,103.58574509504518,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Valuation,Valuation!E39,vs Python mirror: DCF on FCF,77.5350754793743,77.53507547937431,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Valuation,Valuation!E43,vs Python mirror: Football field low,37.2301273730344,37.23012737303444,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Valuation,Valuation!E44,vs Python mirror: Football field high,108.464733626792,108.46473362679247,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,Valuation,Valuation!E45,vs Python mirror: Football field mean,75.9507107448267,75.95071074482665,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Valuation,Valuation!E19,"vs Python mirror: EV / adj. EBITDA, FY27E",180.876293375339,180.87629337533954,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Valuation,Valuation!E20,"vs Python mirror: EV / FCF, FY27E",152.501391334762,152.50139133476213,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Valuation,Valuation!E21,"vs Python mirror: P / SBC-adjusted FCF, FY27E",117.25724103948,117.25724103947995,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Valuation,Valuation!E22,"vs Python mirror: P / earnings proxy, FY27E",110.57976638925,110.57976638924961,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Valuation,Valuation!E23,"vs Python mirror: EV / adj. EBITDA, FY28E",217.511526816641,217.51152681664058,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Valuation,Valuation!E39,vs Python mirror: DCF on FCF,182.588915484255,182.58891548425515,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Valuation,Valuation!E43,vs Python mirror: Football field low,110.57976638925,110.57976638924961,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Valuation,Valuation!E44,vs Python mirror: Football field high,217.511526816641,217.51152681664058,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),2,Base,Valuation,Valuation!E45,vs Python mirror: Football field mean,160.219189073288,160.21918907328782,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Valuation,Valuation!E19,"vs Python mirror: EV / adj. EBITDA, FY27E",234.156389283935,234.1563892839354,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Valuation,Valuation!E20,"vs Python mirror: EV / FCF, FY27E",217.935877824898,217.93587782489786,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Valuation,Valuation!E21,"vs Python mirror: P / SBC-adjusted FCF, FY27E",197.403727668536,197.4037276685358,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Valuation,Valuation!E22,"vs Python mirror: P / earnings proxy, FY27E",176.492127372478,176.49212737247777,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Valuation,Valuation!E23,"vs Python mirror: EV / adj. EBITDA, FY28E",289.091679084212,289.0916790842117,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Valuation,Valuation!E39,vs Python mirror: DCF on FCF,281.011376521713,281.0113765217127,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Valuation,Valuation!E43,vs Python mirror: Football field low,176.492127372478,176.49212737247777,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Valuation,Valuation!E44,vs Python mirror: Football field high,289.091679084212,289.0916790842117,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,Valuation,Valuation!E45,vs Python mirror: Football field mean,232.681862959295,232.68186295929522,yes
after (the WS17 fix: Active columns on Valuation and Card_5Nov),1,Bear,(all),(cells whose value changed vs selector = 2),Card_5Nov: 17; Inputs: 96; Valuation: 22,135.0,5547.0,
after (the WS17 fix: Active columns on Valuation and Card_5Nov),3,Bull,(all),(cells whose value changed vs selector = 2),Card_5Nov: 17; Inputs: 97; Valuation: 22,136.0,5547.0,
