bridge,basis,group,component,margin_pts,detail,evidence
FY2020->FY2021,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Brand and performance marketing,Per-unit cost change (own growth rate (discretionary)),,Brand and performance marketing $2.48 -> $0.00 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2020->FY2021,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Field operations and policy,Nights leverage (fixed share 0%),0.0,Field operations and policy $1.88 -> $0.00 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2020->FY2021,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Field operations and policy,Per-unit cost change (own growth rate (programme spend)),,Field operations and policy $1.88 -> $0.00 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2020->FY2021,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: General and administrative,Nights leverage (fixed share 61%),3.41,General and administrative $2.32 -> $2.10 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2020->FY2021,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: General and administrative,Per-unit cost change (own growth rate (fixed base)),-2.114,General and administrative $2.32 -> $2.10 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2020->FY2021,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Revenue per night,Take rate,-6.255,revenue per night $17.48 -> $19.93,"take rate 14.14% -> 12.78% (revenue / GBV, letters)"
FY2020->FY2021,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Revenue per night,FX,1.149,revenue per night $17.48 -> $19.93,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2020->FY2021,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Revenue per night,Regional mix,-0.277,revenue per night $17.48 -> $19.93,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2020->FY2021,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Revenue per night,Length of stay,0.148,revenue per night $17.48 -> $19.93,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2020->FY2021,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Revenue per night,ADR interaction,-0.12,revenue per night $17.48 -> $19.93,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2020->FY2021,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Revenue per night,Unit-size mix and like-for-like price (not separated),13.453,revenue per night $17.48 -> $19.93,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2020->FY2021,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Add-backs,"D&A, restructuring and other add-backs",-21.085,5.5% -> -15.6% of revenue,"Adjusted EBITDA reconciliation in the letters, as the residual to the cash stack"
FY2020->FY2021,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",TOTAL,Change in Adjusted EBITDA margin,33.991,-7.4% -> 26.6%,identity check: components sum to the actual change within 0.000 points
FY2021->FY2022,cash (ex-SBC),Cost line: Cost of revenue,GBV pass-through (ADR on a per-night cost),-0.577,Cost of revenue $3.85 -> $3.81 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2021->FY2022,cash (ex-SBC),Cost line: Cost of revenue,Nights leverage (fixed share 1%),0.035,Cost of revenue $3.85 -> $3.81 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2021->FY2022,cash (ex-SBC),Cost line: Cost of revenue,Per-unit cost change (cash cost per $ of GBV),0.733,Cost of revenue $3.85 -> $3.81 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2021->FY2022,cash (ex-SBC),Cost line: Operations and support,Nights leverage (fixed share 19%),0.65,Operations and support $2.66 -> $2.48 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2021->FY2022,cash (ex-SBC),Cost line: Operations and support,Per-unit cost change (cash cost per night),0.223,Operations and support $2.66 -> $2.48 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2021->FY2022,cash (ex-SBC),Cost line: Product development,Nights leverage (fixed share 32%),1.162,Product development $2.93 -> $2.42 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2021->FY2022,cash (ex-SBC),Cost line: Product development,Per-unit cost change (own growth rate (headcount-driven)),1.362,Product development $2.93 -> $2.42 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2021->FY2022,cash (ex-SBC),Cost line: Brand and performance marketing,Nights leverage (fixed share 0%),0.0,Brand and performance marketing $0.00 -> $2.62 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2021->FY2022,cash (ex-SBC),Cost line: Brand and performance marketing,Per-unit cost change (own growth rate (discretionary)),,Brand and performance marketing $0.00 -> $2.62 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2021->FY2022,cash (ex-SBC),Cost line: Field operations and policy,Nights leverage (fixed share 0%),0.0,Field operations and policy $0.00 -> $0.95 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2021->FY2022,cash (ex-SBC),Cost line: Field operations and policy,Per-unit cost change (own growth rate (programme spend)),,Field operations and policy $0.00 -> $0.95 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2021->FY2022,cash (ex-SBC),Cost line: General and administrative,Nights leverage (fixed share 61%),1.647,General and administrative $2.10 -> $1.89 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2021->FY2022,cash (ex-SBC),Cost line: General and administrative,Per-unit cost change (own growth rate (fixed base)),-0.609,General and administrative $2.10 -> $1.89 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2021->FY2022,cash (ex-SBC),Revenue per night,Take rate,2.6,revenue per night $19.93 -> $21.33,"take rate 12.78% -> 13.27% (revenue / GBV, letters)"
FY2021->FY2022,cash (ex-SBC),Revenue per night,FX,-2.958,revenue per night $19.93 -> $21.33,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2021->FY2022,cash (ex-SBC),Revenue per night,Regional mix,-2.118,revenue per night $19.93 -> $21.33,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2021->FY2022,cash (ex-SBC),Revenue per night,Length of stay,0.202,revenue per night $19.93 -> $21.33,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2021->FY2022,cash (ex-SBC),Revenue per night,ADR interaction,-0.304,revenue per night $19.93 -> $21.33,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2021->FY2022,cash (ex-SBC),Revenue per night,Unit-size mix and like-for-like price (not separated),7.244,revenue per night $19.93 -> $21.33,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2021->FY2022,cash (ex-SBC),Add-backs,"D&A, restructuring and other add-backs",16.572,-15.6% -> 1.0% of revenue,"Adjusted EBITDA reconciliation in the letters, as the residual to the cash stack"
FY2021->FY2022,cash (ex-SBC),TOTAL,Change in Adjusted EBITDA margin,7.994,26.6% -> 34.6%,identity check: components sum to the actual change within 0.000 points
FY2022->FY2023,cash (ex-SBC),Cost line: Cost of revenue,GBV pass-through (ADR on a per-night cost),-0.304,Cost of revenue $3.81 -> $3.80 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2022->FY2023,cash (ex-SBC),Cost line: Cost of revenue,Nights leverage (fixed share 1%),0.016,Cost of revenue $3.81 -> $3.80 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2022->FY2023,cash (ex-SBC),Cost line: Cost of revenue,Per-unit cost change (cash cost per $ of GBV),0.324,Cost of revenue $3.81 -> $3.80 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2022->FY2023,cash (ex-SBC),Cost line: Operations and support,Nights leverage (fixed share 19%),0.283,Operations and support $2.48 -> $2.49 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2022->FY2023,cash (ex-SBC),Cost line: Operations and support,Per-unit cost change (cash cost per night),-0.34,Operations and support $2.48 -> $2.49 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2022->FY2023,cash (ex-SBC),Cost line: Product development,Nights leverage (fixed share 32%),0.461,Product development $2.42 -> $2.29 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2022->FY2023,cash (ex-SBC),Cost line: Product development,Per-unit cost change (own growth rate (headcount-driven)),0.149,Product development $2.42 -> $2.29 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2022->FY2023,cash (ex-SBC),Cost line: Brand and performance marketing,Nights leverage (fixed share 0%),0.0,Brand and performance marketing $2.62 -> $2.70 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2022->FY2023,cash (ex-SBC),Cost line: Brand and performance marketing,Per-unit cost change (own growth rate (discretionary)),-0.37,Brand and performance marketing $2.62 -> $2.70 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2022->FY2023,cash (ex-SBC),Cost line: Field operations and policy,Nights leverage (fixed share 0%),0.0,Field operations and policy $0.95 -> $0.95 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2022->FY2023,cash (ex-SBC),Cost line: Field operations and policy,Per-unit cost change (own growth rate (programme spend)),-0.012,Field operations and policy $0.95 -> $0.95 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2022->FY2023,cash (ex-SBC),Cost line: General and administrative,Nights leverage (fixed share 61%),1.046,General and administrative $1.89 -> $4.01 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2022->FY2023,cash (ex-SBC),Cost line: General and administrative,Per-unit cost change (own growth rate (fixed base)),-10.974,General and administrative $1.89 -> $4.01 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2022->FY2023,cash (ex-SBC),Revenue per night,Take rate,1.455,revenue per night $21.33 -> $22.13,"take rate 13.27% -> 13.53% (revenue / GBV, letters)"
FY2022->FY2023,cash (ex-SBC),Revenue per night,FX,0.503,revenue per night $21.33 -> $22.13,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2022->FY2023,cash (ex-SBC),Revenue per night,Regional mix,-0.642,revenue per night $21.33 -> $22.13,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2022->FY2023,cash (ex-SBC),Revenue per night,Length of stay,0.366,revenue per night $21.33 -> $22.13,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2022->FY2023,cash (ex-SBC),Revenue per night,ADR interaction,-0.029,revenue per night $21.33 -> $22.13,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2022->FY2023,cash (ex-SBC),Revenue per night,Unit-size mix and like-for-like price (not separated),1.075,revenue per night $21.33 -> $22.13,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2022->FY2023,cash (ex-SBC),Add-backs,"D&A, restructuring and other add-backs",9.266,1.0% -> 10.2% of revenue,"Adjusted EBITDA reconciliation in the letters, as the residual to the cash stack"
FY2022->FY2023,cash (ex-SBC),TOTAL,Change in Adjusted EBITDA margin,2.272,34.6% -> 36.8%,identity check: components sum to the actual change within 0.000 points
FY2023->FY2024,cash (ex-SBC),Cost line: Cost of revenue,GBV pass-through (ADR on a per-night cost),-0.301,Cost of revenue $3.80 -> $3.82 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2023->FY2024,cash (ex-SBC),Cost line: Cost of revenue,Nights leverage (fixed share 1%),0.011,Cost of revenue $3.80 -> $3.82 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2023->FY2024,cash (ex-SBC),Cost line: Cost of revenue,Per-unit cost change (cash cost per $ of GBV),0.194,Cost of revenue $3.80 -> $3.82 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2023->FY2024,cash (ex-SBC),Cost line: Operations and support,Nights leverage (fixed share 19%),0.192,Operations and support $2.49 -> $2.43 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2023->FY2024,cash (ex-SBC),Cost line: Operations and support,Per-unit cost change (cash cost per night),0.121,Operations and support $2.49 -> $2.43 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2023->FY2024,cash (ex-SBC),Cost line: Product development,Nights leverage (fixed share 32%),0.314,Product development $2.29 -> $2.38 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2023->FY2024,cash (ex-SBC),Cost line: Product development,Per-unit cost change (own growth rate (headcount-driven)),-0.706,Product development $2.29 -> $2.38 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2023->FY2024,cash (ex-SBC),Cost line: Brand and performance marketing,Nights leverage (fixed share 0%),0.0,Brand and performance marketing $2.70 -> $2.96 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2023->FY2024,cash (ex-SBC),Cost line: Brand and performance marketing,Per-unit cost change (own growth rate (discretionary)),-1.198,Brand and performance marketing $2.70 -> $2.96 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2023->FY2024,cash (ex-SBC),Cost line: Field operations and policy,Nights leverage (fixed share 0%),0.0,Field operations and policy $0.95 -> $1.06 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2023->FY2024,cash (ex-SBC),Cost line: Field operations and policy,Per-unit cost change (own growth rate (programme spend)),-0.524,Field operations and policy $0.95 -> $1.06 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2023->FY2024,cash (ex-SBC),Cost line: General and administrative,Nights leverage (fixed share 61%),0.715,General and administrative $4.01 -> $1.88 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
