id,name,file_or_location,owner,source,licence,frequency,first_date,last_date,n_obs,point_in_time_lag,maps_to,role,tested_already,verdict_so_far,untested_idea,combinable_with,build_forward,on_disk
D031,"Adj. EBITDA margin guides: next quarter (23) and full year (21), floor/point/ceiling","theos-past-research/research/guidance/data/normalized/guidance_items.csv (metric adj_ebitda_margin, 44 rows added by Krish); citadel-abnb-predict/data/external/guidance_items_with_margin.csv",Krish (into Theo's schema),Shareholder letters 8-K Ex.99.1 (S23) Outlook sections,public,quarterly,2020Q4 event,2026Q2 event,44,0: letter release,guidance / EBITDA margin,level,"yes: predictive/04, 2026-09-05_guidance-margin-items",FY floors beaten 4/4 by 1.3-6.3 pts; Q ceilings undershot 8/9 by 0.5-2.5 pts,"FY floor raise (Q3 letters) as a reaction feature: only 3 raises so far, n too small","D007,D030",no,yes
D032,"KPI direction guides: ADR y/y (14), nights y/y (9), take rate (6), GBV (4), mostly qualitative",theos-past-research/research/guidance/data/normalized/guidance_items.csv,Theo,Theo guidance dataset (S27),public,quarterly,2020Q4,2026Q2,33,0: letter release,guidance / ADR / nights / take rate,direction,partly: 2026-09-05_abnb-major-moves (nights guide commentary drives 8-13% drops),"Four beats-and-falls (3Q22, 1Q23, 2Q24, 2Q25) were nights-guide or lead-time commentary","Code each print's nights-guide direction (up/flat/down vs current y/y) and test vs day-1 sign, n 23","D001,D042",no,yes
D033,Guidance event timestamps (webcast start as public-by proxy; SEC acceptance not captured),theos-past-research/research/guidance/data/normalized/guidance_events.csv,Theo,Theo guidance dataset (S27),public,per print,2021-02-25,2026-08-06,23,n/a (defines cutoff),guidance (timing),metadata,no,Open issue: use SEC 8-K acceptance time (Theo research_issues),Pull EDGAR acceptance times for the 23 8-Ks (accession list in abnb_exsbc_stack.py),,no,yes
D034,"Coded management drivers (146 observations, 8 families: booking economics, mix, external, behaviour, demand, calendar, commercial, supply)",theos-past-research/research/guidance/data/normalized/driver_observations.csv; evidence_claims.csv (114),Theo,Theo guidance dataset (S27) from letter Outlook text,public,per print,2020Q4,2026Q2,146,0: letter release,guidance (rationale),sentiment / mix,no,,Count of negative-direction drivers per letter vs next-Q revenue beat and day-1 sign (n 23),"D052,D030",no,yes
D035,Source excerpts (154 verbatim letter sentences) and 48 source documents manifest,theos-past-research/research/guidance/data/normalized/source_excerpts.csv; theos-past-research/research/guidance/data/manifests/source_documents.csv,Theo,Theo guidance dataset (S27),public,per print,2020Q4,2026Q2,154,0,guidance (provenance),metadata,no,,None,,no,yes
D036,Pre-guidance consensus snapshots (revenue mean),theos-past-research/research/guidance/data/normalized/consensus_snapshots.csv,Theo,Bloomberg BEst point-in-time request pending,licensed (not collected),per print,,,0 of 23 (all rows missing),n/a,consensus,positioning,no: GAP,All 23 rows missing; plan-of-attack branch 3 (Hough Hall terminal) not done,Bloomberg transcript-export page headers give consensus at each call for free; then test guide-vs-consensus gap vs day-1,"D030,D042,D190",yes,yes
D037,"Revenue guide vs actual: midpoint, top, beat %",data/processed/abnb_revenue_guidance_vs_actual.csv,Krish,derived from D030 + D005,public,quarterly,2021Q4,2026Q3 (actual blank),20,0,guidance / revenue,level,yes: predictive/01,Mean beat +2.5% (range +0.9 to +6.8); post-2022 +2.2% sd 1.15,None; model as a constant,D030,no,yes
D038,Trailing-4 guidance cushion and cushion-adjusted guide direction,"data/processed/predictive/01_print_base_rates.csv (trailing_cushion_pct, guide_direction_cushion_adj)",Krish,derived,public,quarterly,2020Q4,2026Q2,23,0,guidance / revenue,second derivative,yes: predictive/01,Guide + cushion MAE 1.1%; cushion-adjusted guide acceleration does not set day-1,None,D030,no,yes
D040,ABNB daily close,"data/processed/abnb_daily_close.csv; data/processed/overnight/09_prices_daily.csv (ws 09, 13 tickers)",Krish,Yahoo Finance via yfinance,Yahoo terms (non-redistributable at scale),daily,2020-12-10,2026-09-04,1440,same day,stock reaction,positioning,"yes: 2026-09-05_abnb-major-moves, predictive/01",Prints sold on average: 20-day excess -4.7%; two biggest up days followed runs of down prints,"Pre-print 20-day drawdown as a positioning proxy for day-1 sign (mean reversion), n 23","D042,D043,D044",no,yes
D041,"Peer and factor daily closes: BKNG, EXPE, HLT, MAR, QQQ (+ DASH, H, JETS, IWM, IVE, IVW, MTUM in ws 09)",citadel-abnb-predict/data/raw/prices/*.csv; data/processed/overnight/09_prices_daily.csv,Krish,yfinance,Yahoo terms,daily,2020-12-01,2026-09-04,1447,same day,stock reaction (benchmark),positioning / macro,yes: predictive/02 (peer day-1 excess),"Peer reactions do not read through to ABNB's; hotel prints arrive first, OTAs often after",Travel-basket beta pre-print vs ABNB idiosyncratic move; factor exposure (growth vs value) before prints,"D040,D060",no,yes
D042,"Earnings reactions: ABNB, QQQ and excess at 1/5/20 sessions for 23 prints",data/processed/abnb_earnings_reactions.csv; theos-past-research/research/guidance/data/normalized/market_returns.csv (69 rows),Theo (Krish rebuilt),Nasdaq official closes (S28),public,per print,2021-02-26,2026-08-07,23,n/a (target),stock reaction,target,"yes: predictive/04, predictive/01, 2026-09-05_driver-model",Day-1 excess R^2 0.04-0.07 on print numbers; 1-day > 0 only 11/23,None as a feature; it is the target,"D001,D009,D031",no,yes
D043,Major moves >=7%: 41 events attributed (macro/earnings/company/industry) with peer same-day moves,data/processed/abnb_major_moves_events.csv,Krish,derived from closes + press,public,event,2020-12-16,2026-08-07,41,n/a,stock reaction,sentiment / attribution,yes: 2026-09-05_abnb-major-moves,Since 2023 an earnings-day stock; 6 of 11 earnings moves negative despite beats; no mgmt-change move,None,D040,no,yes
D044,"Options ledger: ATM IV, straddle, 25d skew, P/C ratios, event-implied move for ABNB + 7 travel names","MAIN:data/processed/abnb_options_ledger.csv (main tree, uncommitted); script analysis/src/abnb_options_ledger.py",Krish,yfinance option chains (adapted from MAIN:ABNB-Crossover/tools/options_ledger.py),Yahoo terms,weekly intended; 1 run so far,2026-09-05,2026-09-05,16,same day,stock reaction (implied move),positioning,no: 1 capture,"Nov-20 expiry ATM IV 37.9%, straddle 13.4% of spot (single run)",Implied vs realised print move over the next 2 prints; needs captures the week of 5 Nov,"D040,D042",yes,yes
D045,Nasdaq ABNB/SPY daily history (Theo's public reproduction),theos-past-research/outputs/reproducibility/us-europe-guidance/nasdaq_public_market_history.csv,Theo,Nasdaq historical pages,public,daily,2020-12,2026-09,1402,same day,stock reaction,positioning,no (duplicate of D040),,None,D040,no,yes
D046,"Pitch scorecard: 37 dated calls (direction, PT, KPIs used, method) scored vs ABNB and QQQ; 44 metrics usage",data/processed/predictive/05_pitch_scorecard.csv; 05_metric_usage.csv,Krish,pitch landscape and catalogue notes (S14),public web,event,2024-09-17,2026-09-03,37,n/a,stock reaction / positioning,sentiment,yes: predictive/05,Longs right 17/18 but beat QQQ 11/18; all 7 holds wrong; take-rate bulls wrong on KPI unpunished,Sell-side PT dispersion at each print as a crowding proxy (needs consensus history D190),"D036,D190",no,yes
D050,"Earnings-call transcripts, 23 calls (IR FactSet PDFs 4Q21, 1Q23-2Q26; stockanalysis.com 4Q20-4Q22)",data/raw/regulatory/transcripts/ (14 PDF+JSON); citadel-abnb-transcripts/data/raw/transcripts/ir + sa (23 txt); theos-past-research/research/transcripts/transcript_index.csv,Krish; Theo,Airbnb IR CDN (S22/S35); stockanalysis.com,IR PDFs public; FactSet copies licensed,per print,2021-02-25,2026-08-06,23,0 to 1 day after call (corrected PDF ~1-2 days),guidance / sentiment,sentiment,yes: 2026-09-05_transcript-analytics,"Mgmt talks volume and margin; analysts ask take rate, marketing, hotels, regulation","Prepared-remarks tone score per call vs next-Q guide direction (n 23), LLM-coded and pre-registered","D051,D052,D053",no,yes
D051,Analyst roster per call: 317 analyst-call rows; firm churn by call; 31 firms,data/processed/abnb_call_roster.csv; abnb_call_roster_churn.csv,Krish,transcripts (D050),public,per print,2020Q4,2026Q2,317,0-1 day,positioning (coverage),positioning,yes: 2026-09-05_transcript-analytics,Analysts asking per call 15.0 (2022) to 11.5 (2026); no new house since 2024,"Roster size change vs 20-day post-print drift (attention proxy), n 22",D046,no,yes
D052,"Call topic mentions per 1,000 words, 14 topics x 23 calls, split mgmt prepared / mgmt Q&A / analysts",data/processed/abnb_call_topics.csv,Krish,"transcripts, regex TOPICS dict",public,per print,2020Q4,2026Q2,322,0-1 day,guidance / sentiment / take rate / regulation,sentiment,yes: 2026-09-05_transcript-analytics (descriptive only),Take rate absent from prepared remarks until 2025; AI now volunteered; regulation asked 4.9x more than volunteered,Analyst-minus-management topic gap (e.g. take rate) vs next-print reaction; nights_demand mentions vs nights guide,"D034,D050",no,yes
D053,Declined-to-quantify log: 37 analyst asks management would not number,data/processed/abnb_declined_to_quantify.csv,Krish,"transcripts, hand-read",public,per print,2020Q4,2026Q2,37,0-1 day,guidance (what is unknowable),sentiment,yes: 2026-09-05_transcript-analytics,"Four never numbered: Experiences attach, hotels scale, AI spend, long-term margin","Declines per call vs day-1 sign (opacity penalty), n 23",D052,no,yes
D054,"Regulatory earnings observations (9 coded call statements, 2023Q3-2026Q2)",MAIN:research/regulatory/earnings_observations.json; earnings_digest.md,Krish,transcripts,public,per print,2023-Q3,2026-Q2,9,0-1 day,regulation,sentiment,no,,None (too few),D160,no,yes
D055,"Third Bridge expert calls, 5 transcripts (Booking AI, OTA AI, India alt-acco, UK/EU VRM, US VRM)",data/raw/licensed/third-bridge/*.pdf; digest 2026-09-05_third-bridge-transcripts.md,Krish,Third Bridge (S16-S20),"licensed, do not quote at length",one-off,2026-05-26,2026-08-19,5,n/a,take rate / supply-side / regulation,sentiment / supply-side,yes: digest,Supplier power sits with property managers; Awaze pays 15-17%; AI-native share ~3%,None quantitative,,no,yes
D056,"LSEG/Refinitiv headlines: 59 regulatory news, 88 Spain, 6 transcript entries, 18 story bodies","data/raw/regulatory/lseg/*.json,*.html; data/raw/regulatory/phase2/lseg/",Krish,LSEG Workspace news (Reuters),licensed (LSEG terms),event,2025-07-30,2026-09-04,153,same day,regulation,sentiment / event dating,no,Used for event dating only (regulatory note ledger),Monthly count of STR-regulation headlines as a regulatory-pressure index; needs a longer pull,"D160,D161",yes,yes
D057,"Theo transcript fact tables (guidance_facts, reported_metrics, management_themes)",theos-past-research/research/transcripts/*.csv,Theo,planned extraction from FactSet PDFs,n/a,per print,,,0 (empty schemas),n/a,guidance / nights / ADR,n/a,no: schemas only,Never populated,Populate reported_metrics from the letters instead (D001-D007 already do),,no,yes
D060,"Peer print KPIs: BKNG room nights/GB/revenue, EXPE room nights/GB, MAR and HLT RevPAR, adj. EBITDA margins, next-Q direction; 256 source sentences",data/processed/predictive/02_peer_prints.csv; 02_peer_prints_long.csv; 02_peer_sources.csv,Krish,8-K Ex.99.1 via EDGAR submissions API (S37),public,quarterly,2020Q4,2026Q2,92,"0: peer 8-K (HLT ~21 Oct, MAR ~3 Nov, BKNG/EXPE often after ABNB)",nights (read-through) / stock reaction,demand-side / level,yes: predictive/02,HLT/MAR RevPAR r 0.88/0.91 with nights but no LOO gain over ABNB's own AR(1) (10 of 11 worse),MAR/HLT RevPAR acceleration as a sign check only; test BKNG Q4 room-nights guide vs ABNB Q4 guide direction,"D001,D041",no,yes
D061,"Peer 8-K exhibits raw, 93 filings (BKNG 23, EXPE 23, HLT 24, MAR 23)","citadel-abnb-predict/data/raw/peers/ (BKNG, EXPE, HLT, MAR subfolders of *.htm); peer_filings_manifest.csv",Krish,EDGAR,public,quarterly,2021-02-11,2026-08-05,93,0,nights / ADR (peer),raw,yes (parsed into D060),,Parse BKNG's ADR and EXPE's lodging ADR growth for a peer price index,"D060,D003",no,yes
D062,"Peer print calendar: report dates, acceptance times, lead days vs ABNB",data/processed/predictive/02_peer_readthrough_panel.csv (*_lead_days),Krish,EDGAR acceptance timestamps,public,quarterly,2021Q1,2026Q2,22,n/a,guidance (timing),metadata,yes: predictive/02,Calendar blocks half the pairs; BKNG/EXPE usually report after ABNB,None,D060,no,yes
D070,"CPI lodging away from home, SA (CUSR0000SEHB)",data/raw/fred/CUSR0000SEHB.csv; citadel-abnb-predict/data/raw/macro/,Krish,FRED keyless CSV (S30/S38),public domain,monthly,1997-12,2026-07,344,~2 weeks after month end (CPI release); Oct-2025 missing,ADR / nights,price / macro,"yes: 2026-09-06_predictive-study + predictive/03, 2026-09-05_margin-drivers",Nights r 0.80 post-2022 is trend; hotel price monitor: CPI lodging +2.8% Jul-26 after +4.4 to +5.0,"CPI lodging minus ADR ex-FX (hotel-STR price wedge) vs next-Q ADR ex-FX, n 14","D003,D004,D090,D165",no,yes
D071,"CPI lodging away from home, NSA (CUUR0000SEHB)",citadel-abnb-predict/data/raw/macro/CUUR0000SEHB.csv; Theo SSD,Krish; Theo,FRED keyless CSV (S30/S38),public domain,monthly,1997-12,2026-07,344,~2 weeks,ADR,price,yes: 2026-09-06_predictive-study + predictive/03; Theo H-003 v1/v2,Theo H-003: not testable (no ALFRED vintage access); Krish: same as SA,ALFRED vintages once a FRED key is synced (Theo's blocker),D070,no,yes
D072,CPI airline fares (CUSR0000SETG01),data/raw/fred/CUSR0000SETG01.csv,Krish,FRED keyless CSV (S30/S38),public domain,monthly,1989,2026-07,450,~2 weeks,ADR ex-FX / nights,price / macro,yes: 2026-09-06_predictive-study + predictive/03,Runner-up for ADR ex-FX after initial claims; not promoted,"Airfare y/y + claims y/y two-factor ADR ex-FX model, walk-forward from 2023","D078,D004",no,yes
D073,CPI all items (CPIAUCSL),data/raw/fred/CPIAUCSL.csv,Krish,FRED keyless CSV (S30/S38),public domain,monthly,1947,2026-07,955,~2 weeks,nights (control) / real ADR,macro,yes: 2026-09-06_predictive-study + predictive/03,"'Predicts' nights r 0.85 as well as BEA: disinflation trend, not travel",Use only as deflator,D070,no,yes
D074,"CPI new vehicles (CUSR0000SETA01), discretionary control",citadel-abnb-predict/data/raw/macro/CUSR0000SETA01.csv,Krish,FRED keyless CSV (S30/S38),public domain,monthly,1953-01,2026-07,883,~2 weeks,nights (control),macro,yes: 2026-09-06_predictive-study + predictive/03 (one of 25 series),No surviving pair,None,,no,yes
D075,UMich consumer sentiment (UMCSENT),citadel-abnb-predict/data/raw/macro/UMCSENT.csv; MAIN:ABNB-Crossover/data/,Krish,FRED keyless CSV (S30/S38),public domain,monthly (prelim mid-month),1952-11,2026-07,885,prelim ~2 weeks before month end,nights / GBV,demand-side / macro,yes: 2026-09-06_predictive-study + predictive/03,No surviving pair on any target post-2022,None,,no,yes
D076,Personal saving rate (PSAVERT),citadel-abnb-predict/data/raw/macro/PSAVERT.csv,Krish,FRED keyless CSV (S30/S38),public domain,monthly,1959-01,2026-07,811,~4 weeks,stock reaction / GBV,macro,yes: 2026-09-06_predictive-study + predictive/03,"Day-1 excess r -0.70 post-2022 but +0.03 full sample: sign flip, spurious",None,,no,yes
D077,Retail sales ex auto (RSXFS),citadel-abnb-predict/data/raw/macro/RSXFS.csv,Krish,FRED keyless CSV (S30/S38),public domain,monthly,1992-01,2026-07,415,~2 weeks,revenue beat / nights accel,macro,yes: 2026-09-06_predictive-study + predictive/03,Beat vs midpoint r -0.55 (q 0.33): nothing; accel r 0.64 (q 0.21) not a lead,None,,no,yes
D078,"Initial jobless claims (ICSA), weekly",citadel-abnb-predict/data/raw/macro/ICSA.csv,Krish,FRED keyless CSV (S30/S38),public domain,weekly,1967-01-07,2026-08-29,3113,5 days (Thursday release),ADR ex-FX,macro / price,yes: 2026-09-06_predictive-study + predictive/03,"ADR ex-FX r -0.86 (n 17), -0.78 post-2022, LOO 0.82 vs 1.05 naive: WATCH, not promoted","Score against 3Q26 and 4Q26 ex-FX ADR before promoting; pre-register direction (rising claims, weaker pricing)","D004,D072",no,yes
D079,Unemployment rate (UNRATE),citadel-abnb-predict/data/raw/macro/UNRATE.csv,Krish,FRED keyless CSV (S30/S38),public domain,monthly,1948-01,2026-08,944,first Friday,nights,macro,yes: 2026-09-06_predictive-study + predictive/03,No surviving pair,None,,no,yes
