horizon,feature,n,loo_r2_numbers_only,loo_r2_numbers_plus_feature,delta_loo_r2
excess_1d_pct,theme_buybacks_sbc_share_prepared,17,-2.311,-3.358,-1.048
excess_1d_pct,d_numbers_prepared_per1k,17,-2.311,-4.228,-1.917
excess_1d_pct,n_declines_hand_verified,17,-2.311,-4.244,-1.933
excess_1d_pct,d_theme_pricing_adr_share_total,17,-2.311,-4.647,-2.336
excess_1d_pct,theme_pricing_adr_share_total,17,-2.311,-5.06,-2.749
excess_1d_pct,d_n_analyst_questions,17,-2.311,-5.184,-2.873
excess_1d_pct,n_analyst_turns,17,-2.311,-5.629,-3.319
excess_20d_pct,d_lm_net_total,16,-10.361,-4.552,5.809
excess_20d_pct,qa_mgmt_words,16,-10.361,-5.776,4.585
excess_20d_pct,d_lm_net_qa,16,-10.361,-5.959,4.402
excess_20d_pct,theme_marketing_share_total,16,-10.361,-6.121,4.24
excess_20d_pct,d_ceo_share_total,16,-10.361,-6.816,3.546
excess_20d_pct,n_numbers_prepared,16,-10.361,-7.333,3.028
excess_20d_pct,qa_share_of_mgmt_words,16,-10.361,-7.686,2.675
excess_20d_pct,d_theme_new_businesses_share_total,16,-10.361,-7.94,2.421
excess_20d_pct,d_theme_long_term_targets_share_total,16,-10.361,-8.097,2.264
excess_20d_pct,theme_long_term_targets_share_prepared,16,-10.361,-8.173,2.188
excess_20d_pct,theme_supply_hosts_share_prepared,16,-10.361,-8.229,2.132
excess_20d_pct,d_theme_take_rate_fees_share_total,16,-10.361,-8.342,2.02
excess_20d_pct,prepared_words,16,-10.361,-8.807,1.554
excess_20d_pct,theme_ai_share_prepared,16,-10.361,-8.958,1.403
excess_20d_pct,lm_net_total,16,-10.361,-8.993,1.368
excess_20d_pct,theme_buybacks_sbc_share_total,16,-10.361,-9.097,1.264
excess_20d_pct,theme_international_share_total,16,-10.361,-9.106,1.255
excess_20d_pct,d_theme_buybacks_sbc_share_total,16,-10.361,-9.186,1.176
excess_20d_pct,lm_neg_prepared_per1k,16,-10.361,-9.194,1.167
excess_20d_pct,lm_net_prepared,16,-10.361,-9.222,1.139
excess_20d_pct,theme_take_rate_fees_share_total,16,-10.361,-9.421,0.941
excess_20d_pct,d_theme_regulation_share_total,16,-10.361,-9.52,0.841
excess_20d_pct,ceo_share_prepared,16,-10.361,-9.587,0.774
excess_20d_pct,theme_demand_macro_share_total,16,-10.361,-9.638,0.723
excess_20d_pct,hedge_prepared_per1k,16,-10.361,-9.703,0.658
excess_20d_pct,d_theme_marketing_share_total,16,-10.361,-9.825,0.536
excess_20d_pct,theme_regulation_share_total,16,-10.361,-9.853,0.508
excess_20d_pct,d_theme_supply_hosts_share_total,16,-10.361,-9.982,0.379
excess_20d_pct,theme_new_businesses_share_prepared,16,-10.361,-10.025,0.337
excess_20d_pct,fwd_prepared_per1k,16,-10.361,-10.197,0.164
excess_20d_pct,theme_international_share_prepared,16,-10.361,-10.21,0.151
excess_20d_pct,theme_long_term_targets_share_total,16,-10.361,-10.218,0.143
excess_20d_pct,lm_unc_prepared_per1k,16,-10.361,-10.225,0.137
excess_20d_pct,theme_competition_share_total,16,-10.361,-10.233,0.129
excess_20d_pct,theme_margins_profitability_share_prepared,16,-10.361,-10.291,0.07
excess_20d_pct,theme_competition_share_prepared,16,-10.361,-10.364,-0.003
excess_20d_pct,d_theme_pricing_adr_share_total,16,-10.361,-10.388,-0.027
excess_20d_pct,lm_unc_qa_per1k,16,-10.361,-10.481,-0.12
excess_20d_pct,theme_margins_profitability_share_total,16,-10.361,-10.491,-0.13
excess_20d_pct,n_guide_decline_phrases_qa,16,-10.361,-10.492,-0.131
excess_20d_pct,analyst_lm_net_per1k,16,-10.361,-10.509,-0.148
excess_20d_pct,ceo_share_total,16,-10.361,-10.522,-0.161
excess_20d_pct,analyst_neg_kw_per_question,16,-10.361,-10.543,-0.182
excess_20d_pct,fwd_qa_per1k,16,-10.361,-10.563,-0.202
excess_20d_pct,d_hedge_qa_per1k,16,-10.361,-10.58,-0.219
excess_20d_pct,d_hedge_prepared_per1k,16,-10.361,-10.655,-0.294
excess_20d_pct,hedge_qa_per1k,16,-10.361,-10.657,-0.295
excess_20d_pct,theme_ai_share_total,16,-10.361,-10.674,-0.313
excess_20d_pct,ceo_share_qa,16,-10.361,-10.681,-0.32
excess_20d_pct,theme_buybacks_sbc_share_prepared,16,-10.361,-10.709,-0.348
excess_20d_pct,n_analyst_questions,16,-10.361,-10.714,-0.353
excess_20d_pct,tone_gap_qa_minus_prepared,16,-10.361,-10.776,-0.414
excess_20d_pct,d_theme_ai_share_total,16,-10.361,-10.775,-0.414
excess_20d_pct,d_theme_international_share_total,16,-10.361,-10.801,-0.439
excess_20d_pct,theme_pricing_adr_share_prepared,16,-10.361,-10.856,-0.495
excess_20d_pct,theme_regulation_share_prepared,16,-10.361,-10.909,-0.548
excess_20d_pct,hedge_gap_qa_minus_prepared,16,-10.361,-10.923,-0.562
excess_20d_pct,theme_demand_macro_share_prepared,16,-10.361,-10.949,-0.588
excess_20d_pct,theme_marketing_share_prepared,16,-10.361,-10.975,-0.614
excess_20d_pct,cfo_share_total,16,-10.361,-11.036,-0.675
excess_20d_pct,d_theme_demand_macro_share_total,16,-10.361,-11.05,-0.689
excess_20d_pct,d_theme_competition_share_total,16,-10.361,-11.09,-0.728
excess_20d_pct,d_theme_margins_profitability_share_total,16,-10.361,-11.161,-0.8
excess_20d_pct,numbers_prepared_per1k,16,-10.361,-11.193,-0.832
excess_20d_pct,numbers_qa_per1k,16,-10.361,-11.204,-0.843
excess_20d_pct,lm_neg_qa_per1k,16,-10.361,-11.379,-1.018
excess_20d_pct,d_lm_net_prepared,16,-10.361,-11.39,-1.029
excess_20d_pct,analyst_pos_kw_per_question,16,-10.361,-11.451,-1.09
excess_20d_pct,lm_net_qa,16,-10.361,-11.511,-1.15
excess_20d_pct,n_analysts,16,-10.361,-11.723,-1.361
excess_20d_pct,d_analyst_lm_net_per1k,16,-10.361,-11.726,-1.364
excess_20d_pct,theme_new_businesses_share_total,16,-10.361,-12.242,-1.881
excess_20d_pct,d_n_analyst_questions,16,-10.361,-12.456,-2.095
excess_20d_pct,n_declines_hand_verified,16,-10.361,-12.484,-2.122
excess_20d_pct,theme_pricing_adr_share_total,16,-10.361,-12.855,-2.494
excess_20d_pct,theme_supply_hosts_share_total,16,-10.361,-13.051,-2.689
excess_20d_pct,d_numbers_prepared_per1k,16,-10.361,-13.285,-2.924
excess_20d_pct,theme_take_rate_fees_share_prepared,16,-10.361,-14.995,-4.634
excess_20d_pct,n_analyst_turns,16,-10.361,-15.586,-5.224
excess_5d_pct,theme_marketing_share_total,17,-3.49,0.184,3.673
excess_5d_pct,qa_share_of_mgmt_words,17,-3.49,-0.154,3.336
excess_5d_pct,qa_mgmt_words,17,-3.49,-0.158,3.331
excess_5d_pct,theme_long_term_targets_share_prepared,17,-3.49,-0.367,3.123
excess_5d_pct,d_theme_long_term_targets_share_total,17,-3.49,-0.502,2.987
excess_5d_pct,n_numbers_prepared,17,-3.49,-0.549,2.941
excess_5d_pct,d_lm_net_total,17,-3.49,-0.644,2.846
excess_5d_pct,prepared_words,17,-3.49,-0.714,2.776
excess_5d_pct,theme_international_share_total,17,-3.49,-0.803,2.687
excess_5d_pct,theme_long_term_targets_share_total,17,-3.49,-0.866,2.624
excess_5d_pct,theme_buybacks_sbc_share_total,17,-3.49,-1.28,2.21
excess_5d_pct,d_ceo_share_total,17,-3.49,-1.354,2.136
excess_5d_pct,theme_ai_share_prepared,17,-3.49,-1.366,2.124
excess_5d_pct,d_theme_take_rate_fees_share_total,17,-3.49,-1.56,1.93
excess_5d_pct,ceo_share_prepared,17,-3.49,-1.606,1.884
excess_5d_pct,theme_take_rate_fees_share_total,17,-3.49,-1.654,1.836
excess_5d_pct,theme_supply_hosts_share_prepared,17,-3.49,-1.662,1.828
excess_5d_pct,fwd_prepared_per1k,17,-3.49,-1.764,1.726
excess_5d_pct,theme_competition_share_prepared,17,-3.49,-1.951,1.539
excess_5d_pct,d_theme_marketing_share_total,17,-3.49,-2.141,1.349
excess_5d_pct,d_theme_buybacks_sbc_share_total,17,-3.49,-2.145,1.345
excess_5d_pct,d_theme_margins_profitability_share_total,17,-3.49,-2.328,1.162
excess_5d_pct,lm_net_total,17,-3.49,-2.365,1.125
excess_5d_pct,theme_international_share_prepared,17,-3.49,-2.426,1.064
excess_5d_pct,lm_net_prepared,17,-3.49,-2.508,0.982
excess_5d_pct,d_theme_regulation_share_total,17,-3.49,-2.685,0.805
excess_5d_pct,theme_margins_profitability_share_prepared,17,-3.49,-2.719,0.771
excess_5d_pct,d_lm_net_prepared,17,-3.49,-2.724,0.766
excess_5d_pct,analyst_lm_net_per1k,17,-3.49,-2.756,0.734
excess_5d_pct,d_theme_new_businesses_share_total,17,-3.49,-2.887,0.603
excess_5d_pct,d_lm_net_qa,17,-3.49,-2.908,0.582
excess_5d_pct,ceo_share_total,17,-3.49,-3.058,0.431
excess_5d_pct,theme_demand_macro_share_total,17,-3.49,-3.067,0.423
excess_5d_pct,lm_neg_prepared_per1k,17,-3.49,-3.069,0.421
excess_5d_pct,tone_gap_qa_minus_prepared,17,-3.49,-3.08,0.41
excess_5d_pct,cfo_share_total,17,-3.49,-3.178,0.312
excess_5d_pct,theme_pricing_adr_share_prepared,17,-3.49,-3.197,0.293
excess_5d_pct,theme_ai_share_total,17,-3.49,-3.252,0.237
excess_5d_pct,lm_unc_qa_per1k,17,-3.49,-3.357,0.133
excess_5d_pct,d_theme_ai_share_total,17,-3.49,-3.365,0.125
excess_5d_pct,d_theme_supply_hosts_share_total,17,-3.49,-3.38,0.11
excess_5d_pct,lm_unc_prepared_per1k,17,-3.49,-3.426,0.064
excess_5d_pct,n_analyst_questions,17,-3.49,-3.438,0.052
excess_5d_pct,theme_competition_share_total,17,-3.49,-3.442,0.048
excess_5d_pct,analyst_neg_kw_per_question,17,-3.49,-3.466,0.023
excess_5d_pct,theme_new_businesses_share_prepared,17,-3.49,-3.478,0.012
excess_5d_pct,fwd_qa_per1k,17,-3.49,-3.516,-0.027
excess_5d_pct,n_guide_decline_phrases_qa,17,-3.49,-3.608,-0.118
excess_5d_pct,hedge_prepared_per1k,17,-3.49,-3.621,-0.132
excess_5d_pct,hedge_qa_per1k,17,-3.49,-3.628,-0.138
excess_5d_pct,d_hedge_qa_per1k,17,-3.49,-3.643,-0.154
excess_5d_pct,d_theme_competition_share_total,17,-3.49,-3.672,-0.182
excess_5d_pct,theme_demand_macro_share_prepared,17,-3.49,-3.685,-0.195
excess_5d_pct,lm_neg_qa_per1k,17,-3.49,-3.707,-0.217
excess_5d_pct,numbers_qa_per1k,17,-3.49,-3.708,-0.218
excess_5d_pct,theme_marketing_share_prepared,17,-3.49,-3.714,-0.225
excess_5d_pct,ceo_share_qa,17,-3.49,-3.722,-0.232
excess_5d_pct,theme_take_rate_fees_share_prepared,17,-3.49,-3.804,-0.314
excess_5d_pct,numbers_prepared_per1k,17,-3.49,-3.818,-0.328
excess_5d_pct,d_theme_international_share_total,17,-3.49,-3.844,-0.354
excess_5d_pct,theme_margins_profitability_share_total,17,-3.49,-3.896,-0.406
excess_5d_pct,d_theme_demand_macro_share_total,17,-3.49,-3.913,-0.424
excess_5d_pct,lm_net_qa,17,-3.49,-4.02,-0.53
excess_5d_pct,n_analysts,17,-3.49,-4.111,-0.621
excess_5d_pct,theme_supply_hosts_share_total,17,-3.49,-4.151,-0.661
excess_5d_pct,d_analyst_lm_net_per1k,17,-3.49,-4.197,-0.708
excess_5d_pct,d_hedge_prepared_per1k,17,-3.49,-4.299,-0.81
excess_5d_pct,theme_regulation_share_total,17,-3.49,-4.309,-0.819
excess_5d_pct,hedge_gap_qa_minus_prepared,17,-3.49,-4.336,-0.847
excess_5d_pct,analyst_pos_kw_per_question,17,-3.49,-4.369,-0.879
excess_5d_pct,theme_new_businesses_share_total,17,-3.49,-4.436,-0.946
excess_5d_pct,theme_regulation_share_prepared,17,-3.49,-4.519,-1.029
excess_5d_pct,d_numbers_prepared_per1k,17,-3.49,-5.561,-2.072
excess_5d_pct,theme_buybacks_sbc_share_prepared,17,-3.49,-5.763,-2.274
excess_5d_pct,theme_pricing_adr_share_total,17,-3.49,-5.86,-2.37
excess_5d_pct,d_theme_pricing_adr_share_total,17,-3.49,-6.067,-2.578
excess_5d_pct,n_declines_hand_verified,17,-3.49,-6.533,-3.043
excess_5d_pct,d_n_analyst_questions,17,-3.49,-7.322,-3.832
excess_5d_pct,n_analyst_turns,17,-3.49,-8.006,-4.517
