sheet,cell,issue_type,severity,description,suggested_fix,status
Valuation,B27:G39,valuation-date convention,medium,"The DCF strip starts from FY2027E FCF, grows it by the start-growth input to get year 1 (= FY2028) and discounts that by one year. The enterprise value is therefore a value as of end-FY2027 compared with a spot price of 4 Sep 2026 - roughly a 1.3-year timing gap - and there is no mid-year convention. Identical in the Python mirror, so it is a convention, not a bug.","OPEN: economics, not mechanics. Either discount the strip back to today or say in the note that the DCF lens is a forward value.",open
Street / Card_5Nov,column G,cosmetic,low,"The 70- and 76-character-wide column was set on H while the source / vendor text sat in G, so both source columns rendered narrow.",FIXED: the width is set on the column the text is actually in (Card_5Nov's source moved to H when the Active column was inserted).,fixed
Costs / Cash,C29 / C8 in all three blocks,data gap,low,FY2025 interest expense shows as $0M because data/processed/abnb_fcf_bridge.csv reports zero for every quarter of 2025; ABNB's 2021 note coupon sits inside other income/(expense) in that bridge. Memo column only - the forecast years take interest expense from Inputs.,OPEN (documented): the new History anchor says so. Pull the real FY2025 interest expense from the 10-K if the FY2025A column is ever shown to anyone.,open
Revenue,C14:H17 and the two other blocks,annual driver used per quarter,low,The regulatory drag is a full-year pp of nights growth but is applied to each quarter of that year at its full annual size.,"OPEN: economics (WS11's overlay), and it is the same in the Python mirror.",open
History,A5:X26,hard number outside a yellow cell,low,"The quarterly actuals table is 507 hard numbers with a sheet-level source line but no yellow fill, so the Inputs banner's 'yellow cells are inputs' was not the whole story.","FIXED (documentation): the banner now names the History actuals table, the external Street / Card bars and the Recon mirror column as the other hard numbers in the file.",fixed
(workbook),-,Excel error values,none,"Excel 16.0 CalculateFullRebuild on a copy: 0 cells of 5,544 returned #REF!, #DIV/0!, #VALUE!, #NAME?, #N/A, #NUM! or #NULL!.",-,clean
(workbook),-,circular references,none,"Application.Iteration False, CalculationState xlDone, no sheet reported a CircularReference range, status bar clear.",-,clean
Revenue,all 45 SUM ranges,range stops short,none,Every SUM in the file is E:H on one row - the four 2027 quarters - and the FY2026 column adds the 1H26 actual to 3Q26 and 4Q26 explicitly. No range stops short of its row.,-,clean
(workbook),-,reference to an empty cell,none,"No single-cell reference in any of the 2,348 formulas points at an empty cell.",-,clean
Revenue / Costs / Cash,the three scenario blocks,block consistency,none,"After shifting each block's row offset and blinding the Inputs scenario column, the Bear, Base and Bull blocks are identical formula for formula - 0 mismatches over every formula cell. Valuation columns B / C / D likewise, rows 6-49.",-,clean
History,"B94:B97, B55:B58, B64:B67, B73:B76, B82:B85, B86:B89",shares sum to 100%,none,"Seasonal share of full-year nights sums to exactly 1.000000; the four regional shares sum to exactly 1.000000 for 3Q25, 4Q25, 1Q26, 2Q26 and FY2025.",-,clean
Valuation,B43:D45,football-field weights,none,"MIN / MAX / AVERAGE over exactly the six lens cells (EV/EBITDA FY27, EV/FCF FY27, P/SBC-adj FCF, P/earnings, EV/EBITDA FY28, DCF), equal weight, matching the Python mirror's `core` set - the SBC-adjusted DCF and the 5 Sep memo multiples are excluded from both.",-,clean
Revenue,row 32 and its two copies,FX timing wedge,none,(1+revenue FX)/(1+ADR FX)-1 in all six quarterly columns and in FY2028E. Absent from the FY2026E and FY2027E columns by construction: those revenues are sums of quarters that already carry the wedge.,-,clean
Cash,rows 6-14 and copies,sign convention,none,"Interest expense, cash taxes and capex arrive negative; interest income, the change in unearned fees and the working-capital residual arrive signed; FCF is a straight sum; SBC-adjusted FCF = FCF - SBC; buybacks and RSU withholding reduce both net cash and the share count.",-,clean
(workbook),4 named ranges,named range targets,none,"Scenario -> Inputs!$B$4 (2), SharePrice -> Inputs!$F$8 (181.94), CostOfEquity -> Inputs!$F$11 (0.105), ExitMultiple -> Inputs!$F$14 (16.5). All four land on the Active cell of the row their name claims.",-,clean
Inputs,every row with a value,source coverage,none,0 of the rows that carry a value are missing a source string in column G; 0 History anchors carry a hard value without a source note.,-,clean
Recon,D5:D220,in-workbook reconciliation,none,All 216 delta cells read exactly 0 after the real Excel recalculation.,-,clean
Card_5Nov,B5:E24,pasted values,none,"Every model cell is a live formula off Revenue or Costs; the guide and Street columns are text or numbers with a named source, and the context block is external base rates with sources.",-,clean
