quarter,metric,value,unit,source_quote,source_file,source_verified,note
1Q21,urban_share_pct,41,pct of gross nights,up from 41% in Q1 2021,letters/1Q22_d711122dex991.htm,True,quoted in 1Q22 letter
2Q21,adj_ebitda_musd,217.0,USD millions,data/processed/abnb_driver_history_quarterly.csv:adj_ebitda_musd,data/processed/abnb_driver_history_quarterly.csv,True,
2Q21,adr_usd,161.45,USD,data/processed/abnb_driver_history_quarterly.csv:adr,data/processed/abnb_driver_history_quarterly.csv,True,
2Q21,basic_wa_shares_m,611.7,millions,data/processed/abnb_capital_return_quarterly.csv:basic_wa_shares_m,data/processed/abnb_capital_return_quarterly.csv,True,
2Q21,capex_musd,7.7,USD millions,data/processed/abnb_capital_return_quarterly.csv:capex_musd,data/processed/abnb_capital_return_quarterly.csv,True,
2Q21,cash_and_equivalents_musd,5672.7,USD millions,XBRL companyfacts (instant),data/raw/xbrl/ABNB_companyfacts.json,True,
2Q21,cfo_musd,789.7,USD millions,data/processed/abnb_capital_return_quarterly.csv:cfo_musd,data/processed/abnb_capital_return_quarterly.csv,True,
2Q21,cost_of_revenue_musd,294.4,USD millions,data/processed/abnb_quarterly_costlines.csv:cost_of_revenue_musd,data/processed/abnb_quarterly_costlines.csv,True,
2Q21,cross_border_share_pct,27,pct of gross nights,up from 27% in Q2,letters/3Q21_d245727dex991.htm,True,quoted in 3Q21 letter
2Q21,diluted_wa_shares_m,611.7,millions,data/processed/abnb_driver_history_quarterly.csv:diluted_wa_shares_m,data/processed/abnb_driver_history_quarterly.csv,True,
2Q21,diluted_wa_shares_m_xbrl,611.7,millions,XBRL companyfacts (quarterly; Q4 = FY less 9M),data/raw/xbrl/ABNB_companyfacts.json,True,
2Q21,fcf_musd,782.0,USD millions,data/processed/abnb_driver_history_quarterly.csv:fcf_musd,data/processed/abnb_driver_history_quarterly.csv,True,
2Q21,funds_held_for_clients_musd,6301.7,USD millions,XBRL companyfacts (instant),data/raw/xbrl/ABNB_companyfacts.json,True,
2Q21,g_and_a_musd,218.3,USD millions,data/processed/abnb_quarterly_costlines.csv:general_and_administrative_musd,data/processed/abnb_quarterly_costlines.csv,True,
2Q21,gbv_busd,13.4,USD billions,data/processed/abnb_driver_history_quarterly.csv:gbv_b,data/processed/abnb_driver_history_quarterly.csv,True,
2Q21,gbv_yoy_exfx_pct,301.0,pct,"GBV performance than Nights and Experiences Booked. In Q2 2021, GBV was $13.4 billion, representing a year-over-year inc",letters/2Q21_d212971dex991.htm,True,
2Q21,gbv_yoy_reported_pct,320.0,pct,"GBV performance than Nights and Experiences Booked. In Q2 2021, GBV was $13.4 billion, representing a year-over-year inc",letters/2Q21_d212971dex991.htm,True,
2Q21,guest_arrivals_cumulative_b,0.9,billions,more than 900 million guest arrivals,letters/2Q21_d212971dex991.htm,True,
2Q21,income_tax_musd,11.2,USD millions,XBRL companyfacts (quarterly; Q4 = FY less 9M),data/raw/xbrl/ABNB_companyfacts.json,True,
2Q21,long_term_debt_musd,1980.5,USD millions,XBRL companyfacts (instant),data/raw/xbrl/ABNB_companyfacts.json,True,
2Q21,net_income_musd,-68.2,USD millions,XBRL companyfacts (quarterly; Q4 = FY less 9M),data/raw/xbrl/ABNB_companyfacts.json,True,
2Q21,nights_m,83.1,millions,data/processed/abnb_driver_history_quarterly.csv:nights_m,data/processed/abnb_driver_history_quarterly.csv,True,
2Q21,operating_income_musd,-51.3,USD millions,data/processed/abnb_quarterly_costlines.csv:operating_income_musd,data/processed/abnb_quarterly_costlines.csv,True,
2Q21,ops_support_musd,208.1,USD millions,data/processed/abnb_quarterly_costlines.csv:operations_and_support_musd,data/processed/abnb_quarterly_costlines.csv,True,
2Q21,product_dev_musd,349.7,USD millions,data/processed/abnb_quarterly_costlines.csv:product_development_musd,data/processed/abnb_quarterly_costlines.csv,True,
2Q21,restricted_cash_musd,14.8,USD millions,XBRL companyfacts (instant),data/raw/xbrl/ABNB_companyfacts.json,True,
2Q21,restructuring_musd,0.6,USD millions,data/processed/abnb_quarterly_costlines.csv:restructuring_musd,data/processed/abnb_quarterly_costlines.csv,True,
2Q21,revenue_musd,1335.0,USD millions,data/processed/abnb_driver_history_quarterly.csv:revenue_musd,data/processed/abnb_driver_history_quarterly.csv,True,
2Q21,revenue_musd_xbrl,1335.2,USD millions,XBRL companyfacts (quarterly; Q4 = FY less 9M),data/raw/xbrl/ABNB_companyfacts.json,True,
2Q21,revenue_yoy_reported_pct,299.0,pct,abnb_driver_history_quarterly.csv:yoy_growth_reported,data/processed/abnb_driver_history_quarterly.csv,True,
2Q21,rsu_tax_withholding_musd,8.5,USD millions,data/processed/abnb_driver_history_quarterly.csv:rsu_tax_withholding_musd,data/processed/abnb_driver_history_quarterly.csv,True,
2Q21,sales_marketing_musd,315.3,USD millions,data/processed/abnb_quarterly_costlines.csv:sales_and_marketing_musd,data/processed/abnb_quarterly_costlines.csv,True,
2Q21,sbc_musd,232.9,USD millions,data/processed/abnb_driver_history_quarterly.csv:stock_based_comp_total_musd,data/processed/abnb_driver_history_quarterly.csv,True,
2Q21,short_term_investments_musd,1755.3,USD millions,XBRL companyfacts (instant),data/raw/xbrl/ABNB_companyfacts.json,True,
2Q21,unearned_fees_musd,1483.9,USD millions,XBRL companyfacts (instant),data/raw/xbrl/ABNB_companyfacts.json,True,
2Q21,urban_share_pct,40,pct of gross nights,High-density urban areas represented over 40% of our gross nights booked in Q2 2021,letters/2Q21_d212971dex991.htm,True,
3Q21,adj_ebitda_musd,1101.0,USD millions,data/processed/abnb_driver_history_quarterly.csv:adj_ebitda_musd,data/processed/abnb_driver_history_quarterly.csv,True,
3Q21,adr_usd,149.15,USD,data/processed/abnb_driver_history_quarterly.csv:adr,data/processed/abnb_driver_history_quarterly.csv,True,
3Q21,basic_wa_shares_m,621.0,millions,data/processed/abnb_capital_return_quarterly.csv:basic_wa_shares_m,data/processed/abnb_capital_return_quarterly.csv,True,
3Q21,capex_musd,5.5,USD millions,data/processed/abnb_capital_return_quarterly.csv:capex_musd,data/processed/abnb_capital_return_quarterly.csv,True,
3Q21,cash_and_equivalents_musd,5994.7,USD millions,XBRL companyfacts (instant),data/raw/xbrl/ABNB_companyfacts.json,True,
3Q21,cfo_musd,534.7,USD millions,data/processed/abnb_capital_return_quarterly.csv:cfo_musd,data/processed/abnb_capital_return_quarterly.csv,True,
3Q21,cost_of_revenue_musd,311.6,USD millions,data/processed/abnb_quarterly_costlines.csv:cost_of_revenue_musd,data/processed/abnb_quarterly_costlines.csv,True,
3Q21,cross_border_share_pct,33,pct of gross nights,Cross-border travel jumped to 33% of gross nights booked in Q3,letters/3Q21_d245727dex991.htm,True,
3Q21,diluted_wa_shares_m,681.9,millions,data/processed/abnb_driver_history_quarterly.csv:diluted_wa_shares_m,data/processed/abnb_driver_history_quarterly.csv,True,
3Q21,diluted_wa_shares_m_xbrl,681.9,millions,XBRL companyfacts (quarterly; Q4 = FY less 9M),data/raw/xbrl/ABNB_companyfacts.json,True,
3Q21,fcf_musd,529.2,USD millions,data/processed/abnb_driver_history_quarterly.csv:fcf_musd,data/processed/abnb_driver_history_quarterly.csv,True,
3Q21,funds_held_for_clients_musd,3940.5,USD millions,XBRL companyfacts (instant),data/raw/xbrl/ABNB_companyfacts.json,True,
3Q21,g_and_a_musd,210.7,USD millions,data/processed/abnb_quarterly_costlines.csv:general_and_administrative_musd,data/processed/abnb_quarterly_costlines.csv,True,
3Q21,gbv_busd,11.9,USD billions,data/processed/abnb_driver_history_quarterly.csv:gbv_b,data/processed/abnb_driver_history_quarterly.csv,True,
3Q21,gbv_yoy_exfx_pct,46.0,pct,"GBV performance than Nights and Experiences Booked. In Q3 2021, GBV was $11.9 billion, representing a year-over-year inc",letters/3Q21_d245727dex991.htm,True,
3Q21,gbv_yoy_reported_pct,48.0,pct,"GBV performance than Nights and Experiences Booked. In Q3 2021, GBV was $11.9 billion, representing a year-over-year inc",letters/3Q21_d245727dex991.htm,True,
3Q21,guest_arrivals_cumulative_b,1.0,billions,we reached a major milestone of 1 billion cumulative guest arrivals,letters/3Q21_d245727dex991.htm,True,
3Q21,income_tax_musd,16.6,USD millions,XBRL companyfacts (quarterly; Q4 = FY less 9M),data/raw/xbrl/ABNB_companyfacts.json,True,
3Q21,long_term_debt_musd,1981.5,USD millions,XBRL companyfacts (instant),data/raw/xbrl/ABNB_companyfacts.json,True,
3Q21,long_term_stays_share_pct,20,pct of gross nights,"Long-term stays accounted for 20% of gross nights booked in Q3 2021, up from 14% in Q3 2019",letters/3Q21_d245727dex991.htm,True,
3Q21,net_income_musd,833.9,USD millions,XBRL companyfacts (quarterly; Q4 = FY less 9M),data/raw/xbrl/ABNB_companyfacts.json,True,
3Q21,nights_m,79.7,millions,data/processed/abnb_driver_history_quarterly.csv:nights_m,data/processed/abnb_driver_history_quarterly.csv,True,
3Q21,operating_income_musd,852.0,USD millions,data/processed/abnb_quarterly_costlines.csv:operating_income_musd,data/processed/abnb_quarterly_costlines.csv,True,
3Q21,ops_support_musd,228.3,USD millions,data/processed/abnb_quarterly_costlines.csv:operations_and_support_musd,data/processed/abnb_quarterly_costlines.csv,True,
3Q21,product_dev_musd,344.4,USD millions,data/processed/abnb_quarterly_costlines.csv:product_development_musd,data/processed/abnb_quarterly_costlines.csv,True,
3Q21,restricted_cash_musd,14.8,USD millions,XBRL companyfacts (instant),data/raw/xbrl/ABNB_companyfacts.json,True,
3Q21,restructuring_musd,-0.5,USD millions,data/processed/abnb_quarterly_costlines.csv:restructuring_musd,data/processed/abnb_quarterly_costlines.csv,True,
3Q21,revenue_musd,2237.0,USD millions,data/processed/abnb_driver_history_quarterly.csv:revenue_musd,data/processed/abnb_driver_history_quarterly.csv,True,
3Q21,revenue_musd_xbrl,2237.4,USD millions,XBRL companyfacts (quarterly; Q4 = FY less 9M),data/raw/xbrl/ABNB_companyfacts.json,True,
3Q21,revenue_yoy_exfx_pct,64.0,pct,abnb_driver_history_quarterly.csv:yoy_growth_constant_currency,data/processed/abnb_driver_history_quarterly.csv,True,
3Q21,revenue_yoy_reported_pct,67.0,pct,abnb_driver_history_quarterly.csv:yoy_growth_reported,data/processed/abnb_driver_history_quarterly.csv,True,
3Q21,rsu_tax_withholding_musd,15.7,USD millions,data/processed/abnb_driver_history_quarterly.csv:rsu_tax_withholding_musd,data/processed/abnb_driver_history_quarterly.csv,True,
3Q21,sales_marketing_musd,290.9,USD millions,data/processed/abnb_quarterly_costlines.csv:sales_and_marketing_musd,data/processed/abnb_quarterly_costlines.csv,True,
3Q21,sbc_musd,210.8,USD millions,data/processed/abnb_driver_history_quarterly.csv:stock_based_comp_total_musd,data/processed/abnb_driver_history_quarterly.csv,True,
3Q21,short_term_investments_musd,1926.0,USD millions,XBRL companyfacts (instant),data/raw/xbrl/ABNB_companyfacts.json,True,
3Q21,unearned_fees_musd,892.4,USD millions,XBRL companyfacts (instant),data/raw/xbrl/ABNB_companyfacts.json,True,
3Q21,urban_share_pct,46,pct of gross nights,High-density urban areas represented 46% of our gross nights booked in Q3 2021,letters/3Q21_d245727dex991.htm,True,
4Q21,active_listings_m,6.0,millions (rounded as stated),6 million active listings at the end of 2021,letters/4Q21_d251410dex991.htm,True,
4Q21,adj_ebitda_musd,333.0,USD millions,data/processed/abnb_driver_history_quarterly.csv:adj_ebitda_musd,data/processed/abnb_driver_history_quarterly.csv,True,
4Q21,adr_usd,153.61,USD,data/processed/abnb_driver_history_quarterly.csv:adr,data/processed/abnb_driver_history_quarterly.csv,True,
4Q21,basic_wa_shares_m,630.3,millions,data/processed/abnb_capital_return_quarterly.csv:basic_wa_shares_m,data/processed/abnb_capital_return_quarterly.csv,True,
4Q21,buybacks_musd,0.0,USD millions,data/processed/abnb_driver_history_quarterly.csv:buybacks_musd,data/processed/abnb_driver_history_quarterly.csv,True,
4Q21,capex_musd,4.1,USD millions,data/processed/abnb_capital_return_quarterly.csv:capex_musd,data/processed/abnb_capital_return_quarterly.csv,True,
4Q21,capex_musd_xbrl,4.1,USD millions,XBRL companyfacts (quarterly; Q4 = FY less 9M),data/raw/xbrl/ABNB_companyfacts.json,True,
4Q21,cash_and_equivalents_musd,6067.0,USD millions,XBRL companyfacts (instant),data/raw/xbrl/ABNB_companyfacts.json,True,
4Q21,cfo_musd,382.2,USD millions,data/processed/abnb_capital_return_quarterly.csv:cfo_musd,data/processed/abnb_capital_return_quarterly.csv,True,
4Q21,cfo_musd_xbrl,382.2,USD millions,XBRL companyfacts (quarterly; Q4 = FY less 9M),data/raw/xbrl/ABNB_companyfacts.json,True,
4Q21,cost_of_revenue_musd,295.5,USD millions,data/processed/abnb_quarterly_costlines.csv:cost_of_revenue_musd,data/processed/abnb_quarterly_costlines.csv,True,
4Q21,cross_border_share_pct,35,pct of gross nights,recovering to nearly 35% of global gross nights booked in Q4 2021,letters/4Q21_d251410dex991.htm,True,
4Q21,diluted_wa_shares_m,569.4,millions,data/processed/abnb_driver_history_quarterly.csv:diluted_wa_shares_m,data/processed/abnb_driver_history_quarterly.csv,True,
4Q21,diluted_wa_shares_m_xbrl,4.7,millions,XBRL companyfacts (quarterly; Q4 = FY less 9M),data/raw/xbrl/ABNB_companyfacts.json,True,
4Q21,fcf_musd,378.1,USD millions,data/processed/abnb_driver_history_quarterly.csv:fcf_musd,data/processed/abnb_driver_history_quarterly.csv,True,
4Q21,fully_diluted_shares_letter_m,703,millions,from 703 million at the end of 2021 to 694 million at the end of 2022,letters/4Q22_d451233dex991.htm,True,quoted in 4Q22 letter
4Q21,funds_held_for_clients_musd,3715.0,USD millions,XBRL companyfacts (instant),data/raw/xbrl/ABNB_companyfacts.json,True,
4Q21,g_and_a_musd,217.2,USD millions,data/processed/abnb_quarterly_costlines.csv:general_and_administrative_musd,data/processed/abnb_quarterly_costlines.csv,True,
4Q21,gbv_busd,11.3,USD billions,data/processed/abnb_driver_history_quarterly.csv:gbv_b,data/processed/abnb_driver_history_quarterly.csv,True,
4Q21,gbv_yoy_exfx_pct,93.0,pct,"GBV performance than Nights and Experiences Booked. In Q4 2021, GBV was $11.3 billion, representing a year-over-year inc",letters/4Q21_d251410dex991.htm,True,
4Q21,gbv_yoy_reported_pct,91.0,pct,"GBV performance than Nights and Experiences Booked. In Q4 2021, GBV was $11.3 billion, representing a year-over-year inc",letters/4Q21_d251410dex991.htm,True,
4Q21,income_tax_musd,17.9,USD millions,XBRL companyfacts (quarterly; Q4 = FY less 9M),data/raw/xbrl/ABNB_companyfacts.json,True,
4Q21,long_term_debt_musd,1983.0,USD millions,XBRL companyfacts (instant),data/raw/xbrl/ABNB_companyfacts.json,True,
4Q21,long_term_stays_share_pct,22,pct of gross nights,"Long-term stays accounted for 22% of gross nights booked in Q4 2021, up from 16% in Q4 2019",letters/4Q21_d251410dex991.htm,True,
4Q21,marketing_commentary,sales and marketing expense as a percent of revenue is expected to remain relati,text,sales and marketing expense as a percent of revenue is expected to remain relatively flat,letters/4Q21_d251410dex991.htm,True,
4Q21,net_income_musd,54.5,USD millions,XBRL companyfacts (quarterly; Q4 = FY less 9M),data/raw/xbrl/ABNB_companyfacts.json,True,
4Q21,nights_m,73.4,millions,data/processed/abnb_driver_history_quarterly.csv:nights_m,data/processed/abnb_driver_history_quarterly.csv,True,
4Q21,operating_income_musd,75.2,USD millions,data/processed/abnb_quarterly_costlines.csv:operating_income_musd,data/processed/abnb_quarterly_costlines.csv,True,
4Q21,ops_support_musd,225.1,USD millions,data/processed/abnb_quarterly_costlines.csv:operations_and_support_musd,data/processed/abnb_quarterly_costlines.csv,True,
4Q21,product_dev_musd,367.8,USD millions,data/processed/abnb_quarterly_costlines.csv:product_development_musd,data/processed/abnb_quarterly_costlines.csv,True,
4Q21,restricted_cash_musd,15.0,USD millions,XBRL companyfacts (instant),data/raw/xbrl/ABNB_companyfacts.json,True,
4Q21,restructuring_musd,0.9,USD millions,data/processed/abnb_quarterly_costlines.csv:restructuring_musd,data/processed/abnb_quarterly_costlines.csv,True,
4Q21,revenue_musd,1532.0,USD millions,data/processed/abnb_driver_history_quarterly.csv:revenue_musd,data/processed/abnb_driver_history_quarterly.csv,True,
