statement_id,date,print,speaker,source,structural_role,quote,quote_verified,cost_line,verdict,source_file,locator
S055,2023-08-03,2Q23,Brian Chesky,call-QA,"margin expansion will come from new services, not cost",the way that we're going to see margin expansion is by launching incremental services for guests and hosts over the coming years,yes,take_rate,open,data/raw/regulatory/transcripts/2023-Q2.pdf,turn 7 [qa|mgmt|Brian Chesky]
S057,2023-08-03,2Q23,Brian Chesky,call-QA,marketing % of revenue as a structural constant (falsified),we'll have pretty consistent marketing spend as a percent of revenue over time because of the strength of the brand,yes,brand_marketing,missed,data/raw/regulatory/transcripts/2023-Q2.pdf,turn 13 [qa|mgmt|Brian Chesky]
S060,2023-08-03,2Q23,Dave Stephenson,call-QA,no successor long-term margin target,I don't have a new long-term target.,yes,total_margin,kept,data/raw/regulatory/transcripts/2023-Q2.pdf,turn 49 [qa|mgmt|David E. Stephenson]
S069,2024-02-13,4Q23,Ellie Mertz,call-QA,the FY guide is a floor by construction,"we are basically giving ourselves a floor in terms of the full-year EBITDA margin guidance. As we said, we will hold by a minimum of 35%, which is slightly down from what we delivered in 2023.",yes,total_margin,kept,data/raw/regulatory/transcripts/2023-Q4.pdf,turn 23 [qa|mgmt|Ellie Mertz]
S076,2024-02-13,4Q23,Dave Stephenson,call-QA,long-run expansion from services and experiences,"over a longer period of time, I think our margin expansion will absolutely come from hosting guest services and experiences, but during the short term, there's no real change on a time-adjusted basis towards fees.",yes,take_rate,open,data/raw/regulatory/transcripts/2023-Q4.pdf,turn 61 [qa|mgmt|David E. Stephenson]
S173,2024-05-30,BERN24,Ellie Mertz,conference-sa,"part of past margin expansion was ADR, not cost work",The fact that a portion of that margin expansion comes from higher ADR should also give you confidence that there are incremental efficiencies for us to drive in the core business that we have not yet delivered.,yes,total_margin,kept,data/raw/transcripts/web/BERN24.html,"turn 69 [Ellie Mertz|CFO, Airbnb]"
S097,2024-11-07,3Q24,Ellie Mertz,call-QA,"THE ALGORITHM: find efficiencies every year, reinvest part","the way we do that is to find incremental efficiencies every year across, in particular, variable costs and invest some of that into greater service levels on both sides of the marketplace.",yes,total_margin,kept,data/raw/regulatory/transcripts/2024-Q3.pdf,turn 13 [qa|mgmt|Ellie Mertz]
S108,2025-02-13,4Q24,Ellie Mertz,call-QA,brand marketing is a fixed cost per market,"the way to think about brand marketing is that, it is effectively a fixed amount of spend for each market in terms of the minimum amount that you need to spend for that market to be efficient.",yes,brand_marketing,kept,data/raw/regulatory/transcripts/2024-Q4.pdf,turn 40 [qa|mgmt|Ellie Mertz]
S119,2025-05-01,1Q25,Ellie Mertz,call-QA,in a given year spend may exceed efficiency,"every year what we're seeking to do is strengthen and make more efficient that core business, so that we have incremental room to invest in growth. From year to year, we may choose to invest more in growth relative to the efficiencies that we generate.",yes,total_margin,kept,data/raw/regulatory/transcripts/2025-Q1.pdf,turn 34 [qa|mgmt|Ellie Mertz]
S121,2025-05-01,1Q25,Ellie Mertz,call-QA,core business unit economics are ADR-insensitive,"independent of a pretty wide range of ADRs, we're able to deliver very attractive unit economics across the globe",yes,other,kept,data/raw/regulatory/transcripts/2025-Q1.pdf,turn 46 [qa|mgmt|Ellie Mertz]
S125,2025-08-06,2Q25,Ellie Mertz,call-QA,"the S&M line now contains field ops, not just advertising","the increase in sales and marketing that you see associated with services and experiences is focused in particular on our field operations, our go-to-market activities and supply acquisition.",yes,field_ops,kept,data/raw/regulatory/transcripts/2025-Q2.pdf,turn 14 [qa|mgmt|Ellie Mertz]
S138,2026-02-12,4Q25,Ellie Mertz,call-prepared,FY26: reinvest most of the efficiencies,"across the full P&L, we're continuing to drive efficiencies in our platform. We plan to reinvest most of these efficiencies into marketing, product and technology to support our growth. As a result, we expect our 2026 adjusted EBITDA margin to be stable year-over-year.",yes,total_margin,partly,data/raw/regulatory/transcripts/2025-Q4.pdf,turn 3 [prepared|mgmt|Ellie Mertz]
S140,2026-02-12,4Q25,Brian Chesky,call-QA,AI will not affect the P&L (reversed in 2Q26),we're not building models. We do not have a huge CapEx cost base. So our investment in AI will not affect the P&L. I don't think you'll see it in the P&L.,yes,cost_of_revenue,missed,data/raw/regulatory/transcripts/2025-Q4.pdf,turn 17 [qa|mgmt|Brian Chesky]
S146,2026-02-12,4Q25,Ellie Mertz,call-QA,cost of revenue and ops&support scale linearly with revenue,"the top of our P&L in terms of cost of revenue and ops and support will scale somewhat linearly. We'll have some efficiencies there, but they will scale somewhat linearly with, obviously, the growth in revenue.",yes,cost_of_revenue,open,data/raw/regulatory/transcripts/2025-Q4.pdf,turn 27 [qa|mgmt|Ellie Mertz]
S164,2026-08-06,2Q26,Ellie Mertz,call-QA,the RELATIVE FLOOR: margin will not be spent below the band,"given the track record and the somewhat steady EBITDA margins that we have delivered, I think you can see there's a relative floor in our ability to continue to invest against that.",yes,total_margin,kept,data/raw/transcripts/ir/2Q26.pdf,turn 22 [qa|mgmt|Ellie Mertz]
