month,cpi_lodging_index,cpi_lodging_yoy_pct,bea_hotels_price_index,bea_hotels_price_yoy_pct,str_us_hotel_adr_annual_usd,str_us_hotel_revpar_annual_usd,str_us_hotel_occ_annual_pct,str_confidence,str_source,str_us_hotel_adr_usd,str_us_hotel_revpar_usd,str_us_hotel_occ_pct,str_us_hotel_adr_yoy_reported_pct,str_us_hotel_revpar_yoy_reported_pct,airdna_us_str_adr_usd,airdna_us_str_adr_yoy_pct,airdna_us_str_revpar_usd,airdna_us_str_occ_pct,airdna_us_str_demand_yoy_pct,airdna_us_str_supply_yoy_pct,airdna_source,abnb_1br_usd,abnb_1br_yoy_pct,hotel_adr_usd,hotel_adr_yoy_pct,source
2023-11,185.82,0.63,116.138,0.25,,,,,,,,,,,,,,,,,,,,,,
2023-12,185.814,-0.08,116.884,-0.55,155.62,97.97,63.0,medium-high,CoStar Data Insights 30-Jan-2024 / Hotel Investment Today 18-Jan-2024 (full-year 2023),,,,,,,,,,,,,114.0,-2.0,149.0,7.0,"ABNB 4Q23 shareholder letter, footnote 3 (CoStar, Airbnb)"
2024-01,187.565,0.73,119.281,0.65,,,,,,,,,,,,,,,,,,,,,,
2024-02,188.326,-0.59,119.694,-0.83,,,,,,,,,,,,,,,,,,,,,,
2024-03,190.545,-1.89,120.975,-2.46,,,,,,,,,,,,,,,,,,114.0,-2.0,140.16,1.6,Skift 22-May-2024 'Are Airbnbs Cheaper Than Hotels?' citing Airbnb and CoStar
2024-04,189.24,-0.21,119.029,-0.55,,,,,,,,,,,,,,,,,,,,,,
2024-05,188.025,-1.16,118.132,-1.7,,,,,,,,,,,,,,,,,,,,,,
2024-06,187.167,-2.13,116.203,-2.88,,,,,,,,,,,,,,,,,,,,,,
2024-07,187.093,-1.97,116.136,-2.7,,,,,,,,,,,,,,,,,,,,,,
2024-08,189.024,1.94,117.824,1.86,,,,,,,,,,,,,,,,,,,,,,
2024-09,186.037,-2.7,116.294,-3.47,,,,,,,,,,,,,,,,,,,,,,
2024-10,187.546,-0.21,116.753,-0.6,,,,,,,,,,,,,,,,,,,,,,
2024-11,192.16,3.41,120.337,3.62,,,,,,,,,,,,,,,,,,,,,,
2024-12,189.951,2.23,119.528,2.26,,,,,,,,,,,310.84,3.1,151.26,48.7,3.0,4.7,AirDNA U.S. Review December 2024,,,,,
2025-01,191.639,2.17,121.535,1.89,,,,,,,,,,,,,,,,,,,,,,
2025-02,191.868,1.88,121.733,1.7,,,,,,,,,,,,,,,,,,,,,,
2025-03,185.628,-2.58,116.453,-3.74,,,,,,,,,,,,,,,,,,,,,,
2025-04,186.657,-1.36,116.231,-2.35,,,,,,,,,,,,,,,,,,,,,,
2025-05,186.38,-0.87,116.076,-1.74,,,,,,,,,,,,,,,,,,,,,,
2025-06,182.607,-2.44,111.945,-3.66,,,,,,,,,,,,,,,,,,,,,,
2025-07,180.824,-3.35,110.51,-4.84,,,,,,,,,,,,,,,,,,,,,,
2025-08,184.457,-2.42,113.422,-3.74,,,,,,,,,,,,,,,,,,,,,,
2025-09,186.039,0.0,115.333,-0.83,,,,,,,,,,,,,,,,,,,,,,
2025-10,,,114.574,-1.87,,,,,,,,,,,,,,,,,,,,,,
2025-11,184.18,-4.15,113.82,-5.42,,,,,,,,,,,,,,,,,,,,,,
2025-12,188.203,-0.92,116.814,-2.27,160.54,100.02,62.3,high,"Business Travel News 20-Jan-2026 citing CoStar (full-year 2025; occ -1.2pp, ADR +0.9%, RevPAR -0.3%)",,,,,,,,,,,,,,,,,
2025-12,188.203,-0.92,116.814,-2.27,,,,,,,,,,,248.57,3.3,126.97,51.0,1.9,3.4,AirDNA U.S. Review December 2025,,,,,
2026-01,188.018,-1.89,116.288,-4.32,,,,,,,,,,,,,,,,,,,,,,
2026-02,189.826,-1.06,117.554,-3.43,,,,,,,,,,,,,,,,,,,,,,
2026-03,190.287,2.51,117.827,1.18,,,,medium-high,"Business Travel News, Apr-2026, 'CoStar: March U.S. Hotel Rate, Occupancy Rise'",168.06,108.99,64.9,3.8,5.9,,,,,,,,,,,,
2026-04,194.934,4.43,121.184,4.26,,,,,,,,,,,,,,,,,,,,,,
2026-05,195.749,5.03,121.736,4.88,,,,,,,,,,,,,,,,,,,,,,
2026-06,191.201,4.71,118.372,5.74,,,,,,,,,,,310.64,4.6,200.19,64.4,1.9,1.7,AirDNA U.S. Review June 2026,,,,,
2026-07,185.934,2.83,114.434,3.55,,,,high (fetched 6-Sep-2026),"Business Travel News 26-Aug-2026, 'CoStar: U.S. Hotels Grow Occupancy, Rate in July'",171.74,119.77,69.7,5.7,8.2,,,,,,,,,,,,
2026-07,185.934,2.83,114.434,3.55,,,,,,,,,,,317.55,6.9,217.17,68.4,2.0,2.6,AirDNA U.S. Review July 2026,,,,,
