source_id,print_quarter,publisher,url,published,metric,vendor,value,unit,quote
S013,2021Q2,CNBC,https://www.cnbc.com/2021/08/12/airbnb-abnb-earnings-q2-2021.html,2021-08-12,gbv,FactSet,11.56,busd,"Gross booking value ... totaled $13.4 billion, up 320% year over year and above the $11.56 billion FactSet consensus."
S014,2021Q2,CNBC,https://www.cnbc.com/2021/08/12/airbnb-abnb-earnings-q2-2021.html,2021-08-12,positioning,,,,Airbnb's stock on Thursday fell more than 4% after the company reported its second-quarter earnings.
S015,2021Q3,CNBC,https://www.cnbc.com/2021/11/04/airbnb-abnbearnings-q3-2021.html,2021-11-04,revenue,Refinitiv,2050.0,musd,Revenue: $2.24 billion vs. $2.05 billion estimated by Refinitiv
S016,2021Q3,CNBC,https://www.cnbc.com/2021/11/04/airbnb-abnbearnings-q3-2021.html,2021-11-04,eps,Refinitiv,,usd,"Earnings per share: $1.22, which is not comparable to estimates"
S017,2021Q3,CNBC,https://www.cnbc.com/2021/11/04/airbnb-abnbearnings-q3-2021.html,2021-11-04,nights,StreetAccount,80.8,m,"Analysts had estimated 80.8 million nights and experiences for the quarter, according to StreetAccount."
S018,2021Q3,CNBC,https://www.cnbc.com/2021/11/04/airbnb-abnbearnings-q3-2021.html,2021-11-04,gbv,StreetAccount,12.31,busd,Gross booking value ... totaled $11.89 billion ... fell slightly below a StreetAccount forecast of $12.31 billion.
S019,2021Q3,CNBC,https://www.cnbc.com/2021/11/04/airbnb-abnbearnings-q3-2021.html,2021-11-04,next_q_revenue,unquoted,,musd,"Airbnb expects revenue between $1.39 billion and $1.48 billion in the fourth quarter, in line with analyst expectations."
S020,2021Q3,Reuters via Nasdaq,https://www.nasdaq.com/articles/airbnb-forecasts-fourth-quarter-revenue-below-estimates-on-demand-slowdown-fears-2021-11-04,2021-11-04,next_q_revenue_sign,Refinitiv,-1.0,sign,Headline: 'Airbnb forecasts fourth-quarter revenue below estimates on demand slowdown fears' (article body not retrievable; direction taken from headline only).
S021,2021Q3,CNBC,https://www.cnbc.com/2021/11/04/airbnb-abnbearnings-q3-2021.html,2021-11-04,positioning,,,,Shares briefly rose more than 3% in after-hours trading before paring gains.
S022,2021Q4,CNBC,https://www.cnbc.com/2022/02/15/airbnb-abnb-earnings-q4-2021.html,2022-02-15,revenue,Refinitiv,1460.0,musd,Revenue: $1.53 billion vs. $1.46 billion expected by Refinitiv
S023,2021Q4,CNBC,https://www.cnbc.com/2022/02/15/airbnb-abnb-earnings-q4-2021.html,2022-02-15,eps,Refinitiv,0.03,usd,Earnings per share: 8 cents vs. 3 cents expected in a Refinitiv survey of analysts
S024,2021Q4,CNBC,https://www.cnbc.com/2022/02/15/airbnb-abnb-earnings-q4-2021.html,2022-02-15,nights,StreetAccount,74.96,m,"Analysts were expecting 74.96 million nights and experiences for the quarter, according to StreetAccount."
S025,2021Q4,CNBC,https://www.cnbc.com/2022/02/15/airbnb-abnb-earnings-q4-2021.html,2022-02-15,gbv,StreetAccount,11.08,busd,"Gross booking value ... totaled $11.3 billion in the fourth quarter, slightly over Wall Street estimates of $11.08 billion, according to StreetAccount."
S026,2021Q4,CNBC,https://www.cnbc.com/2022/02/15/airbnb-abnb-earnings-q4-2021.html,2022-02-15,next_q_revenue,unattributed,1240.0,musd,"It estimates revenue to fall between $1.41 billion and $1.48 billion in the first quarter of 2022, topping analyst estimates of $1.24 billion."
S027,2021Q4,CNBC,https://www.cnbc.com/2022/02/15/airbnb-abnb-earnings-q4-2021.html,2022-02-15,positioning,,,,The company's stock was up around 4% in after hours trading.
S028,2022Q1,CNBC,https://www.cnbc.com/2022/05/03/airbnb-abnb-earnings-q1-2022.html,2022-05-03,revenue,Refinitiv,1450.0,musd,"Revenue: $1.51 billion vs $1.45 billion expected, according to Refinitiv."
S029,2022Q1,CNBC,https://www.cnbc.com/2022/05/03/airbnb-abnb-earnings-q1-2022.html,2022-05-03,eps,Refinitiv,-0.29,usd,"Loss per share: 3 cents vs 29 cents expected by analysts, according to Refinitiv."
S030,2022Q1,Zacks via Nasdaq,https://www.nasdaq.com/articles/airbnb-inc.-abnb-reports-q1-loss-tops-revenue-estimates,2022-05-03,eps,Zacks,-0.28,usd,came out with a quarterly loss of $0.03 per share versus the Zacks Consensus Estimate of a loss of $0.28
S031,2022Q1,Zacks via Nasdaq,https://www.nasdaq.com/articles/airbnb-inc.-abnb-reports-q1-loss-tops-revenue-estimates,2022-05-03,revenue,Zacks,1452.6,musd,"posted revenues of $1.51 billion for the quarter ended March 2022, surpassing the Zacks Consensus Estimate by 3.88% (implies $1,452.6m)"
S032,2022Q1,CNBC,https://www.cnbc.com/2022/05/03/airbnb-abnb-earnings-q1-2022.html,2022-05-03,nights,StreetAccount,100.87,m,"Analysts expected the number to come in at 100.87 million, according to StreetAccount."
S033,2022Q1,CNBC,https://www.cnbc.com/2022/05/03/airbnb-abnb-earnings-q1-2022.html,2022-05-03,gbv,StreetAccount,16.54,busd,"Gross booking value ... totaled $17.2 billion in the first quarter, exceeding Wall Street's estimate of $16.54 billion, per StreetAccount."
S034,2022Q1,CNBC,https://www.cnbc.com/2022/05/03/airbnb-abnb-earnings-q1-2022.html,2022-05-03,next_q_revenue,unattributed,1960.0,musd,"Airbnb said revenue will be between $2.03 billion and $2.13 billion, topping analysts' average estimate of $1.96 billion."
S035,2022Q1,Zacks via Nasdaq,https://www.nasdaq.com/articles/airbnb-inc.-abnb-reports-q1-loss-tops-revenue-estimates,2022-05-03,next_q_revenue,Zacks,1980.0,musd,"The current consensus EPS estimate is $0.31 on $1.98 billion in revenues for the coming quarter (measured immediately after the print, i.e. post-guide)."
S036,2022Q1,CNBC,https://www.cnbc.com/2022/05/03/airbnb-abnb-earnings-q1-2022.html,2022-05-03,positioning,,,,The shares rose more than 6% in after-hours trading.
S037,2022Q2,CNBC,https://www.cnbc.com/2022/08/02/airbnb-abnb-earnings-q2-2022.html,2022-08-02,revenue,Refinitiv,2110.0,musd,"Revenue: $2.10 billion vs. $2.11 billion expected by analysts, according to Refinitiv."
S038,2022Q2,CNBC,https://www.cnbc.com/2022/08/02/airbnb-abnb-earnings-q2-2022.html,2022-08-02,eps,Refinitiv,0.43,usd,"Earnings per share: $0.56 vs. $0.43 expected by analysts, according to Refinitiv."
S039,2022Q2,CNBC,https://www.cnbc.com/2022/08/02/airbnb-abnb-earnings-q2-2022.html,2022-08-02,nights,StreetAccount,106.4,m,reported more than 103 million nights and experiences booked ... fell short StreetAccount estimates of 106.4 million
S040,2022Q2,CNBC,https://www.cnbc.com/2022/08/02/airbnb-abnb-earnings-q2-2022.html,2022-08-02,next_q_revenue,StreetAccount,2770.0,musd,"It guided third quarter revenue to land between $2.78 billion and $2.88 billion, ahead of StreetAccount's $2.77 billion estimate."
S041,2022Q2,CNBC,https://www.cnbc.com/2022/08/02/airbnb-abnb-earnings-q2-2022.html,2022-08-02,positioning,,,,"Shares were down about 9% after hours, despite what appeared to be a strong report, suggesting Wall Street was looking for faster growth and a revenue beat."
S042,2022Q3,CNBC,https://www.cnbc.com/2022/11/02/shares-of-airbnb-tumble-9percent-on-low-fourth-quarter-guidance.html,2022-11-02,revenue,Refinitiv,2800.0,musd,"The company posted revenue of $2.9 billion ... and topped analysts' estimates of $2.8 billion, according to Refinitiv."
S043,2022Q3,Zacks via Nasdaq,https://www.nasdaq.com/articles/airbnb-abnb-q3-earnings-beat-mark-revenues-increase-y-y,2022-11-02,revenue,Zacks,2852.6,musd,"Revenues of $2.9 billion ... surpassed the Zacks Consensus Estimate by 1.1% (implies $2,852.6m)"
S044,2022Q3,Zacks via Nasdaq,https://www.nasdaq.com/articles/airbnb-abnb-q3-earnings-beat-mark-revenues-increase-y-y,2022-11-02,eps,Zacks,1.4229,usd,"reported earnings of $1.79 per share for third-quarter 2022, which beat the Zacks Consensus Estimate by 25.8% (implies $1.4229)"
S045,2022Q3,CNBC,https://www.cnbc.com/2022/11/02/shares-of-airbnb-tumble-9percent-on-low-fourth-quarter-guidance.html,2022-11-02,next_q_revenue,Refinitiv,1850.0,musd,"Airbnb provided fourth-quarter revenue guidance of $1.80 billion and $1.88 billion, below the midpoint of $1.85 billion as expected by analysts, according to Refinitiv."
S046,2022Q3,Zacks via Nasdaq,https://www.nasdaq.com/articles/airbnb-abnb-q3-earnings-beat-mark-revenues-increase-y-y,2022-11-02,next_q_revenue,Zacks,1900.0,musd,For fourth-quarter 2022 ... The Zacks Consensus Estimate for revenues is pegged at $1.90 billion.
S047,2022Q3,CNBC,https://www.cnbc.com/2022/11/02/shares-of-airbnb-tumble-9percent-on-low-fourth-quarter-guidance.html,2022-11-02,positioning,,,,"Shares of Airbnb fell more than 13% Wednesday, a day after the company released third-quarter earnings that beat Wall Street's estimates but fell short on fourth-quarter guidance. Evercore ISI called the strong-dollar ADR comment the 'key negative'."
S048,2022Q4,CNBC,https://www.cnbc.com/2023/02/14/airbnb-abnb-earnings-q4-2022-.html,2023-02-14,revenue,Refinitiv,1860.0,musd,"Revenue: $1.90 billion vs. $1.86 billion expected by analysts, according to Refinitiv."
S049,2022Q4,CNBC,https://www.cnbc.com/2023/02/14/airbnb-abnb-earnings-q4-2022-.html,2023-02-14,eps,Refinitiv,0.25,usd,"EPS: 48 cents vs. 25 cents expected by analysts, according to Refinitiv."
S050,2022Q4,CNBC,https://www.cnbc.com/2023/02/14/airbnb-abnb-earnings-q4-2022-.html,2023-02-14,adj_ebitda,StreetAccount,432.0,musd,"adjusted earnings before interest, taxes, depreciation, and amortization of $506 million, surpassing the $432 million expected by analysts, according to StreetAccount."
S051,2022Q4,CNBC,https://www.cnbc.com/2023/02/14/airbnb-abnb-earnings-q4-2022-.html,2023-02-14,nights,StreetAccount,89.7,m,"reported 88.2 million nights and experiences booked in the fourth quarter, up 20% year over year, but below the 89.7 million expected by analysts, according to StreetAccount."
S052,2022Q4,CNBC,https://www.cnbc.com/2023/02/14/airbnb-abnb-earnings-q4-2022-.html,2023-02-14,next_q_revenue,Refinitiv,1690.0,musd,"revenue in the first quarter will be between $1.75 billion and $1.82 billion, above the $1.69 billion expected by analysts polled by Refinitiv."
S053,2022Q4,CNBC,https://www.cnbc.com/2023/02/14/airbnb-abnb-earnings-q4-2022-.html,2023-02-14,positioning,,,,Shares of Airbnb rose about 9% in extended trading Tuesday.
S054,2023Q1,CNBC,https://www.cnbc.com/2023/05/09/airbnb-abnb-q1-earnings-report-2023.html,2023-05-09,revenue,Refinitiv,1790.0,musd,Revenue: $1.82 billion vs. $1.79 billion expected
S055,2023Q1,CNBC,https://www.cnbc.com/2023/05/09/airbnb-abnb-q1-earnings-report-2023.html,2023-05-09,eps,Refinitiv,0.09,usd,EPS: 18 cents vs. 9 cents expected
S056,2023Q1,CNBC,https://www.cnbc.com/2023/05/09/airbnb-abnb-q1-earnings-report-2023.html,2023-05-09,nights,StreetAccount,,m,"121.1 million nights and experiences booked in the first quarter, up 19% year over year, in line with estimates by analysts, according to StreetAccount. (no number quoted)"
S057,2023Q1,CNBC,https://www.cnbc.com/2023/05/09/airbnb-abnb-q1-earnings-report-2023.html,2023-05-09,next_q_revenue,Refinitiv,2420.0,musd,forecast second-quarter revenue between $2.35 billion and $2.45 billion. Analysts polled by Refinitiv expected $2.42 billion.
S058,2023Q1,CNBC,https://www.cnbc.com/2023/05/09/airbnb-abnb-q1-earnings-report-2023.html,2023-05-09,positioning,,,,Shares of Airbnb fell as much as 10% in extended trading Tuesday despite first-quarter earnings that beat analyst estimates on the top and bottom lines.
S059,2023Q2,CNBC,https://www.cnbc.com/2023/08/03/airbnb-abnb-q2-earnings-report-2023.html,2023-08-03,revenue,Refinitiv,2420.0,musd,"Revenue: $2.48 billion, vs. $2.42 billion as expected by analysts, according to Refinitiv"
S060,2023Q2,CNBC,https://www.cnbc.com/2023/08/03/airbnb-abnb-q2-earnings-report-2023.html,2023-08-03,eps,Refinitiv,0.78,usd,"Earnings: 98 cents per share, vs. 78 cents per share as expected by analysts, according to Refinitiv"
S061,2023Q2,CNBC,https://www.cnbc.com/2023/08/03/airbnb-abnb-q2-earnings-report-2023.html,2023-08-03,nights,StreetAccount,117.6,m,"115.1 million nights and experiences booked during the quarter, up almost 11%, but less than the 117.6 million StreetAccount consensus."
S062,2023Q2,CNBC,https://www.cnbc.com/2023/08/03/airbnb-abnb-q2-earnings-report-2023.html,2023-08-03,gbv,StreetAccount,18.99,busd,$19.1 billion in gross booking value for the quarter ... above the $18.99 billion consensus among analysts surveyed by StreetAccount.
S063,2023Q2,CNBC,https://www.cnbc.com/2023/08/03/airbnb-abnb-q2-earnings-report-2023.html,2023-08-03,next_q_revenue,Refinitiv,3220.0,musd,Airbnb called for $3.3 billion to $3.4 billion in third-quarter revenue ... Analysts polled by Refinitiv had been looking for $3.22 billion.
S064,2023Q2,CNBC,https://www.cnbc.com/2023/08/03/airbnb-abnb-q2-earnings-report-2023.html,2023-08-03,positioning,,,,"Airbnb shares slid as much as 6% in extended trading Thursday ... Notwithstanding the after-hours move, Airbnb shares have risen about 64% so far this year."
S065,2023Q3,CNBC,https://www.cnbc.com/2023/11/01/airbnb-abnb-q3-earnings-report.html,2023-11-01,revenue,LSEG,3370.0,musd,"Revenue: $3.40 billion, vs. $3.37 billion expected"
S066,2023Q3,CNBC,https://www.cnbc.com/2023/11/01/airbnb-abnb-q3-earnings-report.html,2023-11-01,eps,LSEG,2.1,usd,"Earnings: $6.63 per share. That may not be comparable to the $2.10 expected by analysts, according to LSEG"
S067,2023Q3,CNBC,https://www.cnbc.com/2023/11/01/airbnb-abnb-q3-earnings-report.html,2023-11-01,nights,StreetAccount,112.9,m,Total nights and experiences bookings came in at 113.2 million for the quarter ... beating a StreetAccount consensus estimate of 112.9 million.
S068,2023Q3,CNBC,https://www.cnbc.com/2023/11/01/airbnb-abnb-q3-earnings-report.html,2023-11-01,next_q_revenue,LSEG,2180.0,musd,The company guided to $2.13 billion to $2.17 billion in fourth-quarter revenue ... That was less than the $2.18 billion that analysts polled by LSEG had been expecting.
S069,2023Q3,CNBC,https://www.cnbc.com/2023/11/01/airbnb-abnb-q3-earnings-report.html,2023-11-01,positioning,,,,Airbnb shares slipped about 3% in after-hours trading Wednesday.
S070,2023Q4,CNBC,https://www.cnbc.com/2024/02/13/airbnb-abnb-q4-earnings-2023.html,2024-02-13,revenue,LSEG,2170.0,musd,"Revenue: $2.22 billion vs. $2.17 billion expected by analysts, according to LSEG"
S071,2023Q4,CNBC,https://www.cnbc.com/2024/02/13/airbnb-abnb-q4-earnings-2023.html,2024-02-13,eps,LSEG,0.62,usd,"Loss per share: 55 cents. It's not immediately clear if that's comparable to the profit estimate of 62 cents, according to LSEG"
S072,2023Q4,CNBC,https://www.cnbc.com/2024/02/13/airbnb-abnb-q4-earnings-2023.html,2024-02-13,adj_ebitda,StreetAccount,645.0,musd,"Airbnb posted adjusted earnings of $738 million in the fourth quarter. Analysts were expecting $645 million, according to StreetAccount."
S073,2023Q4,CNBC,https://www.cnbc.com/2024/02/13/airbnb-abnb-q4-earnings-2023.html,2024-02-13,nights,StreetAccount,98.0,m,"reported 98.8 million nights and experiences booked, up 12% from a year ago, and above the 98 million expected by analysts, according to StreetAccount."
S074,2023Q4,CNBC,https://www.cnbc.com/2024/02/13/airbnb-abnb-q4-earnings-2023.html,2024-02-13,next_q_revenue,LSEG,2030.0,musd,"Airbnb said revenue in the first quarter will be between $2.03 billion and $2.07 billion, while Wall Street was expecting $2.03 billion, according to LSEG."
S075,2023Q4,CNBC,https://www.cnbc.com/2024/02/13/airbnb-abnb-q4-earnings-2023.html,2024-02-13,positioning,,,,The stock fell more than 4% in extended trading.
S076,2024Q1,CNBC,https://www.cnbc.com/2024/05/08/airbnb-beats-earnings-expectations-for-first-quarter-but-offers-weaker-than-expected-guidance.html,2024-05-08,revenue,LSEG,2060.0,musd,Revenue: $2.14 billion vs. $2.06 billion expected
S077,2024Q1,CNBC,https://www.cnbc.com/2024/05/08/airbnb-beats-earnings-expectations-for-first-quarter-but-offers-weaker-than-expected-guidance.html,2024-05-08,eps,LSEG,0.24,usd,Earnings per share: 41 cents vs. 24 cents expected
S078,2024Q1,CNBC,https://www.cnbc.com/2024/05/08/airbnb-beats-earnings-expectations-for-first-quarter-but-offers-weaker-than-expected-guidance.html,2024-05-08,adj_ebitda,StreetAccount,326.0,musd,"adjusted EBITDA for the first quarter was $424 million, up 62% year over year. Analysts polled by StreetAccount were expecting $326 million."
S079,2024Q1,CNBC,https://www.cnbc.com/2024/05/08/airbnb-beats-earnings-expectations-for-first-quarter-but-offers-weaker-than-expected-guidance.html,2024-05-08,nights,StreetAccount,132.1,m,"reported 132.6 million nights and experiences booked, up 9.5% from a year ago, and higher than the 132.1 million expected by analysts, according to StreetAccount."
S080,2024Q1,CNBC,https://www.cnbc.com/2024/05/08/airbnb-beats-earnings-expectations-for-first-quarter-but-offers-weaker-than-expected-guidance.html,2024-05-08,next_q_revenue,LSEG,2740.0,musd,"revenue in its second quarter will come in between $2.68 billion and $2.74 billion. Analysts were expecting $2.74 billion for the period, according to LSEG."
S081,2024Q1,CNBC,https://www.cnbc.com/2024/05/08/airbnb-beats-earnings-expectations-for-first-quarter-but-offers-weaker-than-expected-guidance.html,2024-05-08,positioning,,,,Shares fell more than 6% in extended trading.
S082,2024Q2,CNBC,https://www.cnbc.com/2024/08/06/airbnb-shares-drop-14percent-on-earnings-miss-as-company-warns-of-slowing-us-demand.html,2024-08-06,revenue,LSEG,2740.0,musd,Revenue: $2.75 billion vs. $2.74 billion expected
S083,2024Q2,CNBC,https://www.cnbc.com/2024/08/06/airbnb-shares-drop-14percent-on-earnings-miss-as-company-warns-of-slowing-us-demand.html,2024-08-06,eps,LSEG,0.92,usd,Earnings per share: 86 cents vs. 92 cents expected
S084,2024Q2,CNBC,https://www.cnbc.com/2024/08/06/airbnb-shares-drop-14percent-on-earnings-miss-as-company-warns-of-slowing-us-demand.html,2024-08-06,next_q_revenue,not found,,musd,"CNBC quotes the guide ($3.67-3.73bn) but no Street number; no other contemporaneous source with a Q3-2024 consensus figure was retrievable (WebSearch budget exhausted, DuckDuckGo/Reuters blocked). LEFT BLANK."
S085,2024Q2,CNBC,https://www.cnbc.com/2024/08/06/airbnb-shares-drop-14percent-on-earnings-miss-as-company-warns-of-slowing-us-demand.html,2024-08-06,positioning,,,,Airbnb shares dropped 14% in after-hours trading ... warned it was 'seeing shorter booking lead times globally and some signs of slowing demand from U.S. guests.'
S086,2024Q3,CNBC,https://www.cnbc.com/2024/11/07/airbnb-abnb-q3-earnings-report-2024.html,2024-11-07,revenue,LSEG,3720.0,musd,Revenue: $3.73 billion vs. $3.72 billion expected by LSEG
S087,2024Q3,CNBC,https://www.cnbc.com/2024/11/07/airbnb-abnb-q3-earnings-report-2024.html,2024-11-07,eps,LSEG,2.14,usd,Earnings per share: $2.13 vs. $2.14 expected by LSEG
S088,2024Q3,CNBC,https://www.cnbc.com/2024/11/07/airbnb-abnb-q3-earnings-report-2024.html,2024-11-07,adj_ebitda,StreetAccount,1860.0,musd,"adjusted EBITDA for the third quarter was $2 billion, up 7% year over year. Analysts polled by StreetAccount were expecting $1.86 billion."
S089,2024Q3,CNBC,https://www.cnbc.com/2024/11/07/airbnb-abnb-q3-earnings-report-2024.html,2024-11-07,nights,StreetAccount,121.4,m,"reported 123 million nights and experiences booked, up 8% from a year ago and higher than the 121.4 million expected by StreetAccount."
S090,2024Q3,CNBC,https://www.cnbc.com/2024/11/07/airbnb-abnb-q3-earnings-report-2024.html,2024-11-07,gbv,StreetAccount,19.9,busd,"Gross booking value ... totaled $20.1 billion ... That's above the $19.9 billion expected by analysts, according to StreetAccount."
S091,2024Q3,CNBC,https://www.cnbc.com/2024/11/07/airbnb-abnb-q3-earnings-report-2024.html,2024-11-07,next_q_revenue,LSEG,2420.0,musd,"expects to report revenue between $2.39 billion and $2.44 billion during its fourth quarter. Analysts were expecting $2.42 billion for the period, according to LSEG."
S092,2024Q3,CNBC,https://www.cnbc.com/2024/11/07/airbnb-abnb-q3-earnings-report-2024.html,2024-11-07,positioning,,,,The stock fell about 3% in after-hours trading.
S093,2024Q4,CNBC,https://www.cnbc.com/2025/02/13/airbnb-abnb-q4-earnings-2024.html,2025-02-13,revenue,LSEG,2420.0,musd,Revenue: $2.48 billion vs. $2.42 billion expected
S094,2024Q4,CNBC,https://www.cnbc.com/2025/02/13/airbnb-abnb-q4-earnings-2024.html,2025-02-13,eps,LSEG,0.58,usd,Earnings per share: 73 cents vs. 58 cents expected
S095,2024Q4,CNBC,https://www.cnbc.com/2025/02/13/airbnb-abnb-q4-earnings-2024.html,2025-02-13,adj_ebitda,StreetAccount,653.5,musd,"adjusted profit for the fourth quarter was $765 million, up 4% year over year. Analysts were expecting $653.5 million, according to StreetAccount."
S096,2024Q4,CNBC,https://www.cnbc.com/2025/02/13/airbnb-abnb-q4-earnings-2024.html,2025-02-13,nights,StreetAccount,108.7,m,"reported 111 million nights and experiences booked, up 12% from a year ago and above the 108.7 million expected by StreetAccount."
S097,2024Q4,CNBC,https://www.cnbc.com/2025/02/13/airbnb-abnb-q4-earnings-2024.html,2025-02-13,gbv,StreetAccount,17.2,busd,Gross booking value ... totaled $17.6 billion ... That is above the $17.2 billion expected by analysts polled by StreetAccount.
S098,2024Q4,CNBC,https://www.cnbc.com/2025/02/13/airbnb-abnb-q4-earnings-2024.html,2025-02-13,next_q_revenue,LSEG,2300.0,musd,"In the first quarter, Airbnb expects to report revenue between $2.23 billion and $2.27 billion. Analysts were expecting $2.3 billion for the period, according to LSEG."
S099,2024Q4,StockStory,https://stockstory.org/us/stocks/nasdaq/abnb/news/earnings/airbnb-nasdaqabnb-exceeds-q4-expectations-stock-jumps-138percent,2025-02-13,next_q_revenue,S&P Global / Visible Alpha,2301.0,musd,"next quarter's revenue guidance of $2.25 billion was less impressive, coming in 2.2% below analysts' estimates (implies $2,301m)"
S100,2024Q4,CNBC,https://www.cnbc.com/2025/02/13/airbnb-abnb-q4-earnings-2024.html,2025-02-13,positioning,,,,Airbnb shares jumped 15% in extended trading on Thursday.
S101,2025Q1,CNBC,https://www.cnbc.com/2025/05/01/airbnb-q1-earnings-report-2025-.html,2025-05-01,revenue,LSEG,2260.0,musd,Revenue: $2.27 billion vs. $2.26 billion expected
S102,2025Q1,CNBC,https://www.cnbc.com/2025/05/01/airbnb-q1-earnings-report-2025-.html,2025-05-01,eps,LSEG,0.24,usd,Earnings per share: 24 cents vs. 24 cents expected
S103,2025Q1,Zacks via Nasdaq,https://www.nasdaq.com/articles/airbnb-inc-abnb-q2-earnings-and-revenues-top-estimates,2025-08-06,eps,Zacks,0.25,usd,"A quarter ago, it was expected that this company would post earnings of $0.25 per share when it actually produced earnings of $0.24, delivering a surprise of -4%."
S104,2025Q1,CNBC,https://www.cnbc.com/2025/05/01/airbnb-q1-earnings-report-2025-.html,2025-05-01,nights,StreetAccount,143.4,m,"Nights and experiences booked rose 8% from a year ago and totaled 143.1 million, compared to the 143.4 million estimate from analysts."
S105,2025Q1,CNBC,https://www.cnbc.com/2025/05/01/airbnb-q1-earnings-report-2025-.html,2025-05-01,next_q_revenue,LSEG,3040.0,musd,"expects revenue of between $2.99 billion and $3.05 billion, or $3.02 billion at the middle of the range. Analysts had forecast $3.04 billion in revenue for the current period."
S106,2025Q1,CNBC,https://www.cnbc.com/2025/05/01/airbnb-q1-earnings-report-2025-.html,2025-05-01,positioning,,,,"results ... mostly in line with estimates, but the company issued a disappointing revenue forecast for the current period."
S107,2025Q2,CNBC,https://www.cnbc.com/2025/08/06/airbnb-beats-on-top-and-bottom-lines-for-second-quarter.html,2025-08-06,revenue,LSEG,3040.0,musd,Revenue: $3.10 billion vs. $3.04 billion expected
S108,2025Q2,CNBC,https://www.cnbc.com/2025/08/06/airbnb-beats-on-top-and-bottom-lines-for-second-quarter.html,2025-08-06,eps,LSEG,0.93,usd,Earnings per share: $1.03 vs. 93 cents expected
S109,2025Q2,Zacks via Nasdaq,https://www.nasdaq.com/articles/airbnb-inc-abnb-q2-earnings-and-revenues-top-estimates,2025-08-06,revenue,Zacks,3038.9,musd,"posted revenues of $3.1 billion for the quarter ended June 2025, surpassing the Zacks Consensus Estimate by 2.01% (implies $3,038.9m)"
S110,2025Q2,CNBC,https://www.cnbc.com/2025/08/06/airbnb-beats-on-top-and-bottom-lines-for-second-quarter.html,2025-08-06,nights,StreetAccount,133.35,m,"reported 134.4 million nights and seats booked, up 7% from a year ago and above the 133.35 million expected by StreetAccount."
