quarter,revenue_musd,nights_m,gbv_musd,adr,take_rate_pct,rev_per_night,adj_ebitda_musd,adj_ebitda_margin_pct,operating_income_musd,gaap_op_margin_pct,sbc_total_musd,sbc_pct_rev,da_musd,other_addbacks_musd,interest_income_musd,tax_provision_musd,fcf_musd,fcf_margin_pct,unearned_fees_change_musd,cor_gaap_musd,cor_cash_musd,cor_sbc_musd,cor_gaap_pct_rev,cor_cash_pct_rev,cor_gaap_per_night,cor_cash_per_night,cor_cash_per_100gbv,ops_gaap_musd,ops_cash_musd,ops_sbc_musd,ops_gaap_pct_rev,ops_cash_pct_rev,ops_gaap_per_night,ops_cash_per_night,ops_cash_per_100gbv,pd_gaap_musd,pd_cash_musd,pd_sbc_musd,pd_gaap_pct_rev,pd_cash_pct_rev,pd_gaap_per_night,pd_cash_per_night,pd_cash_per_100gbv,sm_gaap_musd,sm_cash_musd,sm_sbc_musd,sm_gaap_pct_rev,sm_cash_pct_rev,sm_gaap_per_night,sm_cash_per_night,sm_cash_per_100gbv,ga_gaap_musd,ga_cash_musd,ga_sbc_musd,ga_gaap_pct_rev,ga_cash_pct_rev,ga_gaap_per_night,ga_cash_per_night,ga_cash_per_100gbv,sm_brand_perf_musd,sm_field_ops_musd,sm_brand_perf_pct_rev,sm_field_ops_pct_rev,sm_brand_perf_per_night,sm_field_ops_per_night,sm_brand_perf_per_100gbv,total_cash_cost_musd,total_cash_cost_per_night,interest_income_pct_fcf,revenue_musd_yoy_pct,nights_m_yoy_pct,gbv_musd_yoy_pct,rev_per_night_yoy_pct,adj_ebitda_musd_yoy_pct,sbc_total_musd_yoy_pct,interest_income_musd_yoy_pct,total_cash_cost_per_night_yoy_pct,sm_brand_perf_musd_yoy_pct,sm_field_ops_musd_yoy_pct,sm_brand_perf_per_night_yoy_pct,sm_field_ops_per_night_yoy_pct,cor_gaap_musd_yoy_pct,cor_cash_musd_yoy_pct,cor_cash_per_night_yoy_pct,cor_cash_per_100gbv_yoy_pct,ops_gaap_musd_yoy_pct,ops_cash_musd_yoy_pct,ops_cash_per_night_yoy_pct,ops_cash_per_100gbv_yoy_pct,pd_gaap_musd_yoy_pct,pd_cash_musd_yoy_pct,pd_cash_per_night_yoy_pct,pd_cash_per_100gbv_yoy_pct,sm_gaap_musd_yoy_pct,sm_cash_musd_yoy_pct,sm_cash_per_night_yoy_pct,sm_cash_per_100gbv_yoy_pct,ga_gaap_musd_yoy_pct,ga_cash_musd_yoy_pct,ga_cash_per_night_yoy_pct,ga_cash_per_100gbv_yoy_pct,adj_ebitda_margin_yoy_pts
3Q23,3397.0,113.2,18300.0,161.38,18.56,30.01,1834.0,54.0,1496.0,44.0,286.0,8.4,8.0,44.0,192.0,2695.0,1310.0,38.6,-880.0,459.0,459.0,0.0,13.5,13.5,4.05,4.05,2.51,316.0,299.0,17.0,9.3,8.8,2.79,2.64,1.63,419.0,244.0,175.0,12.3,7.2,3.7,2.16,1.33,403.0,370.0,33.0,11.9,10.9,3.56,3.27,2.02,304.0,243.0,61.0,8.9,7.2,2.69,2.15,1.33,264,139,7.8,4.1,2.33,1.23,1.44,1615.0,14.27,14.7,17.8,13.5,17.3,3.7,25.9,22.2,228.8,-1.7,1.9,12.1,-10.4,-0.8,14.5,14.5,0.7,-2.3,9.0,9.9,-3.3,-6.3,14.5,6.0,-6.5,-10.1,4.9,3.8,-8.7,-11.8,26.7,30.0,15.0,10.8,3.5
4Q23,2218.0,98.8,15500.0,156.73,14.31,22.45,738.0,33.3,-496.0,-22.4,270.0,12.2,16.0,928.0,192.0,34.0,46.0,2.1,-40.0,384.0,384.0,0.0,17.3,17.3,3.89,3.89,2.48,271.0,255.0,16.0,12.2,11.5,2.74,2.58,1.65,432.0,282.0,150.0,19.5,12.7,4.37,2.85,1.82,424.0,388.0,36.0,19.1,17.5,4.29,3.93,2.5,1203.0,1151.0,52.0,54.2,51.9,12.18,11.65,7.43,276,148,12.4,6.7,2.79,1.5,1.78,2460.0,24.9,417.4,16.6,12.0,14.8,4.1,45.8,6.3,86.4,55.4,7.0,-2.0,-4.8,-12.3,11.3,11.3,-0.5,-3.1,4.2,4.9,-6.5,-8.3,8.5,13.3,1.1,-1.1,3.9,4.3,-6.9,-9.4,369.9,464.2,404.3,392.1,6.7
1Q24,2142.0,132.6,22900.0,172.88,9.35,16.15,424.0,19.8,101.0,4.7,295.0,13.8,14.0,14.0,202.0,-29.0,1909.0,89.1,1007.0,480.0,480.0,0.0,22.4,22.4,3.62,3.62,2.1,285.0,266.0,19.0,13.3,12.4,2.15,2.01,1.16,475.0,290.0,185.0,22.2,13.5,3.58,2.19,1.27,514.0,479.0,35.0,24.0,22.4,3.88,3.61,2.09,287.0,231.0,56.0,13.4,10.8,2.16,1.74,1.01,370,144,17.3,6.7,2.79,1.09,1.62,1746.0,13.17,10.6,17.8,9.5,12.3,7.6,61.8,22.9,38.4,0.8,20.5,0.7,9.8,-7.6,12.1,12.1,2.5,0.0,1.1,-0.4,-8.6,-11.5,13.1,7.0,-2.2,-4.5,14.2,13.5,3.7,1.0,18.1,18.5,8.1,5.2,5.4
2Q24,2748.0,125.1,21200.0,169.53,12.96,21.97,894.0,32.5,497.0,18.1,382.0,13.9,14.0,1.0,226.0,-126.0,1043.0,38.0,187.0,506.0,506.0,0.0,18.4,18.4,4.04,4.04,2.39,338.0,314.0,24.0,12.3,11.4,2.7,2.51,1.48,519.0,280.0,239.0,18.9,10.2,4.15,2.24,1.32,573.0,527.0,46.0,20.9,19.2,4.58,4.21,2.49,315.0,242.0,73.0,11.5,8.8,2.52,1.93,1.14,384,189,14.0,6.9,3.07,1.51,1.81,1869.0,14.94,21.7,10.6,8.7,11.0,1.8,9.2,25.7,18.3,3.7,6.4,51.2,-2.2,38.5,17.1,17.1,7.7,5.8,6.6,5.4,-3.1,-5.1,15.1,7.7,-0.9,-2.9,17.9,17.1,7.7,5.5,14.5,11.5,2.1,0.0,-0.5
3Q24,3732.0,122.8,20100.0,163.64,18.57,30.39,1958.0,52.5,1525.0,40.9,362.0,9.7,15.0,56.0,207.0,-367.0,1074.0,28.8,-964.0,465.0,465.0,0.0,12.5,12.5,3.79,3.79,2.31,369.0,347.0,22.0,9.9,9.3,3.0,2.83,1.73,524.0,294.0,230.0,14.0,7.9,4.27,2.39,1.46,514.0,471.0,43.0,13.8,12.6,4.19,3.84,2.34,335.0,268.0,67.0,9.0,7.2,2.73,2.18,1.33,332,182,8.9,4.9,2.7,1.48,1.65,1845.0,15.02,19.3,9.9,8.5,9.8,1.3,6.8,26.6,7.8,5.3,25.8,30.9,15.9,20.3,1.3,1.3,-6.4,-8.0,16.8,16.1,7.2,6.1,25.1,20.5,10.6,9.8,27.5,27.3,17.4,15.8,10.2,10.3,1.4,0.0,-1.5
4Q24,2480.0,111.0,17600.0,158.13,14.09,22.34,765.0,30.8,430.0,17.3,400.0,16.1,22.0,-55.0,183.0,-161.0,458.0,18.5,-41.0,427.0,427.0,0.0,17.2,17.2,3.85,3.85,2.43,290.0,265.0,25.0,11.7,10.7,2.61,2.39,1.51,538.0,306.0,232.0,21.7,12.3,4.85,2.76,1.74,547.0,501.0,46.0,22.1,20.2,4.93,4.51,2.85,248.0,183.0,65.0,10.0,7.4,2.23,1.65,1.04,369,178,14.9,7.2,3.32,1.6,2.1,1682.0,15.15,40.0,11.8,12.3,13.5,-0.5,3.7,48.1,-4.7,-39.2,33.7,20.3,19.0,6.7,11.2,11.2,-1.0,-2.0,7.0,3.9,-7.4,-8.5,24.5,8.5,-3.2,-4.4,29.0,29.1,14.8,14.0,-79.4,-84.1,-85.8,-86.0,-2.5
1Q25,2272.0,143.1,24500.0,171.34,9.27,15.88,417.0,18.4,38.0,1.7,358.0,15.8,25.0,-4.0,173.0,-19.0,1781.0,78.4,1107.0,506.0,506.0,0.0,22.3,22.3,3.54,3.54,2.07,303.0,282.0,21.0,13.3,12.4,2.12,1.97,1.15,568.0,338.0,230.0,25.0,14.9,3.97,2.36,1.38,563.0,519.0,44.0,24.8,22.8,3.93,3.63,2.12,294.0,231.0,63.0,12.9,10.2,2.05,1.61,0.94,378,185,16.6,8.1,2.64,1.29,1.54,1876.0,13.11,9.7,6.1,7.9,7.0,-1.7,-1.7,21.4,-14.4,-0.5,2.2,28.5,-5.4,18.3,5.4,5.4,-2.2,-1.4,6.3,6.0,-2.0,-0.9,19.6,16.6,7.8,8.7,9.5,8.4,0.6,1.4,2.4,0.0,-7.5,-6.9,-1.4
2Q25,3096.0,134.4,23500.0,174.48,13.17,23.04,1043.0,33.7,612.0,19.8,424.0,13.7,21.0,-14.0,190.0,-137.0,962.0,31.1,134.0,544.0,544.0,0.0,17.6,17.6,4.05,4.05,2.31,332.0,309.0,23.0,10.7,10.0,2.47,2.3,1.31,610.0,331.0,279.0,19.7,10.7,4.54,2.46,1.41,691.0,639.0,52.0,22.3,20.6,5.14,4.75,2.72,307.0,237.0,70.0,9.9,7.7,2.28,1.76,1.01,446,245,14.4,7.9,3.32,1.82,1.9,2060.0,15.33,19.8,12.7,7.4,10.8,4.9,16.7,11.0,-15.9,2.6,16.1,29.6,8.1,20.5,7.5,7.5,0.2,-3.3,-1.8,-1.6,-8.4,-11.5,17.5,18.2,9.8,6.8,20.6,21.3,12.8,9.2,-2.5,-2.1,-8.8,-11.4,1.2
3Q25,4095.0,133.6,22900.0,171.29,17.88,30.65,2051.0,50.1,1625.0,39.7,399.0,9.7,22.0,5.0,180.0,-418.0,1349.0,32.9,-1037.0,549.0,549.0,0.0,13.4,13.4,4.11,4.11,2.4,365.0,343.0,22.0,8.9,8.4,2.73,2.57,1.5,587.0,333.0,254.0,14.3,8.1,4.39,2.49,1.45,639.0,585.0,54.0,15.6,14.3,4.78,4.38,2.55,330.0,261.0,69.0,8.1,6.4,2.47,1.95,1.14,380,259,9.3,6.3,2.84,1.94,1.66,2071.0,15.5,13.3,9.7,8.8,13.9,0.9,4.7,10.2,-13.0,3.2,14.5,42.3,5.2,31.1,18.1,18.1,8.4,3.9,-1.1,-1.2,-9.2,-13.3,12.0,13.3,4.2,-0.7,24.3,24.2,14.1,9.0,-1.5,-2.6,-10.6,-14.3,-2.4
4Q25,2778.0,121.9,20400.0,167.51,13.62,22.79,786.0,28.3,269.0,9.7,400.0,14.4,23.0,83.0,162.0,-52.0,521.0,18.8,-77.0,487.0,487.0,0.0,17.5,17.5,4.0,4.0,2.39,327.0,303.0,24.0,11.8,10.9,2.68,2.49,1.49,589.0,335.0,254.0,21.2,12.1,4.83,2.75,1.64,695.0,633.0,62.0,25.0,22.8,5.7,5.19,3.1,411.0,340.0,71.0,14.8,12.2,3.37,2.79,1.67,391,304,14.1,10.9,3.21,2.49,1.92,2098.0,17.21,31.1,12.0,9.8,15.9,2.0,2.7,0.0,-11.5,13.6,6.0,70.8,-3.3,55.6,14.1,14.1,3.9,-1.6,12.8,14.3,4.2,-1.3,9.5,9.5,-0.4,-5.7,27.1,26.3,15.1,8.8,65.7,85.8,69.1,60.6,-2.5
1Q26,2678.0,156.2,29200.0,186.82,9.17,17.14,519.0,19.4,86.0,3.2,410.0,15.3,22.0,1.0,155.0,-121.0,1704.0,63.6,990.0,581.0,581.0,0.0,21.7,21.7,3.72,3.72,1.99,326.0,301.0,25.0,12.2,11.2,2.09,1.93,1.03,638.0,375.0,263.0,23.8,14.0,4.08,2.4,1.28,751.0,696.0,55.0,28.0,26.0,4.81,4.46,2.38,296.0,229.0,67.0,11.1,8.6,1.9,1.47,0.78,512,239,19.1,8.9,3.28,1.53,1.75,2182.0,13.97,9.1,17.9,9.2,19.2,7.9,24.5,14.5,-10.4,6.6,35.4,29.2,24.2,18.6,14.8,14.8,5.1,-3.9,7.6,6.7,-2.0,-10.4,12.3,10.9,1.7,-7.2,33.4,34.1,22.9,12.3,0.7,-0.9,-8.7,-17.0,1.0
2Q26,3608.0,148.3,27200.0,183.73,13.26,24.33,1261.0,35.0,758.0,21.0,487.0,13.5,17.0,-1.0,183.0,-81.0,1253.0,34.7,98.0,633.0,633.0,0.0,17.5,17.5,4.27,4.27,2.33,361.0,323.0,38.0,10.0,9.0,2.43,2.18,1.19,672.0,374.0,298.0,18.6,10.4,4.53,2.52,1.38,875.0,808.0,67.0,24.3,22.4,5.9,5.45,2.97,309.0,225.0,84.0,8.6,6.2,2.08,1.52,0.83,579,296,16.0,8.2,3.9,2.0,2.13,2363.0,15.93,14.6,16.5,10.3,15.7,5.6,20.9,14.9,-3.7,3.9,29.8,20.8,17.5,9.9,16.4,16.4,5.4,0.9,8.7,4.5,-5.2,-9.2,10.2,13.0,2.4,-2.1,26.6,26.4,14.7,9.2,0.7,-5.1,-13.6,-17.8,1.3
