quarter,reaction_date,k,cum_excess_pct
2021Q1,2021-05-14,8,-20.96407580979064
2021Q1,2021-05-14,9,-15.79633834302485
2021Q1,2021-05-14,10,-17.6833941728207
2021Q1,2021-05-14,11,-15.128634629918125
2021Q1,2021-05-14,12,-11.503687295658349
2021Q1,2021-05-14,13,-14.371569037926267
2021Q1,2021-05-14,14,-12.281168918447316
2021Q1,2021-05-14,15,-13.57761790587354
2021Q1,2021-05-14,16,-14.742250105752074
2021Q1,2021-05-14,17,-15.997445643750073
2021Q1,2021-05-14,18,-16.30067632841216
2021Q1,2021-05-14,19,-15.238128730888379
2021Q1,2021-05-14,20,-15.756262216596049
2021Q1,2021-05-14,21,-13.631997605963797
2021Q1,2021-05-14,22,-14.765912290505668
2021Q1,2021-05-14,23,-15.149508455256688
2021Q1,2021-05-14,24,-13.318275517401055
2021Q1,2021-05-14,25,-15.549810338882875
2021Q1,2021-05-14,26,-16.50201327899712
2021Q1,2021-05-14,27,-15.468293247816323
2021Q1,2021-05-14,28,-16.583125132754837
2021Q1,2021-05-14,29,-17.061612990155496
2021Q1,2021-05-14,30,-18.15319344204266
2021Q1,2021-05-14,31,-20.72962812467075
2021Q1,2021-05-14,32,-16.53929742945054
2021Q1,2021-05-14,33,-16.61452397189487
2021Q1,2021-05-14,34,-19.432646576345547
2021Q1,2021-05-14,35,-20.94765495704086
2021Q1,2021-05-14,36,-23.82223664083981
2021Q1,2021-05-14,37,-23.861944170882566
2021Q1,2021-05-14,38,-20.463676907877513
2021Q1,2021-05-14,39,-22.55925974260297
2021Q1,2021-05-14,40,-24.42980436763861
2021Q1,2021-05-14,41,-27.08396944937892
2021Q1,2021-05-14,42,-27.243350158141233
2021Q1,2021-05-14,43,-28.206840234984952
2021Q1,2021-05-14,44,-28.733952003965832
2021Q1,2021-05-14,45,-27.540487525882817
2021Q1,2021-05-14,46,-26.550197791411726
2021Q1,2021-05-14,47,-27.12515331274178
2021Q1,2021-05-14,48,-28.792724640021028
2021Q1,2021-05-14,49,-27.012860851706076
2021Q1,2021-05-14,50,-26.062509225388
2021Q1,2021-05-14,51,-25.491887690089207
2021Q1,2021-05-14,52,-25.585459672314283
2021Q1,2021-05-14,53,-24.717748857471364
2021Q1,2021-05-14,54,-23.88248012509855
2021Q1,2021-05-14,55,-24.438926731231604
2021Q1,2021-05-14,56,-23.596262685770732
2021Q1,2021-05-14,57,-22.61389541939012
2021Q1,2021-05-14,58,-22.327313117344303
2021Q1,2021-05-14,59,-22.8402499571595
2021Q1,2021-05-14,60,-23.136082239157652
2021Q2,2021-08-13,-21,0.0
2021Q2,2021-08-13,-20,-1.5100953667921746
2021Q2,2021-08-13,-19,-2.4646625061316425
2021Q2,2021-08-13,-18,-0.5456338522868531
2021Q2,2021-08-13,-17,0.9842003548378386
2021Q2,2021-08-13,-16,0.4812886823734708
2021Q2,2021-08-13,-15,-1.235752101164267
2021Q2,2021-08-13,-14,1.0620023027589465
2021Q2,2021-08-13,-13,1.882703043949241
2021Q2,2021-08-13,-12,2.7453083501683073
2021Q2,2021-08-13,-11,2.6886261080627527
2021Q2,2021-08-13,-10,3.611133960284696
2021Q2,2021-08-13,-9,4.67920905715471
2021Q2,2021-08-13,-8,4.182563745039647
2021Q2,2021-08-13,-7,5.308269475852767
2021Q2,2021-08-13,-6,6.785599827182632
2021Q2,2021-08-13,-5,6.994952992418679
2021Q2,2021-08-13,-4,6.406345847183181
2021Q2,2021-08-13,-3,5.846945315931951
2021Q2,2021-08-13,-2,6.1744178661209626
2021Q2,2021-08-13,-1,7.9828385244144595
2021Q2,2021-08-13,0,8.795911358565146
2021Q2,2021-08-13,1,5.704280654416306
2021Q2,2021-08-13,2,3.2093671409088476
2021Q2,2021-08-13,3,6.251211638710008
2021Q2,2021-08-13,4,2.7912721627166404
2021Q2,2021-08-13,5,2.509180653966814
2021Q2,2021-08-13,6,3.230847653344271
2021Q2,2021-08-13,7,13.55465416224859
2021Q2,2021-08-13,8,12.657203118870886
2021Q2,2021-08-13,9,7.775524235962283
2021Q2,2021-08-13,10,7.825956002613577
2021Q2,2021-08-13,11,7.993624557274437
2021Q2,2021-08-13,12,7.330505809551658
2021Q2,2021-08-13,13,8.319425476896969
2021Q2,2021-08-13,14,8.812993145689617
2021Q2,2021-08-13,15,9.070272134577207
2021Q2,2021-08-13,16,14.01141589118804
2021Q2,2021-08-13,17,13.602131242812977
2021Q2,2021-08-13,18,15.470966792135398
2021Q2,2021-08-13,19,15.687963749306011
2021Q2,2021-08-13,20,12.211011714980135
2021Q2,2021-08-13,21,14.675042737294609
2021Q2,2021-08-13,22,16.13393481419654
2021Q2,2021-08-13,23,17.356341393976972
2021Q2,2021-08-13,24,17.4644480777175
2021Q2,2021-08-13,25,16.007064117984935
2021Q2,2021-08-13,26,21.445743603462518
2021Q2,2021-08-13,27,20.983349772962878
2021Q2,2021-08-13,28,23.796398426403883
2021Q2,2021-08-13,29,24.24470557275924
2021Q2,2021-08-13,30,23.89400580774583
2021Q2,2021-08-13,31,22.67323151421199
2021Q2,2021-08-13,32,22.46614969356957
2021Q2,2021-08-13,33,22.599975934654292
2021Q2,2021-08-13,34,25.80899179114997
2021Q2,2021-08-13,35,21.719159286423782
2021Q2,2021-08-13,36,20.571939922275327
2021Q2,2021-08-13,37,21.761520582717065
2021Q2,2021-08-13,38,22.55424199786331
2021Q2,2021-08-13,39,23.325904211973334
2021Q2,2021-08-13,40,21.695109258150502
2021Q2,2021-08-13,41,26.464045757726716
2021Q2,2021-08-13,42,26.273497132022438
2021Q2,2021-08-13,43,22.192441023468866
2021Q2,2021-08-13,44,20.591022391346538
2021Q2,2021-08-13,45,21.84445045826917
2021Q2,2021-08-13,46,19.91226405405666
2021Q2,2021-08-13,47,19.33558315370716
2021Q2,2021-08-13,48,19.237891086876193
2021Q2,2021-08-13,49,17.310861253824243
2021Q2,2021-08-13,50,18.13826498419189
2021Q2,2021-08-13,51,19.18962767075125
2021Q2,2021-08-13,52,17.461622297906885
2021Q2,2021-08-13,53,18.180703391444307
2021Q2,2021-08-13,54,16.899532299282157
2021Q2,2021-08-13,55,19.398433330924703
2021Q2,2021-08-13,56,17.69041246760552
2021Q2,2021-08-13,57,16.543535832226674
2021Q2,2021-08-13,58,19.202212047498676
2021Q2,2021-08-13,59,35.94757087513232
2021Q2,2021-08-13,60,35.152081732170686
2021Q3,2021-11-05,-21,0.0
2021Q3,2021-11-05,-20,0.7167864900087473
2021Q3,2021-11-05,-19,-0.4658014520772302
2021Q3,2021-11-05,-18,3.4634976419976593
2021Q3,2021-11-05,-17,3.164933809324655
2021Q3,2021-11-05,-16,-0.4777077166953525
2021Q3,2021-11-05,-15,-1.8923930896170948
2021Q3,2021-11-05,-14,-1.0630991412327928
2021Q3,2021-11-05,-13,-2.7716510984223675
2021Q3,2021-11-05,-12,-3.214502880810932
2021Q3,2021-11-05,-11,-3.409064391462624
2021Q3,2021-11-05,-10,-4.811674813541956
2021Q3,2021-11-05,-9,-4.333812772944301
2021Q3,2021-11-05,-8,-3.541391168684105
2021Q3,2021-11-05,-7,-4.986672066141773
2021Q3,2021-11-05,-6,-4.616282328031884
2021Q3,2021-11-05,-5,-5.750177584510352
2021Q3,2021-11-05,-4,-3.7907404401308353
2021Q3,2021-11-05,-3,-5.257095411750745
2021Q3,2021-11-05,-2,-6.39496904814274
2021Q3,2021-11-05,-1,-4.493394171215304
2021Q3,2021-11-05,0,9.063440740450844
2021Q3,2021-11-05,1,8.445719478296777
2021Q3,2021-11-05,2,5.875106010321797
2021Q3,2021-11-05,3,6.025347769498968
2021Q3,2021-11-05,4,5.36815832817783
2021Q3,2021-11-05,5,13.038851950282272
2021Q3,2021-11-05,6,13.458711327132324
2021Q3,2021-11-05,7,12.584306261659403
2021Q3,2021-11-05,8,7.850779182887347
2021Q3,2021-11-05,9,9.793486345554903
2021Q3,2021-11-05,10,4.512442037748034
2021Q3,2021-11-05,11,-2.8569798938727686
2021Q3,2021-11-05,12,-4.3956691536568115
2021Q3,2021-11-05,13,-3.7931257392499704
2021Q3,2021-11-05,14,-5.265714359892937
2021Q3,2021-11-05,15,-3.9373295548510656
2021Q3,2021-11-05,16,-6.765867152260062
2021Q3,2021-11-05,17,-10.497782564490187
2021Q3,2021-11-05,18,-7.4221109375044225
2021Q3,2021-11-05,19,-7.234615806314859
2021Q3,2021-11-05,20,0.2332649254320307
2021Q3,2021-11-05,21,-1.6206200368563675
2021Q3,2021-11-05,22,-0.13578682611716886
2021Q3,2021-11-05,23,-1.481620982957189
2021Q3,2021-11-05,24,-3.2739896790314305
2021Q3,2021-11-05,25,-7.22049697499736
2021Q3,2021-11-05,26,-7.9179720607325805
2021Q3,2021-11-05,27,-10.250043411330422
2021Q3,2021-11-05,28,-14.371095387914977
2021Q3,2021-11-05,29,-12.937282595575672
2021Q3,2021-11-05,30,-12.309554423188562
2021Q3,2021-11-05,31,-9.689332876396373
2021Q3,2021-11-05,32,-8.856563463445976
2021Q3,2021-11-05,33,-8.484810625611638
2021Q3,2021-11-05,34,-10.076268310405599
2021Q3,2021-11-05,35,-10.721986219046052
2021Q3,2021-11-05,36,-12.043869239374628
2021Q3,2021-11-05,37,-10.922765879451358
2021Q3,2021-11-05,38,-11.58333580006351
2021Q3,2021-11-05,39,-8.990117960041188
2021Q3,2021-11-05,40,-8.661400423971699
2021Q3,2021-11-05,41,-10.34273253732919
2021Q3,2021-11-05,42,-11.742295806370507
2021Q3,2021-11-05,43,-6.880129856925976
2021Q3,2021-11-05,44,-10.097650162941951
2021Q3,2021-11-05,45,-7.01482362506799
2021Q3,2021-11-05,46,-6.888508942586935
2021Q3,2021-11-05,47,-6.302718583238209
2021Q3,2021-11-05,48,-8.136125081372004
2021Q3,2021-11-05,49,-11.00999531671263
2021Q3,2021-11-05,50,-9.952122706382305
2021Q3,2021-11-05,51,-6.622522919122586
2021Q3,2021-11-05,52,-4.604513199345095
2021Q3,2021-11-05,53,-10.255005451462585
2021Q3,2021-11-05,54,-9.96507310679382
2021Q3,2021-11-05,55,-11.24302994339821
2021Q3,2021-11-05,56,-12.485081627078344
2021Q3,2021-11-05,57,-12.865987059424144
2021Q3,2021-11-05,58,-9.36561090369028
2021Q3,2021-11-05,59,-8.295760685286668
2021Q3,2021-11-05,60,-12.169319223128328
2021Q4,2022-02-16,-21,0.0
2021Q4,2022-02-16,-20,1.027251553404207
2021Q4,2022-02-16,-19,4.522713813230938
2021Q4,2022-02-16,-18,6.408491657372062
2021Q4,2022-02-16,-17,0.2658167533217348
2021Q4,2022-02-16,-16,0.3168927759833906
2021Q4,2022-02-16,-15,-1.1018290475573345
2021Q4,2022-02-16,-14,-2.576639953390714
2021Q4,2022-02-16,-13,-2.6456921538228313
2021Q4,2022-02-16,-12,1.5585586383672467
2021Q4,2022-02-16,-11,2.811987257310855
2021Q4,2022-02-16,-10,-1.3381750366881051
2021Q4,2022-02-16,-9,1.2779284098026533
2021Q4,2022-02-16,-8,3.946549289866874
2021Q4,2022-02-16,-7,6.242944817724105
2021Q4,2022-02-16,-6,7.978241802701502
2021Q4,2022-02-16,-5,10.624274968886992
2021Q4,2022-02-16,-4,14.428582631933706
2021Q4,2022-02-16,-3,13.99326669466976
2021Q4,2022-02-16,-2,15.900570972448103
2021Q4,2022-02-16,-1,20.298502439833676
2021Q4,2022-02-16,0,24.569980167882612
2021Q4,2022-02-16,1,25.462696454867405
2021Q4,2022-02-16,2,20.90184143090388
2021Q4,2022-02-16,3,15.582738017450737
2021Q4,2022-02-16,4,8.09370049280128
2021Q4,2022-02-16,5,10.420092799028147
2021Q4,2022-02-16,6,6.945928564819026
2021Q4,2022-02-16,7,4.340725566646208
2021Q4,2022-02-16,8,5.463432436781923
2021Q4,2022-02-16,9,8.131985693266465
2021Q4,2022-02-16,10,5.695238912467614
2021Q4,2022-02-16,11,1.2221614057007057
2021Q4,2022-02-16,12,-2.602775154206327
2021Q4,2022-02-16,13,4.6183441392414935
2021Q4,2022-02-16,14,5.4721720814631105
2021Q4,2022-02-16,15,8.732171863158467
2021Q4,2022-02-16,16,6.280821581308627
2021Q4,2022-02-16,17,3.6696275317407157
2021Q4,2022-02-16,18,4.499538254108982
2021Q4,2022-02-16,19,8.843376879813691
2021Q4,2022-02-16,20,8.895122906386643
2021Q4,2022-02-16,21,13.101560859054175
2021Q4,2022-02-16,22,10.003707877378144
2021Q4,2022-02-16,23,11.144227242793491
2021Q4,2022-02-16,24,11.05648923126774
2021Q4,2022-02-16,25,13.255366708011351
2021Q4,2022-02-16,26,11.00269940448465
2021Q4,2022-02-16,27,9.778344301551723
2021Q4,2022-02-16,28,13.16905866045488
2021Q4,2022-02-16,29,13.055109266675458
2021Q4,2022-02-16,30,13.07565135830211
2021Q4,2022-02-16,31,14.108955674011536
2021Q4,2022-02-16,32,14.649429654553991
2021Q4,2022-02-16,33,13.109173360982208
2021Q4,2022-02-16,34,10.99327994268997
2021Q4,2022-02-16,35,11.574423810736045
2021Q4,2022-02-16,36,10.746293815134734
2021Q4,2022-02-16,37,11.484855880898039
2021Q4,2022-02-16,38,11.783451846359007
2021Q4,2022-02-16,39,17.508414209387148
2021Q4,2022-02-16,40,18.90503942390879
2021Q4,2022-02-16,41,15.628330129697975
2021Q4,2022-02-16,42,16.41437757067127
2021Q4,2022-02-16,43,14.178167026936583
2021Q4,2022-02-16,44,11.793314290303625
2021Q4,2022-02-16,45,12.981048165387133
2021Q4,2022-02-16,46,13.338433303527353
2021Q4,2022-02-16,47,13.241234124097645
2021Q4,2022-02-16,48,12.820304536712724
2021Q4,2022-02-16,49,14.635394259360911
2021Q4,2022-02-16,50,14.402249409592994
2021Q4,2022-02-16,51,12.711076510868091
2021Q4,2022-02-16,52,7.589811381763745
2021Q4,2022-02-16,53,11.904359969751098
2021Q4,2022-02-16,54,7.927655256539235
2021Q4,2022-02-16,55,4.254113505296919
2021Q4,2022-02-16,56,-3.1235355682676875
2021Q4,2022-02-16,57,-6.193486961974603
2021Q4,2022-02-16,58,-3.7703100177564615
2021Q4,2022-02-16,59,-3.71964382540715
2021Q4,2022-02-16,60,-3.0731814508119903
2022Q1,2022-05-04,-21,0.0
2022Q1,2022-05-04,-20,-1.0617183808209085
2022Q1,2022-05-04,-19,-2.638938329969897
2022Q1,2022-05-04,-18,-2.160214213622269
2022Q1,2022-05-04,-17,-2.712294362672484
2022Q1,2022-05-04,-16,-1.7805715383220075
2022Q1,2022-05-04,-15,-1.4697242153791663
2022Q1,2022-05-04,-14,3.293884430846661
2022Q1,2022-05-04,-13,4.788879697428817
2022Q1,2022-05-04,-12,1.9164891127409938
2022Q1,2022-05-04,-11,2.3409750565260294
2022Q1,2022-05-04,-10,0.5619051336220098
2022Q1,2022-05-04,-9,-1.277387229339599
2022Q1,2022-05-04,-8,0.06383383405819032
2022Q1,2022-05-04,-7,0.23123908601017185
2022Q1,2022-05-04,-6,0.5775247976019902
2022Q1,2022-05-04,-5,0.22286805245860286
2022Q1,2022-05-04,-4,1.4190228604879742
2022Q1,2022-05-04,-3,1.7269325661327102
2022Q1,2022-05-04,-2,0.06779231439251099
2022Q1,2022-05-04,-1,-4.41923984908593
2022Q1,2022-05-04,0,-1.0226285789230563
2022Q1,2022-05-04,1,-3.9222683658456283
2022Q1,2022-05-04,2,-7.002425495774755
2022Q1,2022-05-04,3,-13.029992201320848
2022Q1,2022-05-04,4,-15.837826621952352
2022Q1,2022-05-04,5,-13.411109011589925
2022Q1,2022-05-04,6,-13.34291810190431
2022Q1,2022-05-04,7,-13.152031418634682
2022Q1,2022-05-04,8,-16.164277866274755
2022Q1,2022-05-04,9,-16.528811869778394
2022Q1,2022-05-04,10,-17.808615267904525
2022Q1,2022-05-04,11,-13.917674838684004
2022Q1,2022-05-04,12,-14.589123599465903
2022Q1,2022-05-04,13,-15.476485189233916
2022Q1,2022-05-04,14,-17.76375814297885
2022Q1,2022-05-04,15,-16.50225486610404
2022Q1,2022-05-04,16,-16.48434256343748
2022Q1,2022-05-04,17,-15.627468176278647
2022Q1,2022-05-04,18,-15.196434823095583
2022Q1,2022-05-04,19,-16.92340187406671
2022Q1,2022-05-04,20,-16.627879206247275
2022Q1,2022-05-04,21,-15.220694258312541
2022Q1,2022-05-04,22,-14.259747152575716
2022Q1,2022-05-04,23,-14.480195387997483
2022Q1,2022-05-04,24,-13.38489148522104
2022Q1,2022-05-04,25,-15.701161283435681
2022Q1,2022-05-04,26,-16.688702120346242
2022Q1,2022-05-04,27,-18.689884482297828
2022Q1,2022-05-04,28,-18.859168996183243
2022Q1,2022-05-04,29,-19.256094257568737
2022Q1,2022-05-04,30,-20.80437091755699
2022Q1,2022-05-04,31,-18.178568831220733
2022Q1,2022-05-04,32,-18.48473639291901
2022Q1,2022-05-04,33,-19.92135297571952
2022Q1,2022-05-04,34,-23.207675778878777
2022Q1,2022-05-04,35,-21.454960869395965
2022Q1,2022-05-04,36,-22.004439908655336
2022Q1,2022-05-04,37,-21.829786641907358
2022Q1,2022-05-04,38,-23.933985857870788
2022Q1,2022-05-04,39,-25.718830783502966
2022Q1,2022-05-04,40,-24.904483701212044
2022Q1,2022-05-04,41,-23.655842912567092
2022Q1,2022-05-04,42,-25.883652838682913
2022Q1,2022-05-04,43,-24.95044626324804
2022Q1,2022-05-04,44,-25.135571245847125
2022Q1,2022-05-04,45,-24.694694599309777
2022Q1,2022-05-04,46,-23.115948255537955
2022Q1,2022-05-04,47,-23.469937287644036
2022Q1,2022-05-04,48,-26.339594095325168
2022Q1,2022-05-04,49,-25.711029586857006
2022Q1,2022-05-04,50,-23.340545558213012
2022Q1,2022-05-04,51,-23.196098107655363
2022Q1,2022-05-04,52,-21.35541578960582
2022Q1,2022-05-04,53,-22.30400434779215
2022Q1,2022-05-04,54,-23.197318952286928
2022Q1,2022-05-04,55,-22.177072270898744
2022Q1,2022-05-04,56,-22.29370399919278
2022Q1,2022-05-04,57,-22.58997651201031
2022Q1,2022-05-04,58,-22.567809868946785
2022Q1,2022-05-04,59,-22.891789046001257
2022Q1,2022-05-04,60,-22.715966566079402
2022Q2,2022-08-03,-21,0.0
2022Q2,2022-08-03,-20,-3.8306902961163347
2022Q2,2022-08-03,-19,-1.168810742381332
2022Q2,2022-08-03,-18,-1.4541048771296694
2022Q2,2022-08-03,-17,-1.6004110573070496
2022Q2,2022-08-03,-16,0.8866721458263949
2022Q2,2022-08-03,-15,0.1437770255981463
2022Q2,2022-08-03,-14,-4.995913869178192
2022Q2,2022-08-03,-13,-3.0452157996609497
2022Q2,2022-08-03,-12,0.9528995971414655
2022Q2,2022-08-03,-11,2.573137577333151
2022Q2,2022-08-03,-10,6.688849449998878
2022Q2,2022-08-03,-9,5.600267085179066
2022Q2,2022-08-03,-8,3.132147401240304
2022Q2,2022-08-03,-7,4.753000383020556
2022Q2,2022-08-03,-6,3.6403898325880313
2022Q2,2022-08-03,-5,4.985909999167393
2022Q2,2022-08-03,-4,5.48311424777168
2022Q2,2022-08-03,-3,5.744733568232576
2022Q2,2022-08-03,-2,6.040248665217508
2022Q2,2022-08-03,-1,11.725361240324817
2022Q2,2022-08-03,0,7.366521826467576
2022Q2,2022-08-03,1,11.218045115293918
2022Q2,2022-08-03,2,9.942197357303616
2022Q2,2022-08-03,3,8.96005676313991
2022Q2,2022-08-03,4,8.786625332545086
2022Q2,2022-08-03,5,10.174133121680605
2022Q2,2022-08-03,6,13.70605067937234
2022Q2,2022-08-03,7,14.644482917983837
2022Q2,2022-08-03,8,15.308787138856193
2022Q2,2022-08-03,9,13.641894920490927
2022Q2,2022-08-03,10,12.554885627542077
2022Q2,2022-08-03,11,11.654175766737596
2022Q2,2022-08-03,12,7.1059462429672315
2022Q2,2022-08-03,13,6.555423732790834
2022Q2,2022-08-03,14,6.864905126079002
2022Q2,2022-08-03,15,9.580951925858528
2022Q2,2022-08-03,16,10.266541122730468
2022Q2,2022-08-03,17,10.457390193938542
2022Q2,2022-08-03,18,12.263784344611327
2022Q2,2022-08-03,19,12.42368460131089
2022Q2,2022-08-03,20,13.617226810449989
2022Q2,2022-08-03,21,13.863760733600405
2022Q2,2022-08-03,22,15.587998530031276
2022Q2,2022-08-03,23,16.389328098850964
2022Q2,2022-08-03,24,16.796622191108977
2022Q2,2022-08-03,25,18.8726655138278
2022Q2,2022-08-03,26,21.690520111015132
2022Q2,2022-08-03,27,21.783990243391372
2022Q2,2022-08-03,28,24.33456208768858
2022Q2,2022-08-03,29,29.005196460895192
2022Q2,2022-08-03,30,28.888764219604468
2022Q2,2022-08-03,31,22.95285446417168
2022Q2,2022-08-03,32,22.19898280577435
2022Q2,2022-08-03,33,20.85127207940676
2022Q2,2022-08-03,34,19.841905918162883
2022Q2,2022-08-03,35,10.33485510256622
2022Q2,2022-08-03,36,9.873410677253979
2022Q2,2022-08-03,37,11.81402205372768
2022Q2,2022-08-03,38,15.048477689298345
2022Q2,2022-08-03,39,17.645198935384787
2022Q2,2022-08-03,40,16.26194510574608
2022Q2,2022-08-03,41,16.182773886853553
2022Q2,2022-08-03,42,13.952170197039138
2022Q2,2022-08-03,43,17.00574019507296
2022Q2,2022-08-03,44,18.048292293445677
2022Q2,2022-08-03,45,18.635674782692323
2022Q2,2022-08-03,46,19.1885477295466
2022Q2,2022-08-03,47,22.681311267975566
2022Q2,2022-08-03,48,19.6125605286259
2022Q2,2022-08-03,49,25.408039633546586
2022Q2,2022-08-03,50,23.57021164072536
2022Q2,2022-08-03,51,22.75330910851782
2022Q2,2022-08-03,52,27.3981263081824
2022Q2,2022-08-03,53,28.155453152044217
2022Q2,2022-08-03,54,27.38576773602565
2022Q2,2022-08-03,55,28.003059471515037
2022Q2,2022-08-03,56,28.875024596080955
2022Q2,2022-08-03,57,24.10659011187398
2022Q2,2022-08-03,58,24.242901220964228
2022Q2,2022-08-03,59,23.162397109253863
2022Q2,2022-08-03,60,21.541368446764167
2022Q3,2022-11-02,-21,0.0
2022Q3,2022-11-02,-20,0.9104739324656941
2022Q3,2022-11-02,-19,1.5348871794067964
2022Q3,2022-11-02,-18,2.5698935639296705
2022Q3,2022-11-02,-17,5.734332906801865
2022Q3,2022-11-02,-16,3.2683932511795137
2022Q3,2022-11-02,-15,8.290858681529713
2022Q3,2022-11-02,-14,6.378176440384042
2022Q3,2022-11-02,-13,6.09257316133106
2022Q3,2022-11-02,-12,9.66475227935839
