month,cdn_residents_returning_from_us,cdn_residents_returning_from_us_air,cdn_residents_returning_from_us_land,cdn_residents_returning_from_other,us_residents_entering_canada,cdn_residents_returning_from_us_yoy_pct,cdn_residents_returning_from_us_air_yoy_pct,cdn_residents_returning_from_us_land_yoy_pct,cdn_residents_returning_from_other_yoy_pct,us_residents_entering_canada_yoy_pct,source
2018-06-01,3568775.0,616354.0,2933618.0,751538.0,2982857.0,9.44,1.38,11.26,-5.7,2.43,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2018-07-01,4298575.0,652977.0,3616981.0,877397.0,3522169.0,1.12,1.54,1.01,0.19,-1.02,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2018-08-01,4674799.0,736841.0,3901715.0,1072959.0,3402996.0,-0.96,4.97,-2.14,-0.92,4.72,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2018-09-01,3629642.0,687699.0,2909266.0,867885.0,2319196.0,-1.89,6.12,-3.63,-1.32,-3.21,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2018-10-01,3551483.0,798215.0,2742215.0,772180.0,1795847.0,-0.7,8.27,-2.98,-3.61,-1.6,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2018-11-01,3241304.0,838853.0,2402231.0,788356.0,1435666.0,-3.02,5.93,-5.8,-1.95,0.96,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2018-12-01,3329676.0,808470.0,2521169.0,954607.0,1672242.0,0.5,8.26,-1.76,4.9,3.55,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2019-01-01,3035434.0,904756.0,2130547.0,1320940.0,1140166.0,-5.33,3.71,-8.71,3.77,-0.57,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2019-02-01,2836843.0,905637.0,1931112.0,1164860.0,1158358.0,-4.96,6.29,-9.45,5.07,-2.38,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2019-03-01,4004204.0,1138388.0,2863431.0,1446162.0,1457330.0,-1.53,9.5,-5.39,4.21,-2.52,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2019-04-01,3816335.0,985940.0,2827799.0,1166847.0,1589192.0,-1.97,3.03,-3.48,-1.93,10.54,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2019-05-01,3743616.0,805734.0,2905090.0,971336.0,2135005.0,-4.74,4.1,-7.1,5.45,5.93,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2019-06-01,3491187.0,638538.0,2832834.0,780582.0,2998407.0,-2.17,3.6,-3.44,3.86,0.52,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2019-07-01,4310150.0,662300.0,3618927.0,869052.0,3615631.0,0.27,1.43,0.05,-0.95,2.65,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2019-08-01,4766463.0,739182.0,3990837.0,1119421.0,3552265.0,1.96,0.32,2.28,4.33,4.39,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2019-09-01,3634855.0,707125.0,2886559.0,877833.0,2295325.0,0.14,2.82,-0.78,1.15,-1.03,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2019-10-01,3504393.0,815519.0,2678978.0,790372.0,1854059.0,-1.33,2.17,-2.31,2.36,3.24,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2019-11-01,3286910.0,882499.0,2401886.0,842824.0,1464188.0,1.41,5.2,-0.01,6.91,1.99,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2019-12-01,3383473.0,853109.0,2530244.0,993314.0,1697726.0,1.62,5.52,0.36,4.05,1.52,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2020-01-01,3069835.0,936866.0,2132891.0,1361060.0,1201690.0,1.13,3.55,0.11,3.04,5.4,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2020-02-01,3073031.0,928622.0,2144269.0,1216680.0,1281300.0,8.33,2.54,11.04,4.45,10.61,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2020-03-01,2237531.0,699131.0,1538185.0,1020696.0,610781.0,-44.12,-38.59,-46.28,-29.42,-58.09,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2020-04-01,151775.0,10969.0,140775.0,29310.0,51042.0,-96.02,-98.89,-95.02,-97.49,-96.79,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2020-05-01,169316.0,9573.0,159648.0,26321.0,72078.0,-95.48,-98.81,-94.5,-97.29,-96.62,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2020-06-01,210824.0,16163.0,194451.0,35858.0,101607.0,-93.96,-97.47,-93.14,-95.41,-96.61,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2020-07-01,233672.0,26156.0,207192.0,53343.0,113414.0,-94.58,-96.05,-94.27,-93.86,-96.86,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2020-08-01,254258.0,36544.0,217375.0,90588.0,120824.0,-94.67,-95.06,-94.55,-91.91,-96.6,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2020-09-01,250399.0,32322.0,217801.0,74416.0,112980.0,-93.11,-95.43,-92.45,-91.52,-95.08,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2020-10-01,268993.0,42222.0,226634.0,72263.0,112513.0,-92.32,-94.82,-91.54,-90.86,-93.93,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2020-11-01,252607.0,54473.0,198069.0,73246.0,98444.0,-92.31,-93.83,-91.75,-91.31,-93.28,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2020-12-01,271069.0,62463.0,208552.0,108256.0,113887.0,-91.99,-92.68,-91.76,-89.1,-93.29,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2021-01-01,264999.0,72649.0,192318.0,160522.0,86456.0,-91.37,-92.25,-90.98,-88.21,-92.81,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2021-02-01,216261.0,32198.0,184000.0,79596.0,75398.0,-92.96,-96.53,-91.42,-93.46,-94.12,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2021-03-01,256854.0,18870.0,237884.0,48846.0,95943.0,-88.52,-97.3,-84.53,-95.21,-84.29,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2021-04-01,283318.0,23586.0,259592.0,55065.0,95634.0,86.67,115.02,84.4,87.87,87.36,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2021-05-01,311849.0,28189.0,283359.0,51379.0,113451.0,84.18,194.46,77.49,95.2,57.4,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2021-06-01,310858.0,25263.0,285139.0,61188.0,128447.0,47.45,56.3,46.64,70.64,26.42,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2021-07-01,393797.0,93199.0,300171.0,141303.0,194799.0,68.53,256.32,44.88,164.9,71.76,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2021-08-01,506130.0,170043.0,335714.0,341726.0,509669.0,99.06,365.31,54.44,277.23,321.83,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2021-09-01,474741.0,175704.0,298613.0,313600.0,518223.0,89.59,443.6,37.1,321.41,358.69,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2021-10-01,556775.0,253509.0,303044.0,301448.0,488616.0,106.98,500.42,33.72,317.15,334.28,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2021-11-01,785838.0,324867.0,460839.0,366902.0,439089.0,211.09,496.38,132.67,400.92,346.03,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2021-12-01,1119062.0,335437.0,783556.0,503444.0,550264.0,312.83,437.02,275.71,365.05,383.17,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2022-01-01,690166.0,261143.0,428880.0,463653.0,218558.0,160.44,259.46,123.01,188.84,152.8,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2022-02-01,686331.0,276540.0,409574.0,386325.0,314845.0,217.36,758.87,122.59,385.36,317.58,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2022-03-01,1337777.0,549331.0,788127.0,684967.0,465235.0,420.83,2811.13,231.31,1302.3,384.91,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2022-04-01,2082892.0,611533.0,1461269.0,708720.0,759600.0,635.18,2492.78,462.91,1187.06,694.28,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2022-05-01,2208563.0,593245.0,1592223.0,652365.0,1112682.0,608.22,2004.53,461.91,1169.71,880.76,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2022-06-01,1986034.0,448483.0,1518271.0,571672.0,1724681.0,538.89,1675.26,432.47,834.29,1242.72,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2022-07-01,2590353.0,503589.0,2049906.0,720811.0,2193729.0,557.79,440.34,582.91,410.12,1026.15,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2022-08-01,2981103.0,685025.0,2253542.0,752851.0,1968894.0,489.0,302.85,571.27,120.31,286.31,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2022-09-01,2454950.0,720137.0,1697525.0,538674.0,1560470.0,417.11,309.86,468.47,71.77,201.12,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2022-10-01,2778994.0,867608.0,1888710.0,490770.0,1388757.0,399.12,242.24,523.25,62.8,184.22,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2022-11-01,2576282.0,947860.0,1619412.0,508921.0,1036655.0,227.84,191.77,251.41,38.71,136.09,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2022-12-01,2468779.0,924034.0,1539215.0,614448.0,1221069.0,120.61,175.47,96.44,22.05,121.91,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2023-01-01,2744340.0,1107843.0,1633224.0,851875.0,866679.0,297.63,324.23,280.81,83.73,296.54,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2023-02-01,2506356.0,1025421.0,1476489.0,774653.0,945125.0,265.18,270.8,260.49,100.52,200.19,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2023-03-01,3340318.0,1324037.0,2008241.0,985520.0,1094111.0,149.69,141.03,154.81,43.88,135.17,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2023-04-01,3194372.0,1115878.0,2062250.0,875935.0,1300810.0,53.36,82.47,41.13,23.59,71.25,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2023-05-01,3146982.0,902416.0,2189862.0,763997.0,1831775.0,42.49,52.12,37.53,17.11,64.63,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2023-06-01,2779175.0,645219.0,2099269.0,652936.0,2652705.0,39.94,43.87,38.27,14.22,53.81,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2023-07-01,3710779.0,699943.0,2959442.0,756999.0,3130621.0,43.25,38.99,44.37,5.02,42.71,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2023-08-01,4016428.0,764920.0,3189774.0,924932.0,2834744.0,34.73,11.66,41.54,22.86,43.98,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2023-09-01,3078088.0,714734.0,2310135.0,779765.0,2174918.0,25.38,-0.75,36.09,44.76,39.38,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2023-10-01,3132432.0,855637.0,2250207.0,768690.0,1628185.0,12.72,-1.38,19.14,56.63,17.24,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2023-11-01,2857395.0,863975.0,1985056.0,797886.0,1219676.0,10.91,-8.85,22.58,56.78,17.65,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2023-12-01,2847693.0,808958.0,2030973.0,989681.0,1524595.0,15.35,-12.45,31.95,61.07,24.86,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2024-01-01,2734155.0,919454.0,1811362.0,1304684.0,910621.0,-0.37,-17.01,10.91,53.15,5.07,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2024-02-01,2696638.0,900551.0,1790552.0,1207230.0,1127588.0,7.59,-12.18,21.27,55.84,19.31,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2024-03-01,3587100.0,1102718.0,2474154.0,1427686.0,1336056.0,7.39,-16.72,23.2,44.87,22.11,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2024-04-01,3265468.0,969354.0,2278315.0,1200836.0,1476081.0,2.23,-13.13,10.48,37.09,13.47,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2024-05-01,3380612.0,863362.0,2463544.0,1007632.0,2072414.0,7.42,-4.33,12.5,31.89,13.14,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2024-06-01,3014943.0,638697.0,2338388.0,828050.0,2897819.0,8.48,-1.01,11.39,26.82,9.24,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2024-07-01,3802378.0,672209.0,3080319.0,961849.0,3353349.0,2.47,-3.96,4.08,27.06,7.11,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2024-08-01,4165080.0,733921.0,3367608.0,1144133.0,3195854.0,3.7,-4.05,5.58,23.7,12.74,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2024-09-01,3263428.0,702673.0,2504831.0,947565.0,2198468.0,6.02,-1.69,8.43,21.52,1.08,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2024-10-01,3170986.0,807440.0,2341957.0,914950.0,1760987.0,1.23,-5.63,4.08,19.03,8.16,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2024-11-01,2940721.0,820944.0,2111545.0,967794.0,1448685.0,2.92,-4.98,6.37,21.29,18.78,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2024-12-01,2993344.0,807318.0,2177772.0,1074426.0,1685491.0,5.11,-0.2,7.23,8.56,10.55,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2025-01-01,2690363.0,864409.0,1823482.0,1373495.0,1105027.0,-1.6,-5.99,0.67,5.27,21.35,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2025-02-01,2245517.0,851889.0,1392362.0,1273785.0,1076683.0,-16.73,-5.4,-22.24,5.51,-4.51,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2025-03-01,2760377.0,1047781.0,1707741.0,1575385.0,1257520.0,-23.05,-4.98,-30.98,10.35,-5.88,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2025-04-01,2350651.0,867632.0,1471862.0,1347731.0,1360708.0,-28.01,-10.49,-35.4,12.23,-7.82,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2025-05-01,2320825.0,727367.0,1553520.0,1114697.0,1969363.0,-31.35,-15.75,-36.94,10.63,-4.97,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2025-06-01,2165384.0,553074.0,1588023.0,904599.0,2786594.0,-28.18,-13.41,-32.09,9.24,-3.84,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2025-07-01,2568786.0,563466.0,1977100.0,1041533.0,3251100.0,-32.44,-16.18,-35.82,8.28,-3.05,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2025-08-01,2926444.0,608812.0,2272865.0,1242734.0,3151192.0,-29.74,-17.05,-32.51,8.62,-1.4,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2025-09-01,2255225.0,567149.0,1656101.0,1001357.0,2142122.0,-30.89,-19.29,-33.88,5.68,-2.56,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2025-10-01,2336872.0,685144.0,1635834.0,998197.0,1814406.0,-26.3,-15.15,-30.15,9.1,3.03,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2025-11-01,2246803.0,721566.0,1520100.0,1099750.0,1317865.0,-23.6,-12.11,-28.01,13.63,-9.03,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2025-12-01,2244432.0,718363.0,1520683.0,1212715.0,1559607.0,-25.02,-11.02,-30.17,12.87,-7.47,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2026-01-01,2098665.0,753441.0,1343404.0,1518568.0,1101559.0,-21.99,-12.84,-26.33,10.56,-0.31,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2026-02-01,1965884.0,749543.0,1215320.0,1360322.0,1140552.0,-12.45,-12.01,-12.72,6.79,5.93,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2026-03-01,2584339.0,934145.0,1645703.0,1629931.0,1313158.0,-6.38,-10.85,-3.63,3.46,4.42,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2026-04-01,2393095.0,805904.0,1578592.0,1383756.0,1454250.0,1.81,-7.11,7.25,2.67,6.87,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2026-05-01,2550542.0,703732.0,1803242.0,1151832.0,2225875.0,9.9,-3.25,16.07,3.33,13.03,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
2026-06-01,2274040.0,546456.0,1700485.0,906430.0,2956889.0,5.02,-1.2,7.08,0.2,6.11,"Statistics Canada table 24-10-0053 (WDS API), travellers, Canada total"
