city,dump_date,price_basis,listings_priced,median_price,median_price_entire,median_price_per_bedroom_entire,median_price_per_person_entire,median_price_1br_entire,median_accommodates_entire,mean_accommodates_entire,mean_bedrooms_entire,share_entire,share_bedrooms_ge4_entire,share_accommodates_ge6,share_superhost,share_instant_book,median_min_nights,mean_est_nights_booked_l365d
barcelona,2026-05-24,quote_per_night,12065,210.0,247.29,118.118,58.75,180.0,4.0,4.401,2.209,0.773,0.101,0.194,0.288,0.0,2.0,101.44
barcelona,2026-06-24,quote_per_night,13089,178.0,220.0,107.8,53.5,152.0,4.0,4.372,2.205,0.762,0.099,0.186,0.28,0.0,2.0,95.741
barcelona,2026-07-16,quote_per_night,12944,184.055,227.7,111.84,55.0,154.845,4.0,4.426,2.177,0.744,0.104,0.187,0.277,0.0,2.0,95.354
barcelona,2026-08-23,quote_per_night,12539,179.32,219.0,104.712,52.325,147.885,4.0,4.382,2.203,0.741,0.102,0.184,0.275,0.0,2.0,98.583
chicago,2025-03-11,listed_nightly,7568,138.0,156.0,90.75,37.0,134.0,4.0,5.037,2.006,0.771,0.097,0.291,0.421,0.387,2.0,96.333
chicago,2025-06-17,listed_nightly,7470,168.0,201.0,109.5,43.571,175.0,4.0,5.076,2.026,0.784,0.1,0.297,0.436,0.369,2.0,92.569
chicago,2025-09-22,listed_nightly,7604,152.0,176.0,98.0,39.5,155.0,4.0,5.122,2.052,0.805,0.105,0.306,0.465,0.371,2.0,96.232
chicago,2026-04-24,quote_per_night,4958,217.8,237.37,120.538,48.5,169.835,5.0,5.925,2.328,0.828,0.147,0.42,0.594,0.0,2.0,122.021
chicago,2026-05-26,quote_per_night,7198,219.635,247.1,132.322,54.0,185.125,5.0,5.464,2.227,0.785,0.123,0.342,0.529,0.0,2.0,103.413
chicago,2026-06-24,quote_per_night,7446,223.0,255.29,137.0,56.75,187.0,4.0,5.366,2.201,0.768,0.118,0.324,0.521,0.0,2.0,101.787
chicago,2026-07-20,quote_per_night,7286,235.5,270.355,142.667,58.433,197.43,5.0,5.452,2.226,0.775,0.123,0.332,0.516,0.0,2.0,104.784
chicago,2026-08-27,quote_per_night,7443,210.5,239.815,127.832,52.561,172.0,5.0,5.46,2.228,0.768,0.123,0.333,0.507,0.0,2.0,107.258
london,2025-09-14,listed_nightly,60775,135.0,173.0,113.0,47.5,135.0,4.0,4.202,1.769,0.687,0.066,0.175,0.235,0.364,2.0,63.996
london,2026-03-21,quote_per_night,50585,168.0,215.0,139.13,57.777,167.18,4.0,4.29,1.788,0.687,0.07,0.188,0.254,0.0,2.0,67.879
london,2026-04-19,quote_per_night,51653,172.5,219.5,142.0,59.0,172.0,4.0,4.289,1.788,0.691,0.07,0.187,0.256,0.0,2.0,67.342
london,2026-05-24,quote_per_night,54328,174.99,228.33,145.667,61.0,173.2,4.0,4.29,1.82,0.676,0.07,0.183,0.244,0.0,2.0,64.521
london,2026-06-19,quote_per_night,61036,180.0,238.0,152.43,64.18,181.0,4.0,4.264,1.819,0.678,0.07,0.18,0.243,0.0,2.0,64.092
london,2026-07-16,quote_per_night,60748,174.0,227.0,145.0,61.25,172.33,4.0,4.259,1.821,0.681,0.07,0.181,0.252,0.0,2.0,65.54
london,2026-08-18,quote_per_night,60891,168.0,217.105,139.0,58.5,166.29,4.0,4.273,1.822,0.677,0.07,0.181,0.249,0.0,2.0,65.883
los-angeles,2025-03-01,listed_nightly,35187,150.0,180.0,111.0,47.5,131.0,4.0,4.826,2.008,0.762,0.134,0.277,0.409,0.276,7.0,76.004
los-angeles,2025-06-17,listed_nightly,35695,161.0,195.0,118.0,50.0,138.0,4.0,4.804,2.011,0.762,0.132,0.277,0.43,0.275,7.0,74.288
los-angeles,2025-09-01,listed_nightly,36029,155.0,185.0,114.0,48.7,135.0,4.0,4.816,2.017,0.766,0.134,0.28,0.454,0.278,7.0,73.524
los-angeles,2026-03-16,quote_per_night,36429,205.41,254.02,145.368,62.167,169.07,4.0,4.887,2.047,0.753,0.139,0.287,0.424,0.0,4.0,73.081
los-angeles,2026-04-14,quote_per_night,35724,210.0,256.53,145.87,62.429,163.67,4.0,4.888,2.078,0.75,0.138,0.286,0.43,0.0,3.0,74.616
los-angeles,2026-05-23,quote_per_night,35513,219.1,269.5,151.05,65.217,173.41,4.0,4.894,2.103,0.749,0.137,0.287,0.432,0.0,3.0,74.977
los-angeles,2026-06-15,quote_per_night,37416,223.815,279.59,156.0,67.115,174.0,4.0,4.89,2.107,0.748,0.138,0.286,0.422,0.0,4.0,71.5
los-angeles,2026-07-12,quote_per_night,36514,219.0,272.705,152.631,65.678,173.5,4.0,4.897,2.107,0.748,0.137,0.288,0.425,0.0,3.0,73.191
los-angeles,2026-08-10,quote_per_night,36214,215.2,267.15,149.723,64.73,172.0,4.0,4.881,2.101,0.742,0.137,0.282,0.424,0.0,3.0,74.303
mexico-city,2025-06-25,listed_nightly,22586,1035.0,1262.0,880.0,384.75,1064.0,4.0,3.902,1.672,0.677,0.03,0.126,0.4,0.426,2.0,93.934
mexico-city,2025-09-27,listed_nightly,23025,1036.0,1239.0,850.0,373.75,1038.0,4.0,3.932,1.681,0.679,0.033,0.128,0.396,0.442,1.0,93.332
mexico-city,2026-03-30,quote_per_night,21810,1557.71,1839.96,1287.0,553.47,1547.205,4.0,3.987,1.689,0.711,0.036,0.14,0.461,0.0,1.0,98.068
mexico-city,2026-04-29,quote_per_night,22679,1535.03,1819.5,1261.0,543.75,1540.75,4.0,3.994,1.693,0.71,0.036,0.139,0.462,0.0,1.0,94.241
mexico-city,2026-05-29,quote_per_night,26251,1605.5,1954.27,1325.625,577.5,1609.5,4.0,4.006,1.721,0.675,0.037,0.136,0.431,0.0,1.0,88.413
mexico-city,2026-06-15,quote_per_night,28749,1735.0,2118.96,1426.67,626.0,1721.0,4.0,3.989,1.721,0.672,0.036,0.134,0.412,0.0,1.0,84.517
mexico-city,2026-07-14,quote_per_night,28451,1500.0,1810.835,1253.935,544.292,1503.225,4.0,4.014,1.726,0.671,0.038,0.135,0.443,0.0,1.0,86.627
mexico-city,2026-08-30,quote_per_night,27700,1510.925,1826.0,1258.75,544.5,1541.0,4.0,4.0,1.714,0.672,0.038,0.134,0.448,0.0,1.0,90.639
nashville,2024-06-22,listed_nightly,6529,176.0,182.0,93.0,31.25,133.0,6.0,6.781,2.301,0.928,0.19,0.563,0.641,0.472,2.0,
nashville,2024-09-18,listed_nightly,6668,168.0,175.0,90.0,30.286,131.0,6.0,6.669,2.266,0.918,0.191,0.542,0.626,0.489,2.0,
nashville,2024-12-21,listed_nightly,6410,130.0,136.0,71.0,23.7,98.0,6.0,6.809,2.327,0.921,0.206,0.558,0.606,0.507,2.0,
nashville,2025-03-15,listed_nightly,6435,153.0,157.0,81.0,26.786,115.0,6.0,6.773,2.28,0.914,0.196,0.554,0.599,0.515,2.0,116.615
nashville,2025-06-19,listed_nightly,6719,158.0,162.0,84.5,28.194,126.0,6.0,6.636,2.245,0.922,0.196,0.537,0.63,0.533,2.0,118.591
nashville,2025-09-23,listed_nightly,6498,158.0,163.0,80.25,26.75,118.0,6.0,7.238,2.485,0.931,0.254,0.597,0.664,0.534,2.0,122.967
nashville,2026-04-25,quote_per_night,5785,300.0,305.325,137.0,45.451,208.8,8.0,7.755,2.657,0.95,0.3,0.662,0.738,0.0,1.0,121.882
nashville,2026-05-26,quote_per_night,7825,312.05,315.0,142.667,46.79,211.12,7.0,7.79,2.71,0.933,0.301,0.652,0.692,0.0,1.0,107.026
nashville,2026-06-26,quote_per_night,9323,281.54,288.5,129.576,44.667,197.0,6.0,7.459,2.647,0.915,0.283,0.604,0.646,0.0,2.0,101.328
nashville,2026-07-21,quote_per_night,9157,278.18,285.0,127.643,44.078,196.0,6.0,7.485,2.658,0.92,0.286,0.609,0.621,0.0,2.0,103.106
nashville,2026-08-27,quote_per_night,8959,280.0,287.0,132.985,45.0,199.0,6.0,7.481,2.667,0.918,0.286,0.607,0.627,0.0,2.0,104.082
new-orleans,2025-06-09,listed_nightly,6202,134.0,135.0,73.0,31.0,92.0,4.0,5.358,2.329,0.89,0.159,0.408,0.478,0.487,2.0,123.244
new-orleans,2025-09-11,listed_nightly,6069,132.0,133.0,71.333,30.75,90.0,4.0,5.381,2.328,0.88,0.156,0.407,0.476,0.498,3.0,126.975
new-orleans,2026-03-19,quote_per_night,5883,218.5,220.375,118.0,51.184,157.185,4.0,5.145,2.302,0.84,0.144,0.389,0.506,0.0,2.0,119.705
new-orleans,2026-04-18,quote_per_night,3678,291.08,298.7,147.25,65.75,196.8,4.0,5.463,2.457,0.834,0.182,0.436,0.62,0.0,1.0,152.533
new-orleans,2026-05-23,quote_per_night,5974,202.5,203.0,106.195,47.033,141.0,4.0,5.189,2.332,0.827,0.149,0.393,0.502,0.0,2.0,118.825
new-orleans,2026-06-16,quote_per_night,6288,193.0,192.86,100.0,45.325,139.23,4.0,5.143,2.337,0.8,0.144,0.385,0.483,0.0,2.0,111.602
new-orleans,2026-07-15,quote_per_night,6132,193.0,195.0,102.58,46.5,143.585,4.0,5.181,2.342,0.812,0.151,0.387,0.508,0.0,2.0,113.319
new-orleans,2026-08-15,quote_per_night,6195,191.66,194.935,102.168,46.25,132.815,4.0,5.206,2.355,0.798,0.156,0.379,0.498,0.0,2.0,113.256
new-york-city,2025-10-01,listed_nightly,20751,152.0,209.0,152.0,68.0,192.0,3.0,3.544,1.486,0.57,0.032,0.094,0.304,0.242,30.0,73.506
new-york-city,2026-03-16,quote_per_night,21003,160.31,197.37,149.253,65.9,181.57,3.0,3.633,1.496,0.535,0.033,0.1,0.301,0.0,30.0,72.902
new-york-city,2026-04-14,quote_per_night,20277,167.25,204.64,149.718,67.6,182.53,3.0,3.654,1.581,0.534,0.034,0.102,0.298,0.0,30.0,74.127
new-york-city,2026-05-14,quote_per_night,19666,174.65,216.97,153.0,70.795,190.39,3.0,3.663,1.623,0.532,0.037,0.106,0.303,0.0,30.0,74.463
new-york-city,2026-06-08,quote_per_night,4395,342.4,425.58,270.765,117.41,346.425,4.0,4.503,1.879,0.337,0.063,0.163,0.457,0.0,1.0,158.733
new-york-city,2026-06-14,quote_per_night,21084,174.67,221.27,154.517,71.712,193.6,3.0,3.657,1.623,0.538,0.037,0.105,0.306,0.0,30.0,70.339
new-york-city,2026-07-12,quote_per_night,19668,174.22,216.3,153.208,70.25,191.47,3.0,3.669,1.628,0.539,0.038,0.106,0.283,0.0,30.0,72.51
new-york-city,2026-08-10,quote_per_night,19921,175.3,209.15,150.47,69.142,187.25,3.0,3.645,1.618,0.534,0.037,0.103,0.279,0.0,30.0,73.504
paris,2023-12-12,listed_nightly,65789,129.0,130.0,92.0,47.5,105.0,3.0,3.272,1.653,0.881,0.033,0.096,0.174,0.249,3.0,
paris,2024-03-16,listed_nightly,59711,156.0,160.0,128.0,54.125,136.0,3.0,3.468,1.395,0.905,0.025,0.125,0.199,0.245,3.0,
paris,2024-06-10,listed_nightly,73111,164.0,170.0,134.0,56.667,144.0,3.0,3.476,1.4,0.914,0.025,0.124,0.184,0.246,3.0,
paris,2024-09-06,listed_nightly,62989,155.0,160.0,128.0,53.0,137.0,3.0,3.463,1.372,0.903,0.022,0.121,0.199,0.284,2.0,
paris,2024-12-06,listed_nightly,58915,150.0,150.0,121.0,50.0,130.0,3.0,3.455,1.373,0.902,0.023,0.122,0.218,0.303,3.0,
paris,2025-03-03,listed_nightly,54618,146.0,150.0,120.0,50.0,127.0,3.0,3.475,1.38,0.903,0.024,0.127,0.255,0.311,3.0,77.694
paris,2025-06-06,listed_nightly,52920,161.0,165.0,130.0,54.5,138.0,3.0,3.495,1.399,0.905,0.026,0.131,0.262,0.311,3.0,81.095
paris,2026-03-21,quote_per_night,35233,226.0,235.0,182.918,74.25,196.0,4.0,3.69,1.44,0.887,0.029,0.156,0.308,0.0,2.0,94.736
paris,2026-04-19,quote_per_night,36398,223.0,230.2,179.5,72.75,194.0,4.0,3.687,1.442,0.894,0.029,0.157,0.31,0.0,2.0,94.994
paris,2026-05-23,quote_per_night,36833,236.8,245.0,188.0,77.375,196.0,4.0,3.686,1.512,0.892,0.029,0.156,0.303,0.0,2.0,92.834
paris,2026-06-16,quote_per_night,47406,205.5,213.0,168.5,70.0,172.75,3.0,3.502,1.458,0.891,0.025,0.134,0.298,0.0,2.0,89.722
paris,2026-07-15,quote_per_night,47747,190.33,199.0,157.5,65.466,163.97,3.0,3.501,1.456,0.892,0.025,0.133,0.302,0.0,2.0,88.589
paris,2026-08-15,quote_per_night,46466,185.5,194.92,154.13,63.875,160.0,3.0,3.507,1.454,0.881,0.025,0.133,0.299,0.0,2.0,89.086
rome,2022-12-13,listed_nightly,23874,92.0,100.0,75.0,27.5,87.0,4.0,4.328,1.637,0.684,0.034,0.162,0.293,0.575,2.0,
rome,2023-03-15,listed_nightly,24438,105.0,119.0,85.125,31.25,99.0,4.0,4.319,1.632,0.691,0.033,0.162,0.297,0.572,2.0,
rome,2023-06-10,listed_nightly,25736,134.0,148.0,104.5,39.75,124.0,4.0,4.275,1.637,0.703,0.032,0.16,0.234,0.562,2.0,
rome,2023-09-07,listed_nightly,27488,135.0,149.0,105.417,39.833,125.0,4.0,4.258,1.628,0.705,0.03,0.159,0.306,0.543,2.0,
rome,2023-12-15,listed_nightly,26886,105.0,115.0,61.0,31.0,90.0,4.0,4.272,2.107,0.724,0.093,0.163,0.344,0.554,2.0,
rome,2024-03-22,listed_nightly,26180,125.0,136.0,100.0,36.5,115.0,4.0,4.253,1.594,0.75,0.027,0.166,0.358,0.571,2.0,
rome,2024-06-15,listed_nightly,28129,144.0,154.0,115.0,42.0,131.0,4.0,4.225,1.586,0.761,0.025,0.167,0.364,0.57,2.0,
rome,2024-09-11,listed_nightly,29702,142.0,150.0,110.5,40.5,130.0,4.0,4.228,1.59,0.767,0.025,0.167,0.371,0.579,2.0,
rome,2024-12-12,listed_nightly,31046,104.0,111.0,83.0,30.0,97.0,4.0,4.238,1.595,0.774,0.026,0.168,0.365,0.587,2.0,
rome,2025-03-05,listed_nightly,30384,112.0,119.0,88.0,32.0,102.0,4.0,4.255,1.6,0.781,0.026,0.171,0.37,0.61,2.0,89.243
rome,2025-06-12,listed_nightly,31956,133.0,141.0,103.0,37.75,120.0,4.0,4.266,1.606,0.783,0.026,0.173,0.366,0.612,2.0,87.097
rome,2025-09-14,listed_nightly,32902,133.0,140.0,101.0,37.2,120.0,4.0,4.272,1.606,0.78,0.026,0.173,0.391,0.621,2.0,86.746
rome,2026-03-24,quote_per_night,28981,171.98,188.5,136.94,49.788,160.0,4.0,4.337,1.627,0.789,0.027,0.182,0.456,0.0,1.0,91.164
rome,2026-04-20,quote_per_night,28518,187.0,201.0,144.0,52.5,173.46,4.0,4.326,1.626,0.811,0.027,0.187,0.468,0.0,1.0,93.641
rome,2026-05-25,quote_per_night,33096,180.0,196.0,142.255,51.5,168.54,4.0,4.304,1.636,0.764,0.028,0.174,0.437,0.0,1.0,88.288
rome,2026-06-20,quote_per_night,33633,161.8,180.0,130.0,47.555,152.0,4.0,4.293,1.634,0.76,0.028,0.172,0.43,0.0,1.0,88.047
rome,2026-07-18,quote_per_night,33453,149.5,165.0,120.0,43.875,140.0,4.0,4.295,1.634,0.761,0.027,0.173,0.433,0.0,1.0,88.979
rome,2026-08-25,quote_per_night,32335,158.33,176.0,126.47,46.323,150.0,4.0,4.3,1.636,0.751,0.028,0.172,0.432,0.0,1.0,89.936
san-diego,2025-03-16,listed_nightly,11489,183.0,199.0,115.0,46.0,132.0,4.0,5.458,2.073,0.861,0.132,0.385,0.503,0.375,2.0,96.976
san-diego,2025-06-21,listed_nightly,11272,209.0,233.0,133.333,53.25,148.0,5.0,5.491,2.093,0.876,0.136,0.39,0.518,0.372,2.0,99.445
san-diego,2025-09-25,listed_nightly,11073,175.0,191.0,110.667,44.25,129.0,4.0,5.508,2.094,0.874,0.137,0.388,0.529,0.379,2.0,102.307
san-diego,2026-04-26,quote_per_night,10849,265.33,287.105,157.0,61.8,183.0,5.0,5.619,2.153,0.859,0.144,0.402,0.587,0.0,2.0,101.477
san-diego,2026-05-27,quote_per_night,11027,298.67,326.16,174.87,69.467,197.0,5.0,5.633,2.202,0.849,0.144,0.406,0.582,0.0,2.0,101.282
san-diego,2026-06-27,quote_per_night,11616,322.67,358.0,192.225,76.074,206.32,5.0,5.6,2.197,0.85,0.144,0.4,0.572,0.0,2.0,97.998
san-diego,2026-07-21,quote_per_night,11512,333.0,361.0,192.99,75.267,212.88,5.0,5.593,2.195,0.847,0.143,0.4,0.579,0.0,2.0,98.623
san-diego,2026-08-29,quote_per_night,11158,271.0,293.15,159.266,63.167,188.0,5.0,5.6,2.196,0.834,0.143,0.395,0.57,0.0,2.0,100.843
sydney,2026-03-21,quote_per_night,13214,350.0,395.0,239.0,105.582,297.0,4.0,4.576,2.019,0.817,0.119,0.255,0.399,0.0,2.0,81.749
sydney,2026-04-18,quote_per_night,13432,331.0,372.515,225.38,99.195,280.0,4.0,4.591,2.024,0.822,0.12,0.258,0.397,0.0,2.0,81.9
sydney,2026-05-23,quote_per_night,14263,315.0,361.0,215.68,96.0,265.0,4.0,4.592,2.071,0.801,0.122,0.253,0.384,0.0,2.0,78.193
sydney,2026-06-16,quote_per_night,17421,291.0,341.0,203.5,90.75,255.39,4.0,4.561,2.079,0.783,0.124,0.243,0.347,0.0,2.0,70.384
sydney,2026-07-15,quote_per_night,17449,299.67,348.0,208.5,92.535,260.49,4.0,4.571,2.077,0.785,0.125,0.245,0.356,0.0,2.0,70.346
sydney,2026-08-15,quote_per_night,17408,311.33,363.0,217.0,95.875,270.0,4.0,4.608,2.093,0.785,0.128,0.251,0.36,0.0,2.0,70.958
