year,case,ai_referred_share_of_gbv,referral_fee_pct_of_gbv,revenue_musd,cost_musd,cost_pct_revenue,cost_pct_adj_ebitda,note
2027,low,0.01,0.05,15490.0,59.0,0.38,1.05,"Cost if that share of GBV arrives via a paid AI referral instead of direct/app. Anchors: Booking <1% of room nights from AI tools (Q2'26); T2 ~3% of bookings AI-native in 12-24 months; Airbnb 90% direct/unpaid, app 64% of nights (Q2'26); metasearch CPC economics 3-8% of booking value (analyst assumption)"
2027,low,0.01,0.08,15490.0,94.0,0.61,1.69,"Cost if that share of GBV arrives via a paid AI referral instead of direct/app. Anchors: Booking <1% of room nights from AI tools (Q2'26); T2 ~3% of bookings AI-native in 12-24 months; Airbnb 90% direct/unpaid, app 64% of nights (Q2'26); metasearch CPC economics 3-8% of booking value (analyst assumption)"
2027,mid,0.03,0.03,15490.0,106.0,0.68,1.9,"Cost if that share of GBV arrives via a paid AI referral instead of direct/app. Anchors: Booking <1% of room nights from AI tools (Q2'26); T2 ~3% of bookings AI-native in 12-24 months; Airbnb 90% direct/unpaid, app 64% of nights (Q2'26); metasearch CPC economics 3-8% of booking value (analyst assumption)"
2027,mid,0.03,0.05,15490.0,176.0,1.14,3.16,"Cost if that share of GBV arrives via a paid AI referral instead of direct/app. Anchors: Booking <1% of room nights from AI tools (Q2'26); T2 ~3% of bookings AI-native in 12-24 months; Airbnb 90% direct/unpaid, app 64% of nights (Q2'26); metasearch CPC economics 3-8% of booking value (analyst assumption)"
2027,mid,0.03,0.08,15490.0,282.0,1.82,5.06,"Cost if that share of GBV arrives via a paid AI referral instead of direct/app. Anchors: Booking <1% of room nights from AI tools (Q2'26); T2 ~3% of bookings AI-native in 12-24 months; Airbnb 90% direct/unpaid, app 64% of nights (Q2'26); metasearch CPC economics 3-8% of booking value (analyst assumption)"
2027,high,0.06,0.03,15490.0,212.0,1.37,3.8,"Cost if that share of GBV arrives via a paid AI referral instead of direct/app. Anchors: Booking <1% of room nights from AI tools (Q2'26); T2 ~3% of bookings AI-native in 12-24 months; Airbnb 90% direct/unpaid, app 64% of nights (Q2'26); metasearch CPC economics 3-8% of booking value (analyst assumption)"
2027,high,0.06,0.05,15490.0,353.0,2.28,6.33,"Cost if that share of GBV arrives via a paid AI referral instead of direct/app. Anchors: Booking <1% of room nights from AI tools (Q2'26); T2 ~3% of bookings AI-native in 12-24 months; Airbnb 90% direct/unpaid, app 64% of nights (Q2'26); metasearch CPC economics 3-8% of booking value (analyst assumption)"
2027,high,0.06,0.08,15490.0,564.0,3.64,10.12,"Cost if that share of GBV arrives via a paid AI referral instead of direct/app. Anchors: Booking <1% of room nights from AI tools (Q2'26); T2 ~3% of bookings AI-native in 12-24 months; Airbnb 90% direct/unpaid, app 64% of nights (Q2'26); metasearch CPC economics 3-8% of booking value (analyst assumption)"
2028,low,0.02,0.03,17194.0,79.0,0.46,1.28,"Cost if that share of GBV arrives via a paid AI referral instead of direct/app. Anchors: Booking <1% of room nights from AI tools (Q2'26); T2 ~3% of bookings AI-native in 12-24 months; Airbnb 90% direct/unpaid, app 64% of nights (Q2'26); metasearch CPC economics 3-8% of booking value (analyst assumption)"
2028,low,0.02,0.05,17194.0,132.0,0.77,2.13,"Cost if that share of GBV arrives via a paid AI referral instead of direct/app. Anchors: Booking <1% of room nights from AI tools (Q2'26); T2 ~3% of bookings AI-native in 12-24 months; Airbnb 90% direct/unpaid, app 64% of nights (Q2'26); metasearch CPC economics 3-8% of booking value (analyst assumption)"
2028,low,0.02,0.08,17194.0,211.0,1.23,3.4,"Cost if that share of GBV arrives via a paid AI referral instead of direct/app. Anchors: Booking <1% of room nights from AI tools (Q2'26); T2 ~3% of bookings AI-native in 12-24 months; Airbnb 90% direct/unpaid, app 64% of nights (Q2'26); metasearch CPC economics 3-8% of booking value (analyst assumption)"
2028,mid,0.05,0.03,17194.0,198.0,1.15,3.19,"Cost if that share of GBV arrives via a paid AI referral instead of direct/app. Anchors: Booking <1% of room nights from AI tools (Q2'26); T2 ~3% of bookings AI-native in 12-24 months; Airbnb 90% direct/unpaid, app 64% of nights (Q2'26); metasearch CPC economics 3-8% of booking value (analyst assumption)"
2028,mid,0.05,0.05,17194.0,329.0,1.92,5.32,"Cost if that share of GBV arrives via a paid AI referral instead of direct/app. Anchors: Booking <1% of room nights from AI tools (Q2'26); T2 ~3% of bookings AI-native in 12-24 months; Airbnb 90% direct/unpaid, app 64% of nights (Q2'26); metasearch CPC economics 3-8% of booking value (analyst assumption)"
2028,mid,0.05,0.08,17194.0,527.0,3.06,8.51,"Cost if that share of GBV arrives via a paid AI referral instead of direct/app. Anchors: Booking <1% of room nights from AI tools (Q2'26); T2 ~3% of bookings AI-native in 12-24 months; Airbnb 90% direct/unpaid, app 64% of nights (Q2'26); metasearch CPC economics 3-8% of booking value (analyst assumption)"
2028,high,0.1,0.03,17194.0,395.0,2.3,6.38,"Cost if that share of GBV arrives via a paid AI referral instead of direct/app. Anchors: Booking <1% of room nights from AI tools (Q2'26); T2 ~3% of bookings AI-native in 12-24 months; Airbnb 90% direct/unpaid, app 64% of nights (Q2'26); metasearch CPC economics 3-8% of booking value (analyst assumption)"
2028,high,0.1,0.05,17194.0,659.0,3.83,10.64,"Cost if that share of GBV arrives via a paid AI referral instead of direct/app. Anchors: Booking <1% of room nights from AI tools (Q2'26); T2 ~3% of bookings AI-native in 12-24 months; Airbnb 90% direct/unpaid, app 64% of nights (Q2'26); metasearch CPC economics 3-8% of booking value (analyst assumption)"
2028,high,0.1,0.08,17194.0,1054.0,6.13,17.02,"Cost if that share of GBV arrives via a paid AI referral instead of direct/app. Anchors: Booking <1% of room nights from AI tools (Q2'26); T2 ~3% of bookings AI-native in 12-24 months; Airbnb 90% direct/unpaid, app 64% of nights (Q2'26); metasearch CPC economics 3-8% of booking value (analyst assumption)"
