output,cell_reference,excel_value,python_value,evaluator_value,abs_diff,rel_diff,excel_vs_evaluator_rel,python_value_as_written_to_13_reconciliation_csv,pass
Bear FY2027 adj. EBITDA ($M),Costs!$E$21,4026.92727853824,4026.9272785382373,4026.9272785382373,2.7284841053187847e-12,6.775598158577164e-16,6.775598158577164e-16,4026.9273,yes
Bear FY2027 adj. EBITDA margin,Costs!$E$22,0.283966901104582,0.2839669011045817,0.2839669011045817,2.7755575615628914e-16,9.774229147011338e-16,9.774229147011338e-16,0.284,yes
Bear FY2027 net income ($M),Costs!$E$32,1754.26144797595,1754.2614479759527,1754.2614479759527,2.7284841053187847e-12,1.5553463301988876e-15,1.5553463301988876e-15,1754.2614,yes
Bear FY2027 FCF ($M),Cash!$E$14,3531.34493417364,3531.344934173636,3531.344934173636,4.092726157978177e-12,1.158970940043812e-15,1.158970940043812e-15,3531.3449,yes
Bear FY2027 SBC-adj FCF ($M),Cash!$E$18,1440.63053417364,1440.630534173636,1440.630534173636,3.865352482534945e-12,2.6830977067636218e-15,2.6830977067636218e-15,1440.6305,yes
Bear FY2027 diluted shares (M),Cash!$E$23,580.42933337521,580.42933337521,580.42933337521,0.0,0.0,0.0,580.4293,yes
Bear FY2027 FCF per share ($),Cash!$E$24,6.08402217310208,6.0840221731020785,6.0840221731020785,1.7763568394002505e-15,2.919708030081905e-16,2.919708030081905e-16,6.084,yes
Bear FY2027 net cash ($M),Cash!$E$27,8592.59477345267,8592.594773452674,8592.594773452674,3.637978807091713e-12,4.2338535716026804e-16,4.2338535716026804e-16,8592.5948,yes
Bear FY2028 revenue ($M),Revenue!$K$36,14967.5726760178,14967.572676017833,14967.572676017831,3.2741809263825417e-11,2.1875163042493053e-15,2.0659876206798998e-15,14967.5727,yes
Bear FY2028 nights (M),Revenue!$K$22,638.281419332217,638.2814193322168,638.2814193322168,1.1368683772161603e-13,1.7811397023049414e-16,1.7811397023049414e-16,638.2814,yes
Bear FY2028 GBV ($M),Revenue!$K$28,113949.508015111,113949.5080151113,113949.50801511129,3.055902197957039e-10,2.681803766587376e-15,2.5540988253213106e-15,113949.508,yes
Bear FY2028 adj. EBITDA ($M),Costs!$F$21,3812.3198034601,3812.3198034601005,3812.3198034601005,4.547473508864641e-13,1.1928363157616807e-16,1.1928363157616807e-16,3812.3198,yes
Bear FY2028 adj. EBITDA margin,Costs!$F$22,0.254705280941678,0.25470528094167766,0.2547052809416777,3.3306690738754696e-16,1.3076560727604706e-15,1.0897133939670587e-15,0.2547,yes
Bear FY2028 net income ($M),Costs!$F$32,1349.32910188699,1349.3291018869927,1349.3291018869927,2.7284841053187847e-12,2.0221042453639286e-15,2.0221042453639286e-15,1349.3291,yes
Bear FY2028 FCF ($M),Cash!$F$14,3121.62214346284,3121.622143462835,3121.622143462835,5.002220859751105e-12,1.6024427781006519e-15,1.6024427781006519e-15,3121.6221,yes
Bear FY2028 SBC-adj FCF ($M),Cash!$F$18,780.022015462835,780.022015462835,780.022015462835,0.0,0.0,0.0,780.022,yes
Bear FY2028 diluted shares (M),Cash!$F$23,573.061227337412,573.0612273374118,573.0612273374118,2.2737367544323206e-13,3.967703006180821e-16,3.967703006180821e-16,573.0612,yes
Bear FY2028 FCF per share ($),Cash!$F$24,5.44727508082633,5.447275080826329,5.447275080826329,8.881784197001252e-16,1.6305003997804203e-16,1.6305003997804203e-16,5.4473,yes
Bear FY2028 net cash ($M),Cash!$F$27,7894.65687211551,7894.656872115509,7894.656872115509,9.094947017729282e-13,1.1520382918544925e-16,1.1520382918544925e-16,7894.6569,yes
Bear 3Q26 revenue ($M),Revenue!$C$36,4632.35514210717,4632.355142107168,4632.355142107168,1.8189894035458565e-12,3.926705418182668e-16,3.926705418182668e-16,4632.3551,yes
Bear 3Q26 nights (M),Revenue!$C$22,144.1759621048,144.1759621048,144.1759621048,0.0,0.0,0.0,144.176,yes
Bear 3Q26 ADR ($),Revenue!$C$26,176.1135264,176.1135264,176.1135264,0.0,0.0,0.0,176.1135,yes
Bear 3Q26 adj. EBITDA ($M),Revenue!$C$41,2237.42753363776,2237.427533637762,2237.427533637762,1.8189894035458565e-12,8.129824882365776e-16,8.129824882365776e-16,2237.4275,yes
Bear 3Q26 adj. EBITDA margin,Revenue!$C$40,0.483,0.483,0.483,0.0,0.0,0.0,0.483,yes
Bear 4Q26 revenue ($M),Revenue!$D$36,3014.99381880667,3014.993818806672,3014.993818806672,2.2737367544323206e-12,7.541430898628709e-16,7.541430898628709e-16,3014.9938,yes
Bear 4Q26 nights (M),Revenue!$D$22,130.421418891109,130.4214188911089,130.4214188911089,8.526512829121202e-14,6.53766298635359e-16,6.53766298635359e-16,130.4214,yes
Bear 4Q26 ADR ($),Revenue!$D$26,168.43398516,168.43398516,168.43398516,0.0,0.0,0.0,168.434,yes
Bear 4Q26 adj. EBITDA ($M),Revenue!$D$41,798.973361983768,798.9733619837681,798.9733619837682,1.1368683772161603e-13,1.4229114903073038e-16,2.845822980614607e-16,798.9734,yes
Bear 4Q26 adj. EBITDA margin,Revenue!$D$40,0.265,0.265,0.265,0.0,0.0,0.0,0.265,yes
Bear 1Q27 revenue ($M),Revenue!$E$36,2766.39585934001,2766.3958593400084,2766.3958593400084,1.3642420526593924e-12,4.931478074814878e-16,4.931478074814878e-16,2766.3959,yes
Bear 1Q27 nights (M),Revenue!$E$22,164.8360037192,164.83600371920002,164.83600371920002,2.842170943040401e-14,1.724241597049435e-16,1.724241597049435e-16,164.836,yes
Bear 1Q27 ADR ($),Revenue!$E$26,183.63135624,183.63135623999997,183.63135623999997,2.842170943040401e-14,1.5477590544644123e-16,1.5477590544644123e-16,183.6314,yes
Bear 1Q27 adj. EBITDA ($M),Revenue!$E$41,368.44079687913,368.44079687913,368.44079687913,0.0,0.0,0.0,368.4408,yes
Bear 1Q27 adj. EBITDA margin,Revenue!$E$40,0.133184408744391,0.13318440874439083,0.13318440874439083,1.6653345369377348e-16,1.2503975147225103e-15,1.2503975147225103e-15,0.1332,yes
Bear 2Q27 revenue ($M),Revenue!$F$36,3719.32987190117,3719.3298719011686,3719.3298719011686,1.3642420526593924e-12,3.6679781026307497e-16,3.6679781026307497e-16,3719.3299,yes
Bear 2Q27 nights (M),Revenue!$F$22,156.504741737638,156.50474173763763,156.50474173763763,3.694822225952521e-13,2.3608372404118343e-15,2.3608372404118343e-15,156.5047,yes
Bear 2Q27 ADR ($),Revenue!$F$26,180.35285887,180.35285886999998,180.35285886999998,2.842170943040401e-14,1.5758945884462324e-16,1.5758945884462324e-16,180.3529,yes
Bear 2Q27 adj. EBITDA ($M),Revenue!$F$41,1075.57220993109,1075.5722099310904,1075.5722099310904,4.547473508864641e-13,4.227957422920018e-16,4.227957422920018e-16,1075.5722,yes
Bear 2Q27 adj. EBITDA margin,Revenue!$F$40,0.289184408744391,0.28918440874439083,0.28918440874439083,1.6653345369377348e-16,5.758728640207286e-16,5.758728640207286e-16,0.2892,yes
Bear 3Q27 revenue ($M),Revenue!$G$36,4640.66296855014,4640.662968550142,4640.662968550142,1.8189894035458565e-12,3.9196757357153085e-16,3.9196757357153085e-16,4640.663,yes
Bear 3Q27 nights (M),Revenue!$G$22,152.152550863975,152.15255086397465,152.15255086397465,3.410605131648481e-13,2.241569472402455e-15,2.241569472402455e-15,152.1526,yes
Bear 3Q27 ADR ($),Revenue!$G$26,173.641244716397,173.64124471639678,173.64124471639678,2.2737367544323206e-13,1.3094450907363317e-15,1.3094450907363317e-15,173.6412,yes
Bear 3Q27 adj. EBITDA ($M),Revenue!$G$41,1959.21555155933,1959.215551559331,1959.2155515593313,1.1368683772161603e-12,5.802671259481029e-16,6.963205511377234e-16,1959.2156,yes
Bear 3Q27 adj. EBITDA margin,Revenue!$G$40,0.422184408744391,0.4221844087443907,0.42218440874439084,2.7755575615628914e-16,6.574277742320266e-16,3.9445666453921596e-16,0.4222,yes
Bear 4Q27 revenue ($M),Revenue!$H$36,3054.58543090558,3054.5854309055776,3054.5854309055776,2.2737367544323206e-12,7.44368362209544e-16,7.44368362209544e-16,3054.5854,yes
Bear 4Q27 nights (M),Revenue!$H$22,137.729546527771,137.72954652777105,137.72954652777105,5.684341886080802e-14,4.127176796399777e-16,4.127176796399777e-16,137.7295,yes
Bear 4Q27 ADR ($),Revenue!$H$26,167.889774953948,167.88977495394803,167.88977495394803,2.842170943040401e-14,1.6928791189457516e-16,1.6928791189457516e-16,167.8898,yes
Bear 4Q27 adj. EBITDA ($M),Revenue!$H$41,623.698720168686,623.6987201686857,623.6987201686858,3.410605131648481e-13,5.468353583804126e-16,3.645569055869417e-16,623.6987,yes
Bear 4Q27 adj. EBITDA margin,Revenue!$H$40,0.204184408744391,0.2041844087443908,0.20418440874439087,1.942890293094024e-16,9.515370468497613e-16,6.79669319178401e-16,0.2042,yes
Bear Football field low,Valuation!$B$43,37.2301273730344,37.23012737303444,37.23012737303444,4.263256414560601e-14,1.1451092744980647e-15,1.1451092744980647e-15,37.2301,yes
Bear Football field high,Valuation!$B$44,108.464733626792,108.46473362679247,108.46473362679247,4.689582056016661e-13,4.32360076792579e-15,4.32360076792579e-15,108.4647,yes
Bear Football field mean,Valuation!$B$45,75.9507107448267,75.95071074482665,75.95071074482665,4.263256414560601e-14,5.61318830693232e-16,5.61318830693232e-16,75.9507,yes
"Bear price: EV / adj. EBITDA, FY27E",Valuation!$B$19,108.464733626792,108.46473362679247,108.46473362679247,4.689582056016661e-13,4.32360076792579e-15,4.32360076792579e-15,108.4647,yes
"Bear price: EV / FCF, FY27E",Valuation!$B$20,83.5533108700844,83.55331087008436,83.55331087008436,4.263256414560601e-14,5.102438634884815e-16,5.102438634884815e-16,83.5533,yes
"Bear price: P / SBC-adjusted FCF, FY27E",Valuation!$B$21,37.2301273730344,37.23012737303444,37.23012737303444,4.263256414560601e-14,1.1451092744980647e-15,1.1451092744980647e-15,37.2301,yes
"Bear price: P / earnings proxy, FY27E",Valuation!$B$22,45.3352720246291,45.33527202462913,45.33527202462913,2.842170943040401e-14,6.269226622256386e-16,6.269226622256386e-16,45.3353,yes
"Bear price: EV / adj. EBITDA, FY28E",Valuation!$B$23,103.585745095045,103.58574509504518,103.58574509504518,1.8474111129762605e-13,1.783460756382229e-15,1.783460756382229e-15,103.5857,yes
Bear price: DCF on FCF,Valuation!$B$39,77.5350754793743,77.53507547937431,77.53507547937431,1.4210854715202004e-14,1.832829158589307e-16,1.832829158589307e-16,77.5351,yes
Base FY2026 revenue ($M),Revenue!$I$77,14232.5318024691,14232.53180246914,14232.53180246914,4.001776687800884e-11,2.811711045751279e-15,2.811711045751279e-15,14232.5318,yes
Base FY2026 nights (M),Revenue!$I$63,585.697268556348,585.6972685563485,585.6972685563485,4.547473508864641e-13,7.764204740229448e-16,7.764204740229448e-16,585.6973,yes
Base FY2026 GBV ($M),Revenue!$I$69,105614.330217098,105614.33021709757,105614.33021709757,4.3655745685100555e-10,4.133505897860922e-15,4.133505897860922e-15,105614.3302,yes
Base FY2026 adj. EBITDA ($M),Costs!$D$51,5158.03561668831,5158.035616688309,5158.035616688309,9.094947017729282e-13,1.7632578938197882e-16,1.7632578938197882e-16,5158.0356,yes
Base FY2026 adj. EBITDA margin,Costs!$D$52,0.362411669847347,0.36241166984734674,0.36241166984734674,2.7755575615628914e-16,7.658576675337182e-16,7.658576675337182e-16,0.3624,yes
Base FY2026 net income ($M),Costs!$D$62,3064.56439267753,3064.5643926775306,3064.5643926775306,4.547473508864641e-13,1.4838890381061573e-16,1.4838890381061573e-16,3064.5644,yes
Base FY2026 FCF ($M),Cash!$D$39,5128.73434458954,5128.734344589543,5128.734344589543,2.7284841053187847e-12,5.319994996810753e-16,5.319994996810753e-16,5128.7343,yes
Base FY2026 SBC-adj FCF ($M),Cash!$D$43,3342.20434458954,3342.2043445895433,3342.2043445895433,3.183231456205249e-12,9.524347191273196e-16,9.524347191273196e-16,3342.2043,yes
Base FY2026 diluted shares (M),Cash!$D$48,588.850030229746,588.8500302297462,588.8500302297462,1.1368683772161603e-13,1.930658603808849e-16,1.930658603808849e-16,588.85,yes
Base FY2026 FCF per share ($),Cash!$D$49,8.70974625336864,8.709746253368642,8.709746253368642,1.7763568394002505e-15,2.039504697066478e-16,2.039504697066478e-16,8.7097,yes
Base FY2026 net cash ($M),Cash!$D$52,9383.44884458954,9383.448844589542,9383.448844589542,1.8189894035458565e-12,1.9385083604890948e-16,1.9385083604890948e-16,9383.4488,yes
Base FY2027 revenue ($M),Revenue!$J$77,15842.0359105105,15842.035910510536,15842.035910510534,3.637978807091713e-11,2.2964086356337977e-15,2.181588203852108e-15,15842.0359,yes
Base FY2027 nights (M),Revenue!$J$63,637.644504969055,637.644504969055,637.6445049690549,0.0,0.0,1.78291880249377e-16,637.6445,yes
Base FY2027 GBV ($M),Revenue!$J$69,118081.260491645,118081.2604916455,118081.26049164549,5.093170329928398e-10,4.313275712608734e-15,4.1900392636770565e-15,118081.2605,yes
Base FY2027 adj. EBITDA ($M),Costs!$E$51,5685.7698050303,5685.769805030302,5685.769805030301,2.7284841053187847e-12,4.798794532456882e-16,1.5995981774856277e-16,5685.7698,yes
Base FY2027 adj. EBITDA margin,Costs!$E$52,0.358903984131107,0.3589039841311071,0.358903984131107,5.551115123125783e-17,1.5466852887032786e-16,0.0,0.3589,yes
Base FY2027 net income ($M),Costs!$E$62,3258.40678546857,3258.406785468567,3258.4067854685654,3.183231456205249e-12,9.769288077846576e-16,1.395612582549511e-15,3258.4068,yes
Base FY2027 FCF ($M),Cash!$E$39,5420.35208132579,5420.3520813257965,5420.352081325795,6.366462912410498e-12,1.1745478553587401e-15,8.389627538276718e-16,5420.3521,yes
Base FY2027 SBC-adj FCF ($M),Cash!$E$43,3455.16908132579,3455.1690813257965,3455.1690813257947,6.366462912410498e-12,1.8425908436201904e-15,1.3161363168715652e-15,3455.1691,yes
Base FY2027 diluted shares (M),Cash!$E$48,574.598178232489,574.5981782324891,574.5981782324891,1.1368683772161603e-13,1.9785450429259283e-16,1.9785450429259283e-16,574.5982,yes
Base FY2027 FCF per share ($),Cash!$E$49,9.43329144899004,9.433291448990044,9.43329144899004,3.552713678800501e-15,3.7661442965179084e-16,0.0,9.4333,yes
Base FY2027 net cash ($M),Cash!$E$52,10115.9868759153,10115.98687591534,10115.986875915338,4.001776687800884e-11,3.955893514777603e-15,3.776080173196804e-15,10115.9869,yes
Base FY2028 revenue ($M),Revenue!$K$77,17943.6186605234,17943.618660523407,17943.618660523403,7.275957614183426e-12,4.054899823629661e-16,2.027449911814831e-16,17943.6187,yes
Base FY2028 nights (M),Revenue!$K$63,685.018588761987,685.0185887619871,685.0185887619868,1.1368683772161603e-13,1.6596168277284086e-16,1.6596168277284089e-16,685.0186,yes
Base FY2028 GBV ($M),Revenue!$K$69,130025.514586341,130025.51458634119,130025.51458634115,1.8917489796876907e-10,1.454905974189787e-15,1.1191584416844518e-15,130025.5146,yes
Base FY2028 adj. EBITDA ($M),Costs!$F$51,6701.20112542396,6701.20112542396,6701.201125423956,0.0,0.0,5.428845872554753e-16,6701.2011,yes
Base FY2028 adj. EBITDA margin,Costs!$F$52,0.373458734952211,0.37345873495221105,0.37345873495221094,5.551115123125783e-17,1.4864065567608482e-16,1.4864065567608485e-16,0.3735,yes
Base FY2028 net income ($M),Costs!$F$62,3905.8487339834,3905.848733983399,3905.8487339833964,9.094947017729282e-13,2.328545634293869e-16,9.314182537175476e-16,3905.8487,yes
Base FY2028 FCF ($M),Cash!$F$39,6197.2457177557,6197.245717755695,6197.245717755692,4.547473508864641e-12,7.337894471144973e-16,1.3208210048060953e-15,6197.2457,yes
Base FY2028 SBC-adj FCF ($M),Cash!$F$43,4074.8480777557,4074.8480777556956,4074.848077755692,4.547473508864641e-12,1.115986025022373e-15,2.0087748450402714e-15,4074.8481,yes
Base FY2028 diluted shares (M),Cash!$F$48,561.534433492938,561.5344334929384,561.5344334929384,4.547473508864641e-13,8.09829858621097e-16,8.09829858621097e-16,561.5344,yes
Base FY2028 FCF per share ($),Cash!$F$49,11.0362701699461,11.036270169946095,11.036270169946087,5.329070518200751e-15,4.82868798619378e-16,1.1266938634452152e-15,11.0363,yes
Base FY2028 net cash ($M),Cash!$F$52,11570.393419671,11570.393419671034,11570.393419671029,3.456079866737127e-11,2.9870028972924843e-15,2.5153708608778826e-15,11570.3934,yes
Base 3Q26 revenue ($M),Revenue!$C$77,4801.03781836671,4801.037818366705,4801.037818366705,4.547473508864641e-12,9.471855213195696e-16,9.471855213195696e-16,4801.0378,yes
Base 3Q26 nights (M),Revenue!$C$63,147.2394101048,147.2394101048,147.2394101048,0.0,0.0,0.0,147.2394,yes
Base 3Q26 ADR ($),Revenue!$C$67,177.8401296,177.84012959999998,177.84012959999998,2.842170943040401e-14,1.5981606341791603e-16,1.5981606341791603e-16,177.8401,yes
Base 3Q26 adj. EBITDA ($M),Revenue!$C$82,2352.50853099969,2352.5085309996857,2352.5085309996857,4.092726157978177e-12,1.7397285085461467e-15,1.7397285085461467e-15,2352.5085,yes
Base 3Q26 adj. EBITDA margin,Revenue!$C$81,0.49,0.49,0.49,0.0,0.0,0.0,0.49,yes
Base 4Q26 revenue ($M),Revenue!$D$77,3145.49398410244,3145.4939841024357,3145.4939841024357,4.547473508864641e-12,1.4457104454333435e-15,1.4457104454333435e-15,3145.494,yes
Base 4Q26 nights (M),Revenue!$D$63,133.957858451548,133.95785845154847,133.95785845154847,4.831690603168681e-13,3.60687357876527e-15,3.60687357876527e-15,133.9579,yes
Base 4Q26 ADR ($),Revenue!$D$67,171.91417292,171.91417292,171.91417292,0.0,0.0,0.0,171.9142,yes
Base 4Q26 adj. EBITDA ($M),Revenue!$D$82,1022.28554483329,1022.2855448332916,1022.2855448332916,1.5916157281026244e-12,1.5569189412359106e-15,1.5569189412359106e-15,1022.2855,yes
Base 4Q26 adj. EBITDA margin,Revenue!$D$81,0.325,0.325,0.325,0.0,0.0,0.0,0.325,yes
Base 1Q27 revenue ($M),Revenue!$E$77,2991.64477378158,2991.644773781581,2991.644773781581,9.094947017729282e-13,3.040115958096468e-16,3.040115958096468e-16,2991.6448,yes
Base 1Q27 nights (M),Revenue!$E$63,170.0062237192,170.0062237192,170.0062237192,0.0,0.0,0.0,170.0062,yes
Base 1Q27 ADR ($),Revenue!$E$67,190.724538,190.72453799999997,190.72453799999997,2.842170943040401e-14,1.490196790011572e-16,1.490196790011572e-16,190.7245,yes
Base 1Q27 adj. EBITDA ($M),Revenue!$E$82,572.885812721983,572.8858127219833,572.8858127219831,2.2737367544323206e-13,3.9689178959223873e-16,1.984458947961194e-16,572.8858,yes
Base 1Q27 adj. EBITDA margin,Revenue!$E$81,0.191495266330644,0.19149526633064407,0.191495266330644,5.551115123125783e-17,2.8988262892833005e-16,0.0,0.1915,yes
Base 2Q27 revenue ($M),Revenue!$F$77,4048.78968665529,4048.7896866552855,4048.789686655285,4.547473508864641e-12,1.123168616007149e-15,1.235485477607864e-15,4048.7897,yes
Base 2Q27 nights (M),Revenue!$F$63,161.413931927828,161.41393192782786,161.41393192782783,1.4210854715202004e-13,8.803982745154869e-16,1.0564779294185842e-15,161.4139,yes
Base 2Q27 ADR ($),Revenue!$F$67,188.36091465,188.36091464999996,188.36091464999996,5.684341886080802e-14,3.0177926756424363e-16,3.0177926756424363e-16,188.3609,yes
Base 2Q27 adj. EBITDA ($M),Revenue!$F$82,1406.93525048104,1406.9352504810436,1406.9352504810429,3.637978807091713e-12,2.585747144971921e-15,2.100919555289687e-15,1406.9352,yes
Base 2Q27 adj. EBITDA margin,Revenue!$F$81,0.347495266330644,0.34749526633064404,0.347495266330644,5.551115123125783e-17,1.5974649616791786e-16,0.0,0.3475,yes
Base 3Q27 revenue ($M),Revenue!$G$77,5257.41780636112,5257.417806361116,5257.417806361116,3.637978807091713e-12,6.919706481554509e-16,6.919706481554509e-16,5257.4178,yes
Base 3Q27 nights (M),Revenue!$G$63,160.281570971679,160.28157097167866,160.28157097167863,3.410605131648481e-13,2.127883518343552e-15,2.3052071448721816e-15,160.2816,yes
Base 3Q27 ADR ($),Revenue!$G$67,183.489221316744,183.48922131674396,183.48922131674396,2.842170943040401e-14,1.5489579838230222e-16,1.5489579838230222e-16,183.4892,yes
Base 3Q27 adj. EBITDA ($M),Revenue!$G$82,2562.96629372348,2562.966293723483,2562.9662937234825,3.183231456205249e-12,1.2420106592898821e-15,1.0645805651056134e-15,2562.9663,yes
Base 3Q27 adj. EBITDA margin,Revenue!$G$81,0.487495266330644,0.48749526633064405,0.487495266330644,5.551115123125783e-17,1.138701338560431e-16,0.0,0.4875,yes
Base 4Q27 revenue ($M),Revenue!$H$77,3544.18364371255,3544.1836437125526,3544.1836437125526,2.7284841053187847e-12,7.698483994076227e-16,7.698483994076227e-16,3544.1836,yes
Base 4Q27 nights (M),Revenue!$H$63,145.942778350348,145.94277835034848,145.94277835034848,4.831690603168681e-13,3.3106746752276997e-15,3.3106746752276997e-15,145.9428,yes
Base 4Q27 ADR ($),Revenue!$H$67,177.075466176491,177.07546617649066,177.07546617649066,3.410605131648481e-13,1.9260743485769692e-15,1.9260743485769692e-15,177.0755,yes
Base 4Q27 adj. EBITDA ($M),Revenue!$H$82,1142.98244810379,1142.9824481037922,1142.982448103792,2.2737367544323206e-12,1.989301548947186e-15,1.7903713940524677e-15,1142.9824,yes
Base 4Q27 adj. EBITDA margin,Revenue!$H$81,0.322495266330644,0.32249526633064407,0.322495266330644,5.551115123125783e-17,1.721301272507486e-16,0.0,0.3225,yes
Base Football field low,Valuation!$C$43,110.57976638925,110.57976638924961,110.57976638924956,3.836930773104541e-13,3.4698307822411425e-15,3.983879787017608e-15,110.5798,yes
Base Football field high,Valuation!$C$44,217.511526816641,217.51152681664058,217.5115268166405,4.263256414560601e-13,1.9600140171672203e-15,2.3520168206006644e-15,217.5115,yes
Base Football field mean,Valuation!$C$45,160.219189073288,160.21918907328782,160.21918907328777,1.7053025658242404e-13,1.064356008595322e-15,1.4191413447937627e-15,160.2192,yes
"Base price: EV / adj. EBITDA, FY27E",Valuation!$C$19,180.876293375339,180.87629337533954,180.8762933753395,5.400124791776761e-13,2.9855348597678683e-15,2.671268032423883e-15,180.8763,yes
"Base price: EV / FCF, FY27E",Valuation!$C$20,152.501391334762,152.50139133476213,152.5013913347621,1.4210854715202004e-13,9.318508238398406e-16,7.454806590718727e-16,152.5014,yes
"Base price: P / SBC-adjusted FCF, FY27E",Valuation!$C$21,117.25724103948,117.25724103947995,117.2572410394799,4.263256414560601e-14,3.6358150479808593e-16,8.483568445288671e-16,117.2572,yes
"Base price: P / earnings proxy, FY27E",Valuation!$C$22,110.57976638925,110.57976638924961,110.57976638924956,3.836930773104541e-13,3.4698307822411425e-15,3.983879787017608e-15,110.5798,yes
"Base price: EV / adj. EBITDA, FY28E",Valuation!$C$23,217.511526816641,217.51152681664058,217.5115268166405,4.263256414560601e-13,1.9600140171672203e-15,2.3520168206006644e-15,217.5115,yes
Base price: DCF on FCF,Valuation!$C$39,182.588915484255,182.58891548425515,182.58891548425507,1.4210854715202004e-13,7.782977776888884e-16,3.113191110755555e-16,182.5889,yes
Bull FY2026 revenue ($M),Revenue!$I$118,14526.5823476715,14526.58234767154,14526.582347671538,4.001776687800884e-11,2.7547957200286188e-15,2.629577732754591e-15,14526.5823,yes
Bull FY2026 nights (M),Revenue!$I$104,591.811103496504,591.8111034965035,591.8111034965035,4.547473508864641e-13,7.683994913237556e-16,7.683994913237556e-16,591.8111,yes
Bull FY2026 GBV ($M),Revenue!$I$110,107425.273082915,107425.27308291524,107425.27308291524,2.473825588822365e-10,2.3028338842694534e-15,2.3028338842694534e-15,107425.2731,yes
Bull FY2026 adj. EBITDA ($M),Costs!$D$81,5496.1502504626,5496.150250462604,5496.150250462602,4.547473508864641e-12,8.273925023213996e-16,4.964355013928399e-16,5496.1502,yes
Bull FY2026 adj. EBITDA margin,Costs!$D$82,0.378351226663,0.37835122666299964,0.3783512266629996,3.3306690738754696e-16,8.803114247181018e-16,1.0270299955044521e-15,0.3784,yes
Bull FY2026 net income ($M),Costs!$D$92,3453.27502765352,3453.2750276535194,3453.275027653518,4.547473508864641e-13,1.3168581918465448e-16,5.267432767386179e-16,3453.275,yes
Bull FY2026 FCF ($M),Cash!$D$64,5659.87936238013,5659.879362380129,5659.8793623801275,9.094947017729282e-13,1.6069153484403268e-16,4.820746045320981e-16,5659.8794,yes
Bull FY2026 SBC-adj FCF ($M),Cash!$D$68,3920.77936238013,3920.779362380129,3920.779362380127,9.094947017729282e-13,2.3196783540015743e-16,6.959035062004723e-16,3920.7794,yes
Bull FY2026 diluted shares (M),Cash!$D$73,588.680581510388,588.680581510388,588.680581510388,0.0,0.0,0.0,588.6806,yes
Bull FY2026 FCF per share ($),Cash!$D$74,9.61451683671725,9.614516836717254,9.61451683671725,3.552713678800501e-15,3.695155709991483e-16,0.0,9.6145,yes
Bull FY2026 net cash ($M),Cash!$D$77,9931.19436238013,9931.194362380129,9931.194362380129,1.8189894035458565e-12,1.8315917876265525e-16,1.8315917876265525e-16,9931.1944,yes
