scenario,method,exit_ev_fwd_ebitda_x,low_x,high_x,n,detail,assumed_x,vs_assumed_x,used_in_blend
Bull,"Cross-section: peers, EV/NTM EBITDA on growth + margin (all peers)",10.585,,,18,log-linear fit R2 0.45; ABNB actual 18.5x vs fitted 12.0x (+54%),25.500,-14.915,False
Bear,"Cross-section: peers, EV/NTM EBITDA on growth + margin (travel + marketplace)",8.506,,,12,log-linear fit R2 0.44; ABNB actual 18.5x vs fitted 12.3x (+51%),18.000,-9.494,False
Base,"Cross-section: peers, EV/NTM EBITDA on growth + margin (travel + marketplace)",10.592,,,12,log-linear fit R2 0.44; ABNB actual 18.5x vs fitted 12.3x (+51%),22.000,-11.408,False
Bull,"Cross-section: peers, EV/NTM EBITDA on growth + margin (travel + marketplace)",10.976,,,12,log-linear fit R2 0.44; ABNB actual 18.5x vs fitted 12.3x (+51%),25.500,-14.524,False
Bear,"Cross-section: peers, EV/NTM EBITDA on growth + margin + SBC + conversion (all peers)",6.720,,,18,log-linear fit R2 0.48; ABNB actual 18.5x vs fitted 10.1x (+84%),18.000,-11.280,False
Base,"Cross-section: peers, EV/NTM EBITDA on growth + margin + SBC + conversion (all peers)",8.672,,,18,log-linear fit R2 0.48; ABNB actual 18.5x vs fitted 10.1x (+84%),22.000,-13.328,False
Bull,"Cross-section: peers, EV/NTM EBITDA on growth + margin + SBC + conversion (all peers)",9.302,,,18,log-linear fit R2 0.48; ABNB actual 18.5x vs fitted 10.1x (+84%),25.500,-16.198,False
Bear,"Cross-section: peers, EV/NTM EBITDA on growth + margin + SBC + conversion (travel + marketplace)",4.934,,,12,log-linear fit R2 0.56; ABNB actual 18.5x vs fitted 7.3x (+155%),18.000,-13.066,False
Base,"Cross-section: peers, EV/NTM EBITDA on growth + margin + SBC + conversion (travel + marketplace)",6.411,,,12,log-linear fit R2 0.56; ABNB actual 18.5x vs fitted 7.3x (+155%),22.000,-15.589,False
Bull,"Cross-section: peers, EV/NTM EBITDA on growth + margin + SBC + conversion (travel + marketplace)",6.965,,,12,log-linear fit R2 0.56; ABNB actual 18.5x vs fitted 7.3x (+155%),25.500,-18.535,False
Bear,"Cross-section: EV/NTM revenue fit on growth + margin, restated on adj. EBITDA (all peers)",7.870,,,18,"implied EV/NTM revenue 2.66x / 33.8% margin; fit R2 0.53, b_margin +0.011 (t 1.5); ABNB actual 6.50x vs fitted 3.94x (+65%)",18.000,-10.130,True
Base,"Cross-section: EV/NTM revenue fit on growth + margin, restated on adj. EBITDA (all peers)",9.778,,,18,"implied EV/NTM revenue 3.57x / 36.5% margin; fit R2 0.53, b_margin +0.011 (t 1.5); ABNB actual 6.50x vs fitted 3.94x (+65%)",22.000,-12.222,True
Bull,"Cross-section: EV/NTM revenue fit on growth + margin, restated on adj. EBITDA (all peers)",10.261,,,18,"implied EV/NTM revenue 4.08x / 39.8% margin; fit R2 0.53, b_margin +0.011 (t 1.5); ABNB actual 6.50x vs fitted 3.94x (+65%)",25.500,-15.239,True
Bear,"Cross-section: EV/NTM revenue fit on growth + margin, restated on adj. EBITDA (travel + marketplace)",8.695,,,12,"implied EV/NTM revenue 2.94x / 33.8% margin; fit R2 0.50, b_margin +0.024 (t 1.3); ABNB actual 6.50x vs fitted 4.62x (+41%)",18.000,-9.305,True
Base,"Cross-section: EV/NTM revenue fit on growth + margin, restated on adj. EBITDA (travel + marketplace)",11.537,,,12,"implied EV/NTM revenue 4.21x / 36.5% margin; fit R2 0.50, b_margin +0.024 (t 1.3); ABNB actual 6.50x vs fitted 4.62x (+41%)",22.000,-10.463,True
Bull,"Cross-section: EV/NTM revenue fit on growth + margin, restated on adj. EBITDA (travel + marketplace)",12.789,,,12,"implied EV/NTM revenue 5.09x / 39.8% margin; fit R2 0.50, b_margin +0.024 (t 1.3); ABNB actual 6.50x vs fitted 4.62x (+41%)",25.500,-12.711,True
Bear,"Cross-section: 4 nearest travel/marketplace comps by growth, median observed multiple",14.981,8.270,20.523,4,"ETSY 3% growth, 28% margin, 11.1x; H 6% growth, 13% margin, 20.5x; MAR 8% growth, 19% margin, 18.9x; EXPE 9% growth, 24% margin, 8.3x",18.000,-3.019,True
Base,"Cross-section: 4 nearest travel/marketplace comps by growth, median observed multiple",12.792,5.219,22.706,4,"TCOM 13% growth, 32% margin, 5.2x; HLT 11% growth, 26% margin, 22.7x; BKNG 11% growth, 37% margin, 12.8x; EBAY 9% growth, 30% margin, 12.7x",22.000,-9.208,True
Bull,"Cross-section: 4 nearest travel/marketplace comps by growth, median observed multiple",13.889,5.219,22.706,4,"UBER 17% growth, 17% margin, 14.9x; TCOM 13% growth, 32% margin, 5.2x; HLT 11% growth, 26% margin, 22.7x; BKNG 11% growth, 37% margin, 12.8x",25.500,-11.611,True
Bear,"Cross-section SBC-adjusted: EV/NTM GAAP EBITDA fit, restated on adj. EBITDA (all peers)",7.767,,,18,"fitted 13.3x on SBC-burdened EBITDA, margin 19.8% vs adj 33.8%, x0.59",18.000,-10.233,False
Base,"Cross-section SBC-adjusted: EV/NTM GAAP EBITDA fit, restated on adj. EBITDA (all peers)",9.939,,,18,"fitted 15.4x on SBC-burdened EBITDA, margin 23.5% vs adj 36.5%, x0.64",22.000,-12.061,False
Bull,"Cross-section SBC-adjusted: EV/NTM GAAP EBITDA fit, restated on adj. EBITDA (all peers)",10.470,,,18,"fitted 15.0x on SBC-burdened EBITDA, margin 27.8% vs adj 39.8%, x0.70",25.500,-15.030,False
Bear,"Cross-section SBC-adjusted: EV/NTM GAAP EBITDA fit, restated on adj. EBITDA (travel + marketplace)",7.533,,,12,"fitted 12.9x on SBC-burdened EBITDA, margin 19.8% vs adj 33.8%, x0.59",18.000,-10.467,False
Base,"Cross-section SBC-adjusted: EV/NTM GAAP EBITDA fit, restated on adj. EBITDA (travel + marketplace)",9.794,,,12,"fitted 15.2x on SBC-burdened EBITDA, margin 23.5% vs adj 36.5%, x0.64",22.000,-12.206,False
Bull,"Cross-section SBC-adjusted: EV/NTM GAAP EBITDA fit, restated on adj. EBITDA (travel + marketplace)",10.464,,,12,"fitted 15.0x on SBC-burdened EBITDA, margin 27.8% vs adj 39.8%, x0.70",25.500,-15.036,False
Bear,"Intrinsic: 10y fade DCF at the FY27 exit, reported FCF, WACC 10% / g 3%",15.120,12.577,17.682,1,"FY27 FCF $4.5B on FY27 EBITDA $4.9B (conversion 92%), FY28 growth 6.0% fading to g; range = WACC 9-11%, g 2.5-3.0%",18.000,-2.880,True
Bear,"Intrinsic SBC-adjusted: same DCF on SBC-adjusted FCF, WACC 10% / g 3%",8.313,6.915,9.721,1,"FY27 SBC-adj FCF $2.5B (SBC 14% of revenue); range = WACC 9-11%, g 2.5-3.0%",18.000,-9.687,False
Base,"Intrinsic: 10y fade DCF at the FY27 exit, reported FCF, WACC 10% / g 3%",19.713,16.319,23.138,1,"FY27 FCF $5.8B on FY27 EBITDA $5.8B (conversion 100%), FY28 growth 11.0% fading to g; range = WACC 9-11%, g 2.5-3.0%",22.000,-2.287,True
Base,"Intrinsic SBC-adjusted: same DCF on SBC-adjusted FCF, WACC 10% / g 3%",12.692,10.507,14.897,1,"FY27 SBC-adj FCF $3.8B (SBC 13% of revenue); range = WACC 9-11%, g 2.5-3.0%",22.000,-9.308,False
Bull,"Intrinsic: 10y fade DCF at the FY27 exit, reported FCF, WACC 10% / g 3%",23.051,19.031,27.113,1,"FY27 FCF $7.0B on FY27 EBITDA $6.6B (conversion 105%), FY28 growth 14.0% fading to g; range = WACC 9-11%, g 2.5-3.0%",25.500,-2.449,True
Bull,"Intrinsic SBC-adjusted: same DCF on SBC-adjusted FCF, WACC 10% / g 3%",16.432,13.566,19.327,1,"FY27 SBC-adj FCF $5.0B (SBC 12% of revenue); range = WACC 9-11%, g 2.5-3.0%",25.500,-9.068,False
Bear,Today: EV / NTM EBITDA at $181.94 (4 Sep 2026),18.209,13.339,27.310,45,"EV/LTM EBITDA 21.4x; 2023-26 monthly range 13.3-27.3x, median 18.0x",18.000,0.209,False
Base,Today: EV / NTM EBITDA at $181.94 (4 Sep 2026),18.209,13.339,27.310,45,"EV/LTM EBITDA 21.4x; 2023-26 monthly range 13.3-27.3x, median 18.0x",22.000,-3.791,False
Bull,Today: EV / NTM EBITDA at $181.94 (4 Sep 2026),18.209,13.339,27.310,45,"EV/LTM EBITDA 21.4x; 2023-26 monthly range 13.3-27.3x, median 18.0x",25.500,-7.291,False
