city,dump_date,quotes,share_with_discount_pct,median_discount_pct_of_subtotal,mean_discount_pct_of_subtotal,discount_drag_on_ppn_pct,share_line_cleaning_fee_pct,share_line_service_fee_pct,share_line_taxes_pct,median_quote_nights,median_quote_lead_days,median_ppn,median_ppn_entire,median_accommodates,median_price_per_person_night,median_price_per_person_night_entire
new-york-city,2026-06-14,21540,42.33,19.88,18.32,291.52,0.0,0.0,0.27,30.0,17.0,174.68,222.87,2.0,70.43,71.98
new-york-city,2026-07-12,21174,43.52,19.93,18.71,292.02,0.0,0.0,10.34,30.0,15.0,174.22,217.63,2.0,69.84,70.51
new-york-city,2026-08-10,21340,44.64,13.06,13.06,311.35,0.0,0.0,9.95,30.0,7.0,175.3,210.2,2.0,69.7,69.28
paris,2026-03-21,35947,6.68,14.45,13.09,1.45,0.003,0.0,0.19,2.0,11.0,226.0,236.69,3.0,74.25,74.33
paris,2026-04-19,37143,6.8,14.53,13.5,1.56,0.003,0.0,0.24,2.0,7.0,223.0,232.0,3.0,72.61,73.08
paris,2026-05-23,37578,6.47,13.39,12.71,1.43,0.003,0.0,0.34,2.0,13.0,237.0,246.0,3.0,77.5,77.7
paris,2026-06-16,48428,14.54,12.39,12.31,13.39,0.002,0.0,0.39,3.0,15.0,205.5,212.67,3.0,70.03,70.0
paris,2026-07-15,49307,15.13,13.94,13.45,13.84,0.006,0.0,7.33,3.0,6.0,190.33,198.65,3.0,65.39,65.38
paris,2026-08-15,48007,24.59,9.88,11.61,15.68,0.004,0.0,8.35,2.0,4.0,185.5,194.5,3.0,63.7,63.79
rome,2026-03-24,29538,10.39,16.11,15.5,2.19,0.044,0.0,0.2,2.0,6.0,172.0,190.0,4.0,51.0,50.0
rome,2026-04-20,29101,9.85,15.75,15.33,2.06,0.045,0.0,0.13,2.0,9.0,187.0,203.0,4.0,54.17,52.88
rome,2026-05-25,33779,12.52,15.71,15.09,13.23,0.041,0.0,0.41,2.0,9.0,180.0,197.0,4.0,54.0,51.75
rome,2026-06-20,34331,14.18,15.92,15.67,14.65,0.026,0.0,0.52,2.0,6.0,161.67,181.0,4.0,49.0,47.86
rome,2026-07-18,34282,15.01,16.71,17.14,16.05,0.02,0.0,9.92,2.0,4.0,149.5,166.0,4.0,44.92,44.13
rome,2026-08-25,33093,31.37,9.57,11.43,19.09,0.039,0.0,11.09,2.0,3.0,158.43,177.0,4.0,47.71,46.62
san-diego,2026-04-26,11093,21.6,15.34,15.87,33.86,0.0,0.0,0.08,2.0,3.0,265.39,288.93,4.0,62.0,62.0
san-diego,2026-05-27,11252,21.25,16.46,16.48,30.86,0.0,0.0,0.09,2.0,6.0,298.92,329.0,4.0,69.15,69.83
san-diego,2026-06-27,12078,22.59,16.26,15.75,38.52,0.0,0.0,8.54,2.0,12.0,323.0,361.0,4.0,74.88,76.49
san-diego,2026-07-21,12001,22.62,16.77,16.13,37.97,0.0,0.0,7.24,2.0,12.0,333.0,363.0,4.0,75.32,75.67
san-diego,2026-08-29,11738,35.01,8.5,11.18,41.14,0.0,0.0,9.85,2.0,3.0,271.0,295.0,4.0,63.94,63.34
sydney,2026-03-21,13483,8.97,11.99,12.62,1.99,0.0,0.0,0.0,2.0,7.0,350.0,398.09,4.0,100.0,106.28
sydney,2026-04-18,13702,10.36,12.31,12.85,2.51,0.0,0.0,0.0,2.0,3.0,331.0,375.5,4.0,94.5,99.88
sydney,2026-05-23,14552,11.25,12.75,12.74,2.51,0.0,0.0,0.0,2.0,4.0,315.0,364.04,4.0,90.45,96.84
sydney,2026-06-16,17943,17.75,12.59,12.94,12.74,0.0,0.0,0.0,2.0,3.0,291.0,342.67,4.0,84.67,91.38
sydney,2026-07-15,17915,16.58,11.3,12.54,12.22,0.0,0.0,0.0,2.0,4.0,299.67,350.0,4.0,86.46,93.33
sydney,2026-08-15,17963,27.18,8.87,10.47,12.59,0.0,0.0,0.01,2.0,4.0,311.33,365.62,4.0,89.5,96.75
