window,season,group_a,group_b,n,covariance_musd2
W2,2,older_finite_tail,same_quarter,3,0.0
W2,2,older_finite_tail,one_earlier,3,0.0
W2,2,older_finite_tail,two_earlier,3,0.0
W2,2,older_finite_tail,older_finite_tail,3,0.0
W2,3,same_quarter,same_quarter,2,21851.00688030266
W2,3,same_quarter,one_earlier,2,0.0
W2,3,same_quarter,two_earlier,2,16091.616418637863
W2,3,same_quarter,older_finite_tail,2,0.0
W2,3,one_earlier,same_quarter,2,0.0
W2,3,one_earlier,one_earlier,2,0.0
W2,3,one_earlier,two_earlier,2,0.0
W2,3,one_earlier,older_finite_tail,2,0.0
W2,3,two_earlier,same_quarter,2,16091.616418637863
W2,3,two_earlier,one_earlier,2,0.0
W2,3,two_earlier,two_earlier,2,11850.26028242178
W2,3,two_earlier,older_finite_tail,2,0.0
W2,3,older_finite_tail,same_quarter,2,0.0
W2,3,older_finite_tail,one_earlier,2,0.0
W2,3,older_finite_tail,two_earlier,2,0.0
W2,3,older_finite_tail,older_finite_tail,2,0.0
W2,4,same_quarter,same_quarter,2,10673.8719933839
W2,4,same_quarter,one_earlier,2,0.0
W2,4,same_quarter,two_earlier,2,11096.320110734778
W2,4,same_quarter,older_finite_tail,2,0.0
W2,4,one_earlier,same_quarter,2,0.0
W2,4,one_earlier,one_earlier,2,0.0
W2,4,one_earlier,two_earlier,2,0.0
W2,4,one_earlier,older_finite_tail,2,0.0
W2,4,two_earlier,same_quarter,2,11096.320110734778
W2,4,two_earlier,one_earlier,2,0.0
W2,4,two_earlier,two_earlier,2,11535.487785146479
W2,4,two_earlier,older_finite_tail,2,0.0
W2,4,older_finite_tail,same_quarter,2,0.0
W2,4,older_finite_tail,one_earlier,2,0.0
W2,4,older_finite_tail,two_earlier,2,0.0
W2,4,older_finite_tail,older_finite_tail,2,0.0
