target,pool,cand_spec
revenue_yoy,parsimonious,tracker-backlog|revenue_yoy_next_q|unearned_rnpl_scenario_k0.5
revenue_yoy,parsimonious,tracker-backlog|revenue_yoy_next_q|unearned_rnpl_scenario_k1.0
revenue_yoy,parsimonious,tracker-backlog|revenue_yoy_next_q|unearned_rnpl_scenario_k1.5
nights_yoy,all,calibration-rail|ref_ar1|ref_ar1|nights_yoy|harness_fn_direct_call
nights_yoy,all,calibration-rail|ref_naive|ref_naive|nights_yoy|harness_fn_direct_call
nights_yoy,all,calibration-rail|ref_trailing4|ref_trailing4|nights_yoy|harness_fn_direct_call
nights_yoy,all,tracker-backlog|nights_yoy_next_q|funds_raw
nights_yoy,all,tracker-backlog|nights_yoy_next_q|funds_rnpl_scenario_k0.5
nights_yoy,all,tracker-backlog|nights_yoy_next_q|funds_rnpl_scenario_k1.0
nights_yoy,all,tracker-backlog|nights_yoy_next_q|funds_rnpl_scenario_k1.5
nights_yoy,all,tracker-backlog|nights_yoy_next_q|unearned_raw
nights_yoy,all,tracker-backlog|nights_yoy_next_q|unearned_rnpl_scenario_k0.5
nights_yoy,all,tracker-backlog|nights_yoy_next_q|unearned_rnpl_scenario_k1.0
nights_yoy,all,tracker-backlog|nights_yoy_next_q|unearned_rnpl_scenario_k1.5
nights_yoy,parsimonious,calibration-rail|ref_ar1|ref_ar1|nights_yoy|harness_fn_direct_call
nights_yoy,parsimonious,calibration-rail|ref_naive|ref_naive|nights_yoy|harness_fn_direct_call
nights_yoy,parsimonious,calibration-rail|ref_trailing4|ref_trailing4|nights_yoy|harness_fn_direct_call
nights_yoy,parsimonious,tracker-backlog|nights_yoy_next_q|funds_raw
nights_yoy,parsimonious,tracker-backlog|nights_yoy_next_q|funds_rnpl_scenario_k0.5
nights_yoy,parsimonious,tracker-backlog|nights_yoy_next_q|funds_rnpl_scenario_k1.0
nights_yoy,parsimonious,tracker-backlog|nights_yoy_next_q|funds_rnpl_scenario_k1.5
nights_yoy,parsimonious,tracker-backlog|nights_yoy_next_q|unearned_raw
nights_yoy,parsimonious,tracker-backlog|nights_yoy_next_q|unearned_rnpl_scenario_k0.5
nights_yoy,parsimonious,tracker-backlog|nights_yoy_next_q|unearned_rnpl_scenario_k1.0
nights_yoy,parsimonious,tracker-backlog|nights_yoy_next_q|unearned_rnpl_scenario_k1.5
take_rate_pct,all,calibration-rail|ref_ar1|ref_ar1|take_rate_pct|harness_fn_direct_call
take_rate_pct,all,calibration-rail|ref_naive|ref_naive|take_rate_pct|harness_fn_direct_call
take_rate_pct,all,calibration-rail|ref_trailing4|ref_trailing4|take_rate_pct|harness_fn_direct_call
take_rate_pct,all,fee-takerate|take_rate_kernel|kernel_lambda_season_w23
take_rate_pct,all,fee-takerate|take_rate_lastyear|tau_lag4_plus_drift
take_rate_pct,parsimonious,calibration-rail|ref_naive|ref_naive|take_rate_pct|harness_fn_direct_call
take_rate_pct,parsimonious,calibration-rail|ref_trailing4|ref_trailing4|take_rate_pct|harness_fn_direct_call
take_rate_pct,parsimonious,fee-takerate|take_rate_lastyear|tau_lag4_plus_drift
take_rate_pct,repaired,fee-takerate|take_rate_kernel|kernel_lambda_season_w23
take_rate_pct,repaired,fee-takerate|take_rate_lastyear|tau_lag4_plus_drift
gbv_musd,all,baselines|ar1|ar1|gbv_musd
gbv_musd,all,baselines|naive|naive|gbv_musd
gbv_musd,all,baselines|trailing4|trailing4|gbv_musd
gbv_musd,parsimonious,baselines|ar1|ar1|gbv_musd
gbv_musd,parsimonious,baselines|naive|naive|gbv_musd
gbv_musd,parsimonious,baselines|trailing4|trailing4|gbv_musd
nights_m,all,baselines|ar1|ar1|nights_m
nights_m,all,baselines|naive|naive|nights_m
nights_m,all,baselines|trailing4|trailing4|nights_m
nights_m,parsimonious,baselines|ar1|ar1|nights_m
nights_m,parsimonious,baselines|naive|naive|nights_m
nights_m,parsimonious,baselines|trailing4|trailing4|nights_m
adr_yoy,all,calibration-rail|ref_ar1|ref_ar1|adr_yoy|harness_fn_direct_call
adr_yoy,all,calibration-rail|ref_naive|ref_naive|adr_yoy|harness_fn_direct_call
adr_yoy,all,calibration-rail|ref_trailing4|ref_trailing4|adr_yoy|harness_fn_direct_call
adr_yoy,parsimonious,calibration-rail|ref_ar1|ref_ar1|adr_yoy|harness_fn_direct_call
adr_yoy,parsimonious,calibration-rail|ref_naive|ref_naive|adr_yoy|harness_fn_direct_call
adr_yoy,parsimonious,calibration-rail|ref_trailing4|ref_trailing4|adr_yoy|harness_fn_direct_call
gbv_yoy,all,calibration-rail|ref_ar1|ref_ar1|gbv_yoy|harness_fn_direct_call
gbv_yoy,all,calibration-rail|ref_naive|ref_naive|gbv_yoy|harness_fn_direct_call
gbv_yoy,all,calibration-rail|ref_trailing4|ref_trailing4|gbv_yoy|harness_fn_direct_call
gbv_yoy,parsimonious,calibration-rail|ref_ar1|ref_ar1|gbv_yoy|harness_fn_direct_call
gbv_yoy,parsimonious,calibration-rail|ref_naive|ref_naive|gbv_yoy|harness_fn_direct_call
gbv_yoy,parsimonious,calibration-rail|ref_trailing4|ref_trailing4|gbv_yoy|harness_fn_direct_call
