quarter_printed,published_at,source_reference,guidance_metric_observed,gaap_revenue_guide_available,matched_consensus_available,status,guide_table_rows
2015Q1,2015-05-07T07:00:00-04:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/198/norwegian-cruise-line-holdings-reports-financial-results,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,
2021Q1,2021-05-06T07:00:00-04:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/404/norwegian-cruise-line-holdings-reports-first-quarter-2021,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,
2021Q2,2021-08-06T07:00:00-04:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/430/norwegian-cruise-line-holdings-reports-second-quarter-2021,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,
2021Q3,2021-11-03T07:00:00-04:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/448/norwegian-cruise-line-holdings-reports-third-quarter-2021,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,
2021Q4,2022-02-24T07:00:00-05:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/471/norwegian-cruise-line-holdings-reports-fourth-quarter-and,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,
2022Q1,2022-05-10T07:00:00-04:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/488/norwegian-cruise-line-holdings-reports-first-quarter-2022,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,
2022Q2,2022-08-09T07:30:00-04:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/501/norwegian-cruise-line-holdings-reports-second-quarter-2022,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,
2022Q3,2022-11-08T07:30:00-05:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/516/norwegian-cruise-line-holdings-reports-third-quarter-2022,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,
2022Q4,2023-02-28T07:00:00-05:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/534/norwegian-cruise-line-holdings-reports-fourth-quarter-and,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,
2023Q1,2023-05-01T07:30:00-04:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/545/norwegian-cruise-line-holdings-reports-first-quarter-2023,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,
2023Q2,2023-08-01T07:30:00-04:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/558/norwegian-cruise-line-holdings-reports-strong-second,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,
2023Q3,2023-11-01T07:30:00-04:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/572/norwegian-cruise-line-holdings-reports-strong-third-quarter,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,
2023Q4,2024-02-27T07:30:00-05:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/584/norwegian-cruise-line-holdings-reports-strong-fourth,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,Net Yield | ~15.8% ~ $276 | ~15.5% ~ $276 | ~5.5% ~$283 | ~5.4% ~$282
2024Q1,2024-05-01T07:30:00-04:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/595/norwegian-cruise-line-holdings-reports-strong-first-quarter,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,Net Yield | ~4.3% | ~4.3% | ~6.4% | ~6.4%
2024Q2,2024-07-31T07:30:00-04:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/620/norwegian-cruise-line-holdings-reports-strong-second,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,Net Yield | ~6.1% ~$328 | ~6.4% ~$329 | ~8.2% ~$290 | ~8.2% ~$290
2024Q3,2024-10-31T07:00:00-04:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/647/norwegian-cruise-line-holdings-reports-strong-third-quarter,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,Net Yield | ~7.3% ~$261 | ~6.9% ~$260 | ~9.5% ~$293 | ~9.4% ~$293
2024Q4,2025-02-27T06:30:00-05:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/677/norwegian-cruise-line-holdings-reports-strong-fourth,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,Net Yield | ~0.1% ~$278 | ~0.5% ~$279 | ~2.4% ~$301 | ~3.0% ~$303
2025Q1,2025-04-30T06:30:00-04:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/694/norwegian-cruise-line-holdings-reports-first-quarter-2025,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,Net Yield | ~2.5% | ~2.5% | ~1.8%-2.8% | ~2.0%-3.0%
2025Q2,2025-07-31T06:30:00-04:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/722/norwegian-cruise-line-holdings-reports-second-quarter-2025,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,Net Yield | ~1.9% | ~1.5% | ~2.5% | ~2.5 %
2025Q3,2025-11-04T06:30:00-05:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/743/norwegian-cruise-line-holdings-reports-third-quarter-2025,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,Net Yield | ~3.8-4.3% | ~3.5-4.0% | ~2.3-2.4% | ~2.4-2.5 %
2025Q4,2026-03-02T06:30:00-05:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/768/norwegian-cruise-line-holdings-reports-fourth-quarter-and,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,Net Yield | ~(1.0%) | ~(1.6%) | ~0.4% | ~0.0%
2026Q1,2026-05-04T06:30:00-04:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/794/norwegian-cruise-line-holdings-reports-first-quarter-2026,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,Net Yield | ~(3.2%) | ~(3.6%) | (2.7%) – (4.7%) | (3.0%) – (5.0%)
2026Q2,2026-07-30T06:30:00-04:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/812/norwegian-cruise-line-holdings-reports-second-quarter-2026,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,Net Yield | (8.8%) | (8.9%) | ~(4.7%) | ~(5.0%)
