quarter,metric,row,source_url
2015Q2,onboard_other_revenue_usd_m,"Onboard and other | 67,885 | 55,467 | 126,530 | 103,391",https://www.nclhltd.com/investors/news-events/press-releases/detail/192/norwegian-cruise-line-holdings-reports-financial-results
2015Q2,advance_ticket_sales_current_usd_m,"Advance ticket sales | 1,213,199 | 817,207",https://www.nclhltd.com/investors/news-events/press-releases/detail/192/norwegian-cruise-line-holdings-reports-financial-results
2015Q2,advance_ticket_sales_current_usd_m,"Advance ticket sales | 412,602 | 194,913",https://www.nclhltd.com/investors/news-events/press-releases/detail/192/norwegian-cruise-line-holdings-reports-financial-results
2015Q2,capacity_days,"Capacity Days | 3,634,143 | 3,074,415 | 7,190,611 | 5,970,399",https://www.nclhltd.com/investors/news-events/press-releases/detail/192/norwegian-cruise-line-holdings-reports-financial-results
2015Q2,occupancy_pct,Occupancy Percentage | 108.7% | 110.4% | 107.3% | 108.4%,https://www.nclhltd.com/investors/news-events/press-releases/detail/192/norwegian-cruise-line-holdings-reports-financial-results
2015Q2,passenger_ticket_revenue_usd_m,"Passenger ticket revenue | $ 787,991 | $ 806,372 | $ 528,782 | $ 1,458,474 | $ 1,485,065 | $ 977,362",https://www.nclhltd.com/investors/news-events/press-releases/detail/192/norwegian-cruise-line-holdings-reports-financial-results
2015Q2,onboard_other_revenue_usd_m,"Onboard and other revenue | 297,442 | 296,994 | 237,145 | 565,141 | 564,693 | 452,593",https://www.nclhltd.com/investors/news-events/press-releases/detail/192/norwegian-cruise-line-holdings-reports-financial-results
2015Q2,total_revenue_usd_m,"Total revenue | 1,085,433 | 1,103,366 | 765,927 | 2,023,615 | 2,049,758 | 1,429,955",https://www.nclhltd.com/investors/news-events/press-releases/detail/192/norwegian-cruise-line-holdings-reports-financial-results
2015Q2,capacity_days,"Capacity Days | 3,634,143 | 3,634,143 | 3,074,415 | 7,190,611 | 7,190,611 | 5,970,399",https://www.nclhltd.com/investors/news-events/press-releases/detail/192/norwegian-cruise-line-holdings-reports-financial-results
2015Q2,net_yield_usd_per_capacity_day,Net Yield | $ 227.04 | $ 230.92 | $ 193.78 | $ 213.17 | $ 216.00 | $ 183.41,https://www.nclhltd.com/investors/news-events/press-releases/detail/192/norwegian-cruise-line-holdings-reports-financial-results
2015Q2,capacity_days,"Capacity Days | 3,634,143 | 3,634,143 | 3,074,415 | 7,190,611 | 7,190,611 | 5,970,399",https://www.nclhltd.com/investors/news-events/press-releases/detail/192/norwegian-cruise-line-holdings-reports-financial-results
2015Q3,passenger_ticket_revenue_usd_m,"Passenger ticket | $ 948,059 | $ 650,323 | $ 2,406,533 | $ 1,627,684",https://www.nclhltd.com/investors/news-events/press-releases/detail/188/norwegian-cruise-line-holdings-reports-financial-results
2015Q3,onboard_other_revenue_usd_m,"Onboard and other | 336,851 | 256,694 | 901,992 | 709,288",https://www.nclhltd.com/investors/news-events/press-releases/detail/188/norwegian-cruise-line-holdings-reports-financial-results
2015Q3,total_revenue_usd_m,"Total revenue | 1,284,910 | 907,017 | 3,308,525 | 2,336,972",https://www.nclhltd.com/investors/news-events/press-releases/detail/188/norwegian-cruise-line-holdings-reports-financial-results
2015Q3,onboard_other_revenue_usd_m,"Onboard and other | 84,171 | 69,389 | 210,701 | 172,780",https://www.nclhltd.com/investors/news-events/press-releases/detail/188/norwegian-cruise-line-holdings-reports-financial-results
2015Q3,advance_ticket_sales_current_usd_m,"Advance ticket sales | 1,103,734 | 817,207",https://www.nclhltd.com/investors/news-events/press-releases/detail/188/norwegian-cruise-line-holdings-reports-financial-results
2015Q3,advance_ticket_sales_current_usd_m,"Advance ticket sales | 308,691 | 85,602",https://www.nclhltd.com/investors/news-events/press-releases/detail/188/norwegian-cruise-line-holdings-reports-financial-results
2015Q3,capacity_days,"Capacity Days | 3,696,549 | 3,143,592 | 10,887,160 | 9,113,991",https://www.nclhltd.com/investors/news-events/press-releases/detail/188/norwegian-cruise-line-holdings-reports-financial-results
2015Q3,occupancy_pct,Occupancy Percentage | 113.9% | 114.8% | 109.5% | 110.6%,https://www.nclhltd.com/investors/news-events/press-releases/detail/188/norwegian-cruise-line-holdings-reports-financial-results
2015Q3,passenger_ticket_revenue_usd_m,"Passenger ticket revenue | $ 948,059 | $ 979,036 | $ 650,323 | $ 2,406,533 | $ 2,457,524 | $ 1,627,684",https://www.nclhltd.com/investors/news-events/press-releases/detail/188/norwegian-cruise-line-holdings-reports-financial-results
2015Q3,onboard_other_revenue_usd_m,"Onboard and other revenue | 336,851 | 336,851 | 256,694 | 901,992 | 901,544 | 709,288",https://www.nclhltd.com/investors/news-events/press-releases/detail/188/norwegian-cruise-line-holdings-reports-financial-results
2015Q3,total_revenue_usd_m,"Total revenue | 1,284,910 | 1,315,887 | 907,017 | 3,308,525 | 3,359,068 | 2,336,972",https://www.nclhltd.com/investors/news-events/press-releases/detail/188/norwegian-cruise-line-holdings-reports-financial-results
2015Q3,capacity_days,"Capacity Days | 3,696,549 | 3,696,549 | 3,143,592 | 10,887,160 | 10,887,160 | 9,113,991",https://www.nclhltd.com/investors/news-events/press-releases/detail/188/norwegian-cruise-line-holdings-reports-financial-results
2015Q3,net_yield_usd_per_capacity_day,Net Yield | $ 263.80 | $ 270.19 | $ 220.90 | $ 230.36 | $ 234.40 | $ 196.34,https://www.nclhltd.com/investors/news-events/press-releases/detail/188/norwegian-cruise-line-holdings-reports-financial-results
2015Q3,capacity_days,"Capacity Days | 3,696,549 | 3,696,549 | 3,143,592 | 10,887,160 | 10,887,160 | 9,113,991",https://www.nclhltd.com/investors/news-events/press-releases/detail/188/norwegian-cruise-line-holdings-reports-financial-results
2015Q4,passenger_ticket_revenue_usd_m,"Passenger ticket | $ | 722,542 | $ | 548,469 | $ | 3,129,075 | $ | 2,176,153",https://www.nclhltd.com/investors/news-events/press-releases/detail/178/norwegian-cruise-line-holdings-reports-financial-results
2015Q4,onboard_other_revenue_usd_m,"Onboard and other | 313,981 | 240,440 | 1,215,973 | 949,728",https://www.nclhltd.com/investors/news-events/press-releases/detail/178/norwegian-cruise-line-holdings-reports-financial-results
2015Q4,total_revenue_usd_m,"Total revenue | 1,036,523 | 788,909 | 4,345,048 | 3,125,881",https://www.nclhltd.com/investors/news-events/press-releases/detail/178/norwegian-cruise-line-holdings-reports-financial-results
2015Q4,onboard_other_revenue_usd_m,"Onboard and other | 62,101 | 51,220 | 272,802 | 224,000",https://www.nclhltd.com/investors/news-events/press-releases/detail/178/norwegian-cruise-line-holdings-reports-financial-results
2015Q4,advance_ticket_sales_current_usd_m,"Advance ticket sales | 1,023,973 | 817,207",https://www.nclhltd.com/investors/news-events/press-releases/detail/178/norwegian-cruise-line-holdings-reports-financial-results
2015Q4,advance_ticket_sales_current_usd_m,"Advance ticket sales | 218,260 | (23,947 | )",https://www.nclhltd.com/investors/news-events/press-releases/detail/178/norwegian-cruise-line-holdings-reports-financial-results
2015Q4,capacity_days,"Capacity Days | 3,813,830 | 3,398,468 | 14,700,990 | 12,512,459",https://www.nclhltd.com/investors/news-events/press-releases/detail/178/norwegian-cruise-line-holdings-reports-financial-results
2015Q4,occupancy_pct,Occupancy Percentage | 107.6 | % | 104.6 | % | 109.0 | % | 109.0 | %,https://www.nclhltd.com/investors/news-events/press-releases/detail/178/norwegian-cruise-line-holdings-reports-financial-results
2015Q4,passenger_ticket_revenue_usd_m,"Passenger ticket revenue | $ | 722,542 | $ | 739,018 | $ | 548,469 | $ | 3,129,075 | $ | 3,203,661 | $ | 2,176,153",https://www.nclhltd.com/investors/news-events/press-releases/detail/178/norwegian-cruise-line-holdings-reports-financial-results
2015Q4,onboard_other_revenue_usd_m,"Onboard and other revenue | 313,981 | 313,981 | 240,440 | 1,215,973 | 1,215,973 | 949,728",https://www.nclhltd.com/investors/news-events/press-releases/detail/178/norwegian-cruise-line-holdings-reports-financial-results
2015Q4,total_revenue_usd_m,"Total revenue | 1,036,523 | 1,052,999 | 788,909 | 4,345,048 | 4,419,634 | 3,125,881",https://www.nclhltd.com/investors/news-events/press-releases/detail/178/norwegian-cruise-line-holdings-reports-financial-results
2015Q4,capacity_days,"Capacity Days | 3,813,830 | 3,813,830 | 3,398,468 | 14,700,990 | 14,700,990 | 12,512,459",https://www.nclhltd.com/investors/news-events/press-releases/detail/178/norwegian-cruise-line-holdings-reports-financial-results
2015Q4,net_yield_usd_per_capacity_day,Net Yield | $ | 209.49 | $ | 212.65 | $ | 179.11 | $ | 224.95 | $ | 228.76 | $ | 191.66,https://www.nclhltd.com/investors/news-events/press-releases/detail/178/norwegian-cruise-line-holdings-reports-financial-results
2015Q4,capacity_days,"Capacity Days | 3,813,830 | 3,813,830 | 3,398,468 | 14,700,990 | 14,700,990 | 12,512,459",https://www.nclhltd.com/investors/news-events/press-releases/detail/178/norwegian-cruise-line-holdings-reports-financial-results
2016Q1,passenger_ticket_revenue_usd_m,"Passenger ticket | $ | 740,112 | $ | 670,483",https://www.nclhltd.com/investors/news-events/press-releases/detail/173/norwegian-cruise-line-holdings-reports-financial-results
2016Q1,onboard_other_revenue_usd_m,"Onboard and other | 337,520 | 267,699",https://www.nclhltd.com/investors/news-events/press-releases/detail/173/norwegian-cruise-line-holdings-reports-financial-results
2016Q1,total_revenue_usd_m,"Total revenue | 1,077,632 | 938,182",https://www.nclhltd.com/investors/news-events/press-releases/detail/173/norwegian-cruise-line-holdings-reports-financial-results
2016Q1,onboard_other_revenue_usd_m,"Onboard and other | 63,965 | 58,645",https://www.nclhltd.com/investors/news-events/press-releases/detail/173/norwegian-cruise-line-holdings-reports-financial-results
2016Q1,advance_ticket_sales_current_usd_m,"Advance ticket sales | 1,178,749 | 1,023,973",https://www.nclhltd.com/investors/news-events/press-releases/detail/173/norwegian-cruise-line-holdings-reports-financial-results
2016Q1,advance_ticket_sales_current_usd_m,"Advance ticket sales | 148,621 | 255,556",https://www.nclhltd.com/investors/news-events/press-releases/detail/173/norwegian-cruise-line-holdings-reports-financial-results
2016Q1,capacity_days,"Capacity Days | 3,990,942 | 3,556,468",https://www.nclhltd.com/investors/news-events/press-releases/detail/173/norwegian-cruise-line-holdings-reports-financial-results
2016Q1,occupancy_pct,Occupancy Percentage | 107.4 | % | 106.0 | %,https://www.nclhltd.com/investors/news-events/press-releases/detail/173/norwegian-cruise-line-holdings-reports-financial-results
2016Q1,passenger_ticket_revenue_usd_m,"Passenger ticket revenue | $ | 740,112 | $ | 752,632 | $ | 670,483",https://www.nclhltd.com/investors/news-events/press-releases/detail/173/norwegian-cruise-line-holdings-reports-financial-results
2016Q1,onboard_other_revenue_usd_m,"Onboard and other revenue | 337,520 | 337,519 | 267,699",https://www.nclhltd.com/investors/news-events/press-releases/detail/173/norwegian-cruise-line-holdings-reports-financial-results
2016Q1,total_revenue_usd_m,"Total revenue | 1,077,632 | 1,090,151 | 938,182",https://www.nclhltd.com/investors/news-events/press-releases/detail/173/norwegian-cruise-line-holdings-reports-financial-results
2016Q1,capacity_days,"Capacity Days | 3,990,942 | 3,990,942 | 3,556,468",https://www.nclhltd.com/investors/news-events/press-releases/detail/173/norwegian-cruise-line-holdings-reports-financial-results
2016Q1,net_yield_usd_per_capacity_day,Net Yield | $ | 210.03 | $ | 212.30 | $ | 198.99,https://www.nclhltd.com/investors/news-events/press-releases/detail/173/norwegian-cruise-line-holdings-reports-financial-results
2016Q1,capacity_days,"Capacity Days | 3,990,942 | 3,990,942 | 3,556,468",https://www.nclhltd.com/investors/news-events/press-releases/detail/173/norwegian-cruise-line-holdings-reports-financial-results
2016Q2,passenger_ticket_revenue_usd_m,"Passenger ticket | $ | 818,478 | $ | 787,991 | $ | 1,558,590 | $ | 1,458,474",https://www.nclhltd.com/investors/news-events/press-releases/detail/170/norwegian-cruise-line-holdings-reports-financial-results
2016Q2,onboard_other_revenue_usd_m,"Onboard and other | 368,357 | 297,442 | 705,877 | 565,141",https://www.nclhltd.com/investors/news-events/press-releases/detail/170/norwegian-cruise-line-holdings-reports-financial-results
2016Q2,total_revenue_usd_m,"Total revenue | 1,186,835 | 1,085,433 | 2,264,467 | 2,023,615",https://www.nclhltd.com/investors/news-events/press-releases/detail/170/norwegian-cruise-line-holdings-reports-financial-results
2016Q2,onboard_other_revenue_usd_m,"Onboard and other | 75,790 | 67,885 | 139,755 | 126,530",https://www.nclhltd.com/investors/news-events/press-releases/detail/170/norwegian-cruise-line-holdings-reports-financial-results
2016Q2,advance_ticket_sales_current_usd_m,"Advance ticket sales | 1,390,137 | 1,023,973",https://www.nclhltd.com/investors/news-events/press-releases/detail/170/norwegian-cruise-line-holdings-reports-financial-results
2016Q2,advance_ticket_sales_current_usd_m,"Advance ticket sales | 358,625 | 412,602",https://www.nclhltd.com/investors/news-events/press-releases/detail/170/norwegian-cruise-line-holdings-reports-financial-results
2016Q2,capacity_days,"Capacity Days | 3,974,508 | 3,634,143 | 7,965,450 | 7,190,611",https://www.nclhltd.com/investors/news-events/press-releases/detail/170/norwegian-cruise-line-holdings-reports-financial-results
2016Q2,occupancy_pct,Occupancy Percentage | 106.6 | % | 108.7 | % | 107.0 | % | 107.3 | %,https://www.nclhltd.com/investors/news-events/press-releases/detail/170/norwegian-cruise-line-holdings-reports-financial-results
2016Q2,passenger_ticket_revenue_usd_m,"Passenger ticket revenue | $ | 818,478 | $ | 822,398 | $ | 787,991 | $ | 1,558,590 | $ | 1,575,030 | $ | 1,458,474",https://www.nclhltd.com/investors/news-events/press-releases/detail/170/norwegian-cruise-line-holdings-reports-financial-results
2016Q2,onboard_other_revenue_usd_m,"Onboard and other revenue | 368,357 | 368,358 | 297,442 | 705,877 | 705,877 | 565,141",https://www.nclhltd.com/investors/news-events/press-releases/detail/170/norwegian-cruise-line-holdings-reports-financial-results
2016Q2,total_revenue_usd_m,"Total revenue | 1,186,835 | 1,190,756 | 1,085,433 | 2,264,467 | 2,280,907 | 2,023,615",https://www.nclhltd.com/investors/news-events/press-releases/detail/170/norwegian-cruise-line-holdings-reports-financial-results
2016Q2,capacity_days,"Capacity Days | 3,974,508 | 3,974,508 | 3,634,143 | 7,965,450 | 7,965,450 | 7,190,611",https://www.nclhltd.com/investors/news-events/press-releases/detail/170/norwegian-cruise-line-holdings-reports-financial-results
2016Q2,net_yield_usd_per_capacity_day,Net Yield | $ | 230.85 | $ | 231.62 | $ | 227.04 | $ | 220.42 | $ | 221.94 | $ | 213.17,https://www.nclhltd.com/investors/news-events/press-releases/detail/170/norwegian-cruise-line-holdings-reports-financial-results
2016Q2,capacity_days,"Capacity Days | 3,974,508 | 3,974,508 | 3,634,143 | 7,965,450 | 7,965,450 | 7,190,611",https://www.nclhltd.com/investors/news-events/press-releases/detail/170/norwegian-cruise-line-holdings-reports-financial-results
2016Q3,passenger_ticket_revenue_usd_m,"Passenger ticket | $ | 1,071,815 | $ | 948,059 | $ | 2,630,405 | $ | 2,406,533",https://www.nclhltd.com/investors/news-events/press-releases/detail/167/norwegian-cruise-line-holdings-reports-financial-results
2016Q3,onboard_other_revenue_usd_m,"Onboard and other | 412,921 | 336,851 | 1,118,798 | 901,992",https://www.nclhltd.com/investors/news-events/press-releases/detail/167/norwegian-cruise-line-holdings-reports-financial-results
2016Q3,total_revenue_usd_m,"Total revenue | 1,484,736 | 1,284,910 | 3,749,203 | 3,308,525",https://www.nclhltd.com/investors/news-events/press-releases/detail/167/norwegian-cruise-line-holdings-reports-financial-results
2016Q3,onboard_other_revenue_usd_m,"Onboard and other | 90,661 | 84,171 | 230,416 | 210,701",https://www.nclhltd.com/investors/news-events/press-releases/detail/167/norwegian-cruise-line-holdings-reports-financial-results
2016Q3,advance_ticket_sales_current_usd_m,"Advance ticket sales | 1,210,505 | 1,023,973",https://www.nclhltd.com/investors/news-events/press-releases/detail/167/norwegian-cruise-line-holdings-reports-financial-results
2016Q3,advance_ticket_sales_current_usd_m,"Advance ticket sales | 180,447 | 308,691",https://www.nclhltd.com/investors/news-events/press-releases/detail/167/norwegian-cruise-line-holdings-reports-financial-results
2016Q3,capacity_days,"Capacity Days | 4,209,562 | 3,696,549 | 12,175,012 | 10,887,160",https://www.nclhltd.com/investors/news-events/press-releases/detail/167/norwegian-cruise-line-holdings-reports-financial-results
2016Q3,occupancy_pct,Occupancy Percentage | 111.0 | % | 113.9 | % | 108.4 | % | 109.5 | %,https://www.nclhltd.com/investors/news-events/press-releases/detail/167/norwegian-cruise-line-holdings-reports-financial-results
2016Q3,passenger_ticket_revenue_usd_m,"Passenger ticket revenue | $ | 1,071,815 | $ | 1,080,784 | $ | 948,059 | $ | 2,630,405 | $ | 2,655,815 | $ | 2,406,533",https://www.nclhltd.com/investors/news-events/press-releases/detail/167/norwegian-cruise-line-holdings-reports-financial-results
2016Q3,onboard_other_revenue_usd_m,"Onboard and other revenue | 412,921 | 412,921 | 336,851 | 1,118,798 | 1,118,798 | 901,992",https://www.nclhltd.com/investors/news-events/press-releases/detail/167/norwegian-cruise-line-holdings-reports-financial-results
2016Q3,total_revenue_usd_m,"Total revenue | 1,484,736 | 1,493,705 | 1,284,910 | 3,749,203 | 3,774,613 | 3,308,525",https://www.nclhltd.com/investors/news-events/press-releases/detail/167/norwegian-cruise-line-holdings-reports-financial-results
2016Q3,capacity_days,"Capacity Days | 4,209,562 | 4,209,562 | 3,696,549 | 12,175,012 | 12,175,012 | 10,887,160",https://www.nclhltd.com/investors/news-events/press-releases/detail/167/norwegian-cruise-line-holdings-reports-financial-results
2016Q3,net_yield_usd_per_capacity_day,Net Yield | $ | 271.89 | $ | 273.56 | $ | 263.80 | $ | 238.22 | $ | 239.79 | $ | 230.36,https://www.nclhltd.com/investors/news-events/press-releases/detail/167/norwegian-cruise-line-holdings-reports-financial-results
2016Q3,capacity_days,"Capacity Days | 4,209,562 | 4,209,562 | 3,696,549 | 12,175,012 | 12,175,012 | 10,887,160",https://www.nclhltd.com/investors/news-events/press-releases/detail/167/norwegian-cruise-line-holdings-reports-financial-results
2016Q4,passenger_ticket_revenue_usd_m,"Passenger ticket | $ | 758,549 | $ | 722,542 | $ | 3,388,954 | $ | 3,129,075",https://www.nclhltd.com/investors/news-events/press-releases/detail/158/norwegian-cruise-line-holdings-reports-financial-results
2016Q4,onboard_other_revenue_usd_m,"Onboard and other | 366,588 | 313,981 | 1,485,386 | 1,215,973",https://www.nclhltd.com/investors/news-events/press-releases/detail/158/norwegian-cruise-line-holdings-reports-financial-results
2016Q4,total_revenue_usd_m,"Total revenue | 1,125,137 | 1,036,523 | 4,874,340 | 4,345,048",https://www.nclhltd.com/investors/news-events/press-releases/detail/158/norwegian-cruise-line-holdings-reports-financial-results
2016Q4,onboard_other_revenue_usd_m,"Onboard and other | 68,470 | 62,101 | 298,886 | 272,802",https://www.nclhltd.com/investors/news-events/press-releases/detail/158/norwegian-cruise-line-holdings-reports-financial-results
2016Q4,advance_ticket_sales_current_usd_m,"Advance ticket sales | 1,172,870 | 1,023,973",https://www.nclhltd.com/investors/news-events/press-releases/detail/158/norwegian-cruise-line-holdings-reports-financial-results
2016Q4,advance_ticket_sales_current_usd_m,"Advance ticket sales | 134,971 | 218,260",https://www.nclhltd.com/investors/news-events/press-releases/detail/158/norwegian-cruise-line-holdings-reports-financial-results
2016Q4,capacity_days,"Capacity Days | 4,201,051 | 3,813,830 | 16,376,063 | 14,700,990",https://www.nclhltd.com/investors/news-events/press-releases/detail/158/norwegian-cruise-line-holdings-reports-financial-results
2016Q4,occupancy_pct,Occupancy Percentage | 104.5 | % | 107.6 | % | 107.4 | % | 109.0 | %,https://www.nclhltd.com/investors/news-events/press-releases/detail/158/norwegian-cruise-line-holdings-reports-financial-results
2016Q4,passenger_ticket_revenue_usd_m,"Passenger ticket revenue | $ | 758,549 | $ | 765,144 | $ | 722,542 | $ | 3,388,954 | $ | 3,420,959 | $ | 3,129,075",https://www.nclhltd.com/investors/news-events/press-releases/detail/158/norwegian-cruise-line-holdings-reports-financial-results
2016Q4,onboard_other_revenue_usd_m,"Onboard and other revenue | 366,588 | 366,588 | 313,981 | 1,485,386 | 1,485,386 | 1,215,973",https://www.nclhltd.com/investors/news-events/press-releases/detail/158/norwegian-cruise-line-holdings-reports-financial-results
2016Q4,total_revenue_usd_m,"Total revenue | 1,125,137 | 1,131,732 | 1,036,523 | 4,874,340 | 4,906,345 | 4,345,048",https://www.nclhltd.com/investors/news-events/press-releases/detail/158/norwegian-cruise-line-holdings-reports-financial-results
2016Q4,capacity_days,"Capacity Days | 4,201,051 | 4,201,051 | 3,813,830 | 16,376,063 | 16,376,063 | 14,700,990",https://www.nclhltd.com/investors/news-events/press-releases/detail/158/norwegian-cruise-line-holdings-reports-financial-results
2016Q4,net_yield_usd_per_capacity_day,Net Yield | $ | 205.09 | $ | 206.24 | $ | 209.49 | $ | 229.72 | $ | 231.18 | $ | 224.95,https://www.nclhltd.com/investors/news-events/press-releases/detail/158/norwegian-cruise-line-holdings-reports-financial-results
2016Q4,capacity_days,"Capacity Days | 4,201,051 | 4,201,051 | 3,813,830 | 16,376,063 | 16,376,063 | 14,700,990",https://www.nclhltd.com/investors/news-events/press-releases/detail/158/norwegian-cruise-line-holdings-reports-financial-results
2017Q1,passenger_ticket_revenue_usd_m,"Passenger ticket | $ | 786,694 | $ | 740,112",https://www.nclhltd.com/investors/news-events/press-releases/detail/153/norwegian-cruise-line-holdings-reports-financial-results
2017Q1,onboard_other_revenue_usd_m,"Onboard and other | 364,087 | 337,520",https://www.nclhltd.com/investors/news-events/press-releases/detail/153/norwegian-cruise-line-holdings-reports-financial-results
2017Q1,total_revenue_usd_m,"Total revenue | 1,150,781 | 1,077,632",https://www.nclhltd.com/investors/news-events/press-releases/detail/153/norwegian-cruise-line-holdings-reports-financial-results
2017Q1,onboard_other_revenue_usd_m,"Onboard and other | 68,411 | 63,965",https://www.nclhltd.com/investors/news-events/press-releases/detail/153/norwegian-cruise-line-holdings-reports-financial-results
2017Q1,advance_ticket_sales_current_usd_m,"Advance ticket sales | 1,372,483 | 1,172,870",https://www.nclhltd.com/investors/news-events/press-releases/detail/153/norwegian-cruise-line-holdings-reports-financial-results
2017Q1,advance_ticket_sales_current_usd_m,"Advance ticket sales | 222,935 | 148,621",https://www.nclhltd.com/investors/news-events/press-releases/detail/153/norwegian-cruise-line-holdings-reports-financial-results
2017Q1,capacity_days,"Capacity Days | 4,030,616 | 3,990,942",https://www.nclhltd.com/investors/news-events/press-releases/detail/153/norwegian-cruise-line-holdings-reports-financial-results
2017Q1,occupancy_pct,Occupancy Percentage | 105.0 | % | 107.4 | %,https://www.nclhltd.com/investors/news-events/press-releases/detail/153/norwegian-cruise-line-holdings-reports-financial-results
2017Q1,passenger_ticket_revenue_usd_m,"Passenger ticket revenue | $ | 786,694 | $ | 794,507 | $ | 740,112",https://www.nclhltd.com/investors/news-events/press-releases/detail/153/norwegian-cruise-line-holdings-reports-financial-results
2017Q1,onboard_other_revenue_usd_m,"Onboard and other revenue | 364,087 | 364,087 | 337,520",https://www.nclhltd.com/investors/news-events/press-releases/detail/153/norwegian-cruise-line-holdings-reports-financial-results
2017Q1,total_revenue_usd_m,"Total revenue | 1,150,781 | 1,158,594 | 1,077,632",https://www.nclhltd.com/investors/news-events/press-releases/detail/153/norwegian-cruise-line-holdings-reports-financial-results
2017Q1,capacity_days,"Capacity Days | 4,030,616 | 4,030,616 | 3,990,942",https://www.nclhltd.com/investors/news-events/press-releases/detail/153/norwegian-cruise-line-holdings-reports-financial-results
2017Q1,net_yield_usd_per_capacity_day,Net Yield | $ | 220.37 | $ | 221.72 | $ | 210.03,https://www.nclhltd.com/investors/news-events/press-releases/detail/153/norwegian-cruise-line-holdings-reports-financial-results
2017Q1,capacity_days,"Capacity Days | 4,030,616 | 4,030,616 | 3,990,942",https://www.nclhltd.com/investors/news-events/press-releases/detail/153/norwegian-cruise-line-holdings-reports-financial-results
2017Q2,passenger_ticket_revenue_usd_m,"Passenger ticket | $ | 938,014 | $ | 818,478 | $ | 1,724,708 | $ | 1,558,590",https://www.nclhltd.com/investors/news-events/press-releases/detail/150/norwegian-cruise-line-holdings-reports-financial-results
2017Q2,onboard_other_revenue_usd_m,"Onboard and other | 406,089 | 368,357 | 770,176 | 705,877",https://www.nclhltd.com/investors/news-events/press-releases/detail/150/norwegian-cruise-line-holdings-reports-financial-results
2017Q2,total_revenue_usd_m,"Total revenue | 1,344,103 | 1,186,835 | 2,494,884 | 2,264,467",https://www.nclhltd.com/investors/news-events/press-releases/detail/150/norwegian-cruise-line-holdings-reports-financial-results
