path,sha256,claim,result
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\qvs\QVS_GUIDE_BASIS_AND_DECISION_LOGIC_v1.md,37bacad9d55d1b5a1f31aa0db793f3ca8784051d3bfd8e4f84786fe1be49cd36,source input,PASS
data\processed\forecast_methods\lane4_review_v2\review_v1\inputs\19_QVS_GUIDE_BASIS_AND_DECISION_LOGIC_v1.md,37bacad9d55d1b5a1f31aa0db793f3ca8784051d3bfd8e4f84786fe1be49cd36,snapshot input,PASS
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\qvs\QVS_VARIANCE_AND_PRESENTATION_ARGUMENTS_v1.md,0d8eb557924f7dc476d400cb0cec2ba2c30aac92fc22e0133047416677e7cb84,source input,PASS
data\processed\forecast_methods\lane4_review_v2\review_v1\inputs\20_QVS_VARIANCE_AND_PRESENTATION_ARGUMENTS_v1.md,0d8eb557924f7dc476d400cb0cec2ba2c30aac92fc22e0133047416677e7cb84,snapshot input,PASS
docs\revenue-forecast-strategy\05_backtests\LANE2_MEMO_READY_CLAIMS.md,5b54b1c2e6fdd62f8cc84ff9602b02a364d1df9507886bb132ee45712aa59d3a,source input,PASS
data\processed\forecast_methods\lane4_review_v2\review_v1\inputs\21_LANE2_MEMO_READY_CLAIMS.md,5b54b1c2e6fdd62f8cc84ff9602b02a364d1df9507886bb132ee45712aa59d3a,snapshot input,PASS
docs\revenue-forecast-strategy\05_backtests\ALPHA_F_RNPL.md,636850c6c887cd0efecd05322f2a8d2a59ab2146aa5ed13bcca4a115d024b6ee,source input,PASS
data\processed\forecast_methods\lane4_review_v2\review_v1\inputs\22_ALPHA_F_RNPL.md,636850c6c887cd0efecd05322f2a8d2a59ab2146aa5ed13bcca4a115d024b6ee,snapshot input,PASS
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\bundle\payload\conversion\01_seasonal_conversion.png,52ffcb5cef1e965127370afca0d233d0de57efeed8dd369e98e662823a7642ac,source input,PASS
deck\drafts\lane4_v2\review_v1\01_seasonal_conversion.png,52ffcb5cef1e965127370afca0d233d0de57efeed8dd369e98e662823a7642ac,snapshot input,PASS
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\bundle\payload\conversion\01_seasonal_conversion.svg,851d5cee2aca6204aabbaeba3d3144c2ee40f896ab0773bb4a3763f7f48c59fe,source input,PASS
deck\drafts\lane4_v2\review_v1\01_seasonal_conversion.svg,851d5cee2aca6204aabbaeba3d3144c2ee40f896ab0773bb4a3763f7f48c59fe,snapshot input,PASS
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\bundle\payload\conversion\02_weight_identification.png,70664777090d6c6ead68763878c126d4591893b5725c2a785884c33761f0b27b,source input,PASS
deck\drafts\lane4_v2\review_v1\02_weight_identification.png,70664777090d6c6ead68763878c126d4591893b5725c2a785884c33761f0b27b,snapshot input,PASS
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\bundle\payload\conversion\02_weight_identification.svg,cfa380225529c79283e14259248002f16efa92d83de457058b49e76e2d568350,source input,PASS
deck\drafts\lane4_v2\review_v1\02_weight_identification.svg,cfa380225529c79283e14259248002f16efa92d83de457058b49e76e2d568350,snapshot input,PASS
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\bundle\payload\conversion\03_chronological_validation.png,89b39cb8527bdd531caba51b7c50e9939254b43c6bbb25e537217f74acd72248,source input,PASS
deck\drafts\lane4_v2\review_v1\03_chronological_validation.png,89b39cb8527bdd531caba51b7c50e9939254b43c6bbb25e537217f74acd72248,snapshot input,PASS
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\bundle\payload\conversion\03_chronological_validation.svg,e0322de126adef6d857401cd944ac296e77aa04590fa78217e60a2343e5ca2e4,source input,PASS
deck\drafts\lane4_v2\review_v1\03_chronological_validation.svg,e0322de126adef6d857401cd944ac296e77aa04590fa78217e60a2343e5ca2e4,snapshot input,PASS
deck\drafts\lane4_v2\review_v1\01_seasonal_conversion.png,52ffcb5cef1e965127370afca0d233d0de57efeed8dd369e98e662823a7642ac,unchanged accepted chart,PASS
deck\drafts\lane4_v2\review_v1\01_seasonal_conversion.svg,851d5cee2aca6204aabbaeba3d3144c2ee40f896ab0773bb4a3763f7f48c59fe,unchanged accepted chart,PASS
deck\drafts\lane4_v2\review_v1\02_weight_identification.png,70664777090d6c6ead68763878c126d4591893b5725c2a785884c33761f0b27b,unchanged accepted chart,PASS
deck\drafts\lane4_v2\review_v1\02_weight_identification.svg,cfa380225529c79283e14259248002f16efa92d83de457058b49e76e2d568350,unchanged accepted chart,PASS
deck\drafts\lane4_v2\review_v1\03_chronological_validation.png,89b39cb8527bdd531caba51b7c50e9939254b43c6bbb25e537217f74acd72248,unchanged accepted chart,PASS
deck\drafts\lane4_v2\review_v1\03_chronological_validation.svg,e0322de126adef6d857401cd944ac296e77aa04590fa78217e60a2343e5ca2e4,unchanged accepted chart,PASS
