id,jurisdiction,title,status,dates,next_catalyst
REG-13,Spain / Malaga,Citywide moratorium on new tourist homes,In force,2025-08-23; maximum three years or earlier planning reform,"PGOU reform, category substitutions and end of suspension."
REG-16,Spain / Canary Islands,Law 6/2025 sustainable tourist use of housing,Enacted; phased implementation,Law dated 2025-12-10; regional publication 2025-12-12,"Municipal planning, implementing rules and treatment of existing units."
REG-15,Hungary / Budapest district VI (Terezvaros),District-level zero-day STR rule,In force per municipal source,"2026-01-01, following 2024 resident vote",Enforcement and accommodation reclassification; other district proposals.
REG-17,European Union,STR data-sharing regulation,Applicable,2026-05-20,"Country implementation, data quality and first enforcement actions."
REG-18,Spain / communities governed by national Horizontal Property Law,Neighbour approval for new tourist letting,In force,2025-04-03,Owner-association votes and litigation over grandfathering.
REG-20,Greece / national,STR operating and safety standards,In force,2025-10-01,Inspections and host conversion costs.
REG-19,United Kingdom / Scotland,Mandatory STR licences,In force,Existing-host application deadline 2023-10-01; new operators require licence,"Licence refusals, renewals and local planning decisions."
REG-21,Spain / Ibiza and Balearic destinations,Illegal-supply enforcement with reported market contraction,Enforcement; observed market evidence,2025 activity; Reuters report 2026-01-13,"Comparable active inventory, booked nights and legal-listing retention."
REG-22,Spain / Barcelona,Planned non-renewal of tourist-apartment licences in 2028,Adopted policy; future phase-out,Announced 2024-06; city 2025 tourism plan reiterates 2028,"2028 licence expiry, court proceedings and implementation decisions."
REG-23,United States / Maui,Bill 9 apartment-zone vacation-rental phase-out,Signed; delayed phase-out,Signed 2025-12-15; West Maui 2029-01-01; other areas 2031-01-01,"Hotel rezoning, lawsuits/stays and final unit-level classification."
REG-24,Ireland / national,National STR registration launch,Announced implementation schedule; future,Opens 2026-12-01; registration required by 2026-12-31,"December launch, final rules and planning guidance."
REG-25,European Union,Affordable Housing Act: draft rules for housing-stress areas,Draft reported; not adopted legislation,Reuters 2026-09-04; presentation expected 2026-09-09,September 9 presentation; subsequent Parliament/Council negotiations.
REG-26,France / Paris,Further restrictions on professional multi-property STR operators,Municipal policy ambition; passage not established,2026 city policy page,"Draft ordinances, enabling law and adoption."
REG-27,United Kingdom / England,Mandatory short-term letting registration,Announced/under development; commencement not verified,2023 enabling framework; current guidance 2026,"Implementation regulations, launch date and platform obligations."
REG-28,Portugal / Lisbon,Housing referendum to cancel residential AL registrations,Proposed referendum blocked by court,Constitutional Court judgment 1/2025,Redesigned referendum or legislation expanding municipal powers.
REG-29,"Spain / Barcelona, Balearics and other cities",Coordinated anti-overtourism protests,Activism; linked enacted rules tracked separately,2024 protests; coordinated demonstrations 2025-06-15,"Concrete bills, electoral commitments and expansion of coalitions."
REG-30,Spain / Canary Islands,Mass-tourism and housing protests,Activism; subsequent law tracked separately,2024-04-20,Implementation politics around the regional law and renewed mobilisation.
REG-31,Portugal / Lisbon and wider housing movement,Housing activism and participation in Southern European mobilisation,Activism; specific referendum/legal measures tracked separately,2023-2025 housing pressure; coordinated mobilisation planned June 2025,"Municipal elections/decisions, new petitions and enforceable proposals."
REG-32,Greece / tourism-intensive islands and Athens,Resident housing and tourism-capacity pressure,Social pressure; no distinct new STR bill established for this row,2024-2025 coverage,Specific island/municipal STR proposals and resident campaigns.
