source_id,path,unit,timing,allowed_use,decision_reason,original_booking_date,stay_date,monetary_value,cancellation_history,platform_fees,historical_vintage,date_columns,manifest,direct_current_corporate_cohort_eligible,local_exists,n_rows,n_columns,actual_columns,sha256,max_commit_lag_days,manifest_raw_paths_local,manifest_claimed_rows,manifest_claimed_columns,manifest_claimed_dates,captured_or_pulled_at,distinct_dtstamp,adoption_date_best_nonnull
PR60_review_vintages,data/processed/q3nowcast_v2/E/market_vintage_monthly.csv,market x vintage x review month,2023 captures with historical review dates,source_diagnostic,"Review posting dates omit original booking, paid value, cancelled/no-review stays; second-vintage study rejects fixed survivor wedge.",absent,review month proxy,absent,absent,absent,dump_date,dump_date|ym,,False,True,60811.0,10.0,market_key|cdn_path|dump_date|ymi|n_reviews|n_listings|n_reviews_mature12|n_reviews_mature24|n_new_listing_cohort|ym,1b512eaf6c15e965ce2117cfb01ce780d630a418130889b985beddc85eaa0764,,,,,,,,
PR60_review_raw_manifest,data/processed/q3nowcast_v2/E/raw_manifest_vintage2023.csv,raw file manifest,March-May2023 captures pulled Sep2026,source_diagnostic,"External raw-store paths and hashes are evidence of prior pull, not currently local raw files.",absent,absent,absent,absent,absent,dump_date+pulled_at,dump_date|pulled_at,,False,True,114.0,10.0,market_key|dump_date|path|bytes|bytes_expected|size_match|sha256|n_lines|url|pulled_at,1951c4221dbb706d9cd71956aead0bb19b7f768ae0dfb50f747f13d61b228419,,0.0,,,,,,
PR60_review_BA_sample,data/processed/github_altdata/samples/hf-buenosaires-airbnb-reviews/buenos_aires_reviews_head_2023-03_dump.csv,individual review; sample,"2023 capture, historical posting dates",schema_only,"Actual schema has date+listing id, not booking date/value/cancellation; no personal rows exported.",absent,review posting date only,absent,absent,absent,single March2023 capture,date,hf-buenosaires-airbnb-reviews,False,True,8000.0,6.0,listing_id|id|date|reviewer_id|reviewer_name|comments,3266387ef4d099fb9bf727302bcff4e9df608fea0e7f67bbb01c1c76934f5a44,,,"buenos_aires_reviews_head: 8,000 (75 listings); nyc_reviews_head: 8,000 (70 listings); hf_raw_dl_file_index: 116 files","reviews: listing_id, id, date, reviewer_id, reviewer_name, comments (Inside Airbnb reviews.csv.gz schema); index: path, bytes_gz, dump_date",review dates 2009-04-13 to 2023-03-28 in the two heads; dump dates 2023-03-06 to 2023-05-18 across the 116 files,2026-09-14,,
PR60_WSDM_sample,data/processed/github_altdata/samples/bookingcom-multi-destination-trip-wsdm2021/bkng_trip_train_head.csv,competitor reservation within trip,2016-Feb2017 per manifest,excluded,CSV absent locally; README advertises created_date but manifest reports it absent. No prices/cancellations; multi-city selected competitor sample.,absent,checkin/checkout per manifest,absent,absent,absent,absent,,bookingcom-multi-destination-trip-wsdm2021,False,False,,,,,,,"train head 62,861 rows (11,763 trips) of 1,166,835; test head 25,880 rows (4,798 trips) of ~379k; ground_truth 70,662 rows (COMPLETE file, 1.84 MB); README n/a","train/test: user_id, checkin, checkout, city_id, device_class, affiliate_id, booker_country, hotel_country, utrip_id (test column order differs; test hides the last city of each trip). ground_truth: utrip_id, city_id, hotel_country",checkin 2016-01-01 to 2017-02-27; checkout 2016-01-02 to 2017-02-28 (heads; full set is the same 2016-2017 span per README),2026-09-14,,
PR60_RecTour_sample,data/processed/github_altdata/samples/bookingcom-rectour24-accommodation-reviews/rectour24_train_users_head.csv,competitor reviewed stay,2023 stay-month integer,excluded,"CSV absent locally; manifest schema has month, room_nights, no booking date, monetary values or cancellations; filtered reviewed stays.",absent,month integer per manifest,absent,absent,absent,absent,,bookingcom-rectour24-accommodation-reviews,False,False,,,,,,,"bkng_acc_train_head 14,203; bkng_acc_val_head 5,861; rectour24_train_users_head 19,330; rectour24_train_reviews_head 5,896; rectour24_train_matches_head 11,768 (all are ranged-byte heads with the trailing partial record dropped)","train/val: review_title, review_positive, review_negative, review_score, review_helpful_votes, guest_type, guest_country(anonymised), room_nights, month, accommodation_id, accommodation_type, accommodation_country, accommodation_score, accommodation_star_rating, location_is_ski/beach/city_center. rectour24 users: user_id + same stay/accommodation fields; reviews: review_id, accommodation_id, title/pos/neg text, score, helpful_votes; matches: accommodation_id, review_id, user_id","check-in month 1-12 of 2023 (month integer only; no year column, README says reviews published in 2023)",2026-09-14,,
PR60_BrightData_quotes,data/processed/github_altdata/samples/brightdata-booking-listings-sample-1001/brightdata_booking_1001.csv,property x fixed search quotation,Jan1-10 2025 requested stay dates,excluded,CSV absent locally; quotes with free-cancellation policy are not reservations or realized cancellations.,absent,queried stay dates,offered quote only,policy flag only,absent,absent,,brightdata-booking-listings-sample-1001,False,False,,,,,,,brightdata_booking_1001.csv: 1000 data rows (+ header),"url, location, check_in, check_out, adults, children, rooms, id, title, address, city, review_score, review_count, image, final_price, original_price, currency, tax_description, nb_livingrooms, nb_kitchens, nb_bedrooms, nb_all_beds, full_location (JSON), no_prepayment, free_cancellation, property_sustainability (JSON)",check_in 2025-01-01 / check_out 2025-01-10 for every row (single fixed 9-night stay window); capture ~Dec 2024 (repo last push 2024-12-16),2026-09-14,,
PR60_Boston_booked,data/processed/github_altdata/samples/sideye-boston-occupancy-tax-imputed-nights/long_date_booked.csv,city x scrape interval; imputed nights,Jul2018-May2019,method_example_only,Separate aggregate booking/stay margins cannot be joined as a joint matrix; calendar blocks ambiguous; raw never committed.,scrape interval inference,absent,mean nightly quote,absent,absent,scrape period labels,dates,sideye-boston-occupancy-tax-imputed-nights,False,True,100.0,18.0,price|nights|unit|dates|asheville|boston|chicago|dc|denver|montreal|nashville|quebec|sf|tc|period_no|nights_diff|trt|nights_per_period,2136caab0163a140ae039b0251dd5c6591e99d65192402f99a3cdc4b5ae05c56,,,"long_reservation_date_by_month.csv 110; long_reservation_date_by_sm_final.csv 210; long_reservation_date_by_week.csv 450; long_date_booked.csv 100; long_date_booked_2.csv 100; entries.csv 110; exits.csv 110; date_normalization.csv 11; control_cities.xlsx ~10 city rows (City, Tax Rate, Date Enacted/Updated, Source); pdf/py/R/ipynb n/a","reservation-date panels: month|week|bimonth, price (mean nightly $), nights (imputed booked nights), unit (city), trt (Boston=1); date-booked panels: price, nights, unit, dates (scrape period), per-city scrape-gap days, period_no, nights_diff, trt, nights_per_period; entries/exits: period, period_no, variable (city), value, trt; date_normalization: dates x city scrape-gap days","scrape periods jul_2018_aug_2018 to apr_2019_may_2019 (11 monthly scrapes, Jul 2018 - May 2019); reservation-date panels carry month 2-12 / week 8-52 without a year column (README: check-in dates Jul 2018 - Dec 2019, tax effective 1 Jan 2019); control_cities tax enactment dates 2014-2018",2026-09-14,,
PR60_Boston_stay,data/processed/github_altdata/samples/sideye-boston-occupancy-tax-imputed-nights/long_reservation_date_by_month.csv,city x month; imputed nights,"month without year,2018-19 per manifest",method_example_only,No original booking key shared with booked-date panel; upstream code uses last availability transition and removes cancellation history.,absent,month only,mean nightly quote,absent,absent,absent,month,sideye-boston-occupancy-tax-imputed-nights,False,True,110.0,5.0,month|price|nights|unit|trt,e0f6d3a5521a421201b1ee07e2ab0953623b3a34e86285e8309c1df05085a14b,,,"long_reservation_date_by_month.csv 110; long_reservation_date_by_sm_final.csv 210; long_reservation_date_by_week.csv 450; long_date_booked.csv 100; long_date_booked_2.csv 100; entries.csv 110; exits.csv 110; date_normalization.csv 11; control_cities.xlsx ~10 city rows (City, Tax Rate, Date Enacted/Updated, Source); pdf/py/R/ipynb n/a","reservation-date panels: month|week|bimonth, price (mean nightly $), nights (imputed booked nights), unit (city), trt (Boston=1); date-booked panels: price, nights, unit, dates (scrape period), per-city scrape-gap days, period_no, nights_diff, trt, nights_per_period; entries/exits: period, period_no, variable (city), value, trt; date_normalization: dates x city scrape-gap days","scrape periods jul_2018_aug_2018 to apr_2019_may_2019 (11 monthly scrapes, Jul 2018 - May 2019); reservation-date panels carry month 2-12 / week 8-52 without a year column (README: check-in dates Jul 2018 - Dec 2019, tax effective 1 Jan 2019); control_cities tax enactment dates 2014-2018",2026-09-14,,
PR60_iCal_demo,data/processed/github_altdata/samples/pixelcrash-sync-rentals-ical-merger/allservices_events.csv,calendar event,2019 single generation,excluded,"All DTSTAMP values are same generation timestamp, not booking times; no prices/cancellation history; demo overlaps and inconsistent channels.",absent,dtstart/dtend,absent,absent,absent,single file DTSTAMP only,dtstart|dtend|dtstamp,pixelcrash-sync-rentals-ical-merger,False,True,13.0,6.0,uid|channel|dtstart|dtend|nights|dtstamp,c728fe35dd315aa9114ae637e5d805a87a0aa39b22e4255878efba977aeee27f,,,allservices.ics: 13 VEVENTs; allservices_events.csv: 13 rows (one per VEVENT); icalmerger.php: n/a (code),"allservices_events.csv: uid, channel (SUMMARY), dtstart, dtend, nights, dtstamp. ics VEVENT fields: UID, DTSTART, DTEND, SUMMARY, SEQUENCE, TRANSP, CLASS, DTSTAMP","DTSTART min 2019-01-15, DTEND max 2019-06-05; all DTSTAMP 2019-01-15T22:48:18Z (single generation run)",2026-09-14,1.0,
PR60_card_spend,data/processed/github_altdata/samples/opportunity-insights-tracker/Affinity - National - Daily.csv,national day/week; spending change,2018-12-31 to2024-06-16,excluded_from_joint_model,"Truncated before late W2; no Airbnb merchant, reservation, stay or original booking fields; insufficient vintage path for forecast admission.",absent,absent,aggregate card-spend index,absent,absent,absent,year|month|day,opportunity-insights-tracker,False,True,1359.0,142.0,year|month|day|freq|spend_all|spend_aap|spend_acf|spend_aer|spend_apg|spend_durables|spend_nondurables|spend_grf|spend_gen|spend_hic|spend_hcs|spend_inperson|spend_inpersonmisc|spend_remoteservices|spend_sgh|spend_tws|spend_retail_w_grocery|spend_retail_no_grocery|spend_all_incmiddle|spend_all_q1|spend_all_q2|spend_all_q3|spend_all_q4|spend_19_aap|spend_19_acf|spend_19_aer|spend_19_all|spend_19_apg|spend_19_durables|spend_19_gen|spend_19_grf|spend_19_hcs|spend_19_hic|spend_19_inpersonmisc|spend_19_nondurables|spend_19_remoteservices|spend_19_sgh|spend_19_tws|spend_19_all_q4|spend_19_all_q1|spend_19_all_incmiddle|spend_19_all_q2|spend_19_all_q3|spend_19_inperson|spend_aap_q1|spend_acf_q1|spend_aer_q1|spend_apg_q1|spend_durables_q1|spend_gen_q1|spend_grf_q1|spend_hcs_q1|spend_hic_q1|spend_inpersonmisc_q1|spend_nondurables_q1|spend_remoteservices_q1|spend_sgh_q1|spend_tws_q1|spend_inperson_q1|spend_retail_no_grocery_q1|spend_retail_w_grocery_q1|spend_aap_q2|spend_acf_q2|spend_aer_q2|spend_apg_q2|spend_durables_q2|spend_gen_q2|spend_grf_q2|spend_hcs_q2|spend_hic_q2|spend_inpersonmisc_q2|spend_nondurables_q2|spend_remoteservices_q2|spend_sgh_q2|spend_tws_q2|spend_inperson_q2|spend_retail_no_grocery_q2|spend_retail_w_grocery_q2|spend_aap_q3|spend_acf_q3|spend_aer_q3|spend_apg_q3|spend_durables_q3|spend_gen_q3|spend_grf_q3|spend_hcs_q3|spend_hic_q3|spend_inpersonmisc_q3|spend_nondurables_q3|spend_remoteservices_q3|spend_sgh_q3|spend_tws_q3|spend_inperson_q3|spend_retail_no_grocery_q3|spend_retail_w_grocery_q3|spend_aap_q4|spend_acf_q4|spend_aer_q4|spend_apg_q4|spend_durables_q4|spend_gen_q4|spend_grf_q4|spend_hcs_q4|spend_hic_q4|spend_inpersonmisc_q4|spend_nondurables_q4|spend_remoteservices_q4|spend_sgh_q4|spend_tws_q4|spend_inperson_q4|spend_retail_no_grocery_q4|spend_retail_w_grocery_q4|spend_s_aap|spend_s_acf|spend_s_aer|spend_s_all|spend_s_apg|spend_s_durables|spend_s_gen|spend_s_grf|spend_s_hcs|spend_s_hic|spend_s_inpersonmisc|spend_s_nondurables|spend_s_remoteservices|spend_s_sgh|spend_s_tws|spend_s_all_incmiddle|spend_s_all_q1|spend_s_all_q2|spend_s_all_q3|spend_s_all_q4|spend_s_inperson|spend_s_retail_no_grocery|spend_s_retail_w_grocery|spend_19_retail_no_grocery|spend_19_retail_w_grocery|provisional,5d0973eac23a6a2f03580e3213c7716ae043c47f3bb0311d5149a01d89555fc9,,,"National Daily 1,359; State Daily 50,694 (51 states x 994 days); County Daily HEAD 158,247 (first ~4 MB of a 41 MB file, 2018-12-31 to 2020-04-06 only); Industry Composition 8; GeoIDs State 51","year, month, day, [statefips|countyfips], freq, spend_all, spend_aap, spend_acf (accommodation+food service), spend_aer (arts/entertainment/recreation), spend_apg, spend_durables, spend_nondurables, spend_grf, spend_gen, spend_hic, spend_hcs, spend_inperson, spend_inpersonmisc, spend_remoteservices, spend_sgh, spend_tws (transport), spend_retail_*, spend_all_q1..q4 (income quartile), provisional; national file adds spend_<cat>_q# and spend_19_* / spend_s_* variants (142 cols). County file has spend_all only. Values are 7-day-avg % change vs Jan 2020 (decimal), '.' = missing.",2018-12-31 to 2024-06-16 (rows); non-missing values 2020-01-13 to 2024-06-16; last 3 rows flagged provisional,2026-09-14,,
PR60_BNPL_adoption,data/processed/github_altdata/samples/augustliu-bnpl-merchant-dataset/BNPL_Merchant_Adoption_Date.csv,merchant x provider,2026 snapshot; inferred earlier captures,excluded,"Directory presence/first web capture is not adoption event, RNPL participation, transaction volume or booking survival.",absent,absent,absent,absent,absent,absent,first_confirmed_bnpl_date|adoption_date_best,augustliu-bnpl-merchant-dataset,False,True,278.0,45.0,merchant_id|merchant_name|canonical_merchant_name|public_parent_company|ticker|CIK|exchange|industry|provider|currently_listed_with_provider|announcement_date|announcement_date_precision|last_confirmed_no_bnpl_date|first_confirmed_bnpl_date|adoption_date_exact|adoption_month|adoption_quarter|adoption_year|adoption_period_start|adoption_period_end|adoption_date_best|adoption_period_best|date_precision|confidence|first_ever_bnpl_flag|treatment_scope|parent_treatment_eligible|provider_end_date|provider_end_precision|replacement_provider|earlier_external_bnpl_detected|external_bnpl_provider|external_bnpl_adoption_period|primary_evidence_type|primary_source_url|secondary_source_url|wayback_url|wayback_status|evidence_summary|research_notes|manual_review_required|main_quarterly_sample|year_only_sample|interval_timing_sample|unknown_timing_sample,e5dc1a4620d22c76a084fa4af6c29794b3944633b38dda647085f4da56ed0010,,,"BNPL_Merchant_List.csv 9,434 (merchant x provider); BNPL_Merchant_Categories.csv 14,627 (merchant x category x provider); BNPL_Merchant_Adoption_Date.csv 278 (merchant x provider, public-parent merchants only); BNPL_Merchant_First_BNPL.csv 144; public_company_panel_data_2015-2026.csv 4,675 firm-quarters over 124 tickers (ABNB 22 rows 1Q21-2Q26; BKNG/EXPE/MAR 46 rows 1Q15-2Q26); public_company_crosswalk.csv 127; public_company_panel_variable_definitions.csv 9; extract_travel_merchants.csv 190 (our filter: Travel/Hotels/Flights categories)","merchant lists: merchant_name, categories/category, bnpl_provider (affirm/klarna/afterpay/zip/sezzle), source_urls, merchant_urls. adoption: merchant_id, merchant_name, public_parent_company, ticker, CIK, provider, currently_listed_with_provider, announcement_date, last_confirmed_no_bnpl_date, first_confirmed_bnpl_date, adoption_date_best, date_precision, confidence, primary_evidence_type, wayback_url, evidence_summary. panel: company_id, CIK, ticker, fiscal_period, period_start/end, calendar_year/quarter, revenue, gross_profit, cogs, operating_income, net_income, margins, revenue_growth_yoy/qoq, total_assets, total_debt, sga_expense, diluted_eps, capital_expenditures, xbrl tag/source flags, form, filing_date, accession_number, retrieved_at","adoption first_confirmed_bnpl_date 2020-11-29 to 2026-02-26 (167 non-null of 278; Wayback CDX first capture of provider directory pages, NOT true adoption dates); SEC panel period_end 2015-01-03 to 2026-07-04, filing_date 2015-02-20 to 2026-08-07, retrieved_at 2026-08-09; merchant directories are a single scrape snapshot (repo last commit 2026-08-10)",2026-09-14,,0.0
