slug,manifest_sha256,advertised_file_entries,string_file_entries,advertised_files_present,advertised_csv_files,advertised_csv_files_present,pulled_at
dubai-det-tourism-csvs,574bb0c3cd794c0dc07a52edaf64e48f93b44ed8cc6ebb5b27ca6cc38e709011,7,7,7,6,6,2026-09-14
dwh-global-tourism-project,3c495a2f4db5cadfc3a5fb4b9844e22ece21f05c1928e173275946fb9fd72058,10,10,10,9,9,2026-09-14
ectsum-earnings-call-bullet-summaries,54bdb506287d4648de2287db6b904ce0250144d58fae62f6ee81c3ff0d39a4f3,6,6,4,2,2,2026-09-14
edgar-corpus-10k-sections-1993-2020,05e6ab7677c76797a063109833e36c95589548a5d880ced0a6a12439631b94c0,3,3,3,1,1,2026-09-14
edgar-crawler-edgar-corpus,09b53facbfddfb7d934ed46200fce47bdb9d1f9f221900317c5eec85507b1db8,11,11,11,0,0,2026-09-14
edgar-crawler-item-section-extractor,b1e7708a6ebaecae1cca4a561f42afd2c85b7f5ba3fe948ec365a447412ee5c5,10,10,10,3,3,2026-09-14
efebiskin-sec-form4-parser,e730beee6098e78806cb47705f83fe790e559acd19aec9a599a7e42b27c02ad9,7,7,7,2,2,2026-09-14
eurocontrol-daio-daily-flights,cc32c66f10954a9a0f005e35ea5fd18dba220e033513e384d9dfd7f9429a2a35,4,4,4,2,2,2026-09-14
fawazahmed0-fx-git-vintages,3c4a278328d5a27f91e6405e30d30cf61f6545f4801b469497e716f2ca437f12,8,8,8,1,1,2026-09-14
fifa-wc2026-schedule-venues,9ee6abe3c74278b10b35d9349b9e44453e6d9a2b1fea8bdc262bbce9e8b0c3a0,5,5,5,5,5,2026-09-14
fifa-world-cup-2026-schedule,15d187eacdae43ff29f493df52224ce6342e28cdcb6372e4230a3f7750188ae7,11,11,11,3,3,2026-09-14
gharchive-org-github-event-archive,0e1e372d4db8a83b123dbdba875043e91efc087b6f32e5a05a003c15069d6257,5,5,5,2,2,2026-09-14
hf-bookingcom-accommodation-reviews,ddd268f0ed1ef5131c281f8b4ecf0ba2f9cfde12f679b8671cd07b2fe7183a19,5,5,3,2,0,2026-09-14
hf-buenosaires-airbnb-reviews,3cb04e96780ffeadaf884b076a11bed268853354123e89966327a13f27c67611,3,3,3,3,3,2026-09-14
istanbul-str-licensing-h3-2025,6265ace4c0df4d0fb8e83dd42f6458a0c8ec6e5a75067e74e3f2477a2b2af569,8,8,8,2,2,2026-09-14
joeydejager-nyc-2015,f6350ad46444afd69d3b9ad47ba6eb6c7f1cc5bfae064db1c391639bc8ebc5ed,6,6,6,4,4,2026-09-14
lamini-earnings-calls-transcripts-2018-2023,c4f97449b09de2fd37e623496d25090fdf08461e487aab3787c08ae8f85bbe72,6,6,6,1,1,2026-09-14
maec-multimodal-earnings-call-corpus,478ce73912e9bcb2507d5932ee89b35e42f2a2f5631db1587fb495e0492b0bab,18,18,18,9,9,2026-09-14
montera34-barcelona-insideairbnb-2015-2019,ce2187a4f66950ca41af6f1d6fba189949e23510aa9cc5977c99bbd84ecc3f4c,7,7,7,6,6,2026-09-14
neshitov-la-inside-airbnb-2018,a3187a122fc347337ce17bbf77da0c25d865484c9693eeedb16f9ae19d1ee589,2,2,2,0,0,2026-09-14
nyc-airbnb-listings-2024-01-05,3f3862c71d49e5f0bab875956a8bf08a53203138df582d94da355f02cd302376,3,3,3,1,1,2026-09-14
opendigger-github-org-monthly-metrics,8a5f1e79925cb3914fdeabefa0acfced869441bf6bcd59b498a78edc836fe51c,6,6,4,2,2,2026-09-14
opportunity-insights-tracker,e79fdfe7b27836b14b8ebe4dff5396dbc598317a8b6d516ace51e6b45f7c6f36,7,7,7,5,5,2026-09-14
pchitral-etl-sec-edgar-10k-mda-corpus,760cb43b2ec450d6d73dc96ac6ac4be01e6f28c5cc3a7c0296b8da50860b2a5e,9,9,6,4,4,2026-09-14
pit-fundamentals-pit-harness,9820f2d36759a6713571874d6b9eefe33f898d78f4ae025386a74565febbcc43,6,6,6,1,1,2026-09-14
pixelcrash-sync-rentals-ical-merger,6e16fec3d4caf14ab6e5e46e1fa45342f9e7bbbbceb5cc77876830a283035f0c,3,3,3,1,1,2026-09-14
python-edgar-full-index-stitcher,0f04afc4b26caeb573e9f0efd0c108684e087ee629d25643e077aea626d03f17,11,11,11,5,5,2026-09-14
qin-yang-earningscall-multimodal-2017,b748935a046740d01197b28b5d14c8f838211ac7b3d8f113e1128a3b51d29948,5,5,5,1,1,2026-09-14
sec-cik-mapper-cik-ticker-crosswalk,3a41dcdef5d957d21a0701c0630984b0b79f92f9c01e29bc197524bf4c98d929,3,3,3,1,1,2026-09-14
sec-data-xbrl-quarterly-segment-builder,a93ebd8c558b8100970d33c720c4b1ab0bd87f4ec8aeea2a231f9f70e3f40686,11,11,11,7,7,2026-09-14
secfsdstools-sec-financial-statement-datasets,6b1f7199830ab51fec34852dd7d596c6c62ac4409812a229c5acf32a76cc96cb,20,20,20,7,7,2026-09-14
sideye-boston-occupancy-tax-imputed-nights,44877545ee2f790a5428a933b6367fe583c9a31c9cab3e97ffe900b583bd3ebe,15,15,15,8,8,2026-09-14
sumaksharikaa-earnings-call-finbert-sentiment,d6975371172e599c00b2548291c518f57a3f9e2de13121f243a7fe321f5e2c01,2,2,2,1,1,2026-09-14
talsan-ishares-etf-holdings-history,1b853d8f7096694ad6a6816e7a0b64e61552515c81e4c0b6d3d488d7924e9afe,6,6,6,3,3,2026-09-14
texas-comptroller-hotel-occupancy-tax,dd924bd045c1d0366e000179c6d52288f59be21bace0e12044d910a1511cb429,10,10,10,4,4,2026-09-14
tmasjc-vienna-berlin-2017-plus-downloader,8fe6025bf93fbbb5e129e8df152ed3c48fe8fd419afc527580eb0ce6e28e201f,6,6,6,2,2,2026-09-14
toronto-str-registration-git-scrape,36215f063441dff56d21c5ea75e41f16d15494b8e9e73a7cea6510335253499d,8,8,8,6,6,2026-09-14
trade-copier-13f-berkshire-panel,2abbbb4175e5259189bdd3b2468161b1516c9f8befe02e3c4e485a8d33af1291,11,11,8,2,2,2026-09-14
upgo-vancouver-str-compliance,e8c1b3138f4123d6be875c468637cb14a146c3b8b7cb26445517f996386e58f6,4,4,4,2,2,2026-09-14
usamaislam70-viator-gyg-activity-data,af22f809fc328f16a40ad651e5022b9c16eacfc676b2bec7cdb8acf33ddd4cc3,7,7,7,3,3,2026-09-14
wikimedia-pageviews-attractions,f243276ce3aa9548fd13768a4056f8621118c0b20f2bee5fac869f88bceb9089,6,6,6,2,2,2026-09-14
zenodo-gyodi-eu-airbnb-hotel-prices,a0c14bbfa268bd9d1798a4c966936e406206637e1b26b4844218d31546b7dd43,18,18,18,14,14,2026-09-14
