print_quarter,print_date,prior_guide_date,actual_adj_ebitda_musd,actual_revenue_musd,actual_margin_pct,actual_fcf_musd,actual_operating_income_musd,lseg_act_ebitda_musd,lseg_act_eps_usd,lseg_act_fcf_musd,lseg_report_timestamp,cons_ebitda_at_print_musd,cons_ebitda_median_musd,cons_ebitda_n,cons_ebitda_sd_musd,cons_ebitda_obs_date,cons_ebitda_staleness_days,cons_revenue_at_print_musd,cons_revenue_n,cons_revenue_obs_date,cons_eps_at_print_usd,cons_fcf_at_print_musd,cons_ebit_at_print_musd,street_margin_pct,lseg_margin_mean_field_pct,lookup_date_at_print,cons_ebitda_at_guide_musd,cons_revenue_at_guide_musd,street_margin_at_guide_pct,cons_ebitda_post_guide_5td_musd,cons_revenue_post_guide_5td_musd,street_margin_post_guide_pct,ebitda_surprise_musd,ebitda_surprise_pct,revenue_surprise_musd,revenue_surprise_pct,margin_surprise_pts,implied_incremental_margin_pct,street_revision_incremental_margin_pct,eps_surprise_usd,fcf_surprise_musd,lseg_vs_letter_ebitda_diff_musd,guide_implied_margin_pct,guide_implied_type,guide_quote,margin_ly_pct,actual_vs_guide_implied_pts,street_vs_guide_implied_pts,repo16_cons_ebitda_musd,repo16_cons_revenue_musd,repo16_cons_eps_usd,repo16_vendor,lseg_vs_repo16_ebitda_pct,lseg_vs_repo16_revenue_pct,quarter_of_year,in_W1,in_W2
2023Q3,2023-11-01,2023-08-03,1834.0,3397.0,53.98881365911098,1310.0,1496.0,1834.0,2.43,1310.0,2023-11-01 16:00:00,1746.68068,1745.9,29,34.39822,2023-10-30,1,3369.74713,30,2023-10-30,2.09962,974.14417,1451.926,51.834176649332136,,2023-10-31,1650.87045,3221.13823,51.25115198797289,1734.34465,3363.91807,51.557279752654615,87.31932000000006,4.999157602178325,27.252869999999803,0.8087511895885138,2.1546370097788454,320.40412624432105,64.47139437812939,0.33038000000000034,335.85582999999997,0.0,50.5,floor:yoy_pts(+0.0 on 50.5),We expect a record-high Adjusted EBITDA in Q3 2023 on a nominal basis and an Adjusted EBITDA margin that exceeds Q3 2022,50.5,3.4888136591109813,1.3341766493321359,,3370.0,2.1,LSEG,,-0.0075035608308571256,3,True,False
2023Q4,2024-02-13,2023-11-01,738.0,2218.0,33.27321911632101,46.0,-496.0,738.0,0.76,46.0,2024-02-13 16:05:00,644.00653,642.25,31,14.78266,2024-02-12,0,2163.91532,31,2024-02-12,0.62044,586.535,338.10459,29.76117059885689,,2024-02-12,643.45629,2179.82937,29.518654021988883,645.52254,2158.21132,29.91007108608809,93.99347,14.595111325967455,54.084679999999935,2.4993898559764314,3.5120485174641196,173.78945387122585,-3.457573653469956,0.13956000000000002,-540.535,0.0,26.6,floor:yoy_pts(+0.0 on 26.6),we expect a record-high fourth quarter Adjusted EBITDA in 2023 on a nominal basis and an Adjusted EBITDA margin that exceeds Q4 2022,26.6,6.6732191163210075,3.161170598856888,645.0,2170.0,0.62,LSEG,-0.1540263565891431,-0.28039999999999177,4,True,False
2024Q1,2024-05-08,2024-02-13,424.0,2142.0,19.794584500466854,1909.0,101.0,424.0,0.41,1909.0,2024-05-08 16:08:00,326.51288,329.25,33,13.74008,2024-05-06,1,2060.66564,35,2024-05-06,0.2431,1030.15575,18.27448,15.845019864552116,,2024-05-07,319.30748,2029.7536,15.7313419717546,323.93587,2057.82036,15.741698172332205,97.48712,29.857051887202733,81.33435999999983,3.9469945255165135,3.9495646359147383,119.85970013165432,23.309364247716942,0.16689999999999997,878.8442500000001,0.0,14.4,floor:yoy_pts(+0.0 on 14.4),We expect Adjusted EBITDA Margin in Q1 2024 to expand relative to Q1 2023,14.4,5.394584500466854,1.4450198645521155,326.0,2060.0,0.24,LSEG,0.15732515337423258,0.03231262135923174,1,True,True
2024Q2,2024-08-06,2024-05-08,894.0,2748.0,32.532751091703055,1043.0,497.0,894.0,0.86,1043.0,2024-08-06 16:16:00,862.38206,860.0,32,23.19998,2024-08-04,1,2738.95127,34,2024-08-04,0.91643,938.88733,508.75311,31.485848961453048,31.43333,2024-08-05,917.78807,2743.19875,33.45685652561631,855.67636,2725.33439,31.397114539034604,31.617939999999976,3.6663494600061575,9.048729999999978,0.33037206974478145,1.0469021302500074,,,-0.05642999999999998,104.11266999999998,0.0,33.0,ceiling:yoy_pts(+0.0 on 33.0),"we expect Adjusted EBITDA to be flat to up on a nominal basis, but down on an Adjusted EBITDA Margin basis, relative to Q2 2023",33.0,-0.4672489082969449,-1.5141510385469523,,2740.0,0.92,LSEG,,-0.038274817518246795,2,True,True
2024Q3,2024-11-07,2024-08-06,1958.0,3732.0,52.465166130760984,1074.0,1525.0,1958.0,2.13,1074.0,2024-11-07 16:06:00,1858.95021,1857.0,34,28.19409,2024-11-05,1,3717.03782,36,2024-11-05,2.14069,1290.94444,1493.07132,50.01160332557499,50.35,2024-11-06,2012.40584,3836.80858,52.44999321806146,1857.6419,3715.42139,49.99814839306828,99.04979000000003,5.328264816732236,14.96217999999999,0.40252966810006763,2.453562805185996,662.0010586692588,128.12445207828696,-0.01069000000000031,-216.94444,0.0,54.0,ceiling:yoy_pts(+0.0 on 54.0),"we expect Adjusted EBITDA to approximate Q3 2023 on a nominal basis, but for Adjusted EBITDA Margin to decline relative to Q3 2023",54.0,-1.5348338692390158,-3.9883966744250117,1860.0,3720.0,2.14,LSEG,-0.05644032258064202,-0.0796284946236514,3,True,True
2024Q4,2025-02-13,2024-11-07,765.0,2480.0,30.846774193548388,458.0,430.0,765.0,0.73,458.0,2025-02-13 16:03:00,652.95932,650.0,34,15.86564,2025-02-10,2,2420.03731,35,2025-02-10,0.57586,244.45714,294.06347,26.98137410121169,27.30952,2025-02-12,725.52906,2423.68256,29.934987030644805,655.901,2423.68564,27.06213170450603,112.04067999999995,17.15890662223796,59.96268999999984,2.477758906948415,3.8654000923366993,186.8506566333169,,0.15413999999999994,213.54286,0.0,33.3,ceiling:yoy_pts(+0.0 on 33.3),Q4 2024 Adjusted EBITDA Margin is expected to decline relative to the same time period last year,33.3,-2.4532258064516093,-6.318625898788309,653.5,2420.0,0.58,LSEG,-0.08273603672531715,0.001541735537191613,4,True,True
2025Q1,2025-05-01,2025-02-13,417.0,2272.0,18.35387323943662,1781.0,38.0,417.0,0.24,1781.0,2025-05-01 16:02:00,362.70267,358.3,33,25.92735,2025-04-30,0,2259.28827,33,2025-04-30,0.23556,1507.9125,30.76836,16.053846462009915,16.07391,2025-04-30,375.90479,2290.81393,16.40922403505727,362.88242,2264.13,16.027455137293355,54.29732999999999,14.970204106851483,12.711729999999989,0.5626431194634578,2.300026777426705,427.1435123307373,41.877378617926055,0.0044399999999999995,273.0875000000001,0.0,19.8,ceiling:yoy_pts(+0.0 on 19.8),"In Q1 2025, we expect Adjusted EBITDA and Adjusted EBITDA Margin to decline compared to Q1 2024",19.8,-1.4461267605633807,-3.746153537990086,,2260.0,0.24,LSEG,,-0.031492477876104985,1,True,True
2025Q2,2025-08-06,2025-05-01,1043.0,3096.0,33.68863049095607,962.0,612.0,1043.0,1.02,975.0,2025-08-06 16:03:00,970.92472,974.195,32,22.77009,2025-07-29,7,3035.42767,33,2025-07-29,0.93778,1341.62857,553.01741,31.98642252608839,31.96539,2025-08-05,947.84813,3038.49584,31.194649586882434,964.6251,3022.6517,31.91320720147809,72.07528000000002,7.423364398426278,60.572329999999965,1.995512217229013,1.7022079648676822,118.9904367225102,,0.08222000000000007,-379.6285700000001,0.0,32.5,ceiling:yoy_pts(+0.0 on 32.5),"we expect Adjusted EBITDA to increase on a year-over- year basis, but for Adjusted EBITDA Margin to be flat to down slightly compared to Q2 2024",32.5,1.188630490956072,-0.5135774739116101,,3040.0,0.93,LSEG,,-0.15040559210526272,2,True,True
2025Q3,2025-11-06,2025-08-06,2051.0,4095.0,50.085470085470085,1349.0,1625.0,2051.0,2.21,1356.0,2025-11-06 16:02:00,2037.91071,2032.5,34,26.38428,2025-11-04,1,4077.801,36,2025-11-04,2.34143,1846.88571,1613.7367,49.97572735893684,49.45769,2025-11-05,2002.87159,4045.78224,49.50517529584093,2028.56919,4076.69752,49.76011048276154,13.089289999999892,0.6422896712682712,17.19900000000007,0.42177144004820416,0.10974272653324846,76.10494796208988,109.43309484814596,-0.13142999999999994,-497.88571,0.0,49.26108374384236,floor:usd_m/4060 guide mid,"In Q3 2025, we expect Adjusted EBITDA to increase to over $2.0 billion",52.5,0.8243863416277222,0.7146436150944737,,4080.0,2.34,LSEG,,-0.05389705882352658,3,True,True
2025Q4,2026-02-12,2025-11-06,786.0,2778.0,28.293736501079913,521.0,269.0,786.0,0.56,526.0,2026-02-12 16:05:00,763.851,761.7555,34,16.85386,2026-02-10,1,2714.80897,34,2026-02-03,0.65704,547.63333,336.0152,28.136454846029185,27.26818,2026-02-11,747.64762,2671.16121,27.98961055592747,759.16097,2710.41675,28.00901263615642,22.149,2.899649277149601,63.191029999999955,2.327641859824854,0.15728165505072766,35.050860857941416,37.12305052997015,-0.0970399999999999,-26.63333,0.0,30.8,ceiling:yoy_pts(+0.0 on 30.8),We expect Adjusted EBITDA in Q4 2025 to be flat- to-down slightly on a year-over-year basis and for Adjusted EBITDA Margin to decline over the same ti,30.8,-2.506263498920088,-2.6635451539708157,,2720.0,0.66,LSEG,,-0.19084669117647168,4,True,True
2026Q1,2026-05-07,2026-02-12,519.0,2678.0,19.38013442867812,1704.0,86.0,519.0,0.26,1708.0,2026-05-07 16:02:00,484.03557,483.0,35,5.5932,2026-04-27,9,2615.06562,35,2026-05-04,0.28931,1468.46,80.35907,18.509499964287706,18.52091,2026-05-06,469.75136,2534.98027,18.53076986670196,483.57922,2613.32737,18.504349112602757,34.96442999999999,7.223524915741211,62.93438000000015,2.406608060565614,0.8706344643904131,55.55696266492164,17.836233468418456,-0.029310000000000003,235.53999999999996,0.0,18.4,point:yoy_pts(+0.0 on 18.4),We expect Adjusted EBITDA Margin to be approximately flat year-over-year,18.4,0.9801344286781202,0.10949996428770703,485.0,2620.0,0.29,LSEG,-0.19885154639175395,-0.18833511450382368,1,True,True
2026Q2,2026-08-06,2026-05-07,1261.0,3608.0,34.950110864745014,1253.0,758.0,1261.0,1.37,1270.0,2026-08-06 16:03:00,1228.61539,1230.0,35,22.41217,2026-07-29,7,3575.98967,35,2026-07-29,1.25185,1433.4375,759.36374,34.357352883516576,34.20458,2026-08-05,1174.1566,3461.03079,33.925055026742484,1226.61561,3571.42694,34.345252768911465,32.384610000000066,2.6358623100106264,32.01033000000007,0.8951460421864157,0.5927579812284378,101.16924755227453,47.37240829068607,0.1181500000000002,-180.4375,0.0,33.7,floor:yoy_pts(+0.0 on 33.7),We expect Adjusted EBITDA and Adjusted EBITDA Margin to be up year-over-year in Q2 2026,33.7,1.250110864745011,0.6573528835165732,1225.6,3580.0,1.25,LSEG,0.246033779373378,-0.11202039106145145,2,True,True
