window,signal,outcome,primary_family,eligible_event_ids,signal_sign,n,mean_return_pct,median_return_pct,n_positive_returns,min_return_pct,max_return_pct
W1_print_2023plus,published_guide_vs_revenue_consensus_pct,open_5d_excess_pct,False,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,7,0.719665455854089,-0.268870848924929,3,-6.06423593767296,10.7491683413522
W1_print_2023plus,published_guide_vs_revenue_consensus_pct,open_20d_excess_pct,False,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,6,-3.97352806173264,-2.97169831101528,0,-11.8185812582336,-0.170667585575979
W1_print_2023plus,published_guide_vs_revenue_consensus_pct,open_20d_excess_pct,False,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
W1_print_2023plus,published_guide_vs_revenue_consensus_pct,open_20d_excess_pct,False,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,7,1.88762811303268,0.987070532031242,4,-6.9462474374044,12.8216118654903
W1_print_2023plus,published_guide_vs_implied_guide_pct,gap_excess_pct,True,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,0,,,0,,
W1_print_2023plus,published_guide_vs_implied_guide_pct,gap_excess_pct,True,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
W1_print_2023plus,published_guide_vs_implied_guide_pct,gap_excess_pct,True,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,13,-1.06551505500316,-2.37900550342067,5,-14.3226290029006,12.1356060464267
W1_print_2023plus,published_guide_vs_implied_guide_pct,session_excess_pct,True,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,0,,,0,,
W1_print_2023plus,published_guide_vs_implied_guide_pct,session_excess_pct,True,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
W1_print_2023plus,published_guide_vs_implied_guide_pct,session_excess_pct,True,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,13,0.243245894196545,0.773785437788543,9,-6.24751150095134,7.7178790229163
W1_print_2023plus,published_guide_vs_implied_guide_pct,cc_excess_pct,False,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,0,,,0,,
W1_print_2023plus,published_guide_vs_implied_guide_pct,cc_excess_pct,False,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
W1_print_2023plus,published_guide_vs_implied_guide_pct,cc_excess_pct,False,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,13,-0.846006063382907,-1.61078013794216,4,-12.0112841726683,16.2568408294483
W1_print_2023plus,published_guide_vs_implied_guide_pct,open_5d_excess_pct,False,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,0,,,0,,
W1_print_2023plus,published_guide_vs_implied_guide_pct,open_5d_excess_pct,False,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
W1_print_2023plus,published_guide_vs_implied_guide_pct,open_5d_excess_pct,False,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,13,-0.883532363211799,-1.29800771185294,5,-7.1120354954972,10.7491683413522
W1_print_2023plus,published_guide_vs_implied_guide_pct,open_20d_excess_pct,False,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,0,,,0,,
W1_print_2023plus,published_guide_vs_implied_guide_pct,open_20d_excess_pct,False,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
W1_print_2023plus,published_guide_vs_implied_guide_pct,open_20d_excess_pct,False,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,13,-0.81752089070516,-1.52140774451244,4,-11.8185812582336,12.8216118654903
W2_print_2024plus,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,4,-1.73953169955404,-5.28666661178896,1,-8.52039962106492,12.1356060464267
W2_print_2024plus,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
W2_print_2024plus,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,5,2.14101684207667,4.66862315806462,3,-8.52155008954788,9.09412239722374
W2_print_2024plus,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,4,1.12540684366797,0.898039806555573,3,-0.258966920882386,2.96451468244312
W2_print_2024plus,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
W2_print_2024plus,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,5,0.0934480618794288,0.134324429089716,3,-4.29274961250571,7.7178790229163
W2_print_2024plus,published_guide_vs_revenue_consensus_pct,cc_excess_pct,False,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,4,-0.57783824431861,-3.78299286844688,1,-8.77531843366322,14.0299511932825
W2_print_2024plus,published_guide_vs_revenue_consensus_pct,cc_excess_pct,False,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
W2_print_2024plus,published_guide_vs_revenue_consensus_pct,cc_excess_pct,False,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,5,2.265121109518,0.605911300740747,3,-8.3614197600845,16.2568408294483
W2_print_2024plus,published_guide_vs_revenue_consensus_pct,open_5d_excess_pct,False,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,4,-1.10793648083374,-1.31709139715273,2,-5.80617195813573,4.00860882910625
W2_print_2024plus,published_guide_vs_revenue_consensus_pct,open_5d_excess_pct,False,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
W2_print_2024plus,published_guide_vs_revenue_consensus_pct,open_5d_excess_pct,False,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,5,0.58365296597352,-0.268870848924929,2,-6.06423593767296,10.7491683413522
W2_print_2024plus,published_guide_vs_revenue_consensus_pct,open_20d_excess_pct,False,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,4,-4.47444293709132,-2.95426145227784,0,-11.8185812582336,-0.170667585575979
W2_print_2024plus,published_guide_vs_revenue_consensus_pct,open_20d_excess_pct,False,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
W2_print_2024plus,published_guide_vs_revenue_consensus_pct,open_20d_excess_pct,False,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,5,1.90369157508127,0.987070532031242,3,-4.05383362734196,12.8216118654903
W2_print_2024plus,published_guide_vs_implied_guide_pct,gap_excess_pct,True,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,0,,,0,,
W2_print_2024plus,published_guide_vs_implied_guide_pct,gap_excess_pct,True,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
W2_print_2024plus,published_guide_vs_implied_guide_pct,gap_excess_pct,True,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,9,0.416328601351906,-2.37900550342067,4,-8.52155008954788,12.1356060464267
W2_print_2024plus,published_guide_vs_implied_guide_pct,session_excess_pct,True,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,0,,,0,,
W2_print_2024plus,published_guide_vs_implied_guide_pct,session_excess_pct,True,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
W2_print_2024plus,published_guide_vs_implied_guide_pct,session_excess_pct,True,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,9,0.552096409341003,0.150254398025496,6,-4.29274961250571,7.7178790229163
W2_print_2024plus,published_guide_vs_implied_guide_pct,cc_excess_pct,False,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,0,,,0,,
W2_print_2024plus,published_guide_vs_implied_guide_pct,cc_excess_pct,False,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
W2_print_2024plus,published_guide_vs_implied_guide_pct,cc_excess_pct,False,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,9,1.00158361892395,-0.476403521064217,4,-8.77531843366322,16.2568408294483
W2_print_2024plus,published_guide_vs_implied_guide_pct,open_5d_excess_pct,False,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,0,,,0,,
W2_print_2024plus,published_guide_vs_implied_guide_pct,open_5d_excess_pct,False,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
W2_print_2024plus,published_guide_vs_implied_guide_pct,open_5d_excess_pct,False,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,9,-0.168164565940816,-0.268870848924929,4,-6.06423593767296,10.7491683413522
W2_print_2024plus,published_guide_vs_implied_guide_pct,open_20d_excess_pct,False,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,negative,0,,,0,,
W2_print_2024plus,published_guide_vs_implied_guide_pct,open_20d_excess_pct,False,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,zero,0,,,0,,
W2_print_2024plus,published_guide_vs_implied_guide_pct,open_20d_excess_pct,False,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,positive,9,-0.931034874773215,-0.948928618841793,3,-11.8185812582336,12.8216118654903
