target,window,horizon_q,quarter,qhat80,qhat90,n,kind
adj_ebitda_margin_pct,W2,0,2024Q4,3.0,4.0,3,fallback
adj_ebitda_margin_pct,W2,0,2025Q1,2.4964569474417466,3.1205711843021833,4,split_conformal
adj_ebitda_margin_pct,W2,0,2025Q2,2.4964569474417466,2.995748336930096,5,split_conformal
adj_ebitda_margin_pct,W2,0,2025Q3,2.4964569474417466,2.9125331053487042,6,split_conformal
adj_ebitda_margin_pct,W2,0,2025Q4,2.4964569474417466,2.853093654219139,7,split_conformal
adj_ebitda_margin_pct,W2,0,2026Q1,2.4964569474417466,2.808514065871965,8,split_conformal
adj_ebitda_margin_pct,W2,0,2026Q2,2.039422283730243,2.4964569474417466,9,split_conformal
adj_ebitda_margin_pct,W2,1,2024Q2,3.0,4.0,0,fallback
adj_ebitda_margin_pct,W2,1,2024Q3,3.0,4.0,0,fallback
adj_ebitda_margin_pct,W2,1,2024Q4,3.0,4.0,1,fallback
adj_ebitda_margin_pct,W2,1,2025Q1,3.0,4.0,2,fallback
adj_ebitda_margin_pct,W2,1,2025Q2,3.0,4.0,3,fallback
adj_ebitda_margin_pct,W2,1,2025Q3,2.4161791910008006,3.0202239887510007,4,split_conformal
adj_ebitda_margin_pct,W2,1,2025Q4,2.4161791910008006,2.8994150292009606,5,split_conformal
adj_ebitda_margin_pct,W2,1,2026Q1,2.4161791910008006,2.8188757228342673,6,split_conformal
adj_ebitda_margin_pct,W2,1,2026Q2,2.4161791910008006,2.761347646858058,7,split_conformal
adj_ebitda_margin_pct,W2,2,2024Q3,3.0,4.0,0,fallback
adj_ebitda_margin_pct,W2,2,2024Q4,3.0,4.0,0,fallback
adj_ebitda_margin_pct,W2,2,2025Q1,3.0,4.0,0,fallback
adj_ebitda_margin_pct,W2,2,2025Q2,3.0,4.0,1,fallback
adj_ebitda_margin_pct,W2,2,2025Q3,3.0,4.0,2,fallback
adj_ebitda_margin_pct,W2,2,2025Q4,3.0,4.0,3,fallback
adj_ebitda_margin_pct,W2,2,2026Q1,3.650223179771114,4.5627789747138925,4,split_conformal
adj_ebitda_margin_pct,W2,2,2026Q2,3.650223179771114,4.380267815725337,5,split_conformal
adj_ebitda_musd,W1,0,2023Q1,30.114252784816564,39.14852862026153,0,fallback
adj_ebitda_musd,W1,0,2023Q2,85.3648466622039,110.97430066086507,1,fallback
adj_ebitda_musd,W1,0,2023Q3,175.76662659640218,228.49661457532284,2,fallback
adj_ebitda_musd,W1,0,2023Q4,64.34375117863226,83.64687653222194,3,fallback
adj_ebitda_musd,W1,0,2024Q1,94.5624882136774,118.20311026709675,4,split_conformal
adj_ebitda_musd,W1,0,2024Q2,94.5624882136774,113.47498585641287,5,split_conformal
adj_ebitda_musd,W1,0,2024Q3,94.5624882136774,110.32290291595696,6,split_conformal
adj_ebitda_musd,W1,0,2024Q4,94.5624882136774,108.0714151013456,7,split_conformal
adj_ebitda_musd,W1,0,2025Q1,94.5624882136774,106.38279924038707,8,split_conformal
adj_ebitda_musd,W1,0,2025Q2,81.40337162494626,94.5624882136774,9,split_conformal
adj_ebitda_musd,W1,0,2025Q3,81.40337162494626,94.5624882136774,10,split_conformal
adj_ebitda_musd,W1,0,2025Q4,81.40337162494626,94.5624882136774,11,split_conformal
adj_ebitda_musd,W1,0,2026Q1,81.40337162494626,94.5624882136774,12,split_conformal
adj_ebitda_musd,W1,0,2026Q2,81.40337162494626,94.5624882136774,13,split_conformal
adj_ebitda_musd,W1,1,2023Q2,91.5877636545152,119.06409275086976,0,fallback
adj_ebitda_musd,W1,1,2023Q3,177.0650657981671,230.1845855376172,0,fallback
adj_ebitda_musd,W1,1,2023Q4,63.586113884875886,82.66194805033865,1,fallback
adj_ebitda_musd,W1,1,2024Q1,33.13193159461103,43.07151107299434,2,fallback
adj_ebitda_musd,W1,1,2024Q2,100.15548578275794,130.20213151758531,3,fallback
adj_ebitda_musd,W1,1,2024Q3,102.13886115124114,127.67357643905143,4,split_conformal
adj_ebitda_musd,W1,1,2024Q4,107.55485782757933,129.06582939309519,5,split_conformal
adj_ebitda_musd,W1,1,2025Q1,170.65123583554305,199.09310847480023,6,split_conformal
adj_ebitda_musd,W1,1,2025Q2,170.65123583554305,195.0299838120492,7,split_conformal
adj_ebitda_musd,W1,1,2025Q3,170.65123583554305,191.98264031498593,8,split_conformal
adj_ebitda_musd,W1,1,2025Q4,107.55485782757933,170.65123583554305,9,split_conformal
adj_ebitda_musd,W1,1,2026Q1,107.55485782757933,170.65123583554305,10,split_conformal
adj_ebitda_musd,W1,1,2026Q2,107.55485782757933,170.65123583554305,11,split_conformal
adj_ebitda_musd,W1,2,2023Q3,185.0533943330496,240.56941263296446,0,fallback
adj_ebitda_musd,W1,2,2023Q4,65.88058652476523,85.6447624821948,0,fallback
adj_ebitda_musd,W1,2,2024Q1,32.72586972950166,42.543630648352156,0,fallback
adj_ebitda_musd,W1,2,2024Q2,99.57144305905152,129.44287597676697,1,fallback
adj_ebitda_musd,W1,2,2024Q3,213.8758324960547,278.0385822448711,2,fallback
adj_ebitda_musd,W1,2,2024Q4,90.15055921493759,117.19572697941886,3,fallback
adj_ebitda_musd,W1,2,2025Q1,101.71443059051512,127.1430382381439,4,split_conformal
adj_ebitda_musd,W1,2,2025Q2,180.75832496054682,216.9099899526562,5,split_conformal
adj_ebitda_musd,W1,2,2025Q3,180.75832496054682,210.88471245397128,6,split_conformal
adj_ebitda_musd,W1,2,2025Q4,180.75832496054682,206.5809428120535,7,split_conformal
adj_ebitda_musd,W1,2,2026Q1,180.75832496054682,203.35311558061517,8,split_conformal
adj_ebitda_musd,W1,2,2026Q2,136.50559214937584,180.75832496054682,9,split_conformal
adj_ebitda_musd,W2,0,2024Q1,34.45462362937488,44.791010718187344,0,fallback
adj_ebitda_musd,W2,0,2024Q2,92.26222843271012,119.94089696252315,1,fallback
adj_ebitda_musd,W2,0,2024Q3,199.34703580349688,259.15114654454595,2,fallback
adj_ebitda_musd,W2,0,2024Q4,76.11127016773764,98.94465121805894,3,fallback
adj_ebitda_musd,W2,0,2025Q1,79.45376370625121,99.31720463281401,4,split_conformal
adj_ebitda_musd,W2,0,2025Q2,79.45376370625121,95.34451644750145,5,split_conformal
adj_ebitda_musd,W2,0,2025Q3,79.45376370625121,92.69605765729307,6,split_conformal
adj_ebitda_musd,W2,0,2025Q4,79.45376370625121,90.80430137857282,7,split_conformal
adj_ebitda_musd,W2,0,2026Q1,79.45376370625121,89.38548416953262,8,split_conformal
adj_ebitda_musd,W2,0,2026Q2,66.07706494835861,79.45376370625121,9,split_conformal
adj_ebitda_musd,W2,1,2024Q2,100.15548578275794,130.20213151758531,0,fallback
adj_ebitda_musd,W2,1,2024Q3,212.6362959596695,276.4271847475704,0,fallback
adj_ebitda_musd,W2,1,2024Q4,77.03752459949955,100.14878197934941,1,fallback
adj_ebitda_musd,W2,1,2025Q1,43.593806468106095,56.67194840853792,2,fallback
adj_ebitda_musd,W2,1,2025Q2,97.9127629571941,127.28659184435233,3,fallback
adj_ebitda_musd,W2,1,2025Q3,168.36295959669496,210.4536994958687,4,split_conformal
adj_ebitda_musd,W2,1,2025Q4,168.36295959669496,202.03555151603396,5,split_conformal
adj_ebitda_musd,W2,1,2026Q1,168.36295959669496,196.4234528628108,6,split_conformal
adj_ebitda_musd,W2,1,2026Q2,168.36295959669496,192.4148109676514,7,split_conformal
adj_ebitda_musd,W2,2,2024Q3,213.8758324960547,278.0385822448711,0,fallback
adj_ebitda_musd,W2,2,2024Q4,90.15055921493759,117.19572697941886,0,fallback
adj_ebitda_musd,W2,2,2025Q1,46.269334357993344,60.15013466539135,0,fallback
adj_ebitda_musd,W2,2,2025Q2,96.36170736353932,125.2702195726011,1,fallback
adj_ebitda_musd,W2,2,2025Q3,214.1421485813971,278.3847931558162,2,fallback
adj_ebitda_musd,W2,2,2025Q4,77.52865982569323,100.78725777340118,3,fallback
adj_ebitda_musd,W2,2,2026Q1,180.75832496054682,225.94790620068352,4,split_conformal
adj_ebitda_musd,W2,2,2026Q2,180.75832496054682,216.9099899526562,5,split_conformal
