quarter,region,basis,variant,nights_share_of_region_in_global,nights_share_label,pre_existing_single_fee_share,migrated_tranche1_share,migrated_tranche2_share,migrated_split_to_single_share,total_single_fee_share,migrated_share_yoy_change,pre_existing_share_yoy_change,pre_existing_fee_step_in_yoy_window,step_label,label
3Q25,apac,listings,central,0.148618,sourced (04 regional shares),0.15,0.0016,0.0,0.0016,0.15159999999999998,0.0016,0.0,0.0,"25 Aug 2025 new PMS-connected hosts default to single fee (sourced date, assumed size)",assumed path anchored on sourced deadlines
4Q25,apac,listings,central,0.12285499999999999,sourced (04 regional shares),0.15,0.01517391304347826,0.0,0.01517391304347826,0.16517391304347825,0.01517391304347826,0.0,0.3333333333333333,"27 Oct 2025 tranche 1 (PMS split-fee hosts), 66/92 of bookings; 1 Dec pre-existing 15% -> 15.5% (sourced dates)","sourced dates and disclosed listing shares, assumed regional split"
1Q26,apac,listings,central,0.146878,sourced (04 regional shares),0.15,0.022,0.0,0.022,0.172,0.022,0.0,1.0,tranche 1 complete; 'over a quarter' of listings at 7 May call (sourced level),"sourced dates and disclosed listing shares, assumed regional split"
2Q26,apac,listings,central,0.12332512332512334,sourced (04 regional shares),0.15,0.034,0.03456215120519662,0.06856215120519663,0.21856215120519662,0.06856215120519663,0.0,1.0,"tranche 2 begins: testing expansion, UK-resident hosts 22 Jun (sourced dates); quarter path assumed","sourced dates and disclosed listing shares, assumed regional split"
3Q26,apac,listings,central,0.148618,assumed (prior-year quarter share),0.15,0.046000000000000006,0.3375599887250415,0.3835599887250415,0.5335599887250415,0.3819599887250415,0.0,1.0,"tranche 2: 15 Sep non-EEA deadline inside the quarter, EEA lags to 13 Oct (sourced dates); path assumed",assumed path anchored on sourced deadlines
4Q26,apac,listings,central,0.12285499999999999,assumed (prior-year quarter share),0.15,0.058,0.7432907443362292,0.8012907443362293,0.9512907443362293,0.786116831292751,0.0,0.0,"tranche 2: 13 Oct EEA/CH deadline, complete by year-end (sourced); path assumed",assumed path anchored on sourced deadlines
1Q23,blended,listings,central,1.0,sourced (04 regional shares),0.1245065354934645,0.0,0.0,0.0,0.1245065354934645,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
2Q23,blended,listings,central,1.0,sourced (04 regional shares),0.12394961394961397,0.0,0.0,0.0,0.12394961394961397,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
3Q23,blended,listings,central,1.0,sourced (04 regional shares),0.11838146,0.0,0.0,0.0,0.11838146,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
4Q23,blended,listings,central,1.0,sourced (04 regional shares),0.11972905972905974,0.0,0.0,0.0,0.11972905972905974,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
1Q24,blended,listings,central,1.0,sourced (04 regional shares),0.12447080000000002,0.0,0.0,0.0,0.12447080000000002,0.0,-3.573549346448657e-05,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
2Q24,blended,listings,central,1.0,sourced (04 regional shares),0.12392495,0.0,0.0,0.0,0.12392495,0.0,-2.4663949613965008e-05,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
3Q24,blended,listings,central,1.0,sourced (04 regional shares),0.11868621868621869,0.0,0.0,0.0,0.11868621868621869,0.0,0.0003047586862186952,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
4Q24,blended,listings,central,1.0,sourced (04 regional shares),0.12077898000000001,0.0,0.0,0.0,0.12077898000000001,0.0,0.001049920270940266,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
1Q25,blended,listings,central,1.0,sourced (04 regional shares),0.12521451000000003,0.0,0.0,0.0,0.12521451000000003,0.0,0.0007437100000000085,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
2Q25,blended,listings,central,1.0,sourced (04 regional shares),0.12490490000000001,0.0,0.0,0.0,0.12490490000000001,0.0,0.0009799500000000072,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
3Q25,blended,listings,central,1.0,sourced (04 regional shares),0.11884227,0.0016000000000000003,0.0,0.0016000000000000003,0.12044227,0.0016000000000000003,0.00015605131378131076,0.0,"25 Aug 2025 new PMS-connected hosts default to single fee (sourced date, assumed size)",assumed path anchored on sourced deadlines
4Q25,blended,listings,central,1.0,sourced (04 regional shares),0.1218808,0.09584609229150154,0.0,0.09584609229150154,0.21772689229150155,0.09584609229150154,0.0011018199999999895,0.3333333333333333,"27 Oct 2025 tranche 1 (PMS split-fee hosts), 66/92 of bookings; 1 Dec pre-existing 15% -> 15.5% (sourced dates)","sourced dates and disclosed listing shares, assumed regional split"
1Q26,blended,listings,central,1.0,sourced (04 regional shares),0.12398840000000001,0.12769302,0.0,0.12769302,0.25168142,0.12769302,-0.0012261100000000164,1.0,tranche 1 complete; 'over a quarter' of listings at 7 May call (sourced level),"sourced dates and disclosed listing shares, assumed regional split"
2Q26,blended,listings,central,1.0,sourced (04 regional shares),0.12436514436514437,0.14143855170678019,0.03119630392807543,0.17263485563485562,0.29700000000000004,0.17263485563485562,-0.0005397556348556432,1.0,"tranche 2 begins: testing expansion, UK-resident hosts 22 Jun (sourced dates); quarter path assumed","sourced dates and disclosed listing shares, assumed regional split"
3Q26,blended,listings,central,1.0,assumed (prior-year quarter share),0.11884227,0.16183972876899666,0.2516513345643367,0.4134910633333333,0.5323333333333333,0.4118910633333333,0.0,1.0,"tranche 2: 15 Sep non-EEA deadline inside the quarter, EEA lags to 13 Oct (sourced dates); path assumed",assumed path anchored on sourced deadlines
4Q26,blended,listings,central,1.0,assumed (prior-year quarter share),0.1218808,0.1704521286487597,0.6686670713512403,0.8391192,0.9609999999999999,0.7432731077084984,0.0,0.0,"tranche 2: 13 Oct EEA/CH deadline, complete by year-end (sourced); path assumed",assumed path anchored on sourced deadlines
1Q23,emea,listings,central,0.43285356714643286,sourced (04 regional shares),0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
2Q23,emea,listings,central,0.44059644059644065,sourced (04 regional shares),0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
3Q23,emea,listings,central,0.38549599999999995,sourced (04 regional shares),0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
4Q23,emea,listings,central,0.4080384080384081,sourced (04 regional shares),0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
1Q24,emea,listings,central,0.42096200000000006,sourced (04 regional shares),0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
2Q24,emea,listings,central,0.43114600000000003,sourced (04 regional shares),0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
3Q24,emea,listings,central,0.376958376958377,sourced (04 regional shares),0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
4Q24,emea,listings,central,0.40314700000000003,sourced (04 regional shares),0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
1Q25,emea,listings,central,0.41452100000000003,sourced (04 regional shares),0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
2Q25,emea,listings,central,0.427607,sourced (04 regional shares),0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
3Q25,emea,listings,central,0.367798,sourced (04 regional shares),0.2,0.0016,0.0,0.0016,0.2016,0.0016,0.0,0.0,"25 Aug 2025 new PMS-connected hosts default to single fee (sourced date, assumed size)",assumed path anchored on sourced deadlines
4Q25,emea,listings,central,0.40257499999999996,sourced (04 regional shares),0.2,0.02234782608695652,0.0,0.02234782608695652,0.22234782608695652,0.02234782608695652,0.0,0.3333333333333333,"27 Oct 2025 tranche 1 (PMS split-fee hosts), 66/92 of bookings; 1 Dec pre-existing 15% -> 15.5% (sourced dates)","sourced dates and disclosed listing shares, assumed regional split"
1Q26,emea,listings,central,0.39642700000000003,sourced (04 regional shares),0.2,0.032,0.0,0.032,0.232,0.032,0.0,1.0,tranche 1 complete; 'over a quarter' of listings at 7 May call (sourced level),"sourced dates and disclosed listing shares, assumed regional split"
2Q26,emea,listings,central,0.41550041550041555,sourced (04 regional shares),0.2,0.044,0.032093426119111146,0.07609342611911114,0.27609342611911114,0.07609342611911114,0.0,1.0,"tranche 2 begins: testing expansion, UK-resident hosts 22 Jun (sourced dates); quarter path assumed","sourced dates and disclosed listing shares, assumed regional split"
3Q26,emea,listings,central,0.367798,assumed (prior-year quarter share),0.2,0.05600000000000001,0.1723967085274319,0.22839670852743194,0.42839670852743195,0.22679670852743194,0.0,1.0,"tranche 2: 15 Sep non-EEA deadline inside the quarter, EEA lags to 13 Oct (sourced dates); path assumed",assumed path anchored on sourced deadlines
4Q26,emea,listings,central,0.40257499999999996,assumed (prior-year quarter share),0.2,0.068,0.690198548312213,0.7581985483122129,0.9581985483122128,0.7358507222252564,0.0,0.0,"tranche 2: 13 Oct EEA/CH deadline, complete by year-end (sourced); path assumed",assumed path anchored on sourced deadlines
1Q23,latam,listings,central,0.13738886261113736,sourced (04 regional shares),0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
2Q23,latam,listings,central,0.1412881412881413,sourced (04 regional shares),0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
3Q23,latam,listings,central,0.14502199999999998,sourced (04 regional shares),0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
4Q23,latam,listings,central,0.14890714890714893,sourced (04 regional shares),0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
1Q24,latam,listings,central,0.149702,sourced (04 regional shares),0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
2Q24,latam,listings,central,0.152301,sourced (04 regional shares),0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
3Q24,latam,listings,central,0.15354315354315354,sourced (04 regional shares),0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
4Q24,latam,listings,central,0.163643,sourced (04 regional shares),0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
1Q25,latam,listings,central,0.16693000000000002,sourced (04 regional shares),0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
2Q25,latam,listings,central,0.165443,sourced (04 regional shares),0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
3Q25,latam,listings,central,0.169649,sourced (04 regional shares),0.08,0.0016,0.0,0.0016,0.0816,0.0016,0.0,0.0,"25 Aug 2025 new PMS-connected hosts default to single fee (sourced date, assumed size)",assumed path anchored on sourced deadlines
4Q25,latam,listings,central,0.17400899999999997,sourced (04 regional shares),0.08,0.07973913043478262,0.0,0.07973913043478262,0.1597391304347826,0.07973913043478262,0.0,0.3333333333333333,"27 Oct 2025 tranche 1 (PMS split-fee hosts), 66/92 of bookings; 1 Dec pre-existing 15% -> 15.5% (sourced dates)","sourced dates and disclosed listing shares, assumed regional split"
1Q26,latam,listings,central,0.179409,sourced (04 regional shares),0.08,0.112,0.0,0.112,0.192,0.112,0.0,1.0,tranche 1 complete; 'over a quarter' of listings at 7 May call (sourced level),"sourced dates and disclosed listing shares, assumed regional split"
2Q26,latam,listings,central,0.17862117862117866,sourced (04 regional shares),0.08,0.124,0.033739242843168135,0.15773924284316815,0.23773924284316816,0.15773924284316815,0.0,1.0,"tranche 2 begins: testing expansion, UK-resident hosts 22 Jun (sourced dates); quarter path assumed","sourced dates and disclosed listing shares, assumed regional split"
3Q26,latam,listings,central,0.169649,assumed (prior-year quarter share),0.08,0.136,0.32952284613635,0.46552284613635003,0.54552284613635,0.46392284613635004,0.0,1.0,"tranche 2: 15 Sep non-EEA deadline inside the quarter, EEA lags to 13 Oct (sourced dates); path assumed",assumed path anchored on sourced deadlines
4Q26,latam,listings,central,0.17400899999999997,assumed (prior-year quarter share),0.08,0.14800000000000002,0.725593345661557,0.873593345661557,0.953593345661557,0.7938542152267744,0.0,0.0,"tranche 2: 13 Oct EEA/CH deadline, complete by year-end (sourced); path assumed",assumed path anchored on sourced deadlines
1Q23,na,listings,central,0.31265768734231264,sourced (04 regional shares),0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
2Q23,na,listings,central,0.31825031825031824,sourced (04 regional shares),0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
3Q23,na,listings,central,0.33951499999999996,sourced (04 regional shares),0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
4Q23,na,listings,central,0.33541133541133544,sourced (04 regional shares),0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
1Q24,na,listings,central,0.30081800000000003,sourced (04 regional shares),0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
2Q24,na,listings,central,0.308094,sourced (04 regional shares),0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
3Q24,na,listings,central,0.3284473284473285,sourced (04 regional shares),0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
4Q24,na,listings,central,0.316028,sourced (04 regional shares),0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
1Q25,na,listings,central,0.281887,sourced (04 regional shares),0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
2Q25,na,listings,central,0.290787,sourced (04 regional shares),0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
3Q25,na,listings,central,0.313935,sourced (04 regional shares),0.03,0.0016,0.0,0.0016,0.031599999999999996,0.0016,0.0,0.0,"25 Aug 2025 new PMS-connected hosts default to single fee (sourced date, assumed size)",assumed path anchored on sourced deadlines
4Q25,na,listings,central,0.30056099999999997,sourced (04 regional shares),0.03,0.23659057153044613,0.0,0.23659057153044613,0.26659057153044613,0.23659057153044613,0.0,0.3333333333333333,"27 Oct 2025 tranche 1 (PMS split-fee hosts), 66/92 of bookings; 1 Dec pre-existing 15% -> 15.5% (sourced dates)","sourced dates and disclosed listing shares, assumed regional split"
1Q26,na,listings,central,0.27728600000000003,sourced (04 regional shares),0.03,0.3306414027394098,0.0,0.3306414027394098,0.3606414027394098,0.3306414027394098,0.0,1.0,tranche 1 complete; 'over a quarter' of listings at 7 May call (sourced level),"sourced dates and disclosed listing shares, assumed regional split"
2Q26,na,listings,central,0.2825532825532826,sourced (04 regional shares),0.03,0.3426414027394098,0.026800421818244394,0.3694418245576542,0.3994418245576542,0.3694418245576542,0.0,1.0,"tranche 2 begins: testing expansion, UK-resident hosts 22 Jun (sourced dates); quarter path assumed","sourced dates and disclosed listing shares, assumed regional split"
3Q26,na,listings,central,0.313935,assumed (prior-year quarter share),0.03,0.3546414027394098,0.261753096127671,0.6163944988670809,0.6463944988670809,0.6147944988670808,0.0,1.0,"tranche 2: 15 Sep non-EEA deadline inside the quarter, EEA lags to 13 Oct (sourced dates); path assumed",assumed path anchored on sourced deadlines
4Q26,na,listings,central,0.30056099999999997,assumed (prior-year quarter share),0.03,0.36664140273940976,0.5763676387947932,0.943009041534203,0.973009041534203,0.7064184700037568,0.0,0.0,"tranche 2: 13 Oct EEA/CH deadline, complete by year-end (sourced); path assumed",assumed path anchored on sourced deadlines
1Q23,apac,nights,central,0.11709988290011711,sourced (04 regional shares),0.195,0.0,0.0,0.0,0.195,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
2Q23,apac,nights,central,0.09986509986509987,sourced (04 regional shares),0.195,0.0,0.0,0.0,0.195,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
3Q23,apac,nights,central,0.129967,sourced (04 regional shares),0.195,0.0,0.0,0.0,0.195,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
4Q23,apac,nights,central,0.10764310764310765,sourced (04 regional shares),0.195,0.0,0.0,0.0,0.195,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
1Q24,apac,nights,central,0.12851800000000002,sourced (04 regional shares),0.195,0.0,0.0,0.0,0.195,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
2Q24,apac,nights,central,0.108459,sourced (04 regional shares),0.195,0.0,0.0,0.0,0.195,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
3Q24,apac,nights,central,0.14105114105114105,sourced (04 regional shares),0.195,0.0,0.0,0.0,0.195,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
4Q24,apac,nights,central,0.117182,sourced (04 regional shares),0.195,0.0,0.0,0.0,0.195,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
1Q25,apac,nights,central,0.136662,sourced (04 regional shares),0.195,0.0,0.0,0.0,0.195,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
2Q25,apac,nights,central,0.116163,sourced (04 regional shares),0.195,0.0,0.0,0.0,0.195,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
3Q25,apac,nights,central,0.148618,sourced (04 regional shares),0.195,0.0020800000000000003,0.0,0.0020800000000000003,0.19708,0.0020800000000000003,0.0,0.0,"25 Aug 2025 new PMS-connected hosts default to single fee (sourced date, assumed size)",assumed path anchored on sourced deadlines
4Q25,apac,nights,central,0.12285499999999999,sourced (04 regional shares),0.195,0.019726086956521737,0.0,0.019726086956521737,0.21472608695652173,0.019726086956521737,0.0,0.3333333333333333,"27 Oct 2025 tranche 1 (PMS split-fee hosts), 66/92 of bookings; 1 Dec pre-existing 15% -> 15.5% (sourced dates)","sourced dates and disclosed listing shares, assumed regional split"
1Q26,apac,nights,central,0.146878,sourced (04 regional shares),0.195,0.0286,0.0,0.0286,0.22360000000000002,0.0286,0.0,1.0,tranche 1 complete; 'over a quarter' of listings at 7 May call (sourced level),"sourced dates and disclosed listing shares, assumed regional split"
2Q26,apac,nights,central,0.12332512332512334,sourced (04 regional shares),0.195,0.0442,0.03456215120519662,0.07876215120519663,0.27376215120519665,0.07876215120519663,0.0,1.0,"tranche 2 begins: testing expansion, UK-resident hosts 22 Jun (sourced dates); quarter path assumed","sourced dates and disclosed listing shares, assumed regional split"
3Q26,apac,nights,central,0.148618,assumed (prior-year quarter share),0.195,0.05980000000000001,0.3375599887250415,0.3973599887250415,0.5923599887250415,0.3952799887250415,0.0,1.0,"tranche 2: 15 Sep non-EEA deadline inside the quarter, EEA lags to 13 Oct (sourced dates); path assumed",assumed path anchored on sourced deadlines
4Q26,apac,nights,central,0.12285499999999999,assumed (prior-year quarter share),0.18130925566377076,0.07540000000000001,0.7432907443362292,0.8186907443362292,1.0,0.7989646573797075,-0.013690744336229244,0.0,"tranche 2: 13 Oct EEA/CH deadline, complete by year-end (sourced); path assumed",assumed path anchored on sourced deadlines
1Q23,blended,nights,central,1.0,sourced (04 regional shares),0.16185849614150388,0.0,0.0,0.0,0.16185849614150388,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
2Q23,blended,nights,central,1.0,sourced (04 regional shares),0.16113449813449818,0.0,0.0,0.0,0.16113449813449818,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
3Q23,blended,nights,central,1.0,sourced (04 regional shares),0.153895898,0.0,0.0,0.0,0.153895898,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
4Q23,blended,nights,central,1.0,sourced (04 regional shares),0.15564777764777765,0.0,0.0,0.0,0.15564777764777765,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
1Q24,blended,nights,central,1.0,sourced (04 regional shares),0.16181204000000002,0.0,0.0,0.0,0.16181204000000002,0.0,-4.6456141503864457e-05,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
2Q24,blended,nights,central,1.0,sourced (04 regional shares),0.161102435,0.0,0.0,0.0,0.161102435,0.0,-3.2063134498189205e-05,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
3Q24,blended,nights,central,1.0,sourced (04 regional shares),0.1542920842920843,0.0,0.0,0.0,0.1542920842920843,0.0,0.000396186292084294,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
4Q24,blended,nights,central,1.0,sourced (04 regional shares),0.15701267400000002,0.0,0.0,0.0,0.15701267400000002,0.0,0.0013648963522223667,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
1Q25,blended,nights,central,1.0,sourced (04 regional shares),0.16277886300000002,0.0,0.0,0.0,0.16277886300000002,0.0,0.0009668230000000055,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
2Q25,blended,nights,central,1.0,sourced (04 regional shares),0.16237637000000002,0.0,0.0,0.0,0.16237637000000002,0.0,0.0012739350000000316,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
3Q25,blended,nights,central,1.0,sourced (04 regional shares),0.154494951,0.0020800000000000003,0.0,0.0020800000000000003,0.15657495100000002,0.0020800000000000003,0.00020286670791569428,0.0,"25 Aug 2025 new PMS-connected hosts default to single fee (sourced date, assumed size)",assumed path anchored on sourced deadlines
4Q25,blended,nights,central,1.0,sourced (04 regional shares),0.15844503999999998,0.124599919978952,0.0,0.124599919978952,0.283044959978952,0.124599919978952,0.0014323659999999627,0.3333333333333333,"27 Oct 2025 tranche 1 (PMS split-fee hosts), 66/92 of bookings; 1 Dec pre-existing 15% -> 15.5% (sourced dates)","sourced dates and disclosed listing shares, assumed regional split"
