check,passed,max_abs_delta
GBV publication 46,True,
GBV status 47,True,
GBV value 47,True,0.0
GBV publication 47,True,
GBV status 48,True,
GBV value 48,True,0.0
GBV publication 48,True,
GBV status 49,True,
GBV value 49,True,0.0
GBV publication 49,True,
GBV status 50,True,
GBV value 50,True,0.0
GBV publication 50,True,
GBV status 51,True,
GBV value 51,True,3.637978807091713e-12
GBV publication 51,True,
GBV status 52,True,
GBV value 52,True,0.0
GBV publication 52,True,
GBV status 53,True,
GBV value 53,True,0.0
GBV publication 53,True,
GBV status 54,True,
GBV value 54,True,0.0
GBV publication 54,True,
GBV status 55,True,
GBV value 55,True,0.0
GBV publication 55,True,
GBV status 56,True,
GBV value 56,True,0.0
GBV publication 56,True,
GBV status 57,True,
GBV value 57,True,0.0
GBV publication 57,True,
GBV status 58,True,
GBV value 58,True,0.0
GBV publication 58,True,
GBV status 59,True,
GBV value 59,True,0.0
GBV publication 59,True,
GBV status 60,True,
GBV value 60,True,0.0
GBV publication 60,True,
GBV status 61,True,
GBV value 61,True,0.0
GBV publication 61,True,
GBV status 62,True,
GBV value 62,True,0.0
GBV publication 62,True,
GBV status 63,True,
GBV value 63,True,0.0
GBV publication 63,True,
GBV status 64,True,
GBV value 64,True,0.0
GBV publication 64,True,
GBV status 65,True,
GBV value 65,True,0.0
GBV publication 65,True,
GBV status 66,True,
GBV value 66,True,3.637978807091713e-12
GBV publication 66,True,
GBV status 67,True,
GBV value 67,True,0.0
GBV publication 67,True,
GBV status 68,True,
GBV value 68,True,0.0
GBV publication 68,True,
GBV status 69,True,
GBV value 69,True,0.0
GBV publication 69,True,
GBV status 70,True,
GBV value 70,True,3.637978807091713e-12
GBV publication 70,True,
GBV status 71,True,
GBV value 71,True,1.8189894035458565e-12
GBV publication 71,True,
GBV status 72,True,
GBV value 72,True,0.0
GBV publication 72,True,
GBV status 73,True,
GBV value 73,True,0.0
GBV publication 73,True,
GBV status 74,True,
GBV value 74,True,0.0
GBV publication 74,True,
GBV status 75,True,
GBV value 75,True,0.0
GBV publication 75,True,
GBV status 76,True,
GBV value 76,True,3.637978807091713e-12
GBV publication 76,True,
GBV status 77,True,
GBV value 77,True,0.0
GBV publication 77,True,
GBV status 78,True,
GBV value 78,True,0.0
GBV publication 78,True,
GBV status 79,True,
GBV value 79,True,0.0
GBV publication 79,True,
GBV status 80,True,
GBV value 80,True,0.0
GBV publication 80,True,
GBV status 81,True,
GBV value 81,True,0.0
GBV publication 81,True,
GBV status 82,True,
GBV value 82,True,3.637978807091713e-12
GBV publication 82,True,
GBV status 83,True,
GBV value 83,True,0.0
GBV publication 83,True,
GBV status 84,True,
GBV value 84,True,0.0
GBV publication 84,True,
GBV status 85,True,
GBV value 85,True,0.0
GBV publication 85,True,
GBV status 86,True,
GBV value 86,True,0.0
GBV publication 86,True,
GBV status 87,True,
GBV value 87,True,0.0
GBV publication 87,True,
GBV status 88,True,
GBV value 88,True,0.0
GBV publication 88,True,
GBV status 89,True,
GBV value 89,True,0.0
GBV publication 89,True,
GBV status 90,True,
GBV value 90,True,0.0
GBV publication 90,True,
GBV status 91,True,
GBV value 91,True,0.0
GBV publication 91,True,
GBV status 92,True,
GBV value 92,True,0.0
GBV publication 92,True,
GBV status 93,True,
GBV value 93,True,0.0
GBV publication 93,True,
GBV status 94,True,
GBV value 94,True,0.0
GBV publication 94,True,
GBV status 95,True,
GBV value 95,True,0.0
GBV publication 95,True,
GBV status 96,True,
GBV value 96,True,0.0
GBV publication 96,True,
GBV status 97,True,
GBV value 97,True,1.8189894035458565e-12
GBV publication 97,True,
GBV status 98,True,
GBV value 98,True,0.0
GBV publication 98,True,
GBV status 99,True,
GBV value 99,True,0.0
GBV publication 99,True,
GBV status 100,True,
GBV value 100,True,0.0
GBV publication 100,True,
GBV status 101,True,
GBV value 101,True,0.0
GBV publication 101,True,
GBV status 102,True,
GBV value 102,True,0.0
GBV publication 102,True,
GBV status 103,True,
GBV value 103,True,0.0
GBV publication 103,True,
GBV status 104,True,
GBV value 104,True,0.0
GBV publication 104,True,
GBV status 105,True,
GBV value 105,True,0.0
GBV publication 105,True,
GBV status 106,True,
GBV value 106,True,0.0
GBV publication 106,True,
GBV status 107,True,
GBV value 107,True,0.0
GBV publication 107,True,
GBV status 108,True,
GBV value 108,True,0.0
GBV publication 108,True,
GBV status 109,True,
GBV value 109,True,0.0
GBV publication 109,True,
GBV status 110,True,
GBV value 110,True,0.0
GBV publication 110,True,
GBV status 111,True,
GBV value 111,True,0.0
GBV publication 111,True,
GBV status 112,True,
GBV value 112,True,3.637978807091713e-12
GBV publication 112,True,
GBV status 113,True,
GBV value 113,True,0.0
GBV publication 113,True,
GBV status 114,True,
GBV value 114,True,0.0
GBV publication 114,True,
GBV status 115,True,
GBV value 115,True,0.0
GBV publication 115,True,
GBV status 116,True,
GBV value 116,True,0.0
GBV publication 116,True,
GBV status 117,True,
GBV value 117,True,0.0
GBV publication 117,True,
GBV status 118,True,
GBV value 118,True,0.0
GBV publication 118,True,
GBV status 119,True,
GBV value 119,True,0.0
GBV publication 119,True,
GBV status 120,True,
GBV value 120,True,0.0
GBV publication 120,True,
GBV status 121,True,
GBV value 121,True,0.0
GBV publication 121,True,
GBV status 122,True,
GBV value 122,True,0.0
GBV publication 122,True,
GBV status 123,True,
GBV value 123,True,0.0
GBV publication 123,True,
GBV status 124,True,
GBV value 124,True,0.0
GBV publication 124,True,
GBV status 125,True,
GBV value 125,True,0.0
GBV publication 125,True,
GBV status 126,True,
GBV value 126,True,0.0
GBV publication 126,True,
GBV status 127,True,
GBV value 127,True,3.637978807091713e-12
GBV publication 127,True,
GBV status 128,True,
GBV value 128,True,0.0
GBV publication 128,True,
GBV status 129,True,
GBV value 129,True,0.0
GBV publication 129,True,
GBV status 130,True,
GBV value 130,True,3.637978807091713e-12
GBV publication 130,True,
GBV status 131,True,
GBV value 131,True,0.0
GBV publication 131,True,
GBV status 132,True,
GBV value 132,True,0.0
GBV publication 132,True,
GBV status 133,True,
GBV value 133,True,0.0
GBV publication 133,True,
GBV status 134,True,
GBV value 134,True,0.0
GBV publication 134,True,
GBV status 135,True,
GBV value 135,True,0.0
GBV publication 135,True,
GBV status 136,True,
GBV value 136,True,0.0
GBV publication 136,True,
GBV status 137,True,
GBV value 137,True,0.0
GBV publication 137,True,
GBV status 138,True,
GBV value 138,True,0.0
GBV publication 138,True,
GBV status 139,True,
GBV value 139,True,0.0
GBV publication 139,True,
GBV status 140,True,
GBV value 140,True,0.0
GBV publication 140,True,
GBV status 141,True,
GBV value 141,True,3.637978807091713e-12
GBV publication 141,True,
GBV status 142,True,
GBV value 142,True,3.637978807091713e-12
GBV publication 142,True,
GBV status 143,True,
GBV value 143,True,3.637978807091713e-12
GBV publication 143,True,
GBV status 144,True,
GBV value 144,True,0.0
GBV publication 144,True,
GBV status 145,True,
GBV value 145,True,0.0
GBV publication 145,True,
GBV status 146,True,
GBV value 146,True,3.637978807091713e-12
GBV publication 146,True,
GBV status 147,True,
GBV value 147,True,1.8189894035458565e-12
GBV publication 147,True,
GBV status 148,True,
GBV value 148,True,0.0
GBV publication 148,True,
GBV status 149,True,
GBV value 149,True,0.0
GBV publication 149,True,
GBV status 150,True,
GBV value 150,True,0.0
GBV publication 150,True,
GBV status 151,True,
GBV value 151,True,0.0
GBV publication 151,True,
GBV status 152,True,
GBV value 152,True,3.637978807091713e-12
GBV publication 152,True,
GBV status 153,True,
GBV value 153,True,0.0
GBV publication 153,True,
GBV status 154,True,
GBV value 154,True,0.0
GBV publication 154,True,
GBV status 155,True,
GBV value 155,True,1.8189894035458565e-12
GBV publication 155,True,
GBV status 156,True,
GBV value 156,True,0.0
GBV publication 156,True,
GBV status 157,True,
GBV value 157,True,0.0
GBV publication 157,True,
GBV status 158,True,
GBV value 158,True,3.637978807091713e-12
GBV publication 158,True,
GBV status 159,True,
GBV value 159,True,0.0
GBV publication 159,True,
GBV status 160,True,
GBV value 160,True,0.0
GBV publication 160,True,
GBV status 161,True,
GBV value 161,True,0.0
GBV publication 161,True,
GBV status 162,True,
GBV value 162,True,0.0
GBV publication 162,True,
GBV status 163,True,
GBV value 163,True,0.0
GBV publication 163,True,
GBV status 164,True,
GBV value 164,True,0.0
GBV publication 164,True,
GBV status 165,True,
GBV value 165,True,0.0
GBV publication 165,True,
GBV status 166,True,
GBV value 166,True,0.0
GBV publication 166,True,
GBV status 167,True,
GBV value 167,True,0.0
GBV publication 167,True,
GBV status 168,True,
GBV value 168,True,0.0
GBV publication 168,True,
GBV status 169,True,
GBV value 169,True,0.0
GBV publication 169,True,
GBV status 170,True,
GBV value 170,True,0.0
GBV publication 170,True,
GBV status 171,True,
GBV value 171,True,0.0
GBV publication 171,True,
GBV status 172,True,
GBV value 172,True,0.0
GBV publication 172,True,
GBV status 173,True,
GBV value 173,True,1.8189894035458565e-12
GBV publication 173,True,
GBV status 174,True,
GBV value 174,True,0.0
GBV publication 174,True,
GBV status 175,True,
GBV value 175,True,0.0
GBV publication 175,True,
GBV status 176,True,
GBV value 176,True,0.0
GBV publication 176,True,
GBV status 177,True,
GBV value 177,True,0.0
GBV publication 177,True,
GBV status 178,True,
GBV value 178,True,0.0
GBV publication 178,True,
GBV status 179,True,
GBV value 179,True,0.0
GBV publication 179,True,
GBV status 180,True,
GBV value 180,True,0.0
GBV publication 180,True,
GBV status 181,True,
GBV value 181,True,0.0
GBV publication 181,True,
GBV status 182,True,
GBV value 182,True,0.0
GBV publication 182,True,
GBV status 183,True,
GBV value 183,True,0.0
GBV publication 183,True,
GBV status 184,True,
GBV value 184,True,0.0
GBV publication 184,True,
GBV status 185,True,
GBV value 185,True,0.0
GBV publication 185,True,
GBV status 186,True,
GBV value 186,True,0.0
GBV publication 186,True,
GBV status 187,True,
GBV value 187,True,0.0
GBV publication 187,True,
GBV status 188,True,
GBV value 188,True,3.637978807091713e-12
GBV publication 188,True,
GBV status 189,True,
GBV value 189,True,0.0
GBV publication 189,True,
GBV status 190,True,
GBV value 190,True,0.0
GBV publication 190,True,
GBV status 191,True,
GBV value 191,True,0.0
GBV publication 191,True,
GBV status 192,True,
GBV value 192,True,0.0
GBV publication 192,True,
GBV status 193,True,
GBV value 193,True,0.0
GBV publication 193,True,
GBV status 194,True,
GBV value 194,True,0.0
GBV publication 194,True,
GBV status 195,True,
GBV value 195,True,0.0
GBV publication 195,True,
GBV status 196,True,
GBV value 196,True,0.0
GBV publication 196,True,
GBV status 197,True,
GBV value 197,True,0.0
GBV publication 197,True,
GBV status 198,True,
GBV value 198,True,0.0
GBV publication 198,True,
GBV status 199,True,
GBV value 199,True,0.0
GBV publication 199,True,
GBV status 200,True,
GBV value 200,True,0.0
GBV publication 200,True,
GBV status 201,True,
GBV value 201,True,0.0
GBV publication 201,True,
GBV status 202,True,
GBV value 202,True,0.0
GBV publication 202,True,
GBV status 203,True,
GBV value 203,True,3.637978807091713e-12
GBV publication 203,True,
GBV status 204,True,
GBV value 204,True,0.0
GBV publication 204,True,
GBV status 205,True,
GBV value 205,True,0.0
GBV publication 205,True,
GBV status 206,True,
GBV value 206,True,3.637978807091713e-12
GBV publication 206,True,
GBV status 207,True,
GBV value 207,True,0.0
GBV publication 207,True,
GBV status 208,True,
GBV value 208,True,0.0
GBV publication 208,True,
GBV status 209,True,
GBV value 209,True,0.0
GBV publication 209,True,
GBV status 210,True,
GBV value 210,True,0.0
GBV publication 210,True,
GBV status 211,True,
GBV value 211,True,3.637978807091713e-12
GBV publication 211,True,
GBV status 212,True,
GBV value 212,True,0.0
GBV publication 212,True,
GBV status 213,True,
GBV value 213,True,0.0
GBV publication 213,True,
GBV status 214,True,
GBV value 214,True,0.0
GBV publication 214,True,
GBV status 215,True,
GBV value 215,True,0.0
GBV publication 215,True,
GBV status 216,True,
GBV value 216,True,0.0
GBV publication 216,True,
GBV status 217,True,
GBV value 217,True,3.637978807091713e-12
GBV publication 217,True,
GBV status 218,True,
GBV value 218,True,0.0
GBV publication 218,True,
GBV status 219,True,
GBV value 219,True,0.0
GBV publication 219,True,
GBV status 220,True,
GBV value 220,True,3.637978807091713e-12
GBV publication 220,True,
GBV status 221,True,
GBV value 221,True,0.0
GBV publication 221,True,
GBV status 222,True,
GBV value 222,True,0.0
GBV publication 222,True,
GBV status 223,True,
GBV value 223,True,3.637978807091713e-12
GBV publication 223,True,
GBV status 224,True,
GBV value 224,True,0.0
GBV publication 224,True,
fit training 2023-08-03,True,
fit n 2023-08-03,True,0.0
fit nonnegative 2023-08-03,True,
fit simplex 2023-08-03,True,0.0
joint season 2023-08-031,True,1.7763568394002505e-15
joint season 2023-08-032,True,0.0
joint season 2023-08-033,True,0.0
joint season 2023-08-034,True,0.0
fit training 2023-11-01,True,
fit n 2023-11-01,True,0.0
fit nonnegative 2023-11-01,True,
fit simplex 2023-11-01,True,2.220446049250313e-16
joint season 2023-11-011,True,0.0
joint season 2023-11-012,True,0.0
joint season 2023-11-013,True,7.105427357601002e-15
joint season 2023-11-014,True,3.552713678800501e-15
fit training 2024-02-13,True,
fit n 2024-02-13,True,0.0
fit nonnegative 2024-02-13,True,
fit simplex 2024-02-13,True,1.1102230246251565e-16
joint season 2024-02-131,True,3.552713678800501e-15
joint season 2024-02-132,True,0.0
joint season 2024-02-133,True,0.0
joint season 2024-02-134,True,1.7763568394002505e-15
fit training 2024-05-08,True,
fit n 2024-05-08,True,0.0
fit nonnegative 2024-05-08,True,
fit simplex 2024-05-08,True,2.220446049250313e-16
joint season 2024-05-081,True,1.7763568394002505e-15
joint season 2024-05-082,True,1.7763568394002505e-15
joint season 2024-05-083,True,3.552713678800501e-15
joint season 2024-05-084,True,1.7763568394002505e-15
fit training 2024-08-06,True,
fit n 2024-08-06,True,0.0
fit nonnegative 2024-08-06,True,
fit simplex 2024-08-06,True,1.1102230246251565e-16
joint season 2024-08-061,True,3.552713678800501e-15
joint season 2024-08-062,True,1.7763568394002505e-15
joint season 2024-08-063,True,0.0
joint season 2024-08-064,True,0.0
fit training 2024-11-07,True,
fit n 2024-11-07,True,0.0
fit nonnegative 2024-11-07,True,
fit simplex 2024-11-07,True,0.0
joint season 2024-11-071,True,3.552713678800501e-15
joint season 2024-11-072,True,1.7763568394002505e-15
joint season 2024-11-073,True,3.552713678800501e-15
joint season 2024-11-074,True,0.0
fit training 2025-02-13,True,
fit n 2025-02-13,True,0.0
fit nonnegative 2025-02-13,True,
fit simplex 2025-02-13,True,1.1102230246251565e-16
joint season 2025-02-131,True,1.7763568394002505e-15
joint season 2025-02-132,True,0.0
joint season 2025-02-133,True,0.0
joint season 2025-02-134,True,3.552713678800501e-15
fit training 2025-05-01,True,
fit n 2025-05-01,True,0.0
fit nonnegative 2025-05-01,True,
fit simplex 2025-05-01,True,0.0
joint season 2025-05-011,True,3.552713678800501e-15
joint season 2025-05-012,True,1.7763568394002505e-15
joint season 2025-05-013,True,3.552713678800501e-15
joint season 2025-05-014,True,0.0
fit training 2025-08-06,True,
fit n 2025-08-06,True,0.0
fit nonnegative 2025-08-06,True,
fit simplex 2025-08-06,True,1.1102230246251565e-16
joint season 2025-08-061,True,0.0
joint season 2025-08-062,True,0.0
joint season 2025-08-063,True,0.0
joint season 2025-08-064,True,0.0
fit training 2025-11-06,True,
fit n 2025-11-06,True,0.0
fit nonnegative 2025-11-06,True,
fit simplex 2025-11-06,True,0.0
joint season 2025-11-061,True,1.7763568394002505e-15
joint season 2025-11-062,True,0.0
joint season 2025-11-063,True,0.0
joint season 2025-11-064,True,1.7763568394002505e-15
fit training 2026-02-12,True,
fit n 2026-02-12,True,0.0
fit nonnegative 2026-02-12,True,
fit simplex 2026-02-12,True,1.1102230246251565e-16
joint season 2026-02-121,True,1.7763568394002505e-15
joint season 2026-02-122,True,0.0
joint season 2026-02-123,True,3.552713678800501e-15
joint season 2026-02-124,True,5.329070518200751e-15
fit training 2026-09-15,True,
fit n 2026-09-15,True,0.0
fit nonnegative 2026-09-15,True,
fit simplex 2026-09-15,True,0.0
joint season 2026-09-151,True,0.0
joint season 2026-09-152,True,0.0
joint season 2026-09-153,True,0.0
joint season 2026-09-154,True,0.0
cushion timing 2022-11-01/2023Q1/fixed,True,
cushion 2022-11-01/2023Q1/fixed,True,0.0
cushion n 2022-11-01/2023Q1/fixed,True,0.0
R to G 2022-11-01/2023Q1/fixed,True,0.0
last p 2022-11-01/2023Q1/fixed,True,
horizon 2022-11-01/2023Q1/fixed,True,0.0
actual R 2022-11-01/2023Q1/fixed,True,0.0
actual G 2022-11-01/2023Q1/fixed,True,0.0
fixed n 2022-11-01/2023Q1/fixed,True,0.0
coefficient 2022-11-01/2023Q1/fixed,True,0.0
point arithmetic 2022-11-01/2023Q1/fixed,True,0.0
known exposure 2022-11-01/2023Q1/fixed,True,5.551115123125783e-17
exposure complement 2022-11-01/2023Q1/fixed,True,1.1102230246251565e-16
cushion timing 2022-11-01/2023Q1/fixed_oracle,True,
cushion 2022-11-01/2023Q1/fixed_oracle,True,0.0
cushion n 2022-11-01/2023Q1/fixed_oracle,True,0.0
R to G 2022-11-01/2023Q1/fixed_oracle,True,6.821210263296962e-13
last p 2022-11-01/2023Q1/fixed_oracle,True,
horizon 2022-11-01/2023Q1/fixed_oracle,True,0.0
actual R 2022-11-01/2023Q1/fixed_oracle,True,0.0
actual G 2022-11-01/2023Q1/fixed_oracle,True,0.0
fixed n 2022-11-01/2023Q1/fixed_oracle,True,0.0
coefficient 2022-11-01/2023Q1/fixed_oracle,True,0.0
point arithmetic 2022-11-01/2023Q1/fixed_oracle,True,2.2737367544323206e-13
oracle ineligible 2022-11-01/2023Q1/fixed_oracle,True,
oracle actual availability 2022-11-01/2023Q1/fixed_oracle,True,
cushion timing 2022-11-01/2023Q1/guide_growth,True,
cushion 2022-11-01/2023Q1/guide_growth,True,0.0
cushion n 2022-11-01/2023Q1/guide_growth,True,0.0
R to G 2022-11-01/2023Q1/guide_growth,True,2.2737367544323206e-13
last p 2022-11-01/2023Q1/guide_growth,True,
horizon 2022-11-01/2023Q1/guide_growth,True,0.0
actual R 2022-11-01/2023Q1/guide_growth,True,0.0
actual G 2022-11-01/2023Q1/guide_growth,True,0.0
guide baseline 2022-11-01/2023Q1/guide_growth,True,2.2737367544323206e-13
latest guide anchor 2022-11-01/2023Q1/guide_growth,True,
cushion timing 2022-11-01/2023Q1/revenue_growth,True,
cushion 2022-11-01/2023Q1/revenue_growth,True,0.0
cushion n 2022-11-01/2023Q1/revenue_growth,True,0.0
R to G 2022-11-01/2023Q1/revenue_growth,True,2.2737367544323206e-13
last p 2022-11-01/2023Q1/revenue_growth,True,
horizon 2022-11-01/2023Q1/revenue_growth,True,0.0
actual R 2022-11-01/2023Q1/revenue_growth,True,0.0
actual G 2022-11-01/2023Q1/revenue_growth,True,0.0
revenue baseline 2022-11-01/2023Q1/revenue_growth,True,2.2737367544323206e-13
cushion timing 2023-02-14/2023Q2/fixed,True,
cushion 2023-02-14/2023Q2/fixed,True,0.0
cushion n 2023-02-14/2023Q2/fixed,True,0.0
R to G 2023-02-14/2023Q2/fixed,True,0.0
last p 2023-02-14/2023Q2/fixed,True,
horizon 2023-02-14/2023Q2/fixed,True,0.0
actual R 2023-02-14/2023Q2/fixed,True,0.0
actual G 2023-02-14/2023Q2/fixed,True,0.0
fixed n 2023-02-14/2023Q2/fixed,True,0.0
coefficient 2023-02-14/2023Q2/fixed,True,0.0
point arithmetic 2023-02-14/2023Q2/fixed,True,4.547473508864641e-13
known exposure 2023-02-14/2023Q2/fixed,True,0.0
exposure complement 2023-02-14/2023Q2/fixed,True,0.0
cushion timing 2023-02-14/2023Q2/fixed_oracle,True,
cushion 2023-02-14/2023Q2/fixed_oracle,True,0.0
cushion n 2023-02-14/2023Q2/fixed_oracle,True,0.0
R to G 2023-02-14/2023Q2/fixed_oracle,True,9.094947017729282e-13
last p 2023-02-14/2023Q2/fixed_oracle,True,
horizon 2023-02-14/2023Q2/fixed_oracle,True,0.0
actual R 2023-02-14/2023Q2/fixed_oracle,True,0.0
actual G 2023-02-14/2023Q2/fixed_oracle,True,0.0
fixed n 2023-02-14/2023Q2/fixed_oracle,True,0.0
coefficient 2023-02-14/2023Q2/fixed_oracle,True,0.0
point arithmetic 2023-02-14/2023Q2/fixed_oracle,True,4.547473508864641e-13
oracle ineligible 2023-02-14/2023Q2/fixed_oracle,True,
oracle actual availability 2023-02-14/2023Q2/fixed_oracle,True,
cushion timing 2023-02-14/2023Q2/guide_growth,True,
cushion 2023-02-14/2023Q2/guide_growth,True,0.0
cushion n 2023-02-14/2023Q2/guide_growth,True,0.0
R to G 2023-02-14/2023Q2/guide_growth,True,4.547473508864641e-13
last p 2023-02-14/2023Q2/guide_growth,True,
horizon 2023-02-14/2023Q2/guide_growth,True,0.0
actual R 2023-02-14/2023Q2/guide_growth,True,0.0
actual G 2023-02-14/2023Q2/guide_growth,True,0.0
guide baseline 2023-02-14/2023Q2/guide_growth,True,0.0
latest guide anchor 2023-02-14/2023Q2/guide_growth,True,
cushion timing 2023-02-14/2023Q2/revenue_growth,True,
cushion 2023-02-14/2023Q2/revenue_growth,True,0.0
cushion n 2023-02-14/2023Q2/revenue_growth,True,0.0
R to G 2023-02-14/2023Q2/revenue_growth,True,0.0
last p 2023-02-14/2023Q2/revenue_growth,True,
horizon 2023-02-14/2023Q2/revenue_growth,True,0.0
actual R 2023-02-14/2023Q2/revenue_growth,True,0.0
actual G 2023-02-14/2023Q2/revenue_growth,True,0.0
revenue baseline 2023-02-14/2023Q2/revenue_growth,True,0.0
cushion timing 2023-05-09/2023Q3/fixed,True,
cushion 2023-05-09/2023Q3/fixed,True,0.0
cushion n 2023-05-09/2023Q3/fixed,True,0.0
R to G 2023-05-09/2023Q3/fixed,True,0.0
last p 2023-05-09/2023Q3/fixed,True,
horizon 2023-05-09/2023Q3/fixed,True,0.0
actual R 2023-05-09/2023Q3/fixed,True,0.0
actual G 2023-05-09/2023Q3/fixed,True,0.0
fixed n 2023-05-09/2023Q3/fixed,True,0.0
coefficient 2023-05-09/2023Q3/fixed,True,0.0
point arithmetic 2023-05-09/2023Q3/fixed,True,0.0
known exposure 2023-05-09/2023Q3/fixed,True,0.0
exposure complement 2023-05-09/2023Q3/fixed,True,0.0
cushion timing 2023-05-09/2023Q3/fixed_oracle,True,
cushion 2023-05-09/2023Q3/fixed_oracle,True,0.0
cushion n 2023-05-09/2023Q3/fixed_oracle,True,0.0
R to G 2023-05-09/2023Q3/fixed_oracle,True,0.0
last p 2023-05-09/2023Q3/fixed_oracle,True,
horizon 2023-05-09/2023Q3/fixed_oracle,True,0.0
actual R 2023-05-09/2023Q3/fixed_oracle,True,0.0
actual G 2023-05-09/2023Q3/fixed_oracle,True,0.0
fixed n 2023-05-09/2023Q3/fixed_oracle,True,0.0
coefficient 2023-05-09/2023Q3/fixed_oracle,True,0.0
point arithmetic 2023-05-09/2023Q3/fixed_oracle,True,4.547473508864641e-13
oracle ineligible 2023-05-09/2023Q3/fixed_oracle,True,
oracle actual availability 2023-05-09/2023Q3/fixed_oracle,True,
cushion timing 2023-05-09/2023Q3/guide_growth,True,
cushion 2023-05-09/2023Q3/guide_growth,True,0.0
cushion n 2023-05-09/2023Q3/guide_growth,True,0.0
R to G 2023-05-09/2023Q3/guide_growth,True,0.0
last p 2023-05-09/2023Q3/guide_growth,True,
horizon 2023-05-09/2023Q3/guide_growth,True,0.0
actual R 2023-05-09/2023Q3/guide_growth,True,0.0
actual G 2023-05-09/2023Q3/guide_growth,True,0.0
guide baseline 2023-05-09/2023Q3/guide_growth,True,0.0
latest guide anchor 2023-05-09/2023Q3/guide_growth,True,
cushion timing 2023-05-09/2023Q3/revenue_growth,True,
cushion 2023-05-09/2023Q3/revenue_growth,True,0.0
cushion n 2023-05-09/2023Q3/revenue_growth,True,0.0
