horizon,window,model,period,n,targets,bias_musd,rmse_musd,positive_error_count,mean_relative_error_pct
3,W2,joint_oracle,before_2025Q3,6,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,-42.57414932861642,53.5570768404931,1,-1.5330808452658642
3,W2,joint_oracle,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,4.880102767088488,55.87852023528278,2,0.37142991393890035
3,W2,revenue_growth,before_2025Q3,6,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,72.43452612837314,107.96892430643075,5,2.683773983775835
3,W2,revenue_growth,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,-113.29369701198732,145.46062256605427,1,-3.7286339896387335
4,W1,fixed,before_2025Q3,5,2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,87.06942944302364,97.89482291173486,5,3.0700040872870544
4,W1,fixed,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,-89.55314872929102,138.60713212567688,1,-2.7607502952947818
4,W1,fixed_oracle,before_2025Q3,5,2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,17.80593845067633,56.355324975894995,2,0.8531454154823814
4,W1,fixed_oracle,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,6.705343327910327,32.273768632826524,2,0.39526533818977805
4,W1,guide_growth,before_2025Q3,5,2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,87.50104866024677,119.14910273901268,4,2.9724088882117647
4,W1,guide_growth,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,-75.53145515898927,147.41643928622705,1,-2.5514630879628912
4,W1,joint,before_2025Q3,5,2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,40.52695628883994,78.55530875260969,3,1.380268876024533
4,W1,joint,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,-122.82686723525103,176.51978885629592,1,-3.847021149706184
4,W1,joint_oracle,before_2025Q3,5,2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,-36.47485951274329,57.66214870270875,2,-1.0852182773414443
4,W1,joint_oracle,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,-5.677394710729118,53.736125224822686,2,0.015523620430140002
4,W1,revenue_growth,before_2025Q3,5,2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,114.02757986776396,147.5185988745021,4,4.302283143847251
4,W1,revenue_growth,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,-113.4761109131955,152.68401493150134,1,-3.7434979150067957
4,W2,fixed,before_2025Q3,5,2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,87.06942944302364,97.89482291173486,5,3.0700040872870544
4,W2,fixed,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,-89.55314872929102,138.60713212567688,1,-2.7607502952947818
4,W2,fixed_oracle,before_2025Q3,5,2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,17.80593845067633,56.355324975894995,2,0.8531454154823814
4,W2,fixed_oracle,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,6.705343327910327,32.273768632826524,2,0.39526533818977805
4,W2,guide_growth,before_2025Q3,5,2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,87.50104866024677,119.14910273901268,4,2.9724088882117647
4,W2,guide_growth,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,-75.53145515898927,147.41643928622705,1,-2.5514630879628912
4,W2,joint,before_2025Q3,5,2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,40.52695628883994,78.55530875260969,3,1.380268876024533
4,W2,joint,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,-122.82686723525103,176.51978885629592,1,-3.847021149706184
4,W2,joint_oracle,before_2025Q3,5,2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,-36.47485951274329,57.66214870270875,2,-1.0852182773414443
4,W2,joint_oracle,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,-5.677394710729118,53.736125224822686,2,0.015523620430140002
4,W2,revenue_growth,before_2025Q3,5,2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,114.02757986776396,147.5185988745021,4,4.302283143847251
4,W2,revenue_growth,2025Q3_onward,4,2025Q3|2025Q4|2026Q1|2026Q2,-113.4761109131955,152.68401493150134,1,-3.7434979150067957
