market,scope,baseline_date,endpoint_date,interval_days,pair_eligible,exclusion,baseline_listings,baseline_unique_host_ids,baseline_boutique_tagged,baseline_min_nights_le2,baseline_number_of_reviews_ltm,baseline_number_of_reviews_ltm_observed_sum,baseline_number_of_reviews_ltm_missing,baseline_number_of_reviews_ltm_positive,baseline_number_of_reviews_l30d,baseline_number_of_reviews_l30d_observed_sum,baseline_number_of_reviews_l30d_missing,baseline_number_of_reviews_l30d_positive,endpoint_listings,endpoint_unique_host_ids,endpoint_boutique_tagged,endpoint_min_nights_le2,endpoint_number_of_reviews_ltm,endpoint_number_of_reviews_ltm_observed_sum,endpoint_number_of_reviews_ltm_missing,endpoint_number_of_reviews_ltm_positive,endpoint_number_of_reviews_l30d,endpoint_number_of_reviews_l30d_observed_sum,endpoint_number_of_reviews_l30d_missing,endpoint_number_of_reviews_l30d_positive,retained_hotel_ids,new_to_panel_hotel_ids,recategorized_into_hotel,absent_baseline_hotel_ids,recategorized_out_of_hotel,retained_baseline_listings,retained_baseline_unique_host_ids,retained_baseline_boutique_tagged,retained_baseline_min_nights_le2,retained_baseline_number_of_reviews_ltm,retained_baseline_number_of_reviews_ltm_observed_sum,retained_baseline_number_of_reviews_ltm_missing,retained_baseline_number_of_reviews_ltm_positive,retained_baseline_number_of_reviews_l30d,retained_baseline_number_of_reviews_l30d_observed_sum,retained_baseline_number_of_reviews_l30d_missing,retained_baseline_number_of_reviews_l30d_positive,retained_listings,retained_unique_host_ids,retained_boutique_tagged,retained_min_nights_le2,retained_number_of_reviews_ltm,retained_number_of_reviews_ltm_observed_sum,retained_number_of_reviews_ltm_missing,retained_number_of_reviews_ltm_positive,retained_number_of_reviews_l30d,retained_number_of_reviews_l30d_observed_sum,retained_number_of_reviews_l30d_missing,retained_number_of_reviews_l30d_positive,new_to_panel_listings,new_to_panel_unique_host_ids,new_to_panel_boutique_tagged,new_to_panel_min_nights_le2,new_to_panel_number_of_reviews_ltm,new_to_panel_number_of_reviews_ltm_observed_sum,new_to_panel_number_of_reviews_ltm_missing,new_to_panel_number_of_reviews_ltm_positive,new_to_panel_number_of_reviews_l30d,new_to_panel_number_of_reviews_l30d_observed_sum,new_to_panel_number_of_reviews_l30d_missing,new_to_panel_number_of_reviews_l30d_positive,new_ids_first_review_after_baseline,new_ids_first_review_before_baseline,retained_missing_lifetime_review_delta_ids,retained_lifetime_review_delta_nonnegative,retained_negative_review_delta_ids,listings_growth,number_of_reviews_ltm_growth,number_of_reviews_l30d_growth,ltm_reviews_per_listing_baseline,ltm_reviews_per_listing_endpoint,l30d_reviews_per_listing_baseline,l30d_reviews_per_listing_endpoint
london,broad,2025-09-18,2026-08-30,346,True,,1457,316,217,1361,8148,8148,0,613,842,842,0,252,1753,378,184,1722,16321,16321,0,953,1804,1804,0,478,1112,579,62,337,8,1112,252,150,1060,6908,6908,0,473,753,753,0,201,1112,252,157,1084,11296,11296,0,524,977,977,0,248,579,160,18,576,4241,4241,0,399,781,781,0,218,378,28,0,10795,3,0.2031571722717913,1.00306823760432,1.1425178147268409,5.592312971859986,9.31032515687393,0.5778997940974605,1.029092983456931
london,boutique,2025-09-18,2026-08-30,346,True,,217,59,217,201,944,944,0,88,38,38,0,25,184,57,184,175,1118,1118,0,73,66,66,0,28,150,18,16,66,1,150,43,150,141,495,495,0,56,26,26,0,15,150,43,150,142,389,389,0,47,20,20,0,11,18,10,18,17,44,44,0,10,5,5,0,4,3,8,0,364,2,-0.15207373271889402,0.18432203389830515,0.736842105263158,4.350230414746544,6.076086956521739,0.17511520737327188,0.358695652173913
los-angeles,strict,2025-09-03,2026-08-21,352,True,,1252,247,219,1079,10253,10253,0,560,1001,1001,0,267,1666,306,122,1510,15754,15754,0,800,1573,1573,0,420,799,867,0,449,4,799,172,107,689,8238,8238,0,397,821,821,0,207,799,172,96,717,11655,11655,0,417,859,859,0,204,867,174,26,793,4099,4099,0,383,714,714,0,216,352,45,0,11211,3,0.3306709265175718,0.5365258948600409,0.5714285714285714,8.189297124600639,9.456182472989196,0.799520766773163,0.9441776710684273
los-angeles,broad,2025-09-03,2026-08-21,352,True,,1279,250,219,1101,10375,10375,0,569,1013,1013,0,274,1681,308,122,1521,16068,16068,0,810,1598,1598,0,430,810,868,3,465,4,810,174,107,696,8358,8358,0,404,832,832,0,213,810,174,96,724,11861,11861,0,423,875,875,0,210,868,175,26,794,4111,4111,0,384,716,716,0,217,352,46,0,11409,3,0.3143080531665363,0.548722891566265,0.577492596248766,8.111806098514464,9.558596073765615,0.7920250195465207,0.9506246281975015
los-angeles,boutique,2025-09-03,2026-08-21,352,True,,219,57,219,167,2115,2115,0,88,120,120,0,32,122,41,122,84,1409,1409,0,53,91,91,0,31,95,26,1,112,12,95,33,95,59,1215,1215,0,40,80,80,0,21,95,33,95,60,1100,1100,0,41,50,50,0,22,26,8,26,23,99,99,0,11,18,18,0,8,6,8,0,1051,0,-0.4429223744292238,-0.33380614657210406,-0.2416666666666667,9.657534246575343,11.549180327868852,0.547945205479452,0.7459016393442623
mexico-city,strict,2025-09-28,2026-09-03,340,True,,847,177,190,835,11323,11323,0,517,883,883,0,271,1097,196,161,1084,12458,12458,0,700,870,870,0,338,656,434,7,162,29,656,139,138,645,9880,9880,0,440,739,739,0,228,656,142,138,645,9894,9894,0,438,551,551,0,204,434,91,20,432,2464,2464,0,255,314,314,0,131,247,14,0,9322,0,0.2951593860684769,0.10023845270687981,-0.014722536806342057,13.36835891381346,11.356426618049225,1.0425029515938606,0.7930720145852325
mexico-city,broad,2025-09-28,2026-09-03,340,True,,887,199,190,872,11488,11488,0,534,890,890,0,275,1134,211,161,1120,12647,12647,0,715,888,888,0,347,693,434,7,165,29,693,158,138,680,10045,10045,0,457,746,746,0,232,693,158,138,681,10083,10083,0,453,569,569,0,213,434,91,20,432,2464,2464,0,255,314,314,0,131,247,14,0,9504,0,0.2784667418263811,0.1008878830083566,-0.0022471910112359383,12.95152198421646,11.152557319223986,1.003382187147689,0.783068783068783
mexico-city,boutique,2025-09-28,2026-09-03,340,True,,190,60,190,187,1913,1913,0,99,162,162,0,44,161,58,161,157,1680,1680,0,88,110,110,0,30,136,20,5,38,16,136,46,136,133,1425,1425,0,81,117,117,0,35,136,46,136,132,1147,1147,0,65,82,82,0,21,20,13,20,20,282,282,0,18,21,21,0,6,17,2,0,1053,0,-0.15263157894736845,-0.12179822268687923,-0.32098765432098764,10.06842105263158,10.434782608695652,0.8526315789473684,0.6832298136645962
nashville,strict,2025-09-24,2026-08-30,340,True,,379,53,79,302,4594,4594,0,214,465,465,0,72,415,75,64,389,4207,4207,0,164,537,537,0,65,215,198,2,135,29,215,37,54,197,2737,2737,0,121,281,281,0,30,215,37,59,197,3073,3073,0,97,348,348,0,29,198,49,5,190,1116,1116,0,65,187,187,0,34,56,12,0,2816,1,0.0949868073878628,-0.08424031345232907,0.1548387096774193,12.121372031662268,10.137349397590361,1.2269129287598945,1.2939759036144578
nashville,broad,2025-09-24,2026-08-30,340,True,,380,54,79,303,4631,4631,0,215,468,468,0,73,415,75,64,389,4207,4207,0,164,537,537,0,65,215,198,2,136,29,215,37,54,197,2737,2737,0,121,281,281,0,30,215,37,59,197,3073,3073,0,97,348,348,0,29,198,49,5,190,1116,1116,0,65,187,187,0,34,56,12,0,2816,1,0.09210526315789469,-0.09155689915784926,0.14743589743589736,12.186842105263159,10.137349397590361,1.231578947368421,1.2939759036144578
nashville,boutique,2025-09-24,2026-08-30,340,True,,79,8,79,79,759,759,0,57,29,29,0,13,64,8,64,64,178,178,0,28,18,18,0,8,54,5,5,7,18,54,4,54,54,165,165,0,36,7,7,0,2,54,4,54,54,137,137,0,24,15,15,0,7,5,4,5,5,39,39,0,3,3,3,0,1,2,1,0,131,1,-0.189873417721519,-0.7654808959156785,-0.3793103448275862,9.60759493670886,2.78125,0.3670886075949367,0.28125
new-orleans,strict,2025-09-11,2026-08-27,350,True,,500,98,81,374,3863,3863,0,245,452,452,0,119,896,148,80,847,12252,12252,0,572,1073,1073,0,325,425,308,163,50,25,425,80,68,317,3054,3054,0,207,399,399,0,95,425,80,67,382,6364,6364,0,242,382,382,0,110,308,73,6,302,2307,2307,0,187,408,408,0,110,181,16,0,6050,0,0.792,2.1716282681853483,1.3738938053097347,7.726,13.674107142857142,0.904,1.1975446428571428
new-orleans,broad,2025-09-11,2026-08-27,350,True,,514,103,81,385,4069,4069,0,259,467,467,0,127,912,153,80,861,12515,12515,0,588,1096,1096,0,337,437,310,165,52,25,437,83,68,326,3241,3241,0,219,412,412,0,102,437,83,67,392,6561,6561,0,254,397,397,0,118,310,75,6,304,2329,2329,0,189,413,413,0,112,183,16,0,6235,0,0.7743190661478598,2.0756942737773407,1.3468950749464668,7.916342412451362,13.722587719298245,0.9085603112840467,1.2017543859649122
new-orleans,boutique,2025-09-11,2026-08-27,350,True,,81,23,81,65,988,988,0,51,63,63,0,23,80,17,80,66,1000,1000,0,52,105,105,0,29,67,6,7,5,9,67,15,67,53,754,754,0,42,49,49,0,18,67,15,67,53,658,658,0,43,52,52,0,23,6,2,6,6,2,2,0,2,0,0,0,0,2,4,0,610,0,-0.012345679012345734,0.012145748987854255,0.6666666666666667,12.197530864197532,12.5,0.7777777777777778,1.3125
new-york-city,strict,2025-10-02,2026-08-21,323,True,,1728,295,302,1540,22989,22989,0,745,1747,1747,0,357,2232,388,223,2082,34938,34938,0,1115,3511,3511,0,591,1446,763,23,275,7,1446,261,230,1282,17142,17142,0,610,1404,1404,0,298,1446,261,219,1319,26177,26177,0,681,1995,1995,0,336,763,165,2,744,8176,8176,0,415,1459,1459,0,246,401,18,0,24287,3,0.29166666666666674,0.5197703249380139,1.0097309673726387,13.303819444444445,15.653225806451612,1.0109953703703705,1.5730286738351253
new-york-city,broad,2025-10-02,2026-08-21,323,True,,1745,298,302,1540,22991,22991,0,747,1748,1748,0,358,2256,390,223,2090,34940,34940,0,1116,3511,3511,0,591,1462,771,23,276,7,1462,263,230,1282,17144,17144,0,612,1405,1405,0,299,1462,263,219,1319,26179,26179,0,682,1995,1995,0,336,771,165,2,752,8176,8176,0,415,1459,1459,0,246,401,18,0,24288,3,0.292836676217765,0.519725109825584,1.0085812356979407,13.175358166189111,15.48758865248227,1.0017191977077364,1.5562943262411348
new-york-city,boutique,2025-10-02,2026-08-21,323,True,,302,43,302,260,3620,3620,0,162,87,87,0,47,223,40,223,188,1423,1423,0,90,121,121,0,38,219,2,2,72,11,219,37,219,184,1332,1332,0,98,64,64,0,31,219,37,219,185,1393,1393,0,89,121,121,0,38,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1233,1,-0.26158940397350994,-0.6069060773480663,0.3908045977011494,11.986754966887418,6.381165919282512,0.28807947019867547,0.5426008968609866
paris,strict,2025-09-15,2026-08-29,348,True,,2494,569,1076,2401,12598,12598,0,883,1171,1171,0,313,2336,549,575,2298,22222,22222,0,1141,2445,2445,0,575,1680,650,6,814,0,1680,409,565,1625,9972,9972,0,673,960,960,0,246,1680,409,564,1644,14082,14082,0,679,1140,1140,0,312,650,201,10,648,7952,7952,0,457,1301,1301,0,262,338,145,0,13337,14,-0.06335204490777868,0.763930782663915,1.0879590093936806,5.051323175621492,9.512842465753424,0.46952686447473935,1.0466609589041096
paris,broad,2025-09-15,2026-08-29,348,True,,2526,582,1076,2421,13045,13045,0,896,1196,1196,0,320,2356,557,575,2315,22399,22399,0,1153,2459,2459,0,580,1700,650,6,825,1,1700,417,565,1636,10160,10160,0,683,972,972,0,252,1700,417,564,1661,14259,14259,0,691,1154,1154,0,317,650,201,10,648,7952,7952,0,457,1301,1301,0,262,338,145,0,13505,14,-0.06730007917656378,0.7170563434266002,1.0560200668896322,5.164291369754553,9.507215619694398,0.4734758511480602,1.0437181663837012
paris,boutique,2025-09-15,2026-08-29,348,True,,1076,267,1076,1016,4955,4955,0,265,464,464,0,88,575,163,575,556,3453,3453,0,104,283,283,0,56,564,10,1,511,1,564,159,564,533,3069,3069,0,132,323,323,0,45,564,159,564,546,3417,3417,0,101,272,272,0,53,10,9,10,9,36,36,0,3,11,11,0,3,0,6,0,3145,6,-0.4656133828996283,-0.30312815338042376,-0.3900862068965517,4.605018587360595,6.005217391304348,0.4312267657992565,0.49217391304347824
rome,strict,2025-09-15,2026-08-31,350,True,,646,197,317,509,4206,4206,0,288,469,469,0,128,918,280,264,845,6648,6648,0,472,1263,1263,0,231,510,398,10,122,14,510,159,244,420,3927,3927,0,255,448,448,0,116,510,159,244,448,4344,4344,0,241,457,457,0,97,398,137,14,387,2215,2215,0,222,799,799,0,131,218,6,0,4152,3,0.42105263157894735,0.5805991440798859,1.692963752665245,6.510835913312693,7.241830065359477,0.7260061919504643,1.3758169934640523
rome,broad,2025-09-15,2026-08-31,350,True,,901,307,317,699,5965,5965,0,407,587,587,0,176,1040,326,264,946,7667,7667,0,517,1331,1331,0,252,614,416,10,168,119,614,206,244,498,4823,4823,0,303,510,510,0,136,614,206,244,531,5256,5256,0,279,504,504,0,113,416,139,14,405,2322,2322,0,229,820,820,0,136,218,19,0,5029,3,0.15427302996670367,0.2853310980720871,1.2674616695059626,6.620421753607103,7.372115384615385,0.6514983351831298,1.2798076923076922
rome,boutique,2025-09-15,2026-08-31,350,True,,317,108,317,226,2083,2083,0,137,191,191,0,47,264,93,264,225,2224,2224,0,122,191,191,0,51,244,14,6,62,11,244,84,244,189,1976,1976,0,119,187,187,0,44,244,84,244,205,2089,2089,0,104,183,183,0,47,14,8,14,14,73,73,0,12,3,3,0,2,10,2,0,1999,0,-0.16719242902208198,0.06769083053288516,0.0,6.570977917981073,8.424242424242424,0.6025236593059937,0.7234848484848485
san-diego,strict,2025-09-25,2026-08-30,339,True,,586,99,40,558,2287,2287,0,208,261,261,0,83,722,135,55,659,4409,4409,0,256,431,431,0,122,341,368,13,208,37,341,79,28,317,1721,1721,0,120,219,219,0,57,341,79,28,316,3081,3081,0,142,211,211,0,67,368,72,26,331,1229,1229,0,107,215,215,0,52,97,15,0,2876,0,0.23208191126279853,0.9278530826410145,0.6513409961685823,3.9027303754266214,6.106648199445983,0.4453924914675768,0.5969529085872576
san-diego,broad,2025-09-25,2026-08-30,339,True,,589,100,40,559,2290,2290,0,209,262,262,0,84,737,136,55,673,4449,4449,0,264,434,434,0,124,346,368,23,208,35,346,80,28,320,1724,1724,0,121,220,220,0,58,346,80,28,320,3088,3088,0,144,211,211,0,67,368,72,26,331,1229,1229,0,107,215,215,0,52,97,15,0,2882,0,0.2512733446519524,0.9427947598253275,0.6564885496183206,3.8879456706281834,6.036635006784261,0.44482173174872663,0.5888738127544098
san-diego,boutique,2025-09-25,2026-08-30,339,True,,40,10,40,33,530,530,0,26,28,28,0,14,55,13,55,25,366,366,0,15,21,21,0,10,28,26,1,12,0,28,8,28,21,228,228,0,16,22,22,0,11,28,8,28,21,329,329,0,13,18,18,0,9,26,4,26,3,5,5,0,1,0,0,0,0,1,0,0,306,0,0.375,-0.309433962264151,-0.25,13.25,6.654545454545454,0.7,0.38181818181818183
sydney,strict,2025-09-12,2026-08-28,350,True,,242,62,113,222,2667,2667,0,202,123,123,0,65,326,80,118,312,3051,3051,0,244,154,154,0,88,220,106,0,16,6,220,59,106,204,2467,2467,0,188,121,121,0,63,220,59,106,207,2585,2585,0,188,117,117,0,66,106,34,12,105,466,466,0,56,37,37,0,22,30,39,0,2475,1,0.3471074380165289,0.1439820022497187,0.2520325203252032,11.020661157024794,9.358895705521473,0.5082644628099173,0.4723926380368098
sydney,broad,2025-09-12,2026-08-28,350,True,,259,67,113,239,2784,2784,0,216,130,130,0,70,344,86,118,329,3135,3135,0,258,155,155,0,89,237,107,0,16,6,237,64,106,221,2584,2584,0,202,128,128,0,68,237,64,106,224,2669,2669,0,202,118,118,0,67,107,35,12,105,466,466,0,56,37,37,0,22,30,39,0,2553,1,0.3281853281853282,0.12607758620689657,0.1923076923076923,10.749034749034749,9.113372093023257,0.5019305019305019,0.45058139534883723
sydney,boutique,2025-09-12,2026-08-28,350,True,,113,31,113,108,1032,1032,0,89,45,45,0,24,118,34,118,114,978,978,0,93,73,73,0,40,106,12,0,7,0,106,30,106,102,913,913,0,85,45,45,0,24,106,30,106,102,940,940,0,85,64,64,0,34,12,5,12,12,38,38,0,8,9,9,0,6,1,10,0,895,1,0.04424778761061954,-0.05232558139534882,0.6222222222222222,9.132743362831858,8.288135593220339,0.39823008849557523,0.6186440677966102
