market,country,selection_group,selection_reason,hotel_rooms,room_count_qualifier,independent_rooms,independent_room_share,vintage,geography,source_id,limitation,hotel_establishments,boutique_establishments,boutique_available_room_nights,available_period_days,named_boutique_example_units,all_accommodation_rooms,independent_rooms_derived_or_reported,independent_rooms_calculated,annual_physical_independent_roomnight_capacity,boutique_eligible_rooms,boutique_average_daily_available_rooms,source_url,source_access,listing_panel_baseline_date,listing_panel_endpoint_date,listing_panel_interval_days,listing_panel_pair_eligible,listing_panel_exclusion,listing_panel_baseline_listings,listing_panel_baseline_unique_host_ids,listing_panel_baseline_boutique_tagged,listing_panel_baseline_min_nights_le2,listing_panel_baseline_number_of_reviews_ltm,listing_panel_baseline_number_of_reviews_ltm_observed_sum,listing_panel_baseline_number_of_reviews_ltm_missing,listing_panel_baseline_number_of_reviews_ltm_positive,listing_panel_baseline_number_of_reviews_l30d,listing_panel_baseline_number_of_reviews_l30d_observed_sum,listing_panel_baseline_number_of_reviews_l30d_missing,listing_panel_baseline_number_of_reviews_l30d_positive,listing_panel_endpoint_listings,listing_panel_endpoint_unique_host_ids,listing_panel_endpoint_boutique_tagged,listing_panel_endpoint_min_nights_le2,listing_panel_endpoint_number_of_reviews_ltm,listing_panel_endpoint_number_of_reviews_ltm_observed_sum,listing_panel_endpoint_number_of_reviews_ltm_missing,listing_panel_endpoint_number_of_reviews_ltm_positive,listing_panel_endpoint_number_of_reviews_l30d,listing_panel_endpoint_number_of_reviews_l30d_observed_sum,listing_panel_endpoint_number_of_reviews_l30d_missing,listing_panel_endpoint_number_of_reviews_l30d_positive,listing_panel_retained_hotel_ids,listing_panel_new_to_panel_hotel_ids,listing_panel_recategorized_into_hotel,listing_panel_absent_baseline_hotel_ids,listing_panel_recategorized_out_of_hotel,listing_panel_retained_baseline_listings,listing_panel_retained_baseline_unique_host_ids,listing_panel_retained_baseline_boutique_tagged,listing_panel_retained_baseline_min_nights_le2,listing_panel_retained_baseline_number_of_reviews_ltm,listing_panel_retained_baseline_number_of_reviews_ltm_observed_sum,listing_panel_retained_baseline_number_of_reviews_ltm_missing,listing_panel_retained_baseline_number_of_reviews_ltm_positive,listing_panel_retained_baseline_number_of_reviews_l30d,listing_panel_retained_baseline_number_of_reviews_l30d_observed_sum,listing_panel_retained_baseline_number_of_reviews_l30d_missing,listing_panel_retained_baseline_number_of_reviews_l30d_positive,listing_panel_retained_listings,listing_panel_retained_unique_host_ids,listing_panel_retained_boutique_tagged,listing_panel_retained_min_nights_le2,listing_panel_retained_number_of_reviews_ltm,listing_panel_retained_number_of_reviews_ltm_observed_sum,listing_panel_retained_number_of_reviews_ltm_missing,listing_panel_retained_number_of_reviews_ltm_positive,listing_panel_retained_number_of_reviews_l30d,listing_panel_retained_number_of_reviews_l30d_observed_sum,listing_panel_retained_number_of_reviews_l30d_missing,listing_panel_retained_number_of_reviews_l30d_positive,listing_panel_new_to_panel_listings,listing_panel_new_to_panel_unique_host_ids,listing_panel_new_to_panel_boutique_tagged,listing_panel_new_to_panel_min_nights_le2,listing_panel_new_to_panel_number_of_reviews_ltm,listing_panel_new_to_panel_number_of_reviews_ltm_observed_sum,listing_panel_new_to_panel_number_of_reviews_ltm_missing,listing_panel_new_to_panel_number_of_reviews_ltm_positive,listing_panel_new_to_panel_number_of_reviews_l30d,listing_panel_new_to_panel_number_of_reviews_l30d_observed_sum,listing_panel_new_to_panel_number_of_reviews_l30d_missing,listing_panel_new_to_panel_number_of_reviews_l30d_positive,listing_panel_new_ids_first_review_after_baseline,listing_panel_new_ids_first_review_before_baseline,listing_panel_retained_missing_lifetime_review_delta_ids,listing_panel_retained_lifetime_review_delta_nonnegative,listing_panel_retained_negative_review_delta_ids,listing_panel_listings_growth,listing_panel_number_of_reviews_ltm_growth,listing_panel_number_of_reviews_l30d_growth,listing_panel_ltm_reviews_per_listing_baseline,listing_panel_ltm_reviews_per_listing_endpoint,listing_panel_l30d_reviews_per_listing_baseline,listing_panel_l30d_reviews_per_listing_endpoint
los-angeles,United States,existing_panel,Retain the original team market,98600,more than,,,undated benchmark; page contains 2023 context,Los Angeles destination region,HOTEL-LAX,Not a September 2026 city census or independent hotel TAM,,,,,,,,False,,,,https://www.discoverlosangeles.com/media/facts-about-la,official destination page,2025-09-03,2026-06-23,293,True,,1252,247,219,1079,10253,10253,0,560,1001,1001,0,267,1441,260,134,1298,10657,10657,0,625,787,787,0,269,809,632,0,441,2,809,165,136,698,7453,7453,0,386,744,744,0,199,809,165,119,727,8787,8787,0,404,480,480,0,150,632,129,15,571,1870,1870,0,221,307,307,0,119,199,35,0,6749,3,0.15095846645367406,0.03940310153125903,-0.21378621378621376,8.189297124600639,7.395558639833449,0.799520766773163,0.546148507980569
madrid,Spain,rollout_extension,Add named Summer Release hotel destination with existing history,39656,calculated hotel-only category sum,,,2026-07; provisional,Municipality of Madrid,HOTEL-MAD,"6589+23507+5874+3686 hotel rooms; excludes 8422 hostal rooms from total 48078. Estimated open monthly stock, no chain classification",,,,,,,,False,,,,https://www.madrid.es/UnidadesDescentralizadas/UDCEstadistica/Nuevaweb/Turismo%20y%20eventos/Turismo/Encuesta%20Ocupaci%C3%B3n%20Hotelera/Tablas/P1110426.xlsx,Downloaded official XLSX: July hotel columns D:G reconcile with hostal categories to 48078,2025-09-15,2026-07-02,290,True,,420,107,42,417,5608,5608,0,231,665,665,0,123,495,143,37,492,7354,7354,0,322,680,680,0,178,254,238,3,160,6,254,72,27,251,4285,4285,0,152,458,458,0,79,254,71,27,252,5975,5975,0,167,395,395,0,88,238,85,10,237,1377,1377,0,153,285,285,0,90,143,11,0,4562,0,0.1785714285714286,0.31134094151212555,0.022556390977443552,13.352380952380953,14.856565656565657,1.5833333333333333,1.3737373737373737
mexico-city,Mexico,existing_panel,Retain the original team market,66000,more than; search-index evidence only,,,2025-09,Ciudad de Mexico,HOTEL-MEX,"Direct page fetch failed; provisional. 109 five-star and boutique hotels is a combined category, not 109 boutique hotels",,,,,,,,False,,,,https://www.turismo.cdmx.gob.mx/comunicacion/nota/ciudad-de-mexico-presente-en-fit-argentina-con-su-oferta-turistica-ante-operadores-de-60-paises,search-index snippet; direct page fetch failed,2025-09-28,2026-07-06,281,True,,847,177,190,835,11323,11323,0,517,883,883,0,271,1061,190,170,1045,12029,12029,0,634,774,774,0,300,682,372,7,138,27,682,142,148,671,10022,10022,0,451,747,747,0,233,682,144,148,668,10372,10372,0,447,506,506,0,189,372,80,19,370,1557,1557,0,181,268,268,0,111,175,14,0,7557,1,0.2526564344746163,0.06235096705820009,-0.1234428086070215,13.36835891381346,11.33741753063148,1.0425029515938606,0.7295004712535345
milan,Italy,geographic_extension,European urban comparison with existing history,,hotel-room count not identified,,,2025-09; provisional,Municipality of Milan,HOTEL-MIL,491 hotel establishments; 57295 hotel beds are not rooms. 74685 rooms include non-hotel accommodation; neither is substituted for hotel rooms,491,,,,,74685,,False,,,,https://resources.salonemilano.it/doc/MilanDesignEcoSystem2025.pdf,Downloaded and visually verified report citing Regional Observatory: 491 hotels; 74685 all-accommodation rooms,2025-09-24,2026-07-03,282,True,,203,53,47,163,1029,1029,0,80,119,119,0,41,239,56,38,229,1402,1402,0,85,71,71,0,30,158,71,10,45,0,158,42,30,132,946,946,0,67,111,111,0,37,158,42,31,148,1293,1293,0,68,40,40,0,22,71,19,7,71,108,108,0,16,31,31,0,8,12,6,0,826,0,0.17733990147783252,0.3624878522837707,-0.40336134453781514,5.068965517241379,5.866108786610878,0.5862068965517241,0.29707112970711297
nashville,United States,existing_panel,Retain the original team market,42156,reported,,,page updated 2025-09-19,Davidson County,HOTEL-BNA,Do not substitute 60933 MSA rooms; independent share unknown,,,,,,,,False,,,,https://www.visitmusiccity.com/about/statistics,full official destination page,2025-09-24,2026-07-03,282,True,,379,53,79,302,4594,4594,0,214,465,465,0,72,421,68,65,392,3976,3976,0,174,331,331,0,56,252,167,2,103,24,252,42,56,231,1914,1914,0,150,252,252,0,39,252,42,61,231,3057,3057,0,127,173,173,0,32,167,39,4,159,906,906,0,45,158,158,0,24,35,13,0,2208,1,0.1108179419525066,-0.13452329124945583,-0.2881720430107527,12.121372031662268,9.44418052256532,1.2269129287598945,0.7862232779097387
new-orleans,United States,existing_panel,Retain the original team market,26000,more than,,,undated; retrieved 2026-09-07,Downtown only,HOTEL-MSY,Not whole-city supply; independent share unknown,,,,,,,,False,,,,https://www.neworleans.com/hotels/,full official destination page,2025-09-11,2026-06-25,287,True,,500,98,81,374,3863,3863,0,245,452,452,0,119,793,126,75,741,9005,9005,0,488,926,926,0,272,411,246,136,64,25,411,76,68,305,2732,2732,0,194,311,311,0,84,411,76,67,366,5066,5066,0,231,357,357,0,90,246,53,1,239,1818,1818,0,142,359,359,0,105,134,12,0,4075,0,0.5860000000000001,1.3310898265596687,1.0486725663716814,7.726,11.35561160151324,0.904,1.1677175283732661
new-york-city,United States,existing_panel,Retain the original team market and disclosed hotel destination,,not separately taken from source,38000,0.32,2024-09-19,CoStar New York City market,HOTEL-NYC,Rounded historical independent room count in public abstract; full report paywalled; not all boutique or currently live,,,,,,,38000,False,13870000,,,https://www.costar.com/article/1020852869/new-york-citys-existing-supply-and-pipeline-is-flooded-with-independent-hotels,public abstract only; remainder paywalled,2025-09-03,2026-06-23,293,True,,1726,300,255,1556,23038,23038,0,707,2392,2392,0,366,1901,347,220,1764,23876,23876,0,806,1868,1868,0,356,1328,553,20,395,3,1328,251,189,1186,16038,16038,0,515,1769,1769,0,267,1328,251,206,1223,21557,21557,0,585,1482,1482,0,249,553,129,13,523,1787,1787,0,204,349,349,0,100,181,33,0,17647,4,0.10139049826187718,0.03637468530254373,-0.21906354515050164,13.347624565469292,12.559705418200947,1.3858632676709155,0.9826407154129405
paris,France,existing_panel,Retain the original team market and disclosed hotel destination,92800,approximately,,0.55,2023 year end; report 2024-05,HVS Paris market definition,HOTEL-PAR,1680 hotels; do not mix HVS geography with municipal census or treat as 2026 live eligible stock,,,,,,,51040.00000000001,True,18629600.000000004,,,https://hvs.com/Print/Paris-Market-Pulse-2024-Going-for-Gold?id=9930,public print report,2025-09-15,2026-06-29,287,True,,2494,569,1076,2401,12598,12598,0,883,1171,1171,0,313,1856,481,602,1821,14595,14595,0,709,723,723,0,262,1592,259,5,902,0,1592,407,594,1536,8835,8835,0,599,822,822,0,209,1592,407,594,1557,11451,11451,0,552,496,496,0,192,259,95,8,259,2949,2949,0,152,225,225,0,68,117,52,0,8766,11,-0.2558139534883721,0.15851722495634224,-0.3825789923142613,5.051323175621492,7.863685344827586,0.46952686447473935,0.3895474137931034
rio-de-janeiro,Brazil,geographic_extension,Latin American urban comparison with existing history,,no verified current denominator,,,undated historical bid; 2024 event title is not observation date,Rio de Janeiro; boundary unverified,HOTEL-RIO,Search-index lead mentions 42841 rooms; direct source returns 404 and vintage cannot be established. Number deliberately excluded from quantitative anchors,,,,,,,,False,,,,https://www.anpepp.org.br/images/ANPEPP/noticias/pdf/BID-RIO-DE-JANEIRO-ICP-2024.pdf,Search-only historical lead; direct PDF 404; no usable current independent or all-hotel room count,2025-09-28,2026-07-01,276,True,,468,329,23,332,1145,1145,0,181,58,58,0,36,609,461,27,490,1195,1195,0,207,90,90,0,47,345,264,0,116,7,345,244,21,267,921,921,0,140,46,46,0,27,345,244,21,282,993,993,0,152,62,62,0,29,264,227,6,208,202,202,0,55,28,28,0,18,49,9,0,834,1,0.3012820512820513,0.04366812227074246,0.5517241379310345,2.4465811965811968,1.9622331691297208,0.12393162393162394,0.1477832512315271
rome,Italy,existing_panel,Retain the original team market and disclosed hotel destination,48747,reported,,,2024 year end,Roma Capitale,HOTEL-ROM,Alberghi only; excludes 657 rooms in hotel dependencies; no matched chain classification,,,,,,,,False,,,,https://www.romaperilclima.it/wp-content/uploads/2026/03/Strategia-di-Riqualificazione-Energetica-del-Patrimonio-Immobiliare-di-Roma-Capitale_documento_ENEA_conferenza_3marzo2026_compressed.pdf,downloaded official PDF; table visually verified,2025-09-15,2026-07-07,295,True,,646,197,317,509,4206,4206,0,288,469,469,0,128,686,211,271,612,4725,4725,0,338,373,373,0,136,512,159,15,122,12,512,158,247,422,3822,3822,0,257,397,397,0,116,512,158,247,449,4150,4150,0,250,242,242,0,93,159,66,13,148,440,440,0,77,129,129,0,41,73,6,0,2921,3,0.0619195046439629,0.12339514978601995,-0.20469083155650325,6.510835913312693,6.887755102040816,0.7260061919504643,0.543731778425656
san-diego,United States,existing_panel,Retain the original team market,40158,reported,,,tourism fact sheet with CY2025 context,City of San Diego,HOTEL-SAN,Do not use 68954 county rooms for city TAM; independent share unknown,,,,,,,,False,,,,https://www.sandiego.org/about/san-diego-tourism-fast-facts,full official destination page,2025-09-25,2026-07-02,280,True,,586,99,40,558,2287,2287,0,208,261,261,0,83,574,115,59,514,3377,3377,0,196,334,334,0,94,315,247,12,234,37,315,76,32,292,1497,1497,0,116,191,191,0,57,315,76,32,290,2618,2618,0,129,166,166,0,61,247,54,26,214,691,691,0,60,166,166,0,31,49,16,0,2038,0,-0.020477815699658675,0.47660690861390465,0.27969348659003823,3.9027303754266214,5.883275261324042,0.4453924914675768,0.5818815331010453
san-francisco,United States,us_extension,Add major US urban hotel market with existing history,35527,reported annual average,,,2024,San Francisco city and county,HOTEL-SFO,253 hotels; STR series; no independent classification,,,,,,,,False,,,,https://www.sftravel.com/sites/default/files/2025-07/2024%20San%20Francisco%20City-County%20Lodging%20Statistics.pdf,Full official destination report: average 35527 rooms in 253 hotels in 2024,2025-09-01,2026-06-22,294,True,,1216,187,216,864,7936,7936,0,395,919,919,0,197,1111,215,153,980,8148,8148,0,464,766,766,0,175,722,384,5,484,10,722,149,180,649,6406,6406,0,294,710,710,0,153,722,149,145,647,7596,7596,0,357,656,656,0,143,384,99,6,329,512,512,0,105,107,107,0,31,92,23,0,5931,8,-0.08634868421052633,0.02671370967741926,-0.16648531011969536,6.526315789473684,7.333933393339334,0.7557565789473685,0.6894689468946895
singapore,Singapore,rollout_extension,Add named Summer Release hotel destination with existing history,79566,reported accommodation keys,,,2026-04,Singapore; HVS tracked accommodation,HOTEL-SIN,Tracked accommodation supply; do not infer current independent share from branded pipeline share,,,,,,,,False,,,,https://www.hvs.com/Print/In-Focus-Singapore?id=10441,Full public report: 79566 keys as of April 2026,2025-09-28,2026-07-02,277,True,,637,135,107,488,4087,4087,0,317,380,380,0,112,582,134,100,509,3121,3121,0,254,141,141,0,62,446,132,4,190,1,446,111,99,319,2931,2931,0,222,218,218,0,75,446,111,99,380,2976,2976,0,222,122,122,0,53,132,36,0,128,132,132,0,28,19,19,0,9,26,4,0,2264,1,-0.08634222919937207,-0.2363591876682163,-0.6289473684210527,6.416012558869702,5.36254295532646,0.5965463108320251,0.2422680412371134
