method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,25.127168270556336,25.127168270556336,W1,PIT,3,12,9.998070526594223,13.339664153860882,18.923320590243463,31.331015950869208,36.91467238725179,40.256266014518445,9.1978383341027,,,,,,,,2023-02-14,k4_rw,margin[2022Q1]=15.18 + delta +9.95; rev=1845; sigma additive n=5 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q3,2023-02-14,2,1796.1444662854622,1796.1444662854622,W1,full_sample,3,12,895.8927904285983,1094.733151822919,1426.9866774020295,2165.302255168895,2497.5557807480054,2696.396142142326,547.3141567771999,,,,,,,,2023-02-14,k4_rw,margin[2022Q3]=50.51 + delta -0.35; rev=3581; sigma relative n=17 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,18.41956335330024,18.41956335330024,W1,PIT,3,12,-12.265137237970137,-5.487746960926305,5.836975032048892,31.00215167455159,42.32687366752678,49.10426394457062,18.654973359629928,,,,,,,,2023-02-14,k2_rw,margin[2022Q1]=15.18 + delta +3.24; rev=1845; sigma additive n=5 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q1,2023-02-14,0,339.86797257548403,339.86797257548403,W1,PIT,3,12,166.63225146731975,204.89516651134565,268.83081988254656,410.9051252684215,474.84077863962244,513.1036936836483,105.31984017887035,,,,,,,,2023-02-14,k2_rw,margin[2022Q1]=15.18 + delta +3.24; rev=1845; sigma relative n=5 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q2,2023-02-14,1,37.03437396765365,37.03437396765365,W1,PIT,3,12,5.811815755616912,12.708003705089489,24.231231399916474,49.837516535390826,61.36074423021781,68.25693217969038,18.981967574770646,,,,,,,,2023-02-14,k2_rw,margin[2022Q2]=33.79 + delta +3.24; rev=2612; sigma additive n=4 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q2,2023-02-14,1,967.3919975114106,967.3919975114106,W1,PIT,3,12,572.6729933718226,659.855357523068,805.533265441015,1129.2507295818064,1274.9286374997532,1362.1110016509986,239.9721152520724,,,,,,,,2023-02-14,k2_rw,margin[2022Q2]=33.79 + delta +3.24; rev=2612; sigma relative n=4 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q3,2023-02-14,2,53.756246617752666,53.756246617752666,W1,PIT,3,12,22.36264860364594,29.296614451198003,40.8829673573144,66.62952587819093,78.21587878430734,85.1498446318594,19.085952390967933,,,,,,,,2023-02-14,k2_rw,margin[2022Q3]=50.51 + delta +3.24; rev=3581; sigma additive n=3 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q3,2023-02-14,2,1924.7571475008401,1924.7571475008401,W1,PIT,3,12,1666.610393527608,1723.627775699046,1818.9013213359071,2030.612973665773,2125.8865193026345,2182.9039014740724,156.9420827138731,,,,,,,,2023-02-14,k2_rw,margin[2022Q3]=50.51 + delta +3.24; rev=3581; sigma relative n=3 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,16.330282042721578,16.330282042721578,W1,full_sample,3,12,-1.8790186385168433,2.142905480368082,8.863364338623523,23.797199746819633,30.517658605075074,34.539582723959995,11.07046875349453,,,,,,,,2023-02-14,k2_rw,margin[2022Q1]=15.18 + delta +1.15; rev=1830; sigma additive n=19 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q1,2023-02-14,0,298.8311836742213,298.8311836742213,W1,full_sample,3,12,198.60982170322586,220.74591138589835,257.73434667151935,339.9280206769232,376.9164559625442,399.0525456452167,60.93026171376902,,,,,,,,2023-02-14,k2_rw,margin[2022Q1]=15.18 + delta +1.15; rev=1830; sigma relative n=19 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q2,2023-02-14,1,34.94509265707499,34.94509265707499,W1,full_sample,3,12,14.491145269851323,19.008848929269583,26.55773366191541,43.33245165223457,50.88133638488039,55.39904004429865,12.435117053626506,,,,,,,,2023-02-14,k2_rw,margin[2022Q2]=33.79 + delta +1.15; rev=2612; sigma additive n=18 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q2,2023-02-14,1,912.8169148552477,912.8169148552477,W1,full_sample,3,12,494.3597811125472,586.7852327199925,741.2241098899889,1084.4097198205063,1238.8485969905028,1331.2740485979482,254.4038733210916,,,,,,,,2023-02-14,k2_rw,margin[2022Q2]=33.79 + delta +1.15; rev=2612; sigma relative n=18 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q3,2023-02-14,2,51.666965307174,51.666965307174,W1,full_sample,3,12,29.031285007637248,34.03087231402268,42.38496349218615,60.948967122161854,69.30305830032532,74.30264560671075,13.761516483074011,,,,,,,,2023-02-14,k2_rw,margin[2022Q3]=50.51 + delta +1.15; rev=3581; sigma additive n=17 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q3,2023-02-14,2,1849.9498573960996,1849.9498573960996,W1,full_sample,3,12,914.7455150931556,1121.3059407919593,1466.459355331618,2233.440359460581,2578.59377400024,2785.1541996990436,568.5638691366274,,,,,,,,2023-02-14,k2_rw,margin[2022Q3]=50.51 + delta +1.15; rev=3581; sigma relative n=17 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,26.532578086666064,26.532578086666064,W1,PIT,3,12,9.81832411326214,13.510034320127128,19.67872020988389,33.386435963448235,39.555121853205,43.24683206006999,10.161544893439348,,,,,,,,2023-02-14,k4_ew,margin[2022Q1]=15.18 + delta +11.36; rev=1845; sigma additive n=5 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q1,2023-02-14,0,489.56499937335525,489.56499937335525,W1,PIT,3,12,345.751007423322,377.5154871791488,430.5925401127349,548.5374586339756,601.6145115675616,633.3789913233885,87.43269893052687,,,,,,,,2023-02-14,k4_ew,margin[2022Q1]=15.18 + delta +11.36; rev=1845; sigma relative n=5 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q2,2023-02-14,1,45.14738870101947,45.14738870101947,W1,PIT,3,12,22.20323434679105,27.270954925416472,35.73889381413648,54.555883587902464,63.02382247662247,68.0915430552479,13.949055392091335,,,,,,,,2023-02-14,k4_ew,margin[2022Q2]=33.79 + delta +11.36; rev=2612; sigma additive n=4 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q2,2023-02-14,1,1179.3158047183376,1179.3158047183376,W1,PIT,3,12,994.596100639326,1035.3955056287841,1103.5695224844214,1255.0620869522538,1323.2361038078911,1364.0355087973492,112.30160608355544,,,,,,,,2023-02-14,k4_ew,margin[2022Q2]=33.79 + delta +11.36; rev=2612; sigma relative n=4 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q3,2023-02-14,2,61.86926135111849,61.86926135111849,W1,PIT,3,12,55.38350021649147,56.81602305706158,59.2097059135725,64.52881678866449,66.9224996451754,68.35502248574551,3.943062791944326,,,,,,,,2023-02-14,k4_ew,margin[2022Q3]=50.51 + delta +11.36; rev=3581; sigma additive n=3 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q3,2023-02-14,2,2215.245864223643,2215.245864223643,W1,PIT,3,12,1955.9515453737952,2013.222392460555,2108.919466857553,2321.572261589733,2417.2693359867308,2474.5401830734904,157.6397526206736,,,,,,,,2023-02-14,k4_ew,margin[2022Q3]=50.51 + delta +11.36; rev=3581; sigma relative n=3 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,14.514998545804279,14.514998545804279,W1,full_sample,3,12,-5.7889316272375595,-1.3043625654915516,6.189155707256242,22.840841384352316,30.33435965710011,34.81892871884612,12.343913063360295,,,,,,,,2023-02-14,k4_ew,margin[2022Q1]=15.18 + delta -0.66; rev=1830; sigma additive n=19 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q1,2023-02-14,0,265.6129382900362,265.6129382900362,W1,full_sample,3,12,151.12096085789858,176.4090294945809,218.66428341137552,312.56159316869685,354.8168470854915,380.10491572217376,69.60617987895615,,,,,,,,2023-02-14,k4_ew,margin[2022Q1]=15.18 + delta -0.66; rev=1830; sigma relative n=19 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q2,2023-02-14,1,33.12980916015769,33.12980916015769,W1,full_sample,3,12,7.983594931665909,13.537688813394269,22.8183361661823,43.441282154133084,52.721929506921114,58.27602338864948,15.287812736928517,,,,,,,,2023-02-14,k4_ew,margin[2022Q2]=33.79 + delta -0.66; rev=2612; sigma additive n=18 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q2,2023-02-14,1,865.3990557153546,865.3990557153546,W1,full_sample,3,12,437.6117164355779,532.0979489231139,689.9803005871964,1040.817810843513,1198.7001625075952,1293.1863949951312,260.0762355204982,,,,,,,,2023-02-14,k4_ew,margin[2022Q2]=33.79 + delta -0.66; rev=2612; sigma relative n=18 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q3,2023-02-14,2,49.85168181025671,49.85168181025671,W1,full_sample,3,12,21.25975427840805,27.574909646468633,38.12725737358309,61.57610624693032,72.12845397404479,78.44360934210536,17.3826576805136,,,,,,,,2023-02-14,k4_ew,margin[2022Q3]=50.51 + delta -0.66; rev=3581; sigma additive n=17 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q3,2023-02-14,2,1784.9531341263983,1784.9531341263983,W1,full_sample,3,12,884.4878769186543,1083.3754124467587,1415.7077639350357,2154.198504317761,2486.530855806038,2685.418391334142,547.4440050186363,,,,,,,,2023-02-14,k4_ew,margin[2022Q3]=50.51 + delta -0.66; rev=3581; sigma relative n=17 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,18.26534533767756,18.26534533767756,W1,PIT,3,12,-16.06132483645689,-8.479525561946271,4.189328595855759,32.34136207949936,45.01021623730139,52.59201551181201,20.869133649146995,,,,,,,,2023-02-14,k2_ew,margin[2022Q1]=15.18 + delta +3.09; rev=1845; sigma additive n=5 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q1,2023-02-14,0,337.0224238890704,337.0224238890704,W1,PIT,3,12,149.7399405456784,191.10539164065284,260.22524671987475,413.8196010582661,482.939456137488,524.3049072324625,113.85966524601729,,,,,,,,2023-02-14,k2_ew,margin[2022Q1]=15.18 + delta +3.09; rev=1845; sigma relative n=5 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q2,2023-02-14,1,36.88015595203097,36.88015595203097,W1,PIT,3,12,1.4382293350203454,9.26635749743642,22.346816426446164,51.41349547761577,64.49395440662552,72.32208256904158,21.547161422927182,,,,,,,,2023-02-14,k2_ew,margin[2022Q2]=33.79 + delta +3.09; rev=2612; sigma additive n=4 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q2,2023-02-14,1,963.3635974548639,963.3635974548639,W1,PIT,3,12,548.9193947462867,640.4585023696278,793.4163376046295,1133.3108573050984,1286.2686925401001,1377.8078001634412,251.9641844829056,,,,,,,,2023-02-14,k2_ew,margin[2022Q2]=33.79 + delta +3.09; rev=2612; sigma relative n=4 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q3,2023-02-14,2,53.602028602129984,53.602028602129984,W1,PIT,3,12,16.939253445426765,25.037032830218124,38.56806712874872,68.63599007551124,82.16702437404184,90.26480375883321,22.289384633362804,,,,,,,,2023-02-14,k2_ew,margin[2022Q3]=50.51 + delta +3.09; rev=3581; sigma additive n=3 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q3,2023-02-14,2,1919.2353291723794,1919.2353291723794,W1,PIT,3,12,1621.9437058926098,1687.6070924741332,1797.3277323894376,2041.1429259553213,2150.8635658706257,2216.5269524521486,180.74047344307587,,,,,,,,2023-02-14,k2_ew,margin[2022Q3]=50.51 + delta +3.09; rev=3581; sigma relative n=3 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,16.32011737100173,16.32011737100173,W1,full_sample,3,12,-3.751232691333019,0.6819659431131893,8.089646484219486,24.55058825778397,31.958268798890266,36.39146743333647,12.202514396089123,,,,,,,,2023-02-14,k2_ew,margin[2022Q1]=15.18 + delta +1.14; rev=1830; sigma additive n=19 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q1,2023-02-14,0,298.64517825963287,298.64517825963287,W1,full_sample,3,12,193.59249794656614,216.7956904305015,255.5672077090778,341.7231488101879,380.49466608876423,403.6978585726996,63.86749470697193,,,,,,,,2023-02-14,k2_ew,margin[2022Q1]=15.18 + delta +1.14; rev=1830; sigma relative n=19 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q2,2023-02-14,1,34.93492798535514,34.93492798535514,W1,full_sample,3,12,12.69856522020472,17.609954476002915,25.816670578747463,44.05318539196281,52.259901494707364,57.171290750505555,13.518748659941675,,,,,,,,2023-02-14,k2_ew,margin[2022Q2]=33.79 + delta +1.14; rev=2612; sigma additive n=18 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q2,2023-02-14,1,912.551398767742,912.551398767742,W1,full_sample,3,12,487.86221262940285,581.6641499283606,738.4030743357853,1086.6997231996986,1243.4386476071231,1337.240584906081,258.1926921518522,,,,,,,,2023-02-14,k2_ew,margin[2022Q2]=33.79 + delta +1.14; rev=2612; sigma relative n=18 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q3,2023-02-14,2,51.656800635454154,51.656800635454154,W1,full_sample,3,12,27.275268503725552,32.660465544104035,41.658893680410216,61.65470759049809,70.65313572680427,76.03833276718275,14.822919031960724,,,,,,,,2023-02-14,k2_ew,margin[2022Q3]=50.51 + delta +1.14; rev=3581; sigma additive n=17 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q3,2023-02-14,2,1849.585908538511,1849.585908538511,W1,full_sample,3,12,907.8035679612227,1115.8168890993788,1463.3980282148614,2235.7737888621605,2583.354927977643,2791.3682491157992,572.5630081278189,,,,,,,,2023-02-14,k2_ew,margin[2022Q3]=50.51 + delta +1.14; rev=3581; sigma relative n=17 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,20.15170743002142,20.15170743002142,W1,PIT,4,12,15.961547081299157,16.88703605331031,18.43348754675482,21.869927313288024,23.41637880673253,24.341867778743683,2.5474366108115016,,,,,,,,2023-02-14,k4_rw_shrink50,margin[2022Q1]=15.18 + delta +4.98; rev=1845; sigma additive n=5 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q1,2023-02-14,0,371.82857252414584,371.82857252414584,W1,PIT,4,12,351.4778678286053,355.9727680712945,363.4835492944197,380.173595753872,387.6843769769971,392.1792772196864,12.372349953872778,,,,,,,,2023-02-14,k4_rw_shrink50,margin[2022Q1]=15.18 + delta +4.98; rev=1845; sigma relative n=5 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q2,2023-02-14,1,38.766518044374834,38.766518044374834,W1,PIT,4,12,27.607974413561244,30.07258393075368,34.19083837125485,43.34219771749482,47.46045215799599,49.925061675188424,6.78391283453868,,,,,,,,2023-02-14,k4_rw_shrink50,margin[2022Q2]=33.79 + delta +4.98; rev=2612; sigma additive n=4 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q2,2023-02-14,1,1012.6381334342268,1012.6381334342268,W1,PIT,4,12,873.8347120047846,904.492497177502,955.7203119865997,1069.5559548818542,1120.7837696909517,1151.4415548636691,84.38648835075783,,,,,,,,2023-02-14,k4_rw_shrink50,margin[2022Q2]=33.79 + delta +4.98; rev=2612; sigma relative n=4 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q3,2023-02-14,2,55.48839069447385,55.48839069447385,W1,PIT,4,12,46.6151974121824,48.57503709511681,51.84984327460007,59.12693811434763,62.40174429383089,64.3615839767653,5.394518476842702,,,,,,,,2023-02-14,k4_rw_shrink50,margin[2022Q3]=50.51 + delta +4.98; rev=3581; sigma additive n=3 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q3,2023-02-14,2,1986.7770410376281,1986.7770410376281,W1,PIT,4,12,1559.1432842784916,1653.5955946920933,1811.4212640579713,2162.132818017285,2319.9584873831627,2414.4107977967647,259.9828639778128,,,,,,,,2023-02-14,k4_rw_shrink50,margin[2022Q3]=50.51 + delta +4.98; rev=3581; sigma relative n=3 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,15.001903065760438,15.001903065760438,W1,full_sample,4,12,9.150417902376875,10.442846959477219,12.602439246331416,17.401366885189457,19.560959172043656,20.853388229144002,3.557450381909392,,,,,,,,2023-02-14,k4_rw_shrink50,margin[2022Q1]=15.18 + delta -0.17; rev=1830; sigma additive n=19 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q1,2023-02-14,0,274.52290406124456,274.52290406124456,W1,full_sample,4,12,212.42723539910494,226.14242808236185,249.05991370275908,299.9858944197301,322.9033800401273,336.6185727233842,37.75148599527733,,,,,,,,2023-02-14,k4_rw_shrink50,margin[2022Q1]=15.18 + delta -0.17; rev=1830; sigma relative n=19 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q2,2023-02-14,1,33.61671368011385,33.61671368011385,W1,full_sample,4,12,24.10737492331711,26.20772131059017,29.71730803239722,37.516119327830474,41.02570604963752,43.126052436910584,5.781267464157946,,,,,,,,2023-02-14,k4_rw_shrink50,margin[2022Q2]=33.79 + delta -0.17; rev=2612; sigma additive n=18 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q2,2023-02-14,1,878.1177136996673,878.1177136996673,W1,full_sample,4,12,571.5706487520281,639.2783029705449,752.4148244747556,1003.820602924579,1116.9571244287897,1184.6647786473065,186.3673824374181,,,,,,,,2023-02-14,k4_rw_shrink50,margin[2022Q2]=33.79 + delta -0.17; rev=2612; sigma relative n=18 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q3,2023-02-14,2,50.33858633021286,50.33858633021286,W1,full_sample,4,12,38.33261458295182,40.984397217894625,45.41540973140525,55.26176292902048,59.6927754425311,62.344558077473906,7.299112547487029,,,,,,,,2023-02-14,k4_rw_shrink50,margin[2022Q3]=50.51 + delta -0.17; rev=3581; sigma additive n=17 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q3,2023-02-14,2,1802.3868839490017,1802.3868839490017,W1,full_sample,4,12,1064.4593809173946,1227.4468824357396,1499.7918511587122,2104.981916739291,2377.326885462264,2540.3143869806086,448.6280669236583,,,,,,,,2023-02-14,k4_rw_shrink50,margin[2022Q3]=50.51 + delta -0.17; rev=3581; sigma relative n=17 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q2,2023-05-09,0,38.44958989400566,38.44958989400566,W1,PIT,3,13,22.838292975564862,26.286390884565986,32.04801130596353,44.8511684820478,50.612788903445335,54.06088681244646,9.490994616569234,,,,,,,,2023-05-09,k4_rw,margin[2022Q2]=33.79 + delta +4.66; rev=2463; sigma additive n=6 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q2,2023-05-09,0,947.141170579513,947.141170579513,W1,PIT,3,13,705.375541658459,758.7747924642202,848.0025992288287,1046.2797419301974,1135.5075486948056,1188.9067995005669,146.9830658240004,,,,,,,,2023-05-09,k4_rw,margin[2022Q2]=33.79 + delta +4.66; rev=2463; sigma relative n=6 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q3,2023-05-09,1,55.17146254410468,55.17146254410468,W1,PIT,3,13,35.38968777558657,39.75892734434311,47.0597350910171,63.28318999719225,70.58399774386625,74.95323731262278,12.026465117860438,,,,,,,,2023-05-09,k4_rw,margin[2022Q3]=50.51 + delta +4.66; rev=3475; sigma additive n=5 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q3,2023-05-09,1,1916.9659199638554,1916.9659199638554,W1,PIT,3,13,1661.8207687919087,1718.1751810386288,1812.3409329997205,2021.5909069279905,2115.756658889082,2172.1110711358024,155.1172377841462,,,,,,,,2023-05-09,k4_rw,margin[2022Q3]=50.51 + delta +4.66; rev=3475; sigma relative n=5 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q4,2023-05-09,2,31.26210787418256,31.26210787418256,W1,PIT,3,13,12.501720358990582,16.645364112686163,23.569211143817846,38.95500460454728,45.878851635678956,50.02249538937454,11.405505759173222,,,,,,,,2023-05-09,k4_rw,margin[2022Q4]=26.60 + delta +4.66; rev=2291; sigma additive n=4 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q4,2023-05-09,2,716.3634330234058,716.3634330234058,W1,PIT,3,13,651.1210019553297,665.5312262511886,689.6100792220404,743.1167868247711,767.195639795623,781.605864091482,39.66458169836955,,,,,,,,2023-05-09,k4_rw,margin[2022Q4]=26.60 + delta +4.66; rev=2291; sigma relative n=4 (PIT),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q2,2023-05-09,0,33.44237015638778,33.44237015638778,W1,full_sample,3,13,15.124438367693365,19.170356053315786,25.93090710957293,40.95383320320263,47.71438425945978,51.7603019450822,11.136511777430544,,,,,,,,2023-05-09,k4_rw,margin[2022Q2]=33.79 + delta -0.35; rev=2460; sigma additive n=19 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_musd,2023Q2,2023-05-09,0,822.8151894371648,822.8151894371648,W1,full_sample,3,13,485.73243026706547,560.1845634323627,684.5908135397013,961.0395653346283,1085.445815441967,1159.8979486072642,204.9317663571315,,,,,,,,2023-05-09,k4_rw,margin[2022Q2]=33.79 + delta -0.35; rev=2460; sigma relative n=19 (full_sample),1.0
margin-ts,yoy_margin_change,adj_ebitda_margin_pct,2023Q3,2023-05-09,1,50.1642428064868,50.1642428064868,W1,full_sample,3,13,27.34809892030388,32.38754557463564,40.8082399755532,59.520245637420395,67.94094003833796,72.98038669266971,13.871230553486846,,,,,,,,2023-05-09,k4_rw,margin[2022Q3]=50.51 + delta -0.35; rev=3475; sigma additive n=18 (full_sample),1.0
