method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
below-ebitda,tax,tax_rate_pct,2023Q1,2023-02-14,0,10.0,10.0,W1,PIT,2,12,-103.15782757002839,-78.16443524203886,-36.40157251675714,56.40157251675714,98.16443524203886,123.15782757002839,68.7950743554927,,,,,,,,2023-02-14,guide_or_ttm|rw,ETR 10.0 src ttm; sigma additive n=5 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q3,2023-02-14,2,10.0,10.0,W1,PIT,2,12,-14.748528792190118,-9.282272476329343,-0.1483978447994314,20.148397844799433,29.282272476329343,34.748528792190115,15.046037158977107,,,,,,,,2023-02-14,guide_or_ttm|rw,ETR 10.0 src ttm; sigma additive n=3 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q3,2023-02-14,2,10.0,10.0,W1,PIT,2,12,-14.748528792190118,-9.282272476329343,-0.1483978447994314,20.148397844799433,29.282272476329343,34.748528792190115,15.046037158977107,,,,,,,,2023-02-14,ttm|rw,ETR ttm 10.0; sigma additive n=3 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q3,2023-02-14,2,10.0,10.0,W1,full_sample,2,12,-6.984834248983699,-3.2333604435325185,3.0351877990801572,16.964812200919845,23.23336044353252,26.9848342489837,10.326046020558643,,,,,,,,2023-02-14,guide_or_ttm|rw,ETR 10.0 src ttm; sigma additive n=15 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q3,2023-02-14,2,10.0,10.0,W1,full_sample,2,12,-8.56839900181123,-4.46716012933717,2.3858302045484514,17.61416979545155,24.46716012933717,28.56839900181123,11.288785030814811,,,,,,,,2023-02-14,ttm|rw,ETR ttm 10.0; sigma additive n=15 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q3,2023-02-14,2,10.0,10.0,W1,PIT,2,12,-14.748528792190118,-9.282272476329343,-0.1483978447994314,20.148397844799433,29.282272476329343,34.748528792190115,15.046037158977107,,,,,,,,2023-02-14,guide_or_ttm|eq,ETR 10.0 src ttm; sigma additive n=3 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q3,2023-02-14,2,10.0,10.0,W1,PIT,2,12,-14.748528792190118,-9.282272476329343,-0.1483978447994314,20.148397844799433,29.282272476329343,34.748528792190115,15.046037158977107,,,,,,,,2023-02-14,ttm|eq,ETR ttm 10.0; sigma additive n=3 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q3,2023-02-14,2,10.0,10.0,W1,full_sample,2,12,-6.984834248983699,-3.2333604435325185,3.0351877990801572,16.964812200919845,23.23336044353252,26.9848342489837,10.326046020558643,,,,,,,,2023-02-14,guide_or_ttm|eq,ETR 10.0 src ttm; sigma additive n=15 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q3,2023-02-14,2,10.0,10.0,W1,full_sample,2,12,-8.56839900181123,-4.46716012933717,2.3858302045484514,17.61416979545155,24.46716012933717,28.56839900181123,11.288785030814811,,,,,,,,2023-02-14,ttm|eq,ETR ttm 10.0; sigma additive n=15 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q2,2023-05-09,0,10.0,10.0,W1,PIT,2,13,-93.29869783623221,-70.48291091779176,-32.358731353058175,52.358731353058175,90.48291091779176,113.29869783623221,62.80114907712685,,,,,,,,2023-05-09,guide_or_ttm|rw,ETR 10.0 src ttm; sigma additive n=6 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q2,2023-05-09,0,10.0,10.0,W1,PIT,2,13,-93.29869783623221,-70.48291091779176,-32.358731353058175,52.358731353058175,90.48291091779176,113.29869783623221,62.80114907712685,,,,,,,,2023-05-09,ttm|rw,ETR ttm 10.0; sigma additive n=6 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q2,2023-05-09,0,10.0,10.0,W1,full_sample,2,13,-52.66271169863056,-38.82227510267038,-15.69551239556306,35.69551239556306,58.82227510267038,72.66271169863056,38.09622368329999,,,,,,,,2023-05-09,guide_or_ttm|rw,ETR 10.0 src ttm; sigma additive n=17 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q2,2023-05-09,0,10.0,10.0,W1,full_sample,2,13,-52.84869809845054,-38.96718231991685,-15.771778099878006,35.771778099878006,58.96718231991685,72.84869809845054,38.20929538571322,,,,,,,,2023-05-09,ttm|rw,ETR ttm 10.0; sigma additive n=17 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q2,2023-05-09,0,10.0,10.0,W1,PIT,2,13,-93.29869783623221,-70.48291091779176,-32.358731353058175,52.358731353058175,90.48291091779176,113.29869783623221,62.80114907712685,,,,,,,,2023-05-09,guide_or_ttm|eq,ETR 10.0 src ttm; sigma additive n=6 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q2,2023-05-09,0,10.0,10.0,W1,PIT,2,13,-93.29869783623221,-70.48291091779176,-32.358731353058175,52.358731353058175,90.48291091779176,113.29869783623221,62.80114907712685,,,,,,,,2023-05-09,ttm|eq,ETR ttm 10.0; sigma additive n=6 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q2,2023-05-09,0,10.0,10.0,W1,full_sample,2,13,-52.66271169863056,-38.82227510267038,-15.69551239556306,35.69551239556306,58.82227510267038,72.66271169863056,38.09622368329999,,,,,,,,2023-05-09,guide_or_ttm|eq,ETR 10.0 src ttm; sigma additive n=17 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q2,2023-05-09,0,10.0,10.0,W1,full_sample,2,13,-52.84869809845054,-38.96718231991685,-15.771778099878006,35.771778099878006,58.96718231991685,72.84869809845054,38.20929538571322,,,,,,,,2023-05-09,ttm|eq,ETR ttm 10.0; sigma additive n=17 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q3,2023-05-09,1,10.0,10.0,W1,PIT,2,13,-103.87962564132073,-78.72680835118061,-36.6975535042571,56.6975535042571,98.72680835118061,123.87962564132073,69.23389642419562,,,,,,,,2023-05-09,guide_or_ttm|rw,ETR 10.0 src ttm; sigma additive n=5 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q3,2023-05-09,1,10.0,10.0,W1,PIT,2,13,-103.87962564132073,-78.72680835118061,-36.6975535042571,56.6975535042571,98.72680835118061,123.87962564132073,69.23389642419562,,,,,,,,2023-05-09,ttm|rw,ETR ttm 10.0; sigma additive n=5 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q3,2023-05-09,1,10.0,10.0,W1,full_sample,2,13,-54.6895769315267,-40.40146261808485,-16.526650073844493,36.52665007384449,60.40146261808485,74.6895769315267,39.32847024900364,,,,,,,,2023-05-09,guide_or_ttm|rw,ETR 10.0 src ttm; sigma additive n=16 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q3,2023-05-09,1,10.0,10.0,W1,full_sample,2,13,-55.26874292925926,-40.852707080779076,-16.76414326030918,36.76414326030918,60.852707080779076,75.26874292925926,39.680578174136144,,,,,,,,2023-05-09,ttm|rw,ETR ttm 10.0; sigma additive n=16 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q3,2023-05-09,1,10.0,10.0,W1,PIT,2,13,-103.87962564132073,-78.72680835118061,-36.6975535042571,56.6975535042571,98.72680835118061,123.87962564132073,69.23389642419562,,,,,,,,2023-05-09,guide_or_ttm|eq,ETR 10.0 src ttm; sigma additive n=5 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q3,2023-05-09,1,10.0,10.0,W1,PIT,2,13,-103.87962564132073,-78.72680835118061,-36.6975535042571,56.6975535042571,98.72680835118061,123.87962564132073,69.23389642419562,,,,,,,,2023-05-09,ttm|eq,ETR ttm 10.0; sigma additive n=5 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q3,2023-05-09,1,10.0,10.0,W1,full_sample,2,13,-54.6895769315267,-40.40146261808485,-16.526650073844493,36.52665007384449,60.40146261808485,74.6895769315267,39.32847024900364,,,,,,,,2023-05-09,guide_or_ttm|eq,ETR 10.0 src ttm; sigma additive n=16 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q3,2023-05-09,1,10.0,10.0,W1,full_sample,2,13,-55.26874292925926,-40.852707080779076,-16.76414326030918,36.76414326030918,60.852707080779076,75.26874292925926,39.680578174136144,,,,,,,,2023-05-09,ttm|eq,ETR ttm 10.0; sigma additive n=16 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q4,2023-05-09,2,10.0,10.0,W1,PIT,2,13,-11.434348475399371,-6.700101695971153,1.2106170957092601,18.78938290429074,26.700101695971153,31.43434847539937,13.031158593196661,,,,,,,,2023-05-09,guide_or_ttm|rw,ETR 10.0 src ttm; sigma additive n=4 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q4,2023-05-09,2,10.0,10.0,W1,PIT,2,13,-11.434348475399371,-6.700101695971153,1.2106170957092601,18.78938290429074,26.700101695971153,31.43434847539937,13.031158593196661,,,,,,,,2023-05-09,ttm|rw,ETR ttm 10.0; sigma additive n=4 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q4,2023-05-09,2,10.0,10.0,W1,full_sample,2,13,-6.984834248983699,-3.2333604435325185,3.0351877990801572,16.964812200919845,23.23336044353252,26.9848342489837,10.326046020558643,,,,,,,,2023-05-09,guide_or_ttm|rw,ETR 10.0 src ttm; sigma additive n=15 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q4,2023-05-09,2,10.0,10.0,W1,full_sample,2,13,-8.56839900181123,-4.46716012933717,2.3858302045484514,17.61416979545155,24.46716012933717,28.56839900181123,11.288785030814811,,,,,,,,2023-05-09,ttm|rw,ETR ttm 10.0; sigma additive n=15 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q4,2023-05-09,2,10.0,10.0,W1,PIT,2,13,-11.434348475399371,-6.700101695971153,1.2106170957092601,18.78938290429074,26.700101695971153,31.43434847539937,13.031158593196661,,,,,,,,2023-05-09,guide_or_ttm|eq,ETR 10.0 src ttm; sigma additive n=4 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q4,2023-05-09,2,10.0,10.0,W1,PIT,2,13,-11.434348475399371,-6.700101695971153,1.2106170957092601,18.78938290429074,26.700101695971153,31.43434847539937,13.031158593196661,,,,,,,,2023-05-09,ttm|eq,ETR ttm 10.0; sigma additive n=4 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q4,2023-05-09,2,10.0,10.0,W1,full_sample,2,13,-6.984834248983699,-3.2333604435325185,3.0351877990801572,16.964812200919845,23.23336044353252,26.9848342489837,10.326046020558643,,,,,,,,2023-05-09,guide_or_ttm|eq,ETR 10.0 src ttm; sigma additive n=15 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q4,2023-05-09,2,10.0,10.0,W1,full_sample,2,13,-8.56839900181123,-4.46716012933717,2.3858302045484514,17.61416979545155,24.46716012933717,28.56839900181123,11.288785030814811,,,,,,,,2023-05-09,ttm|eq,ETR ttm 10.0; sigma additive n=15 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q3,2023-08-03,0,10.0,10.0,W1,PIT,2,14,-85.71250425720606,-64.57229486149012,-29.24793187022528,49.24793187022528,84.57229486149012,105.71250425720606,58.18907086255272,,,,,,,,2023-08-03,guide_or_ttm|rw,ETR 10.0 src ttm; sigma additive n=7 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q3,2023-08-03,0,10.0,10.0,W1,PIT,2,14,-85.71250425720606,-64.57229486149012,-29.24793187022528,49.24793187022528,84.57229486149012,105.71250425720606,58.18907086255272,,,,,,,,2023-08-03,ttm|rw,ETR ttm 10.0; sigma additive n=7 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q3,2023-08-03,0,10.0,10.0,W1,full_sample,2,14,-52.66271169863056,-38.82227510267038,-15.69551239556306,35.69551239556306,58.82227510267038,72.66271169863056,38.09622368329999,,,,,,,,2023-08-03,guide_or_ttm|rw,ETR 10.0 src ttm; sigma additive n=17 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q3,2023-08-03,0,10.0,10.0,W1,full_sample,2,14,-52.84869809845054,-38.96718231991685,-15.771778099878006,35.771778099878006,58.96718231991685,72.84869809845054,38.20929538571322,,,,,,,,2023-08-03,ttm|rw,ETR ttm 10.0; sigma additive n=17 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q3,2023-08-03,0,10.0,10.0,W1,PIT,2,14,-85.71250425720606,-64.57229486149012,-29.24793187022528,49.24793187022528,84.57229486149012,105.71250425720606,58.18907086255272,,,,,,,,2023-08-03,guide_or_ttm|eq,ETR 10.0 src ttm; sigma additive n=7 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q3,2023-08-03,0,10.0,10.0,W1,PIT,2,14,-85.71250425720606,-64.57229486149012,-29.24793187022528,49.24793187022528,84.57229486149012,105.71250425720606,58.18907086255272,,,,,,,,2023-08-03,ttm|eq,ETR ttm 10.0; sigma additive n=7 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q3,2023-08-03,0,10.0,10.0,W1,full_sample,2,14,-52.66271169863056,-38.82227510267038,-15.69551239556306,35.69551239556306,58.82227510267038,72.66271169863056,38.09622368329999,,,,,,,,2023-08-03,guide_or_ttm|eq,ETR 10.0 src ttm; sigma additive n=17 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q3,2023-08-03,0,10.0,10.0,W1,full_sample,2,14,-52.84869809845054,-38.96718231991685,-15.771778099878006,35.771778099878006,58.96718231991685,72.84869809845054,38.20929538571322,,,,,,,,2023-08-03,ttm|eq,ETR ttm 10.0; sigma additive n=17 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q4,2023-08-03,1,10.0,10.0,W1,PIT,2,14,-94.03949901469264,-71.06008988037993,-32.662504767067546,52.662504767067546,91.06008988037993,114.03949901469264,63.251524214660165,,,,,,,,2023-08-03,guide_or_ttm|rw,ETR 10.0 src ttm; sigma additive n=6 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q4,2023-08-03,1,10.0,10.0,W1,PIT,2,14,-94.03949901469264,-71.06008988037993,-32.662504767067546,52.662504767067546,91.06008988037993,114.03949901469264,63.251524214660165,,,,,,,,2023-08-03,ttm|rw,ETR ttm 10.0; sigma additive n=6 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q4,2023-08-03,1,10.0,10.0,W1,full_sample,2,14,-54.6895769315267,-40.40146261808485,-16.526650073844493,36.52665007384449,60.40146261808485,74.6895769315267,39.32847024900364,,,,,,,,2023-08-03,guide_or_ttm|rw,ETR 10.0 src ttm; sigma additive n=16 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q4,2023-08-03,1,10.0,10.0,W1,full_sample,2,14,-55.26874292925926,-40.852707080779076,-16.76414326030918,36.76414326030918,60.852707080779076,75.26874292925926,39.680578174136144,,,,,,,,2023-08-03,ttm|rw,ETR ttm 10.0; sigma additive n=16 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q4,2023-08-03,1,10.0,10.0,W1,PIT,2,14,-94.03949901469264,-71.06008988037993,-32.662504767067546,52.662504767067546,91.06008988037993,114.03949901469264,63.251524214660165,,,,,,,,2023-08-03,guide_or_ttm|eq,ETR 10.0 src ttm; sigma additive n=6 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q4,2023-08-03,1,10.0,10.0,W1,PIT,2,14,-94.03949901469264,-71.06008988037993,-32.662504767067546,52.662504767067546,91.06008988037993,114.03949901469264,63.251524214660165,,,,,,,,2023-08-03,ttm|eq,ETR ttm 10.0; sigma additive n=6 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q4,2023-08-03,1,10.0,10.0,W1,full_sample,2,14,-54.6895769315267,-40.40146261808485,-16.526650073844493,36.52665007384449,60.40146261808485,74.6895769315267,39.32847024900364,,,,,,,,2023-08-03,guide_or_ttm|eq,ETR 10.0 src ttm; sigma additive n=16 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2023Q4,2023-08-03,1,10.0,10.0,W1,full_sample,2,14,-55.26874292925926,-40.852707080779076,-16.76414326030918,36.76414326030918,60.852707080779076,75.26874292925926,39.680578174136144,,,,,,,,2023-08-03,ttm|eq,ETR ttm 10.0; sigma additive n=16 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2024Q1,2023-08-03,2,10.0,10.0,W1,PIT,2,14,-9.698647814467005,-5.347768659835108,1.922359639863302,18.077640360136698,25.347768659835108,29.698647814467005,11.975927518229057,,,,,,,,2023-08-03,guide_or_ttm|rw,ETR 10.0 src ttm; sigma additive n=5 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2024Q1,2023-08-03,2,10.0,10.0,W1,PIT,2,14,-9.698647814467005,-5.347768659835108,1.922359639863302,18.077640360136698,25.347768659835108,29.698647814467005,11.975927518229057,,,,,,,,2023-08-03,ttm|rw,ETR ttm 10.0; sigma additive n=5 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2024Q1,2023-08-03,2,10.0,10.0,W1,full_sample,2,14,-6.984834248983699,-3.2333604435325185,3.0351877990801572,16.964812200919845,23.23336044353252,26.9848342489837,10.326046020558643,,,,,,,,2023-08-03,guide_or_ttm|rw,ETR 10.0 src ttm; sigma additive n=15 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2024Q1,2023-08-03,2,10.0,10.0,W1,full_sample,2,14,-8.56839900181123,-4.46716012933717,2.3858302045484514,17.61416979545155,24.46716012933717,28.56839900181123,11.288785030814811,,,,,,,,2023-08-03,ttm|rw,ETR ttm 10.0; sigma additive n=15 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2024Q1,2023-08-03,2,10.0,10.0,W1,PIT,2,14,-9.698647814467005,-5.347768659835108,1.922359639863302,18.077640360136698,25.347768659835108,29.698647814467005,11.975927518229057,,,,,,,,2023-08-03,guide_or_ttm|eq,ETR 10.0 src ttm; sigma additive n=5 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2024Q1,2023-08-03,2,10.0,10.0,W1,PIT,2,14,-9.698647814467005,-5.347768659835108,1.922359639863302,18.077640360136698,25.347768659835108,29.698647814467005,11.975927518229057,,,,,,,,2023-08-03,ttm|eq,ETR ttm 10.0; sigma additive n=5 (PIT); pool ex 2023Q3/2023Q4 discrete items,1.0
below-ebitda,tax,tax_rate_pct,2024Q1,2023-08-03,2,10.0,10.0,W1,full_sample,2,14,-6.984834248983699,-3.2333604435325185,3.0351877990801572,16.964812200919845,23.23336044353252,26.9848342489837,10.326046020558643,,,,,,,,2023-08-03,guide_or_ttm|eq,ETR 10.0 src ttm; sigma additive n=15 (full_sample); pool ex 2023Q3/2023Q4 discrete items,1.0
