period,m1_calibrated,m2,m3,r2,r3,feasible,nights_share_ge28,los_mix_pp
2025,2.5449114330529152,9.0,35.0,0.966,0.65,True,0.1324557905443509,0.9263912971124055
2022,2.5449114330529152,9.0,35.0,0.966,0.85,True,0.2021996443992888,0.16159259237789048
2023,2.5449114330529152,9.0,35.0,0.966,0.85,True,0.18220437304774656,0.3437775119302211
2024,2.5449114330529152,9.0,35.0,0.966,0.85,True,0.15798466840793557,0.3507908482922373
2025,2.5449114330529152,9.0,35.0,0.966,0.85,True,0.1324557905443509,0.3684599918365228
2022,2.5449114330529152,9.0,35.0,0.966,0.852,True,0.2021996443992888,0.1597526959519202
2023,2.5449114330529152,9.0,35.0,0.966,0.852,True,0.18220437304774656,0.3394728818995052
2024,2.5449114330529152,9.0,35.0,0.966,0.852,True,0.15798466840793557,0.3456364663132483
2025,2.5449114330529152,9.0,35.0,0.966,0.852,True,0.1324557905443509,0.3630646347723365
2022,2.529046942120817,9.0,45.0,0.85,0.65,True,0.2021996443992888,0.4730280531352937
2023,2.529046942120817,9.0,45.0,0.85,0.65,True,0.18220437304774656,0.921936362979725
2024,2.529046942120817,9.0,45.0,0.85,0.65,True,0.15864130273602214,0.7975046815640319
2025,2.529046942120817,9.0,45.0,0.85,0.65,True,0.1338045529479881,0.8339621554971144
2022,2.529046942120817,9.0,45.0,0.85,0.85,True,0.2021996443992888,0.26870765993467494
2023,2.529046942120817,9.0,45.0,0.85,0.85,True,0.18220437304774656,0.4523446344083304
2024,2.529046942120817,9.0,45.0,0.85,0.85,True,0.15864130273602214,0.26251884779555645
2025,2.529046942120817,9.0,45.0,0.85,0.85,True,0.1338045529479881,0.2759845443386366
2022,2.529046942120817,9.0,45.0,0.85,0.852,True,0.2021996443992888,0.2667580664410085
2023,2.529046942120817,9.0,45.0,0.85,0.852,True,0.18220437304774656,0.44785464508956263
2024,2.529046942120817,9.0,45.0,0.85,0.852,True,0.15864130273602214,0.2573794520517314
2025,2.529046942120817,9.0,45.0,0.85,0.852,True,0.1338045529479881,0.27059539791292053
2022,2.529046942120817,9.0,45.0,0.95,0.65,True,0.2021996443992888,0.370042799727921
2023,2.529046942120817,9.0,45.0,0.95,0.65,True,0.18220437304774656,0.8078180956208492
2024,2.529046942120817,9.0,45.0,0.95,0.65,True,0.15864130273602214,0.8538414224408264
2025,2.529046942120817,9.0,45.0,0.95,0.65,True,0.1338045529479881,0.8923755408317025
2022,2.529046942120817,9.0,45.0,0.95,0.85,True,0.2021996443992888,0.17595566154626763
2023,2.529046942120817,9.0,45.0,0.95,0.85,True,0.18220437304774656,0.3557037363768112
2024,2.529046942120817,9.0,45.0,0.95,0.85,True,0.15864130273602214,0.3306323142515666
2025,2.529046942120817,9.0,45.0,0.95,0.85,True,0.1338045529479881,0.3473558605178395
2022,2.529046942120817,9.0,45.0,0.95,0.852,True,0.2021996443992888,0.1741012370791717
2023,2.529046942120817,9.0,45.0,0.95,0.852,True,0.18220437304774656,0.35137551617705487
2024,2.529046942120817,9.0,45.0,0.95,0.852,True,0.15864130273602214,0.32560070128218044
2025,2.529046942120817,9.0,45.0,0.95,0.852,True,0.1338045529479881,0.34208690183796797
2022,2.529046942120817,9.0,45.0,0.966,0.65,True,0.2021996443992888,0.35411940875405
2023,2.529046942120817,9.0,45.0,0.966,0.65,True,0.18220437304774656,0.7901524313458808
2024,2.529046942120817,9.0,45.0,0.966,0.65,True,0.15864130273602214,0.8625738299654184
2025,2.529046942120817,9.0,45.0,0.966,0.65,True,0.1338045529479881,0.901423994918793
2022,2.529046942120817,9.0,45.0,0.966,0.85,True,0.2021996443992888,0.16159259237789048
2023,2.529046942120817,9.0,45.0,0.966,0.85,True,0.18220437304774656,0.34072244918461614
2024,2.529046942120817,9.0,45.0,0.966,0.85,True,0.15864130273602214,0.341203020640668
2025,2.529046942120817,9.0,45.0,0.966,0.85,True,0.1338045529479881,0.35842347543690867
2022,2.529046942120817,9.0,45.0,0.966,0.852,True,0.2021996443992888,0.1597526959519202
2023,2.529046942120817,9.0,45.0,0.966,0.852,True,0.18220437304774656,0.3364191043450093
2024,2.529046942120817,9.0,45.0,0.966,0.852,True,0.15864130273602214,0.3361882586682352
2025,2.529046942120817,9.0,45.0,0.966,0.852,True,0.1338045529479881,0.35317326990842446
2022,2.515326969576953,9.0,60.0,0.85,0.65,True,0.2021996443992888,0.4730280531352937
2023,2.515326969576953,9.0,60.0,0.85,0.65,True,0.18220437304774656,0.9094170909622834
2024,2.515326969576953,9.0,60.0,0.85,0.65,True,0.1591873275382546,0.7787716478740547
2025,2.515326969576953,9.0,60.0,0.85,0.65,True,0.1349261174066279,0.8145241296373174
2022,2.515326969576953,9.0,60.0,0.85,0.85,True,0.2021996443992888,0.26870765993467494
2023,2.515326969576953,9.0,60.0,0.85,0.85,True,0.18220437304774656,0.44036916489094136
2024,2.515326969576953,9.0,60.0,0.85,0.85,True,0.1591873275382546,0.25613052348352205
2025,2.515326969576953,9.0,60.0,0.85,0.85,True,0.1349261174066279,0.26928569378765754
2022,2.515326969576953,9.0,60.0,0.85,0.852,True,0.2021996443992888,0.2667580664410085
2023,2.515326969576953,9.0,60.0,0.85,0.852,True,0.18220437304774656,0.4358843751258723
2024,2.515326969576953,9.0,60.0,0.85,0.852,True,0.1591873275382546,0.2511097429488407
2025,2.515326969576953,9.0,60.0,0.85,0.852,True,0.1349261174066279,0.2640202619665688
2022,2.515326969576953,9.0,60.0,0.95,0.65,True,0.2021996443992888,0.370042799727921
2023,2.515326969576953,9.0,60.0,0.95,0.65,True,0.18220437304774656,0.8037624188039549
2024,2.515326969576953,9.0,60.0,0.95,0.65,True,0.1591873275382546,0.8339757549084448
2025,2.515326969576953,9.0,60.0,0.95,0.65,True,0.1349261174066279,0.8717850494963209
2022,2.515326969576953,9.0,60.0,0.95,0.85,True,0.2021996443992888,0.17595566154626763
2023,2.515326969576953,9.0,60.0,0.95,0.85,True,0.18220437304774656,0.3518194797924812
2024,2.515326969576953,9.0,60.0,0.95,0.85,True,0.1591873275382546,0.3228741638751531
2025,2.515326969576953,9.0,60.0,0.95,0.85,True,0.1349261174066279,0.3392315304144855
2022,2.515326969576953,9.0,60.0,0.95,0.852,True,0.2021996443992888,0.1741012370791717
2023,2.515326969576953,9.0,60.0,0.95,0.852,True,0.18220437304774656,0.34749290064770566
2024,2.515326969576953,9.0,60.0,0.95,0.852,True,0.1591873275382546,0.31795899441551256
2025,2.515326969576953,9.0,60.0,0.95,0.852,True,0.1349261174066279,0.33408371785681457
2022,2.515326969576953,9.0,60.0,0.966,0.65,True,0.2021996443992888,0.35411940875405
2023,2.515326969576953,9.0,60.0,0.966,0.65,True,0.18220437304774656,0.7874069306719855
2024,2.515326969576953,9.0,60.0,0.966,0.65,True,0.1591873275382546,0.8425317715067049
2025,2.515326969576953,9.0,60.0,0.966,0.65,True,0.1349261174066279,0.8806542376764481
2022,2.515326969576953,9.0,60.0,0.966,0.85,True,0.2021996443992888,0.16159259237789048
2023,2.515326969576953,9.0,60.0,0.966,0.85,True,0.18220437304774656,0.33809249370004846
2024,2.515326969576953,9.0,60.0,0.966,0.85,True,0.1591873275382546,0.3332313200030024
2025,2.515326969576953,9.0,60.0,0.966,0.85,True,0.1349261174066279,0.3500772567233357
2022,2.515326969576953,9.0,60.0,0.966,0.852,True,0.2021996443992888,0.1597526959519202
2023,2.515326969576953,9.0,60.0,0.966,0.852,True,0.18220437304774656,0.3337902552192018
2024,2.515326969576953,9.0,60.0,0.966,0.852,True,0.1591873275382546,0.3283326608600312
2025,2.515326969576953,9.0,60.0,0.966,0.852,True,0.1349261174066279,0.34494779598077674
2022,2.4820624649726173,11.0,35.0,0.85,0.65,True,0.2021996443992888,0.4730280531352937
2023,2.4820624649726173,11.0,35.0,0.85,0.65,True,0.18220437304774656,0.9023162129678131
2024,2.4820624649726173,11.0,35.0,0.85,0.65,True,0.1579846684079354,0.8193123433379856
2025,2.4820624649726173,11.0,35.0,0.85,0.65,True,0.13245579054435072,0.8565814197293076
2022,2.4820624649726173,11.0,35.0,0.85,0.85,True,0.2021996443992888,0.26870765993467494
2023,2.4820624649726173,11.0,35.0,0.85,0.85,True,0.18220437304774656,0.43357672936823466
2024,2.4820624649726173,11.0,35.0,0.85,0.85,True,0.1579846684079354,0.269331481480406
2025,2.4820624649726173,11.0,35.0,0.85,0.85,True,0.13245579054435072,0.28312738874818333
2022,2.4820624649726173,11.0,35.0,0.85,0.852,True,0.2021996443992888,0.2667580664410085
2023,2.4820624649726173,11.0,35.0,0.85,0.852,True,0.18220437304774656,0.42909488876798907
2024,2.4820624649726173,11.0,35.0,0.85,0.852,True,0.1579846684079354,0.264048074891865
2025,2.4820624649726173,11.0,35.0,0.85,0.852,True,0.13245579054435072,0.2775879780926527
2022,2.4820624649726173,11.0,35.0,0.95,0.65,True,0.2021996443992888,0.370042799727921
2023,2.4820624649726173,11.0,35.0,0.95,0.65,True,0.18220437304774656,0.8014620561134222
2024,2.4820624649726173,11.0,35.0,0.95,0.65,True,0.1579846684079354,0.8775040993663552
2025,2.4820624649726173,11.0,35.0,0.95,0.65,True,0.13245579054435072,0.9168909972981254
2022,2.4820624649726173,11.0,35.0,0.95,0.85,True,0.2021996443992888,0.17595566154626763
2023,2.4820624649726173,11.0,35.0,0.95,0.85,True,0.18220437304774656,0.3496163459308699
2024,2.4820624649726173,11.0,35.0,0.95,0.85,True,0.1579846684079354,0.3396870370946381
2025,2.4820624649726173,11.0,35.0,0.95,0.85,True,0.13245579054435072,0.3568363716609957
2022,2.4820624649726173,11.0,35.0,0.95,0.852,True,0.2021996443992888,0.1741012370791717
2023,2.4820624649726173,11.0,35.0,0.95,0.852,True,0.18220437304774656,0.34529069758548747
2024,2.4820624649726173,11.0,35.0,0.95,0.852,True,0.1579846684079354,0.33451495441252366
2025,2.4820624649726173,11.0,35.0,0.95,0.852,True,0.13245579054435072,0.3514212870819433
2022,2.4820624649726173,11.0,35.0,0.966,0.65,True,0.2021996443992888,0.35411940875405
2023,2.4820624649726173,11.0,35.0,0.966,0.65,True,0.18220437304774656,0.7858496943333293
2024,2.4820624649726173,11.0,35.0,0.966,0.65,True,0.1579846684079354,0.8865226726866293
2025,2.4820624649726173,11.0,35.0,0.966,0.65,True,0.13245579054435072,0.9262315643367325
2022,2.4820624649726173,11.0,35.0,0.966,0.85,True,0.2021996443992888,0.16159259237789048
2023,2.4820624649726173,11.0,35.0,0.966,0.85,True,0.18220437304774656,0.33660079410278154
2024,2.4820624649726173,11.0,35.0,0.966,0.85,True,0.1579846684079354,0.3506041076035693
2025,2.4820624649726173,11.0,35.0,0.966,0.85,True,0.13245579054435072,0.36826453041705065
2022,2.4820624649726173,11.0,35.0,0.966,0.852,True,0.2021996443992888,0.1597526959519202
2023,2.4820624649726173,11.0,35.0,0.966,0.852,True,0.18220437304774656,0.3322991831439026
2024,2.4820624649726173,11.0,35.0,0.966,0.852,True,0.1579846684079354,0.34544942764380693
2025,2.4820624649726173,11.0,35.0,0.966,0.852,True,0.13245579054435072,0.36286884134308917
2022,2.4669698615830926,11.0,45.0,0.85,0.65,True,0.2021996443992888,0.4730280531352937
2023,2.4669698615830926,11.0,45.0,0.85,0.65,True,0.18220437304774656,0.8894371559591274
2024,2.4669698615830926,11.0,45.0,0.85,0.65,True,0.15864130273602214,0.7968334378843034
2025,2.4669698615830926,11.0,45.0,0.85,0.65,True,0.13380455294798826,0.8332657752838424
2022,2.4669698615830926,11.0,45.0,0.85,0.85,True,0.2021996443992888,0.26870765993467494
2023,2.4669698615830926,11.0,45.0,0.85,0.85,True,0.18220437304774656,0.42125710292304497
2024,2.4669698615830926,11.0,45.0,0.85,0.85,True,0.15864130273602214,0.26170815135109216
2025,2.4669698615830926,11.0,45.0,0.85,0.85,True,0.13380455294798826,0.275134488526918
2022,2.4669698615830926,11.0,45.0,0.85,0.852,True,0.2021996443992888,0.2667580664410085
2023,2.4669698615830926,11.0,45.0,0.85,0.852,True,0.18220437304774656,0.41678061130385746
2024,2.4669698615830926,11.0,45.0,0.85,0.852,True,0.15864130273602214,0.2565674810848684
2025,2.4669698615830926,11.0,45.0,0.85,0.852,True,0.13380455294798826,0.2697439183990902
2022,2.4669698615830926,11.0,45.0,0.95,0.65,True,0.2021996443992888,0.370042799727921
2023,2.4669698615830926,11.0,45.0,0.95,0.65,True,0.18220437304774656,0.7972898252632143
2024,2.4669698615830926,11.0,45.0,0.95,0.65,True,0.15864130273602214,0.8536296554834566
2025,2.4669698615830926,11.0,45.0,0.95,0.65,True,0.13380455294798826,0.8921560900651215
2022,2.4669698615830926,11.0,45.0,0.95,0.85,True,0.2021996443992888,0.17595566154626763
2023,2.4669698615830926,11.0,45.0,0.95,0.85,True,0.18220437304774656,0.3456204616720804
2024,2.4669698615830926,11.0,45.0,0.95,0.85,True,0.15864130273602214,0.3303760101871056
2025,2.4669698615830926,11.0,45.0,0.95,0.85,True,0.13380455294798826,0.3470874791345224
2022,2.4669698615830926,11.0,45.0,0.95,0.852,True,0.2021996443992888,0.1741012370791717
2023,2.4669698615830926,11.0,45.0,0.95,0.852,True,0.18220437304774656,0.3412965015431091
2024,2.4669698615830926,11.0,45.0,0.95,0.852,True,0.15864130273602214,0.32534398905115225
2025,2.4669698615830926,11.0,45.0,0.95,0.852,True,0.13380455294798826,0.3418180660899939
2022,2.4669698615830926,11.0,45.0,0.966,0.65,True,0.2021996443992888,0.35411940875405
2023,2.4669698615830926,11.0,45.0,0.966,0.65,True,0.18220437304774656,0.7830252921119163
2024,2.4669698615830926,11.0,45.0,0.966,0.65,True,0.15864130273602214,0.8624310710334537
2025,2.4669698615830926,11.0,45.0,0.966,0.65,True,0.13380455294798826,0.9012760817997512
2022,2.4669698615830926,11.0,45.0,0.966,0.85,True,0.2021996443992888,0.16159259237789048
2023,2.4669698615830926,11.0,45.0,0.966,0.85,True,0.18220437304774656,0.33389525766511774
2024,2.4669698615830926,11.0,45.0,0.966,0.85,True,0.15864130273602214,0.3410301810850447
2025,2.4669698615830926,11.0,45.0,0.966,0.85,True,0.13380455294798826,0.35824252977942894
2022,2.4669698615830926,11.0,45.0,0.966,0.852,True,0.2021996443992888,0.1597526959519202
2023,2.4669698615830926,11.0,45.0,0.966,0.852,True,0.18220437304774656,0.32959478486009886
2024,2.4669698615830926,11.0,45.0,0.966,0.852,True,0.15864130273602214,0.33601514331751403
2025,2.4669698615830926,11.0,45.0,0.966,0.852,True,0.13380455294798826,0.3529920174041745
2022,2.453913678565202,11.0,60.0,0.85,0.65,True,0.2021996443992888,0.4730280531352937
2023,2.453913678565202,11.0,60.0,0.85,0.65,True,0.18220437304774656,0.8783328631108311
2024,2.453913678565202,11.0,60.0,0.85,0.65,True,0.15918732753825476,0.7781443599801596
2025,2.453913678565202,11.0,60.0,0.85,0.65,True,0.13492611740662808,0.8138731095768126
2022,2.453913678565202,11.0,60.0,0.85,0.85,True,0.2021996443992888,0.26870765993467494
2023,2.453913678565202,11.0,60.0,0.85,0.85,True,0.18220437304774656,0.41063514979895466
2024,2.453913678565202,11.0,60.0,0.85,0.85,True,0.15918732753825476,0.25537292167610026
2025,2.453913678565202,11.0,60.0,0.85,0.85,True,0.13492611740662808,0.2684912095420655
2022,2.453913678565202,11.0,60.0,0.85,0.852,True,0.2021996443992888,0.2667580664410085
2023,2.453913678565202,11.0,60.0,0.85,0.852,True,0.18220437304774656,0.40616327005869035
2024,2.453913678565202,11.0,60.0,0.85,0.852,True,0.15918732753825476,0.250350950157352
2025,2.453913678565202,11.0,60.0,0.85,0.852,True,0.13492611740662808,0.2632244490404334
2022,2.453913678565202,11.0,60.0,0.95,0.65,True,0.2021996443992888,0.370042799727921
2023,2.453913678565202,11.0,60.0,0.95,0.65,True,0.18220437304774656,0.7936925375766624
2024,2.453913678565202,11.0,60.0,0.95,0.65,True,0.15918732753825476,0.8337778866252199
2025,2.453913678565202,11.0,60.0,0.95,0.65,True,0.13492611740662808,0.8715799209329189
2022,2.453913678565202,11.0,60.0,0.95,0.85,True,0.2021996443992888,0.17595566154626763
2023,2.453913678565202,11.0,60.0,0.95,0.85,True,0.18220437304774656,0.34217521960449027
2024,2.453913678565202,11.0,60.0,0.95,0.85,True,0.15918732753825476,0.3226346822312154
2025,2.453913678565202,11.0,60.0,0.95,0.85,True,0.13492611740662808,0.33898072539804147
2022,2.453913678565202,11.0,60.0,0.95,0.852,True,0.2021996443992888,0.1741012370791717
2023,2.453913678565202,11.0,60.0,0.95,0.852,True,0.18220437304774656,0.3378527150517341
2024,2.453913678565202,11.0,60.0,0.95,0.852,True,0.15918732753825476,0.3177191314014838
2025,2.453913678565202,11.0,60.0,0.95,0.852,True,0.13492611740662808,0.33383248882046246
2022,2.453913678565202,11.0,60.0,0.966,0.65,True,0.2021996443992888,0.35411940875405
2023,2.453913678565202,11.0,60.0,0.966,0.65,True,0.18220437304774656,0.7805900991185943
2024,2.453913678565202,11.0,60.0,0.966,0.65,True,0.15918732753825476,0.8423983853894423
2025,2.453913678565202,11.0,60.0,0.966,0.65,True,0.13492611740662808,0.8805159808426
2022,2.453913678565202,11.0,60.0,0.966,0.85,True,0.2021996443992888,0.16159259237789048
2023,2.453913678565202,11.0,60.0,0.966,0.85,True,0.18220437304774656,0.3315625504727526
2024,2.453913678565202,11.0,60.0,0.966,0.85,True,0.15918732753825476,0.33306982851430966
2025,2.453913678565202,11.0,60.0,0.966,0.85,True,0.13492611740662808,0.3499081645051305
2022,2.453913678565202,11.0,60.0,0.966,0.852,True,0.2021996443992888,0.1597526959519202
2023,2.453913678565202,11.0,60.0,0.966,0.852,True,0.18220437304774656,0.3272630589812753
2024,2.453913678565202,11.0,60.0,0.966,0.852,True,0.15918732753825476,0.3281709116870646
2025,2.453913678565202,11.0,60.0,0.966,0.852,True,0.13492611740662808,0.34477841741067383
2022,2.4403400766047696,13.0,35.0,0.85,0.65,True,0.2021996443992888,0.4730280531352937
2023,2.4403400766047696,13.0,35.0,0.85,0.65,True,0.18220437304774656,0.8822932194679778
2024,2.4403400766047696,13.0,35.0,0.85,0.65,True,0.15798466840793574,0.8188871478891135
2025,2.4403400766047696,13.0,35.0,0.85,0.65,True,0.13245579054435105,0.8561404935755634
2022,2.4403400766047696,13.0,35.0,0.85,0.85,True,0.2021996443992888,0.26870765993467494
2023,2.4403400766047696,13.0,35.0,0.85,0.85,True,0.18220437304774656,0.41442347924549594
2024,2.4403400766047696,13.0,35.0,0.85,0.85,True,0.15798466840793574,0.26881795578794776
2025,2.4403400766047696,13.0,35.0,0.85,0.85,True,0.13245579054435105,0.2825890061113334
2022,2.4403400766047696,13.0,35.0,0.85,0.852,True,0.2021996443992888,0.2667580664410085
2023,2.4403400766047696,13.0,35.0,0.85,0.852,True,0.18220437304774656,0.4099499546743379
2024,2.4403400766047696,13.0,35.0,0.85,0.852,True,0.15798466840793574,0.2635337419199635
2025,2.4403400766047696,13.0,35.0,0.85,0.852,True,0.13245579054435105,0.27704869226512496
2022,2.4403400766047696,13.0,35.0,0.95,0.65,True,0.2021996443992888,0.370042799727921
2023,2.4403400766047696,13.0,35.0,0.95,0.65,True,0.18220437304774656,0.7949755135709502
2024,2.4403400766047696,13.0,35.0,0.95,0.65,True,0.15798466840793574,0.8773699808447777
2025,2.4403400766047696,13.0,35.0,0.95,0.65,True,0.13245579054435105,0.9167520776864002
2022,2.4403400766047696,13.0,35.0,0.95,0.85,True,0.2021996443992888,0.17595566154626763
2023,2.4403400766047696,13.0,35.0,0.95,0.85,True,0.18220437304774656,0.3434039683875456
2024,2.4403400766047696,13.0,35.0,0.95,0.85,True,0.15798466840793574,0.3395247123844536
2025,2.4403400766047696,13.0,35.0,0.95,0.85,True,0.13245579054435105,0.3566664288735977
2022,2.4403400766047696,13.0,35.0,0.95,0.852,True,0.2021996443992888,0.1741012370791717
2023,2.4403400766047696,13.0,35.0,0.95,0.852,True,0.18220437304774656,0.33908094470220806
2024,2.4403400766047696,13.0,35.0,0.95,0.852,True,0.15798466840793574,0.33435237120387207
2025,2.4403400766047696,13.0,35.0,0.95,0.852,True,0.13245579054435105,0.351251056115065
2022,2.4403400766047696,13.0,35.0,0.966,0.65,True,0.2021996443992888,0.35411940875405
2023,2.4403400766047696,13.0,35.0,0.966,0.65,True,0.18220437304774656,0.7814586129612833
2024,2.4403400766047696,13.0,35.0,0.966,0.65,True,0.15798466840793574,0.8864322615795173
2025,2.4403400766047696,13.0,35.0,0.966,0.65,True,0.13245579054435105,0.9261379335326669
2022,2.4403400766047696,13.0,35.0,0.966,0.85,True,0.2021996443992888,0.16159259237789048
2023,2.4403400766047696,13.0,35.0,0.966,0.85,True,0.18220437304774656,0.3323945126593397
2024,2.4403400766047696,13.0,35.0,0.966,0.85,True,0.15798466840793574,0.35049464628325033
2025,2.4403400766047696,13.0,35.0,0.966,0.85,True,0.13245579054435105,0.36814995694973707
2022,2.4403400766047696,13.0,35.0,0.966,0.852,True,0.2021996443992888,0.1597526959519202
2023,2.4403400766047696,13.0,35.0,0.966,0.852,True,0.18220437304774656,0.32809467118148916
2024,2.4403400766047696,13.0,35.0,0.966,0.852,True,0.15798466840793574,0.3453397916615364
2025,2.4403400766047696,13.0,35.0,0.966,0.852,True,0.13245579054435105,0.3627540732662027
2022,2.4257493130437977,13.0,45.0,0.85,0.65,True,0.2021996443992888,0.4730280531352937
2023,2.4257493130437977,13.0,45.0,0.85,0.65,True,0.18220437304774656,0.8703640292569981
2024,2.4257493130437977,13.0,45.0,0.85,0.65,True,0.1586413027360223,0.7964392971462786
2025,2.4257493130437977,13.0,45.0,0.85,0.65,True,0.13380455294798843,0.8328568705588957
2022,2.4257493130437977,13.0,45.0,0.85,0.85,True,0.2021996443992888,0.26870765993467494
2023,2.4257493130437977,13.0,45.0,0.85,0.85,True,0.18220437304774656,0.4030124600153284
2024,2.4257493130437977,13.0,45.0,0.85,0.85,True,0.1586413027360223,0.2612321362479797
2025,2.4257493130437977,13.0,45.0,0.85,0.85,True,0.13380455294798843,0.27463535645284587
2022,2.4257493130437977,13.0,45.0,0.85,0.852,True,0.2021996443992888,0.2667580664410085
2023,2.4257493130437977,13.0,45.0,0.85,0.852,True,0.18220437304774656,0.39854388992275336
2024,2.4257493130437977,13.0,45.0,0.85,0.852,True,0.1586413027360223,0.25609071771408587
2025,2.4257493130437977,13.0,45.0,0.85,0.852,True,0.13380455294798843,0.2692439504470512
2022,2.4257493130437977,13.0,45.0,0.95,0.65,True,0.2021996443992888,0.370042799727921
2023,2.4257493130437977,13.0,45.0,0.95,0.65,True,0.18220437304774656,0.7911109965195173
2024,2.4257493130437977,13.0,45.0,0.95,0.65,True,0.1586413027360223,0.8535053531421921
2025,2.4257493130437977,13.0,45.0,0.95,0.65,True,0.13380455294798843,0.8920272770750692
2022,2.4257493130437977,13.0,45.0,0.95,0.85,True,0.2021996443992888,0.17595566154626763
2023,2.4257493130437977,13.0,45.0,0.95,0.85,True,0.18220437304774656,0.33970279186881225
2024,2.4257493130437977,13.0,45.0,0.95,0.85,True,0.1586413027360223,0.3302255665330822
2025,2.4257493130437977,13.0,45.0,0.95,0.85,True,0.13380455294798843,0.3469299457776076
2022,2.4257493130437977,13.0,45.0,0.95,0.852,True,0.2021996443992888,0.1741012370791717
2023,2.4257493130437977,13.0,45.0,0.95,0.852,True,0.18220437304774656,0.33538133188915076
2024,2.4257493130437977,13.0,45.0,0.95,0.852,True,0.1586413027360223,0.3251933058233458
2025,2.4257493130437977,13.0,45.0,0.95,0.852,True,0.13380455294798843,0.34166026604054434
2022,2.4257493130437977,13.0,45.0,0.966,0.65,True,0.2021996443992888,0.35411940875405
2023,2.4257493130437977,13.0,45.0,0.966,0.65,True,0.18220437304774656,0.7788425183738568
2024,2.4257493130437977,13.0,45.0,0.966,0.65,True,0.1586413027360223,0.8623472793037434
2025,2.4257493130437977,13.0,45.0,0.966,0.65,True,0.13380455294798843,0.9011892646475284
2022,2.4257493130437977,13.0,45.0,0.966,0.85,True,0.2021996443992888,0.16159259237789048
2023,2.4257493130437977,13.0,45.0,0.966,0.85,True,0.18220437304774656,0.32988851716870826
2024,2.4257493130437977,13.0,45.0,0.966,0.85,True,0.1586413027360223,0.34092873409532487
2025,2.4257493130437977,13.0,45.0,0.966,0.85,True,0.13380455294798843,0.3581363246786262
2022,2.4257493130437977,13.0,45.0,0.966,0.852,True,0.2021996443992888,0.1597526959519202
2023,2.4257493130437977,13.0,45.0,0.966,0.852,True,0.18220437304774656,0.32558972990262003
2024,2.4257493130437977,13.0,45.0,0.966,0.852,True,0.1586413027360223,0.33591353445592276
2025,2.4257493130437977,13.0,45.0,0.966,0.852,True,0.13380455294798843,0.35288563220514657
2022,2.4131248457371823,13.0,60.0,0.85,0.65,True,0.2021996443992888,0.4730280531352937
2023,2.4131248457371823,13.0,60.0,0.85,0.65,True,0.18220437304774656,0.8600692717100289
2024,2.4131248457371823,13.0,60.0,0.85,0.65,True,0.15918732753825476,0.7777756155745497
2025,2.4131248457371823,13.0,60.0,0.85,0.65,True,0.13492611740662808,0.8134904106913643
