quarter,yq,adr,adr_yoy_pct,adr_exfx_yoy_pct,adr_exfx_basis,w_gbv_na_pct,w_nights_na_pct,w_basis,cpi_lodging_yoy_pct,cpi_n_months,bea_hotels_price_yoy_pct,us_leg_spread_pp,us_matched_item_price_yoy_pct,mar_revpar_yoy,hlt_revpar_yoy,global_revpar_yoy_pct,row_leg_yoy_pct,occ_adj_central_pp,occ_adj_us_proxy_pp,str_us_hotel_adr_yoy_pct,airdna_us_str_adr_yoy_pct,price_us_leg_contrib_pp,price_row_leg_contrib_pp,price_measured_pp,price_measured_lo_pp,price_measured_hi_pp,price_measured_us_only_pp,price_measured_occadj_pp,price_basis,confidence,confidence_reason,residual_vs_adr_exfx_pp,residual_content
3Q23,2023Q3,161.38,3.158,0.5,disclosed (letter),47.7,32.589,10-K regional disclosure,5.57,3,5.96,0.39,5.765,8.8,6.8,7.8,,0.0,,,,2.75,,2.75,2.657,2.843,2.75,,"US matched-item leg ONLY -- ROW leg not estimable, ROW price left in the residual",low,"US leg measured and clean. ROW leg NOT estimable: China lifted travel restrictions in Jan 2023, so every 2023 quarter compares a reopened period against a closed APAC base -- MAR worldwide comparable RevPAR +34.3% in 1Q23 falling to +7.2% in 4Q23 is occupancy recovery, not rate. The ROW share of ADR growth stays in the unexplained line.",-2.25,geo mix + LOS mix + size mix + ROW like-for-like price (UNMEASURED) + unexplained
4Q23,2023Q4,156.73,2.565,0.5,disclosed (letter),47.7,32.589,10-K regional disclosure,0.61,3,0.213,0.397,0.412,7.2,5.7,6.45,,0.0,,,,0.196,,0.196,0.102,0.291,0.196,,"US matched-item leg ONLY -- ROW leg not estimable, ROW price left in the residual",low,"US leg measured and clean. ROW leg NOT estimable: China lifted travel restrictions in Jan 2023, so every 2023 quarter compares a reopened period against a closed APAC base -- MAR worldwide comparable RevPAR +34.3% in 1Q23 falling to +7.2% in 4Q23 is occupancy recovery, not rate. The ROW share of ADR growth stays in the unexplained line.",0.304,geo mix + LOS mix + size mix + ROW like-for-like price (UNMEASURED) + unexplained
1Q24,2024Q1,172.88,2.642,2.0,disclosed (letter),46.239,31.301,10-K regional disclosure,-0.583,3,-0.88,0.297,-0.732,4.2,2.0,3.1,3.1,0.0,,,,-0.338,1.667,1.328,-0.084,2.042,-0.338,,US matched-item leg (GBV-weighted) + worldwide same-store ccy-neutral ROW leg,medium,"both legs complete, but no same-store or same-asset-class ADR benchmark was published in this quarter to corroborate the index-based US leg",0.672,geo mix + LOS mix + size mix + unexplained
2Q24,2024Q2,169.53,2.12,3.0,disclosed (letter),46.239,31.301,10-K regional disclosure,-1.167,3,-1.71,0.543,-1.438,4.9,3.5,4.2,4.2,0.0,,,,-0.665,2.258,1.593,0.123,2.364,-0.665,,US matched-item leg (GBV-weighted) + worldwide same-store ccy-neutral ROW leg,medium,"both legs complete, but no same-store or same-asset-class ADR benchmark was published in this quarter to corroborate the index-based US leg",1.407,geo mix + LOS mix + size mix + unexplained
3Q24,2024Q3,163.64,1.4,2.0,disclosed (letter),46.239,31.301,10-K regional disclosure,-0.91,3,-1.437,0.527,-1.173,3.0,1.4,2.2,2.2,0.0,,,,-0.543,1.183,0.64,-0.826,1.407,-0.543,,US matched-item leg (GBV-weighted) + worldwide same-store ccy-neutral ROW leg,medium,"both legs complete, but no same-store or same-asset-class ADR benchmark was published in this quarter to corroborate the index-based US leg",1.36,geo mix + LOS mix + size mix + unexplained
4Q24,2024Q4,158.13,0.893,2.0,disclosed (letter),46.239,31.301,10-K regional disclosure,1.81,3,1.76,0.05,1.785,5.0,3.5,4.25,4.25,0.0,,,3.1,0.825,2.285,3.11,1.755,3.767,0.825,,US matched-item leg (GBV-weighted) + worldwide same-store ccy-neutral ROW leg,high,both legs complete and corroborated in-quarter by a same-store or same-asset-class ADR benchmark (AirDNA US STR ADR),-1.11,geo mix + LOS mix + size mix + unexplained
1Q25,2025Q1,171.34,-0.891,1.0,disclosed (letter),44.148,29.644,10-K regional disclosure,0.49,3,-0.05,0.54,0.22,4.1,2.5,3.3,3.3,0.0,,,,0.097,1.843,1.94,0.425,2.73,0.097,,US matched-item leg (GBV-weighted) + worldwide same-store ccy-neutral ROW leg,medium,"both legs complete, but no same-store or same-asset-class ADR benchmark was published in this quarter to corroborate the index-based US leg",-0.94,geo mix + LOS mix + size mix + unexplained
2Q25,2025Q2,174.48,2.92,1.0,disclosed (letter),44.148,29.644,10-K regional disclosure,-1.557,3,-2.583,1.027,-2.07,1.5,-0.5,0.5,0.5,0.0,,,,-0.914,0.279,-0.635,-2.258,0.262,-0.914,,US matched-item leg (GBV-weighted) + worldwide same-store ccy-neutral ROW leg,medium,"both legs complete, but no same-store or same-asset-class ADR benchmark was published in this quarter to corroborate the index-based US leg",1.635,geo mix + LOS mix + size mix + unexplained
3Q25,2025Q3,171.29,4.675,2.0,disclosed (letter),44.148,29.644,10-K regional disclosure,-1.923,3,-3.137,1.213,-2.53,0.5,-1.1,-0.3,-0.3,0.0,,,,-1.117,-0.168,-1.284,-2.949,-0.346,-1.117,,US matched-item leg (GBV-weighted) + worldwide same-store ccy-neutral ROW leg,medium,"both legs complete, but no same-store or same-asset-class ADR benchmark was published in this quarter to corroborate the index-based US leg",3.284,geo mix + LOS mix + size mix + unexplained
4Q25,2025Q4,167.51,5.932,3.0,disclosed (letter),44.148,29.644,10-K regional disclosure,-2.535,2,-3.187,0.652,-2.861,1.9,0.5,1.2,1.2,0.0,,,3.3,-1.263,0.67,-0.593,-2.133,0.221,-1.263,,US matched-item leg (GBV-weighted) + worldwide same-store ccy-neutral ROW leg,medium,"CPI lodging has only 2 of 3 months (Oct-2025 shutdown gap), so the US leg is a 2-month month-matched y/y average",3.593,geo mix + LOS mix + size mix + unexplained
1Q26,2026Q1,186.82,9.035,4.0,disclosed (letter),44.148,29.644,carried forward from 2025 (no 10-K yet),-0.147,3,-2.19,2.043,-1.168,4.2,3.6,3.9,3.9,0.0,2.1,3.8,,-0.516,2.178,1.662,-0.185,2.784,-0.516,0.49,US matched-item leg (GBV-weighted) + worldwide same-store ccy-neutral ROW leg,medium,CPI and BEA disagree by 2.0pp on the US leg,2.338,geo mix + LOS mix + size mix + unexplained
2Q26,2026Q2,183.73,5.301,4.0,disclosed (letter),44.148,29.644,carried forward from 2025 (no 10-K yet),4.723,3,4.96,0.237,4.842,3.4,3.9,3.65,3.65,0.0,,,4.6,2.137,2.039,4.176,2.728,4.899,2.137,,US matched-item leg (GBV-weighted) + worldwide same-store ccy-neutral ROW leg,high,both legs complete and corroborated in-quarter by a same-store or same-asset-class ADR benchmark (AirDNA US STR ADR),-0.176,geo mix + LOS mix + size mix + unexplained
