case_business,ticket_experiences,ticket_services,exp_gbv_fy24_m,drag_fy25_pp,drag_fy26_pp,drag_fy27_pp,share_seats_fy27
base,75.0,120.0,250.0,-0.4095190914318092,-0.48257015170575235,-0.5650781766808444,0.02826587388239092
bull,75.0,120.0,250.0,-0.4095190914318092,-0.750306831909886,-1.0541451818632752,0.041468947198565254
bear,75.0,120.0,400.0,-0.17653663477342763,-0.2262429488181783,-0.20126161614711924,0.018289343158943983
base,75.0,120.0,400.0,-0.17653663477342763,-0.48257015170575235,-0.5650781766808444,0.02826587388239092
bull,75.0,120.0,400.0,-0.17653663477342763,-0.750306831909886,-1.0541451818632752,0.041468947198565254
bear,75.0,120.0,550.0,0.05753845859497453,-0.2262429488181783,-0.20126161614711924,0.018289343158943983
base,75.0,120.0,550.0,0.05753845859497453,-0.48257015170575235,-0.5650781766808444,0.02826587388239092
bull,75.0,120.0,550.0,0.05753845859497453,-0.750306831909886,-1.0541451818632752,0.041468947198565254
bear,75.0,180.0,250.0,-0.36709022064376207,-0.1896223068910574,-0.16326730691821334,0.01714383013845267
base,75.0,180.0,250.0,-0.36709022064376207,-0.39097392215436955,-0.43287081162241003,0.02567433671352561
bull,75.0,180.0,250.0,-0.36709022064376207,-0.6068776367182283,-0.7517856973606074,0.036755099708826094
bear,75.0,180.0,400.0,-0.13408899549191,-0.1896223068910574,-0.16326730691821334,0.01714383013845267
base,75.0,180.0,400.0,-0.13408899549191,-0.39097392215436955,-0.43287081162241003,0.02567433671352561
bull,75.0,180.0,400.0,-0.13408899549191,-0.6068776367182283,-0.7517856973606074,0.036755099708826094
bear,75.0,180.0,550.0,0.10000457615628733,-0.1896223068910574,-0.16326730691821334,0.01714383013845267
base,75.0,180.0,550.0,0.10000457615628733,-0.39097392215436955,-0.43287081162241003,0.02567433671352561
bull,75.0,180.0,550.0,0.10000457615628733,-0.6068776367182283,-0.7517856973606074,0.036755099708826094
bear,100.0,80.0,250.0,-0.3573358469854959,-0.23266826792968098,-0.21395684633576106,0.016320111252799543
base,100.0,80.0,250.0,-0.3573358469854959,-0.5126238998429566,-0.6354229238756948,0.027132707720062085
bull,100.0,80.0,250.0,-0.3573358469854959,-0.791603743335767,-1.2771366587237098,0.04196648374145434
bear,100.0,80.0,400.0,-0.22758339147300743,-0.23266826792968098,-0.21395684633576106,0.016320111252799543
base,100.0,80.0,400.0,-0.22758339147300743,-0.5126238998429566,-0.6354229238756948,0.027132707720062085
bull,100.0,80.0,400.0,-0.22758339147300743,-0.791603743335767,-1.2771366587237098,0.04196648374145434
bear,100.0,80.0,550.0,-0.09749257384399357,-0.23266826792968098,-0.21395684633576106,0.016320111252799543
base,100.0,80.0,550.0,-0.09749257384399357,-0.5126238998429566,-0.6354229238756948,0.027132707720062085
bull,100.0,80.0,550.0,-0.09749257384399357,-0.791603743335767,-1.2771366587237098,0.04196648374145434
bear,100.0,120.0,250.0,-0.2938064885605107,-0.17773430035064042,-0.1569692432847325,0.01459931911484989
base,100.0,120.0,250.0,-0.2938064885605107,-0.37524936499379047,-0.4373270158606557,0.023241135379824873
bull,100.0,120.0,250.0,-0.2938064885605107,-0.5764837074182294,-0.8253011205410776,0.03490215029086349
bear,100.0,120.0,400.0,-0.16408985253802966,-0.17773430035064042,-0.1569692432847325,0.01459931911484989
base,100.0,120.0,400.0,-0.16408985253802966,-0.37524936499379047,-0.4373270158606557,0.023241135379824873
bull,100.0,120.0,400.0,-0.16408985253802966,-0.5764837074182294,-0.8253011205410776,0.03490215029086349
bear,100.0,120.0,550.0,-0.03403525706593413,-0.17773430035064042,-0.1569692432847325,0.01459931911484989
base,100.0,120.0,550.0,-0.03403525706593413,-0.37524936499379047,-0.4373270158606557,0.023241135379824873
bull,100.0,120.0,550.0,-0.03403525706593413,-0.5764837074182294,-0.8253011205410776,0.03490215029086349
bear,100.0,180.0,250.0,-0.25145482195740865,-0.14107803430639665,-0.11890640808656094,0.013449977432617204
base,100.0,180.0,250.0,-0.25145482195740865,-0.28345538086703703,-0.3045180550919735,0.02063211794255451
bull,100.0,180.0,250.0,-0.25145482195740865,-0.43255131227081245,-0.5206707614724748,0.03013933228790172
bear,100.0,180.0,400.0,-0.12176214866250756,-0.14107803430639665,-0.11890640808656094,0.013449977432617204
base,100.0,180.0,400.0,-0.12176214866250756,-0.28345538086703703,-0.3045180550919735,0.02063211794255451
bull,100.0,180.0,400.0,-0.12176214866250756,-0.43255131227081245,-0.5206707614724748,0.03013933228790172
bear,100.0,180.0,550.0,0.008268215522888589,-0.14107803430639665,-0.11890640808656094,0.013449977432617204
base,100.0,180.0,550.0,0.008268215522888589,-0.28345538086703703,-0.3045180550919735,0.02063211794255451
bull,100.0,180.0,550.0,0.008268215522888589,-0.43255131227081245,-0.5206707614724748,0.03013933228790172
