period,metric,value,unit,source_doc,source_date,quote,definition_note,source_path,repo_panel_value,repo_panel_agrees,repo_panel_source
2Q19,long_term_stays_28plus_share_of_gross_nights_booked,13.0,pct_of_nights_booked,2Q22 shareholder letter,2022-08,"Long-term stays accounted for 19% of gross nights booked in Q2 2022, up from 13% in Q2 2019 and flat with Q2 2021.",GROSS nights BOOKED,data/raw/letters/2Q22_d353427dex991.htm,,ABSENT FROM PANEL,data/processed/overnight/02_kpi_panel_quarterly.csv:long_term_stays_share_pct
2Q21,long_term_stays_28plus_share_of_gross_nights_booked,19.0,pct_of_nights_booked,2Q21 earnings call (NOT in the letter),2021-08,"stays of 28 days or longer remain being one of the largest and strongest growing parts of our business. That was 19% of our nights booked in Q2, following being 24% in Q1.","GROSS nights BOOKED -- CALL ONLY; the repo's letter-sourced KPI panel omits this quarter, so it is patched in here",data/raw/transcripts/web/2Q21.html,,ABSENT FROM PANEL,data/processed/overnight/02_kpi_panel_quarterly.csv:long_term_stays_share_pct
2Q22,long_term_stays_28plus_share_of_gross_nights_booked,19.0,pct_of_nights_booked,2Q22 shareholder letter,2022-08,Long-term stays accounted for 19% of gross nights booked in Q2 2022.,GROSS nights BOOKED,data/raw/letters/2Q22_d353427dex991.htm,19.0,yes,data/processed/overnight/02_kpi_panel_quarterly.csv:long_term_stays_share_pct
2Q23,long_term_stays_28plus_share_of_gross_nights_booked,18.0,pct_of_nights_booked,2Q23 shareholder letter,2023-08,"long-term stays of 28 days or more accounted for 18% of gross nights booked, relatively consistent with Q1 2023 and Q2 2022.","GROSS nights BOOKED ('total nights booked' on the call -- same number, looser wording)",data/raw/letters/2Q23_d446942dex991.htm,18.0,yes,data/processed/overnight/02_kpi_panel_quarterly.csv:long_term_stays_share_pct
2Q24,long_term_stays_28plus_share_of_gross_nights_booked,17.0,pct_of_nights_booked,2Q24 earnings call (transcript only),2024-08,"we haven't really expanded beyond our core business, and we do have long-term stays, which are 17% of nights, but we haven't done very much.","CALL ONLY, unaudited prose; the web transcript garbles this as '70% a night' -- use the FactSet corrected version",data/raw/regulatory/transcripts/2024-Q2.json,,ABSENT FROM PANEL,data/processed/overnight/02_kpi_panel_quarterly.csv:long_term_stays_share_pct
3Q19,long_term_stays_28plus_share_of_gross_nights_booked,14.0,pct_of_nights_booked,3Q21 shareholder letter,2021-11,"Long-term stays accounted for 20% of gross nights booked in Q3 2021, up from 14% in Q3 2019.",GROSS nights BOOKED,data/raw/letters/3Q21_d245727dex991.htm,,ABSENT FROM PANEL,data/processed/overnight/02_kpi_panel_quarterly.csv:long_term_stays_share_pct
3Q21,long_term_stays_28plus_share_of_gross_nights_booked,20.0,pct_of_nights_booked,3Q21 shareholder letter,2021-11,Long-term stays accounted for 20% of gross nights booked in Q3 2021.,GROSS nights BOOKED,data/raw/letters/3Q21_d245727dex991.htm,20.0,yes,data/processed/overnight/02_kpi_panel_quarterly.csv:long_term_stays_share_pct
3Q22,long_term_stays_28plus_share_of_gross_nights_booked,20.0,pct_of_nights_booked,3Q22 shareholder letter,2022-11,"long-term stays of 28 days or more accounted for 20% of gross nights booked in Q3 2022, stable with Q3 2021.",GROSS nights BOOKED,data/raw/letters/3Q22_d408297dex991.htm,20.0,yes,data/processed/overnight/02_kpi_panel_quarterly.csv:long_term_stays_share_pct
3Q23,long_term_stays_28plus_share_of_gross_nights_booked,18.0,pct_of_nights_booked,3Q23 shareholder letter,2023-11,"long-term stays of 28 days or more remained steadfast, accounting for 18% of gross nights booked.",GROSS nights BOOKED,data/raw/letters/3Q23_d481318dex991.htm,18.0,yes,data/processed/overnight/02_kpi_panel_quarterly.csv:long_term_stays_share_pct
4Q19,long_term_stays_28plus_share_of_gross_nights_booked,16.0,pct_of_nights_booked,4Q21 shareholder letter,2022-02,"Long-term stays accounted for 22% of gross nights booked in Q4 2021, up from 16% in Q4 2019.",GROSS nights BOOKED,data/raw/letters/4Q21_d251410dex991.htm,,ABSENT FROM PANEL,data/processed/overnight/02_kpi_panel_quarterly.csv:long_term_stays_share_pct
4Q20,long_term_stays_28plus_share_of_gross_nights_booked,,pct_of_nights_booked,4Q20 shareholder letter,2021-02,"we have seen steady growth in our long-term stays (stays of at least 28 nights). This continued in Q4 2020, with solid growth in nights booked ... relative to Q4 2019.",QUALITATIVE ONLY -- no share disclosed for any 2020 quarter,data/raw/letters/4Q20_d147144dex991.htm,,ABSENT FROM PANEL,data/processed/overnight/02_kpi_panel_quarterly.csv:long_term_stays_share_pct
4Q21,long_term_stays_28plus_share_of_gross_nights_booked,22.0,pct_of_nights_booked,4Q21 shareholder letter,2022-02,long-term stays of 28 nights or more remained our fastest growing category by trip length and accounted for 22% of gross nights booked in Q4.,GROSS nights BOOKED,data/raw/letters/4Q21_d251410dex991.htm,22.0,yes,data/processed/overnight/02_kpi_panel_quarterly.csv:long_term_stays_share_pct
4Q22,long_term_stays_28plus_share_of_gross_nights_booked,21.0,pct_of_nights_booked,4Q22 shareholder letter,2023-02,"long-term stays of 28 days or more accounted for 21% of gross nights booked in Q4 2022, stable with Q4 2021.",GROSS nights BOOKED,data/raw/letters/4Q22_d451233dex991.htm,21.0,yes,data/processed/overnight/02_kpi_panel_quarterly.csv:long_term_stays_share_pct
4Q23,long_term_stays_28plus_share_of_gross_nights_booked,19.0,pct_of_nights_booked,4Q23 shareholder letter,2024-02,"long-term stays of 28 days accounted for 19% of gross nights booked, up slightly from the 18% level seen in Q3 2023.","GROSS nights BOOKED ('or more' dropped -- typo, definition unchanged)",data/raw/letters/4Q23_d646462dex991.htm,19.0,yes,data/processed/overnight/02_kpi_panel_quarterly.csv:long_term_stays_share_pct
FY2019,long_term_stays_28plus_share_of_gross_nights_booked,14.0,pct_of_nights_booked,1Q21 shareholder letter,2021-05,"Nearly a quarter (24%) of our nights booked (prior to cancellations and alterations) in Q1 were not for traditional travel, but for long-term stays (defined as stays of 28 days or more). This was up from 14% in 2019.",GROSS nights BOOKED (prior to cancellations and alterations); retrospective 2019 base,data/raw/letters/1Q21_d476842dex991.htm,,ABSENT FROM PANEL,data/processed/overnight/02_kpi_panel_quarterly.csv:long_term_stays_share_pct
1Q21,stays_7plus_nights_share_of_gross_nights_booked,50.0,pct_of_nights_booked,1Q21 shareholder letter,2021-05,50% of nights booked (prior to cancellations and alterations) were from stays of at least seven nights in Q1.,GROSS nights BOOKED,data/raw/letters/1Q21_d476842dex991.htm,,,
1Q22,stays_7plus_nights_share_of_gross_nights_booked,48.0,pct_of_nights_booked,1Q22 shareholder letter,2022-05,"Overall, 48% of gross nights booked were from stays of at least seven nights in Q1 2022.",GROSS nights BOOKED,data/raw/letters/1Q22_d711122dex991.htm,,,
1Q23,stays_7plus_nights_share_of_gross_nights_booked,45.0,pct_of_nights_booked,1Q23 shareholder letter,2023-05,"Overall, approximately 45% of gross nights booked in Q1 2023 were from stays of at least seven nights.",GROSS nights BOOKED (APPROX),data/raw/letters/1Q23_d453262dex991.htm,,,
2Q21,stays_7plus_nights_share_of_gross_nights_booked,49.0,pct_of_nights_booked,2Q21 shareholder letter,2021-08,"Overall, nearly 50% of gross nights booked were from stays of at least seven nights in Q2 2021.","GROSS nights BOOKED -- 'nearly 50%', coded 49 (APPROX)",data/raw/letters/2Q21_d212971dex991.htm,,,
2Q22,stays_7plus_nights_share_of_gross_nights_booked,45.0,pct_of_nights_booked,2Q22 shareholder letter,2022-08,"Overall, 45% of gross nights booked were from stays of at least seven nights in Q2 2022.",GROSS nights BOOKED,data/raw/letters/2Q22_d353427dex991.htm,,,
2Q23,stays_7plus_nights_share_of_gross_nights_booked,45.0,pct_of_nights_booked,2Q23 shareholder letter,2023-08,"Overall, approximately 45% of gross nights booked in Q2 2023 were from stays of at least seven nights.",GROSS nights BOOKED (APPROX) -- LAST 7+ DISCLOSURE; discontinued thereafter,data/raw/letters/2Q23_d446942dex991.htm,,,
3Q21,stays_7plus_nights_share_of_gross_nights_booked,45.0,pct_of_nights_booked,3Q21 shareholder letter,2021-11,"Overall, 45% of gross nights booked were from stays of at least seven nights in Q3 2021.",GROSS nights BOOKED,data/raw/letters/3Q21_d245727dex991.htm,,,
3Q22,stays_7plus_nights_share_of_gross_nights_booked,45.0,pct_of_nights_booked,3Q22 shareholder letter,2022-11,"Overall, approximately 45% of gross nights booked were from stays of at least seven nights in Q3 2022.",GROSS nights BOOKED (APPROX),data/raw/letters/3Q22_d408297dex991.htm,,,
4Q21,stays_7plus_nights_share_of_gross_nights_booked,47.0,pct_of_nights_booked,4Q21 shareholder letter,2022-02,"Overall, 47% of gross nights booked were from stays of at least seven nights in Q4 2021.",GROSS nights BOOKED,data/raw/letters/4Q21_d251410dex991.htm,,,
4Q22,stays_7plus_nights_share_of_gross_nights_booked,46.0,pct_of_nights_booked,4Q22 shareholder letter,2023-02,"Overall, approximately 46% of gross nights booked in Q4 2022 were from stays of at least seven nights.",GROSS nights BOOKED (APPROX),data/raw/letters/4Q22_d451233dex991.htm,,,
4Q23,stays_7plus_nights_share_of_gross_nights_booked,40.0,pct_of_nights_booked,4Q23 earnings call,2024-02,"19% of our nights are monthly stays, and more than 40% are weekly.","CALL ONLY, 'more than 40%' -- a LOWER BOUND, not used in the solve",data/raw/regulatory/transcripts/2023-Q4.json,,,
2Q23,three_month_plus_share_of_long_term_stay_nights,25.0,pct_of_LTS_nights,2Q23 shareholder letter,2023-08,"In June, nights booked for three months or longer grew to approximately 25% of total monthly stays, compared to 18% in April.",share of 28+ nights that sit in 90+ night stays -- the ONLY handle on m3,data/raw/letters/2Q23_d446942dex991.htm,,,
3Q23,three_month_plus_share_of_long_term_stay_nights,25.0,pct_of_LTS_nights,3Q23 shareholder letter,2023-11,roughly a quarter of our nights booked for long-term stays were for trip durations of three months or longer -- with nights booked for trips over three months increasing almost 20% compared to Q3 2022.,handle on m3: implies m3 ~ 43-53 nights,data/raw/letters/3Q23_d481318dex991.htm,,,
4Q23,three_month_plus_share_of_long_term_stay_nights,25.0,pct_of_LTS_nights,4Q23 shareholder letter,2024-02,roughly a quarter of our nights booked for long-term stays were for trip durations of three months or longer.,handle on m3,data/raw/letters/4Q23_d646462dex991.htm,,,
2Q26,trip_length_mix_commentary,,,2Q26 shareholder letter,2026-08,"Growth in short-term stays and entire homes, particularly listings with four or more bedrooms, continued to outpace long-term stays (trips of 28 days or more) and private rooms, extending a mix-shift trend we have now seen for over a year.",post-1Q24 the mix shift is confirmed QUALITATIVELY every quarter but never sized,data/raw/letters/2Q26_d70413dex991.htm,,,
