scope,period,tier,los_mix_pp,los_mix_pp_linear,of_which_los_pp,gap_vs_elasticity_pp,sens_lo,sens_hi,sens_lo_means_only,sens_hi_means_only,d_share_lt7_pp,d_share_7_27_pp,d_share_ge28_pp,mix_index,adr_yoy_pct,basis,sens_med,sens_n,nights_weight_covered,r2_used,r3_used,m1_used,m2_used,m3_used,ratios_are_placeholders
region_emea__phi_common,2025,regional_assumption,0.0,-0.0,,,,,,,0.0,0.0,0.0,0.9677177611846043,,assumed (common m1/m2/m3/phi; regional ALOS solves the regional 28+ share -- ALL regional variation booked as long-tail),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_latam__phi_common,2021,regional_assumption,,,,,,,,,,,,0.9556156388832602,,assumed (common m1/m2/m3/phi; regional ALOS solves the regional 28+ share -- ALL regional variation booked as long-tail),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_latam__phi_common,2022,regional_assumption,0.15161644715799838,0.14488704801611196,,,,,,,1.5866497334602547,-0.7889220397895136,-0.7977276936707328,0.9570645093634212,,assumed (common m1/m2/m3/phi; regional ALOS solves the regional 28+ share -- ALL regional variation booked as long-tail),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_latam__phi_common,2023,regional_assumption,0.7744998448111273,0.741246313976197,,,,,,,4.711132077224756,0.3859540925169602,-5.097086169741713,0.9644769725031833,,assumed (common m1/m2/m3/phi; regional ALOS solves the regional 28+ share -- ALL regional variation booked as long-tail),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_latam__phi_common,2024,regional_assumption,0.6901932673548661,0.6656755129405172,,,,,,,3.3505165824491923,1.4894654275266261,-4.839982009975826,0.9711337276325884,,assumed (common m1/m2/m3/phi; regional ALOS solves the regional 28+ share -- ALL regional variation booked as long-tail),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_latam__phi_common,2025,regional_assumption,0.37129205372685714,0.36057423617611795,,,,,,,1.814863148826673,0.8067937732436026,-2.621656922070273,0.9747394699943496,,assumed (common m1/m2/m3/phi; regional ALOS solves the regional 28+ share -- ALL regional variation booked as long-tail),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_na__phi_common,2021,regional_assumption,,,,,,,,,,,,0.9556156388832602,,assumed (common m1/m2/m3/phi; regional ALOS solves the regional 28+ share -- ALL regional variation booked as long-tail),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_na__phi_common,2022,regional_assumption,0.15161644715799838,0.14488704801611196,,,,,,,1.5866497334602547,-0.7889220397895136,-0.7977276936707328,0.9570645093634212,,assumed (common m1/m2/m3/phi; regional ALOS solves the regional 28+ share -- ALL regional variation booked as long-tail),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_na__phi_common,2023,regional_assumption,0.14681847685600324,0.14051475351767778,,,,,,,1.6874951613559452,-0.9581976347631804,-0.7292975265927676,0.9584696568985981,,assumed (common m1/m2/m3/phi; regional ALOS solves the regional 28+ share -- ALL regional variation booked as long-tail),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_na__phi_common,2024,regional_assumption,0.0,-0.0,,,,,,,0.0,0.0,0.0,0.9584696568985981,,assumed (common m1/m2/m3/phi; regional ALOS solves the regional 28+ share -- ALL regional variation booked as long-tail),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_na__phi_common,2025,regional_assumption,0.0,-0.0,,,,,,,0.0,0.0,0.0,0.9584696568985981,,assumed (common m1/m2/m3/phi; regional ALOS solves the regional 28+ share -- ALL regional variation booked as long-tail),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_apac__s3_prop_alos,2021,regional_assumption,,,,,,,,,,,,0.9699664859504936,,assumed (28+ share allocated PROPORTIONAL TO REGIONAL ALOS and renormalised to the global share; regional m1 solves -- ALL regional variation booked as short-bucket),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_apac__s3_prop_alos,2022,regional_assumption,-0.26646643977856765,-0.2584635162157722,,,,,,,-0.2852630080471208,-1.896882377410497,2.1821453854576287,0.967381850788336,,assumed (28+ share allocated PROPORTIONAL TO REGIONAL ALOS and renormalised to the global share; regional m1 solves -- ALL regional variation booked as short-bucket),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_apac__s3_prop_alos,2023,regional_assumption,0.0964946216402307,0.09334714567345127,,,,,,,1.5463488538845716,-1.1887060061532229,-0.35764284773136257,0.9683153222450704,,assumed (28+ share allocated PROPORTIONAL TO REGIONAL ALOS and renormalised to the global share; regional m1 solves -- ALL regional variation booked as short-bucket),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_apac__s3_prop_alos,2024,regional_assumption,0.24321620246734454,0.2355099754673819,,,,,,,1.1853824615690511,0.5269593960979257,-1.7123418576669684,0.9706704219997444,,assumed (28+ share allocated PROPORTIONAL TO REGIONAL ALOS and renormalised to the global share; regional m1 solves -- ALL regional variation booked as short-bucket),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_apac__s3_prop_alos,2025,regional_assumption,0.2926275771125031,0.28404493376456275,,,,,,,1.429671427351864,0.6355575659340973,-2.06522899328596,0.9735108713373899,,assumed (28+ share allocated PROPORTIONAL TO REGIONAL ALOS and renormalised to the global share; regional m1 solves -- ALL regional variation booked as short-bucket),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_emea__s3_prop_alos,2021,regional_assumption,,,,,,,,,,,,0.9582698915643706,,assumed (28+ share allocated PROPORTIONAL TO REGIONAL ALOS and renormalised to the global share; regional m1 solves -- ALL regional variation booked as short-bucket),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_emea__s3_prop_alos,2022,regional_assumption,0.245485055728345,0.23524093773347063,,,,,,,2.0553037997425916,-0.604772145863447,-1.4505316538791446,0.9606223009417053,,assumed (28+ share allocated PROPORTIONAL TO REGIONAL ALOS and renormalised to the global share; regional m1 solves -- ALL regional variation booked as short-bucket),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_emea__s3_prop_alos,2023,regional_assumption,0.3991761887863543,0.38345754895309186,,,,,,,2.943482992931512,-0.4577011754453575,-2.485781817486146,0.9644568764312362,,assumed (28+ share allocated PROPORTIONAL TO REGIONAL ALOS and renormalised to the global share; regional m1 solves -- ALL regional variation booked as short-bucket),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_emea__s3_prop_alos,2024,regional_assumption,0.3478649419304869,0.33550073531422375,,,,,,,1.6886617507209545,0.7506911948028216,-2.4393529455237815,0.9678118837843784,,assumed (28+ share allocated PROPORTIONAL TO REGIONAL ALOS and renormalised to the global share; regional m1 solves -- ALL regional variation booked as short-bucket),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_emea__s3_prop_alos,2025,regional_assumption,0.33796035202837693,0.32708204494101184,,,,,,,1.646288310283961,0.7318541668332068,-2.3781424771171675,0.9710827042337886,,assumed (28+ share allocated PROPORTIONAL TO REGIONAL ALOS and renormalised to the global share; regional m1 solves -- ALL regional variation booked as short-bucket),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_latam__s3_prop_alos,2021,regional_assumption,,,,,,,,,,,,0.9589579265282602,,assumed (28+ share allocated PROPORTIONAL TO REGIONAL ALOS and renormalised to the global share; regional m1 solves -- ALL regional variation booked as short-bucket),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_latam__s3_prop_alos,2022,regional_assumption,0.17356073373007153,0.16643744134451038,,,,,,,1.7212004902049438,-0.7745634316300154,-0.9466370585749312,0.9606223009417053,,assumed (28+ share allocated PROPORTIONAL TO REGIONAL ALOS and renormalised to the global share; regional m1 solves -- ALL regional variation booked as short-bucket),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_latam__s3_prop_alos,2023,regional_assumption,0.3991761887863543,0.38345754895309186,,,,,,,2.943482992931512,-0.4577011754453575,-2.485781817486146,0.9644568764312362,,assumed (28+ share allocated PROPORTIONAL TO REGIONAL ALOS and renormalised to the global share; regional m1 solves -- ALL regional variation booked as short-bucket),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_latam__s3_prop_alos,2024,regional_assumption,0.40714262007703894,0.392671499621541,,,,,,,1.9764169559512212,0.8786121942171876,-2.8550291501684146,0.9683835914274516,,assumed (28+ share allocated PROPORTIONAL TO REGIONAL ALOS and renormalised to the global share; regional m1 solves -- ALL regional variation booked as short-bucket),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_latam__s3_prop_alos,2025,regional_assumption,0.3790212556541883,0.36703796477774947,,,,,,,1.84739676234138,0.8212565258879256,-2.668653288229317,0.9720539710752291,,assumed (28+ share allocated PROPORTIONAL TO REGIONAL ALOS and renormalised to the global share; regional m1 solves -- ALL regional variation booked as short-bucket),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_na__s3_prop_alos,2021,regional_assumption,,,,,,,,,,,,0.9589579265282602,,assumed (28+ share allocated PROPORTIONAL TO REGIONAL ALOS and renormalised to the global share; regional m1 solves -- ALL regional variation booked as short-bucket),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_na__s3_prop_alos,2022,regional_assumption,0.17356073373007153,0.16643744134451038,,,,,,,1.7212004902049438,-0.7745634316300154,-0.9466370585749312,0.9606223009417053,,assumed (28+ share allocated PROPORTIONAL TO REGIONAL ALOS and renormalised to the global share; regional m1 solves -- ALL regional variation booked as short-bucket),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_na__s3_prop_alos,2023,regional_assumption,0.2652891654109091,0.2548426884919498,,,,,,,2.2961312211637552,-0.7454801073709411,-1.5506511137928225,0.9631707278266247,,assumed (28+ share allocated PROPORTIONAL TO REGIONAL ALOS and renormalised to the global share; regional m1 solves -- ALL regional variation booked as short-bucket),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_na__s3_prop_alos,2024,regional_assumption,0.30379173120602676,0.29260330285341446,,,,,,,1.472747906797911,0.6547071284853018,-2.1274550352832073,0.9660967608551589,,assumed (28+ share allocated PROPORTIONAL TO REGIONAL ALOS and renormalised to the global share; regional m1 solves -- ALL regional variation booked as short-bucket),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
region_na__s3_prop_alos,2025,regional_assumption,0.3652887846704811,0.35290431164688046,,,,,,,1.7762584400432213,0.7896321273726636,-2.565890567415885,0.9696258039716277,,assumed (28+ share allocated PROPORTIONAL TO REGIONAL ALOS and renormalised to the global share; regional m1 solves -- ALL regional variation booked as short-bucket),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
global_quarterly_yoy,1Q21,A_disclosed,,,,,,,,,,,,0.95564,,"disclosed (28+ AND 7+ both disclosed; shares need NO assumption. ALOS INTERPOLATED from annual (ignores ALOS seasonality) -- affects only the implied m1, not the shares)",,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
global_quarterly_yoy,2Q21,A_disclosed,,,,,,,,,,,,0.9616800000000001,,"disclosed (28+ AND 7+ both disclosed; shares need NO assumption. ALOS INTERPOLATED from annual (ignores ALOS seasonality) -- affects only the implied m1, not the shares)",,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
global_quarterly_yoy,3Q21,A_disclosed,,,,,,,,,,,,0.9619000000000001,,"disclosed (28+ AND 7+ both disclosed; shares need NO assumption. ALOS INTERPOLATED from annual (ignores ALOS seasonality) -- affects only the implied m1, not the shares)",,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
global_quarterly_yoy,4Q21,A_disclosed,,,,,,,,,,,,0.9589400000000001,,"disclosed (28+ AND 7+ both disclosed; shares need NO assumption. ALOS INTERPOLATED from annual (ignores ALOS seasonality) -- affects only the implied m1, not the shares)",,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
global_quarterly_yoy,1Q22,A_disclosed,0.4290318529990289,0.4099999999999999,,,,,,,2.0000000000000018,1.0000000000000009,-3.0,0.95974,,"disclosed (28+ AND 7+ both disclosed; shares need NO assumption. ALOS INTERPOLATED from annual (ignores ALOS seasonality) -- affects only the implied m1, not the shares)",,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
global_quarterly_yoy,2Q22,A_disclosed,0.14141918309624746,0.13600000000000007,,,,,,,4.0000000000000036,-3.9999999999999982,0.0,0.9630400000000001,,"disclosed (28+ AND 7+ both disclosed; shares need NO assumption. ALOS INTERPOLATED from annual (ignores ALOS seasonality) -- affects only the implied m1, not the shares)",,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
global_quarterly_yoy,3Q22,A_disclosed,0.0,-0.0,,,,,,,0.0,0.0,0.0,0.9619000000000001,,"disclosed (28+ AND 7+ both disclosed; shares need NO assumption. ALOS INTERPOLATED from annual (ignores ALOS seasonality) -- affects only the implied m1, not the shares)",,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
global_quarterly_yoy,4Q22,A_disclosed,0.15433708052641215,0.14800000000000016,,,,,,,1.0000000000000009,0.0,-1.0000000000000009,0.96042,,"disclosed (28+ AND 7+ both disclosed; shares need NO assumption. ALOS INTERPOLATED from annual (ignores ALOS seasonality) -- affects only the implied m1, not the shares)",,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
global_quarterly_yoy,1Q23,A_disclosed,0.46262529435054933,0.44400000000000006,,,,,,,3.0000000000000027,0.0,-3.0,0.96418,,"disclosed (28+ AND 7+ both disclosed; shares need NO assumption. ALOS INTERPOLATED from annual (ignores ALOS seasonality) -- affects only the implied m1, not the shares)",,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
global_quarterly_yoy,2Q23,A_disclosed,0.11837514537298421,0.11400000000000009,,,,,,,0.0,1.0000000000000009,-1.0000000000000009,0.96418,,"disclosed (28+ AND 7+ both disclosed; shares need NO assumption. ALOS INTERPOLATED from annual (ignores ALOS seasonality) -- affects only the implied m1, not the shares)",,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
global_quarterly_yoy,3Q23,B_solved,0.30159543882475326,0.2901046526055359,,,,,,,1.8266074295745782,0.17339257042542355,-2.0000000000000018,0.9648010465260555,,solved (28+ disclosed; 7+ not; ALOS INTERPOLATED from annual (ignores ALOS seasonality)),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
global_quarterly_yoy,4Q23,B_solved,0.3639387380400816,0.3495340427884572,,,,,,,3.5745306702487434,-1.5745306702487416,-1.9999999999999991,0.9639153404278846,,solved (28+ disclosed; 7+ not; ALOS INTERPOLATED from annual (ignores ALOS seasonality)),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
global_quarterly_yoy,1Q24,B_solved,0.21253021248501813,0.2049173802738188,,,,,,,2.6740405962887848,-1.674040596288795,-0.9999999999999981,0.9662291738027381,,solved (28+ disclosed; 7+ not; ALOS INTERPOLATED from annual (ignores ALOS seasonality)),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
global_quarterly_yoy,2Q24,B_solved,0.23169287343860479,0.2233936347120392,,,,,,,3.2174598444717373,-2.2174598444717475,-0.9999999999999981,0.9664139363471204,,solved (28+ disclosed; 7+ not; ALOS INTERPOLATED from annual (ignores ALOS seasonality)),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
global_quarterly_yoy,3Q24,C_alos_only,0.2526948668717388,0.24380027200962365,,,,,,,1.8106961734474236,-0.212129488250834,-1.5985666851965896,0.9672390492461517,,alos_only (28+ discontinued after 1Q24; phi held at 2Q24; ALOS INTERPOLATED from annual (ignores ALOS seasonality)),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
global_quarterly_yoy,4Q24,C_alos_only,0.4315510396297295,0.41597866727670474,,,,,,,1.4881960103739988,1.716891734573267,-3.2050877449472686,0.9680751271006516,,alos_only (28+ discontinued after 1Q24; phi held at 2Q24; ALOS INTERPOLATED from annual (ignores ALOS seasonality)),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
global_quarterly_yoy,1Q25,C_alos_only,0.2787347156817832,0.2693216140433564,,,,,,,1.8198004405648227,-7.764175646851612e-05,-1.8197227988083542,0.9689223899431717,,alos_only (28+ discontinued after 1Q24; phi held at 2Q24; ALOS INTERPOLATED from annual (ignores ALOS seasonality)),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
global_quarterly_yoy,2Q25,C_alos_only,0.34841461399790497,0.3367127385945491,,,,,,,1.713301802568723,0.7293339632840401,-2.4426357658527467,0.969781063733066,,alos_only (28+ discontinued after 1Q24; phi held at 2Q24; ALOS INTERPOLATED from annual (ignores ALOS seasonality)),,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
global_quarterly_yoy,3Q25,C_alos_only,0.3076491557727268,0.2975702769310129,,,,,,,1.5141324738256468,0.644549743901901,-2.1586822177275504,0.9702147520154617,,"alos_only (28+ discontinued after 1Q24; phi held at 2Q24; ALOS HELD FLAT at the FY2025 level -- beyond the last annual anchor (mid-2025), so this quarter carries no new ALOS information)",,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
global_quarterly_yoy,4Q25,C_alos_only,0.22101847830944266,0.2139624914810103,,,,,,,1.0887093962249073,0.4634517617519651,-1.5521611579768724,0.9702147520154617,,"alos_only (28+ discontinued after 1Q24; phi held at 2Q24; ALOS HELD FLAT at the FY2025 level -- beyond the last annual anchor (mid-2025), so this quarter carries no new ALOS information)",,,,0.966,0.852,2.4669698615830926,11.0,45.0,False
