year,region,nights_m,gbv_musd,revenue_musd,nights_precision_m,source_10k,adr_computed,take_rate_pct,adr_stated,alos_nights,gbv_per_booking,bookings_m,nights_share_pct,gbv_share_pct,revenue_share_pct,nights_m_yoy_pct,gbv_musd_yoy_pct,adr_computed_yoy_pct,alos_nights_yoy_pct,adr_round_err_pct
2023,latam,64.0,6054.0,824.0,1.0,FY2023,94.59375,13.610835811034027,,3.9,368.915625,16.410256410256412,14.285714285714286,8.264620761207885,8.30896440455783,20.75471698113207,25.134353038445646,3.6268861099628014,-7.142857142857151,0.7812976866263761
2023,na,146.0,34941.0,4638.0,1.0,FY2023,239.32191780821918,13.273804413153602,,4.1,981.2198630136986,35.609756097560975,32.589285714285715,47.69972150931033,46.76817585963497,9.774436090225569,8.35762575203125,-1.2906559930126127,-2.3809523809523947,0.3424697700057443
2023,total,448.0,73252.0,9917.0,1.0,sum of regions,163.50892857142858,13.538196909299405,,3.9,637.6848214285715,114.87179487179488,100.0,100.0,100.0,13.705583756345185,15.883060178447138,1.9150127462235877,-4.8780487804877986,0.1116072818768962
2024,apac,61.0,7126.0,992.0,1.0,FY2024,116.81967213114754,13.920853213584058,,3.3,385.50491803278686,18.484848484848484,12.398373983739837,8.713195735107112,8.935326968113854,19.6078431372549,18.45079787234043,-0.9673657132891478,0.0,0.8197272055365175
2024,emea,201.0,29750.0,4135.0,1.0,FY2024,148.0099502487562,13.899159663865547,,3.8,562.4378109452736,52.89473684210527,40.853658536585364,36.376308324366626,37.245541343902,7.4866310160427885,13.372203803208716,5.475632394030017,-2.564102564102566,0.2487577582099337
2024,latam,76.0,7092.0,969.0,1.0,FY2024,93.3157894736842,13.663282571912013,,3.7,345.2684210526316,20.54054054054054,15.447154471544716,8.671622811307834,8.728157088812827,18.75,17.145688800792858,-1.3509989045954907,-5.128205128205121,0.657923213435487
2024,na,154.0,37816.0,5006.0,1.0,FY2024,245.55844155844156,13.237782949016289,,4.1,1006.7896103896103,37.5609756097561,31.30081300813008,46.238873129218426,45.09097459917132,5.47945205479452,8.228156034458078,2.605914162538192,0.0,0.3246787472460247
2024,total,492.0,81784.0,11102.0,1.0,sum of regions,166.22764227642276,13.57478235351658,,3.8,631.6650406504065,129.47368421052633,100.0,100.0,100.0,9.82142857142858,11.647463550483273,1.6627310378384053,-2.564102564102566,0.10162612121807423
2025,apac,70.0,8274.0,1156.0,1.0,FY2025,118.2,13.971476915639352,,3.3,390.06,21.212121212121215,13.133208255159476,9.065112355241967,9.443672902540643,14.754098360655732,16.110019646365426,1.1815885489755873,0.0,0.7143221592938447
2025,emea,215.0,34162.0,4729.0,1.0,FY2025,158.89302325581394,13.842866342719981,,3.8,603.793488372093,56.578947368421055,40.33771106941839,37.428374218005324,38.63246466791929,6.965174129353224,14.830252100840347,7.352933359390268,0.0,0.23255939729257644
2025,latam,90.0,8542.0,1160.0,1.0,FY2025,94.91111111111111,13.579957855303208,,3.6,341.68,25.0,16.885553470919323,9.358736975885531,9.476349971407565,18.421052631578938,20.44557247602934,1.7095945353136521,-2.7027027027027084,0.5555727028612029
2025,na,158.0,40295.0,5196.0,1.0,FY2025,255.03164556962025,12.894900111676387,,4.1,1045.629746835443,38.53658536585366,29.643527204502814,44.14777645086718,42.44751245813251,2.5974025974025983,6.555426274592757,3.8578205461220705,0.0,0.3164588653547676
2025,total,533.0,91273.0,12241.0,1.0,sum of regions,171.2439024390244,13.41141410932039,,3.7,633.6024390243903,144.05405405405403,100.0,100.0,100.0,8.333333333333325,11.602513939156811,3.017705174606289,-2.631578947368407,0.09380871294621611
