kind,metric,value,unit,scope,period,source,note
hedonic,caveat on using these coefficients,,qualitative,13 cities,2026,06_wtp_hedonic_coefs.csv,"the hedonic is a cross-sectional ASKING-price relationship fitted on the same Inside Airbnb panel that produces the size series here, so the ADR conversion is internally consistent but not independent evidence, and it is not causal"
external_breadth,"bedrooms per booked night, OneDrive markets",1.917,bedrooms,"apac, 7 markets",Jun-Jul 2026,"data/raw/theo_onedrive/AIRBNB DATA/raw/inside_airbnb, booking-weighted","capacity 4.28 guests, 28.8% of booked nights in 6+ capacity units. Single vintage per market, so no y/y is possible from this leg"
external_breadth,"bedrooms per booked night, OneDrive markets",1.419,bedrooms,"emea, 12 markets",Jun-Jul 2026,"data/raw/theo_onedrive/AIRBNB DATA/raw/inside_airbnb, booking-weighted","capacity 3.60 guests, 16.7% of booked nights in 6+ capacity units. Single vintage per market, so no y/y is possible from this leg"
external_breadth,"bedrooms per booked night, OneDrive markets",1.348,bedrooms,"latam, 4 markets",Jun-Jul 2026,"data/raw/theo_onedrive/AIRBNB DATA/raw/inside_airbnb, booking-weighted","capacity 3.41 guests, 10.7% of booked nights in 6+ capacity units. Single vintage per market, so no y/y is possible from this leg"
external_breadth,"bedrooms per booked night, OneDrive markets",1.676,bedrooms,"na, 5 markets",Jun-Jul 2026,"data/raw/theo_onedrive/AIRBNB DATA/raw/inside_airbnb, booking-weighted","capacity 3.98 guests, 23.5% of booked nights in 6+ capacity units. Single vintage per market, so no y/y is possible from this leg"
repo_level,"bedrooms per booked night, repo cities",1.743,bedrooms,"apac, 2 dumps",Jun-Jul 2026,"repo Inside Airbnb, booking-weighted","capacity 3.95 guests, 22.7% in 6+ capacity units; comparison base for the OneDrive breadth rows"
repo_level,"bedrooms per booked night, repo cities",1.498,bedrooms,"emea, 8 dumps",Jun-Jul 2026,"repo Inside Airbnb, booking-weighted","capacity 3.59 guests, 17.0% in 6+ capacity units; comparison base for the OneDrive breadth rows"
repo_level,"bedrooms per booked night, repo cities",1.543,bedrooms,"latam, 2 dumps",Jun-Jul 2026,"repo Inside Airbnb, booking-weighted","capacity 3.59 guests, 15.8% in 6+ capacity units; comparison base for the OneDrive breadth rows"
repo_level,"bedrooms per booked night, repo cities",1.853,bedrooms,"na, 15 dumps",Jun-Jul 2026,"repo Inside Airbnb, booking-weighted","capacity 4.57 guests, 32.1% in 6+ capacity units; comparison base for the OneDrive breadth rows"
external,"UK short-term-rental bookings, capacity 1-2 guests",43.0,pct of bookings,United Kingdom,June 2019,Lighthouse / VisitBritain short-term rental data,paired with the June 2026 row; the only external booked-by-size time series located
external,"UK short-term-rental bookings, capacity 1-2 guests",29.0,pct of bookings,United Kingdom,June 2026,Lighthouse / VisitBritain,-14pp over seven years
external,"UK short-term-rental bookings, capacity 6+ guests",21.0,pct of bookings,United Kingdom,June 2019,Lighthouse / VisitBritain,
external,"UK short-term-rental bookings, capacity 6+ guests",30.0,pct of bookings,United Kingdom,June 2026,Lighthouse / VisitBritain,"+9pp; large units overtook small ones. Corroborates direction and rough pace, but it is UK-only, whole short-term-rental-market rather than Airbnb-only, and spans seven years rather than one, so it cannot calibrate an annual pp contribution"
external,4+ bedroom homes fastest-growing listing category,,qualitative,Airbnb global,2Q26,ABNB 2Q26 earnings call via data/processed/airbnb_party_size_evidence.csv,"management colour, consistent with the wedge, not quantified"
external,booked stays by listing capacity: room/1-2/3-4/5-6/7+,13/12/23/20/33,pct of booked runs,"Inside Airbnb, 8 US cities",June 2026,data/processed/airbnb_party_size_evidence.csv,"cross-sectional only; an existing repo figure, consistent with the capacity distribution here"
negative_result,"Common Crawl person_capacity trend, year coefficient",0.1001,guests per year,"CC listing panel, region fixed effects",2021-2026,data/processed/cc_listing_panel.csv,"t=1.31, n=986. Not significant, and REJECTED as a size series in any case: n per year is 250-1129 first-observations, the crawled set is redrawn annually, there is no booking weight, and North America is absent. NOT USED."
negative_result,Common Crawl mean person_capacity,4.507,guests,n=879,2021,data/processed/cc_listing_panel.csv,"se 0.099; supply-quality panel, recorded for completeness, not used"
negative_result,Common Crawl mean person_capacity,4.773,guests,n=225,2022,data/processed/cc_listing_panel.csv,"se 0.207; supply-quality panel, recorded for completeness, not used"
negative_result,Common Crawl mean person_capacity,5.685,guests,n=143,2023,data/processed/cc_listing_panel.csv,"se 0.299; supply-quality panel, recorded for completeness, not used"
negative_result,Common Crawl mean person_capacity,5.558,guests,n=163,2024,data/processed/cc_listing_panel.csv,"se 0.263; supply-quality panel, recorded for completeness, not used"
negative_result,Common Crawl mean person_capacity,5.256,guests,n=90,2025,data/processed/cc_listing_panel.csv,"se 0.357; supply-quality panel, recorded for completeness, not used"
negative_result,booking_curves_by_market.csv as a size series,,n/a,120 markets,"one vintage, 2026",data/processed/booking_curves_by_market.csv,"REJECTED: the file carries country/region/market/snapshot_date/horizon/listing_nights/listings/blocked_nights/blocked_rate/median_min_nights and has no bedroom or capacity dimension at all, so it cannot contribute to a size series. It is also one vintage, so no y/y exists even if a size field were added"
negative_result,calendar_daily.csv.gz as a booked-size weight,,n/a,"5,816,795 rows",2019-2020,data/raw/theo_onedrive/.../airbnb_quant_panel_v1/calendar_daily.csv.gz,"REJECTED: scanned in full. Every row is source_family=legacy_inside_airbnb from the lrakla GitHub San Francisco mirror, country USA/United States only, dated 2019-2020. It contains no current Inside Airbnb calendar data, no non-US market, and no bedroom or capacity column, so it cannot produce a booked-size weight for any period relevant here"
