quarter,region,basket_yoy_pct,weight_sum,n_missing
2Q26,emea,1.9344999999999999,1.0,0
2Q26,latam,11.4344,1.0,0
2Q26,na,0.2494,1.0,0
3Q18,apac,0.0,1.0,5
3Q18,emea,0.0,1.0,3
3Q18,latam,0.0,1.0,3
3Q18,na,0.0,1.0,2
3Q19,apac,-3.3040000000000003,1.0,0
3Q19,emea,-4.404,1.0,0
3Q19,latam,-1.2005000000000001,1.0,0
3Q19,na,-0.1306,1.0,0
3Q20,apac,2.289,1.0,0
3Q20,emea,4.8525,1.0,0
3Q20,latam,-19.0406,1.0,0
3Q20,na,-0.31020000000000003,1.0,0
3Q21,apac,0.9966,1.0,0
3Q21,emea,2.1609999999999996,1.0,0
3Q21,latam,5.4405,1.0,0
3Q21,na,0.6626000000000001,1.0,0
3Q22,apac,-9.7454,1.0,0
3Q22,emea,-13.8585,1.0,0
3Q22,latam,-0.5285,1.0,0
3Q22,na,-0.30000000000000004,1.0,0
3Q23,apac,-3.1994,1.0,0
3Q23,emea,7.596,1.0,0
3Q23,latam,11.175200000000002,1.0,0
3Q23,na,0.1632,1.0,0
3Q24,apac,0.2783999999999999,1.0,0
3Q24,emea,1.333,1.0,0
3Q24,latam,-10.296100000000001,1.0,0
3Q24,na,-0.33140000000000003,1.0,0
3Q25,apac,-1.6133,1.0,0
3Q25,emea,5.372,1.0,0
3Q25,latam,1.5266,1.0,0
3Q25,na,-0.0474,1.0,0
3Q26,apac,1.4671000000000003,1.0,0
3Q26,emea,-1.1345,1.0,0
3Q26,latam,6.389600000000001,1.0,0
3Q26,na,0.02300000000000002,1.0,0
4Q18,apac,0.0,1.0,5
4Q18,emea,0.0,1.0,3
4Q18,latam,0.0,1.0,3
4Q18,na,0.0,1.0,2
4Q19,apac,-2.1526000000000005,1.0,0
4Q19,emea,-2.0615,1.0,0
4Q19,latam,-3.0141,1.0,0
4Q19,na,0.0584,1.0,0
4Q20,apac,4.8802,1.0,0
4Q20,emea,6.005999999999999,1.0,0
4Q20,latam,-15.5013,1.0,0
4Q20,na,-0.024000000000000007,1.0,0
4Q21,apac,-2.4318,1.0,0
4Q21,emea,-2.3375,1.0,0
4Q21,latam,-2.2433,1.0,0
4Q21,na,0.253,1.0,0
4Q22,apac,-11.187100000000001,1.0,0
4Q22,emea,-10.665,1.0,0
4Q22,latam,5.5483,1.0,0
4Q22,na,-0.4662,1.0,0
4Q23,apac,-1.2259000000000002,1.0,0
4Q23,emea,5.139,1.0,0
4Q23,latam,8.004100000000001,1.0,0
4Q23,na,0.2236,1.0,0
4Q24,apac,-1.1675,1.0,0
4Q24,emea,0.1885,1.0,0
4Q24,latam,-13.125499999999999,1.0,0
4Q24,na,-0.4676,1.0,0
4Q25,apac,-0.5641000000000002,1.0,0
4Q25,emea,7.343500000000001,1.0,0
4Q25,latam,8.1642,1.0,0
4Q25,na,0.22299999999999998,1.0,0
