"year","nationality","visitor_count"
"2017","Kuwait","401794"
"2018","Kuwait","341763"
"2019","Kuwait","327213"
"2020","Kuwait","83913"
"2016","Lebanon","131686"
"2017","Lebanon","142234"
"2018","Lebanon","132724"
"2019","Lebanon","130042"
"2020","Lebanon","54777"
"2016","Malaysia+Singapore","100775"
"2017","Malaysia+Singapore","102631"
"2018","Malaysia+Singapore","103220"
"2019","Malaysia+Singapore","109909"
"2020","Malaysia+Singapore","22421"
"2016","Nigeria","159936"
"2017","Nigeria","136186"
"2018","Nigeria","185239"
"2019","Nigeria","246428"
"2020","Nigeria","80552"
"2016","Nordics: Norway and Sweden","141929"
"2017","Nordics: Norway and Sweden","149835"
"2018","Nordics: Norway and Sweden","149443"
"2019","Nordics: Norway and Sweden","142091"
"2020","Nordics: Norway and Sweden","46594"
"2016","Oman","1036562"
"2017","Oman","862008"
"2018","Oman","828946"
"2019","Oman","1030236"
"2020","Oman","239884"
"2016","Pakistan","15787060"
"2017","Pakistan","597755"
"2018","Pakistan","512830"
"2019","Pakistan","500616"
"2020","Pakistan","212466"
"2016","Philippines","15921347"
"2017","Philippines","404786"
"2018","Philippines","386796"
"2019","Philippines","476552"
"2020","Philippines","103718"
"2016","Poland","16726842"
"2017","Poland","71719"
"2018","Poland","77722"
"2019","Poland","80190"
"2020","Poland","29202"
"2016","Republic of Korea","5505236"
"2017","Republic of Korea","126847"
"2018","Republic of Korea","120062"
"2019","Republic of Korea","120617"
"2020","Republic of Korea","27414"
"2016","Russia","239893"
"2017","Russia","529663"
"2018","Russia","677766"
"2019","Russia","727804"
"2020","Russia","295673"
"2016","Saudi Arabia","1637544"
"2017","Saudi Arabia","1528503"
"2018","Saudi Arabia","1567932"
"2019","Saudi Arabia","1564692"
"2020","Saudi Arabia","400353"
"2016","United Kingdom","1244756"
"2017","United Kingdom","1264643"
"2018","United Kingdom","1212004"
"2019","United Kingdom","1200278"
"2020","United Kingdom","391774"
"2016","USA","607087"
"2017","USA","633042"
"2018","USA","655892"
"2019","USA","666523"
"2020","USA","191171"
"2016","Overall","14870925"
"2017","Overall","15787060"
"2018","Overall","15921347"
"2019","Overall","16726842"
"2020","Overall","5505236"
"2021","Australia+New Zealand","39879"
"2021","Bahrain","66345"
"2021","China","76728"
"2021","CIS: Azerbaijan and Kazakhstan","181540"
"2021","Eastern Europe : Hungary + Czech Republic + Romania","119908"
"2021","Egypt","217751"
"2021","France","290731"
"2021","Germany","240460"
"2021","India","910054"
"2021","Indonesia","39699"
"2021","Iran","154470"
"2021","Italy","105706"
"2021","Jordan","77943"
"2021","Kuwait","74932"
"2021","Lebanon","80571"
"2021","Malaysia+Singapore","16250"
"2021","Nigeria","56100"
"2021","Nordics: Norway and Sweden","57829"
"2021","Oman","279536"
"2021","Pakistan","246903"
"2021","Philippines","70913"
"2021","Poland","51948"
"2021","Republic of Korea","12192"
"2021","Russia","444463"
"2021","Saudi Arabia","491483"
"2021","United Kingdom","419627"
"2021","USA","311087"
"2021","Overall","7281823"
"2022","Australia+New Zealand","213614"
"2022","Bahrain","95876"
"2022","China","177096"
"2022","CIS: Azerbaijan and Kazakhstan","264564"
"2022","Eastern Europe : Hungary + Czech Republic + Romania","191817"
"2022","Egypt","287560"
"2022","France","364268"
"2022","Germany","421829"
"2022","India","1842003"
"2022","Indonesia","55016"
"2022","Iran","327706"
"2022","Italy","211612"
"2022","Jordan","121050"
"2022","Kuwait","259522"
"2022","Lebanon","117300"
"2022","Malaysia+Singapore","84604"
"2022","Nigeria","122959"
"2022","Nordics: Norway and Sweden","87884"
"2022","Oman","1311142"
"2022","Pakistan","355727"
"2022","Philippines","157602"
"2022","Poland","83570"
"2022","Republic of Korea","51869"
"2022","Russia","757504"
"2022","Saudi Arabia","1216290"
"2022","United Kingdom","1043115"
"2022","USA","590051"
"2022","Overall","14360945"
