entry_date,eu40_flt_da,eu_core_flt_da,eu40_flt_o,n_states
2019-04-06,33501,30697,47727,40
2019-04-07,35864,32654,48376,40
2019-04-08,36580,33466,45624,40
2019-04-09,35600,32491,44466,40
2019-04-10,36816,33540,46799,40
2019-04-11,37685,34141,47106,40
2019-04-12,39287,35629,49321,40
2019-04-13,36003,32339,52437,40
2019-04-14,37299,33450,51404,40
2019-04-15,37507,33865,47544,40
2019-04-16,36536,33008,46411,40
2019-04-17,37485,33837,48071,40
2019-04-18,39219,35231,49651,40
2019-04-19,37592,33773,48888,40
2019-04-20,35243,31401,52133,40
2019-04-21,36390,32297,51295,40
2019-04-22,37410,33556,48505,40
2019-04-23,37448,33693,47276,40
2019-04-24,37425,33601,47955,40
2019-04-25,38625,34585,49088,40
2019-04-26,38952,34945,49693,40
2019-04-27,36267,32002,53269,40
2019-04-28,38244,33762,53339,40
2019-04-29,37989,33927,48905,40
2019-04-30,37161,33141,48585,40
2019-05-01,36895,32852,50161,40
2019-05-02,38834,34600,50474,40
2019-05-03,40374,36321,52272,40
2019-05-04,37311,33154,55552,40
2019-05-05,39557,35156,54998,40
2019-05-06,39213,35231,50341,40
2019-05-07,38687,34964,49595,40
2019-05-08,38710,34978,50345,40
2019-05-09,37453,33671,49466,40
2019-05-10,41255,37331,52922,40
2019-05-11,37507,33566,55539,40
2019-05-12,39618,35416,55016,40
2019-05-13,39490,35667,50272,40
2019-05-14,38106,34513,48788,40
2019-05-15,38761,35040,50221,40
2019-05-16,39741,35891,50851,40
2019-05-17,40719,36880,52649,40
2019-05-18,37704,33876,56506,40
2019-05-19,39654,35504,55178,40
2019-05-20,39806,35913,51504,40
2019-05-21,37735,34104,49800,40
2019-05-22,39419,35703,51556,40
2019-05-23,41097,37127,52735,40
2019-05-24,42454,38432,55201,40
2019-05-25,39229,35161,59013,40
2019-05-26,40862,36522,57320,40
2019-05-27,40860,36863,52621,40
2019-05-28,39664,35792,52298,40
2019-05-29,41447,37481,54248,40
2019-05-30,40573,36349,54440,40
2019-05-31,41458,37178,55468,40
2019-06-01,40589,36213,60694,40
2019-06-02,44022,39359,61278,40
2019-06-03,42127,37751,55658,40
2019-06-04,41304,37038,55041,40
2019-06-05,42209,37831,56587,40
2019-06-06,42765,38154,56569,40
2019-06-07,44440,39747,58280,40
2019-06-08,41261,36646,62697,40
2019-06-09,42046,37249,59807,40
2019-06-10,42822,38091,56892,40
2019-06-11,42434,37899,56795,40
2019-06-12,43035,38420,57441,40
2019-06-13,44059,39272,58327,40
2019-06-14,45141,40351,59404,40
2019-06-15,41902,37155,62856,40
2019-06-16,43806,38886,62613,40
2019-06-17,43957,39262,58359,40
2019-06-18,43045,38459,57971,40
2019-06-19,43670,39041,58970,40
2019-06-20,44118,39209,59472,40
2019-06-21,44955,40046,60452,40
2019-06-22,42065,37305,63058,40
2019-06-23,44176,39138,63039,40
2019-06-24,44307,39557,59114,40
2019-06-25,43378,38694,58776,40
2019-06-26,44232,39453,59948,40
2019-06-27,45326,40284,60573,40
2019-06-28,46275,41269,61311,40
2019-06-29,43183,38279,64657,40
2019-06-30,44973,39844,63987,40
2019-07-01,45166,40014,61601,40
2019-07-02,44310,39306,60632,40
2019-07-03,44715,39709,61636,40
2019-07-04,45575,40388,61629,40
2019-07-05,46374,41230,62084,40
2019-07-06,43391,38362,65289,40
2019-07-07,44533,39374,64284,40
2019-07-08,45055,40007,61425,40
2019-07-09,44377,39369,60770,40
2019-07-10,44695,39676,62010,40
2019-07-11,45579,40322,61952,40
2019-07-12,45818,40731,62107,40
2019-07-13,43748,38706,66202,40
2019-07-14,44844,39638,65094,40
2019-07-15,45313,40158,62018,40
2019-07-16,44234,39136,61256,40
2019-07-17,44584,39533,61836,40
2019-07-18,45222,39955,61683,40
2019-07-19,46014,40828,62608,40
2019-07-20,43863,38728,65782,40
2019-07-21,44619,39365,64589,40
2019-07-22,44822,39697,61654,40
2019-07-23,44188,39076,61208,40
2019-07-24,44154,39088,62166,40
2019-07-25,44562,39211,61023,40
2019-07-26,45547,40275,62404,40
2019-07-27,43382,38252,65106,40
2019-07-28,44667,39351,64871,40
2019-07-29,44969,39785,61645,40
2019-07-30,43967,38768,61207,40
2019-07-31,44612,39428,62537,40
2019-08-01,45208,39802,62501,40
2019-08-02,45441,40116,62145,40
2019-08-03,43976,38795,66156,40
2019-08-04,44791,39461,64678,40
2019-08-05,44274,39066,60849,40
2019-08-06,43230,38121,59972,40
2019-08-07,43298,38180,61465,40
2019-08-08,44412,39046,61268,40
2019-08-09,45254,39893,61807,40
2019-08-10,43790,38534,65787,40
2019-08-11,44420,39084,64193,40
2019-08-12,43951,38771,59804,40
2019-08-13,43303,38150,60038,40
2019-08-14,44067,38838,61434,40
2019-08-15,43923,38538,60818,40
2019-08-16,44883,39547,60959,40
2019-08-17,43515,38220,65098,40
2019-08-18,44887,39451,63882,40
2019-08-19,44293,39045,59735,40
2019-08-20,43591,38308,59761,40
2019-08-21,44280,39027,60801,40
2019-08-22,45059,39625,60989,40
2019-08-23,45710,40336,61502,40
2019-08-24,43243,37966,65018,40
2019-08-25,44576,39234,64057,40
2019-08-26,44748,39471,60474,40
2019-08-27,43918,38687,59612,40
2019-08-28,44818,39627,61589,40
2019-08-29,45360,40018,61485,40
2019-08-30,45973,40667,62125,40
2019-08-31,43516,38321,65404,40
2019-09-01,44257,39010,63168,40
2019-09-02,44155,39116,58844,40
2019-09-03,43764,38820,58399,40
2019-09-04,44083,39148,59299,40
2019-09-05,44866,39660,59299,40
2019-09-06,44871,39909,59479,40
2019-09-07,42160,37243,63228,40
2019-09-08,44333,39220,62345,40
2019-09-09,42749,37915,56673,40
2019-09-10,41845,37086,56235,40
2019-09-11,43338,38674,58428,40
2019-09-12,44373,39339,58868,40
2019-09-13,44954,40066,58850,40
2019-09-14,41805,36967,62797,40
2019-09-15,43951,38903,61689,40
2019-09-16,43419,38720,57515,40
2019-09-17,42427,37870,56977,40
2019-09-18,43010,38466,58351,40
2019-09-19,44023,39194,58510,40
2019-09-20,44541,39825,59206,40
2019-09-21,41007,36314,62110,40
2019-09-22,43093,38171,61394,40
2019-09-23,42699,38157,56069,40
2019-09-24,41515,37097,55735,40
2019-09-25,42740,38112,58105,40
2019-09-26,43340,38568,57359,40
2019-09-27,43452,38706,57618,40
2019-09-28,40788,36149,61608,40
2019-09-29,42530,37781,60385,40
2019-09-30,41936,37597,55355,40
2019-10-01,40211,35775,53391,40
2019-10-02,41331,36581,55989,40
2019-10-03,41592,36979,55738,40
2019-10-04,42097,37623,56152,40
2019-10-05,38926,34483,59151,40
2019-10-06,41324,36626,58582,40
2019-10-07,40630,36267,53553,40
2019-10-08,38532,34643,50747,40
2019-10-09,38770,34956,50706,40
2019-10-10,40701,36234,53794,40
2019-10-11,41878,37349,55421,40
2019-10-12,38268,33879,57795,40
2019-10-13,40347,35674,57072,40
2019-10-14,40012,35782,52330,40
2019-10-15,38381,34194,51360,40
2019-10-16,38954,34708,52215,40
2019-10-17,40422,35996,52957,40
2019-10-18,41257,36845,54743,40
2019-10-19,37837,33488,57300,40
2019-10-20,39546,35053,55840,40
2019-10-21,39895,35603,51273,40
2019-10-22,38030,33918,50497,40
2019-10-23,39126,34972,52092,40
2019-10-24,39885,35627,52131,40
2019-10-25,39962,35766,52716,40
2019-10-26,37263,33119,55978,40
2019-10-27,35926,31795,50475,40
2019-10-28,35609,31841,46549,40
2019-10-29,33249,29721,43786,40
2019-10-30,33838,30233,44360,40
2019-10-31,34983,31253,45281,40
2019-11-01,34556,30840,45547,40
2019-11-02,30633,26977,47249,40
2019-11-03,34516,30621,47785,40
2019-11-04,34257,30715,43133,40
2019-11-05,31320,28041,39949,40
2019-11-06,31020,27710,39553,40
2019-11-07,31738,28383,39854,40
2019-11-08,33898,30478,42888,40
2019-11-09,27760,24460,42149,40
2019-11-10,32124,28531,43944,40
2019-11-11,33014,29654,41543,40
2019-11-12,29523,26405,37690,40
2019-11-13,29666,26554,38539,40
2019-11-14,31888,28614,39999,40
2019-11-15,34366,30962,42827,40
2019-11-16,27313,24114,41582,40
2019-11-17,31745,28296,43321,40
2019-11-18,32617,29411,40691,40
2019-11-19,29013,26025,37181,40
2019-11-20,29777,26715,38227,40
2019-11-21,31475,28281,39261,40
2019-11-22,34094,30805,42463,40
2019-11-23,26860,23748,40703,40
2019-11-24,31401,27980,42743,40
2019-11-25,31178,28015,39249,40
2019-11-26,28749,25835,36586,40
2019-11-27,29380,26375,37439,40
2019-11-28,31079,27965,38801,40
2019-11-29,33453,30217,41312,40
2019-11-30,26638,23576,39965,40
2019-12-01,31216,27871,42176,40
2019-12-02,32286,29121,39857,40
2019-12-03,29133,26235,37083,40
2019-12-04,30278,27381,38286,40
2019-12-05,30327,27253,38721,40
2019-12-06,33098,29950,41943,40
2019-12-07,26841,23864,40190,40
2019-12-08,31296,28033,42156,40
2019-12-09,32788,29683,40582,40
2019-12-10,28953,26056,37055,40
2019-12-11,30406,27436,38704,40
2019-12-12,31747,28614,39807,40
2019-12-13,33734,30571,42006,40
2019-12-14,28182,25144,40966,40
2019-12-15,31912,28602,42886,40
2019-12-16,32470,29359,40535,40
2019-12-17,29684,26716,38007,40
2019-12-18,31538,28416,40039,40
2019-12-19,34145,30727,43261,40
2019-12-20,35461,31984,45175,40
2019-12-21,31900,28585,45792,40
2019-12-22,33070,29440,45425,40
2019-12-23,32071,28642,41960,40
2019-12-24,23609,20534,34570,40
2019-12-25,17111,14216,28368,40
2019-12-26,29484,26046,39728,40
2019-12-27,32803,29315,42656,40
2019-12-28,30443,27056,44151,40
2019-12-29,31946,28300,43858,40
2019-12-30,31084,27653,40840,40
2019-12-31,24506,21650,34679,40
2020-01-01,25344,22418,35624,40
2020-01-02,32564,29044,42856,40
2020-01-03,33156,29693,43694,40
2020-01-04,30947,27475,45653,40
2020-01-05,33578,29889,46239,40
2020-01-06,32079,28751,42035,40
2020-01-07,28870,25903,38062,40
2020-01-08,28631,25514,37570,40
2020-01-09,29698,26477,38493,40
2020-01-10,32202,28947,40640,40
2020-01-11,27355,24207,41107,40
2020-01-12,30802,27392,42560,40
2020-01-13,30250,27167,38280,40
2020-01-14,25834,22960,34323,40
2020-01-15,27278,24409,35567,40
2020-01-16,29341,26300,37221,40
2020-01-17,31776,28648,40002,40
2020-01-18,26404,23321,39825,40
2020-01-19,30526,27212,40889,40
2020-01-20,30490,27372,38660,40
2020-01-21,27108,24199,34745,40
2020-01-22,27288,24426,35611,40
2020-01-23,29475,26383,37298,40
2020-01-24,32305,29195,40502,40
2020-01-25,26253,23271,39437,40
2020-01-26,30211,26987,40534,40
2020-01-27,30461,27451,37627,40
2020-01-28,26455,23641,33739,40
2020-01-29,27336,24500,35051,40
2020-01-30,29440,26417,36737,40
2020-01-31,32321,29195,40189,40
2020-02-01,27104,24031,39977,40
2020-02-02,30560,27250,40554,40
2020-02-03,30706,27682,37706,40
2020-02-04,27252,24450,34610,40
2020-02-05,27974,25230,35256,40
2020-02-06,30185,27182,37388,40
2020-02-07,32491,29436,40288,40
2020-02-08,28019,25040,40909,40
2020-02-09,26972,23832,37757,40
2020-02-10,28408,25434,36362,40
2020-02-11,27651,24880,34722,40
2020-02-12,29041,26156,36093,40
2020-02-13,31330,28278,38217,40
2020-02-14,34100,30907,41472,40
2020-02-15,29598,26563,42086,40
2020-02-16,31251,27992,41822,40
2020-02-17,32032,28993,39145,40
2020-02-18,29264,26419,36719,40
2020-02-19,29837,26886,37245,40
2020-02-20,31550,28429,39034,40
2020-02-21,34452,31229,42237,40
2020-02-22,30440,27340,43171,40
2020-02-23,32341,29023,42274,40
2020-02-24,32605,29514,39987,40
2020-02-25,29857,27003,37636,40
2020-02-26,30092,27235,37741,40
2020-02-27,31355,28359,38574,40
2020-02-28,33812,30717,41909,40
2020-02-29,29418,26395,42453,40
2020-03-01,32215,29003,42605,40
2020-03-02,32061,29073,39783,40
2020-03-03,29341,26525,36576,40
2020-03-04,29559,26766,37488,40
2020-03-05,30781,27820,38324,40
2020-03-06,32650,29668,40866,40
2020-03-07,27901,25064,41097,40
2020-03-08,30639,27621,41042,40
2020-03-09,29701,26958,36863,40
2020-03-10,26123,23533,33730,40
2020-03-11,25554,23043,33425,40
2020-03-12,26872,24383,34093,40
2020-03-13,28314,25778,36094,40
2020-03-14,23487,21091,35126,40
2020-03-15,23988,21546,34373,40
2020-03-16,21476,19497,30057,40
2020-03-17,16265,14886,24860,40
2020-03-18,14669,13423,24026,40
2020-03-19,13714,12561,21828,40
2020-03-20,13425,12403,21031,40
2020-03-21,9097,8505,17552,40
2020-03-22,8126,7664,13866,40
2020-03-23,6458,6045,10842,40
2020-03-24,5882,5442,9854,40
2020-03-25,5305,4906,8426,40
2020-03-26,5323,4896,8134,40
2020-03-27,5132,4694,7893,40
2020-03-28,3408,3149,6627,40
2020-03-29,3260,3055,6247,40
2020-03-30,3468,3259,5533,40
2020-03-31,3636,3420,5981,40
2020-04-01,3625,3379,5674,40
2020-04-02,3499,3227,5800,40
2020-04-03,3658,3365,5902,40
2020-04-04,2535,2313,5034,40
2020-04-05,2445,2257,4882,40
2020-04-06,3038,2812,4810,40
2020-04-07,3218,2950,5031,40
2020-04-08,3359,3086,5501,40
2020-04-09,3411,3135,5661,40
2020-04-10,2859,2581,5095,40
2020-04-11,2140,1932,4630,40
2020-04-12,1862,1690,4348,40
2020-04-13,2138,1941,4340,40
2020-04-14,3009,2741,4587,40
2020-04-15,3300,3044,5352,40
2020-04-16,3413,3133,5375,40
2020-04-17,3317,3033,5384,40
2020-04-18,2232,1975,4586,40
2020-04-19,2165,1962,4624,40
2020-04-20,3149,2902,5222,40
2020-04-21,3285,2997,5339,40
2020-04-22,3492,3140,5985,40
2020-04-23,3712,3353,6226,40
2020-04-24,3601,3280,5934,40
2020-04-25,2378,2156,5361,40
2020-04-26,2421,2211,5343,40
2020-04-27,3192,2917,5741,40
2020-04-28,3503,3176,6084,40
2020-04-29,3688,3368,6600,40
2020-04-30,3704,3353,6345,40
2020-05-01,2905,2626,6421,40
2020-05-02,2377,2138,5727,40
2020-05-03,2536,2292,5800,40
2020-05-04,3421,3098,6019,40
2020-05-05,3609,3252,6306,40
2020-05-06,3918,3577,6993,40
2020-05-07,3994,3634,6954,40
2020-05-08,3819,3475,6841,40
2020-05-09,2749,2463,6070,40
2020-05-10,2777,2504,6221,40
2020-05-11,3681,3401,6452,40
2020-05-12,3971,3633,6768,40
2020-05-13,4042,3641,7162,40
2020-05-14,4189,3778,7395,40
2020-05-15,4323,3916,7618,40
2020-05-16,2916,2613,6799,40
2020-05-17,2978,2704,6606,40
2020-05-18,3940,3603,6850,40
2020-05-19,4105,3773,6921,40
2020-05-20,4631,4289,7927,40
2020-05-21,4127,3703,7638,40
2020-05-22,4178,3774,7399,40
2020-05-23,3151,2822,7007,40
2020-05-24,3284,2991,6797,40
2020-05-25,3951,3668,6666,40
2020-05-26,4419,4046,7312,40
2020-05-27,4822,4436,7937,40
2020-05-28,4661,4254,7754,40
2020-05-29,4716,4339,7827,40
2020-05-30,3243,2908,7022,40
2020-05-31,3225,2908,6912,40
2020-06-01,4116,3795,6940,40
2020-06-02,4549,4181,7304,40
2020-06-03,5263,4874,8155,40
2020-06-04,5211,4781,8254,40
2020-06-05,5336,4875,8625,40
2020-06-06,3964,3597,7964,40
2020-06-07,4226,3841,7858,40
2020-06-08,4882,4523,7723,40
2020-06-09,4945,4577,7680,40
2020-06-10,5447,4966,8568,40
2020-06-11,5324,4826,8492,40
2020-06-12,5750,5197,8874,40
2020-06-13,4076,3610,8127,40
2020-06-14,4475,4020,8597,40
2020-06-15,6815,6177,9730,40
2020-06-16,6536,5945,9252,40
2020-06-17,6991,6317,10077,40
2020-06-18,7116,6491,9980,40
2020-06-19,7583,6810,10824,40
2020-06-20,5618,4989,9906,40
2020-06-21,6643,5969,10241,40
2020-06-22,7687,6996,10398,40
2020-06-23,7425,6783,10026,40
2020-06-24,8006,7268,11028,40
2020-06-25,8154,7441,11038,40
2020-06-26,8852,7955,12566,40
2020-06-27,6874,6167,11445,40
2020-06-28,7392,6643,11756,40
2020-06-29,8311,7554,11432,40
2020-06-30,8238,7541,11378,40
2020-07-01,13191,12087,17941,40
2020-07-02,12867,11751,17686,40
2020-07-03,14679,13405,19945,40
2020-07-04,13014,11946,20312,40
2020-07-05,13420,12299,19600,40
2020-07-06,13477,12447,17813,40
2020-07-07,12354,11433,17136,40
2020-07-08,13506,12441,17959,40
2020-07-09,13466,12389,18020,40
2020-07-10,15547,14321,20758,40
2020-07-11,13941,12897,21675,40
2020-07-12,14262,13185,20418,40
2020-07-13,14202,13103,18667,40
2020-07-14,13141,12142,17734,40
2020-07-15,14999,13755,20082,40
2020-07-16,15609,14254,20960,40
2020-07-17,17283,15824,22865,40
2020-07-18,16228,14889,25030,40
2020-07-19,16320,14995,23360,40
2020-07-20,15943,14692,21286,40
2020-07-21,14847,13670,19990,40
2020-07-22,15392,14169,21193,40
2020-07-23,16057,14598,21700,40
2020-07-24,17788,16270,23724,40
2020-07-25,17330,15943,26510,40
2020-07-26,16977,15609,24476,40
2020-07-27,16200,14867,21264,40
2020-07-28,14902,13618,20388,40
2020-07-29,15845,14529,21506,40
2020-07-30,16350,14926,21910,40
2020-07-31,18530,17045,24588,40
2020-08-01,20360,18682,30578,40
2020-08-02,20162,18515,28714,40
2020-08-03,19107,17566,25440,40
2020-08-04,17390,15968,23946,40
2020-08-05,18367,16791,25316,40
2020-08-06,18430,16841,25391,40
2020-08-07,20781,19024,27831,40
2020-08-08,20481,18727,31014,40
2020-08-09,20247,18652,29116,40
2020-08-10,19478,17732,25977,40
2020-08-11,17308,15722,23881,40
2020-08-12,18255,16611,25140,40
2020-08-13,18242,16558,25286,40
2020-08-14,20889,18961,27909,40
2020-08-15,20470,18542,31656,40
2020-08-16,20894,19054,29734,40
2020-08-17,19460,17656,26248,40
2020-08-18,17440,15847,23913,40
2020-08-19,18384,16655,25268,40
2020-08-20,18781,16987,25470,40
2020-08-21,20841,18814,27999,40
2020-08-22,20105,18185,31159,40
2020-08-23,20725,18845,29273,40
2020-08-24,19486,17705,25863,40
2020-08-25,17581,15890,24075,40
2020-08-26,18269,16491,25278,40
2020-08-27,19051,17185,25754,40
2020-08-28,21322,19244,28481,40
2020-08-29,20055,18109,31150,40
2020-08-30,20761,18792,29759,40
2020-08-31,19831,17975,26314,40
2020-09-01,16906,15194,23733,40
2020-09-02,17010,15268,24347,40
2020-09-03,17804,15925,24555,40
2020-09-04,20046,18014,27285,40
2020-09-05,18566,16590,29543,40
2020-09-06,19401,17468,28191,40
2020-09-07,18004,16140,24442,40
2020-09-08,15635,14033,21986,40
2020-09-09,16349,14656,23623,40
2020-09-10,17153,15316,23750,40
2020-09-11,19424,17457,26661,40
2020-09-12,17257,15366,28189,40
2020-09-13,18820,16932,27469,40
2020-09-14,17029,15276,23187,40
2020-09-15,15041,13462,21531,40
2020-09-16,15644,13929,22727,40
2020-09-17,16309,14460,22716,40
2020-09-18,18939,16943,25849,40
2020-09-19,16426,14542,27298,40
2020-09-20,17837,15924,26573,40
2020-09-21,16364,14681,22674,40
2020-09-22,14254,12725,20080,40
2020-09-23,15016,13327,22247,40
2020-09-24,15729,13940,21635,40
2020-09-25,18401,16358,25256,40
2020-09-26,15983,14073,26935,40
2020-09-27,17288,15408,25646,40
2020-09-28,15850,14274,21693,40
2020-09-29,13947,12358,19777,40
2020-09-30,15004,13258,21625,40
2020-10-01,14814,12972,20709,40
2020-10-02,17141,15137,23983,40
2020-10-03,15014,13057,25809,40
2020-10-04,15920,13975,24414,40
2020-10-05,14777,13083,20561,40
2020-10-06,12267,10832,17320,40
2020-10-07,13388,11722,19168,40
2020-10-08,14016,12289,19585,40
2020-10-09,16708,14755,23078,40
2020-10-10,14961,13012,25724,40
2020-10-11,15773,13794,24213,40
2020-10-12,14330,12645,20052,40
2020-10-13,11784,10344,17279,40
2020-10-14,12970,11333,19090,40
2020-10-15,12831,11146,17618,40
2020-10-16,16882,14973,24123,40
2020-10-17,14951,13084,25704,40
2020-10-18,15304,13372,23315,40
2020-10-19,13598,12029,18982,40
2020-10-20,11092,9763,16328,40
2020-10-21,12092,10515,18101,40
2020-10-22,12867,11219,18549,40
2020-10-23,15377,13580,21698,40
2020-10-24,14338,12545,25056,40
2020-10-25,14408,12587,22202,40
2020-10-26,13097,11555,17951,40
2020-10-27,10405,9140,15148,40
2020-10-28,11767,10271,17280,40
2020-10-29,12312,10772,17725,40
2020-10-30,14850,13162,20754,40
2020-10-31,12760,11123,22265,40
2020-11-01,13835,12097,21638,40
2020-11-02,12056,10627,16593,40
2020-11-03,9578,8395,13893,40
2020-11-04,10477,9110,15311,40
2020-11-05,10301,8862,15433,40
2020-11-06,12567,11048,17612,40
2020-11-07,9953,8504,17864,40
2020-11-08,11446,9841,18179,40
2020-11-09,10031,8725,14587,40
2020-11-10,8251,7117,12502,40
2020-11-11,8832,7577,13608,40
2020-11-12,9106,7796,14154,40
2020-11-13,10771,9350,15533,40
2020-11-14,7961,6696,14795,40
2020-11-15,9567,8095,15729,40
2020-11-16,9210,7856,13370,40
2020-11-17,7418,6393,11354,40
2020-11-18,8484,7319,12723,40
2020-11-19,8611,7408,13025,40
2020-11-20,9624,8285,14191,40
2020-11-21,7057,5920,13535,40
2020-11-22,8181,6871,14132,40
2020-11-23,8140,6968,12107,40
2020-11-24,6731,5798,10684,40
2020-11-25,7985,6810,12450,40
2020-11-26,7888,6728,12159,40
2020-11-27,9440,8162,14246,40
2020-11-28,6787,5667,13225,40
2020-11-29,8055,6740,13981,40
2020-11-30,8437,7247,12324,40
2020-12-01,7087,6112,10891,40
2020-12-02,8413,7242,12783,40
2020-12-03,8686,7481,13549,40
2020-12-04,10021,8666,15045,40
2020-12-05,7542,6376,14648,40
2020-12-06,8537,7179,14670,40
2020-12-07,8645,7479,12896,40
2020-12-08,7553,6595,11703,40
2020-12-09,8831,7670,13519,40
2020-12-10,9523,8281,14417,40
2020-12-11,11267,9822,16198,40
2020-12-12,8674,7413,15999,40
2020-12-13,9509,8107,16136,40
2020-12-14,9705,8403,14368,40
2020-12-15,9005,7858,13663,40
2020-12-16,10242,8998,15395,40
2020-12-17,12448,10987,18374,40
2020-12-18,15393,13674,21580,40
2020-12-19,13969,12333,22906,40
2020-12-20,13718,12118,21288,40
2020-12-21,12088,10595,17490,40
2020-12-22,10573,9295,15517,40
2020-12-23,12474,11041,17685,40
2020-12-24,8594,7251,14017,40
2020-12-25,5599,4288,10776,40
2020-12-26,9244,7893,15961,40
2020-12-27,11281,9792,17327,40
2020-12-28,10245,8884,14915,40
2020-12-29,8740,7572,12956,40
2020-12-30,10273,8938,15398,40
2020-12-31,6560,5490,10964,40
2021-01-01,6321,5260,10955,40
2021-01-02,11044,9609,18256,40
2021-01-03,13318,11721,20097,40
2021-01-04,11557,10120,16442,40
2021-01-05,9098,7920,13904,40
2021-01-06,9191,7929,14631,40
2021-01-07,9185,7923,14298,40
2021-01-08,10967,9471,16596,40
2021-01-09,9501,8086,17200,40
2021-01-10,10863,9330,17876,40
2021-01-11,8763,7418,13117,40
2021-01-12,6977,5975,11282,40
2021-01-13,7607,6492,12275,40
2021-01-14,8037,6824,12671,40
2021-01-15,9501,8062,14352,40
2021-01-16,7359,6170,13776,40
2021-01-17,8118,6803,14175,40
2021-01-18,8005,6827,11923,40
2021-01-19,6439,5532,10295,40
2021-01-20,7429,6292,11315,40
2021-01-21,7497,6302,11482,40
2021-01-22,8884,7506,13172,40
2021-01-23,6657,5513,12561,40
2021-01-24,7468,6152,12971,40
2021-01-25,7660,6428,12018,40
2021-01-26,6507,5581,10054,40
2021-01-27,7132,6117,11337,40
2021-01-28,7558,6400,12028,40
2021-01-29,8667,7321,13289,40
2021-01-30,6778,5653,12862,40
2021-01-31,7542,6265,13272,40
2021-02-01,7422,6328,11245,40
2021-02-02,6226,5302,9919,40
2021-02-03,7158,6085,11298,40
2021-02-04,7497,6343,11848,40
2021-02-05,8622,7272,13320,40
2021-02-06,6720,5590,12970,40
2021-02-07,6613,5375,11960,40
2021-02-08,6710,5624,10819,40
2021-02-09,5769,4885,9609,40
2021-02-10,7139,6062,11704,40
2021-02-11,7686,6507,12245,40
