item,value
"sens reversion-heavy 0.30/0.10/0.35/0.25: P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1430, 0.1662, 3.184, 3.151, 1.172"
"sens residual all persistence: P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1811, 0.0408, 3.584, 3.581, 0.902"
"sens residual all momentum: P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.3619, 0.0112, 4.084, 4.081, 0.903"
"sens residual all AR(1): P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1361, 0.1740, 3.106, 3.104, 1.179"
"sens residual all mean-rev 3.6: P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.0193, 0.3677, 2.335, 2.332, 0.999"
"sens FX all midpoint: P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1365, 0.0966, 3.408, 3.347, 0.990"
"sens FX all baskets: P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.3765, 0.0314, 4.094, 4.036, 1.025"
"sens FX all euro: P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.0379, 0.2531, 2.711, 2.657, 1.041"
"sens mix -1.45 (geo drag at band low): P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1100, 0.1717, 3.106, 3.059, 1.122"
"sens mix -1.75 (LatAm mapped low): P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.0643, 0.2420, 2.806, 2.759, 1.122"
"sens mix -0.94 (geo drag at band high): P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.2323, 0.0872, 3.616, 3.569, 1.122"
"sens mix sd 0.6: P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1953, 0.1365, 3.386, 3.349, 1.223"
"sens K line 0 (fee mechanics not in ADR): P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1337, 0.1476, 3.226, 3.179, 1.122"
"sens K line +0.93 (band top): P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.4110, 0.0369, 4.156, 4.109, 1.122"
"gaussian N(3.43,0.93) with-K card raw: P(>=4.4), P(<=2.0)","0.1477, 0.0615"
"gaussian N(3.58,0.93) with-K card + half bias: P(>=4.4), P(<=2.0)","0.1882, 0.0442"
"gaussian N(3.74,0.93) bias-corrected: P(>=4.4), P(<=2.0)","0.2382, 0.0303"
"gaussian auditor N(3.50,1.05): P(>=4.4), P(<=2.0)","0.1957, 0.0766"
"normal carrying both revision-2 tails: mu, sd","3.33, 1.13"
"history 1Q23-2Q26: n, reported>=4.4, FX<=0 quarters, reported>=4.4 & FX<=0, reported<=2.0, reported<=2.0 & FX>=-0.5","14, 4, 6, 0, 5, 0"
"MODL: n, low/mean/high growth, range/4 sd, P(>=4.4), P(<=2.0), 178.83 pct of range, 174.72 pct of range","26, 1.413/3.369/4.571, 0.789, 0.0958, 0.0415, 94.6, 18.7"
"MODL at the card RMSE 0.93: P(>=4.4), P(<=2.0)","0.1330, 0.0699"
