item,value
"joint | fx >= +0.2 (baskets right): mass, P(>=4.4), P(<=2.0)","0.084, 0.498, 0.015"
"joint | fx in (-0.6,-0.2) (midpoint): mass, P(>=4.4), P(<=2.0)","0.380, 0.181, 0.065"
"joint | fx in (-1.0,-0.2): mass, P(>=4.4), P(<=2.0)","0.614, 0.148, 0.087"
"joint | fx <= -1.0 (euro right): mass, P(>=4.4), P(<=2.0)","0.100, 0.030, 0.283"
"joint | fx >= -0.2: mass, P(>=4.4), P(<=2.0)","0.286, 0.355, 0.029"
"joint | ex-FX 5pct (>=4.5): mass, P(>=4.4), P(<=2.0)","0.272, 0.621, 0.000"
"joint | ex-FX 4pct (3.5-4.5): mass, P(>=4.4), P(<=2.0)","0.401, 0.064, 0.006"
"joint | ex-FX 3pct (2.5-3.5): mass, P(>=4.4), P(<=2.0)","0.246, 0.002, 0.113"
"joint | ex-FX 2pct or lower (<2.5): mass, P(>=4.4), P(<=2.0)","0.081, 0.000, 0.746"
"structural component | residual <= 3.6: mass (of structural), P(>=4.4), P(<=2.0)","0.117, 0.001, 0.576"
"structural component | residual 3.6-4.5: mass (of structural), P(>=4.4), P(<=2.0)","0.262, 0.025, 0.139"
"structural component | residual > 4.5: mass (of structural), P(>=4.4), P(<=2.0)","0.621, 0.292, 0.014"
"sens no bias adjustment: P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1575, 0.1129, 3.347, 3.321, 1.089"
"sens full bias adjustment +0.31: P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.2399, 0.0704, 3.657, 3.631, 1.089"
"sens bias -0.07 (ex-post decel split): P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1418, 0.1249, 3.277, 3.251, 1.089"
"sens bias +0.58 (ex-ante decel split): P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.3264, 0.0451, 3.927, 3.901, 1.089"
"sens structural weight 1.0 (no Gaussian route): P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1878, 0.1120, 3.442, 3.401, 1.139"
"sens structural weight 0.40: P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1989, 0.0793, 3.526, 3.508, 1.062"
"sens Gaussian route only: P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.2074, 0.0567, 3.582, 3.583, 1.000"
"sens Gaussian sd 0.927 (raw RMSE): P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1878, 0.0851, 3.500, 3.471, 1.062"
"sens Gaussian sd 1.10: P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.2039, 0.0977, 3.494, 3.471, 1.127"
"sens AR(1) at OLS 4.37 (rev 2): P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1885, 0.0969, 3.469, 3.439, 1.096"
"sens AR(1) at Kendall 4.81: P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.2028, 0.0850, 3.527, 3.504, 1.087"
"sens AR(1) weight halved (0.45/0.15/0.125/0.15 renormalised): P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1955, 0.0882, 3.506, 3.478, 1.082"
"sens residual weights reversion-heavy 0.30/0.10/0.35/0.25: P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1794, 0.1160, 3.399, 3.366, 1.135"
"sens residual all persistence: P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1953, 0.0501, 3.578, 3.580, 0.961"
"sens residual all momentum: P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.3013, 0.0311, 3.888, 3.879, 0.991"
"sens residual all AR(1): P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1923, 0.1040, 3.434, 3.423, 1.132"
"sens residual all mean-rev 3.6: P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.0958, 0.2456, 2.822, 2.831, 1.185"
"sens FX .50/.25/.25 (rev 2): P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.2004, 0.0937, 3.498, 3.472, 1.109"
"sens FX .76/.12/.12 (empirical rate): P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1901, 0.0868, 3.497, 3.471, 1.068"
"sens FX all midpoint: P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1819, 0.0806, 3.498, 3.471, 1.031"
"sens FX all baskets: P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.3213, 0.0426, 3.901, 3.884, 1.076"
"sens FX all euro: P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1150, 0.1722, 3.091, 3.058, 1.139"
"sens mix sd 0.35 (rev 2): P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1865, 0.0844, 3.499, 3.471, 1.053"
"sens mix sd 0.60: P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.2017, 0.0954, 3.498, 3.472, 1.119"
"sens mix -1.45 (geo drag at band low): P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1565, 0.1208, 3.331, 3.298, 1.109"
"sens mix -1.75 (LatAm mapped low): P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1274, 0.1611, 3.155, 3.118, 1.149"
"sens mix -0.94 (band high): P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.2312, 0.0724, 3.623, 3.603, 1.085"
"sens K line 0: P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1530, 0.1162, 3.327, 3.301, 1.089"
"sens K line +0.93: P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.4461, 0.0249, 4.257, 4.231, 1.089"
"gaussian N(3.43,0.93) with-K card raw: P(>=4.4), P(<=2.0)","0.1477, 0.0615"
"gaussian N(3.58,0.93) with-K card + half bias: P(>=4.4), P(<=2.0)","0.1882, 0.0442"
"gaussian N(3.58,1.00) route used: P(>=4.4), P(<=2.0)","0.2061, 0.0571"
"gaussian N(3.74,0.93) bias-corrected: P(>=4.4), P(<=2.0)","0.2382, 0.0303"
"gaussian auditor A10 N(3.50,1.05): P(>=4.4), P(<=2.0)","0.1957, 0.0766"
"gaussian auditor A14 N(3.50,1.00): P(>=4.4), P(<=2.0)","0.1841, 0.0668"
"normal carrying both revision-3 tails: mu, sd","3.46, 1.09"
"history 1Q23-2Q26: n, reported<=2.0, FX>=-0.5 quarters, of those <=2.0, residual>=3.5 quarters, of those <=2.0, residual>=3.45 quarters, of those <=2.0","14, 5, 8, 0, 3, 0, 4, 1"
"history: reported>=4.4, FX<=0 quarters, reported>=4.4 & FX<=0","4, 6, 0"
"modest/moderate-increase guides: n, printed <= 2.0; 'increase modestly / modestly up' n, <= 2.0; 'modest/moderate increase in ADR' n, <= 2.0","7, 2; 4, 2; 3, 0"
"MODL: n, low/mean/high growth, range/4 sd, P(>=4.4), P(<=2.0), 178.83 pct of range, 174.72 pct of range","26, 1.413/3.369/4.571, 0.789, 0.0958, 0.0415, 94.6, 18.7"
"MODL at the card RMSE 0.93: P(>=4.4), P(<=2.0)","0.1330, 0.0699"
"impact B02 Yes: dADR pt, 3Q26 rev $M, 4Q26 rev $M, FY27 rev $M, FY27 growth 10.94% -> new, delta pt, FY26 margin pp, FY27 margin pp, FY27 EPS $ (held), multiple $, level $, stock $ (x0.70), EV $ at P 0.090","-1.87, -86, -56, -295, 9.96, -0.97, -0.59, -1.23, -0.41, 4.07, 7.98, -8.4, -0.76"
"impact R07 Yes: dADR pt, 3Q26 rev $M, 4Q26 rev $M, FY27 rev $M, FY27 growth 10.94% -> new, delta pt, FY26 margin pp, FY27 margin pp, FY27 EPS $ (held), multiple $, level $, stock $ (x0.70), EV $ at P 0.195","+1.68, +77, +50, +265, 11.79, +0.86, +0.53, +1.10, +0.37, 3.59, 7.16, +7.5, +1.47"
