market,region,snapshot0,snapshot1,regime,interval_days,matched_listings,matched_future_nights,baseline_future_rows,matched_row_retention_pct
belize,latam,2025-08-30,2025-09-28,all,29,3517,1178195,1194945,98.6
belize,latam,2025-08-30,2025-09-28,screened,29,3174,1063290,1194945,88.98
belize,latam,2025-09-28,2025-12-29,all,92,3406,925880,974032,95.06
belize,latam,2025-09-28,2025-12-29,screened,92,2964,805776,974032,82.73
belize,latam,2025-12-29,2026-03-30,all,91,2880,788667,995220,79.25
belize,latam,2025-12-29,2026-03-30,screened,91,2769,758294,995220,76.19
belize,latam,2026-03-30,2026-06-29,all,91,2732,748854,842699,88.86
belize,latam,2026-03-30,2026-06-29,screened,91,2676,733538,842699,87.05
belize,latam,2026-06-29,2026-08-31,all,63,3493,1051777,1086424,96.81
belize,latam,2026-06-29,2026-08-31,screened,63,3328,1001812,1086424,92.21
bogota,latam,2026-06-21,2026-08-18,all,58,18238,5590803,5888951,94.94
bogota,latam,2026-06-21,2026-08-18,screened,58,17932,5498285,5888951,93.37
brisbane,apac,2025-08-04,2025-10-07,all,64,5410,1623000,1732200,93.7
brisbane,apac,2025-08-04,2025-10-07,screened,64,4490,1347000,1732200,77.76
brisbane,apac,2025-10-07,2026-01-16,all,101,4664,1227242,1598189,76.79
brisbane,apac,2025-10-07,2026-01-16,screened,101,3706,975115,1598189,61.01
brisbane,apac,2026-01-16,2026-03-19,all,62,5085,1535670,1710226,89.79
brisbane,apac,2026-01-16,2026-03-19,screened,62,4481,1353262,1710226,79.13
brisbane,apac,2026-03-19,2026-06-15,all,88,5127,1414748,1578720,89.61
brisbane,apac,2026-03-19,2026-06-15,screened,88,3922,1082448,1578720,68.56
brisbane,apac,2026-06-15,2026-08-13,all,59,5877,1801699,1945653,92.6
brisbane,apac,2026-06-15,2026-08-13,screened,59,4850,1484024,1945653,76.27
buenos-aires,latam,2025-07-27,2025-08-29,all,33,25361,8414800,9111811,92.35
buenos-aires,latam,2025-07-27,2025-08-29,screened,33,24539,8142055,9111811,89.36
buenos-aires,latam,2025-08-29,2025-09-27,all,29,25311,8514327,9161317,92.94
buenos-aires,latam,2025-08-29,2025-09-27,screened,29,24557,8260718,9161317,90.17
buenos-aires,latam,2025-09-27,2025-11-27,all,61,23798,7217630,8175574,88.28
buenos-aires,latam,2025-09-27,2025-11-27,screened,61,22712,6888244,8175574,84.25
buenos-aires,latam,2025-11-27,2026-03-30,all,123,23335,5508295,6465351,85.2
buenos-aires,latam,2025-11-27,2026-03-30,screened,123,19187,4529289,6465351,70.05
buenos-aires,latam,2026-03-30,2026-06-29,all,91,25856,7213218,7845320,91.94
buenos-aires,latam,2026-03-30,2026-06-29,screened,91,21867,6100847,7845320,77.76
buenos-aires,latam,2026-06-29,2026-08-30,all,62,27633,8329836,9016117,92.39
buenos-aires,latam,2026-06-29,2026-08-30,screened,62,25167,7586486,9016117,84.14
chicago,na,2025-02-16,2025-03-11,all,23,8466,2881652,2984418,96.56
chicago,na,2025-02-16,2025-03-11,screened,23,7745,2636456,2984418,88.34
chicago,na,2025-03-11,2025-04-17,all,37,8076,2656979,2872511,92.5
chicago,na,2025-03-11,2025-04-17,screened,37,7224,2376771,2872511,82.74
chicago,na,2025-04-17,2025-05-14,all,27,8089,2725273,2852996,95.52
chicago,na,2025-04-17,2025-05-14,screened,27,7233,2437029,2852996,85.42
chicago,na,2025-05-14,2025-07-20,all,67,7971,2373741,2567056,92.47
chicago,na,2025-05-14,2025-07-20,screened,67,6938,2066252,2567056,80.49
chicago,na,2025-07-20,2025-08-19,all,30,8376,2802566,2917675,96.05
chicago,na,2025-07-20,2025-08-19,screened,30,7611,2546438,2917675,87.28
chicago,na,2025-08-19,2025-09-22,all,34,8281,2728432,2871660,95.01
chicago,na,2025-08-19,2025-09-22,screened,34,7541,2484805,2871660,86.53
chicago,na,2025-09-22,2025-12-25,all,94,7962,2153706,2349725,91.66
chicago,na,2025-09-22,2025-12-25,screened,94,6528,1765406,2349725,75.13
chicago,na,2025-12-25,2026-03-27,all,92,4712,1284184,2428046,52.89
chicago,na,2025-12-25,2026-03-27,screened,92,3955,1077947,2428046,44.4
chicago,na,2026-03-27,2026-06-24,all,89,4777,1312009,1417075,92.59
chicago,na,2026-03-27,2026-06-24,screened,89,4261,1170930,1417075,82.63
chicago,na,2026-06-24,2026-08-27,all,64,8241,2482165,2623670,94.61
chicago,na,2026-06-24,2026-08-27,screened,64,7341,2208722,2623670,84.18
hong-kong,apac,2025-03-16,2025-04-20,all,35,6610,2174680,2241148,97.03
hong-kong,apac,2025-03-16,2025-04-20,screened,35,5887,1936813,2241148,86.42
hong-kong,apac,2025-04-20,2025-05-18,all,28,6616,2222987,2303963,96.49
hong-kong,apac,2025-04-20,2025-05-18,screened,28,5865,1970651,2303963,85.53
hong-kong,apac,2025-05-18,2025-07-24,all,67,6545,1947187,2043545,95.28
hong-kong,apac,2025-05-18,2025-07-24,screened,67,5667,1686043,2043545,82.51
hong-kong,apac,2025-07-24,2025-08-24,all,31,6765,2252745,2324340,96.92
hong-kong,apac,2025-07-24,2025-08-24,screened,31,5936,1976688,2324340,85.04
hong-kong,apac,2025-08-24,2025-09-23,all,30,6671,2228118,2315292,96.23
hong-kong,apac,2025-08-24,2025-09-23,screened,30,5797,1936202,2315292,83.63
hong-kong,apac,2025-09-23,2025-12-27,all,95,6168,1656212,1832460,90.38
hong-kong,apac,2025-09-23,2025-12-27,screened,95,4796,1286884,1832460,70.23
hong-kong,apac,2025-12-27,2026-03-29,all,92,1843,503801,1816136,27.74
hong-kong,apac,2025-12-27,2026-03-29,screened,92,1421,388461,1816136,21.39
hong-kong,apac,2026-03-29,2026-06-27,all,90,1903,520840,579510,89.88
hong-kong,apac,2026-03-29,2026-06-27,screened,90,1498,410194,579510,70.78
hong-kong,apac,2026-06-27,2026-08-28,all,62,6281,1906935,2052431,92.91
hong-kong,apac,2026-06-27,2026-08-28,screened,62,5316,1612428,2052431,78.56
london,emea,2025-09-14,2025-12-13,all,90,85326,22866149,26741568,85.51
london,emea,2025-09-14,2025-12-13,screened,90,44305,12071059,26741568,45.14
london,emea,2025-12-13,2026-03-21,all,98,45086,11933417,26268589,45.43
london,emea,2025-12-13,2026-03-21,screened,98,35811,9467489,26268589,36.04
london,emea,2026-03-21,2026-06-19,all,90,46441,12792757,15069754,84.89
london,emea,2026-03-21,2026-06-19,screened,90,38537,10622609,15069754,70.49
london,emea,2026-06-19,2026-08-18,all,60,84870,25954255,28826014,90.04
london,emea,2026-06-19,2026-08-18,screened,60,51653,15898701,28826014,55.15
los-angeles,na,2025-03-01,2025-04-01,all,31,42660,14264252,15068442,94.66
los-angeles,na,2025-03-01,2025-04-01,screened,31,33884,11325491,15068442,75.16
los-angeles,na,2025-04-01,2025-05-01,all,30,42781,14345218,15013786,95.55
los-angeles,na,2025-04-01,2025-05-01,screened,30,34040,11416695,15013786,76.04
los-angeles,na,2025-05-01,2025-07-01,all,61,41190,12504088,13667774,91.49
los-angeles,na,2025-05-01,2025-07-01,screened,61,31986,9715249,13667774,71.08
los-angeles,na,2025-07-01,2025-08-01,all,31,43270,14431905,15199615,94.95
los-angeles,na,2025-07-01,2025-08-01,screened,31,34789,11600493,15199615,76.32
los-angeles,na,2025-08-01,2025-09-01,all,31,43605,14575707,15317911,95.15
los-angeles,na,2025-08-01,2025-09-01,screened,31,35233,11779097,15317911,76.9
los-angeles,na,2025-09-01,2025-12-04,all,94,40727,11034699,12451454,88.62
los-angeles,na,2025-09-01,2025-12-04,screened,94,29172,7903883,12451454,63.48
los-angeles,na,2025-12-04,2026-03-16,all,102,40743,10720381,11997747,89.35
los-angeles,na,2025-12-04,2026-03-16,screened,102,28447,7481366,11997747,62.36
los-angeles,na,2026-03-16,2026-06-15,all,91,38227,10415918,12618841,82.54
los-angeles,na,2026-03-16,2026-06-15,screened,91,29964,8184219,12618841,64.86
los-angeles,na,2026-06-15,2026-08-10,all,56,40469,12510983,13617922,91.87
los-angeles,na,2026-06-15,2026-08-10,screened,56,34728,10719056,13617922,78.71
melbourne,apac,2025-08-05,2025-09-12,all,38,24491,8012505,8374936,95.67
melbourne,apac,2025-08-05,2025-09-12,screened,38,16635,5440245,8374936,64.96
melbourne,apac,2025-09-12,2025-12-12,all,91,22796,6223308,6686043,93.08
melbourne,apac,2025-09-12,2025-12-12,screened,91,12993,3547089,6686043,53.05
melbourne,apac,2025-12-12,2026-03-21,all,99,14502,3848743,6958018,55.31
melbourne,apac,2025-12-12,2026-03-21,screened,99,11503,3052550,6958018,43.87
melbourne,apac,2026-03-21,2026-06-16,all,87,15238,4214116,4618698,91.24
melbourne,apac,2026-03-21,2026-06-16,screened,87,12437,3443815,4618698,74.56
melbourne,apac,2026-06-16,2026-08-15,all,60,24101,7352001,7928500,92.73
melbourne,apac,2026-06-16,2026-08-15,screened,60,16839,5136806,7928500,64.79
mexico-city,latam,2025-06-25,2025-07-27,all,32,25671,8610555,8872541,97.05
mexico-city,latam,2025-06-25,2025-07-27,screened,32,22710,7614932,8872541,85.83
mexico-city,latam,2025-06-25,2025-08-29,all,65,24985,7552963,8001308,94.4
mexico-city,latam,2025-06-25,2025-08-29,screened,65,21712,6561362,8001308,82.0
mexico-city,latam,2025-07-27,2025-08-29,all,33,25867,8584012,8900734,96.44
mexico-city,latam,2025-07-27,2025-08-29,screened,33,22924,7607448,8900734,85.47
mexico-city,latam,2025-08-29,2025-09-27,all,29,26205,8824969,9071802,97.28
mexico-city,latam,2025-08-29,2025-09-27,screened,29,23304,7846688,9071802,86.5
mexico-city,latam,2025-09-27,2025-12-29,all,93,20925,5670801,7350615,77.15
mexico-city,latam,2025-09-27,2025-12-29,screened,93,18263,4949287,7350615,67.33
mexico-city,latam,2025-12-29,2026-03-30,all,91,18792,5119382,6384659,80.18
mexico-city,latam,2025-12-29,2026-03-30,screened,91,16569,4513874,6384659,70.7
mexico-city,latam,2026-03-30,2026-06-15,all,77,21350,6183428,6609784,93.55
mexico-city,latam,2026-03-30,2026-06-15,screened,77,20045,5809884,6609784,87.9
mexico-city,latam,2026-06-15,2026-08-30,all,76,28500,8218027,9132093,89.99
mexico-city,latam,2026-06-15,2026-08-30,screened,76,24268,6976693,9132093,76.4
mid-north-coast,apac,2025-03-04,2025-04-07,all,34,4558,1507254,1546648,97.45
mid-north-coast,apac,2025-03-04,2025-04-07,screened,34,4100,1355737,1546648,87.66
mid-north-coast,apac,2025-04-07,2025-05-06,all,29,4981,1669808,1714369,97.4
mid-north-coast,apac,2025-04-07,2025-05-06,screened,29,4531,1518779,1714369,88.59
mid-north-coast,apac,2025-05-06,2025-07-07,all,62,4833,1459872,1528124,95.53
mid-north-coast,apac,2025-05-06,2025-07-07,screened,62,4346,1312798,1528124,85.91
mid-north-coast,apac,2025-07-07,2025-08-08,all,32,4970,1652110,1682701,98.18
mid-north-coast,apac,2025-07-07,2025-08-08,screened,32,4565,1517346,1682701,90.17
mid-north-coast,apac,2025-08-08,2025-10-17,all,70,4866,1430604,1491168,95.94
mid-north-coast,apac,2025-08-08,2025-10-17,screened,70,4384,1288896,1491168,86.44
mid-north-coast,apac,2025-10-17,2025-11-12,all,26,5021,1697098,1744080,97.31
mid-north-coast,apac,2025-10-17,2025-11-12,screened,26,4623,1562574,1744080,89.59
mid-north-coast,apac,2025-11-12,2026-03-21,all,129,3961,930835,1210485,76.9
mid-north-coast,apac,2025-11-12,2026-03-21,screened,129,3469,815215,1210485,67.35
mid-north-coast,apac,2026-03-21,2026-06-19,all,90,4278,1171493,1233548,94.97
mid-north-coast,apac,2026-03-21,2026-06-19,screened,90,3840,1052051,1233548,85.29
mid-north-coast,apac,2026-06-19,2026-08-18,all,60,5109,1552580,1625018,95.54
mid-north-coast,apac,2026-06-19,2026-08-18,screened,60,4647,1412503,1625018,86.92
mornington-peninsula,apac,2025-03-07,2025-04-14,all,38,4530,1483478,1535539,96.61
mornington-peninsula,apac,2025-03-07,2025-04-14,screened,38,3968,1299438,1535539,84.62
mornington-peninsula,apac,2025-04-14,2025-05-13,all,29,4497,1467407,1560437,94.04
mornington-peninsula,apac,2025-04-14,2025-05-13,screened,29,3949,1290937,1560437,82.73
mornington-peninsula,apac,2025-05-13,2025-07-17,all,65,4380,1349546,1408303,95.83
mornington-peninsula,apac,2025-05-13,2025-07-17,screened,65,3840,1181110,1408303,83.87
mornington-peninsula,apac,2025-07-17,2025-08-17,all,31,4474,1489842,1522143,97.88
mornington-peninsula,apac,2025-07-17,2025-08-17,screened,31,3996,1330668,1522143,87.42
mornington-peninsula,apac,2025-08-17,2025-09-18,all,32,4413,1465116,1506948,97.22
mornington-peninsula,apac,2025-08-17,2025-09-18,screened,32,3954,1312728,1506948,87.11
mornington-peninsula,apac,2025-09-18,2025-12-22,all,95,4245,1130948,1218301,92.83
mornington-peninsula,apac,2025-09-18,2025-12-22,screened,95,3527,939737,1218301,77.14
mornington-peninsula,apac,2025-12-22,2026-03-25,all,93,3590,986341,1272068,77.54
mornington-peninsula,apac,2025-12-22,2026-03-25,screened,93,3158,867638,1272068,68.21
mornington-peninsula,apac,2026-03-25,2026-06-22,all,89,3600,989028,1047475,94.42
mornington-peninsula,apac,2026-03-25,2026-06-22,screened,89,3174,872742,1047475,83.32
mornington-peninsula,apac,2026-06-22,2026-08-26,all,65,4245,1272185,1337622,95.11
mornington-peninsula,apac,2026-06-22,2026-08-26,screened,65,3723,1113519,1337622,83.25
nashville,na,2024-05-26,2024-06-22,all,27,8650,2914588,3005490,96.98
nashville,na,2024-05-26,2024-06-22,screened,27,8138,2742088,3005490,91.24
nashville,na,2024-06-22,2024-07-25,all,33,8687,2878531,2980291,96.59
nashville,na,2024-06-22,2024-07-25,screened,33,8129,2693626,2980291,90.38
nashville,na,2024-06-22,2024-08-18,all,57,8513,2616547,2764435,94.65
nashville,na,2024-06-22,2024-08-18,screened,57,7856,2414586,2764435,87.34
nashville,na,2024-07-25,2024-08-18,all,24,8785,2986501,3075241,97.11
nashville,na,2024-07-25,2024-08-18,screened,24,8262,2808795,3075241,91.34
nashville,na,2024-08-18,2024-09-18,all,31,8807,2934319,3008304,97.54
nashville,na,2024-08-18,2024-09-18,screened,31,8238,2744658,3008304,91.24
nashville,na,2024-09-18,2024-10-19,all,31,8938,2976178,3052025,97.51
nashville,na,2024-09-18,2024-10-19,screened,31,8365,2785402,3052025,91.26
nashville,na,2024-10-19,2024-11-23,all,35,8942,2943128,3054712,96.35
nashville,na,2024-10-19,2024-11-23,screened,35,8336,2743761,3054712,89.82
nashville,na,2024-11-23,2024-12-21,all,28,9054,3041703,3140487,96.85
nashville,na,2024-11-23,2024-12-21,screened,28,8411,2825760,3140487,89.98
nashville,na,2024-12-21,2025-01-24,all,34,9067,2991824,3102710,96.43
nashville,na,2024-12-21,2025-01-24,screened,34,8441,2785314,3102710,89.77
nashville,na,2024-12-21,2025-03-15,all,84,8698,2435174,2632560,92.5
nashville,na,2024-12-21,2025-03-15,screened,84,7441,2083270,2632560,79.13
nashville,na,2025-01-24,2025-02-17,all,24,9206,3132979,3219101,97.32
nashville,na,2025-01-24,2025-02-17,screened,24,8612,2930894,3219101,91.05
nashville,na,2025-02-17,2025-03-15,all,26,9275,3141430,3222722,97.48
nashville,na,2025-02-17,2025-03-15,screened,26,8654,2931120,3222722,90.95
nashville,na,2025-03-15,2025-04-18,all,34,9250,3054680,3164031,96.54
nashville,na,2025-03-15,2025-04-18,screened,34,8587,2835893,3164031,89.63
nashville,na,2025-04-18,2025-05-17,all,29,9320,3126552,3214108,97.28
nashville,na,2025-04-18,2025-05-17,screened,29,8660,2905002,3214108,90.38
nashville,na,2025-05-17,2025-07-22,all,66,9036,2696201,2877090,93.71
nashville,na,2025-05-17,2025-07-22,screened,66,8164,2435856,2877090,84.66
nashville,na,2025-07-22,2025-08-23,all,32,9261,3081447,3208532,96.04
nashville,na,2025-07-22,2025-08-23,screened,32,8442,2808818,3208532,87.54
nashville,na,2025-08-23,2025-09-23,all,31,9098,3029634,3194136,94.85
nashville,na,2025-08-23,2025-09-23,screened,31,8428,2806524,3194136,87.86
nashville,na,2025-09-23,2025-12-27,all,95,5858,1579948,2548235,62.0
nashville,na,2025-09-23,2025-12-27,screened,95,5350,1442953,2548235,56.63
nashville,na,2025-12-27,2026-03-28,all,91,4369,1193325,1801794,66.23
nashville,na,2025-12-27,2026-03-28,screened,91,4111,1122849,1801794,62.32
nashville,na,2026-03-28,2026-06-26,all,90,5655,1548642,1652220,93.73
nashville,na,2026-03-28,2026-06-26,screened,90,5305,1453354,1652220,87.96
nashville,na,2026-06-26,2026-08-27,all,62,9569,2901019,3111825,93.23
nashville,na,2026-06-26,2026-08-27,screened,62,8678,2629230,3111825,84.49
new-orleans,na,2025-07-05,2025-08-05,all,31,7152,2384592,2543960,93.74
new-orleans,na,2025-07-05,2025-08-05,screened,31,6145,2048422,2543960,80.52
new-orleans,na,2025-08-05,2025-09-11,all,37,7048,2311695,2412388,95.83
new-orleans,na,2025-08-05,2025-09-11,screened,37,6062,1988288,2412388,82.42
new-orleans,na,2025-09-11,2025-12-12,all,92,6810,1852320,2024768,91.48
new-orleans,na,2025-09-11,2025-12-12,screened,92,5317,1446224,2024768,71.43
new-orleans,na,2025-12-12,2026-03-19,all,97,5749,1534983,1943226,78.99
new-orleans,na,2025-12-12,2026-03-19,screened,97,4997,1334199,1943226,68.66
new-orleans,na,2026-03-19,2026-06-16,all,89,5727,1574925,1709950,92.1
new-orleans,na,2026-03-19,2026-06-16,screened,89,5080,1397000,1709950,81.7
new-orleans,na,2026-06-16,2026-08-15,all,60,6938,2108833,2215383,95.19
new-orleans,na,2026-06-16,2026-08-15,screened,60,6078,1850342,2215383,83.52
new-york-city,na,2025-10-01,2025-12-04,all,64,34515,10380237,10866776,95.52
