merchant_name,category,bnpl_provider,source_urls,merchant_urls
Joybird,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
JustFly,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
Kate Spade,Accessories,affirm,https://www.affirm.com/shopping/accessories; https://www.affirm.com/shopping/apparel,
Kate Spade,Apparel,affirm,https://www.affirm.com/shopping/accessories; https://www.affirm.com/shopping/apparel,
Kate Spade Outlet,Accessories,affirm,https://www.affirm.com/shopping/accessories,
Kiehl's,Beauty,affirm,https://www.affirm.com/shopping/beauty-and-health,
Kohl's,Accessories,affirm,https://www.affirm.com/shopping/accessories; https://www.affirm.com/shopping/apparel,
Kohl's,Apparel,affirm,https://www.affirm.com/shopping/accessories; https://www.affirm.com/shopping/apparel,
Kohler,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
Kylie Cosmetics,Beauty,affirm,https://www.affirm.com/shopping/beauty-and-health,
LG Electronics,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
Logitech,Electronics,affirm,https://www.affirm.com/shopping/electronics,
Lowe's Home Improvement,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
Lull,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
lululemon,Apparel,affirm,https://www.affirm.com/shopping/apparel; https://www.affirm.com/shopping/fitness-and-gear,
lululemon,Fitness & Gear,affirm,https://www.affirm.com/shopping/apparel; https://www.affirm.com/shopping/fitness-and-gear,
LUVME HAIR,Beauty,affirm,https://www.affirm.com/shopping/beauty-and-health,
Macy's,Accessories,affirm,https://www.affirm.com/shopping/accessories; https://www.affirm.com/shopping/shoes,
Macy's,Shoes,affirm,https://www.affirm.com/shopping/accessories; https://www.affirm.com/shopping/shoes,
MAJOR FITNESS,Fitness & Gear,affirm,https://www.affirm.com/shopping/fitness-and-gear,
Marc Jacobs,Accessories,affirm,https://www.affirm.com/shopping/accessories,
Meta,Electronics,affirm,https://www.affirm.com/shopping/electronics,
Michael Kors,Accessories,affirm,https://www.affirm.com/shopping/accessories; https://www.affirm.com/shopping/apparel,
Michael Kors,Apparel,affirm,https://www.affirm.com/shopping/accessories; https://www.affirm.com/shopping/apparel,
Miu Miu,Luxury,affirm,https://www.affirm.com/shopping/luxury,
Mytheresa,Apparel,affirm,https://www.affirm.com/shopping/apparel,
NECTAR Sleep,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
New Balance Running,Shoes,affirm,https://www.affirm.com/shopping/shoes,
Nike,Fitness & Gear,affirm,https://www.affirm.com/shopping/fitness-and-gear; https://www.affirm.com/shopping/shoes,
Nike,Shoes,affirm,https://www.affirm.com/shopping/fitness-and-gear; https://www.affirm.com/shopping/shoes,
NordicTrack,Fitness & Gear,affirm,https://www.affirm.com/shopping/fitness-and-gear,
Nordstrom,Accessories,affirm,https://www.affirm.com/shopping/accessories; https://www.affirm.com/shopping/apparel,
Nordstrom,Apparel,affirm,https://www.affirm.com/shopping/accessories; https://www.affirm.com/shopping/apparel,
Oakley,Accessories,affirm,https://www.affirm.com/shopping/accessories,
Old Navy,Apparel,affirm,https://www.affirm.com/shopping/apparel,
On,Shoes,affirm,https://www.affirm.com/shopping/shoes,
OneTravel,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
OralB,Beauty,affirm,https://www.affirm.com/shopping/beauty-and-health,
Overstock.com,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
Pandora,Accessories,affirm,https://www.affirm.com/shopping/accessories,
Partsgeek,Auto,affirm,https://www.affirm.com/shopping/auto,
PGA TOUR SUPERSTORE,Fitness & Gear,affirm,https://www.affirm.com/shopping/fitness-and-gear,
Philosophy,Beauty,affirm,https://www.affirm.com/shopping/beauty-and-health,
Prada,Luxury,affirm,https://www.affirm.com/shopping/luxury,
Priceline,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
Priority Tire LLC,Auto,affirm,https://www.affirm.com/shopping/auto,
Puma,Fitness & Gear,affirm,https://www.affirm.com/shopping/fitness-and-gear; https://www.affirm.com/shopping/shoes,
Puma,Shoes,affirm,https://www.affirm.com/shopping/fitness-and-gear; https://www.affirm.com/shopping/shoes,
Purple,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
Rack Room Shoes,Shoes,affirm,https://www.affirm.com/shopping/shoes,
Ray-Ban,Accessories,affirm,https://www.affirm.com/shopping/accessories,
RealTruck,Auto,affirm,https://www.affirm.com/shopping/auto,
Rebag,Accessories,affirm,https://www.affirm.com/shopping/accessories,
Rental Cars by Booking.com,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
Revolve Clothing,Apparel,affirm,https://www.affirm.com/shopping/apparel,
Royal Caribbean,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
RVshare,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
Sally Beauty Supply,Beauty,affirm,https://www.affirm.com/shopping/beauty-and-health,
Sam's Club,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
Sea World,Travel & Events,affirm,https://www.affirm.com/shopping/events-experiences; https://www.affirm.com/shopping/travel,
Serta,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
SharkNinja,Electronics,affirm,https://www.affirm.com/shopping/electronics; https://www.affirm.com/shopping/home-and-furniture,
SharkNinja,Home & Furniture,affirm,https://www.affirm.com/shopping/electronics; https://www.affirm.com/shopping/home-and-furniture,
SHEIN,Apparel,affirm,https://www.affirm.com/shopping/apparel,
Siena Sleep,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
Skechers,Shoes,affirm,https://www.affirm.com/shopping/shoes,
SNIPES,Shoes,affirm,https://www.affirm.com/shopping/shoes,
Sonos,Electronics,affirm,https://www.affirm.com/shopping/electronics,
SSENSE,Apparel,affirm,https://www.affirm.com/shopping/apparel,
Staples,Electronics,affirm,https://www.affirm.com/shopping/electronics,
StockX,Apparel,affirm,https://www.affirm.com/shopping/apparel; https://www.affirm.com/shopping/shoes,
StockX,Shoes,affirm,https://www.affirm.com/shopping/apparel; https://www.affirm.com/shopping/shoes,
StubHub,Travel & Events,affirm,https://www.affirm.com/shopping/events-experiences,
SunglassHut.com,Accessories,affirm,https://www.affirm.com/shopping/accessories,
Swarovski,Accessories,affirm,https://www.affirm.com/shopping/accessories,
Sweetwater,Electronics,affirm,https://www.affirm.com/shopping/electronics,
Target,Apparel,affirm,https://www.affirm.com/shopping/apparel; https://www.affirm.com/shopping/electronics; https://www.affirm.com/shopping/home-and-furniture,
Target,Electronics,affirm,https://www.affirm.com/shopping/apparel; https://www.affirm.com/shopping/electronics; https://www.affirm.com/shopping/home-and-furniture,
Target,Home & Furniture,affirm,https://www.affirm.com/shopping/apparel; https://www.affirm.com/shopping/electronics; https://www.affirm.com/shopping/home-and-furniture,
Tatcha,Beauty,affirm,https://www.affirm.com/shopping/beauty-and-health,
The Home Depot,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
Therabody,Beauty,affirm,https://www.affirm.com/shopping/beauty-and-health; https://www.affirm.com/shopping/fitness-and-gear,
Therabody,Fitness & Gear,affirm,https://www.affirm.com/shopping/beauty-and-health; https://www.affirm.com/shopping/fitness-and-gear,
TicketLiquidator,Travel & Events,affirm,https://www.affirm.com/shopping/events-experiences,
TicketNetwork,Travel & Events,affirm,https://www.affirm.com/shopping/events-experiences,
TickPick,Travel & Events,affirm,https://www.affirm.com/shopping/events-experiences,
Tire Agent,Auto,affirm,https://www.affirm.com/shopping/auto,
Tire Rack,Auto,affirm,https://www.affirm.com/shopping/auto,
Tires Easy,Auto,affirm,https://www.affirm.com/shopping/auto,
Tonal,Fitness & Gear,affirm,https://www.affirm.com/shopping/fitness-and-gear,
Tory Burch,Accessories,affirm,https://www.affirm.com/shopping/accessories; https://www.affirm.com/shopping/apparel,
Tory Burch,Apparel,affirm,https://www.affirm.com/shopping/accessories; https://www.affirm.com/shopping/apparel,
Travelocity,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
Trek,Fitness & Gear,affirm,https://www.affirm.com/shopping/fitness-and-gear,
Trip.com,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
Tuft & Needle,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
UGG,Shoes,affirm,https://www.affirm.com/shopping/shoes,
Ulta,Beauty,affirm,https://www.affirm.com/shopping/beauty-and-health,
Under Armour,Apparel,affirm,https://www.affirm.com/shopping/apparel; https://www.affirm.com/shopping/fitness-and-gear; https://www.affirm.com/shopping/shoes,
Under Armour,Fitness & Gear,affirm,https://www.affirm.com/shopping/apparel; https://www.affirm.com/shopping/fitness-and-gear; https://www.affirm.com/shopping/shoes,
Under Armour,Shoes,affirm,https://www.affirm.com/shopping/apparel; https://www.affirm.com/shopping/fitness-and-gear; https://www.affirm.com/shopping/shoes,
Vagaro.com,Beauty,affirm,https://www.affirm.com/shopping/beauty-and-health,
Valentino,Luxury,affirm,https://www.affirm.com/shopping/luxury,
Verizon,Electronics,affirm,https://www.affirm.com/shopping/electronics,
Versace,Luxury,affirm,https://www.affirm.com/shopping/luxury,
viagogo,Travel & Events,affirm,https://www.affirm.com/shopping/events-experiences,
Viator,Travel & Events,affirm,https://www.affirm.com/shopping/events-experiences; https://www.affirm.com/shopping/travel,
Vivid Seats,Travel & Events,affirm,https://www.affirm.com/shopping/events-experiences,
Vrbo,Travel & Events,affirm,https://www.affirm.com/shopping/events-experiences; https://www.affirm.com/shopping/travel,
Wayfair,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
Weber Grills,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
West Elm,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
& Other Stories,Clothing & Accessories,klarna,https://www.klarna.com/us/shopping/t/141/Clothing-Accessories/,https://www.klarna.com/us/store/f108e930-3202-49bf-9415-f2d3592c802c/-other-stories/pay-with-klarna/
1 Natural Way,Health & Beauty,klarna,https://www.klarna.com/us/shopping/t/10/Health-Beauty/,https://www.klarna.com/us/store/f2e613ed-b1a4-486c-9162-450ab3aff530/1-natural-way/pay-with-klarna/
1-800-BASKETS.COM,Home & Appliances,klarna,https://www.klarna.com/us/shopping/t/14/Kitchen-Appliances/; https://www.klarna.com/us/shopping/t/1424/Garden-Patio/; https://www.klarna.com/us/shopping/t/182/Home-Improvement/; https://www.klarna.com/us/shopping/t/3/Home-Appliances/; https://www.klarna.com/us/shopping/t/34/Home-Appliances/,https://www.klarna.com/us/store/e948a329-c405-4dfe-8a41-7e620a863f65/1-800-baskets.com/pay-with-klarna/
1-800-BASKETS.COM,Home Improvement,klarna,https://www.klarna.com/us/shopping/t/14/Kitchen-Appliances/; https://www.klarna.com/us/shopping/t/1424/Garden-Patio/; https://www.klarna.com/us/shopping/t/182/Home-Improvement/; https://www.klarna.com/us/shopping/t/3/Home-Appliances/; https://www.klarna.com/us/shopping/t/34/Home-Appliances/,https://www.klarna.com/us/store/e948a329-c405-4dfe-8a41-7e620a863f65/1-800-baskets.com/pay-with-klarna/
1-800-BASKETS.COM,Garden & Patio,klarna,https://www.klarna.com/us/shopping/t/14/Kitchen-Appliances/; https://www.klarna.com/us/shopping/t/1424/Garden-Patio/; https://www.klarna.com/us/shopping/t/182/Home-Improvement/; https://www.klarna.com/us/shopping/t/3/Home-Appliances/; https://www.klarna.com/us/shopping/t/34/Home-Appliances/,https://www.klarna.com/us/store/e948a329-c405-4dfe-8a41-7e620a863f65/1-800-baskets.com/pay-with-klarna/
1-800-BASKETS.COM,Kitchen Appliances,klarna,https://www.klarna.com/us/shopping/t/14/Kitchen-Appliances/; https://www.klarna.com/us/shopping/t/1424/Garden-Patio/; https://www.klarna.com/us/shopping/t/182/Home-Improvement/; https://www.klarna.com/us/shopping/t/3/Home-Appliances/; https://www.klarna.com/us/shopping/t/34/Home-Appliances/,https://www.klarna.com/us/store/e948a329-c405-4dfe-8a41-7e620a863f65/1-800-baskets.com/pay-with-klarna/
1-800-BASKETS.COM,Home Appliances,klarna,https://www.klarna.com/us/shopping/t/14/Kitchen-Appliances/; https://www.klarna.com/us/shopping/t/1424/Garden-Patio/; https://www.klarna.com/us/shopping/t/182/Home-Improvement/; https://www.klarna.com/us/shopping/t/3/Home-Appliances/; https://www.klarna.com/us/shopping/t/34/Home-Appliances/,https://www.klarna.com/us/store/e948a329-c405-4dfe-8a41-7e620a863f65/1-800-baskets.com/pay-with-klarna/
1-800-flowers.com,Home & Appliances,klarna,https://www.klarna.com/us/shopping/t/14/Kitchen-Appliances/; https://www.klarna.com/us/shopping/t/1424/Garden-Patio/; https://www.klarna.com/us/shopping/t/182/Home-Improvement/; https://www.klarna.com/us/shopping/t/3/Home-Appliances/; https://www.klarna.com/us/shopping/t/34/Home-Appliances/,https://www.klarna.com/us/store/f4c05e69-eaa8-4a2d-a8ed-5b64f51af1a2/1-800-flowers.com/pay-with-klarna/
1-800-flowers.com,Home Improvement,klarna,https://www.klarna.com/us/shopping/t/14/Kitchen-Appliances/; https://www.klarna.com/us/shopping/t/1424/Garden-Patio/; https://www.klarna.com/us/shopping/t/182/Home-Improvement/; https://www.klarna.com/us/shopping/t/3/Home-Appliances/; https://www.klarna.com/us/shopping/t/34/Home-Appliances/,https://www.klarna.com/us/store/f4c05e69-eaa8-4a2d-a8ed-5b64f51af1a2/1-800-flowers.com/pay-with-klarna/
1-800-flowers.com,Garden & Patio,klarna,https://www.klarna.com/us/shopping/t/14/Kitchen-Appliances/; https://www.klarna.com/us/shopping/t/1424/Garden-Patio/; https://www.klarna.com/us/shopping/t/182/Home-Improvement/; https://www.klarna.com/us/shopping/t/3/Home-Appliances/; https://www.klarna.com/us/shopping/t/34/Home-Appliances/,https://www.klarna.com/us/store/f4c05e69-eaa8-4a2d-a8ed-5b64f51af1a2/1-800-flowers.com/pay-with-klarna/
1-800-flowers.com,Kitchen Appliances,klarna,https://www.klarna.com/us/shopping/t/14/Kitchen-Appliances/; https://www.klarna.com/us/shopping/t/1424/Garden-Patio/; https://www.klarna.com/us/shopping/t/182/Home-Improvement/; https://www.klarna.com/us/shopping/t/3/Home-Appliances/; https://www.klarna.com/us/shopping/t/34/Home-Appliances/,https://www.klarna.com/us/store/f4c05e69-eaa8-4a2d-a8ed-5b64f51af1a2/1-800-flowers.com/pay-with-klarna/
1-800-flowers.com,Home Appliances,klarna,https://www.klarna.com/us/shopping/t/14/Kitchen-Appliances/; https://www.klarna.com/us/shopping/t/1424/Garden-Patio/; https://www.klarna.com/us/shopping/t/182/Home-Improvement/; https://www.klarna.com/us/shopping/t/3/Home-Appliances/; https://www.klarna.com/us/shopping/t/34/Home-Appliances/,https://www.klarna.com/us/store/f4c05e69-eaa8-4a2d-a8ed-5b64f51af1a2/1-800-flowers.com/pay-with-klarna/
111Skin,Health & Beauty,klarna,https://www.klarna.com/us/shopping/t/10/Health-Beauty/,https://www.klarna.com/us/store/9539f30e-0eb9-498d-a805-0b93aa656c1e/111skin/pay-with-klarna/
12TwentyTwo,Clothing & Accessories,klarna,https://www.klarna.com/us/shopping/t/141/Clothing-Accessories/,
1800 contacts,Health & Beauty,klarna,https://www.klarna.com/us/shopping/t/10/Health-Beauty/,https://www.klarna.com/us/store/1b3b7917-b9bc-42a2-b0a7-e39db1aec178/1800-contacts/pay-with-klarna/
1928 Jewelry,Clothing & Accessories,klarna,https://www.klarna.com/us/shopping/t/141/Clothing-Accessories/,
1A Auto Parts,Automotive,klarna,https://www.klarna.com/us/shopping/t/11/Automotive/,https://www.klarna.com/us/store/446a174c-55bd-4754-8aff-ceedf56c3936/1a-auto-parts/pay-with-klarna/
1stDibs,Home & Appliances,klarna,https://www.klarna.com/us/shopping/t/14/Kitchen-Appliances/; https://www.klarna.com/us/shopping/t/1424/Garden-Patio/; https://www.klarna.com/us/shopping/t/182/Home-Improvement/; https://www.klarna.com/us/shopping/t/3/Home-Appliances/; https://www.klarna.com/us/shopping/t/34/Home-Appliances/,https://www.klarna.com/us/store/fed3d0ed-ed81-4caf-a4c7-6c7a234245c8/1stdibs/pay-with-klarna/
1stDibs,Home Improvement,klarna,https://www.klarna.com/us/shopping/t/14/Kitchen-Appliances/; https://www.klarna.com/us/shopping/t/1424/Garden-Patio/; https://www.klarna.com/us/shopping/t/182/Home-Improvement/; https://www.klarna.com/us/shopping/t/3/Home-Appliances/; https://www.klarna.com/us/shopping/t/34/Home-Appliances/,https://www.klarna.com/us/store/fed3d0ed-ed81-4caf-a4c7-6c7a234245c8/1stdibs/pay-with-klarna/
1stDibs,Garden & Patio,klarna,https://www.klarna.com/us/shopping/t/14/Kitchen-Appliances/; https://www.klarna.com/us/shopping/t/1424/Garden-Patio/; https://www.klarna.com/us/shopping/t/182/Home-Improvement/; https://www.klarna.com/us/shopping/t/3/Home-Appliances/; https://www.klarna.com/us/shopping/t/34/Home-Appliances/,https://www.klarna.com/us/store/fed3d0ed-ed81-4caf-a4c7-6c7a234245c8/1stdibs/pay-with-klarna/
1stDibs,Kitchen Appliances,klarna,https://www.klarna.com/us/shopping/t/14/Kitchen-Appliances/; https://www.klarna.com/us/shopping/t/1424/Garden-Patio/; https://www.klarna.com/us/shopping/t/182/Home-Improvement/; https://www.klarna.com/us/shopping/t/3/Home-Appliances/; https://www.klarna.com/us/shopping/t/34/Home-Appliances/,https://www.klarna.com/us/store/fed3d0ed-ed81-4caf-a4c7-6c7a234245c8/1stdibs/pay-with-klarna/
1stDibs,Home Appliances,klarna,https://www.klarna.com/us/shopping/t/14/Kitchen-Appliances/; https://www.klarna.com/us/shopping/t/1424/Garden-Patio/; https://www.klarna.com/us/shopping/t/182/Home-Improvement/; https://www.klarna.com/us/shopping/t/3/Home-Appliances/; https://www.klarna.com/us/shopping/t/34/Home-Appliances/,https://www.klarna.com/us/store/fed3d0ed-ed81-4caf-a4c7-6c7a234245c8/1stdibs/pay-with-klarna/
1stopbedrooms,Home & Appliances,klarna,https://www.klarna.com/us/shopping/t/14/Kitchen-Appliances/; https://www.klarna.com/us/shopping/t/1424/Garden-Patio/; https://www.klarna.com/us/shopping/t/182/Home-Improvement/; https://www.klarna.com/us/shopping/t/3/Home-Appliances/; https://www.klarna.com/us/shopping/t/34/Home-Appliances/,https://www.klarna.com/us/store/040b6935-66b2-475d-b16c-b13d69c7986f/1stopbedrooms/pay-with-klarna/
1stopbedrooms,Home Improvement,klarna,https://www.klarna.com/us/shopping/t/14/Kitchen-Appliances/; https://www.klarna.com/us/shopping/t/1424/Garden-Patio/; https://www.klarna.com/us/shopping/t/182/Home-Improvement/; https://www.klarna.com/us/shopping/t/3/Home-Appliances/; https://www.klarna.com/us/shopping/t/34/Home-Appliances/,https://www.klarna.com/us/store/040b6935-66b2-475d-b16c-b13d69c7986f/1stopbedrooms/pay-with-klarna/
