CIK,unique_company_id,sec_entity_name,input_public_parent_company,ticker,exchange,merchant_names,canonical_merchant_names,merchant_count,input_public_merchant_rows,bnpl_providers,companyfacts_status,submissions_status,sec_companyfacts_url,sec_submissions_url
0000060667,0000060667,"LOWE’S COMPANIES, INC.",LOWES COMPANIES INC,LOW,NYSE,Lowe's,lowes,1,1,klarna; sezzle; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000060667.json,https://data.sec.gov/submissions/CIK0000060667.json
0000086312,0000086312,"TRAVELERS COMPANIES, INC.","TRAVELERS COMPANIES, INC.",TRV,NYSE,Travelers,travelers,1,1,zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000086312.json,https://data.sec.gov/submissions/CIK0000086312.json
0000103379,0000103379,V. F. CORPORATION,V F CORP,VFC,NYSE,Timberland; Vans,timberland; vans,2,2,sezzle; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000103379.json,https://data.sec.gov/submissions/CIK0000103379.json
0000104169,0000104169,WALMART INC.,Walmart Inc.,WMT,Nasdaq,Sam's Club; Walmart,samsclub; walmart,2,2,affirm; klarna; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000104169.json,https://data.sec.gov/submissions/CIK0000104169.json
0000106640,0000106640,WHIRLPOOL CORP /DE/,WHIRLPOOL CORP /DE/,WHR,NYSE,Whirlpool,whirlpool,1,1,klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000106640.json,https://data.sec.gov/submissions/CIK0000106640.json
0000109177,0000109177,"Spectrum Brands Holdings, Inc.","Spectrum Brands Holdings, Inc.",SPB,NYSE,Spectrum,spectrum,1,1,klarna; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000109177.json,https://data.sec.gov/submissions/CIK0000109177.json
0000110471,0000110471,"WOLVERINE WORLD WIDE, INC.",WOLVERINE WORLD WIDE INC /DE/,WWW,NYSE,Wolverine,wolverine,1,1,klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000110471.json,https://data.sec.gov/submissions/CIK0000110471.json
0000313838,0000313838,Sony Group Corp,Sony Group Corp,SONY,NYSE,Sony,sony,1,1,klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000313838.json,https://data.sec.gov/submissions/CIK0000313838.json
0000320187,0000320187,"NIKE, Inc.","NIKE, Inc.",NKE,NYSE,Converse; Nike,converse; nike,2,2,affirm; klarna; sezzle; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320187.json,https://data.sec.gov/submissions/CIK0000320187.json
0000320193,0000320193,Apple Inc.,Apple Inc.,AAPL,Nasdaq,Apple,apple,1,1,klarna; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,https://data.sec.gov/submissions/CIK0000320193.json
0000354950,0000354950,"HOME DEPOT, INC.","HOME DEPOT, INC.",HD,NYSE,The Home Depot,homedepot,1,1,affirm; klarna; sezzle; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000354950.json,https://data.sec.gov/submissions/CIK0000354950.json
0000701985,0000701985,"BATH & BODY WORKS, INC.","Bath & Body Works, Inc.",BBWI,NYSE,Bath & Body Works,bathandbodyworks,1,1,klarna; sezzle,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000701985.json,https://data.sec.gov/submissions/CIK0000701985.json
0000719955,0000719955,"WILLIAMS-SONOMA, INC.",WILLIAMS SONOMA INC,WSM,NYSE,Williams-Sonoma,williamssonoma,1,1,klarna; sezzle,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000719955.json,https://data.sec.gov/submissions/CIK0000719955.json
0000732717,0000732717,AT&T INC.,AT&T INC.,T,NYSE,AT&T,atandt,1,1,zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000732717.json,https://data.sec.gov/submissions/CIK0000732717.json
0000764478,0000764478,"BEST BUY CO., INC.",BEST BUY CO INC,BBY,NYSE,Best Buy,bestbuy,1,1,affirm; klarna; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000764478.json,https://data.sec.gov/submissions/CIK0000764478.json
0000769397,0000769397,"AUTODESK, INC.","Autodesk, Inc.",ADSK,Nasdaq,Autodesk,autodesk,1,1,klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000769397.json,https://data.sec.gov/submissions/CIK0000769397.json
0000789019,0000789019,MICROSOFT CORPORATION,MICROSOFT CORP,MSFT,Nasdaq,Microsoft Store,microsoftstore,1,1,klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json,https://data.sec.gov/submissions/CIK0000789019.json
0000793952,0000793952,"Harley-Davidson, Inc.","HARLEY-DAVIDSON, INC.",HOG,NYSE,Harley-Davidson,harleydavidson,1,1,klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000793952.json,https://data.sec.gov/submissions/CIK0000793952.json
0000794367,0000794367,"Macy's, Inc.","Macy's, Inc.",M,NYSE,Bloomingdale's; Macy's,bloomingdales; macys,2,2,affirm; klarna; sezzle; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000794367.json,https://data.sec.gov/submissions/CIK0000794367.json
0000799288,0000799288,"LANDS' END, INC.","LANDS' END, INC.",LE,Nasdaq,Lands' End,landsend,1,1,klarna; sezzle,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000799288.json,https://data.sec.gov/submissions/CIK0000799288.json
0000814453,0000814453,NEWELL BRANDS INC.,NEWELL BRANDS INC.,NWL,Nasdaq,Graco,graco,1,1,afterpay; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814453.json,https://data.sec.gov/submissions/CIK0000814453.json
0000823768,0000823768,WASTE MANAGEMENT INC,WASTE MANAGEMENT INC,WM,NYSE,Waste Management,wastemanagement,1,1,zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000823768.json,https://data.sec.gov/submissions/CIK0000823768.json
0000866729,0000866729,SCHOLASTIC CORPORATION,SCHOLASTIC CORP,SCHL,Nasdaq,Scholastic,scholastic,1,1,zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000866729.json,https://data.sec.gov/submissions/CIK0000866729.json
0000866787,0000866787,AUTOZONE INC,AUTOZONE INC,AZO,NYSE,AutoZone,autozone,1,1,klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000866787.json,https://data.sec.gov/submissions/CIK0000866787.json
0000883569,0000883569,"Fossil Group, Inc.","Fossil Group, Inc.",FOSL,Nasdaq,Fossil,fossil,1,1,klarna; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000883569.json,https://data.sec.gov/submissions/CIK0000883569.json
0000884887,0000884887,ROYAL CARIBBEAN CRUISES LTD,ROYAL CARIBBEAN CRUISES LTD,RCL,NYSE,Royal Caribbean,royalcaribbean,1,1,affirm; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000884887.json,https://data.sec.gov/submissions/CIK0000884887.json
0000885245,0000885245,"BUCKLE, INC",BUCKLE INC,BKE,NYSE,Buckle,buckle,1,1,afterpay; klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000885245.json,https://data.sec.gov/submissions/CIK0000885245.json
0000885639,0000885639,KOHL'S CORP,KOHLS Corp,KSS,NYSE,Kohl's,kohls,1,1,affirm; klarna; sezzle; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000885639.json,https://data.sec.gov/submissions/CIK0000885639.json
0000899051,0000899051,ALLSTATE CORP,ALLSTATE CORP,ALL,NYSE,Allstate,allstate,1,1,zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000899051.json,https://data.sec.gov/submissions/CIK0000899051.json
0000908937,0000908937,SIRIUS XM HOLDINGS INC.,SIRIUS XM HOLDINGS INC.,SIRI,Nasdaq,SiriusXM,siriusxm,1,1,zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000908937.json,https://data.sec.gov/submissions/CIK0000908937.json
0000909832,0000909832,COSTCO WHOLESALE CORP /NEW,COSTCO WHOLESALE CORP /NEW,COST,Nasdaq,Costco Wholesale,costcowholesale,1,1,klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000909832.json,https://data.sec.gov/submissions/CIK0000909832.json
0000910521,0000910521,DECKERS OUTDOOR CORP,DECKERS OUTDOOR CORP,DECK,NYSE,HOKA; UGG,hoka; ugg,2,2,affirm; afterpay; klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000910521.json,https://data.sec.gov/submissions/CIK0000910521.json
0000912615,0000912615,"Urban Outfitters, Inc.",URBAN OUTFITTERS INC,URBN,Nasdaq,Urban Outfitters,urbanoutfitters,1,1,afterpay; klarna; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000912615.json,https://data.sec.gov/submissions/CIK0000912615.json
0000916365,0000916365,TRACTOR SUPPLY CO /DE/,TRACTOR SUPPLY CO /DE/,TSCO,Nasdaq,Tractor Supply Co,tractorsupply,1,1,klarna; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000916365.json,https://data.sec.gov/submissions/CIK0000916365.json
0000919012,0000919012,AMERICAN EAGLE OUTFITTERS INC,AMERICAN EAGLE OUTFITTERS INC,AEO,NYSE,American Eagle,americaneagle,1,1,affirm; afterpay; klarna; sezzle,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000919012.json,https://data.sec.gov/submissions/CIK0000919012.json
0001001250,0001001250,Estee Lauder Companies Inc,ESTEE LAUDER COMPANIES INC,EL,NYSE,Estee Lauder,esteelauder,1,1,klarna; sezzle,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001001250.json,https://data.sec.gov/submissions/CIK0001001250.json
0001018724,0001018724,AMAZON COM INC,AMAZON COM INC,AMZN,Nasdaq,Amazon; Zappos,amazon; zappos,2,2,affirm; afterpay; klarna; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001018724.json,https://data.sec.gov/submissions/CIK0001018724.json
0001018840,0001018840,Abercrombie & Fitch Co.,ABERCROMBIE & FITCH CO /DE/,ANF,NYSE,Abercrombie & Fitch,abercrombieandfitch,1,1,klarna; sezzle,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001018840.json,https://data.sec.gov/submissions/CIK0001018840.json
0001032975,0001032975,LOGITECH INTERNATIONAL S.A.,LOGITECH INTERNATIONAL S.A.,LOGI,Nasdaq,Logitech,logitech,1,1,affirm; klarna; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001032975.json,https://data.sec.gov/submissions/CIK0001032975.json
0001037038,0001037038,Ralph Lauren Corporation,RALPH LAUREN CORP,RL,NYSE,Ralph Lauren,ralphlauren,1,1,afterpay,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001037038.json,https://data.sec.gov/submissions/CIK0001037038.json
0001041859,0001041859,"THE CHILDREN’S PLACE, INC.","Childrens Place, Inc.",PLCE,Nasdaq,The Children's Place,childrensplace,1,1,afterpay; klarna; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001041859.json,https://data.sec.gov/submissions/CIK0001041859.json
0001045810,0001045810,NVIDIA CORP,NVIDIA CORP,NVDA,Nasdaq,NVIDIA,nvidia,1,1,klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json,https://data.sec.gov/submissions/CIK0001045810.json
0001048286,0001048286,MARRIOTT INTERNATIONAL INC /MD/,MARRIOTT INTERNATIONAL INC /MD/,MAR,Nasdaq,Marriott,marriott,1,1,zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001048286.json,https://data.sec.gov/submissions/CIK0001048286.json
0001050797,0001050797,COLUMBIA SPORTSWEAR COMPANY,COLUMBIA SPORTSWEAR CO,COLM,Nasdaq,Columbia; Columbia Sportswear,columbia; columbiasportswear,2,2,klarna; sezzle; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001050797.json,https://data.sec.gov/submissions/CIK0001050797.json
0001060822,0001060822,"CARTER’S, INC.",CARTERS INC,CRI,NYSE,Carter's; OshKosh,carters; oshkosh,2,2,afterpay; klarna; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001060822.json,https://data.sec.gov/submissions/CIK0001060822.json
0001065088,0001065088,eBay Inc.,EBAY INC,EBAY,Nasdaq,eBay,ebay,1,1,affirm; klarna; sezzle; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001065088.json,https://data.sec.gov/submissions/CIK0001065088.json
0001075531,0001075531,Booking Holdings Inc.,Booking Holdings Inc.,BKNG,Nasdaq,Priceline,priceline,1,1,affirm; afterpay; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001075531.json,https://data.sec.gov/submissions/CIK0001075531.json
0001084869,0001084869,1 800 FLOWERS COM INC,1 800 FLOWERS COM INC,FLWS,Nasdaq,1-800-flowers.com,1800flowerscom,1,1,klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001084869.json,https://data.sec.gov/submissions/CIK0001084869.json
0001089063,0001089063,"DICK'S Sporting Goods, Inc.","DICK'S SPORTING GOODS, INC.",DKS,NYSE,Dick's Sporting Goods,dickssportinggoods,1,1,afterpay; klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001089063.json,https://data.sec.gov/submissions/CIK0001089063.json
0001113809,0001113809,BUILD-A-BEAR WORKSHOP INC,BUILD-A-BEAR WORKSHOP INC,BBW,NYSE,Build-A-Bear Workshop,buildabearworkshop,1,1,sezzle,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001113809.json,https://data.sec.gov/submissions/CIK0001113809.json
0001116132,0001116132,"Tapestry, Inc.","TAPESTRY, INC.",TPR,NYSE,Coach; Coach Outlet; Kate Spade; Kate Spade Outlet,coach; coachoutlet; katespade; katespadeoutlet,4,4,affirm; afterpay; klarna; sezzle; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001116132.json,https://data.sec.gov/submissions/CIK0001116132.json
0001121788,0001121788,GARMIN LTD,GARMIN LTD,GRMN,NYSE,Garmin,garmin,1,1,klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001121788.json,https://data.sec.gov/submissions/CIK0001121788.json
0001130713,0001130713,"Bed, Bath & Beyond, Inc.","BED BATH & BEYOND, INC.",BBBY,NYSE,Bed Bath & Beyond,bedbathandbeyond,1,1,affirm; klarna; sezzle,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001130713.json,https://data.sec.gov/submissions/CIK0001130713.json
0001132105,0001132105,"SPORTSMAN’S WAREHOUSE HOLDINGS, INC.","SPORTSMAN'S WAREHOUSE HOLDINGS, INC.",SPWH,Nasdaq,Sportsman's Warehouse,sportsmanswarehouse,1,1,sezzle,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001132105.json,https://data.sec.gov/submissions/CIK0001132105.json
0001158449,0001158449,"ADVANCE AUTO PARTS, INC.",ADVANCE AUTO PARTS INC,AAP,NYSE,Advance Auto Parts,advanceautoparts,1,1,klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001158449.json,https://data.sec.gov/submissions/CIK0001158449.json
0001177609,0001177609,"Five Below, Inc.","FIVE BELOW, INC",FIVE,Nasdaq,Five Below,fivebelow,1,1,klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001177609.json,https://data.sec.gov/submissions/CIK0001177609.json
0001254699,0001254699,"QVC, Inc.",QVC INC,QVCCQ,OTC,QVC,qvc,1,1,klarna; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001254699.json,https://data.sec.gov/submissions/CIK0001254699.json
0001258602,0001258602,"NELNET, INC.",NELNET INC,NNI,NYSE,Nelnet,nelnet,1,1,zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001258602.json,https://data.sec.gov/submissions/CIK0001258602.json
0001269238,0001269238,Trip.com Group Limited,Trip.com Group Ltd,TCOM,Nasdaq,Trip.com,tripcom,1,1,affirm; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001269238.json,https://data.sec.gov/submissions/CIK0001269238.json
0001314727,0001314727,"SONOS, INC.",Sonos Inc,SONO,Nasdaq,Sonos,sonos,1,1,affirm; klarna; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001314727.json,https://data.sec.gov/submissions/CIK0001314727.json
0001315098,0001315098,Roblox Corporation,Roblox Corp,RBLX,NYSE,ROBLOX,roblox,1,1,sezzle,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001315098.json,https://data.sec.gov/submissions/CIK0001315098.json
0001318008,0001318008,ZUMIEZ INC,Zumiez Inc,ZUMZ,Nasdaq,zumiez,zumiez,1,1,klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001318008.json,https://data.sec.gov/submissions/CIK0001318008.json
0001324424,0001324424,"EXPEDIA GROUP, INC.","Expedia Group, Inc.",EXPE,Nasdaq,Expedia; Vrbo,expedia; vrbo,2,2,affirm; afterpay; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001324424.json,https://data.sec.gov/submissions/CIK0001324424.json
0001326380,0001326380,GameStop Corp.,GameStop Corp.,GME,NYSE,GameStop,gamestop,1,1,klarna; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001326380.json,https://data.sec.gov/submissions/CIK0001326380.json
0001334036,0001334036,"CROCS, INC.","Crocs, Inc.",CROX,Nasdaq,Crocs,crocs,1,1,afterpay; klarna; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001334036.json,https://data.sec.gov/submissions/CIK0001334036.json
0001336917,0001336917,"UNDER ARMOUR, INC.","Under Armour, Inc.",UAA,NYSE,Under Armour,underarmour,1,1,affirm; klarna; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001336917.json,https://data.sec.gov/submissions/CIK0001336917.json
0001337634,0001337634,"STUBHUB HOLDINGS, INC.","StubHub Holdings, Inc.",STUB,NYSE,StubHub,stubhub,1,1,affirm; afterpay; klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001337634.json,https://data.sec.gov/submissions/CIK0001337634.json
0001368458,0001368458,"SALLY BEAUTY HOLDINGS, INC.","Sally Beauty Holdings, Inc.",SBH,NYSE,Sally Beauty,sallybeauty,1,1,klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001368458.json,https://data.sec.gov/submissions/CIK0001368458.json
0001370637,0001370637,"ETSY, INC",ETSY INC,ETSY,NYSE,Etsy,etsy,1,1,klarna; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001370637.json,https://data.sec.gov/submissions/CIK0001370637.json
0001378950,0001378950,"CARPARTS.COM, INC.","CarParts.com, Inc.",PRTS,Nasdaq,CarParts.com,carpartscom,1,1,zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001378950.json,https://data.sec.gov/submissions/CIK0001378950.json
0001397187,0001397187,lululemon athletica inc.,lululemon athletica inc.,LULU,Nasdaq,lululemon,lululemon,1,1,affirm; afterpay; klarna; sezzle; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001397187.json,https://data.sec.gov/submissions/CIK0001397187.json
0001403568,0001403568,"ULTA BEAUTY, INC.","Ulta Beauty, Inc.",ULTA,Nasdaq,Ulta; Ulta Beauty,ulta; ultabeauty,2,2,affirm; afterpay; klarna; sezzle,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001403568.json,https://data.sec.gov/submissions/CIK0001403568.json
0001428439,0001428439,"Roku, Inc.","ROKU, INC",ROKU,Nasdaq,Roku,roku,1,1,sezzle,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001428439.json,https://data.sec.gov/submissions/CIK0001428439.json
0001433195,0001433195,"AppFolio, Inc.",APPFOLIO INC,APPF,Nasdaq,AppFolio,appfolio,1,1,zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001433195.json,https://data.sec.gov/submissions/CIK0001433195.json
0001484778,0001484778,ThredUp Inc.,ThredUp Inc.,TDUP,Nasdaq,ThredUp,thredup,1,1,afterpay; klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001484778.json,https://data.sec.gov/submissions/CIK0001484778.json
0001490281,0001490281,"Groupon, Inc.","Groupon, Inc.",GRPN,Nasdaq,Groupon,groupon,1,1,affirm; klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001490281.json,https://data.sec.gov/submissions/CIK0001490281.json
0001493761,0001493761,TURTLE BEACH CORPORATION,Turtle Beach Corp,TBCH,Nasdaq,Turtle Beach,turtlebeach,1,1,sezzle,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001493761.json,https://data.sec.gov/submissions/CIK0001493761.json
0001495320,0001495320,"VERA BRADLEY, INC.","Vera Bradley, Inc.",VRA,Nasdaq,Vera Bradley,verabradley,1,1,afterpay; klarna; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001495320.json,https://data.sec.gov/submissions/CIK0001495320.json
0001500435,0001500435,"GOPRO, INC.","GoPro, Inc.",GPRO,Nasdaq,GoPro,gopro,1,1,klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001500435.json,https://data.sec.gov/submissions/CIK0001500435.json
0001504776,0001504776,Warby Parker Inc.,Warby Parker Inc.,WRBY,NYSE,Warby Parker,warbyparker,1,1,klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001504776.json,https://data.sec.gov/submissions/CIK0001504776.json
0001523836,0001523836,"LightInTheBox Holding Co., Ltd.","LightInTheBox Holding Co., Ltd.",LITB,NYSE,Light in the box,lightinthebox,1,1,afterpay; klarna; sezzle,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001523836.json,https://data.sec.gov/submissions/CIK0001523836.json
0001524025,0001524025,"TILLY'S, INC.","TILLY'S, INC.",TLYS,NYSE,Tilly's,tillys,1,1,afterpay; klarna; sezzle,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001524025.json,https://data.sec.gov/submissions/CIK0001524025.json
0001526520,0001526520,"TRIPADVISOR, INC.","TripAdvisor, Inc.",TRIP,Nasdaq,Tripadvisor,tripadvisor,1,1,zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001526520.json,https://data.sec.gov/submissions/CIK0001526520.json
0001531152,0001531152,"BJ’S WHOLESALE CLUB HOLDINGS, INC.","BJ's Wholesale Club Holdings, Inc.",BJ,NYSE,BJ's Wholesale Club,bjswholesaleclub,1,1,klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001531152.json,https://data.sec.gov/submissions/CIK0001531152.json
0001559720,0001559720,"Airbnb, Inc.","Airbnb, Inc.",ABNB,Nasdaq,Airbnb,airbnb,1,1,zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001559720.json,https://data.sec.gov/submissions/CIK0001559720.json
