merchant_name,category,bnpl_provider,source_urls,merchant_urls
Booking.com,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/tickets; https://www.afterpay.com/en-US/categories/travel,https://www.booking.com/?aid=2224714
Bric's Milano,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://bricstore.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Cinegrams,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/tickets,http://cinegrams.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
DG Entertainment Services Inc.,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/tickets,https://dgentertainment.us/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
DICE.FM,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/tickets,https://dice.fm/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Dillard's,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/beauty; https://www.afterpay.com/en-US/categories/home; https://www.afterpay.com/en-US/categories/kids; https://www.afterpay.com/en-US/categories/mens-clothing; https://www.afterpay.com/en-US/categories/tech; https://www.afterpay.com/en-US/categories/travel; https://www.afterpay.com/en-US/categories/womens-clothing,https://www.dillards.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
DUKAP Luggage,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://dukapgear.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Expedia,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/tickets; https://www.afterpay.com/en-US/categories/travel,https://www.expedia.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Five Star Napkins,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/tickets,https://www.fivestarnapkins.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
FIVEM STORE,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/tickets,http://fivem-store.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Fly Fairly (now Laters.com),Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://laters.com/payment/afterpay?irclickid=xkIxUayMKxyZTvvxvJxWj2:BUkuX4XSdMx:tVE0&sharedid=&irpid=2861116&irgwc=1&afsrc=1&utm_source=cashappafterpay&utm_medium=store&utm_campaign=organic&payment=afterpay
Genius Pack,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://geniuspack.com?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Go Forth Goods,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/home; https://www.afterpay.com/en-US/categories/travel,https://www.goforthgoods.com?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
GOT BAG,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://us.got-bag.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Gravity Wellness Spa,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/tickets,https://www.gravitywellnessspa.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Herschel Supply Co.,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/mens-clothing; https://www.afterpay.com/en-US/categories/travel; https://www.afterpay.com/en-US/categories/womens-clothing,https://herschel.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Hotels.com,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/tickets; https://www.afterpay.com/en-US/categories/travel,https://www.hotels.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Indigo Salon and Medical Spa,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/health; https://www.afterpay.com/en-US/categories/home; https://www.afterpay.com/en-US/categories/tickets,https://indigosalondayspa.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
InUSA,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://www.inusaluggage.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
July,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://july.com/us/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
K9 Sport Sack,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://www.k9sportsack.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Knack,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/mens-clothing; https://www.afterpay.com/en-US/categories/travel; https://www.afterpay.com/en-US/categories/womens-clothing,http://www.knackbags.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Kulkea,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://kulkea.com?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
KUSSHI,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/beauty; https://www.afterpay.com/en-US/categories/travel,https://www.kusshi.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
LA MADISON,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel; https://www.afterpay.com/en-US/categories/womens-clothing,http://lamadison.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
LEGOLAND California,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://www.legoland.com/california/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
LEGOLAND Florida,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://www.legoland.com/florida/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Legoland Hotel California,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://www.legoland.com/california/places-to-stay/legoland-hotel/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Legoland Hotel Florida,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://www.legoland.com/florida/places-to-stay/legoland-hotel/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Legoland Hotel New York,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://www.legoland.com/new-york/places-to-stay/legoland-hotel/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
LEGOLAND New York,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://www.legoland.com/new-york/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Loctote,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://loctote.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Luxury Escapes,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/tickets; https://www.afterpay.com/en-US/categories/travel,https://luxuryescapes.com/us/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Madame Tussauds Hollywood,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://www.madametussauds.com/hollywood/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Madame Tussauds Las Vegas,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://www.madametussauds.com/las-vegas/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Madame Tussauds Nashville,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://www.madametussauds.com/nashville/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Madame Tussauds New York,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://www.madametussauds.com/new-york/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Madame Tussauds Orlando,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://www.madametussauds.com/orlando/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Manhattan Portage,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://www.manhattanportage.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Parker Clay,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://www.parkerclay.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Peppa Pig World Play Chicago,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://www.peppapigworldofplay.com/chicago/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
PEPPA PIG World Play Dallas,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://www.peppapigworldofplay.com/dallasfw/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Peppa Pig World Play Michigan,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://www.peppapigworldofplay.com/michigan/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Pink Palace Designs,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/tickets,http://pinkpalacedesigns.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Priceline,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/tickets; https://www.afterpay.com/en-US/categories/travel,https://afterpay.travelweb.com/wl/r/hotel/listings/?&mk=afterpay-98oi63u3KbeVvoqtpLUy
Ragu Like The Sauce Photography,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/tickets,https://www.ragulikethesauce.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
SEA LIFE Arizona,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://www.visitsealife.com/arizona/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
SEA LIFE Charlotte,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://www.visitsealife.com/charlotte-concord/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
SEA LIFE Kansas City,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://www.visitsealife.com/kansas-city/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
SEA LIFE Michigan,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://www.visitsealife.com/michigan/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
SEA LIFE Orlando,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://www.visitsealife.com/orlando/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
SEA LIFE San Antonio,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://www.visitsealife.com/san-antonio/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Seawater Pro,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,http://seawaterpro.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Simify,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://simify.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Steamline Luggage,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://steamlineluggage.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Steel Horse Leather,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://steelhorseleather.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Stubhub Inc.,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/tickets,https://afterpaytiles.ampxdirect.com?partner=afterpaytiles&sub1=10165&sub2=categories&sub3=74713&source=als_tiles
SWISSGEAR,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://www.swissgear.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
T&D Design & Sundry,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/tickets,http://tnddesign.site/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Tach Luggage,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://www.tachluggage.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
The Wander Club,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://thewanderclub.com/utm_source=afterpay&tum_medium=referral&utm_campaign=feature
The Whimsy Artisan Boutique,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/tickets,https://thewhimsyartisan.com?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Tote & Carry,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://www.totencarry.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Traveler's Choice Travelware,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,http://travelerchoice.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Traveling Tikes,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/kids; https://www.afterpay.com/en-US/categories/travel,https://www.travelingtikes.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
TS SKIN CLINIC SPA,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/tickets,https://tsskinclinicspa.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
TURN IT OUT Dance Academy,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/tickets,https://turn-it-out-dance-academy.square.site/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Udemy,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/tickets,https://www.udemy.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
UPPER,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel; https://www.afterpay.com/en-US/categories/womens-clothing,https://upperbags.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Agoda,Travel & Entertainment,zip,https://zip.co/us/shop/flights; https://zip.co/us/shop/hotels; https://zip.co/us/shop/travel-entertainment,https://agoda.com
Agoda,Flights,zip,https://zip.co/us/shop/flights; https://zip.co/us/shop/hotels; https://zip.co/us/shop/travel-entertainment,https://agoda.com
Agoda,Hotels,zip,https://zip.co/us/shop/flights; https://zip.co/us/shop/hotels; https://zip.co/us/shop/travel-entertainment,https://agoda.com
Airbnb,Travel & Entertainment,zip,https://zip.co/us/shop/hotels,https://www.airbnb.com
Airbnb,Hotels,zip,https://zip.co/us/shop/hotels,https://www.airbnb.com
Alaska Airlines,Travel & Entertainment,zip,https://zip.co/us/shop/flights,https://www.alaskaair.com/
Alaska Airlines,Flights,zip,https://zip.co/us/shop/flights,https://www.alaskaair.com/
Alternative Airlines,Travel & Entertainment,zip,https://zip.co/us/shop/flights; https://zip.co/us/shop/shop-all; https://zip.co/us/shop/travel-entertainment,https://www.alternativeairlines.com/zip-pay
Alternative Airlines,Flights,zip,https://zip.co/us/shop/flights; https://zip.co/us/shop/shop-all; https://zip.co/us/shop/travel-entertainment,https://www.alternativeairlines.com/zip-pay
American Airlines,Travel & Entertainment,zip,https://zip.co/us/shop/flights; https://zip.co/us/shop/travel-entertainment,https://www.aa.com/homePage.do
American Airlines,Flights,zip,https://zip.co/us/shop/flights; https://zip.co/us/shop/travel-entertainment,https://www.aa.com/homePage.do
Amtrak,Travel & Entertainment,zip,https://zip.co/us/shop/travel-entertainment,https://www.amtrak.com/home
Away Travel,Travel & Entertainment,zip,https://zip.co/us/shop/travel-entertainment,https://www.awaytravel.com/
Best Western,Travel & Entertainment,zip,https://zip.co/us/shop/hotels; https://zip.co/us/shop/travel-entertainment,https://bestwestern.com
Best Western,Hotels,zip,https://zip.co/us/shop/hotels; https://zip.co/us/shop/travel-entertainment,https://bestwestern.com
Booking.com,Travel & Entertainment,zip,https://zip.co/us/shop/travel-entertainment,https://booking.com
Booking.com Flights,Travel & Entertainment,zip,https://zip.co/us/shop/travel-entertainment,https://booking.com
Booking.com Hotel,Travel & Entertainment,zip,https://zip.co/us/shop/hotels,https://booking.com
Booking.com Hotel,Hotels,zip,https://zip.co/us/shop/hotels,https://booking.com
Bowlero,Travel & Entertainment,zip,https://zip.co/us/shop/travel-entertainment,https://click.linksynergy.com/deeplink?id=WqbsObeGNo4&mid=53231&murl=https%3A%2F%2Fwww.bowlero.com%2F
Celebrity Cruises,Travel & Entertainment,zip,https://zip.co/us/shop/travel-entertainment,https://www.celebritycruises.com/
CheapOair,Travel & Entertainment,zip,https://zip.co/us/shop/flights,https://www.cheapoair.com/
CheapOair,Flights,zip,https://zip.co/us/shop/flights,https://www.cheapoair.com/
Circus Hotel,Hotels,zip,https://zip.co/us/shop/hotels,https://www.quadpay.com
Clear,Travel & Entertainment,zip,https://zip.co/us/shop/travel-entertainment,https://www.clearme.com/
Delta,Travel & Entertainment,zip,https://zip.co/us/shop/travel-entertainment,https://www.delta.com/
Disney Parks,Travel & Entertainment,zip,https://zip.co/us/shop/travel-entertainment,https://disneyparks.disney.go.com/disney-tickets/
eBikeJOY,Travel & Entertainment,zip,https://zip.co/us/shop/fitness,https://www.ebikejoy.com/
Emirates,Travel & Entertainment,zip,https://zip.co/us/shop/flights,https://www.emirates.com/us/english/
Emirates,Flights,zip,https://zip.co/us/shop/flights,https://www.emirates.com/us/english/
Expedia,Travel & Entertainment,zip,https://zip.co/us/shop/flights; https://zip.co/us/shop/hotels; https://zip.co/us/shop/travel-entertainment,https://www.expedia.com/
Expedia,Flights,zip,https://zip.co/us/shop/flights; https://zip.co/us/shop/hotels; https://zip.co/us/shop/travel-entertainment,https://www.expedia.com/
Expedia,Hotels,zip,https://zip.co/us/shop/flights; https://zip.co/us/shop/hotels; https://zip.co/us/shop/travel-entertainment,https://www.expedia.com/
Frontier,Travel & Entertainment,zip,https://zip.co/us/shop/travel-entertainment,https://www.flyfrontier.com/
Great Wolf Lodge,Travel & Entertainment,zip,https://zip.co/us/shop/travel-entertainment,https://greatwolf.com
Hawaiian Airlines,Travel & Entertainment,zip,https://zip.co/us/shop/flights,https://hawaiianairlines.com
Hawaiian Airlines,Flights,zip,https://zip.co/us/shop/flights,https://hawaiianairlines.com
Hilton,Travel & Entertainment,zip,https://zip.co/us/shop/hotels; https://zip.co/us/shop/travel-entertainment,https://www.hilton.com/en/
Hilton,Hotels,zip,https://zip.co/us/shop/hotels; https://zip.co/us/shop/travel-entertainment,https://www.hilton.com/en/
Hotel Collection,Hotels,zip,https://zip.co/us/shop/hotels,https://www.hotelcollection.com/
Hotel Tonight,Travel & Entertainment,zip,https://zip.co/us/shop/hotels; https://zip.co/us/shop/travel-entertainment,https://www.hoteltonight.com/
Hotel Tonight,Hotels,zip,https://zip.co/us/shop/hotels; https://zip.co/us/shop/travel-entertainment,https://www.hoteltonight.com/
Hotels.com,Travel & Entertainment,zip,https://zip.co/us/shop/hotels; https://zip.co/us/shop/travel-entertainment,https://hotels.com
Hotels.com,Hotels,zip,https://zip.co/us/shop/hotels; https://zip.co/us/shop/travel-entertainment,https://hotels.com
Hotwire,Travel & Entertainment,zip,https://zip.co/us/shop/travel-entertainment,https://www.hotwire.com/
Hulu,Travel & Entertainment,zip,https://zip.co/us/shop/bills,https://hulu.com
IHG Hotels & Resorts,Travel & Entertainment,zip,https://zip.co/us/shop/hotels,https://ihg.com
IHG Hotels & Resorts,Hotels,zip,https://zip.co/us/shop/hotels,https://ihg.com
Jetblue,Travel & Entertainment,zip,https://zip.co/us/shop/flights; https://zip.co/us/shop/travel-entertainment,https://www.jetblue.com/
Jetblue,Flights,zip,https://zip.co/us/shop/flights; https://zip.co/us/shop/travel-entertainment,https://www.jetblue.com/
Lastminute.com,Travel & Entertainment,zip,https://zip.co/us/shop/travel-entertainment,https://us.lastminute.com/
Laters.com (Fly Fairly),Travel & Entertainment,zip,https://zip.co/us/shop/flights; https://zip.co/us/shop/travel-entertainment,https://flyfairly.com/payment/zip?payment=zip
Laters.com (Fly Fairly),Flights,zip,https://zip.co/us/shop/flights; https://zip.co/us/shop/travel-entertainment,https://flyfairly.com/payment/zip?payment=zip
Marriott,Hotels,zip,https://zip.co/us/shop/hotels,https://www.marriott.com/loyalty.mi
Monos,Travel & Entertainment,zip,https://zip.co/us/shop/travel-entertainment,https://monos.com/
Orbitz,Travel & Entertainment,zip,https://zip.co/us/shop/flights; https://zip.co/us/shop/hotels,https://orbitz.com
Orbitz,Flights,zip,https://zip.co/us/shop/flights; https://zip.co/us/shop/hotels,https://orbitz.com
Orbitz,Hotels,zip,https://zip.co/us/shop/flights; https://zip.co/us/shop/hotels,https://orbitz.com
Priceline,Travel & Entertainment,zip,https://zip.co/us/shop/flights; https://zip.co/us/shop/hotels; https://zip.co/us/shop/travel-entertainment,https://www.priceline.com/
Priceline,Flights,zip,https://zip.co/us/shop/flights; https://zip.co/us/shop/hotels; https://zip.co/us/shop/travel-entertainment,https://www.priceline.com/
Priceline,Hotels,zip,https://zip.co/us/shop/flights; https://zip.co/us/shop/hotels; https://zip.co/us/shop/travel-entertainment,https://www.priceline.com/
Royal Caribbean,Travel & Entertainment,zip,https://zip.co/us/shop/travel-entertainment,https://www.royalcaribbean.com/
Samsonite,Travel & Entertainment,zip,https://zip.co/us/shop/travel-entertainment,https://shop.samsonite.com/
Sixt,Travel & Entertainment,zip,https://zip.co/us/shop/sports-outdoors; https://zip.co/us/shop/travel-entertainment,https://www.sixt.com/
Spark by Hilton,Travel & Entertainment,zip,https://zip.co/us/shop/travel-entertainment,https://www.hilton.com/en/brands/spark-by-hilton/
Travelocity,Travel & Entertainment,zip,https://zip.co/us/shop/travel-entertainment,https://www.travelocity.com
Trip.com,Travel & Entertainment,zip,https://zip.co/us/shop/hotels; https://zip.co/us/shop/travel-entertainment,https://us.trip.com/
Trip.com,Hotels,zip,https://zip.co/us/shop/hotels; https://zip.co/us/shop/travel-entertainment,https://us.trip.com/
Tripadvisor,Travel & Entertainment,zip,https://zip.co/us/shop/travel-entertainment,https://www.tripadvisor.com/
Trivago,Travel & Entertainment,zip,https://zip.co/us/shop/flights; https://zip.co/us/shop/hotels,https://trivago.com
Trivago,Flights,zip,https://zip.co/us/shop/flights; https://zip.co/us/shop/hotels,https://trivago.com
Trivago,Hotels,zip,https://zip.co/us/shop/flights; https://zip.co/us/shop/hotels,https://trivago.com
United,Travel & Entertainment,zip,https://zip.co/us/shop/flights; https://zip.co/us/shop/travel-entertainment,https://www.united.com/en/us
United,Flights,zip,https://zip.co/us/shop/flights; https://zip.co/us/shop/travel-entertainment,https://www.united.com/en/us
Viator,Travel & Entertainment,zip,https://zip.co/us/shop/travel-entertainment,https://www.viator.com/
Vivid Seats,Travel & Entertainment,zip,https://zip.co/us/shop/travel-entertainment,https://www.vividseats.com/
Vrbo,Travel & Entertainment,zip,https://zip.co/us/shop/hotels; https://zip.co/us/shop/travel-entertainment,https://vrbo.com
Vrbo,Hotels,zip,https://zip.co/us/shop/hotels; https://zip.co/us/shop/travel-entertainment,https://vrbo.com
Westin Store,Travel & Entertainment,zip,https://zip.co/us/shop/home-furniture; https://zip.co/us/shop/travel-entertainment,https://www.boutiques.marriottbonvoy.com/
