market_key,region,vintage_late,vintage_old,listings_file
canada_nb_new-brunswick,NAM,2026-08-31,2025-08-30,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\canada_nb_new-brunswick_2026-06-30_listings.csv.gz
canada_on_ottawa,NAM,2026-08-27,2025-08-19,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\canada_on_ottawa_2026-06-24_listings.csv.gz
canada_on_toronto,NAM,2026-08-15,2025-08-05,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\canada_on_toronto_2026-07-14_listings.csv.gz
canada_qc_montreal,NAM,2026-08-10,2025-08-16,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\canada_qc_montreal_2026-06-15_listings.csv.gz
canada_qc_quebec-city,NAM,2026-08-18,2025-08-08,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\canada_qc_quebec-city_2026-07-16_listings.csv.gz
chile_rm_santiago,LatAm,2026-08-30,2025-08-29,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\chile_rm_santiago_2026-06-29_listings.csv.gz
china_hk_hong-kong,APAC,2026-08-28,2025-08-24,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\china_hk_hong-kong_2026-06-27_listings.csv.gz
colombia_dc_bogotá,LatAm,2026-08-18,,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\colombia_dc_bogotá_2026-06-21_listings.csv.gz
czech-republic_prague_prague,EMEA,2026-08-28,2025-08-24,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\czech-republic_prague_prague_2026-06-27_listings.csv.gz
denmark_hovedstaden_copenhagen,EMEA,2026-08-31,2025-08-30,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\denmark_hovedstaden_copenhagen_2026-06-30_listings.csv.gz
france_auvergne-rhone-alpes_lyon,EMEA,2026-08-25,2025-08-16,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\france_auvergne-rhone-alpes_lyon_2026-06-22_listings.csv.gz
france_ile-de-france_paris,EMEA,2026-08-15,2025-08-08,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\france_ile-de-france_paris_2026-06-16_listings.csv.gz
france_nouvelle-aquitaine_bordeaux,EMEA,2026-08-25,2025-08-16,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\france_nouvelle-aquitaine_bordeaux_2026-06-22_listings.csv.gz
france_pyrénées-atlantiques_pays-basque,EMEA,2026-08-27,2025-08-19,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\france_pyrénées-atlantiques_pays-basque_2026-06-23_listings.csv.gz
germany_be_berlin,EMEA,2026-08-27,2025-08-23,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\germany_be_berlin_2026-06-26_listings.csv.gz
germany_bv_munich,EMEA,2026-08-30,2025-08-29,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\germany_bv_munich_2026-06-29_listings.csv.gz
greece_attica_athens,EMEA,2026-08-30,2025-08-28,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\greece_attica_athens_2026-06-28_listings.csv.gz
greece_central-macedonia_thessaloniki,EMEA,2026-08-30,2025-08-28,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\greece_central-macedonia_thessaloniki_2026-06-29_listings.csv.gz
greece_crete_crete,EMEA,2026-08-31,2025-08-30,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\greece_crete_crete_2026-06-29_listings.csv.gz
greece_south-aegean_south-aegean,EMEA,2026-08-28,2025-08-24,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\greece_south-aegean_south-aegean_2026-06-28_listings.csv.gz
hungary_közép-magyarország_budapest,EMEA,2026-08-29,2025-08-27,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\hungary_közép-magyarország_budapest_2026-07-21_listings.csv.gz
ireland,EMEA,2026-08-25,2025-08-16,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\ireland_leinster_dublin_2026-06-21_listings.csv.gz
ireland_leinster_dublin,EMEA,2026-08-25,2025-08-16,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\ireland_leinster_dublin_2026-06-21_listings.csv.gz
italy_campania_naples,EMEA,2026-08-27,2025-08-21,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\italy_campania_naples_2026-06-25_listings.csv.gz
italy_emilia-romagna_bologna,EMEA,2026-08-27,2025-08-21,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\italy_emilia-romagna_bologna_2026-06-26_listings.csv.gz
italy_lazio_rome,EMEA,2026-08-25,2025-08-15,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\italy_lazio_rome_2026-06-20_listings.csv.gz
italy_lombardia_bergamo,EMEA,2026-08-31,2025-08-31,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\italy_lombardia_bergamo_2026-06-30_listings.csv.gz
italy_lombardy_milan,EMEA,2026-08-27,2025-08-21,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\italy_lombardy_milan_2026-06-25_listings.csv.gz
italy_puglia_puglia,EMEA,2026-08-31,2025-08-31,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\italy_puglia_puglia_2026-06-30_listings.csv.gz
italy_sicilia_sicily,EMEA,2026-08-31,2025-08-31,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\italy_sicilia_sicily_2026-06-30_listings.csv.gz
italy_toscana_florence,EMEA,2026-08-27,2025-08-21,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\italy_toscana_florence_2026-06-26_listings.csv.gz
italy_trentino-alto-adige-südtirol_trentino,EMEA,2026-08-31,2025-08-31,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\italy_trentino-alto-adige-südtirol_trentino_2026-06-30_listings.csv.gz
italy_veneto_venice,EMEA,2026-08-13,2025-08-04,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\italy_veneto_venice_2026-06-15_listings.csv.gz
japan_kanto_tokyo,APAC,2026-08-31,2025-08-30,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\japan_kanto_tokyo_2026-06-30_listings.csv.gz
kenya_nairobi_nairobi,EMEA,2026-08-18,,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\kenya_nairobi_nairobi_2026-06-15_listings.csv.gz
latvia_riga_riga,EMEA,2026-08-31,2025-08-31,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\latvia_riga_riga_2026-06-30_listings.csv.gz
malta,EMEA,2026-08-30,2025-08-28,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\malta_2026-06-28_listings.csv.gz
mexico_df_mexico-city,LatAm,2026-08-30,2025-08-29,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\mexico_df_mexico-city_2026-06-15_listings.csv.gz
new-zealand,APAC,2026-08-13,2025-08-03,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\new-zealand_2026-07-12_listings.csv.gz
norway_oslo_oslo,EMEA,2026-08-31,2025-08-31,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\norway_oslo_oslo_2026-06-30_listings.csv.gz
portugal_lisbon_lisbon,EMEA,2026-08-26,2025-08-17,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\portugal_lisbon_lisbon_2026-06-23_listings.csv.gz
portugal_norte_porto,EMEA,2026-08-26,2025-08-17,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\portugal_norte_porto_2026-06-23_listings.csv.gz
singapore_sg_singapore,APAC,2026-08-31,2025-08-30,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\singapore_sg_singapore_2026-06-29_listings.csv.gz
south-africa_wc_cape-town,EMEA,2026-08-30,2025-08-29,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\south-africa_wc_cape-town_2026-06-29_listings.csv.gz
spain_andalucía_malaga,EMEA,2026-08-31,2025-08-31,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\spain_andalucía_malaga_2026-06-30_listings.csv.gz
spain_andalucía_sevilla,EMEA,2026-08-31,2025-08-31,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\spain_andalucía_sevilla_2026-06-30_listings.csv.gz
spain_catalonia_barcelona,EMEA,2026-08-23,2025-08-10,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\spain_catalonia_barcelona_2026-06-24_listings.csv.gz
spain_catalonia_girona,EMEA,2026-08-31,2025-08-31,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\spain_catalonia_girona_2026-06-30_listings.csv.gz
spain_comunidad-de-madrid_madrid,EMEA,2026-08-23,2025-08-15,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\spain_comunidad-de-madrid_madrid_2026-06-20_listings.csv.gz
spain_islas-baleares_mallorca,EMEA,2026-08-26,2025-08-17,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\spain_islas-baleares_mallorca_2026-06-23_listings.csv.gz
spain_islas-baleares_menorca,EMEA,2026-08-31,2025-08-31,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\spain_islas-baleares_menorca_2026-06-30_listings.csv.gz
spain_pv_euskadi,EMEA,2026-08-31,2025-08-31,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\spain_pv_euskadi_2026-06-30_listings.csv.gz
spain_vc_valencia,EMEA,2026-08-28,2025-08-23,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\spain_vc_valencia_2026-06-26_listings.csv.gz
sweden_stockholms-län_stockholm,EMEA,2026-08-31,2025-08-30,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\sweden_stockholms-län_stockholm_2026-06-30_listings.csv.gz
switzerland_geneva_geneva,EMEA,2026-08-31,2025-08-30,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\switzerland_geneva_geneva_2026-06-29_listings.csv.gz
switzerland_vd_vaud,EMEA,2026-08-10,2025-08-03,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\switzerland_vd_vaud_2026-07-12_listings.csv.gz
switzerland_zürich_zurich,EMEA,2026-08-31,2025-08-30,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\switzerland_zürich_zurich_2026-06-30_listings.csv.gz
taiwan_northern-taiwan_taipei,APAC,2026-08-31,2025-08-31,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\taiwan_northern-taiwan_taipei_2026-06-30_listings.csv.gz
thailand_central-thailand_bangkok,APAC,2026-08-30,2025-08-28,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\thailand_central-thailand_bangkok_2026-06-29_listings.csv.gz
the-netherlands_north-holland_amsterdam,EMEA,2026-08-15,2025-08-05,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\the-netherlands_north-holland_amsterdam_2026-06-15_listings.csv.gz
the-netherlands_south-holland_rotterdam,EMEA,2026-08-29,2025-08-27,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\the-netherlands_south-holland_rotterdam_2026-06-28_listings.csv.gz
the-netherlands_south-holland_the-hague,EMEA,2026-08-30,2025-08-27,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\the-netherlands_south-holland_the-hague_2026-06-28_listings.csv.gz
turkey_marmara_istanbul,EMEA,2026-08-31,2025-08-31,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\turkey_marmara_istanbul_2026-06-30_listings.csv.gz
united-kingdom_england_bristol,EMEA,2026-08-30,2025-08-28,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-kingdom_england_bristol_2026-06-29_listings.csv.gz
united-kingdom_england_greater-manchester,EMEA,2026-08-30,2025-08-28,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-kingdom_england_greater-manchester_2026-06-28_listings.csv.gz
united-kingdom_england_london,EMEA,2026-08-18,2025-09-14,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-kingdom_england_london_2026-06-19_listings.csv.gz
united-kingdom_scotland_edinburgh,EMEA,2026-08-26,2025-08-17,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-kingdom_scotland_edinburgh_2026-06-23_listings.csv.gz
united-states_ca_los-angeles,NAM,2026-08-10,2025-09-01,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_ca_los-angeles_2026-06-15_listings.csv.gz
united-states_ca_oakland,NAM,2026-08-29,2025-08-26,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_ca_oakland_2026-06-27_listings.csv.gz
united-states_ca_pacific-grove,NAM,2026-08-31,2025-08-31,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_ca_pacific-grove_2026-06-14_listings.csv.gz
united-states_ca_san-diego,NAM,2026-08-29,2025-08-26,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_ca_san-diego_2026-06-27_listings.csv.gz
united-states_ca_san-francisco,NAM,2026-08-10,2025-09-01,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_ca_san-francisco_2026-06-14_listings.csv.gz
united-states_ca_san-mateo-county,NAM,2026-08-29,2025-08-26,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_ca_san-mateo-county_2026-06-27_listings.csv.gz
united-states_ca_santa-clara-county,NAM,2026-08-29,2025-08-27,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_ca_santa-clara-county_2026-06-28_listings.csv.gz
united-states_ca_santa-cruz-county,NAM,2026-08-31,2025-08-31,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_ca_santa-cruz-county_2026-06-30_listings.csv.gz
united-states_co_denver,NAM,2026-08-31,2025-08-31,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_co_denver_2026-06-30_listings.csv.gz
united-states_dc_washington-dc,NAM,2026-08-27,2025-08-19,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_dc_washington-dc_2026-06-24_listings.csv.gz
united-states_fl_broward-county,NAM,2026-08-30,2025-08-28,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_fl_broward-county_2026-06-29_listings.csv.gz
united-states_hi_hawaii,NAM,2026-08-25,2025-08-16,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_hi_hawaii_2026-06-21_listings.csv.gz
united-states_il_chicago,NAM,2026-08-27,2025-08-19,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_il_chicago_2026-06-24_listings.csv.gz
united-states_la_new-orleans,NAM,2026-08-15,2025-08-05,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_la_new-orleans_2026-06-16_listings.csv.gz
united-states_ma_boston,NAM,2026-08-27,2025-08-23,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_ma_boston_2026-06-15_listings.csv.gz
united-states_ma_cambridge,NAM,2026-08-31,2025-08-30,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_ma_cambridge_2026-06-29_listings.csv.gz
united-states_mn_twin-cities-msa,NAM,2026-08-28,2025-08-24,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_mn_twin-cities-msa_2026-06-27_listings.csv.gz
united-states_mt_bozeman,NAM,2026-08-18,2025-08-08,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_mt_bozeman_2026-07-16_listings.csv.gz
united-states_nc_asheville,NAM,2026-08-27,2025-08-21,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_nc_asheville_2026-06-25_listings.csv.gz
united-states_nj_jersey-city,NAM,2026-08-29,2025-08-26,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_nj_jersey-city_2026-06-27_listings.csv.gz
united-states_nj_newark,NAM,2026-08-31,2025-08-31,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_nj_newark_2026-06-30_listings.csv.gz
united-states_nv_clark-county-nv,NAM,2026-08-28,2025-08-23,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_nv_clark-county-nv_2026-06-27_listings.csv.gz
united-states_ny_albany,NAM,2026-08-13,2025-08-04,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_ny_albany_2026-07-15_listings.csv.gz
united-states_ny_new-york-city,NAM,2026-08-10,2025-09-01,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_ny_new-york-city_2026-08-10_listings.csv.gz
united-states_ny_rochester,NAM,2026-08-29,2025-08-26,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_ny_rochester_2026-07-21_listings.csv.gz
united-states_oh_columbus,NAM,2026-08-30,2025-08-28,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_oh_columbus_2026-06-29_listings.csv.gz
united-states_or_portland,NAM,2026-08-10,2025-09-06,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_or_portland_2026-06-15_listings.csv.gz
united-states_or_salem-or,NAM,2026-08-29,2025-08-27,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_or_salem-or_2026-06-28_listings.csv.gz
united-states_ri_rhode-island,NAM,2026-08-31,2025-08-31,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_ri_rhode-island_2026-06-30_listings.csv.gz
united-states_tn_nashville,NAM,2026-08-27,2025-08-23,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_tn_nashville_2026-06-26_listings.csv.gz
united-states_tx_austin,NAM,2026-08-25,2025-08-16,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_tx_austin_2026-06-22_listings.csv.gz
united-states_tx_dallas,NAM,2026-08-27,2025-08-19,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_tx_dallas_2026-07-20_listings.csv.gz
united-states_tx_fort-worth,NAM,2026-08-25,2025-08-16,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_tx_fort-worth_2026-06-21_listings.csv.gz
united-states_wa_seattle,NAM,2026-08-29,2025-08-26,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\united-states_wa_seattle_2026-06-15_listings.csv.gz
