rank,source,name,country_or_region,asset_class,frequency,last_period,release_lag,history_start,access,verdict,first_failing_criterion,best_feature,target,ratio_2022Q1,ratio_2023Q1,best_wf_ratio,best_window,wf_n_2023,perm_p_2023,r_2023,jk_ratio_max_2023,jk_n_below_1_2023,knowable_before_print,reading_3q26_feature,reading_3q26_value_yoy,reading_2q26_value_yoy,reading_delta_pp,reading_insample_pred_total_nights,robust
11,italy_istat_sdmx,ISTAT monthly tourism flows,EMEA (Italy),accommodation nights,monthly,,about 10 weeks,long,SDMX endpoint timed out; Italy is in Eurostat tour_occ_nim geo=IT,duplicate,duplicate of eurostat_tour_occ_nim geo=IT,,,,,,,,,,,,,,,,,,False
12,croatia_evisitor_htz,Croatia eVisitor via HTZ / DZS,EMEA (Croatia),tourist arrivals and nights (all accommodation incl. private),monthly,,about 3 weeks,2016,HTZ pages 404; DZS page has no machine-readable link; Croatia is in Eurostat geo=HR,duplicate,duplicate of eurostat_tour_occ_nim geo=HR,,,,,,,,,,,,,,,,,,False
13,france_insee_bdm,"INSEE tourist accommodation occupancy (hotels, other collective accommodation)",EMEA (France),accommodation nights,monthly,,about 6 weeks,long,BDM API is keyless but no matching dataflow found; France is in Eurostat geo=FR,duplicate,duplicate of eurostat_tour_occ_nim geo=FR,,,,,,,,,,,,,,,,,,False
14,portugal_ine_alojamento_local,Portugal INE alojamento local nights,EMEA (Portugal),local-lodging (short-term rental class) nights,monthly,,about 6 weeks,long,indicator code not resolved (HTTP 500 on guesses); Portugal I552 is in Eurostat geo=PT,duplicate,duplicate of eurostat_tour_occ_nim geo=PT I552,,,,,,,,,,,,,,,,,,False
15,japan_immigration_moj,Japan Immigration Services Agency entries,APAC (Japan),inbound entries,monthly,,about 6 weeks,long,not pulled,duplicate,duplicate of jnto_arrivals (compiled from the same counts),,,,,,,,,,,,,,,,,,False
16,census_qss,US Census Quarterly Services Survey NAICS 721 and 7211 revenue,NA (US),accommodation revenue,quarterly,2Q26,about 70 days (2Q26 out 9 Sep; 3Q26 advance 19 Nov),2013Q1 (2003 for 721 in older vintages),"free, keyless zip",no coverage,2 coverage: about 70 days (2Q26 out 9 Sep; 3Q26 advance 19 Nov),us_qss_721_rev_full,total_nights_yoy,0.7552323516775966,0.7674069155664801,0.7552323516775966,2022Q1+,10.0,0.0009990009990009,0.8727422169637807,0.9669479576825668,10.0,no (3Q26 advance 19 Nov),,,,,,False
17,eurostat_tour_occ_nim,"Eurostat tour_occ_nim nights by NACE (I552 holiday and short-stay, I551 hotels), 16 geos",EMEA,short-stay accommodation nights (I552) and hotel nights (I551),monthly,2026-06,about 10 weeks (Jun 2026 today; Jul and Aug due about 27 Oct; Sep after 5 Nov),2015-01 (earlier available),"free, keyless JSON API",no coverage,2 coverage: about 10 weeks (Jun 2026 today; Jul and Aug due about 27 Oct; Sep after 5 Nov),eurostat_eu27_i551_full,emea_nights_yoy_mid,0.7672587427841029,0.7855391382768181,0.7672587427841029,2022Q1+,10.0,0.0009990009990009,0.8827821315359096,0.9178733492898096,10.0,partial (Jul and Aug by late Oct; Sep after the print),,,,,,False
18,eurostat_avia_paoc,Eurostat avia_paoc air passengers carried,EMEA,air passengers,monthly,2026-07,"EU27 aggregate ends 2025-12; country coverage ragged (AT and HR to Jul 2026, ES to Mar 2026)",2015-01,"free, keyless",no coverage,"2 coverage: EU27 aggregate ends 2025-12; country coverage ragged (AT and HR to Jul 2026, ES to Mar 2026)",avia_it_full,emea_nights_yoy_mid,0.9127952238142962,0.7817682657277097,0.7817682657277097,2023Q1+,9.0,0.0009990009990009,0.8967058830018135,0.8894932019719825,9.0,no (3 to 8 month lag),,,,,,False
19,ntto_country,"NTTO I-94 arrivals to the US, Canada and Mexico rows",NA (Canada and Mexico to US),I-94 arrivals,monthly,2026-07,Canada and Mexico rows end Jun 2026 (the July preliminary covers overseas only),2000-01,free xlsx (same file G pulled),no coverage,2 coverage: Canada and Mexico rows end Jun 2026 (the July preliminary covers overseas only),us_inbound_canada_full,total_nights_yoy,0.7883064507025821,0.7878656861369019,0.7878656861369019,2023Q1+,10.0,0.0069930069930069,0.8397094066239698,0.9350205779971495,10.0,"partial (Jul by late Sep, Aug by late Oct; Sep about 20 Nov)",,,,,,False
20,colombia_migracion,Migracion Colombia foreign entries (datos.gov.co 96sh-4v8d),LatAm (Colombia),border arrivals,monthly,2026-06,about 7 weeks (Jun 2026 out 20 Aug; Sep due about 20 Nov),2012-01,free Socrata API,no coverage,2 coverage: about 7 weeks (Jun 2026 out 20 Aug; Sep due about 20 Nov),co_foreign_entries_m1,latam_nights_yoy_mid,0.8070553922747657,0.8646212995965428,0.8070553922747657,2022Q1+,10.0,0.0619380619380619,0.5240757331404254,1.1209367828057275,9.0,"yes (July 2026 vintage, not yet published for 3Q26)",,,,,,False
21,eurostat_tour_occ_ninat,Eurostat tour_occ_ninat nights by residence,EMEA,all-accommodation nights by residents / non-residents,annual only (freq dimension A),2025,annual,2015,"free, keyless",no coverage,2 coverage: annual,,,,,,,,,,,,,,,,,,False
22,fred_AIRRPMTSID11,BTS revenue passenger miles via FRED (domestic and international),NA (US),air revenue passenger miles,monthly,,about 3 months,2000,fredgraph.csv timed out or reset on every attempt on 12 Sep 2026,no coverage,2 coverage: about 3 months,,,,,,,,,,,,,,,,,,False
23,uk_ons_ott,UK ONS overseas travel and tourism,EMEA (UK),inbound visits and nights,annual (monthly discontinued),,"latest 2023 annual, released 17 May 2024",long,free,no coverage,"2 coverage: latest 2023 annual, released 17 May 2024",,,,,,,,,,,,,,,,,,False
24,wales_stl,Wales short-term let statistics,EMEA (UK),none published,none,,none,none,none,no coverage,2 coverage: none,,,,,,,,,,,,,,,,,,False
25,texas_hot,Texas Comptroller local hotel occupancy tax reporting,NA (US),local HOT receipts by municipality,annual,,annual,2018,free Socrata,no coverage,2 coverage: annual,,,,,,,,,,,,,,,,,,False
26,statcan_24100045,StatCan travel by Canadian residents by destination (24-10-0045),NA (Canada),resident trips,quarterly,,cube ends 2025Q4 (released 29 May 2026),2018,free,no coverage,2 coverage: cube ends 2025Q4 (released 29 May 2026),,,,,,,,,,,,,,,,,,False
27,mexico_datatur,"Mexico SECTUR DATATUR (hotel occupancy, arrivals)",LatAm (Mexico),hotel occupancy and visitor arrivals,monthly,,unknown (site unreachable),unknown,ConnectionError on https and http,no access,4 access: ConnectionError on https and http,,,,,,,,,,,,,,,,,,False
28,mexico_banxico_sie,Banxico SIE international visitors,LatAm (Mexico),visitor arrivals,monthly,,about 7 weeks,1980,HTTP 400 without a token; free registration required,no access,4 access: HTTP 400 without a token; free registration required,,,,,,,,,,,,,,,,,,False
29,mexico_upm_boletin,Mexico UPM migration bulletin entries,LatAm (Mexico),border entries,monthly,,unknown,unknown,ConnectionError,no access,4 access: ConnectionError,,,,,,,,,,,,,,,,,,False
30,korea_kto_datalab,Korea Tourism Organization monthly arrivals,APAC (Korea),inbound arrivals,monthly,,about 4 weeks,long,302 to the KNTO index; xlsx behind the datalab login and JS,no access,4 access: 302 to the KNTO index; xlsx behind the datalab login and JS,,,,,,,,,,,,,,,,,,False
31,greece_bank_of_greece,Bank of Greece border survey,EMEA (Greece),inbound arrivals and receipts,monthly,,about 7 weeks,long,HTTP 403,no access,4 access: HTTP 403,,,,,,,,,,,,,,,,,,False
32,greece_hcaa,Greece HCAA airport statistics,EMEA (Greece),air passengers,monthly,,about 4 weeks,long,HTTP 403,no access,4 access: HTTP 403,,,,,,,,,,,,,,,,,,False
33,japan_mlit_minpaku,Japan MLIT private lodging (minpaku) results,APAC (Japan),private-lodging guest nights (short-term rental class),bimonthly,,about 2 months,2018,PDF only,no access,4 access: PDF only,,,,,,,,,,,,,,,,,,False
34,bts_t100,BTS T-100 segment and market (enplanements),NA (US),air enplanements,monthly,,about 3 months,1990,form-gated download; PREZIP 404; FRED mirror timed out,no access,4 access: form-gated download; PREZIP 404; FRED mirror timed out,,,,,,,,,,,,,,,,,,False
35,india_mot_fta,India Ministry of Tourism foreign tourist arrivals,APAC (India),inbound arrivals,monthly,,about 6 weeks,long,"PIB press releases, PDF; not probed",no access,"4 access: PIB press releases, PDF; not probed",,,,,,,,,,,,,,,,,,False
36,scotland_stl_licensing,Scotland short-term let licensing statistics,EMEA (UK),licence application counts (supply),quarterly,,about 3 months,2023Q4,free,wrong asset class,"1 asset class: licence counts, not stays",,,,,,,,,,,,,,,,,,False
37,nyc_ose_registry,NYC OSE short-term rental registry,NA (US),registered host counts (supply),ad hoc,,none,2023,registration-data page 404,wrong asset class,"1 asset class: registry counts, not stays",,,,,,,,,,,,,,,,,,False
38,florida_dbpr_vacation_rental,Florida DBPR vacation rental licences,NA (US),licence counts (supply),ad hoc,,none,none,not probed,wrong asset class,"1 asset class: licence counts, not stays",,,,,,,,,,,,,,,,,,False
