accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,core_type,size,isXBRL,isInlineXBRL,isXBRLNumeric,primaryDocument,primaryDocDescription
0001193125-26-335515,2026-08-05,2026-08-03,2026-08-05T21:24:02.000Z,,4,,,,4,19528,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-330775,2026-08-03,2026-07-30,2026-08-03T20:59:37.000Z,,4,,,,4,5376,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-324172,2026-07-29,2026-07-27,2026-07-29T20:59:04.000Z,,4,,,,4,21825,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-316533,2026-07-24,2026-07-20,2026-07-24T23:46:55.000Z,,4,,,,4,8132,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-312447,2026-07-22,2026-07-20,2026-07-22T20:30:03.000Z,,4,,,,4,13968,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-308109,2026-07-17,2026-07-15,2026-07-18T01:00:03.000Z,,4,,,,4,7949,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-304987,2026-07-15,2026-07-13,2026-07-15T21:37:41.000Z,,4,,,,4,18170,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-299741,2026-07-09,2026-07-07,2026-07-09T20:30:10.000Z,,4,,,,4,5315,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-298928,2026-07-08,2026-07-06,2026-07-09T01:37:13.000Z,,4,,,,4,15957,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-297868,2026-07-07,2026-07-02,2026-07-08T01:33:47.000Z,,4,,,,4,6077,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-297867,2026-07-07,2026-07-02,2026-07-08T01:33:45.000Z,,4,,,,4,4678,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-293152,2026-07-01,2026-06-29,2026-07-02T01:30:03.000Z,,4,,,,4,8154,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-292898,2026-07-01,2026-06-29,2026-07-01T22:18:52.000Z,,4,,,,4,15604,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-290807,2026-06-30,2026-06-26,2026-06-30T21:12:58.000Z,,4,,,,4,14420,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-286142,2026-06-26,2026-06-24,2026-06-26T21:55:50.000Z,,4,,,,4,20086,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-274572,2026-06-17,2026-06-15,2026-06-17T23:51:13.000Z,,4,,,,4,18167,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-274561,2026-06-17,2026-06-15,2026-06-17T23:46:07.000Z,,4,,,,4,15007,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-265910,2026-06-10,2026-06-08,2026-06-10T20:30:05.000Z,,4,,,,4,13080,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-261781,2026-06-08,2026-06-04,2026-06-08T20:17:35.000Z,,4,,,,4,13083,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-257932,2026-06-04,2026-06-02,2026-06-04T22:55:01.000Z,,4,,,,4,13082,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-257929,2026-06-04,2026-06-02,2026-06-04T22:50:23.000Z,,4,,,,4,4678,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-255845,2026-06-03,2026-06-01,2026-06-03T21:42:04.000Z,,4,,,,4,16110,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-253596,2026-06-02,2026-05-29,2026-06-02T20:29:39.000Z,,4,,,,4,35679,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-249210,2026-05-29,2026-05-27,2026-05-30T00:51:31.000Z,,4,,,,4,30152,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-242619,2026-05-27,2026-05-25,2026-05-28T00:56:32.000Z,,4,,,,4,5375,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-242603,2026-05-27,2026-05-25,2026-05-28T00:38:18.000Z,,4,,,,4,5387,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-242601,2026-05-27,2026-05-25,2026-05-28T00:36:57.000Z,,4,,,,4,4693,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-242599,2026-05-27,2026-05-25,2026-05-28T00:34:15.000Z,,4,,,,4,4652,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-242597,2026-05-27,2026-05-25,2026-05-28T00:34:07.000Z,,4,,,,4,4699,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-242482,2026-05-27,2026-05-25,2026-05-28T00:30:43.000Z,,4,,,,4,7699,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-242477,2026-05-27,2026-05-25,2026-05-28T00:30:40.000Z,,4,,,,4,26268,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-234881,2026-05-21,2026-05-19,2026-05-21T21:12:34.000Z,,4,,,,4,10500,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-234870,2026-05-21,2026-05-19,2026-05-21T21:09:04.000Z,,4,,,,4,4462,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-234861,2026-05-21,2026-05-19,2026-05-21T21:07:23.000Z,,4,,,,4,4437,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-232772,2026-05-20,2026-05-18,2026-05-20T20:56:23.000Z,,4,,,,4,27262,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-220167,2026-05-12,2026-05-08,2026-05-12T23:52:33.000Z,,4,,,,4,20078,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-209125,2026-05-06,2026-05-04,2026-05-06T20:30:23.000Z,,4,,,,4,4677,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-209123,2026-05-06,2026-05-04,2026-05-06T20:30:19.000Z,,4,,,,4,16101,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-182367,2026-04-27,2026-04-23,2026-04-27T21:06:00.000Z,,4,,,,4,7732,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-182362,2026-04-27,2026-04-23,2026-04-27T21:04:13.000Z,,4,,,,4,7008,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-182359,2026-04-27,2026-04-23,2026-04-27T21:03:04.000Z,,4,,,,4,7032,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-174171,2026-04-23,2026-04-21,2026-04-23T22:09:18.000Z,,4,,,,4,19574,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-170556,2026-04-22,2026-04-20,2026-04-22T20:30:10.000Z,,4,,,,4,11997,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-151415,2026-04-10,2026-04-08,2026-04-10T20:56:51.000Z,,4,,,,4,4677,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-147937,2026-04-08,2026-04-06,2026-04-08T21:13:22.000Z,,4,,,,4,11475,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-124200,2026-03-25,2026-03-23,2026-03-25T20:30:08.000Z,,4,,,,4,11997,0,0,,xslF345X06/ownership.xml,4
0001193125-26-102496,2026-03-11,2026-03-09,2026-03-11T21:37:59.000Z,,4,,,,4,18011,0,0,,xslF345X05/ownership.xml,4
0001193125-26-098642,2026-03-09,2026-03-05,2026-03-09T20:30:23.000Z,,4,,,,4,4540,0,0,,xslF345X05/ownership.xml,4
0001193125-26-091777,2026-03-04,2026-03-02,2026-03-04T22:00:13.000Z,,4,,,,4,4540,0,0,,xslF345X05/ownership.xml,4
0001193125-26-071768,2026-02-25,2026-02-23,2026-02-25T21:30:12.000Z,,4,,,,4,21095,0,0,,xslF345X05/ownership.xml,4
0001193125-26-067831,2026-02-24,2026-02-20,2026-02-25T00:00:03.000Z,,4,,,,4,23260,0,0,,xslF345X05/ownership.xml,4
0001193125-26-067585,2026-02-24,2026-02-20,2026-02-24T22:30:50.000Z,,4,,,,4,5243,0,0,,xslF345X05/ownership.xml,4
0001193125-26-064769,2026-02-23,2026-02-19,2026-02-24T01:13:13.000Z,,4,,,,4,8793,0,0,,xslF345X05/ownership.xml,4
0001193125-26-064768,2026-02-23,2026-02-19,2026-02-24T01:12:54.000Z,,4,,,,4,4324,0,0,,xslF345X05/ownership.xml,4
0001193125-26-064757,2026-02-23,2026-02-19,2026-02-24T01:09:51.000Z,,4,,,,4,4299,0,0,,xslF345X05/ownership.xml,4
0001193125-26-046760,2026-02-11,2026-02-09,2026-02-11T21:54:43.000Z,,4,,,,4,9797,0,0,,xslF345X05/ownership.xml,4
0001193125-26-037674,2026-02-04,2026-02-02,2026-02-04T21:30:04.000Z,,4,,,,4,4538,0,0,,xslF345X05/ownership.xml,4
0001193125-26-027291,2026-01-28,2026-01-26,2026-01-28T21:30:14.000Z,,4,,,,4,11854,0,0,,xslF345X05/ownership.xml,4
0001193125-26-012915,2026-01-14,2026-01-12,2026-01-14T21:05:04.000Z,,4,,,,4,11850,0,0,,xslF345X05/ownership.xml,4
0001193125-26-004805,2026-01-06,2026-01-02,2026-01-06T22:28:41.000Z,,4,,,,4,4538,0,0,,xslF345X05/ownership.xml,4
0001193125-25-338296,2025-12-31,2025-12-29,2025-12-31T21:05:06.000Z,,4,,,,4,7746,0,0,,xslF345X05/ownership.xml,4
0001193125-25-330844,2025-12-23,2025-12-19,2025-12-23T21:05:06.000Z,,4,,,,4,10033,0,0,,xslF345X05/ownership.xml,4
0001193125-25-326800,2025-12-19,2025-12-17,2025-12-19T21:05:03.000Z,,4,,,,4,8107,0,0,,xslF345X05/ownership.xml,4
0001193125-25-322689,2025-12-17,2025-12-15,2025-12-17T21:05:05.000Z,,4,,,,4,13908,0,0,,xslF345X05/ownership.xml,4
0001193125-25-321207,2025-12-16,2025-12-12,2025-12-16T22:39:01.000Z,,4,,,,4,4548,0,0,,xslF345X05/ownership.xml,4
0001193125-25-321203,2025-12-16,2025-12-12,2025-12-16T22:36:37.000Z,,4,,,,4,12625,0,0,,xslF345X05/ownership.xml,4
0001193125-25-321199,2025-12-16,2025-12-12,2025-12-16T22:34:04.000Z,,4,,,,4,4539,0,0,,xslF345X05/ownership.xml,4
0001193125-25-315911,2025-12-11,2025-12-09,2025-12-11T21:05:04.000Z,,4,,,,4,4539,0,0,,xslF345X05/ownership.xml,4
0001193125-25-315909,2025-12-11,2025-12-09,2025-12-11T21:05:03.000Z,,4,,,,4,5063,0,0,,xslF345X05/ownership.xml,4
0001193125-25-314277,2025-12-10,2025-12-08,2025-12-10T21:30:05.000Z,,4,,,,4,26094,0,0,,xslF345X05/ownership.xml,4
0001193125-25-313216,2025-12-09,2025-12-05,2025-12-10T02:26:12.000Z,,4,,,,4,25274,0,0,,xslF345X05/ownership.xml,4
0001193125-25-313021,2025-12-09,2025-12-05,2025-12-09T22:45:23.000Z,,4,,,,4,4548,0,0,,xslF345X05/ownership.xml,4
0001193125-25-309617,2025-12-05,2025-12-03,2025-12-05T21:05:06.000Z,,4,,,,4,7691,0,0,,xslF345X05/ownership.xml,4
0001193125-25-308064,2025-12-04,2025-12-02,2025-12-04T21:05:06.000Z,,4,,,,4,5759,0,0,,xslF345X05/ownership.xml,4
0001193125-25-306659,2025-12-03,2025-12-01,2025-12-03T21:05:05.000Z,,4,,,,4,13911,0,0,,xslF345X05/ownership.xml,4
0001193125-25-305512,2025-12-02,2025-11-28,2025-12-02T22:52:07.000Z,,4,,,,4,16151,0,0,,xslF345X05/ownership.xml,4
0001193125-25-305461,2025-12-02,2025-11-28,2025-12-02T22:19:57.000Z,,4,,,,4,5245,0,0,,xslF345X05/ownership.xml,4
0001193125-25-305445,2025-12-02,2025-11-28,2025-12-02T22:13:25.000Z,,4,,,,4,6120,0,0,,xslF345X05/ownership.xml,4
0001193125-25-300494,2025-11-26,2025-11-24,2025-11-26T21:05:06.000Z,,4,,,,4,9793,0,0,,xslF345X05/ownership.xml,4
0001193125-25-293670,2025-11-24,2025-11-20,2025-11-24T21:05:03.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0001193125-25-291600,2025-11-21,2025-11-19,2025-11-21T22:09:53.000Z,,4,,,,4,4323,0,0,,xslF345X05/ownership.xml,4
0001193125-25-291597,2025-11-21,2025-11-19,2025-11-21T22:08:55.000Z,,4,,,,4,8981,0,0,,xslF345X05/ownership.xml,4
0001193125-25-291595,2025-11-21,2025-11-19,2025-11-21T22:08:39.000Z,,4,,,,4,4300,0,0,,xslF345X05/ownership.xml,4
0001193125-25-291593,2025-11-21,2025-11-19,2025-11-21T22:08:17.000Z,,4,,,,4,4329,0,0,,xslF345X05/ownership.xml,4
0001607841-25-000004,2025-11-18,2025-11-14,2025-11-18T22:51:12.000Z,,4,,,,4,17233,0,0,,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001193125-25-284728,2025-11-17,2025-11-13,2025-11-17T21:45:07.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0001193125-25-280129,2025-11-13,2025-11-10,2025-11-13T21:05:05.000Z,,4,,,,4,11856,0,0,,xslF345X05/ownership.xml,4
0001193125-25-274189,2025-11-10,2025-11-06,2025-11-10T21:05:07.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0001193125-25-262635,2025-11-03,2025-10-30,2025-11-03T21:30:03.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0001193125-25-258505,2025-10-30,2025-10-28,2025-10-30T20:05:04.000Z,,4,,,,4,4541,0,0,,xslF345X05/ownership.xml,4
0001193125-25-256523,2025-10-29,2025-10-27,2025-10-29T20:54:17.000Z,,4,,,,4,11860,0,0,,xslF345X05/ownership.xml,4
0001193125-25-253476,2025-10-28,2025-10-24,2025-10-28T20:05:03.000Z,,4,,,,4,8060,0,0,,xslF345X05/ownership.xml,4
0001193125-25-251569,2025-10-27,2025-10-23,2025-10-27T20:05:06.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0001193125-25-243554,2025-10-20,2025-10-16,2025-10-20T20:05:04.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0001193125-25-240276,2025-10-15,2025-10-13,2025-10-15T20:15:47.000Z,,4,,,,4,7748,0,0,,xslF345X05/ownership.xml,4
0001193125-25-238997,2025-10-14,2025-10-09,2025-10-14T20:05:03.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0001193125-25-231859,2025-10-06,2025-10-02,2025-10-06T20:05:04.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0001193125-25-226743,2025-10-01,2025-09-29,2025-10-01T20:05:05.000Z,,4,,,,4,9803,0,0,,xslF345X05/ownership.xml,4
0001193125-25-223445,2025-09-29,2025-09-25,2025-09-29T21:20:30.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0001193125-25-211640,2025-09-22,2025-09-18,2025-09-22T21:41:31.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0001193125-25-206156,2025-09-17,2025-09-15,2025-09-17T20:05:18.000Z,,4,,,,4,11861,0,0,,xslF345X05/ownership.xml,4
0001193125-25-203536,2025-09-15,2025-09-11,2025-09-15T20:05:03.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0000950170-25-113546,2025-09-08,2025-09-04,2025-09-08T20:06:29.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0001193125-25-196166,2025-09-04,2025-09-02,2025-09-04T20:44:53.000Z,,4,,,,4,4541,0,0,,xslF345X05/ownership.xml,4
0001193125-25-196155,2025-09-04,2025-09-02,2025-09-04T20:41:45.000Z,,4,,,,4,11868,0,0,,xslF345X05/ownership.xml,4
0000950170-25-112498,2025-09-02,2025-08-28,2025-09-02T20:30:08.000Z,,4,,,,4,16151,0,0,,xslF345X05/ownership.xml,4
0001193125-25-194044,2025-09-02,2025-08-28,2025-09-02T20:30:05.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0001193125-25-190187,2025-08-27,2025-08-25,2025-08-28T01:16:18.000Z,,4,,,,4,7402,0,0,,xslF345X05/ownership.xml,4
0001193125-25-187730,2025-08-25,2025-08-21,2025-08-25T20:30:05.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0001193125-25-185537,2025-08-21,2025-08-19,2025-08-22T01:00:03.000Z,,4,,,,4,11708,0,0,,xslF345X05/ownership.xml,4
0001193125-25-185394,2025-08-21,2025-08-19,2025-08-21T21:06:40.000Z,,4,,,,4,4301,0,0,,xslF345X05/ownership.xml,4
0001193125-25-185389,2025-08-21,2025-08-19,2025-08-21T21:04:34.000Z,,4,,,,4,4330,0,0,,xslF345X05/ownership.xml,4
0001193125-25-185380,2025-08-21,2025-08-19,2025-08-21T20:57:59.000Z,,4,,,,4,4325,0,0,,xslF345X05/ownership.xml,4
0001193125-25-184097,2025-08-20,2025-08-18,2025-08-20T20:17:14.000Z,,4,,,,4,7745,0,0,,xslF345X05/ownership.xml,4
0000950170-25-109710,2025-08-18,2025-08-14,2025-08-18T20:05:08.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0000950170-25-106597,2025-08-11,2025-08-07,2025-08-11T20:31:29.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0000950170-25-103989,2025-08-06,2025-08-04,2025-08-06T20:05:09.000Z,,4,,,,4,9804,0,0,,xslF345X05/ownership.xml,4
0000950170-25-103988,2025-08-06,2025-08-04,2025-08-06T20:05:08.000Z,,4,,,,4,4541,0,0,,xslF345X05/ownership.xml,4
0000950170-25-102031,2025-08-04,2025-07-31,2025-08-04T20:21:57.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0000950170-25-099159,2025-07-28,2025-07-24,2025-07-28T20:10:17.000Z,,4,,,,4,8050,0,0,,xslF345X05/ownership.xml,4
0000950170-25-099157,2025-07-28,2025-07-24,2025-07-28T20:08:31.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0000950170-25-097955,2025-07-23,2025-07-21,2025-07-23T21:06:02.000Z,,4,,,,4,7749,0,0,,xslF345X05/ownership.xml,4
0000950170-25-097223,2025-07-21,2025-07-17,2025-07-21T20:05:05.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0000950170-25-095578,2025-07-14,2025-07-10,2025-07-14T20:05:10.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0000950170-25-094817,2025-07-09,2025-07-07,2025-07-09T20:38:21.000Z,,4,,,,4,9803,0,0,,xslF345X05/ownership.xml,4
0000950170-25-094770,2025-07-09,2025-07-07,2025-07-09T20:05:07.000Z,,4,,,,4,4541,0,0,,xslF345X05/ownership.xml,4
0000950170-25-094578,2025-07-08,2025-07-03,2025-07-08T20:05:04.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0000950170-25-091628,2025-06-30,2025-06-26,2025-06-30T20:30:18.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0000950170-25-089977,2025-06-25,2025-06-23,2025-06-25T20:30:09.000Z,,4,,,,4,11860,0,0,,xslF345X05/ownership.xml,4
0000950170-25-089536,2025-06-24,2025-06-20,2025-06-24T21:10:09.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0000950170-25-086838,2025-06-16,2025-06-12,2025-06-16T21:05:03.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0000950170-25-086150,2025-06-13,2025-06-11,2025-06-13T20:05:15.000Z,,4,,,,4,4522,0,0,,xslF345X05/ownership.xml,4
0000950170-25-084868,2025-06-11,2025-06-09,2025-06-11T20:30:25.000Z,,4,,,,4,11350,0,0,,xslF345X05/ownership.xml,4
0000950170-25-084287,2025-06-10,2025-06-06,2025-06-10T20:05:03.000Z,,4,,,,4,20125,0,0,,xslF345X05/ownership.xml,4
0000950170-25-083697,2025-06-09,2025-06-05,2025-06-09T20:05:12.000Z,,4,,,,4,9460,0,0,,xslF345X05/ownership.xml,4
0000950170-25-083698,2025-06-09,2025-06-05,2025-06-09T20:05:06.000Z,,4,,,,4,4549,0,0,,xslF345X05/ownership.xml,4
0000950170-25-083344,2025-06-06,2025-06-04,2025-06-06T22:52:28.000Z,,4,,,,4,4541,0,0,,xslF345X05/ownership.xml,4
0000950170-25-081661,2025-06-04,2025-06-02,2025-06-04T20:30:13.000Z,,4,,,,4,4541,0,0,,xslF345X05/ownership.xml,4
0000950170-25-080503,2025-06-02,2025-05-29,2025-06-02T23:54:00.000Z,,4,,,,4,4548,0,0,,xslF345X05/ownership.xml,4
0000950170-25-080502,2025-06-02,2025-05-29,2025-06-02T23:53:08.000Z,,4,,,,4,10551,0,0,,xslF345X05/ownership.xml,4
0000950170-25-079793,2025-05-30,2025-05-28,2025-05-30T20:41:55.000Z,,4,,,,4,15013,0,0,,xslF345X05/ownership.xml,4
0000950170-25-078528,2025-05-28,2025-05-25,2025-05-29T00:10:43.000Z,,4,,,,4,5249,0,0,,xslF345X05/ownership.xml,4
0000950170-25-078511,2025-05-28,2025-05-25,2025-05-28T23:20:20.000Z,,4,,,,4,4511,0,0,,xslF345X05/ownership.xml,4
0000950170-25-078506,2025-05-28,2025-05-25,2025-05-28T23:04:40.000Z,,4,,,,4,4554,0,0,,xslF345X05/ownership.xml,4
0000950170-25-078504,2025-05-28,2025-05-25,2025-05-28T23:00:21.000Z,,4,,,,4,7414,0,0,,xslF345X05/ownership.xml,4
0000950170-25-078502,2025-05-28,2025-05-25,2025-05-28T22:58:39.000Z,,4,,,,4,5257,0,0,,xslF345X05/ownership.xml,4
0000950170-25-078497,2025-05-28,2025-05-23,2025-05-28T22:46:31.000Z,,4,,,,4,22179,0,0,,xslF345X05/ownership.xml,4
0000950170-25-078496,2025-05-28,2025-05-25,2025-05-28T22:45:31.000Z,,4,,,,4,4561,0,0,,xslF345X05/ownership.xml,4
0000950170-25-078486,2025-05-28,2025-05-25,2025-05-28T22:24:09.000Z,,4,,,,4,5237,0,0,,xslF345X05/ownership.xml,4
0000950170-25-076512,2025-05-22,2025-05-20,2025-05-22T22:11:25.000Z,,4,,,,4,9802,0,0,,xslF345X05/ownership.xml,4
0000950170-25-076507,2025-05-22,2025-05-20,2025-05-22T22:02:58.000Z,,4,,,,4,5430,0,0,,xslF345X05/ownership.xml,4
0001062993-25-010017,2025-05-21,2025-05-19,2025-05-22T13:12:57.000Z,,4,,,,4,17232,0,0,,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0000950170-25-076010,2025-05-21,2025-05-19,2025-05-22T01:16:37.000Z,,4,,,,4,4296,0,0,,xslF345X05/ownership.xml,4
0000950170-25-076009,2025-05-21,2025-05-19,2025-05-22T01:15:20.000Z,,4,,,,4,10136,0,0,,xslF345X05/ownership.xml,4
0000950170-25-076007,2025-05-21,2025-05-19,2025-05-22T01:14:24.000Z,,4,,,,4,4321,0,0,,xslF345X05/ownership.xml,4
0000950170-25-076004,2025-05-21,2025-05-19,2025-05-22T01:11:20.000Z,,4,,,,4,4326,0,0,,xslF345X05/ownership.xml,4
0000950170-25-075239,2025-05-20,2025-05-16,2025-05-20T20:30:28.000Z,,4,,,,4,16143,0,0,,xslF345X05/ownership.xml,4
0000950170-25-067079,2025-05-08,2025-05-06,2025-05-08T20:30:12.000Z,,4,,,,4,11859,0,0,,xslF345X05/ownership.xml,4
0000950170-25-065624,2025-05-07,2025-05-05,2025-05-07T20:05:18.000Z,,4,,,,4,4536,0,0,,xslF345X05/ownership.xml,4
0000950170-25-061819,2025-05-01,2025-04-29,2025-05-01T20:05:14.000Z,,4,,,,4,4543,0,0,,xslF345X05/ownership.xml,4
0000950170-25-058001,2025-04-24,2025-04-22,2025-04-24T20:05:05.000Z,,4,,,,4,4543,0,0,,xslF345X05/ownership.xml,4
0000950170-25-058000,2025-04-24,2025-04-22,2025-04-24T20:05:04.000Z,,4,,,,4,11857,0,0,,xslF345X05/ownership.xml,4
0000950170-25-055370,2025-04-17,2025-04-15,2025-04-17T20:05:08.000Z,,4,,,,4,4543,0,0,,xslF345X05/ownership.xml,4
0000950170-25-053388,2025-04-11,2025-04-09,2025-04-11T21:49:46.000Z,,4,,,,4,4533,0,0,,xslF345X05/ownership.xml,4
0000950170-25-052865,2025-04-10,2025-04-08,2025-04-10T20:22:22.000Z,,4,,,,4,4543,0,0,,xslF345X05/ownership.xml,4
0000950170-25-052863,2025-04-10,2025-04-08,2025-04-10T20:20:34.000Z,,4,,,,4,22140,0,0,,xslF345X05/ownership.xml,4
0000950170-25-051271,2025-04-04,2025-04-02,2025-04-04T21:44:14.000Z,,4,,,,4,6889,0,0,,xslF345X05/ownership.xml,4
