prediction_id,guidance_cutoff_at_utc,guided_fiscal_period,hypothesis_id,feature_id,source_ids,latest_eligible_reference_period,diagnostic_reference_period,feature_value,feature_transform,strict_eligibility,pit_treatment,exclusion_reason,feature_direction,guidance_midpoint,prior_year_comparable_midpoint,guidance_yoy_pct,guidance_yoy_acceleration_pp,strict_evaluation_status
ABNB-2021Q4-GUIDE,2022-02-15T21:02:10Z,2022Q1,H-010,MUNICIPAL_AIRPORT_BREADTH,SFO_AIR_PASSENGERS|PANYNJ_AIRPORT_PARKING|LAX_TERMINAL_PASSENGERS,,,,Equal-weight mean of provider-level fixed YoY changes; requires at least two providers,false,not_testable_one_provider,Only SFO cache was usable; PANYNJ and LAX exact data paths did not pass the gate.,,1445,,,,not_testable
ABNB-2021Q4-GUIDE,2022-02-15T21:02:10Z,2022Q1,H-011,US_ACTIVITY_AVAILABLE_PROVIDER,SFO_AIR_PASSENGERS,,2022-01,,Trailing three complete months YoY; SFO is the sole available official provider and is not a breadth composite,false,current_snapshot_diagnostic,Current snapshot lacks original historical publication/vintage timestamps; reference-period alignment is diagnostic only. Fewer than two providers means H-011 minimum evidence fails.,,1445,,,,not_testable
ABNB-2021Q4-GUIDE,2022-02-15T21:02:10Z,2022Q1,H-012,EU27_PLATFORM_NIGHTS_CONTROL,EUROSTAT_PLATFORM_NIGHTS,,2021-09,33.28758507,Trailing three complete months EU27 collaborative-platform nights YoY with fixed 120-day conservative diagnostic lag,false,current_snapshot_diagnostic,Eurostat API history is a current snapshot with no versioning; 120-day lag is not vintage evidence.,positive,1445,,,,not_testable
ABNB-2021Q4-GUIDE,2022-02-15T21:02:10Z,2022Q1,H-012,US_EU_EQUAL_50_50_COMPOSITE,SFO_AIR_PASSENGERS|EUROSTAT_PLATFORM_NIGHTS,,2021-09,,Exactly 50% available U.S. activity growth plus 50% EU27 platform-night growth; never row-weighted,false,current_snapshot_diagnostic,Both inputs are non-PIT current-snapshot diagnostics; composite cannot be strict.,,1445,,,,not_testable
ABNB-2022Q1-GUIDE,2022-05-03T20:00:59Z,2022Q2,H-007,SFO_TRAILING_3M_PASSENGER_YOY,SFO_AIR_PASSENGERS,,2022-04,160.94641969,Trailing three complete reference months total enplaned+deplaned passengers YoY; reference-month-end-only diagnostic alignment,false,current_snapshot_diagnostic,Current snapshot lacks original historical publication/vintage timestamps; reference-period alignment is diagnostic only.,positive,2080,,,,not_testable
ABNB-2022Q1-GUIDE,2022-05-03T20:00:59Z,2022Q2,H-008,FHWA_TRAILING_3M_VMT_YOY,FHWA_TVT_VMT,,,,Trailing three complete months national VMT YoY,false,not_collected_permission_blocked,FHWA dated workbook directory is explicitly robots-disallowed; no payload or feature.,,2080,,,,not_testable
ABNB-2022Q1-GUIDE,2022-05-03T20:00:59Z,2022Q2,H-009,CENSUS_QSS_ACCOMMODATION_YOY,CENSUS_QSS_ACCOMMODATION,,,,Latest contemporaneous NAICS 721 quarterly revenue YoY,false,not_collected_permission_blocked,Exact API path and release vintages were not lawfully established; no payload or feature.,,2080,,,,not_testable
ABNB-2022Q1-GUIDE,2022-05-03T20:00:59Z,2022Q2,H-010,MUNICIPAL_AIRPORT_BREADTH,SFO_AIR_PASSENGERS|PANYNJ_AIRPORT_PARKING|LAX_TERMINAL_PASSENGERS,,,,Equal-weight mean of provider-level fixed YoY changes; requires at least two providers,false,not_testable_one_provider,Only SFO cache was usable; PANYNJ and LAX exact data paths did not pass the gate.,,2080,,,,not_testable
ABNB-2022Q1-GUIDE,2022-05-03T20:00:59Z,2022Q2,H-011,US_ACTIVITY_AVAILABLE_PROVIDER,SFO_AIR_PASSENGERS,,2022-04,160.94641969,Trailing three complete months YoY; SFO is the sole available official provider and is not a breadth composite,false,current_snapshot_diagnostic,Current snapshot lacks original historical publication/vintage timestamps; reference-period alignment is diagnostic only. Fewer than two providers means H-011 minimum evidence fails.,positive,2080,,,,not_testable
ABNB-2022Q1-GUIDE,2022-05-03T20:00:59Z,2022Q2,H-012,EU27_PLATFORM_NIGHTS_CONTROL,EUROSTAT_PLATFORM_NIGHTS,,2021-12,128.38845632,Trailing three complete months EU27 collaborative-platform nights YoY with fixed 120-day conservative diagnostic lag,false,current_snapshot_diagnostic,Eurostat API history is a current snapshot with no versioning; 120-day lag is not vintage evidence.,positive,2080,,,,not_testable
ABNB-2022Q1-GUIDE,2022-05-03T20:00:59Z,2022Q2,H-012,US_EU_EQUAL_50_50_COMPOSITE,SFO_AIR_PASSENGERS|EUROSTAT_PLATFORM_NIGHTS,,2021-12,144.667438,Exactly 50% available U.S. activity growth plus 50% EU27 platform-night growth; never row-weighted,false,current_snapshot_diagnostic,Both inputs are non-PIT current-snapshot diagnostics; composite cannot be strict.,positive,2080,,,,not_testable
ABNB-2022Q2-GUIDE,2022-08-02T20:01:20Z,2022Q3,H-007,SFO_TRAILING_3M_PASSENGER_YOY,SFO_AIR_PASSENGERS,,2022-07,78.19709087,Trailing three complete reference months total enplaned+deplaned passengers YoY; reference-month-end-only diagnostic alignment,false,current_snapshot_diagnostic,Current snapshot lacks original historical publication/vintage timestamps; reference-period alignment is diagnostic only.,positive,2830,,,,not_testable
ABNB-2022Q2-GUIDE,2022-08-02T20:01:20Z,2022Q3,H-008,FHWA_TRAILING_3M_VMT_YOY,FHWA_TVT_VMT,,,,Trailing three complete months national VMT YoY,false,not_collected_permission_blocked,FHWA dated workbook directory is explicitly robots-disallowed; no payload or feature.,,2830,,,,not_testable
ABNB-2022Q2-GUIDE,2022-08-02T20:01:20Z,2022Q3,H-009,CENSUS_QSS_ACCOMMODATION_YOY,CENSUS_QSS_ACCOMMODATION,,,,Latest contemporaneous NAICS 721 quarterly revenue YoY,false,not_collected_permission_blocked,Exact API path and release vintages were not lawfully established; no payload or feature.,,2830,,,,not_testable
ABNB-2022Q2-GUIDE,2022-08-02T20:01:20Z,2022Q3,H-010,MUNICIPAL_AIRPORT_BREADTH,SFO_AIR_PASSENGERS|PANYNJ_AIRPORT_PARKING|LAX_TERMINAL_PASSENGERS,,,,Equal-weight mean of provider-level fixed YoY changes; requires at least two providers,false,not_testable_one_provider,Only SFO cache was usable; PANYNJ and LAX exact data paths did not pass the gate.,,2830,,,,not_testable
ABNB-2022Q2-GUIDE,2022-08-02T20:01:20Z,2022Q3,H-011,US_ACTIVITY_AVAILABLE_PROVIDER,SFO_AIR_PASSENGERS,,2022-07,78.19709087,Trailing three complete months YoY; SFO is the sole available official provider and is not a breadth composite,false,current_snapshot_diagnostic,Current snapshot lacks original historical publication/vintage timestamps; reference-period alignment is diagnostic only. Fewer than two providers means H-011 minimum evidence fails.,positive,2830,,,,not_testable
ABNB-2022Q2-GUIDE,2022-08-02T20:01:20Z,2022Q3,H-012,EU27_PLATFORM_NIGHTS_CONTROL,EUROSTAT_PLATFORM_NIGHTS,,2022-03,165.78389662,Trailing three complete months EU27 collaborative-platform nights YoY with fixed 120-day conservative diagnostic lag,false,current_snapshot_diagnostic,Eurostat API history is a current snapshot with no versioning; 120-day lag is not vintage evidence.,positive,2830,,,,not_testable
ABNB-2022Q2-GUIDE,2022-08-02T20:01:20Z,2022Q3,H-012,US_EU_EQUAL_50_50_COMPOSITE,SFO_AIR_PASSENGERS|EUROSTAT_PLATFORM_NIGHTS,,2022-03,121.99049375,Exactly 50% available U.S. activity growth plus 50% EU27 platform-night growth; never row-weighted,false,current_snapshot_diagnostic,Both inputs are non-PIT current-snapshot diagnostics; composite cannot be strict.,positive,2830,,,,not_testable
ABNB-2022Q3-GUIDE,2022-11-01T20:04:23Z,2022Q4,H-007,SFO_TRAILING_3M_PASSENGER_YOY,SFO_AIR_PASSENGERS,,2022-10,53.55456706,Trailing three complete reference months total enplaned+deplaned passengers YoY; reference-month-end-only diagnostic alignment,false,current_snapshot_diagnostic,Current snapshot lacks original historical publication/vintage timestamps; reference-period alignment is diagnostic only.,positive,1840,1435,28.22299652,,not_testable
ABNB-2022Q3-GUIDE,2022-11-01T20:04:23Z,2022Q4,H-008,FHWA_TRAILING_3M_VMT_YOY,FHWA_TVT_VMT,,,,Trailing three complete months national VMT YoY,false,not_collected_permission_blocked,FHWA dated workbook directory is explicitly robots-disallowed; no payload or feature.,,1840,1435,28.22299652,,not_testable
ABNB-2022Q3-GUIDE,2022-11-01T20:04:23Z,2022Q4,H-009,CENSUS_QSS_ACCOMMODATION_YOY,CENSUS_QSS_ACCOMMODATION,,,,Latest contemporaneous NAICS 721 quarterly revenue YoY,false,not_collected_permission_blocked,Exact API path and release vintages were not lawfully established; no payload or feature.,,1840,1435,28.22299652,,not_testable
ABNB-2022Q3-GUIDE,2022-11-01T20:04:23Z,2022Q4,H-010,MUNICIPAL_AIRPORT_BREADTH,SFO_AIR_PASSENGERS|PANYNJ_AIRPORT_PARKING|LAX_TERMINAL_PASSENGERS,,,,Equal-weight mean of provider-level fixed YoY changes; requires at least two providers,false,not_testable_one_provider,Only SFO cache was usable; PANYNJ and LAX exact data paths did not pass the gate.,,1840,1435,28.22299652,,not_testable
ABNB-2022Q3-GUIDE,2022-11-01T20:04:23Z,2022Q4,H-011,US_ACTIVITY_AVAILABLE_PROVIDER,SFO_AIR_PASSENGERS,,2022-10,53.55456706,Trailing three complete months YoY; SFO is the sole available official provider and is not a breadth composite,false,current_snapshot_diagnostic,Current snapshot lacks original historical publication/vintage timestamps; reference-period alignment is diagnostic only. Fewer than two providers means H-011 minimum evidence fails.,positive,1840,1435,28.22299652,,not_testable
ABNB-2022Q3-GUIDE,2022-11-01T20:04:23Z,2022Q4,H-012,EU27_PLATFORM_NIGHTS_CONTROL,EUROSTAT_PLATFORM_NIGHTS,,2022-06,153.67193415,Trailing three complete months EU27 collaborative-platform nights YoY with fixed 120-day conservative diagnostic lag,false,current_snapshot_diagnostic,Eurostat API history is a current snapshot with no versioning; 120-day lag is not vintage evidence.,positive,1840,1435,28.22299652,,not_testable
ABNB-2022Q3-GUIDE,2022-11-01T20:04:23Z,2022Q4,H-012,US_EU_EQUAL_50_50_COMPOSITE,SFO_AIR_PASSENGERS|EUROSTAT_PLATFORM_NIGHTS,,2022-06,103.61325061,Exactly 50% available U.S. activity growth plus 50% EU27 platform-night growth; never row-weighted,false,current_snapshot_diagnostic,Both inputs are non-PIT current-snapshot diagnostics; composite cannot be strict.,positive,1840,1435,28.22299652,,not_testable
ABNB-2022Q4-GUIDE,2023-02-14T21:02:02Z,2023Q1,H-007,SFO_TRAILING_3M_PASSENGER_YOY,SFO_AIR_PASSENGERS,,2023-01,37.82240511,Trailing three complete reference months total enplaned+deplaned passengers YoY; reference-month-end-only diagnostic alignment,false,current_snapshot_diagnostic,Current snapshot lacks original historical publication/vintage timestamps; reference-period alignment is diagnostic only.,positive,1785,1445,23.52941176,-4.69358475,not_testable
ABNB-2022Q4-GUIDE,2023-02-14T21:02:02Z,2023Q1,H-008,FHWA_TRAILING_3M_VMT_YOY,FHWA_TVT_VMT,,,,Trailing three complete months national VMT YoY,false,not_collected_permission_blocked,FHWA dated workbook directory is explicitly robots-disallowed; no payload or feature.,,1785,1445,23.52941176,-4.69358475,not_testable
ABNB-2022Q4-GUIDE,2023-02-14T21:02:02Z,2023Q1,H-009,CENSUS_QSS_ACCOMMODATION_YOY,CENSUS_QSS_ACCOMMODATION,,,,Latest contemporaneous NAICS 721 quarterly revenue YoY,false,not_collected_permission_blocked,Exact API path and release vintages were not lawfully established; no payload or feature.,,1785,1445,23.52941176,-4.69358475,not_testable
ABNB-2022Q4-GUIDE,2023-02-14T21:02:02Z,2023Q1,H-010,MUNICIPAL_AIRPORT_BREADTH,SFO_AIR_PASSENGERS|PANYNJ_AIRPORT_PARKING|LAX_TERMINAL_PASSENGERS,,,,Equal-weight mean of provider-level fixed YoY changes; requires at least two providers,false,not_testable_one_provider,Only SFO cache was usable; PANYNJ and LAX exact data paths did not pass the gate.,,1785,1445,23.52941176,-4.69358475,not_testable
ABNB-2022Q4-GUIDE,2023-02-14T21:02:02Z,2023Q1,H-011,US_ACTIVITY_AVAILABLE_PROVIDER,SFO_AIR_PASSENGERS,,2023-01,37.82240511,Trailing three complete months YoY; SFO is the sole available official provider and is not a breadth composite,false,current_snapshot_diagnostic,Current snapshot lacks original historical publication/vintage timestamps; reference-period alignment is diagnostic only. Fewer than two providers means H-011 minimum evidence fails.,positive,1785,1445,23.52941176,-4.69358475,not_testable
ABNB-2022Q4-GUIDE,2023-02-14T21:02:02Z,2023Q1,H-012,EU27_PLATFORM_NIGHTS_CONTROL,EUROSTAT_PLATFORM_NIGHTS,,2022-09,34.838003,Trailing three complete months EU27 collaborative-platform nights YoY with fixed 120-day conservative diagnostic lag,false,current_snapshot_diagnostic,Eurostat API history is a current snapshot with no versioning; 120-day lag is not vintage evidence.,positive,1785,1445,23.52941176,-4.69358475,not_testable
ABNB-2022Q4-GUIDE,2023-02-14T21:02:02Z,2023Q1,H-012,US_EU_EQUAL_50_50_COMPOSITE,SFO_AIR_PASSENGERS|EUROSTAT_PLATFORM_NIGHTS,,2022-09,36.33020405,Exactly 50% available U.S. activity growth plus 50% EU27 platform-night growth; never row-weighted,false,current_snapshot_diagnostic,Both inputs are non-PIT current-snapshot diagnostics; composite cannot be strict.,positive,1785,1445,23.52941176,-4.69358475,not_testable
ABNB-2023Q1-GUIDE,2023-05-09T20:01:26Z,2023Q2,H-007,SFO_TRAILING_3M_PASSENGER_YOY,SFO_AIR_PASSENGERS,,2023-04,25.44487898,Trailing three complete reference months total enplaned+deplaned passengers YoY; reference-month-end-only diagnostic alignment,false,current_snapshot_diagnostic,Current snapshot lacks original historical publication/vintage timestamps; reference-period alignment is diagnostic only.,positive,2400,2080,15.38461538,-8.14479638,not_testable
ABNB-2023Q1-GUIDE,2023-05-09T20:01:26Z,2023Q2,H-008,FHWA_TRAILING_3M_VMT_YOY,FHWA_TVT_VMT,,,,Trailing three complete months national VMT YoY,false,not_collected_permission_blocked,FHWA dated workbook directory is explicitly robots-disallowed; no payload or feature.,,2400,2080,15.38461538,-8.14479638,not_testable
ABNB-2023Q1-GUIDE,2023-05-09T20:01:26Z,2023Q2,H-009,CENSUS_QSS_ACCOMMODATION_YOY,CENSUS_QSS_ACCOMMODATION,,,,Latest contemporaneous NAICS 721 quarterly revenue YoY,false,not_collected_permission_blocked,Exact API path and release vintages were not lawfully established; no payload or feature.,,2400,2080,15.38461538,-8.14479638,not_testable
ABNB-2023Q1-GUIDE,2023-05-09T20:01:26Z,2023Q2,H-010,MUNICIPAL_AIRPORT_BREADTH,SFO_AIR_PASSENGERS|PANYNJ_AIRPORT_PARKING|LAX_TERMINAL_PASSENGERS,,,,Equal-weight mean of provider-level fixed YoY changes; requires at least two providers,false,not_testable_one_provider,Only SFO cache was usable; PANYNJ and LAX exact data paths did not pass the gate.,,2400,2080,15.38461538,-8.14479638,not_testable
ABNB-2023Q1-GUIDE,2023-05-09T20:01:26Z,2023Q2,H-011,US_ACTIVITY_AVAILABLE_PROVIDER,SFO_AIR_PASSENGERS,,2023-04,25.44487898,Trailing three complete months YoY; SFO is the sole available official provider and is not a breadth composite,false,current_snapshot_diagnostic,Current snapshot lacks original historical publication/vintage timestamps; reference-period alignment is diagnostic only. Fewer than two providers means H-011 minimum evidence fails.,positive,2400,2080,15.38461538,-8.14479638,not_testable
ABNB-2023Q1-GUIDE,2023-05-09T20:01:26Z,2023Q2,H-012,EU27_PLATFORM_NIGHTS_CONTROL,EUROSTAT_PLATFORM_NIGHTS,,2022-12,38.70293145,Trailing three complete months EU27 collaborative-platform nights YoY with fixed 120-day conservative diagnostic lag,false,current_snapshot_diagnostic,Eurostat API history is a current snapshot with no versioning; 120-day lag is not vintage evidence.,positive,2400,2080,15.38461538,-8.14479638,not_testable
